Term: learners                       Term Frequency: 26        
Term: bring                          Term Frequency: 1         
Term: bar                            Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: scheme                         Term Frequency: 1         
Term: 4870                           Term Frequency: 1         
Term: coding                         Term Frequency: 1         
Term: systems                        Term Frequency: 1         
Term: offered                        Term Frequency: 1         
Term: whom                           Term Frequency: 1         
Term: subsequent                     Term Frequency: 1         
Term: indicate                       Term Frequency: 1         
Term: set                            Term Frequency: 1         
Term: founded                        Term Frequency: 1         
Term: practices                      Term Frequency: 1         
Term: tailored                       Term Frequency: 1         
Term: exploratory                    Term Frequency: 1         
Term: contact                        Term Frequency: 1         
Term: utmost                         Term Frequency: 1         
Term: 4406                           Term Frequency: 1         
Term: which                          Term Frequency: 1         
Term: carry                          Term Frequency: 1         
Term: party                          Term Frequency: 1         
Term: little                         Term Frequency: 1         
Term: metacognitively                Term Frequency: 1         
Term: skill                          Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: www23                          Term Frequency: 1         
Term: views                          Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: over                           Term Frequency: 1         
Term: management                     Term Frequency: 1         
Term: 501                            Term Frequency: 1         
Term: presents                       Term Frequency: 1         
Term: expert                         Term Frequency: 1         
Term: relationships                  Term Frequency: 1         
Term: context                        Term Frequency: 1         
Term: majority                       Term Frequency: 1         
Term: 519                            Term Frequency: 1         
Term: resulting                      Term Frequency: 1         
Term: metacognitive                  Term Frequency: 1         
Term: gave                           Term Frequency: 1         
Term: viewed                         Term Frequency: 1         
Term: change                         Term Frequency: 1         
Term: draw                           Term Frequency: 1         
Term: avatar                         Term Frequency: 1         
Term: places                         Term Frequency: 1         
Term: instruction                    Term Frequency: 1         
Term: misunderstood                  Term Frequency: 1         
Term: complete                       Term Frequency: 1         
Term: several                        Term Frequency: 1         
Term: reviewed                       Term Frequency: 1         
Term: directly                       Term Frequency: 1         
Term: level                          Term Frequency: 1         
Term: adjusted                       Term Frequency: 1         
Term: my                             Term Frequency: 1         
Term: relevant                       Term Frequency: 1         
Term: prediction                     Term Frequency: 1         
Term: focused                        Term Frequency: 1         
Term: highly                         Term Frequency: 1         
Term: determine                      Term Frequency: 1         
Term: control                        Term Frequency: 1         
Term: behavioural                    Term Frequency: 1         
Term: scored                         Term Frequency: 1         
Term: remaining                      Term Frequency: 1         
Term: requested                      Term Frequency: 1         
Term: access                         Term Frequency: 1         
Term: delve                          Term Frequency: 1         
Term: serving                        Term Frequency: 1         
Term: sizeable                       Term Frequency: 1         
Term: persist                        Term Frequency: 1         
Term: so                             Term Frequency: 1         
Term: key                            Term Frequency: 1         
Term: preferred                      Term Frequency: 1         
Term: behaviours                     Term Frequency: 1         
Term: undergraduate                  Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: ensure                         Term Frequency: 1         
Term: demonstrate                    Term Frequency: 1         
Term: questionnaire                  Term Frequency: 1         
Term: changes                        Term Frequency: 1         
Term: graphs                         Term Frequency: 1         
Term: 178                            Term Frequency: 1         
Term: successful                     Term Frequency: 1         
Term: reading                        Term Frequency: 1         
Term: deeper                         Term Frequency: 1         
Term: ecosystem                      Term Frequency: 1         
Term: held                           Term Frequency: 1         
Term: competition                    Term Frequency: 1         
Term: none                           Term Frequency: 1         
Term: 195                            Term Frequency: 1         
Term: review                         Term Frequency: 1         
Term: connection                     Term Frequency: 1         
Term: between                        Term Frequency: 1         
Term: tools                          Term Frequency: 1         
Term: sfu.ca                         Term Frequency: 1         
Term: depth                          Term Frequency: 1         
Term: responses                      Term Frequency: 1         
Term: behaviour                      Term Frequency: 1         
Term: elucidations                   Term Frequency: 1         
Term: should                         Term Frequency: 1         
Term: like                           Term Frequency: 1         
Term: behaviors                      Term Frequency: 1         
Term: person                         Term Frequency: 1         
Term: potentially                    Term Frequency: 1         
Term: line                           Term Frequency: 1         
Term: studies                        Term Frequency: 1         
Term: predictor                      Term Frequency: 1         
Term: said                           Term Frequency: 1         
Term: follow                         Term Frequency: 1         
Term: really                         Term Frequency: 1         
Term: halabi                         Term Frequency: 1         
Term: corresponding                  Term Frequency: 1         
Term: challenge                      Term Frequency: 1         
Term: Memory                         Term Frequency: 0         
Term: these                          Term Frequency: 0         
Term: FINDINGS                       Term Frequency: 0         
Term: Ubel                           Term Frequency: 0         
Term: Surrey                         Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: F                              Term Frequency: 0         
Term: H                              Term Frequency: 0         
Term: I                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: Y                              Term Frequency: 0         
Term: Social                         Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: Zikmund                        Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Icon                           Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: Directions                     Term Frequency: 0         
Term: Displays                       Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: SLR                            Term Frequency: 0         
Term: SNS                            Term Frequency: 0         
Term: Judgment                       Term Frequency: 0         
Term: Conversely                     Term Frequency: 0         
Term: BNT                            Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Empirical                      Term Frequency: 0         
Term: Ghazal                         Term Frequency: 0         
Term: Computation                    Term Frequency: 0         
Term: Garcia                         Term Frequency: 0         
Term: Function                       Term Frequency: 0         
Term: Derry                          Term Frequency: 0         
Term: p2SV.pl                        Term Frequency: 0         
Term: Are                            Term Frequency: 0         
Term: Peters                         Term Frequency: 0         
Term: Adult                          Term Frequency: 0         
Term: Doctoral                       Term Frequency: 0         
Term: SDDS                           Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: Not                            Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: Support                        Term Frequency: 0         
Term: Fagerlin                       Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: Development                    Term Frequency: 0         
Term: Current                        Term Frequency: 0         
Term: Versus                         Term Frequency: 0         
Term: Making                         Term Frequency: 0         
Term: Competencies                   Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Only                           Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: CCS                            Term Frequency: 0         
Term: Interview                      Term Frequency: 0         
Term: Design                         Term Frequency: 0         
Term: Simon                          Term Frequency: 0         
Term: Fisher                         Term Frequency: 0         
Term: Galesic                        Term Frequency: 0         
Term: Procedure                      Term Frequency: 0         
Term: Instruments                    Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: Jankovic                       Term Frequency: 0         
Term: Magnitudes                     Term Frequency: 0         
Term: International                  Term Frequency: 0         
Term: Grant                          Term Frequency: 0         
Term: Stanovich                      Term Frequency: 0         
Term: Subjective                     Term Frequency: 0         
Term: Effects                        Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: Even                           Term Frequency: 0         
Term: Halimat                        Term Frequency: 0         
Term: Human                          Term Frequency: 0         
Term: Canada                         Term Frequency: 0         
Term: Graph                          Term Frequency: 0         
Term: Individuals                    Term Frequency: 0         
Term: Higher                         Term Frequency: 0         
Term: Educational                    Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: Indications                    Term Frequency: 0         
Term: Retamero                       Term Frequency: 0         
Term: Berlin                         Term Frequency: 0         
Term: getSurvey                      Term Frequency: 0         
Term: CRT                            Term Frequency: 0         
Term: Canadian                       Term Frequency: 0         
Term: Information                    Term Frequency: 0         
Term: ABSTRACT                       Term Frequency: 0         
Term: Toplak                         Term Frequency: 0         
Term: West                           Term Frequency: 0         
Term: INTRODUCTION                   Term Frequency: 0         
Term: Owner                          Term Frequency: 0         
Term: Tellingly                      Term Frequency: 0         
Term: Marek                          Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: Concepts                       Term Frequency: 0         
Term: Psychological                  Term Frequency: 0         
Term: March                          Term Frequency: 0         
Term: Differences                    Term Frequency: 0         
Term: Cokely                         Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: Decision                       Term Frequency: 0         
Term: Cognition                      Term Frequency: 0         
Term: Elliot                         Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: SSHRC                          Term Frequency: 0         
Term: PIAAC                          Term Frequency: 0         
Term: Okan                           Term Frequency: 0         
Term: Smith                          Term Frequency: 0         
Term: Our                            Term Frequency: 0         
Term: Programme                      Term Frequency: 0         
Term: Results                        Term Frequency: 0         
Term: METHODOLOGY                    Term Frequency: 0         
Term: Groves                         Term Frequency: 0         
Term: Assessment                     Term Frequency: 0         
Term: Science                        Term Frequency: 0         
Term: Feedback                       Term Frequency: 0         
Term: Cognitive                      Term Frequency: 0         
Term: Learner                        Term Frequency: 0         
Term: Participants                   Term Frequency: 0         
Term: Author                         Term Frequency: 0         
Term: BC                             Term Frequency: 0         
Term: Numerical                      Term Frequency: 0         
Term: Similarly                      Term Frequency: 0         
Term: Beyond                         Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: Taken                          Term Frequency: 0         
Term: Personality                    Term Frequency: 0         
Term: Foreground                     Term Frequency: 0         
Term: Test                           Term Frequency: 0         
Term: Twelve                         Term Frequency: 0         
Term: Measuring                      Term Frequency: 0         
Term: Some                           Term Frequency: 0         
Term: Medical                        Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: It                             Term Frequency: 0         
Term: Hatala                         Term Frequency: 0         
Term: V3T                            Term Frequency: 0         
Term: Study                          Term Frequency: 0         
Term: Learners                       Term Frequency: 0         
Term: LA                             Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: Understanding                  Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: Of                             Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: On                             Term Frequency: 0         
Term: Psychology                     Term Frequency: 0         
Term: Best                           Term Frequency: 0         
Term: Quantitative                   Term Frequency: 0         
Term: Designed                       Term Frequency: 0         
Term: Two                            Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: To                             Term Frequency: 0         
