Term: facebook                       Term Frequency: 123       
Term: transmedia                     Term Frequency: 12        
Term: 2                              Term Frequency: 11        
Term: examine                        Term Frequency: 11        
Term: understanding                  Term Frequency: 11        
Term: create                         Term Frequency: 11        
Term: multitasking                   Term Frequency: 11        
Term: understand                     Term Frequency: 11        
Term: regression                     Term Frequency: 11        
Term: first                          Term Frequency: 11        
Term: navigation                     Term Frequency: 11        
Term: general                        Term Frequency: 11        
Term: future                         Term Frequency: 11        
Term: affiliating                    Term Frequency: 11        
Term: 8                              Term Frequency: 10        
Term: participant                    Term Frequency: 10        
Term: photos                         Term Frequency: 10        
Term: second                         Term Frequency: 10        
Term: college                        Term Frequency: 10        
Term: predict                        Term Frequency: 10        
Term: emails                         Term Frequency: 10        
Term: only                           Term Frequency: 10        
Term: when                           Term Frequency: 10        
Term: judgment                       Term Frequency: 10        
Term: members                        Term Frequency: 10        
Term: 2011                           Term Frequency: 10        
Term: consent                        Term Frequency: 10        
Term: all                            Term Frequency: 10        
Term: interactions                   Term Frequency: 10        
Term: practices                      Term Frequency: 10        
Term: scholars                       Term Frequency: 9         
Term: 21st                           Term Frequency: 9         
Term: e.g                            Term Frequency: 9         
Term: question                       Term Frequency: 9         
Term: creating                       Term Frequency: 9         
Term: make                           Term Frequency: 9         
Term: 19                             Term Frequency: 9         
Term: users                          Term Frequency: 9         
Term: communication                  Term Frequency: 9         
Term: scale                          Term Frequency: 9         
Term: indicators                     Term Frequency: 9         
Term: educational                    Term Frequency: 9         
Term: friending                      Term Frequency: 9         
Term: century                        Term Frequency: 9         
Term: lists                          Term Frequency: 9         
Term: shared                         Term Frequency: 9         
Term: used                           Term Frequency: 9         
Term: streams                        Term Frequency: 9         
Term: development                    Term Frequency: 9         
Term: where                          Term Frequency: 9         
Term: broader                        Term Frequency: 9         
Term: sample                         Term Frequency: 9         
Term: posts                          Term Frequency: 9         
Term: friend                         Term Frequency: 9         
Term: distinct                       Term Frequency: 9         
Term: 4                              Term Frequency: 8         
Term: b                              Term Frequency: 8         
Term: m                              Term Frequency: 8         
Term: implications                   Term Frequency: 8         
Term: categories                     Term Frequency: 8         
Term: explore                        Term Frequency: 8         
Term: presented                      Term Frequency: 8         
Term: who                            Term Frequency: 8         
Term: observe                        Term Frequency: 8         
Term: help                           Term Frequency: 8         
Term: here                           Term Frequency: 8         
Term: potential                      Term Frequency: 8         
Term: could                          Term Frequency: 8         
Term: show                           Term Frequency: 8         
Term: sources                        Term Frequency: 8         
Term: directly                       Term Frequency: 8         
Term: available                      Term Frequency: 8         
Term: part                           Term Frequency: 8         
Term: specific                       Term Frequency: 8         
Term: now                            Term Frequency: 8         
Term: explicit                       Term Frequency: 8         
Term: out                            Term Frequency: 8         
Term: group                          Term Frequency: 8         
Term: videos                         Term Frequency: 8         
Term: represent                      Term Frequency: 8         
Term: processes                      Term Frequency: 8         
Term: demonstrates                   Term Frequency: 8         
Term: cultural                       Term Frequency: 8         
Term: participation                  Term Frequency: 8         
Term: highly                         Term Frequency: 8         
Term: 5                              Term Frequency: 7         
Term: 6                              Term Frequency: 7         
Term: multiple                       Term Frequency: 7         
Term: have                           Term Frequency: 7         
Term: 12                             Term Frequency: 7         
Term: community                      Term Frequency: 7         
Term: often                          Term Frequency: 7         
Term: do                             Term Frequency: 7         
Term: privacy                        Term Frequency: 7         
Term: factors                        Term Frequency: 7         
Term: able                           Term Frequency: 7         
Term: present                        Term Frequency: 7         
Term: collect                        Term Frequency: 7         
Term: application                    Term Frequency: 7         
Term: access                         Term Frequency: 7         
Term: variable                       Term Frequency: 7         
Term: correlated                     Term Frequency: 7         
Term: analytic                       Term Frequency: 7         
Term: 2012                           Term Frequency: 7         
Term: learners                       Term Frequency: 7         
Term: model                          Term Frequency: 7         
Term: natural                        Term Frequency: 7         
Term: d                              Term Frequency: 6         
Term: findings                       Term Frequency: 6         
Term: two                            Term Frequency: 6         
Term: 13                             Term Frequency: 6         
Term: many                           Term Frequency: 6         
Term: 99                             Term Frequency: 6         
Term: another                        Term Frequency: 6         
Term: digital                        Term Frequency: 6         
Term: context                        Term Frequency: 6         
Term: framework                      Term Frequency: 6         
Term: wall                           Term Frequency: 6         
Term: had                            Term Frequency: 6         
Term: opportunity                    Term Frequency: 6         
Term: developed                      Term Frequency: 6         
Term: assess                         Term Frequency: 6         
Term: person                         Term Frequency: 6         
Term: computer                       Term Frequency: 6         
Term: interaction                    Term Frequency: 6         
Term: received                       Term Frequency: 6         
Term: among                          Term Frequency: 6         
Term: individual’s                   Term Frequency: 6         
Term: pages                          Term Frequency: 6         
Term: models                         Term Frequency: 6         
Term: utilize                        Term Frequency: 6         
Term: practice                       Term Frequency: 6         
Term: traditional                    Term Frequency: 6         
Term: groups                         Term Frequency: 6         
Term: analyses                       Term Frequency: 6         
Term: within                         Term Frequency: 6         
Term: collecting                     Term Frequency: 6         
Term: any                            Term Frequency: 6         
Term: people’s                       Term Frequency: 6         
Term: participate                    Term Frequency: 5         
Term: critical                       Term Frequency: 5         
Term: 0.01                           Term Frequency: 5         
Term: included                       Term Frequency: 5         
Term: lost                           Term Frequency: 5         
Term: gender                         Term Frequency: 5         
Term: notes                          Term Frequency: 5         
Term: etc                            Term Frequency: 5         
Term: strategy                       Term Frequency: 5         
Term: forms                          Term Frequency: 5         
Term: content                        Term Frequency: 5         
Term: skill                          Term Frequency: 5         
Term: likely                         Term Frequency: 5         
Term: suggests                       Term Frequency: 5         
Term: than                           Term Frequency: 5         
Term: increasingly                   Term Frequency: 5         
Term: thus                           Term Frequency: 5         
Term: classroom                      Term Frequency: 5         
Term: culled                         Term Frequency: 5         
Term: must                           Term Frequency: 5         
Term: updates                        Term Frequency: 5         
Term: questions                      Term Frequency: 5         
Term: artifacts                      Term Frequency: 5         
Term: finding                        Term Frequency: 5         
Term: vital                          Term Frequency: 5         
Term: culture                        Term Frequency: 5         
Term: paper                          Term Frequency: 5         
Term: significant                    Term Frequency: 5         
Term: important                      Term Frequency: 5         
Term: types                          Term Frequency: 5         
Term: following                      Term Frequency: 5         
Term: human                          Term Frequency: 5         
Term: ideas                          Term Frequency: 5         
Term: scales                         Term Frequency: 5         
Term: direct                         Term Frequency: 5         
Term: connected                      Term Frequency: 5         
Term: own                            Term Frequency: 5         
Term: like                           Term Frequency: 5         
Term: design                         Term Frequency: 5         
Term: major                          Term Frequency: 5         
Term: consider                       Term Frequency: 5         
Term: clear                          Term Frequency: 5         
Term: knowledge                      Term Frequency: 5         
Term: embedded                       Term Frequency: 5         
Term: some                           Term Frequency: 5         
Term: member                         Term Frequency: 5         
Term: people                         Term Frequency: 5         
Term: aggregate                      Term Frequency: 5         
Term: performance                    Term Frequency: 5         
Term: raw                            Term Frequency: 5         
Term: age                            Term Frequency: 5         
Term: most                           Term Frequency: 5         
Term: personal                       Term Frequency: 5         
Term: see                            Term Frequency: 5         
Term: large                          Term Frequency: 5         
Term: current                        Term Frequency: 5         
Term: actively                       Term Frequency: 5         
Term: suggest                        Term Frequency: 5         
Term: require                        Term Frequency: 4         
Term: 7                              Term Frequency: 4         
Term: 9                              Term Frequency: 4         
Term: p                              Term Frequency: 4         
Term: remix                          Term Frequency: 4         
Term: academic                       Term Frequency: 4         
Term: requires                       Term Frequency: 4         
Term: third                          Term Frequency: 4         
Term: methodology                    Term Frequency: 4         
Term: publicly                       Term Frequency: 4         
Term: 16                             Term Frequency: 4         
Term: 17                             Term Frequency: 4         
Term: 20                             Term Frequency: 4         
Term: needed                         Term Frequency: 4         
Term: common                         Term Frequency: 4         
Term: 95                             Term Frequency: 4         
Term: learn                          Term Frequency: 4         
Term: evidence                       Term Frequency: 4         
Term: environment                    Term Frequency: 4         
Term: abstraction                    Term Frequency: 4         
Term: technological                  Term Frequency: 4         
Term: way                            Term Frequency: 4         
Term: web                            Term Frequency: 4         
Term: few                            Term Frequency: 4         
Term: four                           Term Frequency: 4         
Term: literature                     Term Frequency: 4         
Term: while                          Term Frequency: 4         
Term: my                             Term Frequency: 4         
Term: we                             Term Frequency: 4         
Term: deeper                         Term Frequency: 4         
Term: sent                           Term Frequency: 4         
Term: salient                        Term Frequency: 4         
Term: follow                         Term Frequency: 4         
Term: youth                          Term Frequency: 4         
Term: educators                      Term Frequency: 4         
Term: discussion                     Term Frequency: 4         
Term: has                            Term Frequency: 4         
Term: applications                   Term Frequency: 4         
Term: difficult                      Term Frequency: 4         
Term: reflect                        Term Frequency: 4         
Term: face                           Term Frequency: 4         
Term: discussions                    Term Frequency: 4         
Term: value                          Term Frequency: 4         
Term: identify                       Term Frequency: 4         
Term: distributed                    Term Frequency: 4         
Term: completed                      Term Frequency: 4         
Term: situated                       Term Frequency: 4         
Term: utilized                       Term Frequency: 4         
Term: influence                      Term Frequency: 4         
Term: validity                       Term Frequency: 4         
Term: helps                          Term Frequency: 4         
Term: level                          Term Frequency: 4         
Term: control                        Term Frequency: 4         
Term: studies                        Term Frequency: 4         
Term: well                           Term Frequency: 4         
Term: capital                        Term Frequency: 4         
Term: does                           Term Frequency: 4         
Term: means                          Term Frequency: 4         
Term: correlate                      Term Frequency: 4         
Term: evaluate                       Term Frequency: 4         
Term: substantial                    Term Frequency: 4         
Term: appear                         Term Frequency: 4         
Term: collaboration                  Term Frequency: 4         
Term: writing                        Term Frequency: 4         
Term: detail                         Term Frequency: 4         
Term: loadings                       Term Frequency: 4         
Term: visible                        Term Frequency: 4         
Term: necessarily                    Term Frequency: 4         
Term: significantly                  Term Frequency: 4         
Term: opt                            Term Frequency: 4         
Term: examples                       Term Frequency: 4         
Term: blog                           Term Frequency: 4         
Term: note                           Term Frequency: 4         
Term: dispositions                   Term Frequency: 4         
Term: identified                     Term Frequency: 4         
Term: methods                        Term Frequency: 4         
Term: 2009                           Term Frequency: 4         
Term: itself                         Term Frequency: 4         
Term: interact                       Term Frequency: 4         
Term: posted                         Term Frequency: 4         
Term: theories                       Term Frequency: 4         
Term: images                         Term Frequency: 4         
Term: both                           Term Frequency: 4         
Term: nature                         Term Frequency: 4         
Term: makes                          Term Frequency: 4         
Term: idea                           Term Frequency: 4         
Term: potentially                    Term Frequency: 4         
Term: role                           Term Frequency: 3         
Term: y                              Term Frequency: 3         
Term: provided                       Term Frequency: 3         
Term: gained                         Term Frequency: 3         
Term: technologies                   Term Frequency: 3         
Term: possible                       Term Frequency: 3         
Term: 0.09                           Term Frequency: 3         
Term: 0.32                           Term Frequency: 3         
Term: 0.55                           Term Frequency: 3         
Term: made                           Term Frequency: 3         
Term: observed                       Term Frequency: 3         
Term: observes                       Term Frequency: 3         
Term: 11                             Term Frequency: 3         
Term: 14                             Term Frequency: 3         
Term: 15                             Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: 22                             Term Frequency: 3         
Term: 23                             Term Frequency: 3         
Term: 26                             Term Frequency: 3         
Term: 28                             Term Frequency: 3         
Term: numbers                        Term Frequency: 3         
Term: user’s                         Term Frequency: 3         
Term: relate                         Term Frequency: 3         
Term: instead                        Term Frequency: 3         
Term: noted                          Term Frequency: 3         
Term: below                          Term Frequency: 3         
Term: adolescents                    Term Frequency: 3         
Term: remains                        Term Frequency: 3         
Term: features                       Term Frequency: 3         
Term: news                           Term Frequency: 3         
Term: effectively                    Term Frequency: 3         
Term: issues                         Term Frequency: 3         
Term: analyzing                      Term Frequency: 3         
Term: am                             Term Frequency: 3         
Term: perhaps                        Term Frequency: 3         
Term: readily                        Term Frequency: 3         
Term: email                          Term Frequency: 3         
Term: norms                          Term Frequency: 3         
Term: argue                          Term Frequency: 3         
Term: beyond                         Term Frequency: 3         
Term: insight                        Term Frequency: 3         
Term: massive                        Term Frequency: 3         
Term: standard                       Term Frequency: 3         
Term: contributes                    Term Frequency: 3         
Term: young                          Term Frequency: 3         
Term: approach                       Term Frequency: 3         
Term: intelligence                   Term Frequency: 3         
Term: measuring                      Term Frequency: 3         
Term: tied                           Term Frequency: 3         
Term: time                           Term Frequency: 3         
Term: mean                           Term Frequency: 3         
Term: been                           Term Frequency: 3         
Term: active                         Term Frequency: 3         
Term: asks                           Term Frequency: 3         
Term: surveys                        Term Frequency: 3         
Term: based                          Term Frequency: 3         
Term: fact                           Term Frequency: 3         
Term: identities                     Term Frequency: 3         
Term: clearly                        Term Frequency: 3         
Term: hyperlinks                     Term Frequency: 3         
Term: demographic                    Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: learner                        Term Frequency: 3         
Term: largely                        Term Frequency: 3         
Term: highlight                      Term Frequency: 3         
Term: offer                          Term Frequency: 3         
Term: programming                    Term Frequency: 3         
Term: world                          Term Frequency: 3         
Term: report                         Term Frequency: 3         
Term: focused                        Term Frequency: 3         
Term: descriptive                    Term Frequency: 3         
Term: contexts                       Term Frequency: 3         
Term: once                           Term Frequency: 3         
Term: between                        Term Frequency: 3         
Term: observation                    Term Frequency: 3         
Term: site                           Term Frequency: 3         
Term: should                         Term Frequency: 3         
Term: individual                     Term Frequency: 3         
Term: mediated                       Term Frequency: 3         
Term: would                          Term Frequency: 3         
Term: tinker                         Term Frequency: 3         
Term: experiment                     Term Frequency: 3         
Term: employed                       Term Frequency: 3         
Term: items                          Term Frequency: 3         
Term: forums                         Term Frequency: 3         
Term: experience                     Term Frequency: 3         
Term: statistically                  Term Frequency: 3         
Term: sense                          Term Frequency: 3         
Term: ubiquitous                     Term Frequency: 3         
Term: outset                         Term Frequency: 3         
Term: allow                          Term Frequency: 3         
Term: because                        Term Frequency: 3         
Term: technical                      Term Frequency: 3         
Term: similar                        Term Frequency: 3         
Term: took                           Term Frequency: 3         
Term: define                         Term Frequency: 3         
Term: engage                         Term Frequency: 3         
Term: refer                          Term Frequency: 3         
Term: certain                        Term Frequency: 3         
Term: designed                       Term Frequency: 3         
Term: accounted                      Term Frequency: 3         
Term: very                           Term Frequency: 3         
Term: issue                          Term Frequency: 3         
Term: generally                      Term Frequency: 3         
Term: conference                     Term Frequency: 3         
Term: variety                        Term Frequency: 3         
Term: life                           Term Frequency: 3         
Term: problem                        Term Frequency: 3         
Term: our                            Term Frequency: 3         
Term: profiles                       Term Frequency: 3         
Term: link                           Term Frequency: 3         
Term: amounts                        Term Frequency: 3         
Term: claims                         Term Frequency: 3         
Term: recognize                      Term Frequency: 3         
Term: emerging                       Term Frequency: 3         
Term: given                          Term Frequency: 3         
Term: institutional                  Term Frequency: 3         
Term: process                        Term Frequency: 3         
Term: take                           Term Frequency: 3         
Term: 2010                           Term Frequency: 3         
Term: occur                          Term Frequency: 3         
Term: contribution                   Term Frequency: 3         
Term: perspective                    Term Frequency: 3         
Term: collective                     Term Frequency: 3         
Term: act                            Term Frequency: 3         
Term: add                            Term Frequency: 3         
Term: aid                            Term Frequency: 3         
Term: quantitatively                 Term Frequency: 3         
Term: leverage                       Term Frequency: 3         
Term: thought                        Term Frequency: 3         
Term: describes                      Term Frequency: 3         
Term: affiliation                    Term Frequency: 3         
Term: traces                         Term Frequency: 3         
Term: spread                         Term Frequency: 3         
Term: several                        Term Frequency: 3         
Term: higher                         Term Frequency: 3         
Term: frameworks                     Term Frequency: 3         
Term: growing                        Term Frequency: 3         
Term: result                         Term Frequency: 2         
Term: same                           Term Frequency: 2         
Term: connect                        Term Frequency: 2         
Term: good                           Term Frequency: 2         
Term: better                         Term Frequency: 2         
Term: illuminates                    Term Frequency: 2         
Term: order                          Term Frequency: 2         
Term: defined                        Term Frequency: 2         
Term: reported                       Term Frequency: 2         
Term: actual                         Term Frequency: 2         
Term: campus                         Term Frequency: 2         
Term: concept                        Term Frequency: 2         
Term: coworkers                      Term Frequency: 2         
Term: conceptual                     Term Frequency: 2         
Term: created                        Term Frequency: 2         
Term: formal                         Term Frequency: 2         
Term: did                            Term Frequency: 2         
Term: 0.10                           Term Frequency: 2         
Term: 0.08                           Term Frequency: 2         
Term: 0.06                           Term Frequency: 2         
Term: 0.04                           Term Frequency: 2         
Term: 0.21                           Term Frequency: 2         
Term: 0.19                           Term Frequency: 2         
Term: methodological                 Term Frequency: 2         
Term: 0.34                           Term Frequency: 2         
Term: 0.31                           Term Frequency: 2         
Term: 0.52                           Term Frequency: 2         
Term: 0.48                           Term Frequency: 2         
Term: 0.67                           Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: 0.63                           Term Frequency: 2         
Term: plethora                       Term Frequency: 2         
Term: 0.77                           Term Frequency: 2         
Term: 0.83                           Term Frequency: 2         
Term: 0.91                           Term Frequency: 2         
Term: main                           Term Frequency: 2         
Term: combine                        Term Frequency: 2         
Term: empirical                      Term Frequency: 2         
Term: constraints                    Term Frequency: 2         
Term: 10                             Term Frequency: 2         
Term: 21                             Term Frequency: 2         
Term: 24                             Term Frequency: 2         
Term: 25                             Term Frequency: 2         
Term: 27                             Term Frequency: 2         
Term: 29                             Term Frequency: 2         
Term: 30                             Term Frequency: 2         
Term: 34                             Term Frequency: 2         
Term: 38                             Term Frequency: 2         
Term: themselves                     Term Frequency: 2         
Term: 76                             Term Frequency: 2         
Term: apply                          Term Frequency: 2         
Term: 93                             Term Frequency: 2         
Term: 94                             Term Frequency: 2         
Term: theory                         Term Frequency: 2         
Term: across                         Term Frequency: 2         
Term: identity                       Term Frequency: 2         
Term: uniquely                       Term Frequency: 2         
Term: exists                         Term Frequency: 2         
Term: dashboards                     Term Frequency: 2         
Term: scientific                     Term Frequency: 2         
Term: advantage                      Term Frequency: 2         
Term: measurement                    Term Frequency: 2         
Term: ethics                         Term Frequency: 2         
Term: generated                      Term Frequency: 2         
Term: leave                          Term Frequency: 2         
Term: useful                         Term Frequency: 2         
Term: television                     Term Frequency: 2         
Term: render                         Term Frequency: 2         
Term: rates                          Term Frequency: 2         
Term: represented                    Term Frequency: 2         
Term: describe                       Term Frequency: 2         
Term: fields                         Term Frequency: 2         
Term: central                        Term Frequency: 2         
Term: plan                           Term Frequency: 2         
Term: gain                           Term Frequency: 2         
Term: statistics                     Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: personally                     Term Frequency: 2         
Term: contribute                     Term Frequency: 2         
Term: variance                       Term Frequency: 2         
Term: various                        Term Frequency: 2         
Term: interpretation                 Term Frequency: 2         
Term: language                       Term Frequency: 2         
Term: needs                          Term Frequency: 2         
Term: patterns                       Term Frequency: 2         
Term: form                           Term Frequency: 2         
Term: relationships                  Term Frequency: 2         
Term: gave                           Term Frequency: 2         
Term: become                         Term Frequency: 2         
Term: sending                        Term Frequency: 2         
Term: perspectives                   Term Frequency: 2         
Term: convenience                    Term Frequency: 2         
Term: them                           Term Frequency: 2         
Term: concepts                       Term Frequency: 2         
Term: adopt                          Term Frequency: 2         
Term: seen                           Term Frequency: 2         
Term: decision                       Term Frequency: 2         
Term: previous                       Term Frequency: 2         
Term: type                           Term Frequency: 2         
Term: terms                          Term Frequency: 2         
Term: phase                          Term Frequency: 2         
Term: engaging                       Term Frequency: 2         
Term: organize                       Term Frequency: 2         
Term: without                        Term Frequency: 2         
Term: area                           Term Frequency: 2         
Term: standardized                   Term Frequency: 2         
Term: considered                     Term Frequency: 2         
Term: analyze                        Term Frequency: 2         
Term: larger                         Term Frequency: 2         
Term: equally                        Term Frequency: 2         
Term: earlier                        Term Frequency: 2         
Term: ties                           Term Frequency: 2         
Term: measurable                     Term Frequency: 2         
Term: found                          Term Frequency: 2         
Term: entirely                       Term Frequency: 2         
Term: school                         Term Frequency: 2         
Term: adapt                          Term Frequency: 2         
Term: clarity                        Term Frequency: 2         
Term: observing                      Term Frequency: 2         
Term: having                         Term Frequency: 2         
Term: before                         Term Frequency: 2         
Term: his                            Term Frequency: 2         
Term: values                         Term Frequency: 2         
Term: point                          Term Frequency: 2         
Term: limitations                    Term Frequency: 2         
Term: collaborate                    Term Frequency: 2         
Term: afford                         Term Frequency: 2         
Term: explores                       Term Frequency: 2         
Term: abstracts                      Term Frequency: 2         
Term: best                           Term Frequency: 2         
Term: actually                       Term Frequency: 2         
Term: objects                        Term Frequency: 2         
Term: enduring                       Term Frequency: 2         
Term: pool                           Term Frequency: 2         
Term: joining                        Term Frequency: 2         
Term: decisions                      Term Frequency: 2         
Term: read                           Term Frequency: 2         
Term: intuitive                      Term Frequency: 2         
Term: predictors                     Term Frequency: 2         
Term: takes                          Term Frequency: 2         
Term: helpful                        Term Frequency: 2         
Term: bounded                        Term Frequency: 2         
Term: author’s                       Term Frequency: 2         
Term: utilizes                       Term Frequency: 2         
Term: differ                         Term Frequency: 2         
Term: opted                          Term Frequency: 2         
Term: thinking                       Term Frequency: 2         
Term: traditionally                  Term Frequency: 2         
Term: interesting                    Term Frequency: 2         
Term: confirm                        Term Frequency: 2         
Term: fourth                         Term Frequency: 2         
Term: demonstrate                    Term Frequency: 2         
Term: place                          Term Frequency: 2         
Term: predictor                      Term Frequency: 2         
Term: size                           Term Frequency: 2         
Term: making                         Term Frequency: 2         
Term: applied                        Term Frequency: 2         
Term: lend                           Term Frequency: 2         
Term: went                           Term Frequency: 2         
Term: improve                        Term Frequency: 2         
Term: cluster                        Term Frequency: 2         
Term: each                           Term Frequency: 2         
Term: availability                   Term Frequency: 2         
Term: tension                        Term Frequency: 2         
Term: page                           Term Frequency: 2         
Term: full                           Term Frequency: 2         
Term: manage                         Term Frequency: 2         
Term: three                          Term Frequency: 2         
Term: teaching                       Term Frequency: 2         
Term: merely                         Term Frequency: 2         
Term: phases                         Term Frequency: 2         
Term: profile                        Term Frequency: 2         
Term: adding                         Term Frequency: 2         
Term: worthy                         Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: considerations                 Term Frequency: 2         
Term: field                          Term Frequency: 2         
Term: ethical                        Term Frequency: 2         
Term: feel                           Term Frequency: 2         
Term: components                     Term Frequency: 2         
Term: project                        Term Frequency: 2         
Term: internet                       Term Frequency: 2         
Term: actionable                     Term Frequency: 2         
Term: reliable                       Term Frequency: 2         
Term: collaborative                  Term Frequency: 2         
Term: person’s                       Term Frequency: 2         
Term: coalesce                       Term Frequency: 2         
Term: website                        Term Frequency: 2         
Term: emerge                         Term Frequency: 2         
Term: female                         Term Frequency: 2         
Term: illuminate                     Term Frequency: 2         
Term: rich                           Term Frequency: 2         
Term: settings                       Term Frequency: 2         
Term: students                       Term Frequency: 2         
Term: ripe                           Term Frequency: 2         
Term: nearly                         Term Frequency: 2         
Term: detailed                       Term Frequency: 2         
Term: rise                           Term Frequency: 2         
Term: identifying                    Term Frequency: 2         
Term: mediate                        Term Frequency: 2         
Term: credibility                    Term Frequency: 2         
Term: details                        Term Frequency: 2         
Term: solve                          Term Frequency: 2         
Term: support                        Term Frequency: 2         
Term: distribution                   Term Frequency: 2         
Term: capacity                       Term Frequency: 2         
Term: theoretical                    Term Frequency: 2         
Term: begins                         Term Frequency: 2         
Term: policymakers                   Term Frequency: 2         
Term: independent                    Term Frequency: 2         
Term: list                           Term Frequency: 2         
Term: interface                      Term Frequency: 2         
Term: engender                       Term Frequency: 2         
Term: tensions                       Term Frequency: 2         
Term: unclear                        Term Frequency: 2         
Term: teenagers                      Term Frequency: 2         
Term: meeting                        Term Frequency: 2         
Term: actions                        Term Frequency: 2         
Term: validate                       Term Frequency: 2         
Term: inherent                       Term Frequency: 2         
Term: offers                         Term Frequency: 2         
Term: account                        Term Frequency: 2         
Term: soft                           Term Frequency: 2         
Term: population                     Term Frequency: 2         
Term: propensity                     Term Frequency: 2         
Term: capability                     Term Frequency: 2         
Term: series                         Term Frequency: 2         
Term: prior                          Term Frequency: 2         
Term: 2001                           Term Frequency: 2         
Term: relatively                     Term Frequency: 2         
Term: additional                     Term Frequency: 2         
Term: 2008                           Term Frequency: 2         
Term: 2007                           Term Frequency: 2         
Term: 2013                           Term Frequency: 2         
Term: clients                        Term Frequency: 2         
Term: serve                          Term Frequency: 2         
Term: illustrate                     Term Frequency: 2         
Term: experiences                    Term Frequency: 2         
Term: scientists                     Term Frequency: 2         
Term: position                       Term Frequency: 2         
Term: since                          Term Frequency: 2         
Term: deviation                      Term Frequency: 2         
Term: credible                       Term Frequency: 2         
Term: member’s                       Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: dependent                      Term Frequency: 2         
Term: statements                     Term Frequency: 2         
Term: resources                      Term Frequency: 2         
Term: building                       Term Frequency: 2         
Term: setting                        Term Frequency: 2         
Term: younger                        Term Frequency: 2         
Term: metrics                        Term Frequency: 2         
Term: signify                        Term Frequency: 2         
Term: already                        Term Frequency: 2         
Term: conducted                      Term Frequency: 2         
Term: affordances                    Term Frequency: 2         
