Term: research                       Term Frequency: 21        
Term: creation                       Term Frequency: 3         
Term: profile                        Term Frequency: 3         
Term: opportunity                    Term Frequency: 3         
Term: talk                           Term Frequency: 3         
Term: incentives                     Term Frequency: 3         
Term: 2015                           Term Frequency: 3         
Term: action                         Term Frequency: 3         
Term: may                            Term Frequency: 3         
Term: could                          Term Frequency: 3         
Term: health                         Term Frequency: 3         
Term: positive                       Term Frequency: 3         
Term: 17                             Term Frequency: 3         
Term: many                           Term Frequency: 3         
Term: open                           Term Frequency: 3         
Term: community                      Term Frequency: 3         
Term: useful                         Term Frequency: 3         
Term: collectively                   Term Frequency: 3         
Term: 2nd                            Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: explore                        Term Frequency: 3         
Term: levels                         Term Frequency: 3         
Term: crisis                         Term Frequency: 3         
Term: strong                         Term Frequency: 3         
Term: poses                          Term Frequency: 3         
Term: medicine                       Term Frequency: 3         
Term: mistakes                       Term Frequency: 3         
Term: practitioners                  Term Frequency: 3         
Term: our                            Term Frequency: 3         
Term: data                           Term Frequency: 3         
Term: blog                           Term Frequency: 3         
Term: factors                        Term Frequency: 3         
Term: audience                       Term Frequency: 2         
Term: analysis                       Term Frequency: 2         
Term: 5                              Term Frequency: 2         
Term: 9                              Term Frequency: 2         
Term: yellow                         Term Frequency: 2         
Term: provided                       Term Frequency: 2         
Term: hard                           Term Frequency: 2         
Term: multiple                       Term Frequency: 2         
Term: chief                          Term Frequency: 2         
Term: concern                        Term Frequency: 2         
Term: comparisons                    Term Frequency: 2         
Term: two                            Term Frequency: 2         
Term: reported                       Term Frequency: 2         
Term: had                            Term Frequency: 2         
Term: low                            Term Frequency: 2         
Term: major                          Term Frequency: 2         
Term: done                           Term Frequency: 2         
Term: general                        Term Frequency: 2         
Term: dots                           Term Frequency: 2         
Term: series                         Term Frequency: 2         
Term: session                        Term Frequency: 2         
Term: just                           Term Frequency: 2         
Term: owner                          Term Frequency: 2         
Term: hub                            Term Frequency: 2         
Term: 2014                           Term Frequency: 2         
Term: classified                     Term Frequency: 2         
Term: prioritised                    Term Frequency: 2         
Term: ideas                          Term Frequency: 2         
Term: experiences                    Term Frequency: 2         
Term: true                           Term Frequency: 2         
Term: make                           Term Frequency: 2         
Term: about                          Term Frequency: 2         
Term: based                          Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: quality                        Term Frequency: 2         
Term: fundamentally                  Term Frequency: 2         
Term: event                          Term Frequency: 2         
Term: replication                    Term Frequency: 2         
Term: space                          Term Frequency: 2         
Term: failed                         Term Frequency: 2         
Term: trials                         Term Frequency: 2         
Term: notes                          Term Frequency: 2         
Term: post                           Term Frequency: 2         
Term: environment                    Term Frequency: 2         
Term: authors                        Term Frequency: 2         
Term: movement                       Term Frequency: 2         
Term: new                            Term Frequency: 2         
Term: any                            Term Frequency: 2         
Term: engage                         Term Frequency: 2         
Term: where                          Term Frequency: 2         
Term: individuals                    Term Frequency: 2         
Term: helpful                        Term Frequency: 2         
Term: results                        Term Frequency: 2         
Term: green                          Term Frequency: 2         
Term: issues                         Term Frequency: 2         
Term: sticky                         Term Frequency: 2         
Term: receiving                      Term Frequency: 2         
Term: effect                         Term Frequency: 2         
Term: topic                          Term Frequency: 2         
Term: uses                           Term Frequency: 2         
Term: language                       Term Frequency: 2         
Term: publish                        Term Frequency: 2         
Term: practice                       Term Frequency: 2         
Term: large                          Term Frequency: 2         
Term: wider                          Term Frequency: 2         
Term: literature                     Term Frequency: 2         
Term: high                           Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: coloured                       Term Frequency: 2         
Term: so                             Term Frequency: 2         
Term: reasonable                     Term Frequency: 2         
Term: support                        Term Frequency: 2         
Term: gelman                         Term Frequency: 2         
Term: successful                     Term Frequency: 2         
Term: wide                           Term Frequency: 2         
Term: held                           Term Frequency: 2         
Term: beyond                         Term Frequency: 2         
Term: feedback                       Term Frequency: 2         
Term: problem                        Term Frequency: 2         
Term: review                         Term Frequency: 2         
Term: range                          Term Frequency: 2         
Term: out                            Term Frequency: 2         
Term: half                           Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: i.e                            Term Frequency: 1         
Term: 3027385.3029447                Term Frequency: 1         
Term: concluded                      Term Frequency: 1         
Term: achieve                        Term Frequency: 1         
Term: ahead                          Term Frequency: 1         
Term: example                        Term Frequency: 1         
Term: positives                      Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: consisting                     Term Frequency: 1         
Term: s                              Term Frequency: 1         
Term: journal.pmed                   Term Frequency: 1         
Term: posing                         Term Frequency: 1         
Term: deploy                         Term Frequency: 1         
Term: nonverbal                      Term Frequency: 1         
Term: analyses                       Term Frequency: 1         
Term: amounts                        Term Frequency: 1         
Term: others                         Term Frequency: 1         
Term: delivering                     Term Frequency: 1         
Term: applied                        Term Frequency: 1         
Term: embody                         Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: perform                        Term Frequency: 1         
Term: gmail.com                      Term Frequency: 1         
Term: better                         Term Frequency: 1         
Term: intemperate                    Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: e.g                            Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: underlying                     Term Frequency: 1         
Term: propose                        Term Frequency: 1         
Term: have                           Term Frequency: 1         
Term: reproducibility                Term Frequency: 1         
Term: produce                        Term Frequency: 1         
Term: propositions                   Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: almost                         Term Frequency: 1         
Term: hacking                        Term Frequency: 1         
Term: ambitious                      Term Frequency: 1         
Term: prioritisation                 Term Frequency: 1         
Term: raise                          Term Frequency: 1         
Term: including                      Term Frequency: 1         
Term: effective                      Term Frequency: 1         
Term: comments                       Term Frequency: 1         
Term: conduct                        Term Frequency: 1         
Term: expedition                     Term Frequency: 1         
Term: discussing                     Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: actions                        Term Frequency: 1         
Term: giving                         Term Frequency: 1         
Term: think                          Term Frequency: 1         
Term: entirely                       Term Frequency: 1         
Term: importantly                    Term Frequency: 1         
Term: evidence.laceproject.eu        Term Frequency: 1         
Term: participant                    Term Frequency: 1         
Term: bias                           Term Frequency: 1         
Term: given                          Term Frequency: 1         
Term: pre                            Term Frequency: 1         
Term: develop                        Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: measure                        Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: effort                         Term Frequency: 1         
Term: anything                       Term Frequency: 1         
Term: time                           Term Frequency: 1         
Term: interactive                    Term Frequency: 1         
Term: controversial                  Term Frequency: 1         
Term: light                          Term Frequency: 1         
Term: critiques                      Term Frequency: 1         
Term: faculty.haas.berkeley.edu      Term Frequency: 1         
Term: garden                         Term Frequency: 1         
Term: interests                      Term Frequency: 1         
Term: repudiated                     Term Frequency: 1         
Term: intensifies                    Term Frequency: 1         
Term: assumptions                    Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: kirsty.kitto                   Term Frequency: 1         
Term: open.ac.uk                     Term Frequency: 1         
Term: dana_carney                    Term Frequency: 1         
Term: 20poses.pdf                    Term Frequency: 1         
Term: diverted                       Term Frequency: 1         
Term: alternative                    Term Frequency: 1         
Term: third                          Term Frequency: 1         
Term: mean                           Term Frequency: 1         
Term: depending                      Term Frequency: 1         
Term: you                            Term Frequency: 1         
Term: committees                     Term Frequency: 1         
Term: hot                            Term Frequency: 1         
Term: year’s                         Term Frequency: 1         
Term: replicate                      Term Frequency: 1         
Term: randomised                     Term Frequency: 1         
Term: partly                         Term Frequency: 1         
Term: possible                       Term Frequency: 1         
Term: sometimes                      Term Frequency: 1         
Term: later                          Term Frequency: 1         
Term: finally                        Term Frequency: 1         
Term: regarding                      Term Frequency: 1         
Term: take                           Term Frequency: 1         
Term: 20power                        Term Frequency: 1         
Term: some                           Term Frequency: 1         
Term: beginning                      Term Frequency: 1         
Term: 2012                           Term Frequency: 1         
Term: 2011                           Term Frequency: 1         
Term: 2010                           Term Frequency: 1         
Term: 2005                           Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: caguerrebere                   Term Frequency: 1         
Term: 2017                           Term Frequency: 1         
Term: 2013                           Term Frequency: 1         
Term: hope                           Term Frequency: 1         
Term: attempt                        Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: unpublished                    Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: whereby                        Term Frequency: 1         
Term: doi                            Term Frequency: 1         
Term: 160384                         Term Frequency: 1         
Term: file                           Term Frequency: 1         
Term: creditably                     Term Frequency: 1         
Term: reviews                        Term Frequency: 1         
Term: illustrate                     Term Frequency: 1         
Term: difficult                      Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: position                       Term Frequency: 1         
Term: 41061                          Term Frequency: 1         
Term: immune                         Term Frequency: 1         
Term: uninteresting                  Term Frequency: 1         
Term: 349                            Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: dearth                         Term Frequency: 1         
Term: zzosang                        Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: goals                          Term Frequency: 1         
Term: 14                             Term Frequency: 1         
Term: e1002049                       Term Frequency: 1         
Term: 21                             Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: prominent                      Term Frequency: 1         
Term: 28                             Term Frequency: 1         
Term: believe                        Term Frequency: 1         
Term: min                            Term Frequency: 1         
Term: 36                             Term Frequency: 1         
Term: 36m                            Term Frequency: 1         
Term: controlled                     Term Frequency: 1         
Term: seeks                          Term Frequency: 1         
Term: broadens                       Term Frequency: 1         
Term: 47                             Term Frequency: 1         
Term: 0956797611417632               Term Frequency: 1         
Term: project                        Term Frequency: 1         
Term: maps                           Term Frequency: 1         
Term: solutions                      Term Frequency: 1         
Term: collection                     Term Frequency: 1         
Term: paths                          Term Frequency: 1         
Term: proposals                      Term Frequency: 1         
Term: 64                             Term Frequency: 1         
Term: twin                           Term Frequency: 1         
Term: stakes                         Term Frequency: 1         
Term: caveat                         Term Frequency: 1         
Term: project’s                      Term Frequency: 1         
Term: neuroendocrine                 Term Frequency: 1         
Term: degrees                        Term Frequency: 1         
Term: p_hacking.pdf                  Term Frequency: 1         
Term: legitimacy                     Term Frequency: 1         
Term: flexibility                    Term Frequency: 1         
Term: e124                           Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: commitment                     Term Frequency: 1         
Term: solicit                        Term Frequency: 1         
Term: speaker                        Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: commonplace                    Term Frequency: 1         
Term: public                         Term Frequency: 1         
Term: talks                          Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: currently                      Term Frequency: 1         
Term: via                            Term Frequency: 1         
Term: www.alltrials.net              Term Frequency: 1         
Term: selection                      Term Frequency: 1         
Term: providing                      Term Frequency: 1         
Term: collaboratively                Term Frequency: 1         
Term: red                            Term Frequency: 1         
Term: add                            Term Frequency: 1         
Term: its                            Term Frequency: 1         
Term: prevent                        Term Frequency: 1         
Term: improvement                    Term Frequency: 1         
Term: forum                          Term Frequency: 1         
Term: significance                   Term Frequency: 1         
Term: achieved                       Term Frequency: 1         
Term: detected                       Term Frequency: 1         
Term: odds                           Term Frequency: 1         
Term: succeeding                     Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: presenting                     Term Frequency: 1         
Term: partial                        Term Frequency: 1         
Term: optimism                       Term Frequency: 1         
Term: against                        Term Frequency: 1         
Term: encourage                      Term Frequency: 1         
Term: firstly                        Term Frequency: 1         
Term: share                          Term Frequency: 1         
Term: outcome                        Term Frequency: 1         
Term: powerful                       Term Frequency: 1         
Term: body                           Term Frequency: 1         
Term: real                           Term Frequency: 1         
Term: media                          Term Frequency: 1         
Term: running                        Term Frequency: 1         
Term: drawer                         Term Frequency: 1         
Term: suggested                      Term Frequency: 1         
Term: productive                     Term Frequency: 1         
Term: hypothesis                     Term Frequency: 1         
Term: reason                         Term Frequency: 1         
Term: establishing                   Term Frequency: 1         
Term: differently                    Term Frequency: 1         
Term: annual                         Term Frequency: 1         
Term: fully                          Term Frequency: 1         
Term: using                          Term Frequency: 1         
Term: taken                          Term Frequency: 1         
Term: broader                        Term Frequency: 1         
Term: classic                        Term Frequency: 1         
Term: blackboard.com                 Term Frequency: 1         
Term: sharing                        Term Frequency: 1         
Term: fields                         Term Frequency: 1         
Term: organisations                  Term Frequency: 1         
Term: way                            Term Frequency: 1         
Term: what                           Term Frequency: 1         
Term: assuming                       Term Frequency: 1         
Term: risk                           Term Frequency: 1         
Term: play                           Term Frequency: 1         
Term: developers                     Term Frequency: 1         
Term: when                           Term Frequency: 1         
Term: deliverables                   Term Frequency: 1         
Term: greater                        Term Frequency: 1         
Term: crises                         Term Frequency: 1         
Term: give                           Term Frequency: 1         
Term: www.ted.com                    Term Frequency: 1         
Term: study                          Term Frequency: 1         
Term: portion                        Term Frequency: 1         
Term: freedom                        Term Frequency: 1         
Term: great                          Term Frequency: 1         
Term: broadly                        Term Frequency: 1         
Term: statistics                     Term Frequency: 1         
Term: fee                            Term Frequency: 1         
Term: simple                         Term Frequency: 1         
Term: described                      Term Frequency: 1         
Term: produced                       Term Frequency: 1         
Term: important                      Term Frequency: 1         
Term: who                            Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: accompanying                   Term Frequency: 1         
Term: unreported                     Term Frequency: 1         
Term: posited                        Term Frequency: 1         
Term: attention                      Term Frequency: 1         
Term: bad                            Term Frequency: 1         
Term: complex                        Term Frequency: 1         
Term: sci                            Term Frequency: 1         
Term: e1001747                       Term Frequency: 1         
Term: hierarchy                      Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: 1001747                        Term Frequency: 1         
Term: extend                         Term Frequency: 1         
Term: 4870                           Term Frequency: 1         
Term: affect                         Term Frequency: 1         
Term: 1363                           Term Frequency: 1         
Term: d2                             Term Frequency: 1         
Term: proved                         Term Frequency: 1         
Term: indicate                       Term Frequency: 1         
Term: co                             Term Frequency: 1         
Term: 1368                           Term Frequency: 1         
Term: forking                        Term Frequency: 1         
Term: 20on                           Term Frequency: 1         
Term: do                             Term Frequency: 1         
Term: contact                        Term Frequency: 1         
Term: profound                       Term Frequency: 1         
Term: party                          Term Frequency: 1         
Term: little                         Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: views                          Term Frequency: 1         
Term: over                           Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: falter                         Term Frequency: 1         
Term: amy_cuddy_your_body_language_shapes_who_you_are Term Frequency: 1         
Term: four                           Term Frequency: 1         
Term: context                        Term Frequency: 1         
Term: majority                       Term Frequency: 1         
Term: https                          Term Frequency: 1         
Term: reduce                         Term Frequency: 1         
Term: issue                          Term Frequency: 1         
Term: lower                          Term Frequency: 1         
Term: secondly                       Term Frequency: 1         
Term: become                         Term Frequency: 1         
Term: turned                         Term Frequency: 1         
Term: g3725                          Term Frequency: 1         
Term: 4001                           Term Frequency: 1         
Term: systematic                     Term Frequency: 1         
Term: exploring                      Term Frequency: 1         
Term: report                         Term Frequency: 1         
Term: traction                       Term Frequency: 1         
Term: posts                          Term Frequency: 1         
Term: suggests                       Term Frequency: 1         
Term: than                           Term Frequency: 1         
Term: claim                          Term Frequency: 1         
Term: tolerance                      Term Frequency: 1         
Term: 6201                           Term Frequency: 1         
Term: undisclosed                    Term Frequency: 1         
Term: chosen                         Term Frequency: 1         
Term: 1.1                            Term Frequency: 1         
Term: 1.2                            Term Frequency: 1         
Term: 1.3                            Term Frequency: 1         
Term: focused                        Term Frequency: 1         
Term: errors                         Term Frequency: 1         
Term: behind                         Term Frequency: 1         
Term: highly                         Term Frequency: 1         
Term: brief                          Term Frequency: 1         
Term: allows                         Term Frequency: 1         
Term: chance                         Term Frequency: 1         
Term: social                         Term Frequency: 1         
Term: 100                            Term Frequency: 1         
Term: increasingly                   Term Frequency: 1         
Term: registered                     Term Frequency: 1         
Term: www.laceproject.eu             Term Frequency: 1         
Term: recent                         Term Frequency: 1         
Term: publishing                     Term Frequency: 1         
Term: them                           Term Frequency: 1         
Term: oppose                         Term Frequency: 1         
Term: 6251                           Term Frequency: 1         
Term: conference                     Term Frequency: 1         
Term: overcome                       Term Frequency: 1         
Term: organisers                     Term Frequency: 1         
Term: situations                     Term Frequency: 1         
Term: 10.1371                        Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: instantly                      Term Frequency: 1         
Term: ensure                         Term Frequency: 1         
Term: higher                         Term Frequency: 1         
Term: idea                           Term Frequency: 1         
Term: shapes                         Term Frequency: 1         
Term: 20position                     Term Frequency: 1         
Term: lies                           Term Frequency: 1         
Term: preclude                       Term Frequency: 1         
Term: weaker                         Term Frequency: 1         
Term: displays                       Term Frequency: 1         
Term: researcher                     Term Frequency: 1         
Term: natural                        Term Frequency: 1         
Term: come                           Term Frequency: 1         
Term: surrounded                     Term Frequency: 1         
Term: continues                      Term Frequency: 1         
Term: www.stat.columbia.edu          Term Frequency: 1         
Term: qut.edu.au                     Term Frequency: 1         
Term: help                           Term Frequency: 1         
Term: prone                          Term Frequency: 1         
Term: 2014;348                       Term Frequency: 1         
Term: should                         Term Frequency: 1         
Term: consequences                   Term Frequency: 1         
Term: individual                     Term Frequency: 1         
Term: person                         Term Frequency: 1         
Term: studies                        Term Frequency: 1         
Term: carried                        Term Frequency: 1         
Term: aims                           Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: confidence                     Term Frequency: 1         
Term: fishing                        Term Frequency: 1         
Term: these                          Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: L                              Term Frequency: 0         
Term: N                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: U                              Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Ferguson                       Term Frequency: 0         
Term: INTENDED                       Term Frequency: 0         
Term: Computers                      Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: Community                      Term Frequency: 0         
Term: Nelson                         Term Frequency: 0         
Term: WORKSHOP                       Term Frequency: 0         
Term: Clinical                       Term Frequency: 0         
Term: Among                          Term Frequency: 0         
Term: BMJ                            Term Frequency: 0         
Term: Mathematical                   Term Frequency: 0         
Term: OUTCOMES                       Term Frequency: 0         
Term: All                            Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: McElreath                      Term Frequency: 0         
Term: Collaboration                  Term Frequency: 0         
Term: P.E                            Term Frequency: 0         
Term: Problems                       Term Frequency: 0         
Term: 4Blackboard                    Term Frequency: 0         
Term: J.P.A                          Term Frequency: 0         
Term: Companies                      Term Frequency: 0         
Term: Estimating                     Term Frequency: 0         
Term: Carney                         Term Frequency: 0         
Term: Aug                            Term Frequency: 0         
Term: Brisbane                       Term Frequency: 0         
Term: There                          Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: Not                            Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: Review                         Term Frequency: 0         
Term: 6AA                            Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: Keynes                         Term Frequency: 0         
Term: Yong                           Term Frequency: 0         
Term: Kitto2                         Term Frequency: 0         
Term: 3Korea                         Term Frequency: 0         
Term: Technology                     Term Frequency: 0         
Term: Why                            Term Frequency: 0         
Term: Ioannidis                      Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Blog                           Term Frequency: 0         
Term: TED                            Term Frequency: 0         
Term: Second                         Term Frequency: 0         
Term: Thus                           Term Frequency: 0         
Term: Your                           Term Frequency: 0         
Term: Hall                           Term Frequency: 0         
Term: Sang                           Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: School                         Term Frequency: 0         
Term: Korea                          Term Frequency: 0         
Term: pdf_My                         Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: Human                          Term Frequency: 0         
Term: Canada                         Term Frequency: 0         
Term: Useful                         Term Frequency: 0         
Term: Universities                   Term Frequency: 0         
Term: Soc                            Term Frequency: 0         
Term: Mike.Sharkey                   Term Frequency: 0         
Term: Italia                         Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: Information                    Term Frequency: 0         
Term: Montevideo                     Term Frequency: 0         
Term: Failathon                      Term Frequency: 0         
Term: Owner                          Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: Categories                     Term Frequency: 0         
Term: Psychological                  Term Frequency: 0         
Term: One                            Term Frequency: 0         
Term: March                          Term Frequency: 0         
Term: Australia                      Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Ceibal                         Term Frequency: 0         
Term: Walton                         Term Frequency: 0         
Term: OBJECTIVES                     Term Frequency: 0         
Term: Phoenix                        Term Frequency: 0         
Term: Incentives                     Term Frequency: 0         
Term: Cecilia                        Term Frequency: 0         
Term: Society                        Term Frequency: 0         
Term: Maskrey                        Term Frequency: 0         
Term: Following                      Term Frequency: 0         
Term: Ferguson1                      Term Frequency: 0         
Term: Dong                           Term Frequency: 0         
Term: Fundamentally                  Term Frequency: 0         
Term: Poster                         Term Frequency: 0         
Term: Block                          Term Frequency: 0         
Term: Science                        Term Frequency: 0         
Term: Service                        Term Frequency: 0         
Term: Future                         Term Frequency: 0         
Term: Clow                           Term Frequency: 0         
Term: Street                         Term Frequency: 0         
Term: Ceibos                         Term Frequency: 0         
Term: Exchange                       Term Frequency: 0         
Term: Mike                           Term Frequency: 0         
Term: AZ                             Term Frequency: 0         
Term: Author                         Term Frequency: 0         
Term: BC                             Term Frequency: 0         
Term: Beyond                         Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: Av                             Term Frequency: 0         
Term: ceibal.edu.uyABSTRACT          Term Frequency: 0         
Term: Doug                           Term Frequency: 0         
Term: AllTrials1                     Term Frequency: 0         
Term: LACE                           Term Frequency: 0         
Term: Cho3                           Term Frequency: 0         
Term: Evidence                       Term Frequency: 0         
Term: PLoS                           Term Frequency: 0         
Term: Gu                             Term Frequency: 0         
Term: George                         Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: Is                             Term Frequency: 0         
Term: It                             Term Frequency: 0         
Term: USA                            Term Frequency: 0         
Term: Gelman                         Term Frequency: 0         
Term: True                           Term Frequency: 0         
Term: Firstname.Surname              Term Frequency: 0         
Term: Loken                          Term Frequency: 0         
Term: Producing                      Term Frequency: 0         
Term: Cuddy                          Term Frequency: 0         
Term: Rebecca                        Term Frequency: 0         
Term: My                             Term Frequency: 0         
Term: 2Queensland                    Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Make                           Term Frequency: 0         
Term: Yap                            Term Frequency: 0         
Term: Open                           Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: MK7                            Term Frequency: 0         
Term: Many                           Term Frequency: 0         
Term: Ro                             Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: So                             Term Frequency: 0         
Term: UK                             Term Frequency: 0         
Term: D2.8                           Term Frequency: 0         
Term: Factors                        Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: Failure                        Term Frequency: 0         
Term: Los                            Term Frequency: 0         
Term: Vancouver                      Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: Simmons                        Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: How                            Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: POSTER                         Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Published                      Term Frequency: 0         
Term: Milton                         Term Frequency: 0         
Term: Power                          Term Frequency: 0         
Term: BACKGROUND                     Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Hub                            Term Frequency: 0         
Term: Smaldino                       Term Frequency: 0         
Term: False                          Term Frequency: 0         
Term: if                             Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: Aguerrebere51The               Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: SoLAR                          Term Frequency: 0         
Term: Edificio                       Term Frequency: 0         
Term: Howick                         Term Frequency: 0         
Term: Sciences                       Term Frequency: 0         
Term: Simonsohn                      Term Frequency: 0         
Term: Poses                          Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: Terms                          Term Frequency: 0         
Term: Med                            Term Frequency: 0         
Term: AND                            Term Frequency: 0         
Term: Daegu                          Term Frequency: 0         
Term: no                             Term Frequency: 0         
Term: Clow1                          Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: Hub2                           Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: Dongnau                        Term Frequency: 0         
Term: Descriptors                    Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: but                            Term Frequency: 0         
Term: Greenhalgh                     Term Frequency: 0         
