Term: skill                          Term Frequency: 73        
Term: similar                        Term Frequency: 4         
Term: asked                          Term Frequency: 4         
Term: few                            Term Frequency: 4         
Term: problematic                    Term Frequency: 4         
Term: problem                        Term Frequency: 4         
Term: help                           Term Frequency: 4         
Term: ground                         Term Frequency: 4         
Term: factors                        Term Frequency: 4         
Term: correct                        Term Frequency: 4         
Term: considered                     Term Frequency: 4         
Term: identified                     Term Frequency: 4         
Term: some                           Term Frequency: 4         
Term: existing                       Term Frequency: 4         
Term: causal                         Term Frequency: 4         
Term: first                          Term Frequency: 4         
Term: accuracy                       Term Frequency: 4         
Term: identify                       Term Frequency: 4         
Term: truth                          Term Frequency: 4         
Term: other                          Term Frequency: 4         
Term: any                            Term Frequency: 4         
Term: significant                    Term Frequency: 4         
Term: bad                            Term Frequency: 4         
Term: developed                      Term Frequency: 4         
Term: typically                      Term Frequency: 4         
Term: d                              Term Frequency: 3         
Term: others                         Term Frequency: 3         
Term: propose                        Term Frequency: 3         
Term: less                           Term Frequency: 3         
Term: effective                      Term Frequency: 3         
Term: particular                     Term Frequency: 3         
Term: assigned                       Term Frequency: 3         
Term: 0.05                           Term Frequency: 3         
Term: researchers                    Term Frequency: 3         
Term: made                           Term Frequency: 3         
Term: includes                       Term Frequency: 3         
Term: 16                             Term Frequency: 3         
Term: 50                             Term Frequency: 3         
Term: optimal                        Term Frequency: 3         
Term: understanding                  Term Frequency: 3         
Term: community                      Term Frequency: 3         
Term: generated                      Term Frequency: 3         
Term: represented                    Term Frequency: 3         
Term: another                        Term Frequency: 3         
Term: ordering                       Term Frequency: 3         
Term: systems                        Term Frequency: 3         
Term: identifying                    Term Frequency: 3         
Term: teachers                       Term Frequency: 3         
Term: he                             Term Frequency: 3         
Term: very                           Term Frequency: 3         
Term: complete                       Term Frequency: 3         
Term: intelligent                    Term Frequency: 3         
Term: cognitive                      Term Frequency: 3         
Term: so                             Term Frequency: 3         
Term: techniques                     Term Frequency: 3         
Term: introduced                     Term Frequency: 3         
Term: i.e                            Term Frequency: 3         
Term: standard                       Term Frequency: 3         
Term: discussion                     Term Frequency: 3         
Term: must                           Term Frequency: 3         
Term: before                         Term Frequency: 3         
Term: percent                        Term Frequency: 3         
Term: suggestions                    Term Frequency: 3         
Term: correctly                      Term Frequency: 3         
Term: 2005                           Term Frequency: 3         
Term: 2014                           Term Frequency: 3         
Term: equation                       Term Frequency: 3         
Term: contribution                   Term Frequency: 3         
Term: finding                        Term Frequency: 3         
Term: paper                          Term Frequency: 3         
Term: criterion                      Term Frequency: 3         
Term: wpi.edu                        Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: predict                        Term Frequency: 3         
Term: until                          Term Frequency: 3         
Term: where                          Term Frequency: 3         
Term: through                        Term Frequency: 3         
Term: view                           Term Frequency: 3         
Term: more                           Term Frequency: 3         
Term: matrices                       Term Frequency: 3         
Term: performs                       Term Frequency: 3         
Term: related                        Term Frequency: 3         
Term: 2280                           Term Frequency: 3         
Term: instruction                    Term Frequency: 3         
Term: several                        Term Frequency: 3         
Term: 01609                          Term Frequency: 3         
Term: 100                            Term Frequency: 3         
Term: current                        Term Frequency: 3         
Term: transformations                Term Frequency: 3         
Term: only                           Term Frequency: 3         
Term: computing                      Term Frequency: 3         
Term: combinatorial                  Term Frequency: 2         
Term: require                        Term Frequency: 2         
Term: after                          Term Frequency: 2         
Term: i                              Term Frequency: 2         
Term: information                    Term Frequency: 2         
Term: 8th                            Term Frequency: 2         
Term: applied                        Term Frequency: 2         
Term: provided                       Term Frequency: 2         
Term: provides                       Term Frequency: 2         
Term: well                           Term Frequency: 2         
Term: illustrates                    Term Frequency: 2         
Term: respectively                   Term Frequency: 2         
Term: noisy                          Term Frequency: 2         
Term: comparison                     Term Frequency: 2         
Term: networks                       Term Frequency: 2         
Term: does                           Term Frequency: 2         
Term: replaced                       Term Frequency: 2         
Term: source                         Term Frequency: 2         
Term: unable                         Term Frequency: 2         
Term: traverses                      Term Frequency: 2         
Term: pair                           Term Frequency: 2         
Term: equal                          Term Frequency: 2         
Term: required                       Term Frequency: 2         
Term: performed                      Term Frequency: 2         
Term: created                        Term Frequency: 2         
Term: format                         Term Frequency: 2         
Term: build                          Term Frequency: 2         
Term: interaction                    Term Frequency: 2         
Term: coherence                      Term Frequency: 2         
Term: depending                      Term Frequency: 2         
Term: past                           Term Frequency: 2         
Term: average                        Term Frequency: 2         
Term: did                            Term Frequency: 2         
Term: regarding                      Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: navigation                     Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: yielded                        Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: 3.2                            Term Frequency: 2         
Term: 3.3                            Term Frequency: 2         
Term: map                            Term Frequency: 2         
Term: main                           Term Frequency: 2         
Term: exactly                        Term Frequency: 2         
Term: 11                             Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: components                     Term Frequency: 2         
Term: 25                             Term Frequency: 2         
Term: 26                             Term Frequency: 2         
Term: though                         Term Frequency: 2         
Term: 45                             Term Frequency: 2         
Term: common                         Term Frequency: 2         
Term: preliminary                    Term Frequency: 2         
Term: matrix                         Term Frequency: 2         
Term: learn                          Term Frequency: 2         
Term: need                           Term Frequency: 2         
Term: 4.1                            Term Frequency: 2         
Term: 4.2                            Term Frequency: 2         
Term: indicates                      Term Frequency: 2         
Term: below                          Term Frequency: 2         
Term: specific                       Term Frequency: 2         
Term: expertise                      Term Frequency: 2         
Term: refinements                    Term Frequency: 2         
Term: research                       Term Frequency: 2         
Term: non                            Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: effects                        Term Frequency: 2         
Term: relaxed                        Term Frequency: 2         
Term: uses                           Term Frequency: 2         
Term: assumption                     Term Frequency: 2         
Term: search                         Term Frequency: 2         
Term: do                             Term Frequency: 2         
Term: rate                           Term Frequency: 2         
Term: form                           Term Frequency: 2         
Term: practice                       Term Frequency: 2         
Term: id                             Term Frequency: 2         
Term: while                          Term Frequency: 2         
Term: limit                          Term Frequency: 2         
Term: student's                      Term Frequency: 2         
Term: type                           Term Frequency: 2         
Term: terms                          Term Frequency: 2         
Term: exist                          Term Frequency: 2         
Term: out                            Term Frequency: 2         
Term: power                          Term Frequency: 2         
Term: like                           Term Frequency: 2         
Term: core                           Term Frequency: 2         
Term: respondents                    Term Frequency: 2         
Term: note                           Term Frequency: 2         
Term: scale                          Term Frequency: 2         
Term: without                        Term Frequency: 2         
Term: achieve                        Term Frequency: 2         
Term: arcs                           Term Frequency: 2         
Term: area                           Term Frequency: 2         
Term: success                        Term Frequency: 2         
Term: focus                          Term Frequency: 2         
Term: affords                        Term Frequency: 2         
Term: underlying                     Term Frequency: 2         
Term: even                           Term Frequency: 2         
Term: basis                          Term Frequency: 2         
Term: scrutiny                       Term Frequency: 2         
Term: typical                        Term Frequency: 2         
Term: point                          Term Frequency: 2         
Term: account                        Term Frequency: 2         
Term: evaluation                     Term Frequency: 2         
Term: opportunity                    Term Frequency: 2         
Term: answer                         Term Frequency: 2         
Term: represent                      Term Frequency: 2         
Term: ignored                        Term Frequency: 2         
Term: take                           Term Frequency: 2         
Term: relatively                     Term Frequency: 2         
Term: 2016                           Term Frequency: 2         
Term: approximately                  Term Frequency: 2         
Term: within                         Term Frequency: 2         
Term: able                           Term Frequency: 2         
Term: selected                       Term Frequency: 2         
Term: difficult                      Term Frequency: 2         
Term: transforming                   Term Frequency: 2         
Term: infer                          Term Frequency: 2         
Term: best                           Term Frequency: 2         
Term: transform                      Term Frequency: 2         
Term: deviation                      Term Frequency: 2         
Term: master                         Term Frequency: 2         
Term: free                           Term Frequency: 2         
Term: reasons                        Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: hints                          Term Frequency: 2         
Term: space                          Term Frequency: 2         
Term: value                          Term Frequency: 2         
Term: currently                      Term Frequency: 2         
Term: ran                            Term Frequency: 2         
Term: raw                            Term Frequency: 2         
Term: its                            Term Frequency: 2         
Term: improvement                    Term Frequency: 2         
Term: years                          Term Frequency: 2         
Term: algorithm                      Term Frequency: 2         
Term: future                         Term Frequency: 2         
Term: row                            Term Frequency: 2         
Term: 0.1                            Term Frequency: 2         
Term: completed                      Term Frequency: 2         
Term: predictors                     Term Frequency: 2         
Term: either                         Term Frequency: 2         
Term: learned                        Term Frequency: 2         
Term: modeling                       Term Frequency: 2         
Term: greater                        Term Frequency: 2         
Term: care                           Term Frequency: 2         
Term: transfer                       Term Frequency: 2         
Term: daily                          Term Frequency: 2         
Term: interactions                   Term Frequency: 2         
Term: strong                         Term Frequency: 2         
Term: indicate                       Term Frequency: 2         
Term: she                            Term Frequency: 2         
Term: 7th                            Term Frequency: 2         
Term: behind                         Term Frequency: 2         
Term: scores                         Term Frequency: 2         
Term: interesting                    Term Frequency: 2         
Term: available                      Term Frequency: 2         
Term: generate                       Term Frequency: 2         
Term: reach                          Term Frequency: 2         
Term: following                      Term Frequency: 2         
Term: responses                      Term Frequency: 2         
Term: should                         Term Frequency: 2         
Term: instances                      Term Frequency: 2         
Term: studies                        Term Frequency: 2         
Term: studied                        Term Frequency: 2         
Term: 0                              Term Frequency: 1         
Term: statistical                    Term Frequency: 1         
Term: example                        Term Frequency: 1         
Term: same                           Term Frequency: 1         
Term: ordered                        Term Frequency: 1         
Term: v                              Term Frequency: 1         
Term: thank                          Term Frequency: 1         
Term: analytics                      Term Frequency: 1         
Term: check                          Term Frequency: 1         
Term: representation                 Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: multiple                       Term Frequency: 1         
Term: room                           Term Frequency: 1         
Term: uploads                        Term Frequency: 1         
Term: taking                         Term Frequency: 1         
Term: implication                    Term Frequency: 1         
Term: illustrated                    Term Frequency: 1         
Term: matter                         Term Frequency: 1         
Term: too                            Term Frequency: 1         
Term: exhibiting                     Term Frequency: 1         
Term: employed                       Term Frequency: 1         
Term: including                      Term Frequency: 1         
Term: similarly                      Term Frequency: 1         
Term: direction                      Term Frequency: 1         
Term: respond                        Term Frequency: 1         
Term: creating                       Term Frequency: 1         
Term: cut                            Term Frequency: 1         
Term: 4190                           Term Frequency: 1         
Term: desired                        Term Frequency: 1         
Term: takeaway                       Term Frequency: 1         
Term: bias                           Term Frequency: 1         
Term: starts                         Term Frequency: 1         
Term: 283                            Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: link’s                         Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: 24321                          Term Frequency: 1         
Term: 2883851.2883867                Term Frequency: 1         
Term: measured                       Term Frequency: 1         
Term: three                          Term Frequency: 1         
Term: 17th                           Term Frequency: 1         
Term: deemed                         Term Frequency: 1         
Term: 1983                           Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: log                            Term Frequency: 1         
Term: 1996                           Term Frequency: 1         
Term: low                            Term Frequency: 1         
Term: means                          Term Frequency: 1         
Term: randomly                       Term Frequency: 1         
Term: tell                           Term Frequency: 1         
Term: www.achievethecore.org         Term Frequency: 1         
Term: pointing                       Term Frequency: 1         
Term: day                            Term Frequency: 1         
Term: creates                        Term Frequency: 1         
Term: part                           Term Frequency: 1         
Term: built                          Term Frequency: 1         
Term: examining                      Term Frequency: 1         
Term: impact                         Term Frequency: 1         
Term: term                           Term Frequency: 1         
Term: posters                        Term Frequency: 1         
Term: 0.01                           Term Frequency: 1         
Term: 1031398                        Term Frequency: 1         
Term: possible                       Term Frequency: 1         
Term: right                          Term Frequency: 1         
Term: later                          Term Frequency: 1         
Term: varied                         Term Frequency: 1         
Term: educationaldatamining.org      Term Frequency: 1         
Term: importance                     Term Frequency: 1         
Term: 0.32                           Term Frequency: 1         
Term: originals                      Term Frequency: 1         
Term: human                          Term Frequency: 1         
Term: statistically                  Term Frequency: 1         
Term: 0.40                           Term Frequency: 1         
Term: letters                        Term Frequency: 1         
Term: 0.67                           Term Frequency: 1         
Term: served                         Term Frequency: 1         
Term: 0.58                           Term Frequency: 1         
Term: skew                           Term Frequency: 1         
Term: curve                          Term Frequency: 1         
Term: 0.75                           Term Frequency: 1         
Term: 0.86                           Term Frequency: 1         
Term: websites                       Term Frequency: 1         
Term: method’s                       Term Frequency: 1         
Term: arrangement                    Term Frequency: 1         
Term: 315                            Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: intensive                      Term Frequency: 1         
Term: alter                          Term Frequency: 1         
Term: combine                        Term Frequency: 1         
Term: becomes                        Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: included                       Term Frequency: 1         
Term: met                            Term Frequency: 1         
Term: 345                            Term Frequency: 1         
Term: clustering                     Term Frequency: 1         
Term: 04                             Term Frequency: 1         
Term: observed                       Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: 354                            Term Frequency: 1         
Term: 355                            Term Frequency: 1         
Term: 356                            Term Frequency: 1         
Term: expended                       Term Frequency: 1         
Term: 14                             Term Frequency: 1         
Term: received                       Term Frequency: 1         
Term: getvn.asp                      Term Frequency: 1         
Term: benefit                        Term Frequency: 1         
Term: unique                         Term Frequency: 1         
Term: 20                             Term Frequency: 1         
Term: 21                             Term Frequency: 1         
Term: 22                             Term Frequency: 1         
Term: experiments                    Term Frequency: 1         
Term: 29                             Term Frequency: 1         
Term: 1st                            Term Frequency: 1         
Term: partition                      Term Frequency: 1         
Term: covariances                    Term Frequency: 1         
Term: 1316736                        Term Frequency: 1         
Term: examined                       Term Frequency: 1         
Term: 31                             Term Frequency: 1         
Term: 33                             Term Frequency: 1         
Term: 36                             Term Frequency: 1         
Term: strategies                     Term Frequency: 1         
Term: 47                             Term Frequency: 1         
Term: 57                             Term Frequency: 1         
Term: adapts                         Term Frequency: 1         
Term: invited                        Term Frequency: 1         
Term: hypothetical                   Term Frequency: 1         
Term: coefficient                    Term Frequency: 1         
Term: proposals                      Term Frequency: 1         
Term: 67                             Term Frequency: 1         
Term: ranges                         Term Frequency: 1         
Term: interest                       Term Frequency: 1         
Term: 77                             Term Frequency: 1         
Term: apply                          Term Frequency: 1         
Term: 80                             Term Frequency: 1         
Term: step                           Term Frequency: 1         
Term: 86                             Term Frequency: 1         
Term: 87                             Term Frequency: 1         
Term: among                          Term Frequency: 1         
Term: theory                         Term Frequency: 1         
Term: extension                      Term Frequency: 1         
Term: verify                         Term Frequency: 1         
Term: misconceptions                 Term Frequency: 1         
Term: exists                         Term Frequency: 1         
Term: saadjei                        Term Frequency: 1         
Term: existence                      Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: preparing                      Term Frequency: 1         
Term: provision                      Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: configuration                  Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: variable                       Term Frequency: 1         
Term: leading                        Term Frequency: 1         
Term: allowed                        Term Frequency: 1         
Term: because                        Term Frequency: 1         
Term: assigning                      Term Frequency: 1         
Term: dealing                        Term Frequency: 1         
Term: selection                      Term Frequency: 1         
Term: least                          Term Frequency: 1         
Term: minimize                       Term Frequency: 1         
Term: representing                   Term Frequency: 1         
Term: predictions                    Term Frequency: 1         
Term: perceptions                    Term Frequency: 1         
Term: instructions                   Term Frequency: 1         
Term: assigns                        Term Frequency: 1         
Term: often                          Term Frequency: 1         
Term: tests                          Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: intentionally                  Term Frequency: 1         
Term: noted                          Term Frequency: 1         
Term: referred                       Term Frequency: 1         
Term: education                      Term Frequency: 1         
Term: called                         Term Frequency: 1         
Term: gradually                      Term Frequency: 1         
Term: mapping                        Term Frequency: 1         
Term: foundations                    Term Frequency: 1         
Term: driven                         Term Frequency: 1         
Term: authors                        Term Frequency: 1         
Term: acm.org                        Term Frequency: 1         
Term: against                        Term Frequency: 1         
Term: creators                       Term Frequency: 1         
Term: 413                            Term Frequency: 1         
Term: 414                            Term Frequency: 1         
Term: 2nd                            Term Frequency: 1         
Term: etc                            Term Frequency: 1         
Term: new                            Term Frequency: 1         
Term: took                           Term Frequency: 1         
Term: influenced                     Term Frequency: 1         
Term: chose                          Term Frequency: 1         
Term: prelude                        Term Frequency: 1         
Term: hierarchies                    Term Frequency: 1         
Term: supplying                      Term Frequency: 1         
Term: automatically                  Term Frequency: 1         
Term: 495                            Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: metric                         Term Frequency: 1         
Term: features                       Term Frequency: 1         
Term: duplicate                      Term Frequency: 1         
Term: involving                      Term Frequency: 1         
Term: next                           Term Frequency: 1         
Term: derived                        Term Frequency: 1         
Term: ensures                        Term Frequency: 1         
Term: attempted                      Term Frequency: 1         
Term: criteria                       Term Frequency: 1         
Term: far                            Term Frequency: 1         
Term: give                           Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: differences                    Term Frequency: 1         
Term: confuse                        Term Frequency: 1         
Term: web                            Term Frequency: 1         
Term: nth                            Term Frequency: 1         
Term: heads                          Term Frequency: 1         
Term: section                        Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: solely                         Term Frequency: 1         
Term: effect                         Term Frequency: 1         
Term: acm.orgproblems                Term Frequency: 1         
Term: why                            Term Frequency: 1         
Term: designed                       Term Frequency: 1         
Term: approaches                     Term Frequency: 1         
Term: designer                       Term Frequency: 1         
Term: attention                      Term Frequency: 1         
Term: predictive                     Term Frequency: 1         
Term: observe                        Term Frequency: 1         
Term: hierarchical                   Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: management                     Term Frequency: 1         
Term: significantly                  Term Frequency: 1         
Term: easily                         Term Frequency: 1         
Term: believable                     Term Frequency: 1         
Term: 517                            Term Frequency: 1         
Term: lower                          Term Frequency: 1         
Term: aimed                          Term Frequency: 1         
Term: resulting                      Term Frequency: 1         
Term: 520                            Term Frequency: 1         
Term: become                         Term Frequency: 1         
Term: progressively                  Term Frequency: 1         
Term: eventually                     Term Frequency: 1         
Term: banging                        Term Frequency: 1         
Term: ability                        Term Frequency: 1         
Term: off                            Term Frequency: 1         
Term: generally                      Term Frequency: 1         
Term: second                         Term Frequency: 1         
Term: suggests                       Term Frequency: 1         
Term: 23412                          Term Frequency: 1         
Term: suggestive                     Term Frequency: 1         
Term: prediction                     Term Frequency: 1         
Term: investigate                    Term Frequency: 1         
Term: determine                      Term Frequency: 1         
Term: determination                  Term Frequency: 1         
Term: extremely                      Term Frequency: 1         
Term: grouped                        Term Frequency: 1         
Term: seen                           Term Frequency: 1         
Term: necessary                      Term Frequency: 1         
Term: winsorize                      Term Frequency: 1         
Term: partially                      Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: ensure                         Term Frequency: 1         
Term: solve                          Term Frequency: 1         
Term: know                           Term Frequency: 1         
Term: abotelho                       Term Frequency: 1         
Term: pure                           Term Frequency: 1         
Term: cases                          Term Frequency: 1         
Term: previous                       Term Frequency: 1         
Term: agglomerative                  Term Frequency: 1         
Term: tagging                        Term Frequency: 1         
Term: come                           Term Frequency: 1         
Term: get                            Term Frequency: 1         
Term: course                         Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: minimum                        Term Frequency: 1         
Term: proposes                       Term Frequency: 1         
Term: purpose                        Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: 5803                           Term Frequency: 1         
Term: thus                           Term Frequency: 1         
Term: independent                    Term Frequency: 1         
Term: concluded                      Term Frequency: 1         
Term: datasets                       Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: concludes                      Term Frequency: 1         
Term: lack                           Term Frequency: 1         
Term: standardized                   Term Frequency: 1         
Term: perform                        Term Frequency: 1         
Term: mslinkstrength                 Term Frequency: 1         
Term: per                            Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: assisted                       Term Frequency: 1         
Term: analyze                        Term Frequency: 1         
Term: indication                     Term Frequency: 1         
Term: indicating                     Term Frequency: 1         
Term: opportunities                  Term Frequency: 1         
Term: names                          Term Frequency: 1         
Term: requiring                      Term Frequency: 1         
Term: irrespective                   Term Frequency: 1         
Term: equally                        Term Frequency: 1         
Term: whether                        Term Frequency: 1         
Term: affected                       Term Frequency: 1         
Term: simplified                     Term Frequency: 1         
Term: intended                       Term Frequency: 1         
Term: design                         Term Frequency: 1         
Term: followed                       Term Frequency: 1         
Term: consecutive                    Term Frequency: 1         
Term: want                           Term Frequency: 1         
Term: continue                       Term Frequency: 1         
Term: last                           Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: asking                         Term Frequency: 1         
Term: effort                         Term Frequency: 1         
Term: identifier                     Term Frequency: 1         
Term: ways                           Term Frequency: 1         
Term: desire                         Term Frequency: 1         
Term: entirety                       Term Frequency: 1         
Term: his                            Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: tree                           Term Frequency: 1         
Term: inherently                     Term Frequency: 1         
Term: correspondingly                Term Frequency: 1         
Term: general                        Term Frequency: 1         
Term: process                        Term Frequency: 1         
Term: 1567                           Term Frequency: 1         
Term: mean                           Term Frequency: 1         
Term: limitations                    Term Frequency: 1         
Term: trying                         Term Frequency: 1         
Term: empirically                    Term Frequency: 1         
Term: session                        Term Frequency: 1         
Term: additional                     Term Frequency: 1         
Term: 2011                           Term Frequency: 1         
Term: 2009                           Term Frequency: 1         
Term: 2008                           Term Frequency: 1         
Term: 2004                           Term Frequency: 1         
Term: averaged                       Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: grants                         Term Frequency: 1         
Term: complimentary                  Term Frequency: 1         
Term: material                       Term Frequency: 1         
Term: owned                          Term Frequency: 1         
Term: answers                        Term Frequency: 1         
Term: impression                     Term Frequency: 1         
Term: positive                       Term Frequency: 1         
Term: defining                       Term Frequency: 1         
Term: serve                          Term Frequency: 1         
Term: illustrate                     Term Frequency: 1         
Term: predicts                       Term Frequency: 1         
Term: beta                           Term Frequency: 1         
Term: reflect                        Term Frequency: 1         
Term: mastered                       Term Frequency: 1         
Term: five                           Term Frequency: 1         
Term: ruin                           Term Frequency: 1         
Term: every                          Term Frequency: 1         
Term: during                         Term Frequency: 1         
Term: degrees                        Term Frequency: 1         
Term: dependent                      Term Frequency: 1         
Term: caused                         Term Frequency: 1         
Term: perfect                        Term Frequency: 1         
Term: intervention                   Term Frequency: 1         
Term: statements                     Term Frequency: 1         
Term: tiny.cc                        Term Frequency: 1         
Term: score                          Term Frequency: 1         
Term: fairly                         Term Frequency: 1         
Term: metrics                        Term Frequency: 1         
