Term: analysis                       Term Frequency: 28        
Term: dimension                      Term Frequency: 1         
Term: further                        Term Frequency: 1         
Term: evaluation                     Term Frequency: 1         
Term: record                         Term Frequency: 1         
Term: stev.code                      Term Frequency: 1         
Term: opportunity                    Term Frequency: 1         
Term: choosing                       Term Frequency: 1         
Term: representation’s               Term Frequency: 1         
Term: consisted                      Term Frequency: 1         
Term: involve                        Term Frequency: 1         
Term: 9th                            Term Frequency: 1         
Term: series                         Term Frequency: 1         
Term: did                            Term Frequency: 1         
Term: added                          Term Frequency: 1         
Term: questions                      Term Frequency: 1         
Term: promise                        Term Frequency: 1         
Term: hold                           Term Frequency: 1         
Term: prior                          Term Frequency: 1         
Term: 2000                           Term Frequency: 1         
Term: take                           Term Frequency: 1         
Term: rather                         Term Frequency: 1         
Term: 2009                           Term Frequency: 1         
Term: passes                         Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: length                         Term Frequency: 1         
Term: recommends                     Term Frequency: 1         
Term: explain                        Term Frequency: 1         
Term: answers                        Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: marks                          Term Frequency: 1         
Term: presumably                     Term Frequency: 1         
Term: find                           Term Frequency: 1         
Term: coded                          Term Frequency: 1         
Term: processes                      Term Frequency: 1         
Term: 341                            Term Frequency: 1         
Term: evident                        Term Frequency: 1         
Term: 04                             Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: sizes                          Term Frequency: 1         
Term: playback                       Term Frequency: 1         
Term: goals                          Term Frequency: 1         
Term: 10                             Term Frequency: 1         
Term: something                      Term Frequency: 1         
Term: 21                             Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: 25                             Term Frequency: 1         
Term: fact                           Term Frequency: 1         
Term: 28                             Term Frequency: 1         
Term: 29                             Term Frequency: 1         
Term: 370                            Term Frequency: 1         
Term: pieces                         Term Frequency: 1         
Term: increasing                     Term Frequency: 1         
Term: progress                       Term Frequency: 1         
Term: geometry                       Term Frequency: 1         
Term: replaying                      Term Frequency: 1         
Term: 46                             Term Frequency: 1         
Term: 49                             Term Frequency: 1         
Term: 6037                           Term Frequency: 1         
Term: numbers                        Term Frequency: 1         
Term: expressing                     Term Frequency: 1         
Term: kkoile                         Term Frequency: 1         
Term: 56                             Term Frequency: 1         
Term: assistance                     Term Frequency: 1         
Term: definition                     Term Frequency: 1         
Term: clusters                       Term Frequency: 1         
Term: 77                             Term Frequency: 1         
Term: characteristics                Term Frequency: 1         
Term: again                          Term Frequency: 1         
Term: histories                      Term Frequency: 1         
Term: step                           Term Frequency: 1         
Term: mark                           Term Frequency: 1         
Term: during                         Term Frequency: 1         
Term: resizing                       Term Frequency: 1         
Term: among                          Term Frequency: 1         
Term: theory                         Term Frequency: 1         
Term: specifies                      Term Frequency: 1         
Term: pictures                       Term Frequency: 1         
Term: first                          Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: imply                          Term Frequency: 1         
Term: bottom                         Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: solving                        Term Frequency: 1         
Term: paper                          Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: instead                        Term Frequency: 1         
Term: 1020152                        Term Frequency: 1         
Term: because                        Term Frequency: 1         
Term: dealing                        Term Frequency: 1         
Term: handwriting                    Term Frequency: 1         
Term: indicators                     Term Frequency: 1         
Term: representing                   Term Frequency: 1         
Term: pedagogically                  Term Frequency: 1         
Term: trials                         Term Frequency: 1         
Term: tation                         Term Frequency: 1         
Term: communicate                    Term Frequency: 1         
Term: add                            Term Frequency: 1         
Term: need                           Term Frequency: 1         
Term: wrote                          Term Frequency: 1         
Term: often                          Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: alignment                      Term Frequency: 1         
Term: choose                         Term Frequency: 1         
Term: wirelessly                     Term Frequency: 1         
Term: end                            Term Frequency: 1         
Term: noted                          Term Frequency: 1         
Term: modify                         Term Frequency: 1         
Term: environment                    Term Frequency: 1         
Term: tried                          Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: shape                          Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: thousands                      Term Frequency: 1         
Term: other                          Term Frequency: 1         
Term: aim                            Term Frequency: 1         
Term: against                        Term Frequency: 1         
Term: asked                          Term Frequency: 1         
Term: indicates                      Term Frequency: 1         
Term: electronic                     Term Frequency: 1         
Term: filled                         Term Frequency: 1         
Term: 6x7                            Term Frequency: 1         
Term: trial                          Term Frequency: 1         
Term: real                           Term Frequency: 1         
Term: rewrote                        Term Frequency: 1         
Term: unit                           Term Frequency: 1         
Term: around                         Term Frequency: 1         
Term: rater                          Term Frequency: 1         
Term: strategy                       Term Frequency: 1         
Term: forms                          Term Frequency: 1         
Term: structured                     Term Frequency: 1         
Term: dividend                       Term Frequency: 1         
Term: 9654                           Term Frequency: 1         
Term: describes                      Term Frequency: 1         
Term: developing                     Term Frequency: 1         
Term: challenging                    Term Frequency: 1         
Term: view                           Term Frequency: 1         
Term: those                          Term Frequency: 1         
Term: submit                         Term Frequency: 1         
Term: classes                        Term Frequency: 1         
Term: show                           Term Frequency: 1         
Term: quickly                        Term Frequency: 1         
Term: pattern                        Term Frequency: 1         
Term: fee                            Term Frequency: 1         
Term: important                      Term Frequency: 1         
Term: refers                         Term Frequency: 1         
Term: who                            Term Frequency: 1         
Term: interactions                   Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: move                           Term Frequency: 1         
Term: investigation                  Term Frequency: 1         
Term: analyzing                      Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: al                             Term Frequency: 1         
Term: interpretation                 Term Frequency: 1         
Term: submissions                    Term Frequency: 1         
Term: deal                           Term Frequency: 1         
Term: whom                           Term Frequency: 1         
Term: indicate                       Term Frequency: 1         
Term: incorrect                      Term Frequency: 1         
Term: children’s                     Term Frequency: 1         
Term: exploratory                    Term Frequency: 1         
Term: contact                        Term Frequency: 1         
Term: et                             Term Frequency: 1         
Term: party                          Term Frequency: 1         
Term: captured                       Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: stroke                         Term Frequency: 1         
Term: select                         Term Frequency: 1         
Term: easily                         Term Frequency: 1         
Term: aimed                          Term Frequency: 1         
Term: resulting                      Term Frequency: 1         
Term: continuing                     Term Frequency: 1         
Term: grades                         Term Frequency: 1         
Term: everything                     Term Frequency: 1         
Term: than                           Term Frequency: 1         
Term: publication                    Term Frequency: 1         
Term: different                      Term Frequency: 1         
Term: months                         Term Frequency: 1         
Term: 1.1                            Term Frequency: 1         
Term: 1.2                            Term Frequency: 1         
Term: algebraic                      Term Frequency: 1         
Term: 9720                           Term Frequency: 1         
Term: storage                        Term Frequency: 1         
Term: total                          Term Frequency: 1         
Term: drew                           Term Frequency: 1         
Term: upper                          Term Frequency: 1         
Term: extremely                      Term Frequency: 1         
Term: drawn                          Term Frequency: 1         
Term: them                           Term Frequency: 1         
Term: generalization                 Term Frequency: 1         
Term: starting                       Term Frequency: 1         
Term: grounded                       Term Frequency: 1         
Term: marlene_kliman                 Term Frequency: 1         
Term: so                             Term Frequency: 1         
Term: key                            Term Frequency: 1         
Term: andee_rubin                    Term Frequency: 1         
Term: partially                      Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: guiding                        Term Frequency: 1         
Term: dynamic                        Term Frequency: 1         
Term: up                             Term Frequency: 1         
Term: us                             Term Frequency: 1         
Term: ensure                         Term Frequency: 1         
Term: drawings                       Term Frequency: 1         
Term: types                          Term Frequency: 1         
Term: software                       Term Frequency: 1         
Term: held                           Term Frequency: 1         
Term: beyond                         Term Frequency: 1         
Term: terms                          Term Frequency: 1         
Term: goal                           Term Frequency: 1         
Term: method                         Term Frequency: 1         
Term: examples                       Term Frequency: 1         
Term: columns                        Term Frequency: 1         
Term: out                            Term Frequency: 1         
Term: consuming                      Term Frequency: 1         
Term: continues                      Term Frequency: 1         
Term: help                           Term Frequency: 1         
Term: lily_ko                        Term Frequency: 1         
Term: own                            Term Frequency: 1         
Term: translate                      Term Frequency: 1         
Term: only                           Term Frequency: 1         
Term: notebook                       Term Frequency: 1         
Term: development                    Term Frequency: 1         
Term: comparing                      Term Frequency: 1         
Term: replay                         Term Frequency: 1         
Term: ending                         Term Frequency: 1         
Term: techniques                     Term Frequency: 1         
Term: computing                      Term Frequency: 1         
Term: organize                       Term Frequency: 1         
Term: groups                         Term Frequency: 1         
Term: stevcode.com                   Term Frequency: 1         
Term: these                          Term Frequency: 0         
Term: Fosnot                         Term Frequency: 0         
Term: Shown                          Term Frequency: 0         
Term: Analysis                       Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: H                              Term Frequency: 0         
Term: I                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: U                              Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Cuoco                          Term Frequency: 0         
Term: Computers                      Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: Young                          Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: ODL                            Term Frequency: 0         
Term: CLP’s                          Term Frequency: 0         
Term: Draw                           Term Frequency: 0         
Term: Reston                         Term Frequency: 0         
Term: Mathematical                   Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: CODING                         Term Frequency: 0         
Term: Artificial                     Term Frequency: 0         
Term: Demonstrating                  Term Frequency: 0         
Term: Frameworks                     Term Frequency: 0         
Term: They                           Term Frequency: 0         
Term: There                          Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: Ave                            Term Frequency: 0         
Term: Council                        Term Frequency: 0         
Term: Meaning                        Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: ANALYSIS                       Term Frequency: 0         
Term: Type                           Term Frequency: 0         
Term: Technology                     Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Lily                           Term Frequency: 0         
Term: Design                         Term Frequency: 0         
Term: National                       Term Frequency: 0         
Term: Woleck                         Term Frequency: 0         
Term: She                            Term Frequency: 0         
Term: Proceedings                    Term Frequency: 0         
Term: Gutierrez                      Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: CURRENT                        Term Frequency: 0         
Term: Mathematics                    Term Frequency: 0         
Term: School                         Term Frequency: 0         
Term: TLT                            Term Frequency: 0         
Term: Mathematicians                 Term Frequency: 0         
Term: Oct                            Term Frequency: 0         
Term: CLP                            Term Frequency: 0         
Term: Thinking                       Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: COR                            Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: ABSTRACT                       Term Frequency: 0         
Term: Create                         Term Frequency: 0         
Term: Payton                         Term Frequency: 0         
Term: Edinburgh                      Term Frequency: 0         
Term: INTRODUCTION                   Term Frequency: 0         
Term: United                         Term Frequency: 0         
Term: Cambridge                      Term Frequency: 0         
Term: History                        Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: Constructing                   Term Frequency: 0         
Term: Chapman                        Term Frequency: 0         
Term: Categories                     Term Frequency: 0         
Term: One                            Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: But                            Term Frequency: 0         
Term: Spannagel                      Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Santos                         Term Frequency: 0         
Term: Our                            Term Frequency: 0         
Term: Hammond                        Term Frequency: 0         
Term: Dolk                           Term Frequency: 0         
Term: Kliman                         Term Frequency: 0         
Term: Partner                        Term Frequency: 0         
Term: Steve                          Term Frequency: 0         
Term: Rubin                          Term Frequency: 0         
Term: Interactive                    Term Frequency: 0         
Term: Systems                        Term Frequency: 0         
Term: Robust                         Term Frequency: 0         
Term: Additional                     Term Frequency: 0         
Term: Principles                     Term Frequency: 0         
Term: Machine                        Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: Awaiting                       Term Frequency: 0         
Term: Represen                       Term Frequency: 0         
Term: DB                             Term Frequency: 0         
Term: Using                          Term Frequency: 0         
Term: Heinemann                      Term Frequency: 0         
Term: Springer                       Term Frequency: 0         
Term: Representation                 Term Frequency: 0         
Term: Ed                             Term Frequency: 0         
Term: FI                             Term Frequency: 0         
Term: Classroom                      Term Frequency: 0         
Term: Pen                            Term Frequency: 0         
Term: Student                        Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: E34                            Term Frequency: 0         
Term: Indeed                         Term Frequency: 0         
Term: DRL                            Term Frequency: 0         
Term: Fill                           Term Frequency: 0         
Term: Ko                             Term Frequency: 0         
Term: ICTMT                          Term Frequency: 0         
Term: MA                             Term Frequency: 0         
Term: VisibleKimberle                Term Frequency: 0         
Term: April                          Term Frequency: 0         
Term: Portsmouth                     Term Frequency: 0         
Term: NL                             Term Frequency: 0         
Term: NY                             Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: Standards                      Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Marlene                        Term Frequency: 0         
Term: Students                       Term Frequency: 0         
Term: Make                           Term Frequency: 0         
Term: Roles                          Term Frequency: 0         
Term: Two                            Term Frequency: 0         
Term: MIT                            Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: Figure                         Term Frequency: 0         
Term: TD                             Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: Inscriptions                   Term Frequency: 0         
Term: Preliminary                    Term Frequency: 0         
Term: IEEE                           Term Frequency: 0         
Term: N.H                            Term Frequency: 0         
Term: StevCode                       Term Frequency: 0         
Term: NCTM                           Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: Her                            Term Frequency: 0         
Term: Teachers                       Term Frequency: 0         
Term: Work                           Term Frequency: 0         
Term: Mass                           Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: Intelligence                   Term Frequency: 0         
Term: Knowledge                      Term Frequency: 0         
Term: Impact                         Term Frequency: 0         
Term: INC                            Term Frequency: 0         
Term: INK                            Term Frequency: 0         
Term: Koile                          Term Frequency: 0         
Term: Touch                          Term Frequency: 0         
Term: MACHINE                        Term Frequency: 0         
Term: Visual                         Term Frequency: 0         
Term: Dec                            Term Frequency: 0         
Term: Recognizing                    Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: How                            Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: TERC                           Term Frequency: 0         
Term: ABR                            Term Frequency: 0         
Term: BINS                           Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Teaching                       Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Number                         Term Frequency: 0         
Term: ENABLING                       Term Frequency: 0         
Term: ACKNOWLEDGMENTS                Term Frequency: 0         
Term: HUMAN                          Term Frequency: 0         
Term: Example                        Term Frequency: 0         
Term: EQN                            Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: Adler                          Term Frequency: 0         
Term: Division                       Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: no                             Term Frequency: 0         
Term: ANS                            Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: WIPTTE                         Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: then                           Term Frequency: 0         
Term: Such                           Term Frequency: 0         
Term: ARR                            Term Frequency: 0         
Term: Listen                         Term Frequency: 0         
Term: Tablet                         Term Frequency: 0         
Term: Descriptors                    Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: but                            Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: What                           Term Frequency: 0         
Term: Subject                        Term Frequency: 0         
Term: Kingdom                        Term Frequency: 0         
Term: Val                            Term Frequency: 0         
Term: NSF                            Term Frequency: 0         
Term: Elementary                     Term Frequency: 0         
Term: WORK                           Term Frequency: 0         
Term: Andee                          Term Frequency: 0         
Term: Table                          Term Frequency: 0         
Term: Multiplication                 Term Frequency: 0         
Term: Kortenkamp                     Term Frequency: 0         
Term: Eds                            Term Frequency: 0         
Term: Methods                        Term Frequency: 0         
Term: Uses                           Term Frequency: 0         
Term: Ink                            Term Frequency: 0         
Term: will                           Term Frequency: 0         
