Term: matrix                         Term Frequency: 31        
Term: matricesare                    Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: spontaneouslytransfer          Term Frequency: 1         
Term: predictionof                   Term Frequency: 1         
Term: status                         Term Frequency: 1         
Term: atleast                        Term Frequency: 1         
Term: ability                        Term Frequency: 1         
Term: could                          Term Frequency: 1         
Term: ks                             Term Frequency: 1         
Term: 5th                            Term Frequency: 1         
Term: numberof                       Term Frequency: 1         
Term: la                             Term Frequency: 1         
Term: able                           Term Frequency: 1         
Term: 548                            Term Frequency: 1         
Term: use                            Term Frequency: 1         
Term: while                          Term Frequency: 1         
Term: 20,345                         Term Frequency: 1         
Term: matrixdecomposition            Term Frequency: 1         
Term: solution                       Term Frequency: 1         
Term: be404expressed                 Term Frequency: 1         
Term: sufficient                     Term Frequency: 1         
Term: ideal                          Term Frequency: 1         
Term: follows                        Term Frequency: 1         
Term: imation                        Term Frequency: 1         
Term: matri                          Term Frequency: 1         
Term: forpersonal                    Term Frequency: 1         
Term: attracting                     Term Frequency: 1         
Term: hadfast                        Term Frequency: 1         
Term: make                           Term Frequency: 1         
Term: disjunction                    Term Frequency: 1         
Term: bers                           Term Frequency: 1         
Term: 100                            Term Frequency: 1         
Term: 343                            Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: fordealing                     Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: 354                            Term Frequency: 1         
Term: vari                           Term Frequency: 1         
Term: above                          Term Frequency: 1         
Term: 14                             Term Frequency: 1         
Term: 16                             Term Frequency: 1         
Term: ingeneral                      Term Frequency: 1         
Term: them                           Term Frequency: 1         
Term: 362                            Term Frequency: 1         
Term: tobig                          Term Frequency: 1         
Term: obtained                       Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: 1uisvsj                        Term Frequency: 1         
Term: simu                           Term Frequency: 1         
Term: extended                       Term Frequency: 1         
Term: notavailable                   Term Frequency: 1         
Term: situations                     Term Frequency: 1         
Term: variables                      Term Frequency: 1         
Term: perfor                         Term Frequency: 1         
Term: 45                             Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: conditional                    Term Frequency: 1         
Term: descriptions                   Term Frequency: 1         
Term: 159                            Term Frequency: 1         
Term: iterative                      Term Frequency: 1         
Term: ofskill                        Term Frequency: 1         
Term: needed                         Term Frequency: 1         
Term: 172                            Term Frequency: 1         
Term: speed                          Term Frequency: 1         
Term: 76                             Term Frequency: 1         
Term: normal                         Term Frequency: 1         
Term: recently                       Term Frequency: 1         
Term: becompletely                   Term Frequency: 1         
Term: isassumed                      Term Frequency: 1         
Term: step                           Term Frequency: 1         
Term: tribute                        Term Frequency: 1         
Term: latentspace                    Term Frequency: 1         
Term: espe                           Term Frequency: 1         
Term: relation                       Term Frequency: 1         
Term: imate                          Term Frequency: 1         
Term: between                        Term Frequency: 1         
Term: following                      Term Frequency: 1         
Term: specifies                      Term Frequency: 1         
Term: extension                      Term Frequency: 1         
Term: foundation                     Term Frequency: 1         
Term: misconceptions                 Term Frequency: 1         
Term: forthe                         Term Frequency: 1         
Term: cannot                         Term Frequency: 1         
Term: whileqj                        Term Frequency: 1         
Term: first                          Term Frequency: 1         
Term: dimensions                     Term Frequency: 1         
Term: theexperiment                  Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: uncertaintyvariables           Term Frequency: 1         
Term: growing                        Term Frequency: 1         
Term: thelocal                       Term Frequency: 1         
Term: development                    Term Frequency: 1         
Term: responseon                     Term Frequency: 1         
Term: proposea                       Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: error                          Term Frequency: 1         
Term: iteration                      Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: verified                       Term Frequency: 1         
Term: round                          Term Frequency: 1         
Term: derivation                     Term Frequency: 1         
Term: KAKENHI                        Term Frequency: 0         
Term: Templin                        Term Frequency: 0         
Term: Entropy                        Term Frequency: 0         
Term: Poughkeepsie                   Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: Numerical                      Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: F                              Term Frequency: 0         
Term: G                              Term Frequency: 0         
Term: H                              Term Frequency: 0         
Term: I                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: L                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: An                             Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: Q                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: Institute                      Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: V                              Term Frequency: 0         
Term: Y                              Term Frequency: 0         
Term: Z                              Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: McLaughlin                     Term Frequency: 0         
Term: Gionis                         Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Parameter                      Term Frequency: 0         
Term: EducationalData                Term Frequency: 0         
Term: DI                             Term Frequency: 0         
Term: CONCLUSIONSIn                  Term Frequency: 0         
Term: EM                             Term Frequency: 0         
Term: Press                          Term Frequency: 0         
Term: MODELFor                       Term Frequency: 0         
Term: DecompositionProblem           Term Frequency: 0         
Term: En                             Term Frequency: 0         
Term: SunUniversity                  Term Frequency: 0         
Term: E.A                            Term Frequency: 0         
Term: form.Rij                       Term Frequency: 0         
Term: Applications                   Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: Rij                            Term Frequency: 0         
Term: 1lnP                           Term Frequency: 0         
Term: BasedQ                         Term Frequency: 0         
Term: Miettinen                      Term Frequency: 0         
Term: practice.In                    Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: K0                             Term Frequency: 0         
Term: DescriptorsD                   Term Frequency: 0         
Term: It                             Term Frequency: 0         
Term: BMF                            Term Frequency: 0         
Term: recently.Among                 Term Frequency: 0         
Term: Con                            Term Frequency: 0         
Term: DeCarlo                        Term Frequency: 0         
Term: Chinashiwye                    Term Frequency: 0         
Term: ModelShiwei                    Term Frequency: 0         
Term: Algorithms                     Term Frequency: 0         
Term: andQ                           Term Frequency: 0         
Term: Torre                          Term Frequency: 0         
Term: Ki                             Term Frequency: 0         
Term: Journal                        Term Frequency: 0         
Term: USAACM                         Term Frequency: 0         
Term: Computations                   Term Frequency: 0         
Term: Henson                         Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: Stamper                        Term Frequency: 0         
Term: onData                         Term Frequency: 0         
Term: NA                             Term Frequency: 0         
Term: Ma                             Term Frequency: 0         
Term: NP                             Term Frequency: 0         
Term: NY                             Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: Their                          Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Booleanmatrix                  Term Frequency: 0         
Term: QE                             Term Frequency: 0         
Term: QT                             Term Frequency: 0         
Term: elementRij                     Term Frequency: 0         
Term: MIE                            Term Frequency: 0         
Term: learningGeneral                Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: RESULTSThe                     Term Frequency: 0         
Term: Novel                          Term Frequency: 0         
Term: restored.Based                 Term Frequency: 0         
Term: Liu                            Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: data.Categories                Term Frequency: 0         
Term: IEEE                           Term Frequency: 0         
Term: ucas.ac.cnYuan                 Term Frequency: 0         
Term: Automated                      Term Frequency: 0         
Term: Problem                        Term Frequency: 0         
Term: DataEngineering                Term Frequency: 0         
Term: Chinasunyi                     Term Frequency: 0         
Term: Barnes                         Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: Conference                     Term Frequency: 0         
Term: Matrix                         Term Frequency: 0         
Term: Guilford                       Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: Boolean                        Term Frequency: 0         
Term: Belohlavek                     Term Frequency: 0         
Term: Xu                             Term Frequency: 0         
Term: Ye                             Term Frequency: 0         
Term: ACKNOWLEDGMENTSThis            Term Frequency: 0         
Term: Rule                           Term Frequency: 0         
Term: Performance                    Term Frequency: 0         
Term: ofInformaticsTokyo             Term Frequency: 0         
Term: Num                            Term Frequency: 0         
Term: denotedR                       Term Frequency: 0         
Term: Das                            Term Frequency: 0         
Term: InProceedings                  Term Frequency: 0         
Term: Rupp                           Term Frequency: 0         
Term: Variations                     Term Frequency: 0         
Term: INTRODUCTIONPermission         Term Frequency: 0         
Term: Knowledge                      Term Frequency: 0         
Term: EDM                            Term Frequency: 0         
Term: Maximum                        Term Frequency: 0         
Term: J.C                            Term Frequency: 0         
Term: Applied                        Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: Author.LAK                     Term Frequency: 0         
Term: Simulation                     Term Frequency: 0         
Term: model.Applied                  Term Frequency: 0         
Term: Recognizing                    Term Frequency: 0         
Term: CDM                            Term Frequency: 0         
Term: Handbook                       Term Frequency: 0         
Term: Space                          Term Frequency: 0         
Term: Method                         Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: How                            Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: Here                           Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: Theory                         Term Frequency: 0         
Term: Developmentand                 Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: CONJUNCTIVE                    Term Frequency: 0         
Term: Measurements                   Term Frequency: 0         
Term: nii.ac.jpHaobo                 Term Frequency: 0         
Term: Metrics                        Term Frequency: 0         
Term: Tatsuoka                       Term Frequency: 0         
Term: SystemSciences                 Term Frequency: 0         
Term: Bayesian                       Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: Because                        Term Frequency: 0         
Term: Accordingly                    Term Frequency: 0         
Term: Academyof                      Term Frequency: 0         
Term: Mielikainen                    Term Frequency: 0         
Term: Measurement                    Term Frequency: 0         
Term: Ying                           Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: gR                             Term Frequency: 0         
Term: DINA                           Term Frequency: 0         
Term: Vychodi                        Term Frequency: 0         
Term: International                  Term Frequency: 0         
Term: Grant                          Term Frequency: 0         
Term: ScienceBeijing                 Term Frequency: 0         
Term: iK                             Term Frequency: 0         
Term: TermsAlgorithms                Term Frequency: 0         
Term: Mining                         Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: SunNational                    Term Frequency: 0         
Term: Chinawanghaobo                 Term Frequency: 0         
Term: if                             Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: IEEETransactions               Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: JSPS                           Term Frequency: 0         
Term: TheoryKeywordsRule             Term Frequency: 0         
Term: Mar                            Term Frequency: 0         
Term: Amatrix                        Term Frequency: 0         
Term: Minimum                        Term Frequency: 0         
Term: Diagnostic                     Term Frequency: 0         
Term: Minimized                      Term Frequency: 0         
Term: ofQ                            Term Frequency: 0         
Term: Infor                          Term Frequency: 0         
Term: Educational                    Term Frequency: 0         
Term: inSection                      Term Frequency: 0         
Term: S.W                            Term Frequency: 0         
Term: Japanyuan                      Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: Discovery                      Term Frequency: 0         
Term: Mannila                        Term Frequency: 0         
Term: AND                            Term Frequency: 0         
Term: Information                    Term Frequency: 0         
Term: Due                            Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: SIMULATION                     Term Frequency: 0         
Term: CDMs                           Term Frequency: 0         
Term: Owner                          Term Frequency: 0         
Term: AlternatingRecursive           Term Frequency: 0         
Term: EducationalMeasurement         Term Frequency: 0         
Term: then                           Term Frequency: 0         
Term: Sun                            Term Frequency: 0         
Term: Simulationresults              Term Frequency: 0         
Term: 1sR                            Term Frequency: 0         
Term: theQ                           Term Frequency: 0         
Term: Psychological                  Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: Under                          Term Frequency: 0         
Term: Section                        Term Frequency: 0         
Term: After                          Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: China                          Term Frequency: 0         
Term: andApplications                Term Frequency: 0         
Term: ucas.ac.cnABSTRACTCognitive    Term Frequency: 0         
Term: Vaidya                         Term Frequency: 0         
Term: state.Based                    Term Frequency: 0         
Term: Koedinger                      Term Frequency: 0         
Term: Subject                        Term Frequency: 0         
Term: ucas.ac.cnYi                   Term Frequency: 0         
Term: Moreover                       Term Frequency: 0         
Term: Discrete                       Term Frequency: 0         
Term: here.As                        Term Frequency: 0         
Term: Prob                           Term Frequency: 0         
Term: WangUniversity                 Term Frequency: 0         
Term: MODEL                          Term Frequency: 0         
Term: K.R                            Term Frequency: 0         
Term: following.P                    Term Frequency: 0         
Term: Central                        Term Frequency: 0         
Term: onEducational                  Term Frequency: 0         
Term: Proceedingsof                  Term Frequency: 0         
Term: Both                           Term Frequency: 0         
Term: Methods                        Term Frequency: 0         
Term: YeUniversity                   Term Frequency: 0         
Term: Engineering                    Term Frequency: 0         
Term: Basis                          Term Frequency: 0         
Term: here.For                       Term Frequency: 0         
Term: Cognitive                      Term Frequency: 0         
Term: Inoue                          Term Frequency: 0         
Term: Factorization                  Term Frequency: 0         
Term: algorithm.Due                  Term Frequency: 0         
