Term: concept                        Term Frequency: 45        
Term: hard                           Term Frequency: 1         
Term: pilot                          Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: better                         Term Frequency: 1         
Term: taking                         Term Frequency: 1         
Term: focus                          Term Frequency: 1         
Term: changing                       Term Frequency: 1         
Term: understand                     Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: intelligence                   Term Frequency: 1         
Term: too                            Term Frequency: 1         
Term: imperative                     Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: 2.3                            Term Frequency: 1         
Term: design                         Term Frequency: 1         
Term: discussion                     Term Frequency: 1         
Term: each                           Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: two                            Term Frequency: 1         
Term: desired                        Term Frequency: 1         
Term: team                           Term Frequency: 1         
Term: instructors                    Term Frequency: 1         
Term: njit.edu                       Term Frequency: 1         
Term: actual                         Term Frequency: 1         
Term: reflection                     Term Frequency: 1         
Term: widely                         Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: three                          Term Frequency: 1         
Term: extraction                     Term Frequency: 1         
Term: initial                        Term Frequency: 1         
Term: major                          Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: instructor                     Term Frequency: 1         
Term: textbooks                      Term Frequency: 1         
Term: process                        Term Frequency: 1         
Term: third                          Term Frequency: 1         
Term: build                          Term Frequency: 1         
Term: been                           Term Frequency: 1         
Term: stage                          Term Frequency: 1         
Term: under                          Term Frequency: 1         
Term: questions                      Term Frequency: 1         
Term: importance                     Term Frequency: 1         
Term: 2012                           Term Frequency: 1         
Term: 2011                           Term Frequency: 1         
Term: duration                       Term Frequency: 1         
Term: human                          Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: 2016                           Term Frequency: 1         
Term: articles                       Term Frequency: 1         
Term: showing                        Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: coursework                     Term Frequency: 1         
Term: 3368                           Term Frequency: 1         
Term: semantic                       Term Frequency: 1         
Term: scaffold                       Term Frequency: 1         
Term: essays                         Term Frequency: 1         
Term: instance                       Term Frequency: 1         
Term: intensive                      Term Frequency: 1         
Term: ubiquitous                     Term Frequency: 1         
Term: best                           Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: about                          Term Frequency: 1         
Term: parsing                        Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: reflect                        Term Frequency: 1         
Term: contribution                   Term Frequency: 1         
Term: 13                             Term Frequency: 1         
Term: methodologies                  Term Frequency: 1         
Term: labor                          Term Frequency: 1         
Term: relationship                   Term Frequency: 1         
Term: 43                             Term Frequency: 1         
Term: 49                             Term Frequency: 1         
Term: 75                             Term Frequency: 1         
Term: summary                        Term Frequency: 1         
Term: 77                             Term Frequency: 1         
Term: 84                             Term Frequency: 1         
Term: whole                          Term Frequency: 1         
Term: still                          Term Frequency: 1         
Term: toward                         Term Frequency: 1         
Term: include                        Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: reference                      Term Frequency: 1         
Term: insights                       Term Frequency: 1         
Term: preparing                      Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: via                            Term Frequency: 1         
Term: visual                         Term Frequency: 1         
Term: version                        Term Frequency: 1         
Term: contains                       Term Frequency: 1         
Term: textual                        Term Frequency: 1         
Term: assessment                     Term Frequency: 1         
Term: need                           Term Frequency: 1         
Term: materials                      Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: technical                      Term Frequency: 1         
Term: langauge                       Term Frequency: 1         
Term: environment                    Term Frequency: 1         
Term: career                         Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: specify                        Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: 6th                            Term Frequency: 1         
Term: other                          Term Frequency: 1         
Term: prototype                      Term Frequency: 1         
Term: outputs                        Term Frequency: 1         
Term: body                           Term Frequency: 1         
Term: visualize                      Term Frequency: 1         
Term: tool                           Term Frequency: 1         
Term: leverage                       Term Frequency: 1         
Term: construction                   Term Frequency: 1         
Term: any                            Term Frequency: 1         
Term: establishing                   Term Frequency: 1         
Term: expected                       Term Frequency: 1         
Term: demand                         Term Frequency: 1         
Term: 5285                           Term Frequency: 1         
Term: yx98                           Term Frequency: 1         
Term: structured                     Term Frequency: 1         
Term: generating                     Term Frequency: 1         
Term: timely                         Term Frequency: 1         
Term: utilizes                       Term Frequency: 1         
Term: feasibility                    Term Frequency: 1         
Term: utilize                        Term Frequency: 1         
Term: study                          Term Frequency: 1         
Term: explore                        Term Frequency: 1         
Term: levels                         Term Frequency: 1         
Term: fee                            Term Frequency: 1         
Term: presented                      Term Frequency: 1         
Term: kind                           Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: designed                       Term Frequency: 1         
Term: various                        Term Frequency: 1         
Term: uses                           Term Frequency: 1         
Term: sure                           Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: al                             Term Frequency: 1         
Term: 4870                           Term Frequency: 1         
Term: affect                         Term Frequency: 1         
Term: proven                         Term Frequency: 1         
Term: offered                        Term Frequency: 1         
Term: visualization                  Term Frequency: 1         
Term: do                             Term Frequency: 1         
Term: developed                      Term Frequency: 1         
Term: contact                        Term Frequency: 1         
Term: typically                      Term Frequency: 1         
Term: et                             Term Frequency: 1         
Term: party                          Term Frequency: 1         
Term: deep                           Term Frequency: 1         
Term: sources                        Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: class                          Term Frequency: 1         
Term: 7th                            Term Frequency: 1         
Term: form                           Term Frequency: 1         
Term: literature                     Term Frequency: 1         
Term: world                          Term Frequency: 1         
Term: suggests                       Term Frequency: 1         
Term: level                          Term Frequency: 1         
Term: follows                        Term Frequency: 1         
Term: chosen                         Term Frequency: 1         
Term: essay                          Term Frequency: 1         
Term: focused                        Term Frequency: 1         
Term: considerable                   Term Frequency: 1         
Term: intelligent                    Term Frequency: 1         
Term: facilitates                    Term Frequency: 1         
Term: recent                         Term Frequency: 1         
Term: so                             Term Frequency: 1         
Term: one                            Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: guiding                        Term Frequency: 1         
Term: ensure                         Term Frequency: 1         
Term: 161                            Term Frequency: 1         
Term: know                           Term Frequency: 1         
Term: vs                             Term Frequency: 1         
Term: 175                            Term Frequency: 1         
Term: gap                            Term Frequency: 1         
Term: previous                       Term Frequency: 1         
Term: tagging                        Term Frequency: 1         
Term: triples                        Term Frequency: 1         
Term: held                           Term Frequency: 1         
Term: tested                         Term Frequency: 1         
Term: 193                            Term Frequency: 1         
Term: 196                            Term Frequency: 1         
Term: guide                          Term Frequency: 1         
Term: goal                           Term Frequency: 1         
Term: responses                      Term Frequency: 1         
Term: comparing                      Term Frequency: 1         
Term: intends                        Term Frequency: 1         
Term: ready                          Term Frequency: 1         
Term: aims                           Term Frequency: 1         
Term: corresponding                  Term Frequency: 1         
Term: Therefore                      Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: N                              Term Frequency: 0         
Term: Institute                      Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: Based                          Term Frequency: 0         
Term: Social                         Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: Mockup                         Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Assignments                    Term Frequency: 0         
Term: Barcelona                      Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: Atapattu                       Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: WTL                            Term Frequency: 0         
Term: Quick                          Term Frequency: 0         
Term: New                            Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: Artificial                     Term Frequency: 0         
Term: Newark                         Term Frequency: 0         
Term: Writing                        Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: Review                         Term Frequency: 0         
Term: Supported                      Term Frequency: 0         
Term: Conference                     Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: Luther                         Term Frequency: 0         
Term: Write                          Term Frequency: 0         
Term: Meaningful                     Term Frequency: 0         
Term: Informatics                    Term Frequency: 0         
Term: Technology                     Term Frequency: 0         
Term: NJIT                           Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Brook                          Term Frequency: 0         
Term: Alliance                       Term Frequency: 0         
Term: Digest                         Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: PowerPoint                     Term Frequency: 0         
Term: CCS                            Term Frequency: 0         
Term: Here                           Term Frequency: 0         
Term: SYSTEM                         Term Frequency: 0         
Term: Blvd                           Term Frequency: 0         
Term: Proceedings                    Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: CURRENT                        Term Frequency: 0         
Term: Processing                     Term Frequency: 0         
Term: With                           Term Frequency: 0         
Term: Language                       Term Frequency: 0         
Term: International                  Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: Canada                         Term Frequency: 0         
Term: Educational                    Term Frequency: 0         
Term: Spain                          Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: Mapping                        Term Frequency: 0         
Term: Essential                      Term Frequency: 0         
Term: ABSTRACT                       Term Frequency: 0         
Term: INTRODUCTION                   Term Frequency: 0         
Term: Owner                          Term Frequency: 0         
Term: United                         Term Frequency: 0         
Term: Department                     Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: Concepts                       Term Frequency: 0         
Term: POS                            Term Frequency: 0         
Term: March                          Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Jersey                         Term Frequency: 0         
Term: Slides                         Term Frequency: 0         
Term: Expert                         Term Frequency: 0         
Term: Whether                        Term Frequency: 0         
Term: Speech                         Term Frequency: 0         
Term: Our                            Term Frequency: 0         
Term: Computing                      Term Frequency: 0         
Term: Following                      Term Frequency: 0         
Term: Readings                       Term Frequency: 0         
Term: Systems                        Term Frequency: 0         
Term: Feedback                       Term Frequency: 0         
Term: Acquisition                    Term Frequency: 0         
Term: Part                           Term Frequency: 0         
Term: Author                         Term Frequency: 0         
Term: BC                             Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: At                             Term Frequency: 0         
Term: By                             Term Frequency: 0         
Term: Winter                         Term Frequency: 0         
Term: Springer                       Term Frequency: 0         
Term: Dr                             Term Frequency: 0         
Term: Xiong                          Term Frequency: 0         
Term: During                         Term Frequency: 0         
Term: Applications                   Term Frequency: 0         
Term: DOI                            Term Frequency: 0         
Term: Student                        Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: Jr                             Term Frequency: 0         
Term: Concept                        Term Frequency: 0         
Term: NJ                             Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Formative                      Term Frequency: 0         
Term: Spring                         Term Frequency: 0         
Term: Natural                        Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: Martin                         Term Frequency: 0         
Term: Figure                         Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: Learn                          Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: Evaluation                     Term Frequency: 0         
Term: Automated                      Term Frequency: 0         
Term: Domain                         Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: Relationships                  Term Frequency: 0         
Term: Condensed                      Term Frequency: 0         
Term: Wu                             Term Frequency: 0         
Term: Database                       Term Frequency: 0         
Term: Ye                             Term Frequency: 0         
Term: Module                         Term Frequency: 0         
Term: Vancouver                      Term Frequency: 0         
Term: Promoting                      Term Frequency: 0         
Term: Applied                        Term Frequency: 0         
Term: From                           Term Frequency: 0         
Term: Fang                           Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: How                            Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: Generation                     Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Outsourcing                    Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Mining                         Term Frequency: 0         
Term: if                             Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: Map                            Term Frequency: 0         
Term: Besides                        Term Frequency: 0         
Term: Falkner                        Term Frequency: 0         
Term: ARCHITECTURE                   Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: RQ2                            Term Frequency: 0         
Term: RQ1                            Term Frequency: 0         
Term: RQ3                            Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: Cloud                          Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: then                           Term Frequency: 0         
Term: London                         Term Frequency: 0         
Term: NLP                            Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Kingdom                        Term Frequency: 0         
Term: WORK                           Term Frequency: 0         
Term: njit.eduYi                     Term Frequency: 0         
Term: Excellent                      Term Frequency: 0         
Term: King                           Term Frequency: 0         
Term: Professional                   Term Frequency: 0         
Term: will                           Term Frequency: 0         
Term: Supporting                     Term Frequency: 0         
Term: Also                           Term Frequency: 0         
