Term: items                          Term Frequency: 62        
Term: approaches                     Term Frequency: 8         
Term: out                            Term Frequency: 8         
Term: even                           Term Frequency: 8         
Term: case                           Term Frequency: 8         
Term: test                           Term Frequency: 7         
Term: 0.45                           Term Frequency: 7         
Term: credit                         Term Frequency: 7         
Term: allowed                        Term Frequency: 7         
Term: study                          Term Frequency: 7         
Term: so                             Term Frequency: 7         
Term: time                           Term Frequency: 7         
Term: ing                            Term Frequency: 7         
Term: feedback                       Term Frequency: 7         
Term: would                          Term Frequency: 7         
Term: three                          Term Frequency: 7         
Term: given                          Term Frequency: 7         
Term: home                           Term Frequency: 7         
Term: online                         Term Frequency: 7         
Term: also                           Term Frequency: 7         
Term: sum                            Term Frequency: 7         
Term: higher                         Term Frequency: 7         
Term: f                              Term Frequency: 6         
Term: 15                             Term Frequency: 6         
Term: do                             Term Frequency: 6         
Term: graded                         Term Frequency: 6         
Term: tion                           Term Frequency: 6         
Term: answer                         Term Frequency: 6         
Term: problems                       Term Frequency: 6         
Term: those                          Term Frequency: 6         
Term: estimates                      Term Frequency: 6         
Term: difficulty                     Term Frequency: 6         
Term: however                        Term Frequency: 6         
Term: level                          Term Frequency: 6         
Term: example                        Term Frequency: 6         
Term: still                          Term Frequency: 6         
Term: levels                         Term Frequency: 6         
Term: eventually                     Term Frequency: 6         
Term: consider                       Term Frequency: 6         
Term: other                          Term Frequency: 6         
Term: same                           Term Frequency: 5         
Term: informative                    Term Frequency: 5         
Term: including                      Term Frequency: 5         
Term: did                            Term Frequency: 5         
Term: 0.37                           Term Frequency: 5         
Term: 0.50                           Term Frequency: 5         
Term: 0.47                           Term Frequency: 5         
Term: use                            Term Frequency: 5         
Term: 11                             Term Frequency: 5         
Term: 17                             Term Frequency: 5         
Term: dichotomous                    Term Frequency: 5         
Term: treat                          Term Frequency: 5         
Term: assessment                     Term Frequency: 5         
Term: exams                          Term Frequency: 5         
Term: dichotomization                Term Frequency: 5         
Term: them                           Term Frequency: 5         
Term: thus                           Term Frequency: 5         
Term: although                       Term Frequency: 5         
Term: best                           Term Frequency: 5         
Term: partial                        Term Frequency: 5         
Term: finalexam                      Term Frequency: 5         
Term: total                          Term Frequency: 5         
Term: open                           Term Frequency: 5         
Term: sequence                       Term Frequency: 5         
Term: problem                        Term Frequency: 5         
Term: analysis                       Term Frequency: 5         
Term: correlation                    Term Frequency: 5         
Term: linear                         Term Frequency: 5         
Term: tree                           Term Frequency: 5         
Term: correctly                      Term Frequency: 5         
Term: results                        Term Frequency: 5         
Term: book                           Term Frequency: 5         
Term: large                          Term Frequency: 5         
Term: after                          Term Frequency: 4         
Term: maximum                        Term Frequency: 4         
Term: 0.43                           Term Frequency: 4         
Term: 0.49                           Term Frequency: 4         
Term: 0.46                           Term Frequency: 4         
Term: 10                             Term Frequency: 4         
Term: 14                             Term Frequency: 4         
Term: 16                             Term Frequency: 4         
Term: 24                             Term Frequency: 4         
Term: noted                          Term Frequency: 4         
Term: tions                          Term Frequency: 4         
Term: expected                       Term Frequency: 4         
Term: effect                         Term Frequency: 4         
Term: here                           Term Frequency: 4         
Term: purpose                        Term Frequency: 4         
Term: omits                          Term Frequency: 4         
Term: ofattempts                     Term Frequency: 4         
Term: mean                           Term Frequency: 4         
Term: been                           Term Frequency: 4         
Term: coded                          Term Frequency: 4         
Term: paper                          Term Frequency: 4         
Term: testing                        Term Frequency: 4         
Term: broken                         Term Frequency: 4         
Term: either                         Term Frequency: 4         
Term: subsequent                     Term Frequency: 4         
Term: scored                         Term Frequency: 4         
Term: available                      Term Frequency: 4         
Term: handling                       Term Frequency: 4         
Term: function                       Term Frequency: 4         
Term: formative                      Term Frequency: 4         
Term: overall                        Term Frequency: 4         
Term: part                           Term Frequency: 4         
Term: easy                           Term Frequency: 4         
Term: miss                           Term Frequency: 4         
Term: about                          Term Frequency: 4         
Term: because                        Term Frequency: 4         
Term: non                            Term Frequency: 4         
Term: random                         Term Frequency: 4         
Term: issue                          Term Frequency: 4         
Term: estimate                       Term Frequency: 4         
Term: distribution                   Term Frequency: 4         
Term: groups                         Term Frequency: 4         
Term: median                         Term Frequency: 4         
Term: choice                         Term Frequency: 4         
Term: within                         Term Frequency: 4         
Term: inthis                         Term Frequency: 4         
Term: both                           Term Frequency: 4         
Term: most                           Term Frequency: 4         
Term: set                            Term Frequency: 4         
Term: typically                      Term Frequency: 4         
Term: over                           Term Frequency: 4         
Term: sequences                      Term Frequency: 4         
Term: sub                            Term Frequency: 4         
Term: 7                              Term Frequency: 3         
Term: subparts                       Term Frequency: 3         
Term: information                    Term Frequency: 3         
Term: con                            Term Frequency: 3         
Term: possible                       Term Frequency: 3         
Term: possibly                       Term Frequency: 3         
Term: 0.28                           Term Frequency: 3         
Term: ignore                         Term Frequency: 3         
Term: 0.44                           Term Frequency: 3         
Term: 0.42                           Term Frequency: 3         
Term: 0.40                           Term Frequency: 3         
Term: 0.41                           Term Frequency: 3         
Term: 0.51                           Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: 19                             Term Frequency: 3         
Term: 20                             Term Frequency: 3         
Term: 22                             Term Frequency: 3         
Term: 23                             Term Frequency: 3         
Term: 25                             Term Frequency: 3         
Term: long                           Term Frequency: 3         
Term: increasing                     Term Frequency: 3         
Term: parameter                      Term Frequency: 3         
Term: adjacent                       Term Frequency: 3         
Term: might                          Term Frequency: 3         
Term: issues                         Term Frequency: 3         
Term: lowest                         Term Frequency: 3         
Term: section                        Term Frequency: 3         
Term: attention                      Term Frequency: 3         
Term: al                             Term Frequency: 3         
Term: de                             Term Frequency: 3         
Term: digital                        Term Frequency: 3         
Term: second                         Term Frequency: 3         
Term: ob                             Term Frequency: 3         
Term: allowance                      Term Frequency: 3         
Term: seen                           Term Frequency: 3         
Term: separate                       Term Frequency: 3         
Term: massive                        Term Frequency: 3         
Term: without                        Term Frequency: 3         
Term: much                           Term Frequency: 3         
Term: sets                           Term Frequency: 3         
Term: focus                          Term Frequency: 3         
Term: framework                      Term Frequency: 3         
Term: found                          Term Frequency: 3         
Term: ceiling                        Term Frequency: 3         
Term: questions                      Term Frequency: 3         
Term: abil                           Term Frequency: 3         
Term: steps                          Term Frequency: 3         
Term: fact                           Term Frequency: 3         
Term: trials                         Term Frequency: 3         
Term: its                            Term Frequency: 3         
Term: respect                        Term Frequency: 3         
Term: ity                            Term Frequency: 3         
Term: identify                       Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: rect                           Term Frequency: 3         
Term: courses                        Term Frequency: 3         
Term: parameters                     Term Frequency: 3         
Term: offer                          Term Frequency: 3         
Term: unpenalized                    Term Frequency: 3         
Term: thefinal                       Term Frequency: 3         
Term: especially                     Term Frequency: 3         
Term: following                      Term Frequency: 3         
Term: applied                        Term Frequency: 3         
Term: well                           Term Frequency: 3         
Term: does                           Term Frequency: 3         
Term: provide                        Term Frequency: 3         
Term: low                            Term Frequency: 3         
Term: depending                      Term Frequency: 3         
Term: served                         Term Frequency: 3         
Term: background                     Term Frequency: 3         
Term: above                          Term Frequency: 3         
Term: among                          Term Frequency: 3         
Term: matrix                         Term Frequency: 3         
Term: unlimited                      Term Frequency: 3         
Term: modeled                        Term Frequency: 3         
Term: new                            Term Frequency: 3         
Term: now                            Term Frequency: 3         
Term: refer                          Term Frequency: 3         
Term: probability                    Term Frequency: 3         
Term: earned                         Term Frequency: 3         
Term: very                           Term Frequency: 3         
Term: lower                          Term Frequency: 3         
Term: follows                        Term Frequency: 3         
Term: partially                      Term Frequency: 3         
Term: 2013                           Term Frequency: 3         
Term: numberof                       Term Frequency: 3         
Term: true                           Term Frequency: 3         
Term: since                          Term Frequency: 3         
Term: appears                        Term Frequency: 3         
Term: performance                    Term Frequency: 3         
Term: likelihood                     Term Frequency: 3         
Term: outcome                        Term Frequency: 3         
Term: where                          Term Frequency: 3         
Term: package                        Term Frequency: 3         
Term: say                            Term Frequency: 3         
Term: counts                         Term Frequency: 3         
Term: stu                            Term Frequency: 3         
Term: 197                            Term Frequency: 3         
Term: range                          Term Frequency: 3         
Term: half                           Term Frequency: 2         
Term: ter                            Term Frequency: 2         
Term: 8                              Term Frequency: 2         
Term: 9                              Term Frequency: 2         
Term: hand                           Term Frequency: 2         
Term: representation                 Term Frequency: 2         
Term: withthe                        Term Frequency: 2         
Term: cor                            Term Frequency: 2         
Term: try                            Term Frequency: 2         
Term: times                          Term Frequency: 2         
Term: requires                       Term Frequency: 2         
Term: conceptual                     Term Frequency: 2         
Term: shows                          Term Frequency: 2         
Term: corre                          Term Frequency: 2         
Term: sumption                       Term Frequency: 2         
Term: further                        Term Frequency: 2         
Term: treatment                      Term Frequency: 2         
Term: 0.33                           Term Frequency: 2         
Term: 0.29                           Term Frequency: 2         
Term: 0.35                           Term Frequency: 2         
Term: 0.48                           Term Frequency: 2         
Term: stand                          Term Frequency: 2         
Term: viding                         Term Frequency: 2         
Term: make                           Term Frequency: 2         
Term: properties                     Term Frequency: 2         
Term: boxes                          Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: 21                             Term Frequency: 2         
Term: examine                        Term Frequency: 2         
Term: 35                             Term Frequency: 2         
Term: 39                             Term Frequency: 2         
Term: many                           Term Frequency: 2         
Term: 40                             Term Frequency: 2         
Term: dents                          Term Frequency: 2         
Term: across                         Term Frequency: 2         
Term: seems                          Term Frequency: 2         
Term: platform                       Term Frequency: 2         
Term: advantage                      Term Frequency: 2         
Term: neck                           Term Frequency: 2         
Term: evidence                       Term Frequency: 2         
Term: often                          Term Frequency: 2         
Term: trial                          Term Frequency: 2         
Term: chose                          Term Frequency: 2         
Term: differently                    Term Frequency: 2         
Term: derived                        Term Frequency: 2         
Term: logistic                       Term Frequency: 2         
Term: window                         Term Frequency: 2         
Term: completely                     Term Frequency: 2         
Term: gain                           Term Frequency: 2         
Term: categories                     Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: presented                      Term Frequency: 2         
Term: option                         Term Frequency: 2         
Term: variance                       Term Frequency: 2         
Term: alsoknown                      Term Frequency: 2         
Term: af                             Term Frequency: 2         
Term: cluded                         Term Frequency: 2         
Term: predictive                     Term Frequency: 2         
Term: never                          Term Frequency: 2         
Term: form                           Term Frequency: 2         
Term: context                        Term Frequency: 2         
Term: likely                         Term Frequency: 2         
Term: schemes                        Term Frequency: 2         
Term: become                         Term Frequency: 2         
Term: while                          Term Frequency: 2         
Term: ma                             Term Frequency: 2         
Term: rasch                          Term Frequency: 2         
Term: extremely                      Term Frequency: 2         
Term: re                             Term Frequency: 2         
Term: un                             Term Frequency: 2         
Term: up                             Term Frequency: 2         
Term: beyond                         Term Frequency: 2         
Term: terms                          Term Frequency: 2         
Term: i.e                            Term Frequency: 2         
Term: weekly                         Term Frequency: 2         
Term: standard                       Term Frequency: 2         
Term: larger                         Term Frequency: 2         
Term: tempted                        Term Frequency: 2         
Term: discussed                      Term Frequency: 2         
Term: almost                         Term Frequency: 2         
Term: whether                        Term Frequency: 2         
Term: inour                          Term Frequency: 2         
Term: discussion                     Term Frequency: 2         
Term: generalized                    Term Frequency: 2         
Term: separately                     Term Frequency: 2         
Term: must                           Term Frequency: 2         
Term: populations                    Term Frequency: 2         
Term: had                            Term Frequency: 2         
Term: school                         Term Frequency: 2         
Term: last                           Term Frequency: 2         
Term: stronger                       Term Frequency: 2         
Term: probabilities                  Term Frequency: 2         
Term: ways                           Term Frequency: 2         
Term: reverse                        Term Frequency: 2         
Term: before                         Term Frequency: 2         
Term: point                          Term Frequency: 2         
Term: dimension                      Term Frequency: 2         
Term: advance                        Term Frequency: 2         
Term: diverse                        Term Frequency: 2         
Term: opportunity                    Term Frequency: 2         
Term: how                            Term Frequency: 2         
Term: reached                        Term Frequency: 2         
Term: could                          Term Frequency: 2         
Term: ment                           Term Frequency: 2         
Term: present                        Term Frequency: 2         
Term: ratio                          Term Frequency: 2         
Term: classical                      Term Frequency: 2         
Term: error                          Term Frequency: 2         
Term: value                          Term Frequency: 2         
Term: poly                           Term Frequency: 2         
Term: growth                         Term Frequency: 2         
Term: tomous                         Term Frequency: 2         
Term: points                         Term Frequency: 2         
Term: application                    Term Frequency: 2         
Term: repeated                       Term Frequency: 2         
Term: significant                    Term Frequency: 2         
Term: theobserved                    Term Frequency: 2         
Term: differ                         Term Frequency: 2         
Term: skewed                         Term Frequency: 2         
Term: informa                        Term Frequency: 2         
Term: ones                           Term Frequency: 2         
Term: expect                         Term Frequency: 2         
Term: assess                         Term Frequency: 2         
Term: imputing                       Term Frequency: 2         
Term: week                           Term Frequency: 2         
Term: sumscore                       Term Frequency: 2         
Term: tional                         Term Frequency: 2         
Term: full                           Term Frequency: 2         
Term: motivation                     Term Frequency: 2         
Term: equal                          Term Frequency: 2         
Term: examinee’s                     Term Frequency: 2         
Term: computer                       Term Frequency: 2         
Term: prob                           Term Frequency: 2         
Term: means                          Term Frequency: 2         
Term: incor                          Term Frequency: 2         
Term: ltm                            Term Frequency: 2         
Term: whose                          Term Frequency: 2         
Term: continuation                   Term Frequency: 2         
Term: usually                        Term Frequency: 2         
Term: sense                          Term Frequency: 2         
Term: enrollment                     Term Frequency: 2         
Term: orange                         Term Frequency: 2         
Term: 4290                           Term Frequency: 2         
Term: middle                         Term Frequency: 2         
Term: stakes                         Term Frequency: 2         
Term: estimating                     Term Frequency: 2         
Term: volume                         Term Frequency: 2         
Term: similar                        Term Frequency: 2         
Term: cumulative                     Term Frequency: 2         
Term: specific                       Term Frequency: 2         
Term: partitioning                   Term Frequency: 2         
Term: remainder                      Term Frequency: 2         
Term: fully                          Term Frequency: 2         
Term: modein                         Term Frequency: 2         
Term: solved                         Term Frequency: 2         
Term: engineering                    Term Frequency: 2         
Term: simplicity                     Term Frequency: 2         
Term: furthermore                    Term Frequency: 2         
Term: otherwise                      Term Frequency: 2         
Term: effects                        Term Frequency: 2         
Term: coding                         Term Frequency: 2         
Term: alternate                      Term Frequency: 2         
Term: exclude                        Term Frequency: 2         
Term: seemed                         Term Frequency: 2         
Term: ofa                            Term Frequency: 2         
Term: pretty                         Term Frequency: 2         
Term: considerably                   Term Frequency: 2         
Term: twelve                         Term Frequency: 2         
Term: vector                         Term Frequency: 2         
Term: support                        Term Frequency: 2         
Term: corr                           Term Frequency: 2         
Term: consequences                   Term Frequency: 2         
Term: like                           Term Frequency: 2         
Term: respondents                    Term Frequency: 2         
Term: proposed                       Term Frequency: 2         
Term: ground                         Term Frequency: 2         
Term: note                           Term Frequency: 2         
Term: observedscore                  Term Frequency: 2         
Term: compute                        Term Frequency: 2         
Term: weighted                       Term Frequency: 2         
Term: environments                   Term Frequency: 2         
Term: pro                            Term Frequency: 2         
Term: options                        Term Frequency: 2         
Term: methods                        Term Frequency: 2         
Term: population                     Term Frequency: 2         
Term: comes                          Term Frequency: 2         
Term: onthe                          Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: 2010                           Term Frequency: 2         
Term: 2014                           Term Frequency: 2         
Term: negligible                     Term Frequency: 2         
Term: denoted                        Term Frequency: 2         
Term: answered                       Term Frequency: 2         
Term: again                          Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: thecourse                      Term Frequency: 2         
Term: references                     Term Frequency: 2         
Term: thecorrelation                 Term Frequency: 2         
Term: system                         Term Frequency: 2         
Term: mode                           Term Frequency: 2         
Term: 0.6                            Term Frequency: 2         
Term: 0.8                            Term Frequency: 2         
Term: engagement                     Term Frequency: 2         
Term: view                           Term Frequency: 2         
Term: correctness                    Term Frequency: 2         
Term: modeling                       Term Frequency: 2         
Term: described                      Term Frequency: 2         
Term: mentioned                      Term Frequency: 2         
Term: imputation                     Term Frequency: 2         
Term: omission                       Term Frequency: 2         
Term: compared                       Term Frequency: 2         
Term: sample                         Term Frequency: 2         
Term: begin                          Term Frequency: 2         
Term: lme4                           Term Frequency: 2         
Term: relevant                       Term Frequency: 2         
Term: highly                         Term Frequency: 2         
Term: 100                            Term Frequency: 2         
Term: 140                            Term Frequency: 2         
Term: irtrees                        Term Frequency: 2         
Term: disambiguate                   Term Frequency: 2         
Term: category                       Term Frequency: 2         
Term: itemparameters                 Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: turn                           Term Frequency: 1         
Term: result                         Term Frequency: 1         
Term: ordered                        Term Frequency: 1         
Term: immediatefeedback              Term Frequency: 1         
Term: good                           Term Frequency: 1         
Term: outinto                        Term Frequency: 1         
Term: alsopossible                   Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: usingmarginal                  Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: ranging                        Term Frequency: 1         
Term: better                         Term Frequency: 1         
Term: suitable                       Term Frequency: 1         
Term: itemresponse                   Term Frequency: 1         
Term: reacheditems                   Term Frequency: 1         
Term: 2.6                            Term Frequency: 1         
Term: 2.8                            Term Frequency: 1         
Term: com                            Term Frequency: 1         
Term: adopta                         Term Frequency: 1         
Term: abilities                      Term Frequency: 1         
Term: academic                       Term Frequency: 1         
Term: difficultiesin                 Term Frequency: 1         
Term: monotonically                  Term Frequency: 1         
Term: proba                          Term Frequency: 1         
Term: thetakeaways                   Term Frequency: 1         
Term: defined                        Term Frequency: 1         
Term: gener                          Term Frequency: 1         
Term: opposite                       Term Frequency: 1         
Term: 247                            Term Frequency: 1         
Term: probably                       Term Frequency: 1         
Term: think                          Term Frequency: 1         
Term: 264                            Term Frequency: 1         
Term: formsfor                       Term Frequency: 1         
Term: ordinal                        Term Frequency: 1         
Term: comparablygood                 Term Frequency: 1         
Term: 273                            Term Frequency: 1         
Term: assump                         Term Frequency: 1         
Term: 282                            Term Frequency: 1         
Term: with120limited                 Term Frequency: 1         
Term: 289                            Term Frequency: 1         
Term: behighly                       Term Frequency: 1         
Term: ences                          Term Frequency: 1         
Term: hours                          Term Frequency: 1         
Term: start                          Term Frequency: 1         
Term: short                          Term Frequency: 1         
Term: reducing                       Term Frequency: 1         
Term: specifically                   Term Frequency: 1         
Term: potheses                       Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: itemwhich                      Term Frequency: 1         
Term: prevalent                      Term Frequency: 1         
Term: day                            Term Frequency: 1         
Term: ferent                         Term Frequency: 1         
Term: instructor                     Term Frequency: 1         
Term: critical                       Term Frequency: 1         
Term: introduction                   Term Frequency: 1         
Term: editors                        Term Frequency: 1         
Term: attemptedat                    Term Frequency: 1         
Term: lectures                       Term Frequency: 1         
Term: third                          Term Frequency: 1         
Term: 2418                           Term Frequency: 1         
Term: theitems                       Term Frequency: 1         
Term: der                            Term Frequency: 1         
Term: pation                         Term Frequency: 1         
Term: homeworkitem                   Term Frequency: 1         
Term: compare                        Term Frequency: 1         
Term: term                           Term Frequency: 1         
Term: lated                          Term Frequency: 1         
Term: modelthat                      Term Frequency: 1         
Term: right                          Term Frequency: 1         
Term: estimationusing                Term Frequency: 1         
Term: under                          Term Frequency: 1         
Term: dif                            Term Frequency: 1         
Term: differentthan                  Term Frequency: 1         
Term: dis                            Term Frequency: 1         
Term: dence                          Term Frequency: 1         
Term: 0.22                           Term Frequency: 1         
Term: 0.23                           Term Frequency: 1         
Term: 0.17                           Term Frequency: 1         
Term: virtual                        Term Frequency: 1         
Term: 0.34                           Term Frequency: 1         
Term: 0.30                           Term Frequency: 1         
Term: 0.26                           Term Frequency: 1         
Term: length                         Term Frequency: 1         
Term: 0.39                           Term Frequency: 1         
Term: 0.38                           Term Frequency: 1         
Term: construct                      Term Frequency: 1         
Term: 0.52                           Term Frequency: 1         
Term: mance                          Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: electrical                     Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: 3.3                            Term Frequency: 1         
Term: doc                            Term Frequency: 1         
Term: ure                            Term Frequency: 1         
Term: 0.87                           Term Frequency: 1         
Term: homeworkscores                 Term Frequency: 1         
Term: comparable                     Term Frequency: 1         
Term: 316                            Term Frequency: 1         
Term: forlearning                    Term Frequency: 1         
Term: aslong                         Term Frequency: 1         
Term: includes                       Term Frequency: 1         
Term: cumu                           Term Frequency: 1         
Term: paradigm                       Term Frequency: 1         
Term: transformed                    Term Frequency: 1         
Term: included                       Term Frequency: 1         
Term: attempting                     Term Frequency: 1         
Term: due                            Term Frequency: 1         
Term: onesthey                       Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: 07                             Term Frequency: 1         
Term: empirical                      Term Frequency: 1         
Term: ofactive                       Term Frequency: 1         
Term: interpretations                Term Frequency: 1         
Term: benefit                        Term Frequency: 1         
Term: highest                        Term Frequency: 1         
Term: unique                         Term Frequency: 1         
Term: missingat                      Term Frequency: 1         
Term: seein                          Term Frequency: 1         
Term: 26                             Term Frequency: 1         
Term: participated                   Term Frequency: 1         
Term: 373                            Term Frequency: 1         
Term: 30                             Term Frequency: 1         
Term: variables                      Term Frequency: 1         
Term: leavesuch                      Term Frequency: 1         
Term: 41                             Term Frequency: 1         
Term: 42                             Term Frequency: 1         
Term: 43                             Term Frequency: 1         
Term: 47                             Term Frequency: 1         
Term: weremodest                     Term Frequency: 1         
Term: datawere                       Term Frequency: 1         
Term: 55                             Term Frequency: 1         
Term: 57                             Term Frequency: 1         
Term: 63                             Term Frequency: 1         
Term: invoking                       Term Frequency: 1         
Term: 70                             Term Frequency: 1         
Term: thatif                         Term Frequency: 1         
Term: 74                             Term Frequency: 1         
Term: scribe                         Term Frequency: 1         
Term: clearlydo                      Term Frequency: 1         
Term: 85                             Term Frequency: 1         
Term: mark                           Term Frequency: 1         
Term: 88                             Term Frequency: 1         
Term: permissionand                  Term Frequency: 1         
Term: loss                           Term Frequency: 1         
Term: incentive                      Term Frequency: 1         
Term: anordered                      Term Frequency: 1         
Term: 96                             Term Frequency: 1         
Term: van                            Term Frequency: 1         
Term: mate                           Term Frequency: 1         
Term: ear                            Term Frequency: 1         
Term: downthis                       Term Frequency: 1         
Term: exists                         Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: threshold                      Term Frequency: 1         
Term: lows                           Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: moreof                         Term Frequency: 1         
Term: wasexplored                    Term Frequency: 1         
Term: measurethat                    Term Frequency: 1         
Term: exception                      Term Frequency: 1         
Term: optimal                        Term Frequency: 1         
Term: diagonalhatches                Term Frequency: 1         
Term: ignoring                       Term Frequency: 1         
Term: 2014.124                       Term Frequency: 1         
Term: notbe                          Term Frequency: 1         
Term: near                           Term Frequency: 1         
Term: toconsider                     Term Frequency: 1         
Term: variations                     Term Frequency: 1         
Term: identically                    Term Frequency: 1         
Term: representing                   Term Frequency: 1         
Term: counterfactual                 Term Frequency: 1         
Term: notes                          Term Frequency: 1         
Term: 7,157                          Term Frequency: 1         
Term: official                       Term Frequency: 1         
Term: prising                        Term Frequency: 1         
Term: spring                         Term Frequency: 1         
Term: student’s                      Term Frequency: 1         
Term: need                           Term Frequency: 1         
Term: els                            Term Frequency: 1         
Term: tests                          Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: amountsof                      Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: pooled                         Term Frequency: 1         
Term: von                            Term Frequency: 1         
Term: lines                          Term Frequency: 1         
Term: arecompared                    Term Frequency: 1         
Term: forum                          Term Frequency: 1         
Term: mative                         Term Frequency: 1         
Term: 4.1                            Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: andthe                         Term Frequency: 1         
Term: 4.3                            Term Frequency: 1         
Term: slightly                       Term Frequency: 1         
Term: called                         Term Frequency: 1         
Term: occurs                         Term Frequency: 1         
Term: approachmay                    Term Frequency: 1         
Term: rights                         Term Frequency: 1         
Term: 423                            Term Frequency: 1         
Term: ofsame                         Term Frequency: 1         
Term: proportionof                   Term Frequency: 1         
Term: below                          Term Frequency: 1         
Term: shall                          Term Frequency: 1         
Term: goodjob                        Term Frequency: 1         
Term: trick                          Term Frequency: 1         
Term: answercorrectly                Term Frequency: 1         
Term: 452                            Term Frequency: 1         
Term: tohomework                     Term Frequency: 1         
Term: proportioncorrect              Term Frequency: 1         
Term: 472                            Term Frequency: 1         
Term: 479                            Term Frequency: 1         
Term: countries                      Term Frequency: 1         
Term: degraded                       Term Frequency: 1         
Term: eye                            Term Frequency: 1         
Term: wanted                         Term Frequency: 1         
Term: another                        Term Frequency: 1         
Term: thisanalysis                   Term Frequency: 1         
Term: whichis                        Term Frequency: 1         
Term: describe                       Term Frequency: 1         
Term: 2we                            Term Frequency: 1         
Term: administration                 Term Frequency: 1         
Term: huge                           Term Frequency: 1         
Term: pleting                        Term Frequency: 1         
