Term: students                       Term Frequency: 117       
Term: conversations                  Term Frequency: 17        
Term: observed                       Term Frequency: 16        
Term: who                            Term Frequency: 16        
Term: log                            Term Frequency: 16        
Term: tutoring                       Term Frequency: 16        
Term: conversation                   Term Frequency: 16        
Term: variables                      Term Frequency: 15        
Term: inactive                       Term Frequency: 15        
Term: computer                       Term Frequency: 15        
Term: about                          Term Frequency: 15        
Term: out                            Term Frequency: 15        
Term: 4                              Term Frequency: 14        
Term: order                          Term Frequency: 14        
Term: human                          Term Frequency: 14        
Term: over                           Term Frequency: 14        
Term: researchers                    Term Frequency: 13        
Term: intelligent                    Term Frequency: 13        
Term: would                          Term Frequency: 13        
Term: each                           Term Frequency: 13        
Term: 6                              Term Frequency: 12        
Term: findings                       Term Frequency: 12        
Term: effective                      Term Frequency: 12        
Term: two                            Term Frequency: 12        
Term: moment                         Term Frequency: 12        
Term: aleven                         Term Frequency: 12        
Term: addition                       Term Frequency: 12        
Term: been                           Term Frequency: 12        
Term: spatial                        Term Frequency: 12        
Term: based                          Term Frequency: 12        
Term: example                        Term Frequency: 12        
Term: blended                        Term Frequency: 12        
Term: particular                     Term Frequency: 12        
Term: session                        Term Frequency: 12        
Term: hand                           Term Frequency: 11        
Term: pretest                        Term Frequency: 11        
Term: 13                             Term Frequency: 11        
Term: student’s                      Term Frequency: 11        
Term: relationships                  Term Frequency: 11        
Term: than                           Term Frequency: 11        
Term: how                            Term Frequency: 11        
Term: either                         Term Frequency: 11        
Term: posttest                       Term Frequency: 11        
Term: cognitive                      Term Frequency: 11        
Term: support                        Term Frequency: 11        
Term: 2013                           Term Frequency: 11        
Term: frequency                      Term Frequency: 11        
Term: 3                              Term Frequency: 10        
Term: technologies                   Term Frequency: 10        
Term: 12                             Term Frequency: 10        
Term: across                         Term Frequency: 10        
Term: generated                      Term Frequency: 10        
Term: often                          Term Frequency: 10        
Term: outside                        Term Frequency: 10        
Term: appeared                       Term Frequency: 10        
Term: while                          Term Frequency: 10        
Term: tutor                          Term Frequency: 10        
Term: hint                           Term Frequency: 10        
Term: models                         Term Frequency: 10        
Term: through                        Term Frequency: 10        
Term: both                           Term Frequency: 10        
Term: current                        Term Frequency: 10        
Term: 5                              Term Frequency: 9         
Term: effectiveness                  Term Frequency: 9         
Term: relationship                   Term Frequency: 9         
Term: common                         Term Frequency: 9         
Term: mining                         Term Frequency: 9         
Term: spent                          Term Frequency: 9         
Term: al                             Term Frequency: 9         
Term: et                             Term Frequency: 9         
Term: small                          Term Frequency: 9         
Term: teacher’s                      Term Frequency: 9         
Term: however                        Term Frequency: 9         
Term: observation                    Term Frequency: 9         
Term: gains                          Term Frequency: 9         
Term: direct                         Term Frequency: 9         
Term: coding                         Term Frequency: 9         
Term: activity                       Term Frequency: 9         
Term: one                            Term Frequency: 9         
Term: some                           Term Frequency: 9         
Term: system                         Term Frequency: 9         
Term: results                        Term Frequency: 9         
Term: modeling                       Term Frequency: 9         
Term: seconds                        Term Frequency: 9         
Term: room                           Term Frequency: 8         
Term: raising                        Term Frequency: 8         
Term: understanding                  Term Frequency: 8         
Term: education                      Term Frequency: 8         
Term: screen                         Term Frequency: 8         
Term: effect                         Term Frequency: 8         
Term: found                          Term Frequency: 8         
Term: has                            Term Frequency: 8         
Term: could                          Term Frequency: 8         
Term: making                         Term Frequency: 8         
Term: lab                            Term Frequency: 8         
Term: less                           Term Frequency: 8         
Term: field                          Term Frequency: 8         
Term: physical                       Term Frequency: 8         
Term: pre                            Term Frequency: 8         
Term: process                        Term Frequency: 8         
Term: prior                          Term Frequency: 8         
Term: monitor                        Term Frequency: 8         
Term: causes                         Term Frequency: 8         
Term: future                         Term Frequency: 8         
Term: suggest                        Term Frequency: 8         
Term: measured                       Term Frequency: 7         
Term: under                          Term Frequency: 7         
Term: inform                         Term Frequency: 7         
Term: 30                             Term Frequency: 7         
Term: least                          Term Frequency: 7         
Term: learn                          Term Frequency: 7         
Term: might                          Term Frequency: 7         
Term: factors                        Term Frequency: 7         
Term: qualitative                    Term Frequency: 7         
Term: although                       Term Frequency: 7         
Term: different                      Term Frequency: 7         
Term: directly                       Term Frequency: 7         
Term: university                     Term Frequency: 7         
Term: teaching                       Term Frequency: 7         
Term: cause                          Term Frequency: 7         
Term: given                          Term Frequency: 7         
Term: position                       Term Frequency: 7         
Term: equation                       Term Frequency: 7         
Term: other                          Term Frequency: 7         
Term: any                            Term Frequency: 7         
Term: turn                           Term Frequency: 6         
Term: after                          Term Frequency: 6         
Term: gaming                         Term Frequency: 6         
Term: possible                       Term Frequency: 6         
Term: test                           Term Frequency: 6         
Term: equivalence                    Term Frequency: 6         
Term: 17                             Term Frequency: 6         
Term: 26                             Term Frequency: 6         
Term: examine                        Term Frequency: 6         
Term: 32                             Term Frequency: 6         
Term: 34                             Term Frequency: 6         
Term: 90                             Term Frequency: 6         
Term: extend                         Term Frequency: 6         
Term: patterns                       Term Frequency: 6         
Term: unmeasured                     Term Frequency: 6         
Term: up                             Term Frequency: 6         
Term: i.e                            Term Frequency: 6         
Term: whether                        Term Frequency: 6         
Term: circle                         Term Frequency: 6         
Term: potential                      Term Frequency: 6         
Term: first                          Term Frequency: 6         
Term: number                         Term Frequency: 6         
Term: real                           Term Frequency: 6         
Term: related                        Term Frequency: 6         
Term: level                          Term Frequency: 6         
Term: only                           Term Frequency: 6         
Term: part                           Term Frequency: 6         
Term: appear                         Term Frequency: 6         
Term: selection                      Term Frequency: 6         
Term: tool                           Term Frequency: 6         
Term: contextual                     Term Frequency: 6         
Term: designed                       Term Frequency: 6         
Term: search                         Term Frequency: 6         
Term: synchronized                   Term Frequency: 6         
Term: location                       Term Frequency: 6         
Term: own                            Term Frequency: 6         
Term: engaged                        Term Frequency: 6         
Term: working                        Term Frequency: 6         
Term: knowledge                      Term Frequency: 6         
Term: 2012                           Term Frequency: 6         
Term: positive                       Term Frequency: 6         
Term: solving                        Term Frequency: 6         
Term: amount                         Term Frequency: 6         
Term: set                            Term Frequency: 6         
Term: large                          Term Frequency: 6         
Term: towards                        Term Frequency: 6         
Term: visualizing                    Term Frequency: 5         
Term: o                              Term Frequency: 5         
Term: multiple                       Term Frequency: 5         
Term: better                         Term Frequency: 5         
Term: quantitative                   Term Frequency: 5         
Term: activities                     Term Frequency: 5         
Term: examining                      Term Frequency: 5         
Term: impact                         Term Frequency: 5         
Term: virtual                        Term Frequency: 5         
Term: 16                             Term Frequency: 5         
Term: 33                             Term Frequency: 5         
Term: 35                             Term Frequency: 5         
Term: 37                             Term Frequency: 5         
Term: many                           Term Frequency: 5         
Term: 42                             Term Frequency: 5         
Term: layout                         Term Frequency: 5         
Term: via                            Term Frequency: 5         
Term: authors                        Term Frequency: 5         
Term: share                          Term Frequency: 5         
Term: another                        Term Frequency: 5         
Term: grained                        Term Frequency: 5         
Term: perhaps                        Term Frequency: 5         
Term: recent                         Term Frequency: 5         
Term: decision                       Term Frequency: 5         
Term: us                             Term Frequency: 5         
Term: scale                          Term Frequency: 5         
Term: colors                         Term Frequency: 5         
Term: her                            Term Frequency: 5         
Term: consistent                     Term Frequency: 5         
Term: his                            Term Frequency: 5         
Term: visualized                     Term Frequency: 5         
Term: periods                        Term Frequency: 5         
Term: coded                          Term Frequency: 5         
Term: enable                         Term Frequency: 5         
Term: error                          Term Frequency: 5         
Term: paper                          Term Frequency: 5         
Term: hypothesis                     Term Frequency: 5         
Term: scores                         Term Frequency: 5         
Term: graphs                         Term Frequency: 5         
Term: well                           Term Frequency: 5         
Term: overall                        Term Frequency: 5         
Term: initial                        Term Frequency: 5         
Term: relative                       Term Frequency: 5         
Term: map                            Term Frequency: 5         
Term: richer                         Term Frequency: 5         
Term: research                       Term Frequency: 5         
Term: recordings                     Term Frequency: 5         
Term: exploratory                    Term Frequency: 5         
Term: image                          Term Frequency: 5         
Term: exploring                      Term Frequency: 5         
Term: awareness                      Term Frequency: 5         
Term: problem                        Term Frequency: 5         
Term: streams                        Term Frequency: 5         
Term: samples                        Term Frequency: 5         
Term: link                           Term Frequency: 5         
Term: linear                         Term Frequency: 5         
Term: methods                        Term Frequency: 5         
Term: relatively                     Term Frequency: 5         
Term: hints                          Term Frequency: 5         
Term: frequent                       Term Frequency: 5         
Term: currently                      Term Frequency: 5         
Term: all                            Term Frequency: 5         
Term: engagement                     Term Frequency: 5         
Term: collected                      Term Frequency: 5         
Term: monitored                      Term Frequency: 5         
Term: see                            Term Frequency: 5         
Term: vivo                           Term Frequency: 5         
Term: nature                         Term Frequency: 5         
Term: screens                        Term Frequency: 5         
Term: 7                              Term Frequency: 4         
Term: 9                              Term Frequency: 4         
Term: same                           Term Frequency: 4         
Term: n                              Term Frequency: 4         
Term: provided                       Term Frequency: 4         
Term: tend                           Term Frequency: 4         
Term: average                        Term Frequency: 4         
Term: did                            Term Frequency: 4         
Term: states                         Term Frequency: 4         
Term: made                           Term Frequency: 4         
Term: logs                           Term Frequency: 4         
Term: due                            Term Frequency: 4         
Term: 10                             Term Frequency: 4         
Term: 21                             Term Frequency: 4         
Term: 28                             Term Frequency: 4         
Term: experiments                    Term Frequency: 4         
Term: instead                        Term Frequency: 4         
Term: end                            Term Frequency: 4         
Term: visualize                      Term Frequency: 4         
Term: forms                          Term Frequency: 4         
Term: represented                    Term Frequency: 4         
Term: multimodal                     Term Frequency: 4         
Term: black                          Term Frequency: 4         
Term: features                       Term Frequency: 4         
Term: supporting                     Term Frequency: 4         
Term: green                          Term Frequency: 4         
Term: categories                     Term Frequency: 4         
Term: explore                        Term Frequency: 4         
Term: protocol                       Term Frequency: 4         
Term: presented                      Term Frequency: 4         
Term: various                        Term Frequency: 4         
Term: analyzing                      Term Frequency: 4         
Term: do                             Term Frequency: 4         
Term: rate                           Term Frequency: 4         
Term: go                             Term Frequency: 4         
Term: context                        Term Frequency: 4         
Term: second                         Term Frequency: 4         
Term: course                         Term Frequency: 4         
Term: retrospective                  Term Frequency: 4         
Term: considered                     Term Frequency: 4         
Term: understand                     Term Frequency: 4         
Term: underlying                     Term Frequency: 4         
Term: larger                         Term Frequency: 4         
Term: discussion                     Term Frequency: 4         
Term: automated                      Term Frequency: 4         
Term: visits                         Term Frequency: 4         
Term: present                        Term Frequency: 4         
Term: meta                           Term Frequency: 4         
Term: compatible                     Term Frequency: 4         
Term: post                           Term Frequency: 4         
Term: previously                     Term Frequency: 4         
Term: partial                        Term Frequency: 4         
Term: hypotheses                     Term Frequency: 4         
Term: detection                      Term Frequency: 4         
Term: those                          Term Frequency: 4         
Term: significant                    Term Frequency: 4         
Term: learned                        Term Frequency: 4         
Term: important                      Term Frequency: 4         
Term: investigation                  Term Frequency: 4         
Term: should                         Term Frequency: 4         
Term: studies                        Term Frequency: 4         
Term: predictor                      Term Frequency: 4         
Term: limited                        Term Frequency: 4         
Term: outcomes                       Term Frequency: 4         
Term: press                          Term Frequency: 4         
Term: means                          Term Frequency: 4         
Term: seeking                        Term Frequency: 4         
Term: evaluate                       Term Frequency: 4         
Term: above                          Term Frequency: 4         
Term: open                           Term Frequency: 4         
Term: among                          Term Frequency: 4         
Term: what                           Term Frequency: 4         
Term: dashboard                      Term Frequency: 4         
Term: certain                        Term Frequency: 4         
Term: very                           Term Frequency: 4         
Term: investigate                    Term Frequency: 4         
Term: allows                         Term Frequency: 4         
Term: like                           Term Frequency: 4         
Term: talking                        Term Frequency: 4         
Term: live                           Term Frequency: 4         
Term: even                           Term Frequency: 4         
Term: evaluation                     Term Frequency: 4         
Term: 2011                           Term Frequency: 4         
Term: 2004                           Term Frequency: 4         
Term: 2015                           Term Frequency: 4         
Term: 2014                           Term Frequency: 4         
Term: member                         Term Frequency: 4         
Term: collection                     Term Frequency: 4         
Term: recorded                       Term Frequency: 4         
Term: algorithm                      Term Frequency: 4         
Term: prototype                      Term Frequency: 4         
Term: tended                         Term Frequency: 4         
Term: suggested                      Term Frequency: 4         
Term: algebra                        Term Frequency: 4         
Term: spaces                         Term Frequency: 4         
Term: absence                        Term Frequency: 4         
Term: experimental                   Term Frequency: 4         
Term: physics                        Term Frequency: 4         
Term: scheme                         Term Frequency: 4         
Term: typically                      Term Frequency: 4         
Term: discovery                      Term Frequency: 4         
Term: several                        Term Frequency: 4         
Term: begun                          Term Frequency: 4         
Term: picture                        Term Frequency: 3         
Term: circumstances                  Term Frequency: 3         
Term: reported                       Term Frequency: 3         
Term: reflection                     Term Frequency: 3         
Term: bright                         Term Frequency: 3         
Term: shows                          Term Frequency: 3         
Term: back                           Term Frequency: 3         
Term: construct                      Term Frequency: 3         
Term: being                          Term Frequency: 3         
Term: included                       Term Frequency: 3         
Term: 15                             Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: 19                             Term Frequency: 3         
Term: 22                             Term Frequency: 3         
Term: 23                             Term Frequency: 3         
Term: 29                             Term Frequency: 3         
Term: long                           Term Frequency: 3         
Term: 36                             Term Frequency: 3         
Term: progress                       Term Frequency: 3         
Term: 43                             Term Frequency: 3         
Term: 44                             Term Frequency: 3         
Term: 46                             Term Frequency: 3         
Term: 60                             Term Frequency: 3         
Term: controlling                    Term Frequency: 3         
Term: advantage                      Term Frequency: 3         
Term: hands                          Term Frequency: 3         
Term: computers                      Term Frequency: 3         
Term: evidence                       Term Frequency: 3         
Term: need                           Term Frequency: 3         
Term: rates                          Term Frequency: 3         
Term: skills                         Term Frequency: 3         
Term: quickly                        Term Frequency: 3         
Term: plan                           Term Frequency: 3         
Term: gain                           Term Frequency: 3         
Term: attention                      Term Frequency: 3         
Term: assumption                     Term Frequency: 3         
Term: interpretation                 Term Frequency: 3         
Term: observers                      Term Frequency: 3         
Term: watching                       Term Frequency: 3         
Term: https                          Term Frequency: 3         
Term: literature                     Term Frequency: 3         
Term: suggests                       Term Frequency: 3         
Term: them                           Term Frequency: 3         
Term: procedural                     Term Frequency: 3         
Term: self                           Term Frequency: 3         
Term: follow                         Term Frequency: 3         
Term: without                        Term Frequency: 3         
Term: much                           Term Frequency: 3         
Term: sets                           Term Frequency: 3         
Term: video                          Term Frequency: 3         
Term: yet                            Term Frequency: 3         
Term: observing                      Term Frequency: 3         
Term: active                         Term Frequency: 3         
Term: questions                      Term Frequency: 3         
Term: action                         Term Frequency: 3         
Term: workflow                       Term Frequency: 3         
Term: sensors                        Term Frequency: 3         
Term: free                           Term Frequency: 3         
Term: finding                        Term Frequency: 3         
Term: laboratory                     Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: plausibility                   Term Frequency: 3         
Term: frequently                     Term Frequency: 3         
Term: estimates                      Term Frequency: 3         
Term: indicate                       Term Frequency: 3         
Term: developed                      Term Frequency: 3         
Term: side                           Term Frequency: 3         
Term: focused                        Term Frequency: 3         
Term: cross                          Term Frequency: 3         
Term: facilitates                    Term Frequency: 3         
Term: throughout                     Term Frequency: 3         
Term: technology                     Term Frequency: 3         
Term: place                          Term Frequency: 3         
Term: expect                         Term Frequency: 3         
Term: mechanisms                     Term Frequency: 3         
Term: individual                     Term Frequency: 3         
Term: computing                      Term Frequency: 3         
Term: studied                        Term Frequency: 3         
Term: went                           Term Frequency: 3         
Term: possibility                    Term Frequency: 3         
Term: promote                        Term Frequency: 3         
Term: verbal                         Term Frequency: 3         
Term: provide                        Term Frequency: 3         
Term: low                            Term Frequency: 3         
Term: distinguishing                 Term Frequency: 3         
Term: minutes                        Term Frequency: 3         
Term: interaction                    Term Frequency: 3         
Term: recollections                  Term Frequency: 3         
Term: rather                         Term Frequency: 3         
Term: interpret                      Term Frequency: 3         
Term: we’ve                          Term Frequency: 3         
Term: structure                      Term Frequency: 3         
Term: allow                          Term Frequency: 3         
Term: include                        Term Frequency: 3         
Term: capture                        Term Frequency: 3         
Term: originally                     Term Frequency: 3         
Term: modeled                        Term Frequency: 3         
Term: similar                        Term Frequency: 3         
Term: indicated                      Term Frequency: 3         
Term: engage                         Term Frequency: 3         
Term: nearby                         Term Frequency: 3         
Term: reveal                         Term Frequency: 3         
Term: apparent                       Term Frequency: 3         
Term: datasets                       Term Frequency: 3         
Term: external                       Term Frequency: 3         
Term: period                         Term Frequency: 3         
Term: peer                           Term Frequency: 3         
Term: environments                   Term Frequency: 3         
Term: initiated                      Term Frequency: 3         
Term: displayed                      Term Frequency: 3         
Term: giving                         Term Frequency: 3         
Term: asking                         Term Frequency: 3         
Term: assumptions                    Term Frequency: 3         
Term: group                          Term Frequency: 3         
Term: series                         Term Frequency: 3         
Term: represent                      Term Frequency: 3         
Term: additional                     Term Frequency: 3         
Term: 2006                           Term Frequency: 3         
Term: 2002                           Term Frequency: 3         
Term: existing                       Term Frequency: 3         
Term: true                           Term Frequency: 3         
Term: since                          Term Frequency: 3         
Term: every                          Term Frequency: 3         
Term: regions                        Term Frequency: 3         
Term: performance                    Term Frequency: 3         
Term: mediators                      Term Frequency: 3         
Term: algorithms                     Term Frequency: 3         
Term: row                            Term Frequency: 3         
Term: broader                        Term Frequency: 3         
Term: affective                      Term Frequency: 3         
Term: seating                        Term Frequency: 3         
Term: percentage                     Term Frequency: 3         
Term: increase                       Term Frequency: 3         
Term: strong                         Term Frequency: 3         
Term: affect                         Term Frequency: 3         
Term: instruction                    Term Frequency: 3         
Term: behind                         Term Frequency: 3         
Term: dynamics                       Term Frequency: 3         
Term: 135                            Term Frequency: 3         
Term: generate                       Term Frequency: 3         
Term: higher                         Term Frequency: 3         
Term: guide                          Term Frequency: 3         
Term: distracted                     Term Frequency: 3         
Term: 8                              Term Frequency: 2         
Term: information                    Term Frequency: 2         
Term: ranging                        Term Frequency: 2         
Term: top                            Term Frequency: 2         
Term: abilities                      Term Frequency: 2         
Term: including                      Term Frequency: 2         
Term: times                          Term Frequency: 2         
Term: direction                      Term Frequency: 2         
Term: 227                            Term Frequency: 2         
Term: worked                         Term Frequency: 2         
Term: state                          Term Frequency: 2         
Term: 265                            Term Frequency: 2         
Term: required                       Term Frequency: 2         
Term: ventilation                    Term Frequency: 2         
Term: shown                          Term Frequency: 2         
Term: third                          Term Frequency: 2         
Term: further                        Term Frequency: 2         
Term: abusing                        Term Frequency: 2         
Term: 0.08                           Term Frequency: 2         
Term: finally                        Term Frequency: 2         
Term: visualizations                 Term Frequency: 2         
Term: helping                        Term Frequency: 2         
Term: revealed                       Term Frequency: 2         
Term: concentrated                   Term Frequency: 2         
Term: continuous                     Term Frequency: 2         
Term: credit                         Term Frequency: 2         
Term: null                           Term Frequency: 2         
Term: fidelity                       Term Frequency: 2         
Term: make                           Term Frequency: 2         
Term: constraints                    Term Frequency: 2         
Term: drawing                        Term Frequency: 2         
Term: 11                             Term Frequency: 2         
Term: 14                             Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: 24                             Term Frequency: 2         
Term: 25                             Term Frequency: 2         
Term: 27                             Term Frequency: 2         
Term: 31                             Term Frequency: 2         
Term: 39                             Term Frequency: 2         
Term: 40                             Term Frequency: 2         
Term: 41                             Term Frequency: 2         
Term: 45                             Term Frequency: 2         
Term: approximate                    Term Frequency: 2         
Term: rapid                          Term Frequency: 2         
Term: maps                           Term Frequency: 2         
Term: 71                             Term Frequency: 2         
Term: step                           Term Frequency: 2         
Term: dashboards                     Term Frequency: 2         
Term: walking                        Term Frequency: 2         
Term: spend                          Term Frequency: 2         
Term: inspired                       Term Frequency: 2         
Term: stop                           Term Frequency: 2         
Term: representing                   Term Frequency: 2         
Term: http                           Term Frequency: 2         
Term: gradually                      Term Frequency: 2         
Term: asked                          Term Frequency: 2         
Term: links                          Term Frequency: 2         
Term: below                          Term Frequency: 2         
Term: running                        Term Frequency: 2         
Term: remains                        Term Frequency: 2         
Term: next                           Term Frequency: 2         
Term: effectively                    Term Frequency: 2         
Term: decide                         Term Frequency: 2         
Term: stuck                          Term Frequency: 2         
Term: continuously                   Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: unexpected                     Term Frequency: 2         
Term: df                             Term Frequency: 2         
Term: observe                        Term Frequency: 2         
Term: digital                        Term Frequency: 2         
Term: placed                         Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: prediction                     Term Frequency: 2         
Term: sitting                        Term Frequency: 2         
Term: frustration                    Term Frequency: 2         
Term: re                             Term Frequency: 2         
Term: so                             Term Frequency: 2         
Term: single                         Term Frequency: 2         
Term: suggesting                     Term Frequency: 2         
Term: previous                       Term Frequency: 2         
Term: held                           Term Frequency: 2         
Term: beyond                         Term Frequency: 2         
Term: salient                        Term Frequency: 2         
Term: thus                           Term Frequency: 2         
Term: explorations                   Term Frequency: 2         
Term: mastery                        Term Frequency: 2         
Term: namely                         Term Frequency: 2         
Term: focus                          Term Frequency: 2         
Term: entire                         Term Frequency: 2         
Term: approach                       Term Frequency: 2         
Term: desks                          Term Frequency: 2         
Term: motivational                   Term Frequency: 2         
Term: names                          Term Frequency: 2         
Term: measuring                      Term Frequency: 2         
Term: almost                         Term Frequency: 2         
Term: events                         Term Frequency: 2         
Term: difference                     Term Frequency: 2         
Term: entirely                       Term Frequency: 2         
Term: measure                        Term Frequency: 2         
Term: policing                       Term Frequency: 2         
Term: multi                          Term Frequency: 2         
Term: alternative                    Term Frequency: 2         
Term: limitations                    Term Frequency: 2         
Term: confusion                      Term Frequency: 2         
Term: notice                         Term Frequency: 2         
Term: able                           Term Frequency: 2         
Term: value                          Term Frequency: 2         
Term: providing                      Term Frequency: 2         
Term: manual                         Term Frequency: 2         
Term: identify                       Term Frequency: 2         
Term: improvement                    Term Frequency: 2         
Term: screenshots                    Term Frequency: 2         
Term: orchestration                  Term Frequency: 2         
Term: points                         Term Frequency: 2         
Term: sensor                         Term Frequency: 2         
Term: reason                         Term Frequency: 2         
Term: investigating                  Term Frequency: 2         
Term: centered                       Term Frequency: 2         
Term: helpful                        Term Frequency: 2         
Term: estimated                      Term Frequency: 2         
Term: learner                        Term Frequency: 2         
Term: influence                      Term Frequency: 2         
Term: investigations                 Term Frequency: 2         
Term: original                       Term Frequency: 2         
Term: complex                        Term Frequency: 2         
Term: subsequent                     Term Frequency: 2         
Term: world                          Term Frequency: 2         
Term: report                         Term Frequency: 2         
Term: total                          Term Frequency: 2         
Term: access                         Term Frequency: 2         
Term: contexts                       Term Frequency: 2         
Term: once                           Term Frequency: 2         
Term: records                        Term Frequency: 2         
Term: feedback                       Term Frequency: 2         
Term: spatiotemporal                 Term Frequency: 2         
Term: mediated                       Term Frequency: 2         
Term: informal                       Term Frequency: 2         
Term: others                         Term Frequency: 2         
Term: applied                        Term Frequency: 2         
Term: behavioral                     Term Frequency: 2         
Term: lend                           Term Frequency: 2         
Term: posttests                      Term Frequency: 2         
Term: experiment                     Term Frequency: 2         
Term: communities                    Term Frequency: 2         
Term: lengthy                        Term Frequency: 2         
Term: does                           Term Frequency: 2         
Term: dataset                        Term Frequency: 2         
Term: bias                           Term Frequency: 2         
Term: fixed                          Term Frequency: 2         
Term: enhance                        Term Frequency: 2         
Term: pain                           Term Frequency: 2         
Term: interactive                    Term Frequency: 2         
Term: primary                        Term Frequency: 2         
Term: 1995                           Term Frequency: 2         
Term: combination                    Term Frequency: 2         
Term: mathematics                    Term Frequency: 2         
Term: path                           Term Frequency: 2         
Term: assigned                       Term Frequency: 2         
Term: adaptive                       Term Frequency: 2         
Term: importance                     Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: sense                          Term Frequency: 2         
Term: encodes                        Term Frequency: 2         
Term: obscured                       Term Frequency: 2         
Term: background                     Term Frequency: 2         
Term: orange                         Term Frequency: 2         
Term: quality                        Term Frequency: 2         
Term: roster                         Term Frequency: 2         
Term: though                         Term Frequency: 2         
Term: collaboration                  Term Frequency: 2         
Term: displaying                     Term Frequency: 2         
Term: studying                       Term Frequency: 2         
Term: coarse                         Term Frequency: 2         
Term: responsible                    Term Frequency: 2         
Term: rich                           Term Frequency: 2         
Term: positions                      Term Frequency: 2         
Term: around                         Term Frequency: 2         
Term: remainder                      Term Frequency: 2         
Term: shoulder                       Term Frequency: 2         
Term: automatically                  Term Frequency: 2         
Term: tetrad                         Term Frequency: 2         
Term: color                          Term Frequency: 2         
Term: enabled                        Term Frequency: 2         
Term: significantly                  Term Frequency: 2         
Term: practice                       Term Frequency: 2         
Term: metacognitive                  Term Frequency: 2         
Term: generally                      Term Frequency: 2         
Term: brief                          Term Frequency: 2         
Term: metacognition                  Term Frequency: 2         
Term: region                         Term Frequency: 2         
Term: presence                       Term Frequency: 2         
Term: copy                           Term Frequency: 2         
Term: functions                      Term Frequency: 2         
Term: correlation                    Term Frequency: 2         
Term: blue                           Term Frequency: 2         
Term: detectors                      Term Frequency: 2         
Term: rarely                         Term Frequency: 2         
Term: interested                     Term Frequency: 2         
Term: began                          Term Frequency: 2         
Term: receive                        Term Frequency: 2         
Term: standing                       Term Frequency: 2         
Term: correlated                     Term Frequency: 2         
Term: circles                        Term Frequency: 2         
Term: latent                         Term Frequency: 2         
Term: request                        Term Frequency: 2         
Term: dedicated                      Term Frequency: 2         
Term: introductory                   Term Frequency: 2         
Term: primarily                      Term Frequency: 2         
Term: 2005                           Term Frequency: 2         
Term: material                       Term Frequency: 2         
Term: explain                        Term Frequency: 2         
Term: reviews                        Term Frequency: 2         
Term: fine                           Term Frequency: 2         
Term: illustrate                     Term Frequency: 2         
Term: appears                        Term Frequency: 2         
Term: except                         Term Frequency: 2         
Term: fits                           Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: cannot                         Term Frequency: 2         
Term: distractions                   Term Frequency: 2         
Term: score                          Term Frequency: 2         
Term: ran                            Term Frequency: 2         
Term: unrelated                      Term Frequency: 2         
Term: moved                          Term Frequency: 2         
Term: assistants                     Term Frequency: 2         
Term: overlooked                     Term Frequency: 2         
Term: years                          Term Frequency: 2         
