Term: confidence                     Term Frequency: 48        
Term: studies                        Term Frequency: 4         
Term: efficacy                       Term Frequency: 4         
Term: 7                              Term Frequency: 3         
Term: result                         Term Frequency: 3         
Term: i                              Term Frequency: 3         
Term: n                              Term Frequency: 3         
Term: question                       Term Frequency: 3         
Term: two                            Term Frequency: 3         
Term: reported                       Term Frequency: 3         
Term: motivation                     Term Frequency: 3         
Term: measures                       Term Frequency: 3         
Term: profile                        Term Frequency: 3         
Term: sults                          Term Frequency: 3         
Term: human                          Term Frequency: 3         
Term: about                          Term Frequency: 3         
Term: 15                             Term Frequency: 3         
Term: 19                             Term Frequency: 3         
Term: 21                             Term Frequency: 3         
Term: many                           Term Frequency: 3         
Term: need                           Term Frequency: 3         
Term: rises                          Term Frequency: 3         
Term: end                            Term Frequency: 3         
Term: skills                         Term Frequency: 3         
Term: expectations                   Term Frequency: 3         
Term: categories                     Term Frequency: 3         
Term: addition                       Term Frequency: 3         
Term: do                             Term Frequency: 3         
Term: content                        Term Frequency: 3         
Term: likely                         Term Frequency: 3         
Term: contrast                       Term Frequency: 3         
Term: suggests                       Term Frequency: 3         
Term: seen                           Term Frequency: 3         
Term: one                            Term Frequency: 3         
Term: know                           Term Frequency: 3         
Term: overconfi                      Term Frequency: 3         
Term: scale                          Term Frequency: 3         
Term: psychology                     Term Frequency: 3         
Term: per                            Term Frequency: 3         
Term: ties                           Term Frequency: 3         
Term: had                            Term Frequency: 3         
Term: relatively                     Term Frequency: 3         
Term: eight                          Term Frequency: 3         
Term: calculated                     Term Frequency: 3         
Term: temporal                       Term Frequency: 3         
Term: asymmetric                     Term Frequency: 3         
Term: overconfident                  Term Frequency: 3         
Term: ing                            Term Frequency: 3         
Term: weeks                          Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: real                           Term Frequency: 3         
Term: grade                          Term Frequency: 3         
Term: item                           Term Frequency: 3         
Term: pattern                        Term Frequency: 3         
Term: increase                       Term Frequency: 3         
Term: see                            Term Frequency: 3         
Term: incorrect                      Term Frequency: 3         
Term: humani                         Term Frequency: 3         
Term: proportion                     Term Frequency: 3         
Term: change                         Term Frequency: 3         
Term: level                          Term Frequency: 3         
Term: dent                           Term Frequency: 3         
Term: stu                            Term Frequency: 3         
Term: types                          Term Frequency: 3         
Term: review                         Term Frequency: 3         
Term: only                           Term Frequency: 3         
Term: category                       Term Frequency: 3         
Term: would                          Term Frequency: 2         
Term: outcomes                       Term Frequency: 2         
Term: 8                              Term Frequency: 2         
Term: 9                              Term Frequency: 2         
Term: same                           Term Frequency: 2         
Term: y                              Term Frequency: 2         
Term: information                    Term Frequency: 2         
Term: analytics                      Term Frequency: 2         
Term: others                         Term Frequency: 2         
Term: 25.73                          Term Frequency: 2         
Term: better                         Term Frequency: 2         
Term: platforms                      Term Frequency: 2         
Term: similarly                      Term Frequency: 2         
Term: ered                           Term Frequency: 2         
Term: items                          Term Frequency: 2         
Term: does                           Term Frequency: 2         
Term: actual                         Term Frequency: 2         
Term: aspects                        Term Frequency: 2         
Term: three                          Term Frequency: 2         
Term: 1984                           Term Frequency: 2         
Term: 1998                           Term Frequency: 2         
Term: low                            Term Frequency: 2         
Term: experience                     Term Frequency: 2         
Term: shows                          Term Frequency: 2         
Term: particular                     Term Frequency: 2         
Term: tend                           Term Frequency: 2         
Term: regulated                      Term Frequency: 2         
Term: lated                          Term Frequency: 2         
Term: possible                       Term Frequency: 2         
Term: under                          Term Frequency: 2         
Term: final                          Term Frequency: 2         
Term: importance                     Term Frequency: 2         
Term: known                          Term Frequency: 2         
Term: included                       Term Frequency: 2         
Term: 10                             Term Frequency: 2         
Term: 11                             Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: 14                             Term Frequency: 2         
Term: 16                             Term Frequency: 2         
Term: 18                             Term Frequency: 2         
Term: unique                         Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: believe                        Term Frequency: 2         
Term: 38                             Term Frequency: 2         
Term: 46                             Term Frequency: 2         
Term: dents                          Term Frequency: 2         
Term: platform                       Term Frequency: 2         
Term: overestimate                   Term Frequency: 2         
Term: understanding                  Term Frequency: 2         
Term: tions                          Term Frequency: 2         
Term: below                          Term Frequency: 2         
Term: specific                       Term Frequency: 2         
Term: plots                          Term Frequency: 2         
Term: metric                         Term Frequency: 2         
Term: developing                     Term Frequency: 2         
Term: 129,644                        Term Frequency: 2         
Term: explore                        Term Frequency: 2         
Term: levels                         Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: otherwise                      Term Frequency: 2         
Term: visible                        Term Frequency: 2         
Term: effects                        Term Frequency: 2         
Term: unsure                         Term Frequency: 2         
Term: investigates                   Term Frequency: 2         
Term: underconfi                     Term Frequency: 2         
Term: systems                        Term Frequency: 2         
Term: ex                             Term Frequency: 2         
Term: plot                           Term Frequency: 2         
Term: skill                          Term Frequency: 2         
Term: digital                        Term Frequency: 2         
Term: practice                       Term Frequency: 2         
Term: metacognitive                  Term Frequency: 2         
Term: grades                         Term Frequency: 2         
Term: exploring                      Term Frequency: 2         
Term: thesemester                    Term Frequency: 2         
Term: feeling                        Term Frequency: 2         
Term: overestimation                 Term Frequency: 2         
Term: estimate                       Term Frequency: 2         
Term: partially                      Term Frequency: 2         
Term: un                             Term Frequency: 2         
Term: us                             Term Frequency: 2         
Term: changes                        Term Frequency: 2         
Term: purpose                        Term Frequency: 2         
Term: ities                          Term Frequency: 2         
Term: much                           Term Frequency: 2         
Term: area                           Term Frequency: 2         
Term: lack                           Term Frequency: 2         
Term: interface                      Term Frequency: 2         
Term: perform                        Term Frequency: 2         
Term: larger                         Term Frequency: 2         
Term: environments                   Term Frequency: 2         
Term: whether                        Term Frequency: 2         
Term: despite                        Term Frequency: 2         
Term: measure                        Term Frequency: 2         
Term: valuable                       Term Frequency: 2         
Term: been                           Term Frequency: 2         
Term: beginning                      Term Frequency: 2         
Term: 2009                           Term Frequency: 2         
Term: 2005                           Term Frequency: 2         
Term: notice                         Term Frequency: 2         
Term: 2017                           Term Frequency: 2         
Term: material                       Term Frequency: 2         
Term: 2015                           Term Frequency: 2         
Term: tables                         Term Frequency: 2         
Term: explored                       Term Frequency: 2         
Term: calcu                          Term Frequency: 2         
Term: could                          Term Frequency: 2         
Term: numberof                       Term Frequency: 2         
Term: experiences                    Term Frequency: 2         
Term: present                        Term Frequency: 2         
Term: based                          Term Frequency: 2         
Term: one’s                          Term Frequency: 2         
Term: fact                           Term Frequency: 2         
Term: conditional                    Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: fail                           Term Frequency: 2         
Term: thecourse                      Term Frequency: 2         
Term: according                      Term Frequency: 2         
Term: aremore                        Term Frequency: 2         
Term: wereoverconfident              Term Frequency: 2         
Term: age                            Term Frequency: 2         
Term: confident                      Term Frequency: 2         
Term: future                         Term Frequency: 2         
Term: body                           Term Frequency: 2         
Term: already                        Term Frequency: 2         
Term: conducted                      Term Frequency: 2         
Term: accurate                       Term Frequency: 2         
Term: worth                          Term Frequency: 2         
Term: results                        Term Frequency: 2         
Term: confidencein                   Term Frequency: 2         
Term: significant                    Term Frequency: 2         
Term: learned                        Term Frequency: 2         
Term: most                           Term Frequency: 2         
Term: important                      Term Frequency: 2         
Term: assignment                     Term Frequency: 2         
Term: personal                       Term Frequency: 2         
Term: affect                         Term Frequency: 2         
Term: 7th                            Term Frequency: 2         
Term: model                          Term Frequency: 2         
Term: large                          Term Frequency: 2         
Term: world                          Term Frequency: 2         
Term: 19.89                          Term Frequency: 2         
Term: current                        Term Frequency: 2         
Term: estimations                    Term Frequency: 2         
Term: degree                         Term Frequency: 2         
Term: 191                            Term Frequency: 2         
Term: towards                        Term Frequency: 2         
Term: week                           Term Frequency: 2         
Term: response                       Term Frequency: 2         
Term: partialcredit                  Term Frequency: 1         
Term: size                           Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: balanced                       Term Frequency: 1         
Term: theoriesof                     Term Frequency: 1         
Term: data1                          Term Frequency: 1         
Term: visualizing                    Term Frequency: 1         
Term: beliefs                        Term Frequency: 1         
Term: x                              Term Frequency: 1         
Term: inhumanities                   Term Frequency: 1         
Term: successfulin                   Term Frequency: 1         
Term: disci                          Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: provides                       Term Frequency: 1         
Term: behavioral                     Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: structs                        Term Frequency: 1         
Term: changeof                       Term Frequency: 1         
Term: multiple                       Term Frequency: 1         
Term: automati                       Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: thestudents                    Term Frequency: 1         
Term: studentsand                    Term Frequency: 1         
Term: ineight                        Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: 2.3                            Term Frequency: 1         
Term: 2.4                            Term Frequency: 1         
Term: thanpertaining                 Term Frequency: 1         
Term: com                            Term Frequency: 1         
Term: hibit                          Term Frequency: 1         
Term: cor                            Term Frequency: 1         
Term: less                           Term Frequency: 1         
Term: improve                        Term Frequency: 1         
Term: isdependent                    Term Frequency: 1         
Term: 208                            Term Frequency: 1         
Term: andanxiety                     Term Frequency: 1         
Term: sibly                          Term Frequency: 1         
Term: direction                      Term Frequency: 1         
Term: encourag                       Term Frequency: 1         
Term: thatpoor                       Term Frequency: 1         
Term: ques                           Term Frequency: 1         
Term: rows                           Term Frequency: 1         
Term: reliablepredictor              Term Frequency: 1         
Term: simplydemonstrations           Term Frequency: 1         
Term: defined                        Term Frequency: 1         
Term: opposite                       Term Frequency: 1         
Term: thelevels                      Term Frequency: 1         
Term: 258                            Term Frequency: 1         
Term: worried                        Term Frequency: 1         
Term: situation                      Term Frequency: 1         
Term: think                          Term Frequency: 1         
Term: 263                            Term Frequency: 1         
Term: bias                           Term Frequency: 1         
Term: develop                        Term Frequency: 1         
Term: 285                            Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: theability                     Term Frequency: 1         
Term: concept                        Term Frequency: 1         
Term: previ                          Term Frequency: 1         
Term: ences                          Term Frequency: 1         
Term: theirperformance               Term Frequency: 1         
Term: 298                            Term Frequency: 1         
Term: dueto                          Term Frequency: 1         
Term: proportionswas                 Term Frequency: 1         
Term: 1965                           Term Frequency: 1         
Term: reflectpositions               Term Frequency: 1         
Term: wecalculated                   Term Frequency: 1         
Term: regulate                       Term Frequency: 1         
Term: obstacles                      Term Frequency: 1         
Term: studentexpectations            Term Frequency: 1         
Term: specifically                   Term Frequency: 1         
Term: 1978                           Term Frequency: 1         
Term: 1977                           Term Frequency: 1         
Term: indicativeof                   Term Frequency: 1         
Term: 1990                           Term Frequency: 1         
Term: 1986                           Term Frequency: 1         
Term: provide                        Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: submitting                     Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: log                            Term Frequency: 1         
Term: 1993                           Term Frequency: 1         
Term: 1999                           Term Frequency: 1         
Term: initial                        Term Frequency: 1         
Term: shown                          Term Frequency: 1         
Term: corre                          Term Frequency: 1         
Term: created                        Term Frequency: 1         
Term: itwould                        Term Frequency: 1         
Term: creates                        Term Frequency: 1         
Term: beoverconfident                Term Frequency: 1         
Term: mathematics                    Term Frequency: 1         
Term: part                           Term Frequency: 1         
Term: lation                         Term Frequency: 1         
Term: higherunderconfidence          Term Frequency: 1         
Term: economics                      Term Frequency: 1         
Term: andunderconfidence             Term Frequency: 1         
Term: path                           Term Frequency: 1         
Term: evolves                        Term Frequency: 1         
Term: acomprehensive                 Term Frequency: 1         
Term: academicachievement            Term Frequency: 1         
Term: past                           Term Frequency: 1         
Term: impact                         Term Frequency: 1         
Term: attitude                       Term Frequency: 1         
Term: average                        Term Frequency: 1         
Term: influential                    Term Frequency: 1         
Term: adaptive                       Term Frequency: 1         
Term: tern                           Term Frequency: 1         
Term: taught                         Term Frequency: 1         
Term: did                            Term Frequency: 1         
Term: down                           Term Frequency: 1         
Term: recommendations                Term Frequency: 1         
Term: physicalsciences               Term Frequency: 1         
Term: test                           Term Frequency: 1         
Term: regarding                      Term Frequency: 1         
Term: 0.16                           Term Frequency: 1         
Term: varies                         Term Frequency: 1         
Term: interven                       Term Frequency: 1         
Term: answeredby                     Term Frequency: 1         
Term: rather                         Term Frequency: 1         
Term: 0.31                           Term Frequency: 1         
Term: training                       Term Frequency: 1         
Term: expectation                    Term Frequency: 1         
Term: 0.24                           Term Frequency: 1         
Term: company                        Term Frequency: 1         
Term: 130,791                        Term Frequency: 1         
Term: statistically                  Term Frequency: 1         
Term: confidencemay                  Term Frequency: 1         
Term: helping                        Term Frequency: 1         
Term: attempt                        Term Frequency: 1         
Term: revealed                       Term Frequency: 1         
Term: researchers                    Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: appreciation                   Term Frequency: 1         
Term: field                          Term Frequency: 1         
Term: 3.3                            Term Frequency: 1         
Term: 3.4                            Term Frequency: 1         
Term: intohow                        Term Frequency: 1         
Term: man                            Term Frequency: 1         
Term: comparable                     Term Frequency: 1         
Term: use                            Term Frequency: 1         
Term: subject                        Term Frequency: 1         
Term: continuous                     Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: tivation                       Term Frequency: 1         
Term: directions                     Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: 328                            Term Frequency: 1         
Term: was65.3                        Term Frequency: 1         
Term: mer                            Term Frequency: 1         
Term: make                           Term Frequency: 1         
Term: opposed                        Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: comprise                       Term Frequency: 1         
Term: thisimplies                    Term Frequency: 1         
Term: thisdiagram                    Term Frequency: 1         
Term: received                       Term Frequency: 1         
Term: benefit                        Term Frequency: 1         
Term: 363                            Term Frequency: 1         
Term: 22                             Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: 25                             Term Frequency: 1         
Term: examine                        Term Frequency: 1         
Term: 27                             Term Frequency: 1         
Term: examines                       Term Frequency: 1         
Term: 1st                            Term Frequency: 1         
Term: relationship                   Term Frequency: 1         
Term: 34                             Term Frequency: 1         
Term: variables                      Term Frequency: 1         
Term: extensive                      Term Frequency: 1         
Term: associated                     Term Frequency: 1         
Term: 56                             Term Frequency: 1         
Term: assurance                      Term Frequency: 1         
Term: paths                          Term Frequency: 1         
Term: coefficient                    Term Frequency: 1         
Term: leastone                       Term Frequency: 1         
Term: 64                             Term Frequency: 1         
Term: 69                             Term Frequency: 1         
Term: reconsidered.toward            Term Frequency: 1         
Term: worldlearning                  Term Frequency: 1         
Term: apply                          Term Frequency: 1         
Term: formula                        Term Frequency: 1         
Term: 81                             Term Frequency: 1         
Term: 84                             Term Frequency: 1         
Term: stem                           Term Frequency: 1         
Term: repeats                        Term Frequency: 1         
Term: permissionand                  Term Frequency: 1         
Term: 91                             Term Frequency: 1         
Term: bedded                         Term Frequency: 1         
Term: 96                             Term Frequency: 1         
Term: 98                             Term Frequency: 1         
Term: 99                             Term Frequency: 1         
Term: relating                       Term Frequency: 1         
Term: knowing                        Term Frequency: 1         
Term: theory                         Term Frequency: 1         
Term: gender                         Term Frequency: 1         
Term: unifyingtheory                 Term Frequency: 1         
Term: variability                    Term Frequency: 1         
Term: across                         Term Frequency: 1         
Term: regulations                    Term Frequency: 1         
Term: anincrease                     Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: axis                           Term Frequency: 1         
Term: 22.71                          Term Frequency: 1         
Term: mining                         Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: seems                          Term Frequency: 1         
Term: scientific                     Term Frequency: 1         
Term: tobe                           Term Frequency: 1         
Term: hisextensive                   Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: totheir                        Term Frequency: 1         
Term: year                           Term Frequency: 1         
Term: leading                        Term Frequency: 1         
Term: because                        Term Frequency: 1         
Term: biased                         Term Frequency: 1         
Term: selection                      Term Frequency: 1         
Term: least                          Term Frequency: 1         
Term: measurement                    Term Frequency: 1         
Term: behavior                       Term Frequency: 1         
Term: learn                          Term Frequency: 1         
Term: sameweek                       Term Frequency: 1         
Term: perceptions                    Term Frequency: 1         
Term: explainedby                    Term Frequency: 1         
Term: howit                          Term Frequency: 1         
Term: coursewere                     Term Frequency: 1         
Term: ofeducation                    Term Frequency: 1         
Term: often                          Term Frequency: 1         
Term: users                          Term Frequency: 1         
Term: volume                         Term Frequency: 1         
Term: tests                          Term Frequency: 1         
Term: possiblethat                   Term Frequency: 1         
Term: materials                      Term Frequency: 1         
Term: andin                          Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: learnand                       Term Frequency: 1         
Term: andit                          Term Frequency: 1         
Term: needto                         Term Frequency: 1         
Term: studentsmetacognition          Term Frequency: 1         
Term: environment                    Term Frequency: 1         
Term: happens                        Term Frequency: 1         
Term: deliberate                     Term Frequency: 1         
Term: proficiencyon                  Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: authors                        Term Frequency: 1         
Term: indicates                      Term Frequency: 1         
Term: sharp                          Term Frequency: 1         
Term: ofthe                          Term Frequency: 1         
Term: coursesthat                    Term Frequency: 1         
Term: pedagogy                       Term Frequency: 1         
Term: pages                          Term Frequency: 1         
Term: visualize                      Term Frequency: 1         
Term: domains                        Term Frequency: 1         
Term: rigorous                       Term Frequency: 1         
Term: cept                           Term Frequency: 1         
Term: around                         Term Frequency: 1         
Term: influences                     Term Frequency: 1         
Term: chose                          Term Frequency: 1         
Term: forms                          Term Frequency: 1         
Term: shift                          Term Frequency: 1         
Term: ratein                         Term Frequency: 1         
Term: remain                         Term Frequency: 1         
Term: studyhow                       Term Frequency: 1         
Term: simultaneous                   Term Frequency: 1         
Term: knowledgeable                  Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: anunrealistic                  Term Frequency: 1         
Term: supported                      Term Frequency: 1         
Term: seeming                        Term Frequency: 1         
Term: decrease                       Term Frequency: 1         
Term: improving                      Term Frequency: 1         
Term: leads                          Term Frequency: 1         
Term: color                          Term Frequency: 1         
Term: shownin                        Term Frequency: 1         
Term: drops                          Term Frequency: 1         
Term: factor                         Term Frequency: 1         
Term: incorporating                  Term Frequency: 1         
Term: socialscience                  Term Frequency: 1         
Term: undercon                       Term Frequency: 1         
Term: implementconfidence            Term Frequency: 1         
Term: excluded                       Term Frequency: 1         
Term: plat                           Term Frequency: 1         
Term: probability                    Term Frequency: 1         
Term: dividing                       Term Frequency: 1         
Term: wrong                          Term Frequency: 1         
Term: asthe                          Term Frequency: 1         
Term: used                           Term Frequency: 1         
Term: few                            Term Frequency: 1         
Term: who                            Term Frequency: 1         
Term: necessarily                    Term Frequency: 1         
Term: donot                          Term Frequency: 1         
Term: leans                          Term Frequency: 1         
Term: matters                        Term Frequency: 1         
Term: user                           Term Frequency: 1         
Term: oneself                        Term Frequency: 1         
Term: bring                          Term Frequency: 1         
Term: tionally                       Term Frequency: 1         
Term: assumption                     Term Frequency: 1         
Term: rank                           Term Frequency: 1         
Term: ad                             Term Frequency: 1         
Term: extend                         Term Frequency: 1         
Term: customize                      Term Frequency: 1         
Term: search                         Term Frequency: 1         
Term: develops                       Term Frequency: 1         
Term: sciencecourses                 Term Frequency: 1         
Term: whichsuggests                  Term Frequency: 1         
Term: em                             Term Frequency: 1         
Term: andcorrect                     Term Frequency: 1         
Term: understandhow                  Term Frequency: 1         
Term: 5.3                            Term Frequency: 1         
Term: 5.5                            Term Frequency: 1         
Term: 5.6                            Term Frequency: 1         
Term: personality                    Term Frequency: 1         
Term: abilitythan                    Term Frequency: 1         
Term: overconfidence:metacognitive   Term Frequency: 1         
Term: orphysical                     Term Frequency: 1         
Term: form                           Term Frequency: 1         
Term: publish                        Term Frequency: 1         
Term: very                           Term Frequency: 1         
Term: interacts                      Term Frequency: 1         
Term: unaware                        Term Frequency: 1         
Term: lower                          Term Frequency: 1         
Term: 523                            Term Frequency: 1         
Term: anydifference                  Term Frequency: 1         
Term: become                         Term Frequency: 1         
Term: graded                         Term Frequency: 1         
Term: ability                        Term Frequency: 1         
Term: belief                         Term Frequency: 1         
Term: weremoved                      Term Frequency: 1         
Term: generally                      Term Frequency: 1         
Term: complete                       Term Frequency: 1         
Term: mo                             Term Frequency: 1         
Term: possessed                      Term Frequency: 1         
Term: underconfidencerespectively    Term Frequency: 1         
Term: considerably                   Term Frequency: 1         
Term: pa                             Term Frequency: 1         
Term: easier                         Term Frequency: 1         
Term: seem                           Term Frequency: 1         
Term: se                             Term Frequency: 1         
Term: so                             Term Frequency: 1         
Term: ona                            Term Frequency: 1         
Term: theseresults                   Term Frequency: 1         
Term: undergraduate                  Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: answerwas                      Term Frequency: 1         
Term: ensure                         Term Frequency: 1         
Term: learningwith                   Term Frequency: 1         
Term: incorrectly                    Term Frequency: 1         
Term: support                        Term Frequency: 1         
Term: 27.7                           Term Frequency: 1         
Term: succeed                        Term Frequency: 1         
Term: proportions                    Term Frequency: 1         
Term: operationalizedstudents        Term Frequency: 1         
Term: taskchoice                     Term Frequency: 1         
Term: coursesare                     Term Frequency: 1         
Term: procedural                     Term Frequency: 1         
Term: ous                            Term Frequency: 1         
Term: out                            Term Frequency: 1         
Term: gen                            Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: ofquestions                    Term Frequency: 1         
Term: toring                         Term Frequency: 1         
Term: ofeach                         Term Frequency: 1         
Term: loweracross                    Term Frequency: 1         
Term: massive                        Term Frequency: 1         
Term: reveal                         Term Frequency: 1         
Term: learnign                       Term Frequency: 1         
Term: create                         Term Frequency: 1         
Term: development                    Term Frequency: 1         
Term: like                           Term Frequency: 1         
Term: ending                         Term Frequency: 1         
Term: efforts                        Term Frequency: 1         
Term: tendencyto                     Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: realisticdrops                 Term Frequency: 1         
Term: groups                         Term Frequency: 1         
Term: factors                        Term Frequency: 1         
Term: mediumpositive                 Term Frequency: 1         
Term: derconfident                   Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: estimationof                   Term Frequency: 1         
Term: thus                           Term Frequency: 1         
Term: apparent                       Term Frequency: 1         
Term: mastery                        Term Frequency: 1         
Term: disciplnary                    Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: combined                       Term Frequency: 1         
Term: faces                          Term Frequency: 1         
Term: 32.8                           Term Frequency: 1         
Term: got                            Term Frequency: 1         
Term: ratioand                       Term Frequency: 1         
Term: pat                            Term Frequency: 1         
Term: andits                         Term Frequency: 1         
Term: eval                           Term Frequency: 1         
Term: tails                          Term Frequency: 1         
Term: revealsno                      Term Frequency: 1         
Term: focus                          Term Frequency: 1         
Term: theexamination                 Term Frequency: 1         
Term: understand                     Term Frequency: 1         
Term: ofconfidence                   Term Frequency: 1         
Term: analyze                        Term Frequency: 1         
Term: prevalence                     Term Frequency: 1         
Term: linear                         Term Frequency: 1         
Term: confidenceand                  Term Frequency: 1         
Term: discussed                      Term Frequency: 1         
Term: tosee                          Term Frequency: 1         
Term: collectionand                  Term Frequency: 1         
Term: inproblem                      Term Frequency: 1         
Term: equally                        Term Frequency: 1         
Term: 677                            Term Frequency: 1         
Term: izes                           Term Frequency: 1         
Term: clinical                       Term Frequency: 1         
Term: policies                       Term Frequency: 1         
Term: totalnumber                    Term Frequency: 1         
Term: withstudents                   Term Frequency: 1         
Term: want                           Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: found                          Term Frequency: 1         
Term: pos                            Term Frequency: 1         
Term: helplessness                   Term Frequency: 1         
Term: retention                      Term Frequency: 1         
Term: performanceis                  Term Frequency: 1         
Term: has                            Term Frequency: 1         
Term: given                          Term Frequency: 1         
Term: pronounced                     Term Frequency: 1         
Term: last                           Term Frequency: 1         
Term: inexperimental                 Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: pro                            Term Frequency: 1         
Term: correlates                     Term Frequency: 1         
