Term: we                             Term Frequency: 73        
Term: tion                           Term Frequency: 2         
Term: choice                         Term Frequency: 2         
Term: process                        Term Frequency: 2         
Term: relatively                     Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: answers                        Term Frequency: 2         
Term: selected                       Term Frequency: 2         
Term: task                           Term Frequency: 2         
Term: true                           Term Frequency: 2         
Term: present                        Term Frequency: 2         
Term: equation                       Term Frequency: 2         
Term: opinions                       Term Frequency: 2         
Term: cannot                         Term Frequency: 2         
Term: solving                        Term Frequency: 2         
Term: ing                            Term Frequency: 2         
Term: constructed                    Term Frequency: 2         
Term: close                          Term Frequency: 2         
Term: years                          Term Frequency: 2         
Term: copies                         Term Frequency: 2         
Term: always                         Term Frequency: 2         
Term: collect                        Term Frequency: 2         
Term: predict                        Term Frequency: 2         
Term: 0.5                            Term Frequency: 2         
Term: until                          Term Frequency: 2         
Term: ogive                          Term Frequency: 2         
Term: run                            Term Frequency: 2         
Term: either                         Term Frequency: 2         
Term: arule                          Term Frequency: 2         
Term: most                           Term Frequency: 2         
Term: amount                         Term Frequency: 2         
Term: little                         Term Frequency: 2         
Term: table                          Term Frequency: 2         
Term: instruction                    Term Frequency: 2         
Term: canbe                          Term Frequency: 2         
Term: errors                         Term Frequency: 2         
Term: vary                           Term Frequency: 2         
Term: drawn                          Term Frequency: 2         
Term: str                            Term Frequency: 2         
Term: once                           Term Frequency: 2         
Term: param                          Term Frequency: 2         
Term: types                          Term Frequency: 2         
Term: following                      Term Frequency: 2         
Term: only                           Term Frequency: 2         
Term: thismodel                      Term Frequency: 1         
Term: competent                      Term Frequency: 1         
Term: theresults                     Term Frequency: 1         
Term: lating                         Term Frequency: 1         
Term: thedifficulty                  Term Frequency: 1         
Term: mined                          Term Frequency: 1         
Term: example                        Term Frequency: 1         
Term: result                         Term Frequency: 1         
Term: n                              Term Frequency: 1         
Term: r                              Term Frequency: 1         
Term: good                           Term Frequency: 1         
Term: informative                    Term Frequency: 1         
Term: 8th                            Term Frequency: 1         
Term: 0.643                          Term Frequency: 1         
Term: inthe                          Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: better                         Term Frequency: 1         
Term: tween                          Term Frequency: 1         
Term: order                          Term Frequency: 1         
Term: withthe                        Term Frequency: 1         
Term: avail                          Term Frequency: 1         
Term: question                       Term Frequency: 1         
Term: 25rules                        Term Frequency: 1         
Term: fromeach                       Term Frequency: 1         
Term: cor                            Term Frequency: 1         
Term: 0.71.4                         Term Frequency: 1         
Term: theexpert                      Term Frequency: 1         
Term: less                           Term Frequency: 1         
Term: curacy                         Term Frequency: 1         
Term: teacher                        Term Frequency: 1         
Term: learningparameter              Term Frequency: 1         
Term: learningfrom                   Term Frequency: 1         
Term: rulesfor                       Term Frequency: 1         
Term: arethree                       Term Frequency: 1         
Term: toalleviate                    Term Frequency: 1         
Term: let                            Term Frequency: 1         
Term: ered                           Term Frequency: 1         
Term: approximatingthe               Term Frequency: 1         
Term: cur                            Term Frequency: 1         
Term: distribu                       Term Frequency: 1         
Term: does                           Term Frequency: 1         
Term: situation                      Term Frequency: 1         
Term: ofrule                         Term Frequency: 1         
Term: ofstudents                     Term Frequency: 1         
Term: areshown                       Term Frequency: 1         
Term: typ                            Term Frequency: 1         
Term: studentsabout                  Term Frequency: 1         
Term: tech                           Term Frequency: 1         
Term: ercises                        Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: assume                         Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: newrandomly                    Term Frequency: 1         
Term: concludesand                   Term Frequency: 1         
Term: interactive                    Term Frequency: 1         
Term: valuetmax                      Term Frequency: 1         
Term: required                       Term Frequency: 1         
Term: thepercentage                  Term Frequency: 1         
Term: specifically                   Term Frequency: 1         
Term: thatour                        Term Frequency: 1         
Term: provide                        Term Frequency: 1         
Term: primary                        Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: phases                         Term Frequency: 1         
Term: initial                        Term Frequency: 1         
Term: shows                          Term Frequency: 1         
Term: valuesare                      Term Frequency: 1         
Term: combination                    Term Frequency: 1         
Term: thelearned                     Term Frequency: 1         
Term: ferent                         Term Frequency: 1         
Term: done                           Term Frequency: 1         
Term: veloped                        Term Frequency: 1         
Term: part                           Term Frequency: 1         
Term: describestudent                Term Frequency: 1         
Term: ues                            Term Frequency: 1         
Term: parameters.after               Term Frequency: 1         
Term: andtherefore                   Term Frequency: 1         
Term: further                        Term Frequency: 1         
Term: recov                          Term Frequency: 1         
Term: theparameters                  Term Frequency: 1         
Term: ourstudent                     Term Frequency: 1         
Term: 1111                           Term Frequency: 1         
Term: business                       Term Frequency: 1         
Term: 0.01                           Term Frequency: 1         
Term: right                          Term Frequency: 1         
Term: maximum                        Term Frequency: 1         
Term: 0.07                           Term Frequency: 1         
Term: adding                         Term Frequency: 1         
Term: providefeedback                Term Frequency: 1         
Term: static                         Term Frequency: 1         
Term: 0.21                           Term Frequency: 1         
Term: 0.19                           Term Frequency: 1         
Term: 0.15                           Term Frequency: 1         
Term: back                           Term Frequency: 1         
Term: training                       Term Frequency: 1         
Term: beable                         Term Frequency: 1         
Term: 0.38                           Term Frequency: 1         
Term: difficul                       Term Frequency: 1         
Term: sired                          Term Frequency: 1         
Term: 0.50                           Term Frequency: 1         
Term: 0.64                           Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: invalid                        Term Frequency: 1         
Term: evaluate                       Term Frequency: 1         
Term: 0.78                           Term Frequency: 1         
Term: stream                         Term Frequency: 1         
Term: 0.88                           Term Frequency: 1         
Term: stant                          Term Frequency: 1         
Term: 0.84                           Term Frequency: 1         
Term: domainexperts                  Term Frequency: 1         
Term: applyinga                      Term Frequency: 1         
Term: whetheror                      Term Frequency: 1         
Term: 0.90                           Term Frequency: 1         
Term: main                           Term Frequency: 1         
Term: eachrule                       Term Frequency: 1         
Term: intensive                      Term Frequency: 1         
Term: collectdata                    Term Frequency: 1         
Term: ideas                          Term Frequency: 1         
Term: includes                       Term Frequency: 1         
Term: simulated1http                 Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: www.staff.science.uu.nl        Term Frequency: 1         
Term: forpersonal                    Term Frequency: 1         
Term: make                           Term Frequency: 1         
Term: attempting                     Term Frequency: 1         
Term: 349                            Term Frequency: 1         
Term: 04                             Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: drawing                        Term Frequency: 1         
Term: 10                             Term Frequency: 1         
Term: 14                             Term Frequency: 1         
Term: datasetshould                  Term Frequency: 1         
Term: labor                          Term Frequency: 1         
Term: quality                        Term Frequency: 1         
Term: presumeto                      Term Frequency: 1         
Term: 29                             Term Frequency: 1         
Term: 370                            Term Frequency: 1         
Term: variables                      Term Frequency: 1         
Term: expression                     Term Frequency: 1         
Term: though                         Term Frequency: 1         
Term: extensive                      Term Frequency: 1         
Term: 52                             Term Frequency: 1         
Term: startcompetence                Term Frequency: 1         
Term: surprise                       Term Frequency: 1         
Term: iterative                      Term Frequency: 1         
Term: learnedfrom                    Term Frequency: 1         
Term: look                           Term Frequency: 1         
Term: discrete                       Term Frequency: 1         
Term: allow                          Term Frequency: 1         
Term: informatics                    Term Frequency: 1         
Term: yields                         Term Frequency: 1         
Term: formula                        Term Frequency: 1         
Term: iattempting                    Term Frequency: 1         
Term: reliably                       Term Frequency: 1         
Term: appliesa                       Term Frequency: 1         
Term: val                            Term Frequency: 1         
Term: work                           Term Frequency: 1         
Term: extension                      Term Frequency: 1         
Term: specificpermission             Term Frequency: 1         
Term: esti                           Term Frequency: 1         
Term: discover                       Term Frequency: 1         
Term: sequence                       Term Frequency: 1         
Term: tobe                           Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: year                           Term Frequency: 1         
Term: competenceand                  Term Frequency: 1         
Term: via                            Term Frequency: 1         
Term: opti                           Term Frequency: 1         
Term: fromstudents                   Term Frequency: 1         
Term: least                          Term Frequency: 1         
Term: immediately                    Term Frequency: 1         
Term: modelby                        Term Frequency: 1         
Term: logical                        Term Frequency: 1         
Term: predictions                    Term Frequency: 1         
Term: struction                      Term Frequency: 1         
Term: rewriterules                   Term Frequency: 1         
Term: wesimulate                     Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: technical                      Term Frequency: 1         
Term: correctanswer                  Term Frequency: 1         
Term: ofstandard                     Term Frequency: 1         
Term: tries                          Term Frequency: 1         
Term: occurs                         Term Frequency: 1         
Term: 0.015                          Term Frequency: 1         
Term: booleanalgebra                 Term Frequency: 1         
Term: against                        Term Frequency: 1         
Term: tions                          Term Frequency: 1         
Term: theteacher                     Term Frequency: 1         
Term: 2nd                            Term Frequency: 1         
Term: pages                          Term Frequency: 1         
Term: domains                        Term Frequency: 1         
Term: careers                        Term Frequency: 1         
Term: eter                           Term Frequency: 1         
Term: discriminative                 Term Frequency: 1         
Term: yearbusiness                   Term Frequency: 1         
Term: showthat                       Term Frequency: 1         
Term: strategy                       Term Frequency: 1         
Term: 473                            Term Frequency: 1         
Term: 480                            Term Frequency: 1         
Term: forwho                         Term Frequency: 1         
Term: expectations                   Term Frequency: 1         
Term: model1                         Term Frequency: 1         
Term: firstauthor                    Term Frequency: 1         
Term: betweenexperts                 Term Frequency: 1         
Term: systemswe                      Term Frequency: 1         
Term: now                            Term Frequency: 1         
Term: discard                        Term Frequency: 1         
Term: issues                         Term Frequency: 1         
Term: withadding                     Term Frequency: 1         
Term: give                           Term Frequency: 1         
Term: modelin                        Term Frequency: 1         
Term: 0.842                          Term Frequency: 1         
Term: dian                           Term Frequency: 1         
Term: estimateddifficulties          Term Frequency: 1         
Term: certain                        Term Frequency: 1         
Term: fee                            Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: knowhow                        Term Frequency: 1         
Term: butthe                         Term Frequency: 1         
Term: option                         Term Frequency: 1         
Term: petence                        Term Frequency: 1         
Term: userewrite                     Term Frequency: 1         
Term: various                        Term Frequency: 1         
Term: assumption                     Term Frequency: 1         
Term: investigated                   Term Frequency: 1         
Term: ac                             Term Frequency: 1         
Term: extend                         Term Frequency: 1         
Term: av                             Term Frequency: 1         
Term: prove                          Term Frequency: 1         
Term: theparameter                   Term Frequency: 1         
Term: observe                        Term Frequency: 1         
Term: parametersusing                Term Frequency: 1         
Term: ed                             Term Frequency: 1         
Term: needs                          Term Frequency: 1         
Term: formatics                      Term Frequency: 1         
Term: mizing                         Term Frequency: 1         
Term: random                         Term Frequency: 1         
Term: rate                           Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: basedon                        Term Frequency: 1         
Term: presents                       Term Frequency: 1         
Term: homepage                       Term Frequency: 1         
Term: mostlycorrect                  Term Frequency: 1         
Term: four                           Term Frequency: 1         
Term: context                        Term Frequency: 1         
Term: ig                             Term Frequency: 1         
Term: likely                         Term Frequency: 1         
Term: formathematics                 Term Frequency: 1         
Term: become                         Term Frequency: 1         
Term: recovering                     Term Frequency: 1         
Term: predicting                     Term Frequency: 1         
Term: relatesthese                   Term Frequency: 1         
Term: ofa                            Term Frequency: 1         
Term: draw                           Term Frequency: 1         
Term: noring                         Term Frequency: 1         
Term: plying                         Term Frequency: 1         
Term: while                          Term Frequency: 1         
Term: second                         Term Frequency: 1         
Term: suggests                       Term Frequency: 1         
Term: ahalf                          Term Frequency: 1         
Term: me                             Term Frequency: 1         
Term: plus                           Term Frequency: 1         
Term: betweenoptimizing              Term Frequency: 1         
Term: calculus                       Term Frequency: 1         
Term: modelfor                       Term Frequency: 1         
Term: recent                         Term Frequency: 1         
Term: them                           Term Frequency: 1         
Term: re                             Term Frequency: 1         
Term: isdifferent                    Term Frequency: 1         
Term: expres                         Term Frequency: 1         
Term: simula                         Term Frequency: 1         
Term: necessary                      Term Frequency: 1         
Term: single                         Term Frequency: 1         
Term: whetherthis                    Term Frequency: 1         
Term: tr                             Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: rankthe                        Term Frequency: 1         
Term: ruler                          Term Frequency: 1         
Term: details                        Term Frequency: 1         
Term: us                             Term Frequency: 1         
Term: incorrectly                    Term Frequency: 1         
Term: between0.8                     Term Frequency: 1         
Term: theprobability                 Term Frequency: 1         
Term: usersof                        Term Frequency: 1         
Term: ideas.cs.uu.nl                 Term Frequency: 1         
Term: terms                          Term Frequency: 1         
Term: method                         Term Frequency: 1         
Term: come                           Term Frequency: 1         
Term: studentparameters              Term Frequency: 1         
Term: throughthe                     Term Frequency: 1         
Term: wegenerate                     Term Frequency: 1         
Term: distribution                   Term Frequency: 1         
Term: consuming                      Term Frequency: 1         
Term: course                         Term Frequency: 1         
Term: sciencestudents                Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: forar                          Term Frequency: 1         
Term: own                            Term Frequency: 1         
Term: eters                          Term Frequency: 1         
Term: techniques                     Term Frequency: 1         
Term: recovery                       Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: basede                         Term Frequency: 1         
Term: factors                        Term Frequency: 1         
Term: boolean                        Term Frequency: 1         
Term: towhat                         Term Frequency: 1         
Term: arewrite                       Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: calculate                      Term Frequency: 1         
Term: analysis                       Term Frequency: 1         
Term: correlation                    Term Frequency: 1         
Term: parametersfrom                 Term Frequency: 1         
Term: datasets                       Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: sets                           Term Frequency: 1         
Term: returned                       Term Frequency: 1         
Term: acceptable                     Term Frequency: 1         
Term: withreal                       Term Frequency: 1         
Term: drawconclusions                Term Frequency: 1         
Term: divided                        Term Frequency: 1         
Term: psychology                     Term Frequency: 1         
Term: copiesbear                     Term Frequency: 1         
Term: recurringrewrite               Term Frequency: 1         
Term: pect                           Term Frequency: 1         
Term: thesis                         Term Frequency: 1         
Term: algorithmswe                   Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: assisted                       Term Frequency: 1         
Term: assumes                        Term Frequency: 1         
Term: dependedon                     Term Frequency: 1         
Term: linear                         Term Frequency: 1         
Term: framework                      Term Frequency: 1         
Term: attributes                     Term Frequency: 1         
Term: lesswell                       Term Frequency: 1         
Term: meansthat                      Term Frequency: 1         
Term: almost                         Term Frequency: 1         
Term: puter                          Term Frequency: 1         
Term: basis                          Term Frequency: 1         
Term: totalnumber                    Term Frequency: 1         
Term: propertiesof                   Term Frequency: 1         
Term: ties                           Term Frequency: 1         
Term: stochastically                 Term Frequency: 1         
Term: isaccuracy                     Term Frequency: 1         
Term: nical                          Term Frequency: 1         
Term: strategies:the                 Term Frequency: 1         
Term: want                           Term Frequency: 1         
Term: reality                        Term Frequency: 1         
Term: dicted                         Term Frequency: 1         
Term: learnhow                       Term Frequency: 1         
Term: learningspeed                  Term Frequency: 1         
Term: offers                         Term Frequency: 1         
Term: given                          Term Frequency: 1         
Term: pre                            Term Frequency: 1         
Term: anddiscriminativity            Term Frequency: 1         
Term: theprevious                    Term Frequency: 1         
Term: alternating                    Term Frequency: 1         
Term: program                        Term Frequency: 1         
Term: thebasis                       Term Frequency: 1         
Term: universities                   Term Frequency: 1         
Term: her                            Term Frequency: 1         
Term: options                        Term Frequency: 1         
Term: probabilities                  Term Frequency: 1         
Term: conclusions                    Term Frequency: 1         
Term: latent                         Term Frequency: 1         
Term: methods                        Term Frequency: 1         
Term: beused                         Term Frequency: 1         
Term: replace                        Term Frequency: 1         
Term: his                            Term Frequency: 1         
Term: potential                      Term Frequency: 1         
Term: group                          Term Frequency: 1         
Term: twice                          Term Frequency: 1         
Term: ficulty                        Term Frequency: 1         
Term: general                        Term Frequency: 1         
Term: applying                       Term Frequency: 1         
Term: alternative                    Term Frequency: 1         
Term: been                           Term Frequency: 1         
Term: arenot                         Term Frequency: 1         
Term: evaluation                     Term Frequency: 1         
Term: knowledge                      Term Frequency: 1         
Term: 2006.258                       Term Frequency: 1         
Term: comes                          Term Frequency: 1         
Term: answer                         Term Frequency: 1         
Term: putting                        Term Frequency: 1         
Term: rewritingsomething             Term Frequency: 1         
Term: anddifficulty                  Term Frequency: 1         
Term: prior                          Term Frequency: 1         
Term: simplifying                    Term Frequency: 1         
Term: some                           Term Frequency: 1         
Term: 2010                           Term Frequency: 1         
Term: 2004                           Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: erage                          Term Frequency: 1         
Term: distributions                  Term Frequency: 1         
Term: validating                     Term Frequency: 1         
Term: 10.00data                      Term Frequency: 1         
Term: aboutthe                       Term Frequency: 1         
Term: together                       Term Frequency: 1         
Term: 0.80.3.2                       Term Frequency: 1         
Term: calcu                          Term Frequency: 1         
Term: howdifficult                   Term Frequency: 1         
Term: could                          Term Frequency: 1         
Term: numberof                       Term Frequency: 1         
Term: able                           Term Frequency: 1         
Term: find                           Term Frequency: 1         
Term: calculated                     Term Frequency: 1         
Term: furtherresearch                Term Frequency: 1         
Term: onequation                     Term Frequency: 1         
Term: foreach                        Term Frequency: 1         
Term: thissimilar                    Term Frequency: 1         
Term: jeuri101                       Term Frequency: 1         
Term: compe                          Term Frequency: 1         
Term: disjunctive                    Term Frequency: 1         
Term: update                         Term Frequency: 1         
Term: every                          Term Frequency: 1         
Term: aresingle                      Term Frequency: 1         
Term: isan                           Term Frequency: 1         
Term: calculating                    Term Frequency: 1         
Term: separability                   Term Frequency: 1         
Term: operationalizes                Term Frequency: 1         
Term: whichhas                       Term Frequency: 1         
Term: established                    Term Frequency: 1         
Term: performson                     Term Frequency: 1         
Term: error                          Term Frequency: 1         
Term: gression                       Term Frequency: 1         
Term: applythe                       Term Frequency: 1         
Term: froma                          Term Frequency: 1         
Term: providing                      Term Frequency: 1         
Term: testingthe                     Term Frequency: 1         
Term: student:difficulty             Term Frequency: 1         
Term: withintervals                  Term Frequency: 1         
Term: fast                           Term Frequency: 1         
Term: organised                      Term Frequency: 1         
Term: rameter                        Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: learnto                        Term Frequency: 1         
Term: byrewriting                    Term Frequency: 1         
Term: behave                         Term Frequency: 1         
