Term: data                           Term Frequency: 46        
Term: foundations                    Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: underlying                     Term Frequency: 1         
Term: analyze                        Term Frequency: 1         
Term: driven                         Term Frequency: 1         
Term: presenting                     Term Frequency: 1         
Term: analyticsspecialist            Term Frequency: 1         
Term: engaged                        Term Frequency: 1         
Term: algorithms                     Term Frequency: 1         
Term: acm.org                        Term Frequency: 1         
Term: commentators                   Term Frequency: 1         
Term: peer                           Term Frequency: 1         
Term: rithms                         Term Frequency: 1         
Term: noise                          Term Frequency: 1         
Term: entailing                      Term Frequency: 1         
Term: ested                          Term Frequency: 1         
Term: theservices                    Term Frequency: 1         
Term: educationusing                 Term Frequency: 1         
Term: memoryintensive                Term Frequency: 1         
Term: forstorage                     Term Frequency: 1         
Term: infrastruc                     Term Frequency: 1         
Term: cita                           Term Frequency: 1         
Term: communities                    Term Frequency: 1         
Term: con                            Term Frequency: 1         
Term: manner                         Term Frequency: 1         
Term: cov                            Term Frequency: 1         
Term: ordability                     Term Frequency: 1         
Term: tics                           Term Frequency: 1         
Term: etc                            Term Frequency: 1         
Term: lar                            Term Frequency: 1         
Term: verification                   Term Frequency: 1         
Term: settings                       Term Frequency: 1         
Term: institutions                   Term Frequency: 1         
Term: uncer                          Term Frequency: 1         
Term: facilitate                     Term Frequency: 1         
Term: running                        Term Frequency: 1         
Term: tional                         Term Frequency: 1         
Term: ana                            Term Frequency: 1         
Term: havenot                        Term Frequency: 1         
Term: comments                       Term Frequency: 1         
Term: thored                         Term Frequency: 1         
Term: specific                       Term Frequency: 1         
Term: any                            Term Frequency: 1         
Term: primaryobjectives              Term Frequency: 1         
Term: application                    Term Frequency: 1         
Term: conduct                        Term Frequency: 1         
Term: interested                     Term Frequency: 1         
Term: scikit                         Term Frequency: 1         
Term: formerly                       Term Frequency: 1         
Term: walk                           Term Frequency: 1         
Term: cialized                       Term Frequency: 1         
Term: adata                          Term Frequency: 1         
Term: onlineat                       Term Frequency: 1         
Term: lel                            Term Frequency: 1         
Term: java                           Term Frequency: 1         
Term: tivities                       Term Frequency: 1         
Term: ered                           Term Frequency: 1         
Term: interdisciplinarynature        Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: argued                         Term Frequency: 1         
Term: students                       Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: broader                        Term Frequency: 1         
Term: oftentimes                     Term Frequency: 1         
Term: team                           Term Frequency: 1         
Term: services                       Term Frequency: 1         
Term: algo                           Term Frequency: 1         
Term: datain                         Term Frequency: 1         
Term: 12352                          Term Frequency: 1         
Term: ofexperience                   Term Frequency: 1         
Term: ofeducational                  Term Frequency: 1         
Term: those                          Term Frequency: 1         
Term: pre                            Term Frequency: 1         
Term: develop                        Term Frequency: 1         
Term: technologies                   Term Frequency: 1         
Term: colleagues                     Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: involving                      Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: next                           Term Frequency: 1         
Term: aspects                        Term Frequency: 1         
Term: non                            Term Frequency: 1         
Term: introduce                      Term Frequency: 1         
Term: libraries                      Term Frequency: 1         
Term: short                          Term Frequency: 1         
Term: time                           Term Frequency: 1         
Term: predictiveanalytics            Term Frequency: 1         
Term: awidely                        Term Frequency: 1         
Term: disruptiveinnovation           Term Frequency: 1         
Term: requireenviable                Term Frequency: 1         
Term: required                       Term Frequency: 1         
Term: measures                       Term Frequency: 1         
Term: inpredictive                   Term Frequency: 1         
Term: tion                           Term Frequency: 1         
Term: meets                          Term Frequency: 1         
Term: educa                          Term Frequency: 1         
Term: miniproject                    Term Frequency: 1         
Term: provide                        Term Frequency: 1         
Term: awide                          Term Frequency: 1         
Term: jective                        Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: primary                        Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: enterprise                     Term Frequency: 1         
Term: gorithms                       Term Frequency: 1         
Term: ceived                         Term Frequency: 1         
Term: architecture                   Term Frequency: 1         
Term: more                           Term Frequency: 1         
Term: backgrounds                    Term Frequency: 1         
Term: hugeamounts                    Term Frequency: 1         
Term: statistics                     Term Frequency: 1         
Term: ective                         Term Frequency: 1         
Term: handson                        Term Frequency: 1         
Term: attentionfrom                  Term Frequency: 1         
Term: outcomeof                      Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: accumu                         Term Frequency: 1         
Term: necessitate                    Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: ferent                         Term Frequency: 1         
Term: storedand                      Term Frequency: 1         
Term: notebooks                      Term Frequency: 1         
Term: logistics                      Term Frequency: 1         
Term: general                        Term Frequency: 1         
Term: mentioned                      Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: amount                         Term Frequency: 1         
Term: process                        Term Frequency: 1         
Term: also                           Term Frequency: 1         
Term: build                          Term Frequency: 1         
Term: thenotebook                    Term Frequency: 1         
Term: varietyand                     Term Frequency: 1         
Term: attendance                     Term Frequency: 1         
Term: fromthe                        Term Frequency: 1         
Term: complex                        Term Frequency: 1         
Term: diverse                        Term Frequency: 1         
Term: prime                          Term Frequency: 1         
Term: databases                      Term Frequency: 1         
Term: happen                         Term Frequency: 1         
Term: ab                             Term Frequency: 1         
Term: ac                             Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: al                             Term Frequency: 1         
Term: accurately                     Term Frequency: 1         
Term: ap                             Term Frequency: 1         
Term: au                             Term Frequency: 1         
Term: millions                       Term Frequency: 1         
Term: comes                          Term Frequency: 1         
Term: search                         Term Frequency: 1         
Term: journal                        Term Frequency: 1         
Term: lated                          Term Frequency: 1         
Term: series                         Term Frequency: 1         
Term: freely                         Term Frequency: 1         
Term: dif                            Term Frequency: 1         
Term: faculty                        Term Frequency: 1         
Term: meaningful                     Term Frequency: 1         
Term: won                            Term Frequency: 1         
Term: computing1                     Term Frequency: 1         
Term: computational                  Term Frequency: 1         
Term: which                          Term Frequency: 1         
Term: patterns                       Term Frequency: 1         
Term: statis                         Term Frequency: 1         
Term: beneficial                     Term Frequency: 1         
Term: sources                        Term Frequency: 1         
Term: session                        Term Frequency: 1         
Term: optimized                      Term Frequency: 1         
Term: 2012                           Term Frequency: 1         
Term: 2011                           Term Frequency: 1         
Term: ioral                          Term Frequency: 1         
Term: related                        Term Frequency: 1         
Term: skill                          Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: company                        Term Frequency: 1         
Term: reporting                      Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: practical                      Term Frequency: 1         
Term: 2016                           Term Frequency: 1         
Term: form                           Term Frequency: 1         
Term: owned                          Term Frequency: 1         
Term: publish                        Term Frequency: 1         
Term: assign                         Term Frequency: 1         
Term: very                           Term Frequency: 1         
Term: analysisincluding              Term Frequency: 1         
Term: answers                        Term Frequency: 1         
Term: majority                       Term Frequency: 1         
Term: text                           Term Frequency: 1         
Term: validation                     Term Frequency: 1         
Term: tasks                          Term Frequency: 1         
Term: framing                        Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: tainty                         Term Frequency: 1         
Term: predictionof                   Term Frequency: 1         
Term: become                         Term Frequency: 1         
Term: deliver                        Term Frequency: 1         
Term: grades                         Term Frequency: 1         
Term: world                          Term Frequency: 1         
Term: productdevelopment             Term Frequency: 1         
Term: totransform                    Term Frequency: 1         
Term: download                       Term Frequency: 1         
Term: ma                             Term Frequency: 1         
Term: solution                       Term Frequency: 1         
Term: find                           Term Frequency: 1         
Term: helpthe                        Term Frequency: 1         
Term: reviewed                       Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: international                  Term Frequency: 1         
Term: ducted                         Term Frequency: 1         
Term: spe                            Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: since                          Term Frequency: 1         
Term: papersand                      Term Frequency: 1         
Term: best                           Term Frequency: 1         
Term: storage                        Term Frequency: 1         
Term: ob                             Term Frequency: 1         
Term: torial                         Term Frequency: 1         
Term: andweb                         Term Frequency: 1         
Term: tutorials                      Term Frequency: 1         
Term: about                          Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: objective                      Term Frequency: 1         
Term: cation                         Term Frequency: 1         
Term: cover                          Term Frequency: 1         
Term: exercises                      Term Frequency: 1         
Term: above                          Term Frequency: 1         
Term: learners'activitiesand         Term Frequency: 1         
Term: released                       Term Frequency: 1         
Term: trends                         Term Frequency: 1         
Term: methodologies                  Term Frequency: 1         
Term: them                           Term Frequency: 1         
Term: quality                        Term Frequency: 1         
Term: alytics                        Term Frequency: 1         
Term: includ                         Term Frequency: 1         
Term: 20                             Term Frequency: 1         
Term: thesession                     Term Frequency: 1         
Term: simi                           Term Frequency: 1         
Term: experiments                    Term Frequency: 1         
Term: acquisitionof                  Term Frequency: 1         
Term: 30                             Term Frequency: 1         
Term: conferences                    Term Frequency: 1         
Term: apart                          Term Frequency: 1         
Term: necessary                      Term Frequency: 1         
Term: many                           Term Frequency: 1         
Term: stay                           Term Frequency: 1         
Term: increasing                     Term Frequency: 1         
Term: 40                             Term Frequency: 1         
Term: tu                             Term Frequency: 1         
Term: 45                             Term Frequency: 1         
Term: joint                          Term Frequency: 1         
Term: details                        Term Frequency: 1         
Term: requiredto                     Term Frequency: 1         
Term: solve                          Term Frequency: 1         
Term: 60                             Term Frequency: 1         
Term: demonstrate                    Term Frequency: 1         
Term: student's                      Term Frequency: 1         
Term: necessitates                   Term Frequency: 1         
Term: basics                         Term Frequency: 1         
Term: recording                      Term Frequency: 1         
Term: paral                          Term Frequency: 1         
Term: previous                       Term Frequency: 1         
Term: behav                          Term Frequency: 1         
Term: artificial                     Term Frequency: 1         
Term: topostsecondary                Term Frequency: 1         
Term: software                       Term Frequency: 1         
Term: held                           Term Frequency: 1         
Term: during                         Term Frequency: 1         
Term: datatools                      Term Frequency: 1         
Term: revolution                     Term Frequency: 1         
Term: permissionand                  Term Frequency: 1         
Term: problem                        Term Frequency: 1         
Term: enable                         Term Frequency: 1         
Term: preliminary                    Term Frequency: 1         
Term: between                        Term Frequency: 1         
Term: attempts                       Term Frequency: 1         
Term: goal                           Term Frequency: 1         
Term: method                         Term Frequency: 1         
Term: veracity                       Term Frequency: 1         
Term: focusing                       Term Frequency: 1         
Term: cantransform                   Term Frequency: 1         
Term: howexploratory                 Term Frequency: 1         
Term: usingappropriate               Term Frequency: 1         
Term: estimatednumber                Term Frequency: 1         
Term: derive                         Term Frequency: 1         
Term: datasetsto                     Term Frequency: 1         
Term: installation                   Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: cient                          Term Frequency: 1         
Term: help                           Term Frequency: 1         
Term: elements                       Term Frequency: 1         
Term: first                          Term Frequency: 1         
Term: lytics                         Term Frequency: 1         
Term: notebook                       Term Frequency: 1         
Term: expecting                      Term Frequency: 1         
Term: development                    Term Frequency: 1         
Term: insights                       Term Frequency: 1         
Term: proposed                       Term Frequency: 1         
Term: willintroduce                  Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: covering                       Term Frequency: 1         
Term: scale                          Term Frequency: 1         
Term: network                        Term Frequency: 1         
Term: security                       Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: clickstreams                   Term Frequency: 1         
Term: provid                         Term Frequency: 1         
Term: cleaning                       Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: groups                         Term Frequency: 1         
Term: follow                         Term Frequency: 1         
Term: tutorialis                     Term Frequency: 1         
Term: corresponding                  Term Frequency: 1         
Term: distributedfor                 Term Frequency: 1         
Term: interdisciplinaryfield         Term Frequency: 1         
Term: fromMcGraw                     Term Frequency: 0         
Term: Massive                        Term Frequency: 0         
Term: Exploratory                    Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: Newcastle                      Term Frequency: 0         
Term: L                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: At                             Term Frequency: 0         
Term: Institute                      Term Frequency: 0         
Term: MOOCs                          Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: Center                         Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Education281                   Term Frequency: 0         
Term: thanACM                        Term Frequency: 0         
Term: Disrupting                     Term Frequency: 0         
Term: 1235CCS                        Term Frequency: 0         
Term: TutorialLalitha                Term Frequency: 0         
Term: State                          Term Frequency: 0         
Term: Ed                             Term Frequency: 0         
Term: GitHub                         Term Frequency: 0         
Term: iLearn                         Term Frequency: 0         
Term: Harvard                        Term Frequency: 0         
Term: ORGANIZERS                     Term Frequency: 0         
Term: Topics                         Term Frequency: 0         
Term: Minnesota                      Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: Asubset                        Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: Associate                      Term Frequency: 0         
Term: Commerce                       Term Frequency: 0         
Term: Bokeh                          Term Frequency: 0         
Term: He                             Term Frequency: 0         
Term: DOI                            Term Frequency: 0         
Term: outcomes.Shirin                Term Frequency: 0         
Term: records.The                    Term Frequency: 0         
Term: Student                        Term Frequency: 0         
Term: PhD                            Term Frequency: 0         
Term: Clayton                        Term Frequency: 0         
Term: Senior                         Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: Target                         Term Frequency: 0         
Term: Lalitha                        Term Frequency: 0         
Term: LAK's                          Term Frequency: 0         
Term: Predictive                     Term Frequency: 0         
Term: Chancellorand                  Term Frequency: 0         
Term: Horn                           Term Frequency: 0         
Term: Motivation                     Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: Introduction                   Term Frequency: 0         
Term: Understand                     Term Frequency: 0         
Term: USlalitha.agnihotri            Term Frequency: 0         
Term: Ph.D                           Term Frequency: 0         
Term: Format                         Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: platforms.This                 Term Frequency: 0         
Term: products.This                  Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: models.While                   Term Frequency: 0         
Term: Strategy                       Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: mheducation.comABSTRACTEnormous Term Frequency: 0         
Term: MIT                            Term Frequency: 0         
Term: Ridge                          Term Frequency: 0         
Term: Group                          Term Frequency: 0         
Term: Hill                           Term Frequency: 0         
Term: Bank                           Term Frequency: 0         
Term: ElectricalEngineering          Term Frequency: 0         
Term: Open                           Term Frequency: 0         
Term: Re                             Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: IBM                            Term Frequency: 0         
Term: Agnihotri                      Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: Learn                          Term Frequency: 0         
Term: MapReduce                      Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: mheducation.comAlfred          Term Frequency: 0         
Term: Innosight                      Term Frequency: 0         
Term: mheducation.comNicholas        Term Frequency: 0         
Term: USshirin.mojarad               Term Frequency: 0         
Term: Weka's                         Term Frequency: 0         
Term: Modeling                       Term Frequency: 0         
Term: System                         Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: Participantscan                Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: ColumbiaUniversity             Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: Christensen                    Term Frequency: 0         
Term: Astrophysics                   Term Frequency: 0         
Term: Conference                     Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: AGENDAThe                      Term Frequency: 0         
Term: Degree                         Term Frequency: 0         
Term: Euro                           Term Frequency: 0         
Term: EssaMcGraw                     Term Frequency: 0         
Term: Connecticut                    Term Frequency: 0         
Term: BIOGRAPHYLalitha               Term Frequency: 0         
Term: Principal                      Term Frequency: 0         
Term: EDA                            Term Frequency: 0         
Term: EDM                            Term Frequency: 0         
Term: Technology                     Term Frequency: 0         
Term: Python                         Term Frequency: 0         
Term: Lewkow                         Term Frequency: 0         
Term: learning.Alfred                Term Frequency: 0         
Term: Scientist                      Term Frequency: 0         
Term: Essa                           Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: Colleges                       Term Frequency: 0         
Term: Applying                       Term Frequency: 0         
Term: Objectives                     Term Frequency: 0         
Term: Laboratory                     Term Frequency: 0         
Term: Success                        Term Frequency: 0         
Term: National                       Term Frequency: 0         
Term: Communications                 Term Frequency: 0         
Term: Apache                         Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: CanadianImperial               Term Frequency: 0         
Term: How                            Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: analyzed.Educational           Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: SloanSchool                    Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: USalfred.essa                  Term Frequency: 0         
Term: She                            Term Frequency: 0         
Term: MojaradMcGraw                  Term Frequency: 0         
Term: CIO                            Term Frequency: 0         
Term: ThePython                      Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: Oak                            Term Frequency: 0         
Term: Universitieswhere              Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Abstracting                    Term Frequency: 0         
Term: Mathematics                    Term Frequency: 0         
Term: AgnihotriMcGraw                Term Frequency: 0         
Term: Biography                      Term Frequency: 0         
Term: Agenda                         Term Frequency: 0         
Term: Although                       Term Frequency: 0         
Term: Weka                           Term Frequency: 0         
Term: U.K                            Term Frequency: 0         
Term: Caldera                        Term Frequency: 0         
Term: Mining                         Term Frequency: 0         
Term: President                      Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: mheducation.comShirin          Term Frequency: 0         
Term: Director                       Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: AHands                         Term Frequency: 0         
Term: MIT's                          Term Frequency: 0         
Term: Advanced                       Term Frequency: 0         
Term: GROUPThe                       Term Frequency: 0         
Term: Educational                    Term Frequency: 0         
Term: ECTEL                          Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: ExcellenceAward                Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: Desire2Learn                   Term Frequency: 0         
Term: Nicholas                       Term Frequency: 0         
Term: Information                    Term Frequency: 0         
Term: McGraw                         Term Frequency: 0         
Term: Due                            Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: analysis.This                  Term Frequency: 0         
Term: Previously                     Term Frequency: 0         
Term: LewkowMcGraw                   Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: Keywordseducational            Term Frequency: 0         
Term: Concepts                       Term Frequency: 0         
Term: Enhanced                       Term Frequency: 0         
Term: programminglanguage.According  Term Frequency: 0         
Term: MOTIVATIONA                    Term Frequency: 0         
Term: Mojarad                        Term Frequency: 0         
Term: Additionally                   Term Frequency: 0         
Term: Vice                           Term Frequency: 0         
Term: Spark                          Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: TARGET                         Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: FORMATEach                     Term Frequency: 0         
Term: Deputy                         Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Specifically                   Term Frequency: 0         
Term: Smithsonian                    Term Frequency: 0         
Term: OBJECTIVESGiven                Term Frequency: 0         
Term: ISBN                           Term Frequency: 0         
Term: StreetBoston                   Term Frequency: 0         
Term: Request                        Term Frequency: 0         
Term: Organizers                     Term Frequency: 0         
Term: Soares                         Term Frequency: 0         
Term: Our                            Term Frequency: 0         
Term: Compass                        Term Frequency: 0         
Term: CIBC                           Term Frequency: 0         
Term: language.Permission            Term Frequency: 0         
Term: Large                          Term Frequency: 0         
Term: Computing                      Term Frequency: 0         
Term: Massachusetts                  Term Frequency: 0         
Term: SignalProcessing               Term Frequency: 0         
Term: Model                          Term Frequency: 0         
Term: Online                         Term Frequency: 0         
Term: Shehas                         Term Frequency: 0         
Term: USnicholas.lewkow              Term Frequency: 0         
Term: Most                           Term Frequency: 0         
Term: Summer                         Term Frequency: 0         
Term: Shirin                         Term Frequency: 0         
Term: Investigator                   Term Frequency: 0         
Term: IPython                        Term Frequency: 0         
Term: M.Sc                           Term Frequency: 0         
Term: Edu                            Term Frequency: 0         
Term: Science                        Term Frequency: 0         
Term: Courses                        Term Frequency: 0         
Term: andretention.Since             Term Frequency: 0         
Term: USgovernment                   Term Frequency: 0         
Term: Source                         Term Frequency: 0         
Term: networks.Nicholas              Term Frequency: 0         
Term: will                           Term Frequency: 0         
Term: Management                     Term Frequency: 0         
