Term: posts                          Term Frequency: 142       
Term: massive                        Term Frequency: 6         
Term: ways                           Term Frequency: 6         
Term: small                          Term Frequency: 6         
Term: reply                          Term Frequency: 6         
Term: decisions                      Term Frequency: 6         
Term: technology                     Term Frequency: 6         
Term: computing                      Term Frequency: 6         
Term: limited                        Term Frequency: 6         
Term: making                         Term Frequency: 6         
Term: stopwords                      Term Frequency: 6         
Term: each                           Term Frequency: 6         
Term: dataset                        Term Frequency: 6         
Term: initial                        Term Frequency: 6         
Term: distinguishing                 Term Frequency: 6         
Term: what                           Term Frequency: 6         
Term: efforts                        Term Frequency: 6         
Term: even                           Term Frequency: 6         
Term: general                        Term Frequency: 6         
Term: process                        Term Frequency: 6         
Term: future                         Term Frequency: 6         
Term: ask                            Term Frequency: 6         
Term: interactions                   Term Frequency: 6         
Term: practical                      Term Frequency: 6         
Term: recommendation                 Term Frequency: 6         
Term: large                          Term Frequency: 6         
Term: b                              Term Frequency: 5         
Term: p                              Term Frequency: 5         
Term: y                              Term Frequency: 5         
Term: multiple                       Term Frequency: 5         
Term: pronouns                       Term Frequency: 5         
Term: concern                        Term Frequency: 5         
Term: two                            Term Frequency: 5         
Term: areas                          Term Frequency: 5         
Term: researchers                    Term Frequency: 5         
Term: 0.61                           Term Frequency: 5         
Term: make                           Term Frequency: 5         
Term: 16                             Term Frequency: 5         
Term: 10.1145                        Term Frequency: 5         
Term: mining                         Term Frequency: 5         
Term: generated                      Term Frequency: 5         
Term: strategy                       Term Frequency: 5         
Term: systems                        Term Frequency: 5         
Term: previous                       Term Frequency: 5         
Term: purpose                        Term Frequency: 5         
Term: considered                     Term Frequency: 5         
Term: chaos                          Term Frequency: 5         
Term: problems                       Term Frequency: 5         
Term: indicators                     Term Frequency: 5         
Term: testing                        Term Frequency: 5         
Term: workload                       Term Frequency: 5         
Term: helpful                        Term Frequency: 5         
Term: majority                       Term Frequency: 5         
Term: errors                         Term Frequency: 5         
Term: total                          Term Frequency: 5         
Term: available                      Term Frequency: 5         
Term: well                           Term Frequency: 5         
Term: situation                      Term Frequency: 5         
Term: interests                      Term Frequency: 5         
Term: human                          Term Frequency: 5         
Term: messages                       Term Frequency: 5         
Term: received                       Term Frequency: 5         
Term: reporting                      Term Frequency: 5         
Term: very                           Term Frequency: 5         
Term: generally                      Term Frequency: 5         
Term: incorrectly                    Term Frequency: 5         
Term: development                    Term Frequency: 5         
Term: independent                    Term Frequency: 5         
Term: external                       Term Frequency: 5         
Term: peer                           Term Frequency: 5         
Term: asking                         Term Frequency: 5         
Term: identified                     Term Frequency: 5         
Term: classify                       Term Frequency: 5         
Term: videos                         Term Frequency: 5         
Term: knowledge                      Term Frequency: 5         
Term: perspective                    Term Frequency: 5         
Term: building                       Term Frequency: 5         
Term: where                          Term Frequency: 5         
Term: extracted                      Term Frequency: 5         
Term: tasks                          Term Frequency: 5         
Term: sub                            Term Frequency: 5         
Term: higher                         Term Frequency: 5         
Term: e                              Term Frequency: 4         
Term: g                              Term Frequency: 4         
Term: analytics                      Term Frequency: 4         
Term: effective                      Term Frequency: 4         
Term: comments                       Term Frequency: 4         
Term: reported                       Term Frequency: 4         
Term: concerns                       Term Frequency: 4         
Term: text                           Term Frequency: 4         
Term: 0.84                           Term Frequency: 4         
Term: 0.79                           Term Frequency: 4         
Term: 0.90                           Term Frequency: 4         
Term: 11                             Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: 23                             Term Frequency: 4         
Term: 1st                            Term Frequency: 4         
Term: 47                             Term Frequency: 4         
Term: 79                             Term Frequency: 4         
Term: community                      Term Frequency: 4         
Term: often                          Term Frequency: 4         
Term: another                        Term Frequency: 4         
Term: effectively                    Term Frequency: 4         
Term: way                            Term Frequency: 4         
Term: differences                    Term Frequency: 4         
Term: who                            Term Frequency: 4         
Term: attention                      Term Frequency: 4         
Term: predictive                     Term Frequency: 4         
Term: context                        Term Frequency: 4         
Term: aimed                          Term Frequency: 4         
Term: literature                     Term Frequency: 4         
Term: tools                          Term Frequency: 4         
Term: power                          Term Frequency: 4         
Term: challenges                     Term Frequency: 4         
Term: scale                          Term Frequency: 4         
Term: discussed                      Term Frequency: 4         
Term: opportunities                  Term Frequency: 4         
Term: basic                          Term Frequency: 4         
Term: automatic                      Term Frequency: 4         
Term: difference                     Term Frequency: 4         
Term: effort                         Term Frequency: 4         
Term: sorting                        Term Frequency: 4         
Term: before                         Term Frequency: 4         
Term: confusion                      Term Frequency: 4         
Term: although                       Term Frequency: 4         
Term: homework                       Term Frequency: 4         
Term: according                      Term Frequency: 4         
Term: quantity                       Term Frequency: 4         
Term: providing                      Term Frequency: 4         
Term: removed                        Term Frequency: 4         
Term: categorization                 Term Frequency: 4         
Term: developed                      Term Frequency: 4         
Term: high                           Term Frequency: 4         
Term: cross                          Term Frequency: 4         
Term: statistical                    Term Frequency: 4         
Term: others                         Term Frequency: 4         
Term: 8th                            Term Frequency: 4         
Term: applied                        Term Frequency: 4         
Term: less                           Term Frequency: 4         
Term: condition                      Term Frequency: 4         
Term: improve                        Term Frequency: 4         
Term: does                           Term Frequency: 4         
Term: low                            Term Frequency: 4         
Term: appreciation                   Term Frequency: 4         
Term: ideas                          Term Frequency: 4         
Term: diversified                    Term Frequency: 4         
Term: consistently                   Term Frequency: 4         
Term: reliably                       Term Frequency: 4         
Term: because                        Term Frequency: 4         
Term: segment                        Term Frequency: 4         
Term: contained                      Term Frequency: 4         
Term: uses                           Term Frequency: 4         
Term: variety                        Term Frequency: 4         
Term: assist                         Term Frequency: 4         
Term: cases                          Term Frequency: 4         
Term: cost                           Term Frequency: 4         
Term: live                           Term Frequency: 4         
Term: group                          Term Frequency: 4         
Term: some                           Term Frequency: 4         
Term: introductory                   Term Frequency: 4         
Term: classified                     Term Frequency: 4         
Term: task                           Term Frequency: 4         
Term: since                          Term Frequency: 4         
Term: again                          Term Frequency: 4         
Term: network                        Term Frequency: 4         
Term: currently                      Term Frequency: 4         
Term: navigate                       Term Frequency: 4         
Term: exam                           Term Frequency: 4         
Term: targeted                       Term Frequency: 4         
Term: conducted                      Term Frequency: 4         
Term: instructional                  Term Frequency: 4         
Term: current                        Term Frequency: 4         
Term: review                         Term Frequency: 4         
Term: goal                           Term Frequency: 4         
Term: distinct                       Term Frequency: 4         
Term: postings                       Term Frequency: 3         
Term: order                          Term Frequency: 3         
Term: 250                            Term Frequency: 3         
Term: actual                         Term Frequency: 3         
Term: surprising                     Term Frequency: 3         
Term: stark                          Term Frequency: 3         
Term: logistics                      Term Frequency: 3         
Term: build                          Term Frequency: 3         
Term: further                        Term Frequency: 3         
Term: connectors                     Term Frequency: 3         
Term: complicated                    Term Frequency: 3         
Term: remained                       Term Frequency: 3         
Term: final                          Term Frequency: 3         
Term: training                       Term Frequency: 3         
Term: 0.63                           Term Frequency: 3         
Term: 0.60                           Term Frequency: 3         
Term: 0.77                           Term Frequency: 3         
Term: 0.78                           Term Frequency: 3         
Term: 0.75                           Term Frequency: 3         
Term: 0.76                           Term Frequency: 3         
Term: 304                            Term Frequency: 3         
Term: liked                          Term Frequency: 3         
Term: 10                             Term Frequency: 3         
Term: 17                             Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: benefit                        Term Frequency: 3         
Term: 20                             Term Frequency: 3         
Term: 21                             Term Frequency: 3         
Term: 22                             Term Frequency: 3         
Term: 24                             Term Frequency: 3         
Term: 31                             Term Frequency: 3         
Term: 32                             Term Frequency: 3         
Term: 33                             Term Frequency: 3         
Term: numbers                        Term Frequency: 3         
Term: 397                            Term Frequency: 3         
Term: themselves                     Term Frequency: 3         
Term: step                           Term Frequency: 3         
Term: logistical                     Term Frequency: 3         
Term: 99                             Term Frequency: 3         
Term: existence                      Term Frequency: 3         
Term: usefulness                     Term Frequency: 3         
Term: asked                          Term Frequency: 3         
Term: share                          Term Frequency: 3         
Term: 2nd                            Term Frequency: 3         
Term: might                          Term Frequency: 3         
Term: next                           Term Frequency: 3         
Term: logistic                       Term Frequency: 3         
Term: theoretically                  Term Frequency: 3         
Term: why                            Term Frequency: 3         
Term: easily                         Term Frequency: 3         
Term: contrast                       Term Frequency: 3         
Term: 3rd                            Term Frequency: 3         
Term: lecture                        Term Frequency: 3         
Term: so                             Term Frequency: 3         
Term: beyond                         Term Frequency: 3         
Term: addressed                      Term Frequency: 3         
Term: here                           Term Frequency: 3         
Term: asynchronous                   Term Frequency: 3         
Term: factors                        Term Frequency: 3         
Term: replies                        Term Frequency: 3         
Term: area                           Term Frequency: 3         
Term: success                        Term Frequency: 3         
Term: automated                      Term Frequency: 3         
Term: video                          Term Frequency: 3         
Term: consistent                     Term Frequency: 3         
Term: manually                       Term Frequency: 3         
Term: misplaced                      Term Frequency: 3         
Term: generality                     Term Frequency: 3         
Term: action                         Term Frequency: 3         
Term: 778                            Term Frequency: 3         
Term: 782                            Term Frequency: 3         
Term: solution                       Term Frequency: 3         
Term: 102nd                          Term Frequency: 3         
Term: manual                         Term Frequency: 3         
Term: 837                            Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: 10.1016                        Term Frequency: 3         
Term: show                           Term Frequency: 3         
Term: largely                        Term Frequency: 3         
Term: influence                      Term Frequency: 3         
Term: complex                        Term Frequency: 3         
Term: offered                        Term Frequency: 3         
Term: indicate                       Term Frequency: 3         
Term: contain                        Term Frequency: 3         
Term: subset                         Term Frequency: 3         
Term: intervene                      Term Frequency: 3         
Term: contexts                       Term Frequency: 3         
Term: following                      Term Frequency: 3         
Term: sfu.ca                         Term Frequency: 3         
Term: should                         Term Frequency: 3         
Term: studies                        Term Frequency: 3         
Term: versus                         Term Frequency: 3         
Term: respectively                   Term Frequency: 3         
Term: importantly                    Term Frequency: 3         
Term: titles                         Term Frequency: 3         
Term: equal                          Term Frequency: 3         
Term: computer                       Term Frequency: 3         
Term: assigned                       Term Frequency: 3         
Term: involve                        Term Frequency: 3         
Term: adding                         Term Frequency: 3         
Term: rather                         Term Frequency: 3         
Term: recommends                     Term Frequency: 3         
Term: sense                          Term Frequency: 3         
Term: lists                          Term Frequency: 3         
Term: middle                         Term Frequency: 3         
Term: though                         Term Frequency: 3         
Term: appear                         Term Frequency: 3         
Term: associated                     Term Frequency: 3         
Term: personalized                   Term Frequency: 3         
Term: include                        Term Frequency: 3         
Term: leading                        Term Frequency: 3         
Term: materials                      Term Frequency: 3         
Term: relevance                      Term Frequency: 3         
Term: indicates                      Term Frequency: 3         
Term: domains                        Term Frequency: 3         
Term: give                           Term Frequency: 3         
Term: levels                         Term Frequency: 3         
Term: effects                        Term Frequency: 3         
Term: designed                       Term Frequency: 3         
Term: teachers                       Term Frequency: 3         
Term: straightforward                Term Frequency: 3         
Term: issue                          Term Frequency: 3         
Term: exploring                      Term Frequency: 3         
Term: chosen                         Term Frequency: 3         
Term: problem                        Term Frequency: 3         
Term: 8046                           Term Frequency: 3         
Term: datasets                       Term Frequency: 3         
Term: indicative                     Term Frequency: 3         
Term: methods                        Term Frequency: 3         
Term: organized                      Term Frequency: 3         
Term: talk                           Term Frequency: 3         
Term: 2012                           Term Frequency: 3         
Term: just                           Term Frequency: 3         
Term: existing                       Term Frequency: 3         
Term: machine                        Term Frequency: 3         
Term: prominent                      Term Frequency: 3         
Term: desirable                      Term Frequency: 3         
Term: during                         Term Frequency: 3         
Term: interventions                  Term Frequency: 3         
Term: scope                          Term Frequency: 3         
Term: engagement                     Term Frequency: 3         
Term: 13450                          Term Frequency: 3         
Term: benefits                       Term Frequency: 3         
Term: percentage                     Term Frequency: 3         
Term: simply                         Term Frequency: 3         
Term: see                            Term Frequency: 3         
Term: completion                     Term Frequency: 3         
Term: over                           Term Frequency: 3         
Term: subsets                        Term Frequency: 3         
Term: responses                      Term Frequency: 3         
Term: quizzes                        Term Frequency: 3         
Term: tag                            Term Frequency: 3         
Term: half                           Term Frequency: 2         
Term: result                         Term Frequency: 2         
Term: x                              Term Frequency: 2         
Term: hard                           Term Frequency: 2         
Term: intellectual                   Term Frequency: 2         
Term: academic                       Term Frequency: 2         
Term: including                      Term Frequency: 2         
Term: times                          Term Frequency: 2         
Term: defined                        Term Frequency: 2         
Term: creation                       Term Frequency: 2         
Term: team                           Term Frequency: 2         
Term: clips                          Term Frequency: 2         
Term: 298                            Term Frequency: 2         
Term: hours                          Term Frequency: 2         
Term: randomly                       Term Frequency: 2         
Term: created                        Term Frequency: 2         
Term: creates                        Term Frequency: 2         
Term: critical                       Term Frequency: 2         
Term: retrieval                      Term Frequency: 2         
Term: influential                    Term Frequency: 2         
Term: states                         Term Frequency: 2         
Term: overwhelming                   Term Frequency: 2         
Term: 0.46                           Term Frequency: 2         
Term: framing                        Term Frequency: 2         
Term: 0.62                           Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: 0.85                           Term Frequency: 2         
Term: 310                            Term Frequency: 2         
Term: categorize                     Term Frequency: 2         
Term: 10.1109                        Term Frequency: 2         
Term: inform                         Term Frequency: 2         
Term: 19                             Term Frequency: 2         
Term: examine                        Term Frequency: 2         
Term: 28                             Term Frequency: 2         
Term: long                           Term Frequency: 2         
Term: 34                             Term Frequency: 2         
Term: seven                          Term Frequency: 2         
Term: 54                             Term Frequency: 2         
Term: invited                        Term Frequency: 2         
Term: look                           Term Frequency: 2         
Term: 77                             Term Frequency: 2         
Term: 80                             Term Frequency: 2         
Term: 82                             Term Frequency: 2         
Term: 84                             Term Frequency: 2         
Term: 85                             Term Frequency: 2         
Term: math                           Term Frequency: 2         
Term: foundation                     Term Frequency: 2         
Term: sufficiently                   Term Frequency: 2         
Term: appropriate                    Term Frequency: 2         
Term: subsequently                   Term Frequency: 2         
Term: environment                    Term Frequency: 2         
Term: achieved                       Term Frequency: 2         
Term: narrow                         Term Frequency: 2         
Term: forms                          Term Frequency: 2         
Term: structures                     Term Frequency: 2         
Term: developing                     Term Frequency: 2         
Term: supporting                     Term Frequency: 2         
Term: browse                         Term Frequency: 2         
Term: explore                        Term Frequency: 2         
Term: distinction                    Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: section                        Term Frequency: 2         
Term: effect                         Term Frequency: 2         
Term: evaluated                      Term Frequency: 2         
Term: popularity                     Term Frequency: 2         
Term: rate                           Term Frequency: 2         
Term: go                             Term Frequency: 2         
Term: form                           Term Frequency: 2         
Term: id                             Term Frequency: 2         
Term: https                          Term Frequency: 2         
Term: predicting                     Term Frequency: 2         
Term: sufficient                     Term Frequency: 2         
Term: limit                          Term Frequency: 2         
Term: communication                  Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: substantively                  Term Frequency: 2         
Term: student                        Term Frequency: 2         
Term: easier                         Term Frequency: 2         
Term: concepts                       Term Frequency: 2         
Term: seek                           Term Frequency: 2         
Term: seen                           Term Frequency: 2         
Term: analyzes                       Term Frequency: 2         
Term: decision                       Term Frequency: 2         
Term: reasonably                     Term Frequency: 2         
Term: examination                    Term Frequency: 2         
Term: reading                        Term Frequency: 2         
Term: readings                       Term Frequency: 2         
Term: combinations                   Term Frequency: 2         
Term: get                            Term Frequency: 2         
Term: addresses                      Term Frequency: 2         
Term: create                         Term Frequency: 2         
Term: without                        Term Frequency: 2         
Term: educators                      Term Frequency: 2         
Term: weekly                         Term Frequency: 2         
Term: novel                          Term Frequency: 2         
Term: lack                           Term Frequency: 2         
Term: classroom                      Term Frequency: 2         
Term: underlying                     Term Frequency: 2         
Term: categorized                    Term Frequency: 2         
Term: framework                      Term Frequency: 2         
Term: almost                         Term Frequency: 2         
Term: must                           Term Frequency: 2         
Term: early                          Term Frequency: 2         
Term: yet                            Term Frequency: 2         
Term: efficient                      Term Frequency: 2         
Term: mean                           Term Frequency: 2         
Term: limitations                    Term Frequency: 2         
Term: answer                         Term Frequency: 2         
Term: prerequisite                   Term Frequency: 2         
Term: regression                     Term Frequency: 2         
Term: generalize                     Term Frequency: 2         
Term: defining                       Term Frequency: 2         
Term: diverge                        Term Frequency: 2         
Term: difficult                      Term Frequency: 2         
Term: opinions                       Term Frequency: 2         
Term: reflect                        Term Frequency: 2         
Term: temporal                       Term Frequency: 2         
Term: methodologies                  Term Frequency: 2         
Term: fact                           Term Frequency: 2         
Term: intervening                    Term Frequency: 2         
Term: actually                       Term Frequency: 2         
Term: finding                        Term Frequency: 2         
Term: detect                         Term Frequency: 2         
Term: characteristics                Term Frequency: 2         
Term: comment                        Term Frequency: 2         
Term: criterion                      Term Frequency: 2         
Term: weeks                          Term Frequency: 2         
Term: respect                        Term Frequency: 2         
Term: read                           Term Frequency: 2         
Term: real                           Term Frequency: 2         
Term: unit                           Term Frequency: 2         
Term: productive                     Term Frequency: 2         
Term: containing                     Term Frequency: 2         
Term: completed                      Term Frequency: 2         
Term: 10.1007                        Term Frequency: 2         
Term: worth                          Term Frequency: 2         
Term: distance                       Term Frequency: 2         
Term: estimated                      Term Frequency: 2         
Term: questionable                   Term Frequency: 2         
Term: coders                         Term Frequency: 2         
Term: equivalent                     Term Frequency: 2         
Term: difficulties                   Term Frequency: 2         
Term: performs                       Term Frequency: 2         
Term: helps                          Term Frequency: 2         
Term: 978                            Term Frequency: 2         
Term: sentence                       Term Frequency: 2         
Term: composed                       Term Frequency: 2         
Term: report                         Term Frequency: 2         
Term: directly                       Term Frequency: 2         
Term: focused                        Term Frequency: 2         
Term: acknowledge                    Term Frequency: 2         
Term: vary                           Term Frequency: 2         
Term: raises                         Term Frequency: 2         
Term: key                            Term Frequency: 2         
Term: situations                     Term Frequency: 2         
Term: vast                           Term Frequency: 2         
Term: degree                         Term Frequency: 2         
Term: place                          Term Frequency: 2         
Term: lead                           Term Frequency: 2         
Term: person                         Term Frequency: 2         
Term: notable                        Term Frequency: 2         
Term: thank                          Term Frequency: 2         
Term: binary                         Term Frequency: 2         
Term: matter                         Term Frequency: 2         
Term: function                       Term Frequency: 2         
Term: institutions                   Term Frequency: 2         
Term: maximally                      Term Frequency: 2         
Term: responsiveness                 Term Frequency: 2         
Term: source                         Term Frequency: 2         
Term: bias                           Term Frequency: 2         
Term: involved                       Term Frequency: 2         
Term: overall                        Term Frequency: 2         
Term: primary                        Term Frequency: 2         
Term: means                          Term Frequency: 2         
Term: perceived                      Term Frequency: 2         
Term: down                           Term Frequency: 2         
Term: varied                         Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: structure                      Term Frequency: 2         
Term: goals                          Term Frequency: 2         
Term: substantial                    Term Frequency: 2         
Term: solutions                      Term Frequency: 2         
Term: allow                          Term Frequency: 2         
Term: overlooks                      Term Frequency: 2         
Term: selection                      Term Frequency: 2         
Term: incorporated                   Term Frequency: 2         
Term: thousands                      Term Frequency: 2         
Term: pronoun                        Term Frequency: 2         
Term: automatically                  Term Frequency: 2         
Term: promising                      Term Frequency: 2         
Term: probability                    Term Frequency: 2         
Term: pertaining                     Term Frequency: 2         
Term: alone                          Term Frequency: 2         
Term: investigated                   Term Frequency: 2         
Term: class                          Term Frequency: 2         
Term: practice                       Term Frequency: 2         
Term: lower                          Term Frequency: 2         
Term: resulting                      Term Frequency: 2         
Term: traditional                    Term Frequency: 2         
Term: code                           Term Frequency: 2         
Term: breaking                       Term Frequency: 2         
Term: cognitive                      Term Frequency: 2         
Term: activity                       Term Frequency: 2         
Term: proportions                    Term Frequency: 2         
Term: software                       Term Frequency: 2         
Term: presence                       Term Frequency: 2         
Term: like                           Term Frequency: 2         
Term: resource                       Term Frequency: 2         
Term: line                           Term Frequency: 2         
Term: challenge                      Term Frequency: 2         
Term: your                           Term Frequency: 2         
Term: begins                         Term Frequency: 2         
Term: calculate                      Term Frequency: 2         
Term: optional                       Term Frequency: 2         
Term: apparent                       Term Frequency: 2         
Term: concluded                      Term Frequency: 2         
Term: interface                      Term Frequency: 2         
Term: assumed                        Term Frequency: 2         
Term: kinds                          Term Frequency: 2         
Term: indicating                     Term Frequency: 2         
Term: locate                         Term Frequency: 2         
Term: meeting                        Term Frequency: 2         
Term: reality                        Term Frequency: 2         
Term: giving                         Term Frequency: 2         
Term: detects                        Term Frequency: 2         
Term: extraction                     Term Frequency: 2         
Term: foster                         Term Frequency: 2         
Term: clear                          Term Frequency: 2         
Term: train                          Term Frequency: 2         
