Term: social                         Term Frequency: 69        
Term: which                          Term Frequency: 7         
Term: lower                          Term Frequency: 7         
Term: node                           Term Frequency: 7         
Term: support                        Term Frequency: 7         
Term: closeness                      Term Frequency: 7         
Term: automated                      Term Frequency: 7         
Term: given                          Term Frequency: 7         
Term: distributed                    Term Frequency: 7         
Term: also                           Term Frequency: 7         
Term: level                          Term Frequency: 7         
Term: mediated                       Term Frequency: 7         
Term: blogs                          Term Frequency: 6         
Term: well                           Term Frequency: 6         
Term: three                          Term Frequency: 6         
Term: created                        Term Frequency: 6         
Term: ideas                          Term Frequency: 6         
Term: properties                     Term Frequency: 6         
Term: 10                             Term Frequency: 6         
Term: 11                             Term Frequency: 6         
Term: graesser                       Term Frequency: 6         
Term: skills                         Term Frequency: 6         
Term: students                       Term Frequency: 6         
Term: fit                            Term Frequency: 6         
Term: content                        Term Frequency: 6         
Term: than                           Term Frequency: 6         
Term: connected                      Term Frequency: 6         
Term: had                            Term Frequency: 6         
Term: 2011                           Term Frequency: 6         
Term: nodes                          Term Frequency: 6         
Term: 2013                           Term Frequency: 6         
Term: characteristics                Term Frequency: 6         
Term: 001                            Term Frequency: 6         
Term: individuals                    Term Frequency: 6         
Term: connectivist                   Term Frequency: 6         
Term: influence                      Term Frequency: 6         
Term: connections                    Term Frequency: 6         
Term: deep                           Term Frequency: 6         
Term: week                           Term Frequency: 6         
Term: 4                              Term Frequency: 5         
Term: order                          Term Frequency: 5         
Term: academic                       Term Frequency: 5         
Term: measures                       Term Frequency: 5         
Term: provide                        Term Frequency: 5         
Term: computer                       Term Frequency: 5         
Term: 0.03                           Term Frequency: 5         
Term: test                           Term Frequency: 5         
Term: null                           Term Frequency: 5         
Term: 12                             Term Frequency: 5         
Term: 15                             Term Frequency: 5         
Term: 22                             Term Frequency: 5         
Term: variables                      Term Frequency: 5         
Term: across                         Term Frequency: 5         
Term: environment                    Term Frequency: 5         
Term: networked                      Term Frequency: 5         
Term: extent                         Term Frequency: 5         
Term: relationships                  Term Frequency: 5         
Term: student                        Term Frequency: 5         
Term: massive                        Term Frequency: 5         
Term: blog                           Term Frequency: 5         
Term: development                    Term Frequency: 5         
Term: methods                        Term Frequency: 5         
Term: knowledge                      Term Frequency: 5         
Term: able                           Term Frequency: 5         
Term: processes                      Term Frequency: 5         
Term: paper                          Term Frequency: 5         
Term: those                          Term Frequency: 5         
Term: significant                    Term Frequency: 5         
Term: most                           Term Frequency: 5         
Term: words                          Term Frequency: 5         
Term: scores                         Term Frequency: 5         
Term: comprehension                  Term Frequency: 5         
Term: outcomes                       Term Frequency: 4         
Term: narrative                      Term Frequency: 4         
Term: 7                              Term Frequency: 4         
Term: 8                              Term Frequency: 4         
Term: 9                              Term Frequency: 4         
Term: statistical                    Term Frequency: 4         
Term: example                        Term Frequency: 4         
Term: same                           Term Frequency: 4         
Term: syntactic                      Term Frequency: 4         
Term: better                         Term Frequency: 4         
Term: findings                       Term Frequency: 4         
Term: platforms                      Term Frequency: 4         
Term: develop                        Term Frequency: 4         
Term: tend                           Term Frequency: 4         
Term: 0.01                           Term Frequency: 4         
Term: 0.04                           Term Frequency: 4         
Term: 0.02                           Term Frequency: 4         
Term: messages                       Term Frequency: 4         
Term: subject                        Term Frequency: 4         
Term: main                           Term Frequency: 4         
Term: 13                             Term Frequency: 4         
Term: components                     Term Frequency: 4         
Term: 33                             Term Frequency: 4         
Term: work                           Term Frequency: 4         
Term: theory                         Term Frequency: 4         
Term: via                            Term Frequency: 4         
Term: authors                        Term Frequency: 4         
Term: specific                       Term Frequency: 4         
Term: might                          Term Frequency: 4         
Term: sharing                        Term Frequency: 4         
Term: simplicity                     Term Frequency: 4         
Term: levels                         Term Frequency: 4         
Term: structural                     Term Frequency: 4         
Term: patterns                       Term Frequency: 4         
Term: digital                        Term Frequency: 4         
Term: deeper                         Term Frequency: 4         
Term: our                            Term Frequency: 4         
Term: facilitators                   Term Frequency: 4         
Term: edges                          Term Frequency: 4         
Term: approach                       Term Frequency: 4         
Term: peer                           Term Frequency: 4         
Term: environments                   Term Frequency: 4         
Term: has                            Term Frequency: 4         
Term: measure                        Term Frequency: 4         
Term: values                         Term Frequency: 4         
Term: how                            Term Frequency: 4         
Term: ratio                          Term Frequency: 4         
Term: established                    Term Frequency: 4         
Term: educational                    Term Frequency: 4         
Term: likelihood                     Term Frequency: 4         
Term: copies                         Term Frequency: 4         
Term: unit                           Term Frequency: 4         
Term: overlap                        Term Frequency: 4         
Term: simple                         Term Frequency: 4         
Term: complex                        Term Frequency: 4         
Term: indicate                       Term Frequency: 4         
Term: comprehensive                  Term Frequency: 4         
Term: different                      Term Frequency: 4         
Term: graphs                         Term Frequency: 4         
Term: following                      Term Frequency: 4         
Term: assess                         Term Frequency: 4         
Term: should                         Term Frequency: 4         
Term: 6                              Term Frequency: 3         
Term: v                              Term Frequency: 3         
Term: accumulated                    Term Frequency: 3         
Term: analytics                      Term Frequency: 3         
Term: tweet                          Term Frequency: 3         
Term: function                       Term Frequency: 3         
Term: comments                       Term Frequency: 3         
Term: defined                        Term Frequency: 3         
Term: does                           Term Frequency: 3         
Term: reported                       Term Frequency: 3         
Term: source                         Term Frequency: 3         
Term: participant                    Term Frequency: 3         
Term: concept                        Term Frequency: 3         
Term: low                            Term Frequency: 3         
Term: principal                      Term Frequency: 3         
Term: computational                  Term Frequency: 3         
Term: about                          Term Frequency: 3         
Term: 16                             Term Frequency: 3         
Term: 25                             Term Frequency: 3         
Term: 26                             Term Frequency: 3         
Term: association                    Term Frequency: 3         
Term: 35                             Term Frequency: 3         
Term: understanding                  Term Frequency: 3         
Term: often                          Term Frequency: 3         
Term: indicated                      Term Frequency: 3         
Term: pedagogy                       Term Frequency: 3         
Term: settings                       Term Frequency: 3         
Term: structured                     Term Frequency: 3         
Term: structures                     Term Frequency: 3         
Term: technological                  Term Frequency: 3         
Term: multilevel                     Term Frequency: 3         
Term: way                            Term Frequency: 3         
Term: what                           Term Frequency: 3         
Term: sentences                      Term Frequency: 3         
Term: variance                       Term Frequency: 3         
Term: various                        Term Frequency: 3         
Term: al                             Term Frequency: 3         
Term: et                             Term Frequency: 3         
Term: significantly                  Term Frequency: 3         
Term: investigate                    Term Frequency: 3         
Term: allows                         Term Frequency: 3         
Term: intelligent                    Term Frequency: 3         
Term: necessary                      Term Frequency: 3         
Term: one                            Term Frequency: 3         
Term: analyzed                       Term Frequency: 3         
Term: treated                        Term Frequency: 3         
Term: software                       Term Frequency: 3         
Term: beyond                         Term Frequency: 3         
Term: terms                          Term Frequency: 3         
Term: novel                          Term Frequency: 3         
Term: channel                        Term Frequency: 3         
Term: delivered                      Term Frequency: 3         
Term: whether                        Term Frequency: 3         
Term: concreteness                   Term Frequency: 3         
Term: discussion                     Term Frequency: 3         
Term: group                          Term Frequency: 3         
Term: 2009                           Term Frequency: 3         
Term: based                          Term Frequency: 3         
Term: nevertheless                   Term Frequency: 3         
Term: showed                         Term Frequency: 3         
Term: five                           Term Frequency: 3         
Term: discussions                    Term Frequency: 3         
Term: during                         Term Frequency: 3         
Term: value                          Term Frequency: 3         
Term: constructed                    Term Frequency: 3         
Term: resources                      Term Frequency: 3         
Term: performance                    Term Frequency: 3         
Term: building                       Term Frequency: 3         
Term: posted                         Term Frequency: 3         
Term: future                         Term Frequency: 3         
Term: any                            Term Frequency: 3         
Term: affordances                    Term Frequency: 3         
Term: increased                      Term Frequency: 3         
Term: show                           Term Frequency: 3         
Term: negative                       Term Frequency: 3         
Term: modeling                       Term Frequency: 3         
Term: case                           Term Frequency: 3         
Term: narrativity                    Term Frequency: 3         
Term: literacies                     Term Frequency: 3         
Term: package                        Term Frequency: 3         
Term: both                           Term Frequency: 3         
Term: important                      Term Frequency: 3         
Term: increase                       Term Frequency: 3         
Term: peers                          Term Frequency: 3         
Term: technology                     Term Frequency: 3         
Term: feedback                       Term Frequency: 3         
Term: potentially                    Term Frequency: 3         
Term: can                            Term Frequency: 3         
Term: studies                        Term Frequency: 3         
Term: interacting                    Term Frequency: 2         
Term: connect                        Term Frequency: 2         
Term: hand                           Term Frequency: 2         
Term: multiple                       Term Frequency: 2         
Term: syntax                         Term Frequency: 2         
Term: flow                           Term Frequency: 2         
Term: e.g                            Term Frequency: 2         
Term: communities                    Term Frequency: 2         
Term: creating                       Term Frequency: 2         
Term: cohesive                       Term Frequency: 2         
Term: languages                      Term Frequency: 2         
Term: overall                        Term Frequency: 2         
Term: measured                       Term Frequency: 2         
Term: premise                        Term Frequency: 2         
Term: interests                      Term Frequency: 2         
Term: igraph                         Term Frequency: 2         
Term: combination                    Term Frequency: 2         
Term: obtain                         Term Frequency: 2         
Term: fitting                        Term Frequency: 2         
Term: impact                         Term Frequency: 2         
Term: mentions                       Term Frequency: 2         
Term: influential                    Term Frequency: 2         
Term: under                          Term Frequency: 2         
Term: did                            Term Frequency: 2         
Term: tweets                         Term Frequency: 2         
Term: rather                         Term Frequency: 2         
Term: human                          Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: revealed                       Term Frequency: 2         
Term: whereas                        Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: semantic                       Term Frequency: 2         
Term: 05                             Term Frequency: 2         
Term: interpretations                Term Frequency: 2         
Term: 14                             Term Frequency: 2         
Term: 17                             Term Frequency: 2         
Term: 18                             Term Frequency: 2         
Term: quality                        Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: 21                             Term Frequency: 2         
Term: shared                         Term Frequency: 2         
Term: 23                             Term Frequency: 2         
Term: 24                             Term Frequency: 2         
Term: 27                             Term Frequency: 2         
Term: 28                             Term Frequency: 2         
Term: 29                             Term Frequency: 2         
Term: relationship                   Term Frequency: 2         
Term: 30                             Term Frequency: 2         
Term: 31                             Term Frequency: 2         
Term: 32                             Term Frequency: 2         
Term: 34                             Term Frequency: 2         
Term: 36                             Term Frequency: 2         
Term: associated                     Term Frequency: 2         
Term: coherently                     Term Frequency: 2         
Term: common                         Term Frequency: 2         
Term: themselves                     Term Frequency: 2         
Term: still                          Term Frequency: 2         
Term: among                          Term Frequency: 2         
Term: personalized                   Term Frequency: 2         
Term: include                        Term Frequency: 2         
Term: assessment                     Term Frequency: 2         
Term: useful                         Term Frequency: 2         
Term: rich                           Term Frequency: 2         
Term: called                         Term Frequency: 2         
Term: similar                        Term Frequency: 2         
Term: determinants                   Term Frequency: 2         
Term: acm.org                        Term Frequency: 2         
Term: indicates                      Term Frequency: 2         
Term: share                          Term Frequency: 2         
Term: links                          Term Frequency: 2         
Term: domains                        Term Frequency: 2         
Term: positions                      Term Frequency: 2         
Term: tool                           Term Frequency: 2         
Term: 0.008                          Term Frequency: 2         
Term: around                         Term Frequency: 2         
Term: maintain                       Term Frequency: 2         
Term: resulted                       Term Frequency: 2         
Term: effectively                    Term Frequency: 2         
Term: contextual                     Term Frequency: 2         
Term: when                           Term Frequency: 2         
Term: explicit                       Term Frequency: 2         
Term: determined                     Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: few                            Term Frequency: 2         
Term: produced                       Term Frequency: 2         
Term: analyzing                      Term Frequency: 2         
Term: consequently                   Term Frequency: 2         
Term: genre                          Term Frequency: 2         
Term: gaps                           Term Frequency: 2         
Term: practice                       Term Frequency: 2         
Term: four                           Term Frequency: 2         
Term: ability                        Term Frequency: 2         
Term: them                           Term Frequency: 2         
Term: cognitive                      Term Frequency: 2         
Term: obtained                       Term Frequency: 2         
Term: strengthening                  Term Frequency: 2         
Term: activity                       Term Frequency: 2         
Term: single                         Term Frequency: 2         
Term: up                             Term Frequency: 2         
Term: presence                       Term Frequency: 2         
Term: method                         Term Frequency: 2         
Term: insight                        Term Frequency: 2         
Term: tools                          Term Frequency: 2         
Term: elaborated                     Term Frequency: 2         
Term: topically                      Term Frequency: 2         
Term: concrete                       Term Frequency: 2         
Term: scale                          Term Frequency: 2         
Term: thus                           Term Frequency: 2         
Term: correlation                    Term Frequency: 2         
Term: weekly                         Term Frequency: 2         
Term: namely                         Term Frequency: 2         
Term: adopted                        Term Frequency: 2         
Term: lack                           Term Frequency: 2         
Term: occurring                      Term Frequency: 2         
Term: classroom                      Term Frequency: 2         
Term: measuring                      Term Frequency: 2         
Term: represents                     Term Frequency: 2         
Term: time                           Term Frequency: 2         
Term: applications                   Term Frequency: 2         
Term: identified                     Term Frequency: 2         
Term: unfolds                        Term Frequency: 2         
Term: slope                          Term Frequency: 2         
Term: evaluation                     Term Frequency: 2         
Term: diverse                        Term Frequency: 2         
Term: limitations                    Term Frequency: 2         
Term: active                         Term Frequency: 2         
Term: commonly                       Term Frequency: 2         
Term: count                          Term Frequency: 2         
Term: 2000                           Term Frequency: 2         
Term: take                           Term Frequency: 2         
Term: analytical                     Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: 2010                           Term Frequency: 2         
Term: 2006                           Term Frequency: 2         
Term: 2002                           Term Frequency: 2         
Term: existing                       Term Frequency: 2         
Term: 2015                           Term Frequency: 2         
Term: topics                         Term Frequency: 2         
Term: calculated                     Term Frequency: 2         
Term: position                       Term Frequency: 2         
Term: best                           Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: dependent                      Term Frequency: 2         
Term: abstract                       Term Frequency: 2         
Term: first                          Term Frequency: 2         
Term: 0.0004                         Term Frequency: 2         
Term: 0.0002                         Term Frequency: 2         
Term: fewer                          Term Frequency: 2         
Term: communicate                    Term Frequency: 2         
Term: its                            Term Frequency: 2         
Term: exchange                       Term Frequency: 2         
Term: variation                      Term Frequency: 2         
Term: testing                        Term Frequency: 2         
Term: tended                         Term Frequency: 2         
Term: conducted                      Term Frequency: 2         
Term: real                           Term Frequency: 2         
Term: goodness                       Term Frequency: 2         
Term: instructional                  Term Frequency: 2         
Term: benefits                       Term Frequency: 2         
Term: collected                      Term Frequency: 2         
Term: rely                           Term Frequency: 2         
Term: style                          Term Frequency: 2         
Term: participation                  Term Frequency: 2         
Term: investigation                  Term Frequency: 2         
Term: extracted                      Term Frequency: 2         
Term: treatments                     Term Frequency: 2         
Term: personal                       Term Frequency: 2         
Term: memphis.edu                    Term Frequency: 2         
Term: explained                      Term Frequency: 2         
Term: related                        Term Frequency: 2         
Term: over                           Term Frequency: 2         
Term: large                          Term Frequency: 2         
Term: surface                        Term Frequency: 2         
Term: attracted                      Term Frequency: 2         
Term: paragraph                      Term Frequency: 2         
Term: inquiry                        Term Frequency: 2         
Term: viewed                         Term Frequency: 2         
Term: lme4                           Term Frequency: 2         
Term: several                        Term Frequency: 2         
Term: high                           Term Frequency: 2         
Term: relevant                       Term Frequency: 2         
Term: nature                         Term Frequency: 2         
Term: control                        Term Frequency: 2         
Term: interpreted                    Term Frequency: 2         
Term: available                      Term Frequency: 2         
Term: written                        Term Frequency: 2         
Term: throughout                     Term Frequency: 2         
Term: frameworks                     Term Frequency: 2         
Term: review                         Term Frequency: 2         
Term: elements                       Term Frequency: 2         
Term: only                           Term Frequency: 2         
Term: informal                       Term Frequency: 2         
Term: owners                         Term Frequency: 1         
Term: notably                        Term Frequency: 1         
Term: size                           Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: result                         Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: address                        Term Frequency: 1         
Term: tie                            Term Frequency: 1         
Term: others                         Term Frequency: 1         
Term: applied                        Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: flows                          Term Frequency: 1         
Term: provides                       Term Frequency: 1         
Term: behavioral                     Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: 1506.5                         Term Frequency: 1         
Term: handling                       Term Frequency: 1         
Term: unisa.edu.au                   Term Frequency: 1         
Term: question                       Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: translated                     Term Frequency: 1         
Term: nested                         Term Frequency: 1         
Term: comparison                     Term Frequency: 1         
Term: less                           Term Frequency: 1         
Term: 2723576.2723604                Term Frequency: 1         
Term: effective                      Term Frequency: 1         
Term: teacher                        Term Frequency: 1         
Term: 215                            Term Frequency: 1         
Term: direction                      Term Frequency: 1         
Term: 223                            Term Frequency: 1         
Term: consequentially                Term Frequency: 1         
Term: authored                       Term Frequency: 1         
Term: defines                        Term Frequency: 1         
Term: 3.41                           Term Frequency: 1         
Term: 234                            Term Frequency: 1         
Term: 239                            Term Frequency: 1         
Term: 248                            Term Frequency: 1         
Term: 255                            Term Frequency: 1         
Term: situation                      Term Frequency: 1         
Term: formative                      Term Frequency: 1         
Term: suited                         Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: assume                         Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: course’s                       Term Frequency: 1         
Term: offerings                      Term Frequency: 1         
Term: enhance                        Term Frequency: 1         
Term: manage                         Term Frequency: 1         
Term: forums                         Term Frequency: 1         
Term: 1979                           Term Frequency: 1         
Term: sessions                       Term Frequency: 1         
Term: 3026.6                         Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: formation                      Term Frequency: 1         
Term: 1998                           Term Frequency: 1         
Term: 1996                           Term Frequency: 1         
Term: 1994                           Term Frequency: 1         
Term: means                          Term Frequency: 1         
Term: initial                        Term Frequency: 1         
Term: 13.33                          Term Frequency: 1         
Term: conceptual                     Term Frequency: 1         
Term: shown                          Term Frequency: 1         
Term: particular                     Term Frequency: 1         
Term: relied                         Term Frequency: 1         
Term: part                           Term Frequency: 1         
Term: constructs                     Term Frequency: 1         
Term: mutually                       Term Frequency: 1         
Term: pass                           Term Frequency: 1         
Term: whose                          Term Frequency: 1         
Term: domain                         Term Frequency: 1         
Term: average                        Term Frequency: 1         
Term: composition                    Term Frequency: 1         
Term: complicates                    Term Frequency: 1         
Term: possible                       Term Frequency: 1         
Term: added                          Term Frequency: 1         
Term: 0.06                           Term Frequency: 1         
Term: 0.07                           Term Frequency: 1         
Term: club                           Term Frequency: 1         
Term: possibly                       Term Frequency: 1         
Term: 2483                           Term Frequency: 1         
Term: importance                     Term Frequency: 1         
Term: cohort                         Term Frequency: 1         
Term: conveying                      Term Frequency: 1         
Term: construct                      Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: yielded                        Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: opens                          Term Frequency: 1         
Term: chunks                         Term Frequency: 1         
Term: characterized                  Term Frequency: 1         
Term: may                            Term Frequency: 1         
Term: dimensional                    Term Frequency: 1         
Term: recognition                    Term Frequency: 1         
Term: 311                            Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: establishment                  Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: 329                            Term Frequency: 1         
Term: make                           Term Frequency: 1         
Term: cohesively                     Term Frequency: 1         
Term: 345                            Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: empirical                      Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: observed                       Term Frequency: 1         
Term: meaning                        Term Frequency: 1         
Term: above                          Term Frequency: 1         
Term: goals                          Term Frequency: 1         
Term: unique                         Term Frequency: 1         
Term: examine                        Term Frequency: 1         
Term: participated                   Term Frequency: 1         
Term: 371                            Term Frequency: 1         
Term: supports                       Term Frequency: 1         
Term: examined                       Term Frequency: 1         
Term: strategies                     Term Frequency: 1         
Term: 38                             Term Frequency: 1         
Term: many                           Term Frequency: 1         
Term: controlled                     Term Frequency: 1         
Term: collaboration                  Term Frequency: 1         
Term: increasing                     Term Frequency: 1         
Term: progress                       Term Frequency: 1         
Term: 40                             Term Frequency: 1         
Term: mymail.unisa.edu.au            Term Frequency: 1         
Term: agent                          Term Frequency: 1         
Term: 398                            Term Frequency: 1         
Term: paths                          Term Frequency: 1         
Term: 61                             Term Frequency: 1         
Term: 68                             Term Frequency: 1         
Term: needed                         Term Frequency: 1         
Term: 72                             Term Frequency: 1         
Term: 79                             Term Frequency: 1         
Term: replications                   Term Frequency: 1         
Term: yields                         Term Frequency: 1         
Term: step                           Term Frequency: 1         
Term: 82                             Term Frequency: 1         
Term: achievement                    Term Frequency: 1         
Term: gleaned                        Term Frequency: 1         
Term: relation                       Term Frequency: 1         
Term: controlling                    Term Frequency: 1         
Term: word                           Term Frequency: 1         
Term: specified                      Term Frequency: 1         
Term: naturally                      Term Frequency: 1         
Term: gathering                      Term Frequency: 1         
Term: 67analyzed                     Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: tailed                         Term Frequency: 1         
Term: individual’s                   Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: seems                          Term Frequency: 1         
Term: 0.7.1                          Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: ultimately                     Term Frequency: 1         
Term: 1209                           Term Frequency: 1         
Term: shortest                       Term Frequency: 1         
Term: fostering                      Term Frequency: 1         
Term: density                        Term Frequency: 1         
Term: 27.32                          Term Frequency: 1         
Term: 1243                           Term Frequency: 1         
Term: generated                      Term Frequency: 1         
Term: tests                          Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: artefacts                      Term Frequency: 1         
Term: capabilities                   Term Frequency: 1         
Term: significance                   Term Frequency: 1         
Term: 1289                           Term Frequency: 1         
Term: 4.1                            Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: shane.dawson                   Term Frequency: 1         
Term: sociological                   Term Frequency: 1         
Term: shape                          Term Frequency: 1         
Term: specify                        Term Frequency: 1         
Term: representations                Term Frequency: 1         
Term: textbase                       Term Frequency: 1         
Term: 2nd                            Term Frequency: 1         
Term: 423                            Term Frequency: 1         
Term: 429                            Term Frequency: 1         
Term: elaborating                    Term Frequency: 1         
Term: enhancements                   Term Frequency: 1         
Term: followers                      Term Frequency: 1         
Term: stimulating                    Term Frequency: 1         
Term: 0.009                          Term Frequency: 1         
Term: 0.006                          Term Frequency: 1         
Term: influenced                     Term Frequency: 1         
Term: 3066                           Term Frequency: 1         
Term: 0.004                          Term Frequency: 1         
Term: define                         Term Frequency: 1         
Term: retweets                       Term Frequency: 1         
Term: establishing                   Term Frequency: 1         
Term: decided                        Term Frequency: 1         
Term: leveraging                     Term Frequency: 1         
Term: 5.04                           Term Frequency: 1         
Term: another                        Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: syntactically                  Term Frequency: 1         
Term: describe                       Term Frequency: 1         
Term: understood                     Term Frequency: 1         
Term: supported                      Term Frequency: 1         
Term: developing                     Term Frequency: 1         
Term: leads                          Term Frequency: 1         
Term: redundant                      Term Frequency: 1         
Term: conclusion                     Term Frequency: 1         
Term: central                        Term Frequency: 1         
Term: scaffolds                      Term Frequency: 1         
Term: derived                        Term Frequency: 1         
Term: thoughts                       Term Frequency: 1         
Term: timely                         Term Frequency: 1         
Term: window                         Term Frequency: 1         
Term: play                           Term Frequency: 1         
Term: discard                        Term Frequency: 1         
Term: quickly                        Term Frequency: 1         
Term: decide                         Term Frequency: 1         
Term: promising                      Term Frequency: 1         
Term: denoting                       Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: differences                    Term Frequency: 1         
Term: explore                        Term Frequency: 1         
Term: oleksandra.skrypnyk            Term Frequency: 1         
Term: theoretically                  Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: exceptions                     Term Frequency: 1         
Term: outside                        Term Frequency: 1         
Term: topic                          Term Frequency: 1         
Term: along                          Term Frequency: 1         
Term: dialogue                       Term Frequency: 1         
Term: designed                       Term Frequency: 1         
Term: approaches                     Term Frequency: 1         
Term: recommended                    Term Frequency: 1         
Term: attention                      Term Frequency: 1         
Term: user                           Term Frequency: 1         
Term: bring                          Term Frequency: 1         
Term: investigated                   Term Frequency: 1         
Term: extend                         Term Frequency: 1         
Term: multiliteracies                Term Frequency: 1         
Term: prove                          Term Frequency: 1         
Term: metaphor                       Term Frequency: 1         
Term: 5711                           Term Frequency: 1         
Term: familiar                       Term Frequency: 1         
Term: co                             Term Frequency: 1         
Term: interview                      Term Frequency: 1         
Term: essential                      Term Frequency: 1         
Term: do                             Term Frequency: 1         
Term: meaningful                     Term Frequency: 1         
Term: accounted                      Term Frequency: 1         
Term: needs                          Term Frequency: 1         
Term: 5.1                            Term Frequency: 1         
Term: 5.2                            Term Frequency: 1         
Term: 5.3                            Term Frequency: 1         
Term: clash                          Term Frequency: 1         
Term: perhaps                        Term Frequency: 1         
Term: highlighting                   Term Frequency: 1         
Term: presents                       Term Frequency: 1         
Term: very                           Term Frequency: 1         
Term: triggered                      Term Frequency: 1         
Term: context                        Term Frequency: 1         
Term: likely                         Term Frequency: 1         
Term: interacted                     Term Frequency: 1         
Term: literature                     Term Frequency: 1         
Term: 3042.3                         Term Frequency: 1         
Term: ko                             Term Frequency: 1         
Term: 3042.7                         Term Frequency: 1         
