Term: exploratory                    Term Frequency: 75        
Term: digital                        Term Frequency: 3         
Term: form                           Term Frequency: 3         
Term: context                        Term Frequency: 3         
Term: peaks                          Term Frequency: 3         
Term: get                            Term Frequency: 3         
Term: help                           Term Frequency: 3         
Term: asynchronous                   Term Frequency: 3         
Term: challenge                      Term Frequency: 3         
Term: represents                     Term Frequency: 3         
Term: gives                          Term Frequency: 3         
Term: her                            Term Frequency: 3         
Term: active                         Term Frequency: 3         
Term: how                            Term Frequency: 3         
Term: 2007                           Term Frequency: 3         
Term: although                       Term Frequency: 3         
Term: periods                        Term Frequency: 3         
Term: together                       Term Frequency: 3         
Term: find                           Term Frequency: 3         
Term: contribution                   Term Frequency: 3         
Term: distinguish                    Term Frequency: 3         
Term: speaker                        Term Frequency: 3         
Term: nine                           Term Frequency: 3         
Term: post                           Term Frequency: 3         
Term: future                         Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: using                          Term Frequency: 3         
Term: taken                          Term Frequency: 3         
Term: recommendation                 Term Frequency: 3         
Term: thinking                       Term Frequency: 3         
Term: only                           Term Frequency: 3         
Term: individual                     Term Frequency: 3         
Term: interacting                    Term Frequency: 2         
Term: 0                              Term Frequency: 2         
Term: minds                          Term Frequency: 2         
Term: 67.5                           Term Frequency: 2         
Term: hand                           Term Frequency: 2         
Term: information                    Term Frequency: 2         
Term: better                         Term Frequency: 2         
Term: employed                       Term Frequency: 2         
Term: comments                       Term Frequency: 2         
Term: 1908                           Term Frequency: 2         
Term: services                       Term Frequency: 2         
Term: outweighed                     Term Frequency: 2         
Term: speech                         Term Frequency: 2         
Term: measures                       Term Frequency: 2         
Term: provide                        Term Frequency: 2         
Term: teaching                       Term Frequency: 2         
Term: day                            Term Frequency: 2         
Term: minutes                        Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: tend                           Term Frequency: 2         
Term: lectures                       Term Frequency: 2         
Term: concentration                  Term Frequency: 2         
Term: build                          Term Frequency: 2         
Term: further                        Term Frequency: 2         
Term: carefully                      Term Frequency: 2         
Term: computational                  Term Frequency: 2         
Term: virtual                        Term Frequency: 2         
Term: rather                         Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: may                            Term Frequency: 2         
Term: goals                          Term Frequency: 2         
Term: 16                             Term Frequency: 2         
Term: benefit                        Term Frequency: 2         
Term: quality                        Term Frequency: 2         
Term: shared                         Term Frequency: 2         
Term: 23                             Term Frequency: 2         
Term: 27                             Term Frequency: 2         
Term: 32                             Term Frequency: 2         
Term: 44                             Term Frequency: 2         
Term: allow                          Term Frequency: 2         
Term: needed                         Term Frequency: 2         
Term: interest                       Term Frequency: 2         
Term: still                          Term Frequency: 2         
Term: collaborative                  Term Frequency: 2         
Term: among                          Term Frequency: 2         
Term: writing                        Term Frequency: 2         
Term: least                          Term Frequency: 2         
Term: learn                          Term Frequency: 2         
Term: need                           Term Frequency: 2         
Term: that’s                         Term Frequency: 2         
Term: pm23                           Term Frequency: 2         
Term: engine                         Term Frequency: 2         
Term: lines                          Term Frequency: 2         
Term: authors                        Term Frequency: 2         
Term: settings                       Term Frequency: 2         
Term: took                           Term Frequency: 2         
Term: new                            Term Frequency: 2         
Term: tool                           Term Frequency: 2         
Term: practicalities                 Term Frequency: 2         
Term: around                         Term Frequency: 2         
Term: rated                          Term Frequency: 2         
Term: forms                          Term Frequency: 2         
Term: shift                          Term Frequency: 2         
Term: another                        Term Frequency: 2         
Term: logged                         Term Frequency: 2         
Term: give                           Term Frequency: 2         
Term: differences                    Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: why                            Term Frequency: 2         
Term: approaches                     Term Frequency: 2         
Term: investigates                   Term Frequency: 2         
Term: addition                       Term Frequency: 2         
Term: sure                           Term Frequency: 2         
Term: extend                         Term Frequency: 2         
Term: consideration                  Term Frequency: 2         
Term: 31.1                           Term Frequency: 2         
Term: 5.6                            Term Frequency: 2         
Term: appeared                       Term Frequency: 2         
Term: moderator                      Term Frequency: 2         
Term: suggests                       Term Frequency: 2         
Term: easier                         Term Frequency: 2         
Term: seen                           Term Frequency: 2         
Term: necessary                      Term Frequency: 2         
Term: joint                          Term Frequency: 2         
Term: trivial                        Term Frequency: 2         
Term: up                             Term Frequency: 2         
Term: type                           Term Frequency: 2         
Term: beyond                         Term Frequency: 2         
Term: come                           Term Frequency: 2         
Term: course                         Term Frequency: 2         
Term: engaging                       Term Frequency: 2         
Term: conversation                   Term Frequency: 2         
Term: analysed                       Term Frequency: 2         
Term: considered                     Term Frequency: 2         
Term: focus                          Term Frequency: 2         
Term: approach                       Term Frequency: 2         
Term: classroom                      Term Frequency: 2         
Term: jointly                        Term Frequency: 2         
Term: engaged                        Term Frequency: 2         
Term: indicating                     Term Frequency: 2         
Term: environments                   Term Frequency: 2         
Term: whether                        Term Frequency: 2         
Term: it’s                           Term Frequency: 2         
Term: explanations                   Term Frequency: 2         
Term: consecutive                    Term Frequency: 2         
Term: indicative                     Term Frequency: 2         
Term: found                          Term Frequency: 2         
Term: video                          Term Frequency: 2         
Term: generic                        Term Frequency: 2         
Term: point                          Term Frequency: 2         
Term: process                        Term Frequency: 2         
Term: questions                      Term Frequency: 2         
Term: count                          Term Frequency: 2         
Term: unscheduled                    Term Frequency: 2         
Term: 2011                           Term Frequency: 2         
Term: difficult                      Term Frequency: 2         
Term: evident                        Term Frequency: 2         
Term: perspective                    Term Frequency: 2         
Term: face                           Term Frequency: 2         
Term: mainly                         Term Frequency: 2         
Term: presentation                   Term Frequency: 2         
Term: five                           Term Frequency: 2         
Term: agree                          Term Frequency: 2         
Term: linguistics                    Term Frequency: 2         
Term: space                          Term Frequency: 2         
Term: according                      Term Frequency: 2         
Term: references                     Term Frequency: 2         
Term: building                       Term Frequency: 2         
Term: poster                         Term Frequency: 2         
Term: close                          Term Frequency: 2         
Term: textual                        Term Frequency: 2         
Term: educational                    Term Frequency: 2         
Term: moves                          Term Frequency: 2         
Term: real                           Term Frequency: 2         
Term: row                            Term Frequency: 2         
Term: any                            Term Frequency: 2         
Term: 0.9                            Term Frequency: 2         
Term: formally                       Term Frequency: 2         
Term: notion                         Term Frequency: 2         
Term: bold                           Term Frequency: 2         
Term: longer                         Term Frequency: 2         
Term: you’re                         Term Frequency: 2         
Term: learned                        Term Frequency: 2         
Term: case                           Term Frequency: 2         
Term: described                      Term Frequency: 2         
Term: important                      Term Frequency: 2         
Term: amount                         Term Frequency: 2         
Term: complex                        Term Frequency: 2         
Term: 22.6                           Term Frequency: 2         
Term: indicate                       Term Frequency: 2         
Term: compared                       Term Frequency: 2         
Term: validity                       Term Frequency: 2         
Term: relates                        Term Frequency: 2         
Term: over                           Term Frequency: 2         
Term: large                          Term Frequency: 2         
Term: different                      Term Frequency: 2         
Term: relevant                       Term Frequency: 2         
Term: focused                        Term Frequency: 2         
Term: 1.5                            Term Frequency: 2         
Term: 1.6                            Term Frequency: 2         
Term: control                        Term Frequency: 2         
Term: morning                        Term Frequency: 2         
Term: audio                          Term Frequency: 2         
Term: conferences                    Term Frequency: 2         
Term: higher                         Term Frequency: 2         
Term: doing                          Term Frequency: 2         
Term: idea                           Term Frequency: 2         
Term: following                      Term Frequency: 2         
Term: should                         Term Frequency: 2         
Term: carried                        Term Frequency: 2         
Term: limited                        Term Frequency: 2         
Term: informal                       Term Frequency: 2         
Term: www.unicaen.fr                 Term Frequency: 1         
Term: outcomes                       Term Frequency: 1         
Term: successfully                   Term Frequency: 1         
Term: 10.1                           Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: notable                        Term Frequency: 1         
Term: rational                       Term Frequency: 1         
Term: fifth                          Term Frequency: 1         
Term: keywords                       Term Frequency: 1         
Term: 686103                         Term Frequency: 1         
Term: making                         Term Frequency: 1         
Term: 54.2                           Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: adrift                         Term Frequency: 1         
Term: provides                       Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: suitable                       Term Frequency: 1         
Term: 1057                           Term Frequency: 1         
Term: 41.4                           Term Frequency: 1         
Term: e.g                            Term Frequency: 1         
Term: considering                    Term Frequency: 1         
Term: 2,3                            Term Frequency: 1         
Term: succession                     Term Frequency: 1         
Term: implications                   Term Frequency: 1         
Term: question                       Term Frequency: 1         
Term: reorganized                    Term Frequency: 1         
Term: 2.3                            Term Frequency: 1         
Term: 2.4                            Term Frequency: 1         
Term: 2.8                            Term Frequency: 1         
Term: everyone’s                     Term Frequency: 1         
Term: translated                     Term Frequency: 1         
Term: biggest                        Term Frequency: 1         
Term: academic                       Term Frequency: 1         
Term: quite                          Term Frequency: 1         
Term: representative                 Term Frequency: 1         
Term: traffic                        Term Frequency: 1         
Term: constitutes                    Term Frequency: 1         
Term: plenty                         Term Frequency: 1         
Term: 210                            Term Frequency: 1         
Term: distinguished                  Term Frequency: 1         
Term: 224                            Term Frequency: 1         
Term: quantitative                   Term Frequency: 1         
Term: 19.2                           Term Frequency: 1         
Term: respond                        Term Frequency: 1         
Term: supply                         Term Frequency: 1         
Term: 233                            Term Frequency: 1         
Term: cut                            Term Frequency: 1         
Term: 253                            Term Frequency: 1         
Term: reported                       Term Frequency: 1         
Term: think                          Term Frequency: 1         
Term: team                           Term Frequency: 1         
Term: paying                         Term Frequency: 1         
Term: actual                         Term Frequency: 1         
Term: reflection                     Term Frequency: 1         
Term: involves                       Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: away                           Term Frequency: 1         
Term: concept                        Term Frequency: 1         
Term: 297                            Term Frequency: 1         
Term: required                       Term Frequency: 1         
Term: allotted                       Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: 1988                           Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: reliability                    Term Frequency: 1         
Term: unknown                        Term Frequency: 1         
Term: lot                            Term Frequency: 1         
Term: 1995                           Term Frequency: 1         
Term: low                            Term Frequency: 1         
Term: uploaded                       Term Frequency: 1         
Term: 1999                           Term Frequency: 1         
Term: tutors                         Term Frequency: 1         
Term: experience                     Term Frequency: 1         
Term: 4the                           Term Frequency: 1         
Term: particular                     Term Frequency: 1         
Term: open.ac.uk                     Term Frequency: 1         
Term: interrogatives                 Term Frequency: 1         
Term: overrun                        Term Frequency: 1         
Term: critical                       Term Frequency: 1         
Term: mike                           Term Frequency: 1         
Term: conversations                  Term Frequency: 1         
Term: equitable                      Term Frequency: 1         
Term: introduction                   Term Frequency: 1         
Term: 11.4                           Term Frequency: 1         
Term: 11.1                           Term Frequency: 1         
Term: 11.8                           Term Frequency: 1         
Term: attitude                       Term Frequency: 1         
Term: overran                        Term Frequency: 1         
Term: stage                          Term Frequency: 1         
Term: 655723                         Term Frequency: 1         
Term: cues                           Term Frequency: 1         
Term: adding                         Term Frequency: 1         
Term: signal                         Term Frequency: 1         
Term: test                           Term Frequency: 1         
Term: misleading                     Term Frequency: 1         
Term: importance                     Term Frequency: 1         
Term: back                           Term Frequency: 1         
Term: title                          Term Frequency: 1         
Term: schedule                       Term Frequency: 1         
Term: articles                       Term Frequency: 1         
Term: wordcountexploratory           Term Frequency: 1         
Term: analysis.what                  Term Frequency: 1         
Term: signed                         Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: 3.3                            Term Frequency: 1         
Term: 3.5                            Term Frequency: 1         
Term: embarrassed                    Term Frequency: 1         
Term: goodbye                        Term Frequency: 1         
Term: peaked                         Term Frequency: 1         
Term: feel                           Term Frequency: 1         
Term: continuous                     Term Frequency: 1         
Term: concentrates                   Term Frequency: 1         
Term: understandings                 Term Frequency: 1         
Term: minute14.8                     Term Frequency: 1         
Term: literacy                       Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: paradigm                       Term Frequency: 1         
Term: en.wikipedia.org               Term Frequency: 1         
Term: 02                             Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: observed                       Term Frequency: 1         
Term: meaningfully                   Term Frequency: 1         
Term: 19908                          Term Frequency: 1         
Term: meaning                        Term Frequency: 1         
Term: 13                             Term Frequency: 1         
Term: 17                             Term Frequency: 1         
Term: consistently                   Term Frequency: 1         
Term: male                           Term Frequency: 1         
Term: 21                             Term Frequency: 1         
Term: 26                             Term Frequency: 1         
Term: participated                   Term Frequency: 1         
Term: mic                            Term Frequency: 1         
Term: experiments                    Term Frequency: 1         
Term: scan                           Term Frequency: 1         
Term: supports                       Term Frequency: 1         
Term: relationship                   Term Frequency: 1         
Term: blunders                       Term Frequency: 1         
Term: 34                             Term Frequency: 1         
Term: 36                             Term Frequency: 1         
Term: though                         Term Frequency: 1         
Term: 38                             Term Frequency: 1         
Term: 39                             Term Frequency: 1         
Term: stay                           Term Frequency: 1         
Term: progress                       Term Frequency: 1         
Term: 42                             Term Frequency: 1         
Term: 43                             Term Frequency: 1         
Term: 45                             Term Frequency: 1         
Term: 47                             Term Frequency: 1         
Term: numbers                        Term Frequency: 1         
Term: 54                             Term Frequency: 1         
Term: 58                             Term Frequency: 1         
Term: look                           Term Frequency: 1         
Term: 65                             Term Frequency: 1         
Term: 67                             Term Frequency: 1         
Term: common                         Term Frequency: 1         
Term: ranged                         Term Frequency: 1         
Term: themselves                     Term Frequency: 1         
Term: 10.00                          Term Frequency: 1         
Term: 81                             Term Frequency: 1         
Term: step                           Term Frequency: 1         
Term: whole                          Term Frequency: 1         
Term: reliable                       Term Frequency: 1         
Term: lost                           Term Frequency: 1         
Term: relating                       Term Frequency: 1         
Term: knowing                        Term Frequency: 1         
Term: theory                         Term Frequency: 1         
Term: gender                         Term Frequency: 1         
Term: include                        Term Frequency: 1         
Term: alongside                      Term Frequency: 1         
Term: s.buckingham.shum              Term Frequency: 1         
Term: capture                        Term Frequency: 1         
Term: 12.8                           Term Frequency: 1         
Term: p136                           Term Frequency: 1         
Term: spend                          Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: id_article                     Term Frequency: 1         
Term: understanding                  Term Frequency: 1         
Term: summarises                     Term Frequency: 1         
Term: overload                       Term Frequency: 1         
Term: guess                          Term Frequency: 1         
Term: 99researchers                  Term Frequency: 1         
Term: evidence                       Term Frequency: 1         
Term: official                       Term Frequency: 1         
Term: incorporated                   Term Frequency: 1         
Term: leave                          Term Frequency: 1         
Term: female                         Term Frequency: 1         
Term: microphone                     Term Frequency: 1         
Term: users                          Term Frequency: 1         
Term: volume                         Term Frequency: 1         
Term: timings                        Term Frequency: 1         
Term: environment                    Term Frequency: 1         
Term: 4.5                            Term Frequency: 1         
Term: contributors                   Term Frequency: 1         
Term: 4.6                            Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: thousands                      Term Frequency: 1         
Term: valid                          Term Frequency: 1         
Term: vacuum                         Term Frequency: 1         
Term: asked                          Term Frequency: 1         
Term: indicates                      Term Frequency: 1         
Term: share                          Term Frequency: 1         
Term: television                     Term Frequency: 1         
Term: cumulative                     Term Frequency: 1         
Term: etc                            Term Frequency: 1         
Term: links                          Term Frequency: 1         
Term: below                          Term Frequency: 1         
Term: individually                   Term Frequency: 1         
Term: shame                          Term Frequency: 1         
Term: biscuits                       Term Frequency: 1         
Term: specific                       Term Frequency: 1         
Term: skills                         Term Frequency: 1         
Term: maybe                          Term Frequency: 1         
Term: automatically                  Term Frequency: 1         
Term: recommend                      Term Frequency: 1         
Term: structured                     Term Frequency: 1         
Term: consensus                      Term Frequency: 1         
Term: timeslot                       Term Frequency: 1         
Term: didactic                       Term Frequency: 1         
Term: sciences                       Term Frequency: 1         
Term: amateurs                       Term Frequency: 1         
Term: oro.open.ac.uk                 Term Frequency: 1         
Term: 39.3                           Term Frequency: 1         
Term: hidden                         Term Frequency: 1         
Term: nor                            Term Frequency: 1         
Term: now                            Term Frequency: 1         
Term: supporting                     Term Frequency: 1         
Term: incorporating                  Term Frequency: 1         
Term: thoughts                       Term Frequency: 1         
Term: breaks                         Term Frequency: 1         
Term: effectively                    Term Frequency: 1         
Term: can’t                          Term Frequency: 1         
Term: detailed                       Term Frequency: 1         
Term: quickly                        Term Frequency: 1         
Term: issues                         Term Frequency: 1         
Term: far                            Term Frequency: 1         
Term: p62                            Term Frequency: 1         
Term: lowest                         Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: bit.ly                         Term Frequency: 1         
Term: backchannel                    Term Frequency: 1         
Term: 13,2                           Term Frequency: 1         
Term: study                          Term Frequency: 1         
Term: explicitly                     Term Frequency: 1         
Term: sentences                      Term Frequency: 1         
Term: great                          Term Frequency: 1         
Term: recordings                     Term Frequency: 1         
Term: few                            Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: visible                        Term Frequency: 1         
Term: producer                       Term Frequency: 1         
Term: necessarily                    Term Frequency: 1         
Term: parallel                       Term Frequency: 1         
Term: wil                            Term Frequency: 1         
Term: thanking                       Term Frequency: 1         
Term: 57.6                           Term Frequency: 1         
Term: various                        Term Frequency: 1         
Term: attention                      Term Frequency: 1         
Term: evaluated                      Term Frequency: 1         
Term: investigated                   Term Frequency: 1         
Term: it’ll                          Term Frequency: 1         
Term: competitive                    Term Frequency: 1         
Term: prove                          Term Frequency: 1         
Term: search                         Term Frequency: 1         
Term: systems                        Term Frequency: 1         
Term: whom                           Term Frequency: 1         
Term: co                             Term Frequency: 1         
Term: freely                         Term Frequency: 1         
Term: 11th                           Term Frequency: 1         
Term: presumed                       Term Frequency: 1         
Term: language                       Term Frequency: 1         
Term: scary                          Term Frequency: 1         
Term: criticism                      Term Frequency: 1         
Term: needs                          Term Frequency: 1         
Term: et                             Term Frequency: 1         
Term: 5.2                            Term Frequency: 1         
Term: 5.4                            Term Frequency: 1         
Term: 5.8                            Term Frequency: 1         
Term: identifying                    Term Frequency: 1         
Term: mistakes                       Term Frequency: 1         
Term: rate                           Term Frequency: 1         
Term: confirms                       Term Frequency: 1         
Term: presents                       Term Frequency: 1         
Term: easily                         Term Frequency: 1         
Term: ie                             Term Frequency: 1         
Term: distraction                    Term Frequency: 1         
Term: contrast                       Term Frequency: 1         
Term: become                         Term Frequency: 1         
Term: fluctuated                     Term Frequency: 1         
Term: turned                         Term Frequency: 1         
Term: sadly                          Term Frequency: 1         
Term: keynotes                       Term Frequency: 1         
Term: complete                       Term Frequency: 1         
Term: careful                        Term Frequency: 1         
Term: considerable                   Term Frequency: 1         
Term: hear                           Term Frequency: 1         
Term: perspectives                   Term Frequency: 1         
Term: pm                             Term Frequency: 1         
Term: increasingly                   Term Frequency: 1         
Term: engines                        Term Frequency: 1         
Term: hundreds                       Term Frequency: 1         
Term: cognitive                      Term Frequency: 1         
Term: archives                       Term Frequency: 1         
Term: seek                           Term Frequency: 1         
Term: offline                        Term Frequency: 1         
Term: archived                       Term Frequency: 1         
Term: organisers                     Term Frequency: 1         
Term: started                        Term Frequency: 1         
Term: dialogues                      Term Frequency: 1         
Term: closed                         Term Frequency: 1         
Term: 4,11                           Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: separate                       Term Frequency: 1         
Term: extract                        Term Frequency: 1         
Term: wordcountper                   Term Frequency: 1         
Term: locating                       Term Frequency: 1         
Term: drop                           Term Frequency: 1         
Term: minute0.7                      Term Frequency: 1         
Term: that's                         Term Frequency: 1         
Term: punctuated                     Term Frequency: 1         
Term: establishments                 Term Frequency: 1         
Term: cases                          Term Frequency: 1         
Term: deeper                         Term Frequency: 1         
Term: fruitful                       Term Frequency: 1         
Term: none                           Term Frequency: 1         
Term: problem                        Term Frequency: 1         
Term: terms                          Term Frequency: 1         
Term: phase                          Term Frequency: 1         
Term: wife                           Term Frequency: 1         
Term: samples                        Term Frequency: 1         
Term: examples                       Term Frequency: 1         
Term: our                            Term Frequency: 1         
Term: consuming                      Term Frequency: 1         
Term: continues                      Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: date                           Term Frequency: 1         
Term: wiki                           Term Frequency: 1         
Term: own                            Term Frequency: 1         
Term: sound                          Term Frequency: 1         
Term: blog                           Term Frequency: 1         
Term: resource                       Term Frequency: 1         
Term: grammatically                  Term Frequency: 1         
Term: addressed                      Term Frequency: 1         
Term: 58.2                           Term Frequency: 1         
Term: note                           Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: subdivide                      Term Frequency: 1         
Term: prose                          Term Frequency: 1         
Term: analyse                        Term Frequency: 1         
Term: explanation                    Term Frequency: 1         
