Term: discourse                      Term Frequency: 175       
Term: 4                              Term Frequency: 9         
Term: s                              Term Frequency: 9         
Term: have                           Term Frequency: 9         
Term: 17                             Term Frequency: 9         
Term: analyzing                      Term Frequency: 9         
Term: so                             Term Frequency: 9         
Term: analyzed                       Term Frequency: 9         
Term: deeper                         Term Frequency: 9         
Term: understand                     Term Frequency: 9         
Term: collaborative                  Term Frequency: 9         
Term: similar                        Term Frequency: 9         
Term: teachers                       Term Frequency: 9         
Term: during                         Term Frequency: 9         
Term: communal                       Term Frequency: 9         
Term: 5                              Term Frequency: 8         
Term: turn                           Term Frequency: 8         
Term: 13                             Term Frequency: 8         
Term: 15                             Term Frequency: 8         
Term: forum                          Term Frequency: 8         
Term: topic                          Term Frequency: 8         
Term: kb                             Term Frequency: 8         
Term: concepts                       Term Frequency: 8         
Term: us                             Term Frequency: 8         
Term: been                           Term Frequency: 8         
Term: insights                       Term Frequency: 8         
Term: number                         Term Frequency: 8         
Term: significant                    Term Frequency: 8         
Term: important                      Term Frequency: 8         
Term: centrality                     Term Frequency: 8         
Term: part                           Term Frequency: 8         
Term: identified                     Term Frequency: 8         
Term: thought                        Term Frequency: 8         
Term: most                           Term Frequency: 8         
Term: after                          Term Frequency: 7         
Term: c                              Term Frequency: 7         
Term: step                           Term Frequency: 7         
Term: sharing                        Term Frequency: 7         
Term: introduced                     Term Frequency: 7         
Term: paper                          Term Frequency: 7         
Term: following                      Term Frequency: 7         
Term: overall                        Term Frequency: 7         
Term: three                          Term Frequency: 7         
Term: what                           Term Frequency: 7         
Term: allows                         Term Frequency: 7         
Term: methods                        Term Frequency: 7         
Term: group                          Term Frequency: 7         
Term: processes                      Term Frequency: 7         
Term: learners                       Term Frequency: 7         
Term: relevant                       Term Frequency: 7         
Term: introduction                   Term Frequency: 6         
Term: made                           Term Frequency: 6         
Term: technological                  Term Frequency: 6         
Term: who                            Term Frequency: 6         
Term: language                       Term Frequency: 6         
Term: perspectives                   Term Frequency: 6         
Term: obtained                       Term Frequency: 6         
Term: up                             Term Frequency: 6         
Term: course                         Term Frequency: 6         
Term: help                           Term Frequency: 6         
Term: conduct                        Term Frequency: 6         
Term: determining                    Term Frequency: 6         
Term: able                           Term Frequency: 6         
Term: first                          Term Frequency: 6         
Term: previously                     Term Frequency: 6         
Term: identify                       Term Frequency: 6         
Term: show                           Term Frequency: 6         
Term: words                          Term Frequency: 6         
Term: sources                        Term Frequency: 6         
Term: related                        Term Frequency: 6         
Term: throughout                     Term Frequency: 6         
Term: technology                     Term Frequency: 6         
Term: individual                     Term Frequency: 6         
Term: applied                        Term Frequency: 6         
Term: computer                       Term Frequency: 6         
Term: new                            Term Frequency: 6         
Term: specific                       Term Frequency: 6         
Term: community’s                    Term Frequency: 6         
Term: all                            Term Frequency: 6         
Term: written                        Term Frequency: 6         
Term: 7                              Term Frequency: 5         
Term: b                              Term Frequency: 5         
Term: y                              Term Frequency: 5         
Term: information                    Term Frequency: 5         
Term: question                       Term Frequency: 5         
Term: representative                 Term Frequency: 5         
Term: being                          Term Frequency: 5         
Term: contents                       Term Frequency: 5         
Term: due                            Term Frequency: 5         
Term: 10                             Term Frequency: 5         
Term: 18                             Term Frequency: 5         
Term: 24                             Term Frequency: 5         
Term: work                           Term Frequency: 5         
Term: while                          Term Frequency: 5         
Term: focus                          Term Frequency: 5         
Term: instructors                    Term Frequency: 5         
Term: measure                        Term Frequency: 5         
Term: values                         Term Frequency: 5         
Term: qualitative                    Term Frequency: 5         
Term: questions                      Term Frequency: 5         
Term: nodes                          Term Frequency: 5         
Term: principles                     Term Frequency: 5         
Term: based                          Term Frequency: 5         
Term: advancement                    Term Frequency: 5         
Term: educational                    Term Frequency: 5         
Term: especially                     Term Frequency: 5         
Term: graphs                         Term Frequency: 5         
Term: feedback                       Term Frequency: 5         
Term: platforms                      Term Frequency: 5         
Term: each                           Term Frequency: 5         
Term: teaching                       Term Frequency: 5         
Term: about                          Term Frequency: 5         
Term: respective                     Term Frequency: 5         
Term: sciences                       Term Frequency: 5         
Term: significantly                  Term Frequency: 5         
Term: conference                     Term Frequency: 5         
Term: assist                         Term Frequency: 5         
Term: details                        Term Frequency: 5         
Term: presence                       Term Frequency: 5         
Term: our                            Term Frequency: 5         
Term: out                            Term Frequency: 5         
Term: wise                           Term Frequency: 5         
Term: classified                     Term Frequency: 5         
Term: setting                        Term Frequency: 5         
Term: any                            Term Frequency: 5         
Term: engagement                     Term Frequency: 5         
Term: results                        Term Frequency: 5         
Term: interactions                   Term Frequency: 5         
Term: mentioned                      Term Frequency: 5         
Term: inquiry                        Term Frequency: 5         
Term: instruction                    Term Frequency: 5         
Term: higher                         Term Frequency: 5         
Term: 6                              Term Frequency: 4         
Term: role                           Term Frequency: 4         
Term: hand                           Term Frequency: 4         
Term: provides                       Term Frequency: 4         
Term: required                       Term Frequency: 4         
Term: shown                          Term Frequency: 4         
Term: possible                       Term Frequency: 4         
Term: later                          Term Frequency: 4         
Term: make                           Term Frequency: 4         
Term: meaning                        Term Frequency: 4         
Term: 21                             Term Frequency: 4         
Term: 27                             Term Frequency: 4         
Term: 32                             Term Frequency: 4         
Term: 33                             Term Frequency: 4         
Term: 50                             Term Frequency: 4         
Term: common                         Term Frequency: 4         
Term: theory                         Term Frequency: 4         
Term: subsequently                   Term Frequency: 4         
Term: users                          Term Frequency: 4         
Term: addition                       Term Frequency: 4         
Term: form                           Term Frequency: 4         
Term: context                        Term Frequency: 4         
Term: than                           Term Frequency: 4         
Term: without                        Term Frequency: 4         
Term: standard                       Term Frequency: 4         
Term: tracing                        Term Frequency: 4         
Term: approach                       Term Frequency: 4         
Term: classroom                      Term Frequency: 4         
Term: found                          Term Frequency: 4         
Term: lesson                         Term Frequency: 4         
Term: potential                      Term Frequency: 4         
Term: point                          Term Frequency: 4         
Term: opinions                       Term Frequency: 4         
Term: linked                         Term Frequency: 4         
Term: its                            Term Frequency: 4         
Term: identification                 Term Frequency: 4         
Term: complex                        Term Frequency: 4         
Term: subsequent                     Term Frequency: 4         
Term: improvable                     Term Frequency: 4         
Term: high                           Term Frequency: 4         
Term: degree                         Term Frequency: 4         
Term: types                          Term Frequency: 4         
Term: only                           Term Frequency: 4         
Term: studies                        Term Frequency: 4         
Term: outcomes                       Term Frequency: 4         
Term: mined                          Term Frequency: 4         
Term: onto                           Term Frequency: 4         
Term: forums                         Term Frequency: 4         
Term: phases                         Term Frequency: 4         
Term: 1999                           Term Frequency: 4         
Term: initial                        Term Frequency: 4         
Term: human                          Term Frequency: 4         
Term: may                            Term Frequency: 4         
Term: experts                        Term Frequency: 4         
Term: among                          Term Frequency: 4         
Term: tool                           Term Frequency: 4         
Term: supported                      Term Frequency: 4         
Term: thoughts                       Term Frequency: 4         
Term: detailed                       Term Frequency: 4         
Term: determined                     Term Frequency: 4         
Term: search                         Term Frequency: 4         
Term: eventually                     Term Frequency: 4         
Term: chosen                         Term Frequency: 4         
Term: development                    Term Frequency: 4         
Term: period                         Term Frequency: 4         
Term: even                           Term Frequency: 4         
Term: initiated                      Term Frequency: 4         
Term: represent                      Term Frequency: 4         
Term: commonly                       Term Frequency: 4         
Term: immediate                      Term Frequency: 4         
Term: 2011                           Term Frequency: 4         
Term: space                          Term Frequency: 4         
Term: traced                         Term Frequency: 4         
Term: see                            Term Frequency: 4         
Term: large                          Term Frequency: 4         
Term: nature                         Term Frequency: 4         
Term: lessons                        Term Frequency: 4         
Term: 8                              Term Frequency: 3         
Term: findings                       Term Frequency: 3         
Term: concept                        Term Frequency: 3         
Term: tend                           Term Frequency: 3         
Term: researchers                    Term Frequency: 3         
Term: main                           Term Frequency: 3         
Term: continuous                     Term Frequency: 3         
Term: 11                             Term Frequency: 3         
Term: 16                             Term Frequency: 3         
Term: 19                             Term Frequency: 3         
Term: unique                         Term Frequency: 3         
Term: 23                             Term Frequency: 3         
Term: 26                             Term Frequency: 3         
Term: 29                             Term Frequency: 3         
Term: 30                             Term Frequency: 3         
Term: 66                             Term Frequency: 3         
Term: invoking                       Term Frequency: 3         
Term: trend                          Term Frequency: 3         
Term: scientific                     Term Frequency: 3         
Term: platform                       Term Frequency: 3         
Term: sufficiently                   Term Frequency: 3         
Term: need                           Term Frequency: 3         
Term: junctures                      Term Frequency: 3         
Term: way                            Term Frequency: 3         
Term: differences                    Term Frequency: 3         
Term: few                            Term Frequency: 3         
Term: crucial                        Term Frequency: 3         
Term: why                            Term Frequency: 3         
Term: integrated                     Term Frequency: 3         
Term: attention                      Term Frequency: 3         
Term: co                             Term Frequency: 3         
Term: do                             Term Frequency: 3         
Term: belief                         Term Frequency: 3         
Term: second                         Term Frequency: 3         
Term: started                        Term Frequency: 3         
Term: single                         Term Frequency: 3         
Term: closeness                      Term Frequency: 3         
Term: type                           Term Frequency: 3         
Term: beyond                         Term Frequency: 3         
Term: phase                          Term Frequency: 3         
Term: create                         Term Frequency: 3         
Term: purpose                        Term Frequency: 3         
Term: implementation                 Term Frequency: 3         
Term: educators                      Term Frequency: 3         
Term: much                           Term Frequency: 3         
Term: entire                         Term Frequency: 3         
Term: underlying                     Term Frequency: 3         
Term: larger                         Term Frequency: 3         
Term: discussed                      Term Frequency: 3         
Term: whether                        Term Frequency: 3         
Term: events                         Term Frequency: 3         
Term: discussing                     Term Frequency: 3         
Term: early                          Term Frequency: 3         
Term: initially                      Term Frequency: 3         
Term: her                            Term Frequency: 3         
Term: efficient                      Term Frequency: 3         
Term: consistent                     Term Frequency: 3         
Term: before                         Term Frequency: 3         
Term: his                            Term Frequency: 3         
Term: excerpt                        Term Frequency: 3         
Term: analytical                     Term Frequency: 3         
Term: topics                         Term Frequency: 3         
Term: difficult                      Term Frequency: 3         
Term: stages                         Term Frequency: 3         
Term: providing                      Term Frequency: 3         
Term: criterion                      Term Frequency: 3         
Term: inputs                         Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: containing                     Term Frequency: 3         
Term: hence                          Term Frequency: 3         
Term: equivalent                     Term Frequency: 3         
Term: contain                        Term Frequency: 3         
Term: total                          Term Frequency: 3         
Term: inquiries                      Term Frequency: 3         
Term: statistical                    Term Frequency: 3         
Term: example                        Term Frequency: 3         
Term: making                         Term Frequency: 3         
Term: upon                           Term Frequency: 3         
Term: does                           Term Frequency: 3         
Term: unable                         Term Frequency: 3         
Term: low                            Term Frequency: 3         
Term: interaction                    Term Frequency: 3         
Term: field                          Term Frequency: 3         
Term: shared                         Term Frequency: 3         
Term: though                         Term Frequency: 3         
Term: whole                          Term Frequency: 3         
Term: referred                       Term Frequency: 3         
Term: certain                        Term Frequency: 3         
Term: identifying                    Term Frequency: 3         
Term: node                           Term Frequency: 3         
Term: activity                       Term Frequency: 3         
Term: method                         Term Frequency: 3         
Term: note                           Term Frequency: 3         
Term: indicating                     Term Frequency: 3         
Term: design                         Term Frequency: 3         
Term: conclusions                    Term Frequency: 3         
Term: classrooms                     Term Frequency: 3         
Term: 2014                           Term Frequency: 3         
Term: true                           Term Frequency: 3         
Term: since                          Term Frequency: 3         
Term: mainly                         Term Frequency: 3         
Term: consist                        Term Frequency: 3         
Term: collective                     Term Frequency: 3         
Term: textual                        Term Frequency: 3         
Term: interventions                  Term Frequency: 3         
Term: conducted                      Term Frequency: 3         
Term: greater                        Term Frequency: 3         
Term: both                           Term Frequency: 3         
Term: current                        Term Frequency: 3         
Term: natural                        Term Frequency: 3         
Term: response                       Term Frequency: 3         
Term: require                        Term Frequency: 2         
Term: 9                              Term Frequency: 2         
Term: procedures                     Term Frequency: 2         
Term: motive                         Term Frequency: 2         
Term: multiple                       Term Frequency: 2         
Term: room                           Term Frequency: 2         
Term: e.g                            Term Frequency: 2         
Term: propose                        Term Frequency: 2         
Term: academic                       Term Frequency: 2         
Term: times                          Term Frequency: 2         
Term: 639798                         Term Frequency: 2         
Term: quantitative                   Term Frequency: 2         
Term: 239                            Term Frequency: 2         
Term: think                          Term Frequency: 2         
Term: participate                    Term Frequency: 2         
Term: 281                            Term Frequency: 2         
Term: specifically                   Term Frequency: 2         
Term: sessions                       Term Frequency: 2         
Term: requires                       Term Frequency: 2         
Term: emergent                       Term Frequency: 2         
Term: conceptual                     Term Frequency: 2         
Term: prevalent                      Term Frequency: 2         
Term: created                        Term Frequency: 2         
Term: critical                       Term Frequency: 2         
Term: built                          Term Frequency: 2         
Term: heavily                        Term Frequency: 2         
Term: examining                      Term Frequency: 2         
Term: average                        Term Frequency: 2         
Term: compare                        Term Frequency: 2         
Term: staff                          Term Frequency: 2         
Term: helping                        Term Frequency: 2         
Term: clustering                     Term Frequency: 2         
Term: interpretations                Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: 14                             Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: 22                             Term Frequency: 2         
Term: 25                             Term Frequency: 2         
Term: 28                             Term Frequency: 2         
Term: long                           Term Frequency: 2         
Term: 31                             Term Frequency: 2         
Term: 34                             Term Frequency: 2         
Term: 57                             Term Frequency: 2         
Term: 59                             Term Frequency: 2         
Term: coefficient                    Term Frequency: 2         
Term: 67                             Term Frequency: 2         
Term: themselves                     Term Frequency: 2         
Term: apply                          Term Frequency: 2         
Term: 97                             Term Frequency: 2         
Term: misconceptions                 Term Frequency: 2         
Term: threshold                      Term Frequency: 2         
Term: visual                         Term Frequency: 2         
Term: least                          Term Frequency: 2         
Term: measurement                    Term Frequency: 2         
Term: learn                          Term Frequency: 2         
Term: student’s                      Term Frequency: 2         
Term: useful                         Term Frequency: 2         
Term: environment                    Term Frequency: 2         
Term: called                         Term Frequency: 2         
Term: turns                          Term Frequency: 2         
Term: share                          Term Frequency: 2         
Term: etc                            Term Frequency: 2         
Term: forms                          Term Frequency: 2         
Term: represented                    Term Frequency: 2         
Term: might                          Term Frequency: 2         
Term: improving                      Term Frequency: 2         
Term: leads                          Term Frequency: 2         
Term: continuously                   Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: outside                        Term Frequency: 2         
Term: prove                          Term Frequency: 2         
Term: systems                        Term Frequency: 2         
Term: needs                          Term Frequency: 2         
Term: patterns                       Term Frequency: 2         
Term: ntu.edu.sg                     Term Frequency: 2         
Term: ability                        Term Frequency: 2         
Term: indications                    Term Frequency: 2         
Term: recent                         Term Frequency: 2         
Term: them                           Term Frequency: 2         
Term: seek                           Term Frequency: 2         
Term: seen                           Term Frequency: 2         
Term: analyzes                       Term Frequency: 2         
Term: previous                       Term Frequency: 2         
Term: terms                          Term Frequency: 2         
Term: transformation                 Term Frequency: 2         
Term: addressed                      Term Frequency: 2         
Term: engaging                       Term Frequency: 2         
Term: continual                      Term Frequency: 2         
Term: weekly                         Term Frequency: 2         
Term: sets                           Term Frequency: 2         
Term: timeline                       Term Frequency: 2         
Term: novel                          Term Frequency: 2         
Term: considered                     Term Frequency: 2         
Term: analyze                        Term Frequency: 2         
Term: earlier                        Term Frequency: 2         
Term: basic                          Term Frequency: 2         
Term: encyclopedia                   Term Frequency: 2         
Term: yet                            Term Frequency: 2         
Term: applications                   Term Frequency: 2         
Term: dimension                      Term Frequency: 2         
Term: count                          Term Frequency: 2         
Term: tracking                       Term Frequency: 2         
Term: action                         Term Frequency: 2         
Term: gauge                          Term Frequency: 2         
Term: explored                       Term Frequency: 2         
Term: fade                           Term Frequency: 2         
Term: thorough                       Term Frequency: 2         
Term: face                           Term Frequency: 2         
Term: finding                        Term Frequency: 2         
Term: detect                         Term Frequency: 2         
Term: explains                       Term Frequency: 2         
Term: clearly                        Term Frequency: 2         
Term: graduate                       Term Frequency: 2         
Term: indicators                     Term Frequency: 2         
Term: weeks                          Term Frequency: 2         
Term: searching                      Term Frequency: 2         
Term: choose                         Term Frequency: 2         
Term: betweenness                    Term Frequency: 2         
Term: read                           Term Frequency: 2         
Term: construction                   Term Frequency: 2         
Term: challenging                    Term Frequency: 2         
Term: repeated                       Term Frequency: 2         
Term: debate                         Term Frequency: 2         
Term: either                         Term Frequency: 2         
Term: adequately                     Term Frequency: 2         
Term: indicate                       Term Frequency: 2         
Term: parts                          Term Frequency: 2         
Term: disruptive                     Term Frequency: 2         
Term: views                          Term Frequency: 2         
Term: attracted                      Term Frequency: 2         
Term: report                         Term Frequency: 2         
Term: interesting                    Term Frequency: 2         
Term: acknowledge                    Term Frequency: 2         
Term: descriptive                    Term Frequency: 2         
Term: exhibit                        Term Frequency: 2         
Term: transpire                      Term Frequency: 2         
Term: key                            Term Frequency: 2         
Term: initiation                     Term Frequency: 2         
Term: graphical                      Term Frequency: 2         
Term: exhibited                      Term Frequency: 2         
Term: lead                           Term Frequency: 2         
Term: week                           Term Frequency: 2         
Term: computing                      Term Frequency: 2         
Term: limited                        Term Frequency: 2         
Term: bipartite                      Term Frequency: 2         
Term: address                        Term Frequency: 2         
Term: beliefs                        Term Frequency: 2         
Term: consisting                     Term Frequency: 2         
Term: communities                    Term Frequency: 2         
Term: less                           Term Frequency: 2         
Term: teacher                        Term Frequency: 2         
Term: similarly                      Term Frequency: 2         
Term: lengthy                        Term Frequency: 2         
Term: dataset                        Term Frequency: 2         
Term: principle                      Term Frequency: 2         
Term: involved                       Term Frequency: 2         
Term: full                           Term Frequency: 2         
Term: aspects                        Term Frequency: 2         
Term: interactive                    Term Frequency: 2         
Term: means                          Term Frequency: 2         
Term: experience                     Term Frequency: 2         
Term: obtain                         Term Frequency: 2         
Term: particular                     Term Frequency: 2         
Term: fuzzy                          Term Frequency: 2         
Term: seeking                        Term Frequency: 2         
Term: evolved                        Term Frequency: 2         
Term: assigned                       Term Frequency: 2         
Term: emergence                      Term Frequency: 2         
Term: syllabus                       Term Frequency: 2         
Term: down                           Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: interpret                      Term Frequency: 2         
Term: juncture                       Term Frequency: 2         
Term: authentic                      Term Frequency: 2         
Term: above                          Term Frequency: 2         
Term: appear                         Term Frequency: 2         
Term: allow                          Term Frequency: 2         
Term: naturally                      Term Frequency: 2         
Term: axis                           Term Frequency: 2         
Term: discover                       Term Frequency: 2         
Term: sequence                       Term Frequency: 2         
Term: variable                       Term Frequency: 2         
Term: because                        Term Frequency: 2         
Term: contains                       Term Frequency: 2         
Term: highlighted                    Term Frequency: 2         
Term: intentions                     Term Frequency: 2         
Term: detected                       Term Frequency: 2         
Term: relevancy                      Term Frequency: 2         
Term: indicates                      Term Frequency: 2         
Term: scaled                         Term Frequency: 2         
Term: influenced                     Term Frequency: 2         
Term: engage                         Term Frequency: 2         
Term: professional                   Term Frequency: 2         
Term: models                         Term Frequency: 2         
Term: rise                           Term Frequency: 2         
Term: refers                         Term Frequency: 2         
Term: alone                          Term Frequency: 2         
Term: approaches                     Term Frequency: 2         
Term: contained                      Term Frequency: 2         
Term: essential                      Term Frequency: 2         
Term: scalable                       Term Frequency: 2         
Term: class                          Term Frequency: 2         
Term: practice                       Term Frequency: 2         
Term: delayed                        Term Frequency: 2         
Term: encouraging                    Term Frequency: 2         
Term: resulting                      Term Frequency: 2         
Term: exploring                      Term Frequency: 2         
Term: cognitive                      Term Frequency: 2         
Term: ensure                         Term Frequency: 2         
Term: software                       Term Frequency: 2         
Term: displays                       Term Frequency: 2         
Term: exist                          Term Frequency: 2         
Term: own                            Term Frequency: 2         
Term: proposed                       Term Frequency: 2         
Term: groups                         Term Frequency: 2         
Term: combined                       Term Frequency: 2         
Term: discuss                        Term Frequency: 2         
Term: analyses                       Term Frequency: 2         
Term: perform                        Term Frequency: 2         
Term: service                        Term Frequency: 2         
Term: engaged                        Term Frequency: 2         
Term: attributes                     Term Frequency: 2         
Term: environments                   Term Frequency: 2         
Term: manner                         Term Frequency: 2         
Term: represents                     Term Frequency: 2         
Term: displayed                      Term Frequency: 2         
Term: actions                        Term Frequency: 2         
Term: pre                            Term Frequency: 2         
Term: insufficient                   Term Frequency: 2         
Term: major                          Term Frequency: 2         
Term: classify                       Term Frequency: 2         
Term: general                        Term Frequency: 2         
Term: mostly                         Term Frequency: 2         
Term: prior                          Term Frequency: 2         
Term: relatively                     Term Frequency: 2         
Term: some                           Term Frequency: 2         
Term: additional                     Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: 2009                           Term Frequency: 2         
Term: 2007                           Term Frequency: 2         
Term: 2004                           Term Frequency: 2         
Term: 2002                           Term Frequency: 2         
Term: 2017                           Term Frequency: 2         
Term: 2016                           Term Frequency: 2         
Term: 2015                           Term Frequency: 2         
Term: 2013                           Term Frequency: 2         
Term: together                       Term Frequency: 2         
Term: abundance                      Term Frequency: 2         
Term: measurements                   Term Frequency: 2         
Term: impacted                       Term Frequency: 2         
Term: analysts                       Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: dependent                      Term Frequency: 2         
Term: focusing                       Term Frequency: 2         
Term: itself                         Term Frequency: 2         
Term: trace                          Term Frequency: 2         
Term: algorithm                      Term Frequency: 2         
Term: system                         Term Frequency: 2         
Term: future                         Term Frequency: 2         
Term: affordances                    Term Frequency: 2         
Term: increased                      Term Frequency: 2         
Term: instructional                  Term Frequency: 2         
Term: theories                       Term Frequency: 2         
Term: view                           Term Frequency: 2         
Term: restricted                     Term Frequency: 2         
Term: collected                      Term Frequency: 2         
Term: broad                          Term Frequency: 2         
Term: case                           Term Frequency: 2         
Term: connections                    Term Frequency: 2         
Term: factual                        Term Frequency: 2         
Term: amount                         Term Frequency: 2         
Term: responsibility                 Term Frequency: 2         
Term: segmentation                   Term Frequency: 2         
Term: set                            Term Frequency: 2         
Term: little                         Term Frequency: 2         
Term: practical                      Term Frequency: 2         
Term: advanced                       Term Frequency: 2         
Term: invoke                         Term Frequency: 2         
Term: improved                       Term Frequency: 2         
Term: advances                       Term Frequency: 2         
Term: model                          Term Frequency: 2         
Term: change                         Term Frequency: 2         
Term: behind                         Term Frequency: 2         
Term: dynamics                       Term Frequency: 2         
Term: encouraged                     Term Frequency: 2         
Term: 151                            Term Frequency: 2         
Term: generate                       Term Frequency: 2         
Term: unbiased                       Term Frequency: 2         
Term: range                          Term Frequency: 2         
Term: filter                         Term Frequency: 2         
Term: pick                           Term Frequency: 1         
Term: same                           Term Frequency: 1         
Term: humanities                     Term Frequency: 1         
Term: visualizing                    Term Frequency: 1         
Term: x                              Term Frequency: 1         
Term: blogs                          Term Frequency: 1         
Term: predicted                      Term Frequency: 1         
Term: peer’s                         Term Frequency: 1         
Term: neural                         Term Frequency: 1         
Term: representation                 Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: better                         Term Frequency: 1         
Term: suitable                       Term Frequency: 1         
Term: robustly                       Term Frequency: 1         
Term: flow                           Term Frequency: 1         
Term: order                          Term Frequency: 1         
Term: illustrated                    Term Frequency: 1         
Term: too                            Term Frequency: 1         
Term: casting                        Term Frequency: 1         
Term: implications                   Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: regard                         Term Frequency: 1         
Term: 2.3                            Term Frequency: 1         
Term: 2.4                            Term Frequency: 1         
Term: try                            Term Frequency: 1         
Term: 209                            Term Frequency: 1         
Term: 213                            Term Frequency: 1         
Term: 215                            Term Frequency: 1         
Term: 219                            Term Frequency: 1         
Term: activities                     Term Frequency: 1         
Term: incident                       Term Frequency: 1         
Term: worked                         Term Frequency: 1         
Term: 246                            Term Frequency: 1         
Term: creating                       Term Frequency: 1         
Term: moment                         Term Frequency: 1         
Term: 257                            Term Frequency: 1         
Term: reported                       Term Frequency: 1         
Term: team                           Term Frequency: 1         
Term: 269                            Term Frequency: 1         
Term: tedious                        Term Frequency: 1         
Term: reflecting                     Term Frequency: 1         
Term: participant                    Term Frequency: 1         
Term: 273                            Term Frequency: 1         
Term: 274                            Term Frequency: 1         
Term: paying                         Term Frequency: 1         
Term: actual                         Term Frequency: 1         
Term: construed                      Term Frequency: 1         
Term: hours                          Term Frequency: 1         
Term: short                          Term Frequency: 1         
Term: measured                       Term Frequency: 1         
Term: creative                       Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: manners                        Term Frequency: 1         
Term: performed                      Term Frequency: 1         
Term: possession                     Term Frequency: 1         
Term: shows                          Term Frequency: 1         
Term: format                         Term Frequency: 1         
Term: boards                         Term Frequency: 1         
Term: thesaurus                      Term Frequency: 1         
Term: threads                        Term Frequency: 1         
Term: build                          Term Frequency: 1         
Term: viewing                        Term Frequency: 1         
Term: nascent                        Term Frequency: 1         
Term: linkage                        Term Frequency: 1         
Term: distinctive                    Term Frequency: 1         
Term: right                          Term Frequency: 1         
Term: constrained                    Term Frequency: 1         
Term: philosophically                Term Frequency: 1         
Term: complicated                    Term Frequency: 1         
Term: under                          Term Frequency: 1         
Term: did                            Term Frequency: 1         
Term: retrieved                      Term Frequency: 1         
Term: possibly                       Term Frequency: 1         
Term: journey                        Term Frequency: 1         
Term: back                           Term Frequency: 1         
