Term: reading                        Term Frequency: 218       
Term: 4                              Term Frequency: 17        
Term: averaged                       Term Frequency: 17        
Term: parents                        Term Frequency: 17        
Term: were                           Term Frequency: 17        
Term: within                         Term Frequency: 17        
Term: table                          Term Frequency: 17        
Term: p                              Term Frequency: 16        
Term: 50                             Term Frequency: 16        
Term: has                            Term Frequency: 16        
Term: hypothesis                     Term Frequency: 16        
Term: effects                        Term Frequency: 16        
Term: teachers                       Term Frequency: 16        
Term: also                           Term Frequency: 16        
Term: them                           Term Frequency: 15        
Term: her                            Term Frequency: 15        
Term: social                         Term Frequency: 15        
Term: instruction                    Term Frequency: 15        
Term: 0.00                           Term Frequency: 14        
Term: differences                    Term Frequency: 14        
Term: self                           Term Frequency: 14        
Term: less                           Term Frequency: 14        
Term: together                       Term Frequency: 14        
Term: 35                             Term Frequency: 13        
Term: countries                      Term Frequency: 13        
Term: ability                        Term Frequency: 13        
Term: which                          Term Frequency: 12        
Term: significant                    Term Frequency: 12        
Term: capital                        Term Frequency: 12        
Term: each                           Term Frequency: 12        
Term: toward                         Term Frequency: 12        
Term: non                            Term Frequency: 12        
Term: 6                              Term Frequency: 11        
Term: result                         Term Frequency: 11        
Term: better                         Term Frequency: 11        
Term: concept                        Term Frequency: 11        
Term: likely                         Term Frequency: 11        
Term: diverse                        Term Frequency: 11        
Term: streamed                       Term Frequency: 11        
Term: level                          Term Frequency: 11        
Term: levels                         Term Frequency: 11        
Term: benefits                       Term Frequency: 11        
Term: both                           Term Frequency: 11        
Term: 18                             Term Frequency: 10        
Term: inequality                     Term Frequency: 10        
Term: supporting                     Term Frequency: 10        
Term: whether                        Term Frequency: 10        
Term: time                           Term Frequency: 10        
Term: his                            Term Frequency: 10        
Term: data                           Term Frequency: 10        
Term: groups                         Term Frequency: 10        
Term: per                            Term Frequency: 10        
Term: all                            Term Frequency: 10        
Term: compared                       Term Frequency: 10        
Term: 5                              Term Frequency: 9         
Term: b                              Term Frequency: 9         
Term: exceeded                       Term Frequency: 9         
Term: highest                        Term Frequency: 9         
Term: gender                         Term Frequency: 9         
Term: student’s                      Term Frequency: 9         
Term: subsamples                     Term Frequency: 9         
Term: homophily                      Term Frequency: 9         
Term: effect                         Term Frequency: 9         
Term: who                            Term Frequency: 9         
Term: do                             Term Frequency: 9         
Term: had                            Term Frequency: 9         
Term: first                          Term Frequency: 9         
Term: hence                          Term Frequency: 9         
Term: ideas                          Term Frequency: 9         
Term: above                          Term Frequency: 9         
Term: research                       Term Frequency: 9         
Term: accounted                      Term Frequency: 9         
Term: psychology                     Term Frequency: 9         
Term: linear                         Term Frequency: 9         
Term: group                          Term Frequency: 9         
Term: some                           Term Frequency: 9         
Term: experiences                    Term Frequency: 9         
Term: 1.00                           Term Frequency: 9         
Term: diversity                      Term Frequency: 9         
Term: e.g                            Term Frequency: 8         
Term: top                            Term Frequency: 8         
Term: capita                         Term Frequency: 8         
Term: two                            Term Frequency: 8         
Term: benefit                        Term Frequency: 8         
Term: many                           Term Frequency: 8         
Term: study                          Term Frequency: 8         
Term: standard                       Term Frequency: 8         
Term: opportunities                  Term Frequency: 8         
Term: however                        Term Frequency: 8         
Term: between                        Term Frequency: 8         
Term: competences                    Term Frequency: 8         
Term: improve                        Term Frequency: 8         
Term: reliability                    Term Frequency: 8         
Term: variable                       Term Frequency: 8         
Term: new                            Term Frequency: 8         
Term: analyses                       Term Frequency: 8         
Term: positive                       Term Frequency: 8         
Term: grade                          Term Frequency: 8         
Term: relations                      Term Frequency: 8         
Term: view                           Term Frequency: 8         
Term: model                          Term Frequency: 8         
Term: 100                            Term Frequency: 8         
Term: 8                              Term Frequency: 7         
Term: same                           Term Frequency: 7         
Term: i                              Term Frequency: 7         
Term: r                              Term Frequency: 7         
Term: s                              Term Frequency: 7         
Term: 0.37                           Term Frequency: 7         
Term: 29                             Term Frequency: 7         
Term: 40                             Term Frequency: 7         
Term: lowest                         Term Frequency: 7         
Term: economic                       Term Frequency: 7         
Term: systems                        Term Frequency: 7         
Term: families                       Term Frequency: 7         
Term: so                             Term Frequency: 7         
Term: vs                             Term Frequency: 7         
Term: consistent                     Term Frequency: 7         
Term: related                        Term Frequency: 7         
Term: fourth                         Term Frequency: 7         
Term: only                           Term Frequency: 7         
Term: added                          Term Frequency: 7         
Term: about                          Term Frequency: 7         
Term: variances                      Term Frequency: 7         
Term: one                            Term Frequency: 7         
Term: deviations                     Term Frequency: 7         
Term: members                        Term Frequency: 7         
Term: cultural                       Term Frequency: 7         
Term: children                       Term Frequency: 7         
Term: k                              Term Frequency: 6         
Term: grouping                       Term Frequency: 6         
Term: 0.12                           Term Frequency: 6         
Term: status                         Term Frequency: 6         
Term: 13                             Term Frequency: 6         
Term: 14                             Term Frequency: 6         
Term: 17                             Term Frequency: 6         
Term: customization                  Term Frequency: 6         
Term: share                          Term Frequency: 6         
Term: sharing                        Term Frequency: 6         
Term: second                         Term Frequency: 6         
Term: suggesting                     Term Frequency: 6         
Term: create                         Term Frequency: 6         
Term: extra                          Term Frequency: 6         
Term: point                          Term Frequency: 6         
Term: international                  Term Frequency: 6         
Term: showed                         Term Frequency: 6         
Term: income                         Term Frequency: 6         
Term: scores                         Term Frequency: 6         
Term: others                         Term Frequency: 6         
Term: overall                        Term Frequency: 6         
Term: log                            Term Frequency: 6         
Term: mismatch                       Term Frequency: 6         
Term: books                          Term Frequency: 6         
Term: cognitive                      Term Frequency: 6         
Term: violence                       Term Frequency: 6         
Term: 2003                           Term Frequency: 6         
Term: 2013                           Term Frequency: 6         
Term: streaming                      Term Frequency: 6         
Term: through                        Term Frequency: 6         
Term: behaviors                      Term Frequency: 6         
Term: 0                              Term Frequency: 5         
Term: 7                              Term Frequency: 5         
Term: information                    Term Frequency: 5         
Term: term                           Term Frequency: 5         
Term: test                           Term Frequency: 5         
Term: 0.30                           Term Frequency: 5         
Term: helping                        Term Frequency: 5         
Term: 0.63                           Term Frequency: 5         
Term: 0.61                           Term Frequency: 5         
Term: use                            Term Frequency: 5         
Term: work                           Term Frequency: 5         
Term: instead                        Term Frequency: 5         
Term: links                          Term Frequency: 5         
Term: contrast                       Term Frequency: 5         
Term: me                             Term Frequency: 5         
Term: course                         Term Frequency: 5         
Term: without                        Term Frequency: 5         
Term: much                           Term Frequency: 5         
Term: assimilation                   Term Frequency: 5         
Term: values                         Term Frequency: 5         
Term: how                            Term Frequency: 5         
Term: based                          Term Frequency: 5         
Term: thereby                        Term Frequency: 5         
Term: tracked                        Term Frequency: 5         
Term: its                            Term Frequency: 5         
Term: variation                      Term Frequency: 5         
Term: yield                          Term Frequency: 5         
Term: disagreements                  Term Frequency: 5         
Term: differ                         Term Frequency: 5         
Term: customized                     Term Frequency: 5         
Term: mechanisms                     Term Frequency: 5         
Term: studies                        Term Frequency: 5         
Term: bias                           Term Frequency: 5         
Term: motivation                     Term Frequency: 5         
Term: rather                         Term Frequency: 5         
Term: human                          Term Frequency: 5         
Term: 208,057                        Term Frequency: 5         
Term: shared                         Term Frequency: 5         
Term: female                         Term Frequency: 5         
Term: multilevel                     Term Frequency: 5         
Term: give                           Term Frequency: 5         
Term: own                            Term Frequency: 5         
Term: discuss                        Term Frequency: 5         
Term: knowledge                      Term Frequency: 5         
Term: bottom                         Term Frequency: 5         
Term: performance                    Term Frequency: 5         
Term: reduce                         Term Frequency: 5         
Term: review                         Term Frequency: 5         
Term: suggest                        Term Frequency: 5         
Term: y                              Term Frequency: 4         
Term: propose                        Term Frequency: 4         
Term: mixing                         Term Frequency: 4         
Term: impact                         Term Frequency: 4         
Term: maximum                        Term Frequency: 4         
Term: 0.64                           Term Frequency: 4         
Term: yielded                        Term Frequency: 4         
Term: curve                          Term Frequency: 4         
Term: 0.87                           Term Frequency: 4         
Term: included                       Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: 19                             Term Frequency: 4         
Term: 21                             Term Frequency: 4         
Term: examine                        Term Frequency: 4         
Term: 33                             Term Frequency: 4         
Term: 34                             Term Frequency: 4         
Term: 41                             Term Frequency: 4         
Term: 45                             Term Frequency: 4         
Term: 58                             Term Frequency: 4         
Term: 4a                             Term Frequency: 4         
Term: financial                      Term Frequency: 4         
Term: skills                         Term Frequency: 4         
Term: another                        Term Frequency: 4         
Term: attention                      Term Frequency: 4         
Term: norms                          Term Frequency: 4         
Term: up                             Term Frequency: 4         
Term: classroom                      Term Frequency: 4         
Term: classmate’s                    Term Frequency: 4         
Term: effort                         Term Frequency: 4         
Term: regression                     Term Frequency: 4         
Term: homework                       Term Frequency: 4         
Term: culture                        Term Frequency: 4         
Term: percentile                     Term Frequency: 4         
Term: those                          Term Frequency: 4         
Term: show                           Term Frequency: 4         
Term: explanatory                    Term Frequency: 4         
Term: directly                       Term Frequency: 4         
Term: total                          Term Frequency: 4         
Term: especially                     Term Frequency: 4         
Term: ones                           Term Frequency: 4         
Term: following                      Term Frequency: 4         
Term: example                        Term Frequency: 4         
Term: applied                        Term Frequency: 4         
Term: comparison                     Term Frequency: 4         
Term: does                           Term Frequency: 4         
Term: primary                        Term Frequency: 4         
Term: teaching                       Term Frequency: 4         
Term: may                            Term Frequency: 4         
Term: sections                       Term Frequency: 4         
Term: among                          Term Frequency: 4         
Term: expectations                   Term Frequency: 4         
Term: very                           Term Frequency: 4         
Term: generally                      Term Frequency: 4         
Term: superior                       Term Frequency: 4         
Term: samples                        Term Frequency: 4         
Term: development                    Term Frequency: 4         
Term: link                           Term Frequency: 4         
Term: compete                        Term Frequency: 4         
Term: 2001                           Term Frequency: 4         
Term: 2007                           Term Frequency: 4         
Term: 50050100150200                 Term Frequency: 4         
Term: reference                      Term Frequency: 4         
Term: track                          Term Frequency: 4         
Term: increases                      Term Frequency: 4         
Term: affect                         Term Frequency: 4         
Term: explained                      Term Frequency: 4         
Term: over                           Term Frequency: 4         
Term: several                        Term Frequency: 4         
Term: principals                     Term Frequency: 4         
Term: sub                            Term Frequency: 4         
Term: provides                       Term Frequency: 3         
Term: socio                          Term Frequency: 3         
Term: memory                         Term Frequency: 3         
Term: competence                     Term Frequency: 3         
Term: tend                           Term Frequency: 3         
Term: methodology                    Term Frequency: 3         
Term: 0.29                           Term Frequency: 3         
Term: load                           Term Frequency: 3         
Term: 0.43                           Term Frequency: 3         
Term: 0.53                           Term Frequency: 3         
Term: 0.80                           Term Frequency: 3         
Term: due                            Term Frequency: 3         
Term: 11                             Term Frequency: 3         
Term: 12                             Term Frequency: 3         
Term: 16                             Term Frequency: 3         
Term: 25                             Term Frequency: 3         
Term: 26                             Term Frequency: 3         
Term: 27                             Term Frequency: 3         
Term: 30                             Term Frequency: 3         
Term: 36                             Term Frequency: 3         
Term: 2a                             Term Frequency: 3         
Term: 2b                             Term Frequency: 3         
Term: 2c                             Term Frequency: 3         
Term: 42                             Term Frequency: 3         
Term: 4b                             Term Frequency: 3         
Term: 4c                             Term Frequency: 3         
Term: theory                         Term Frequency: 3         
Term: environment                    Term Frequency: 3         
Term: etc                            Term Frequency: 3         
Term: below                          Term Frequency: 3         
Term: achievements                   Term Frequency: 3         
Term: receiving                      Term Frequency: 3         
Term: statistics                     Term Frequency: 3         
Term: parent                         Term Frequency: 3         
Term: perhaps                        Term Frequency: 3         
Term: suggests                       Term Frequency: 3         
Term: re                             Term Frequency: 3         
Term: beyond                         Term Frequency: 3         
Term: factors                        Term Frequency: 3         
Term: contrasting                    Term Frequency: 3         
Term: marginal                       Term Frequency: 3         
Term: focus                          Term Frequency: 3         
Term: analyze                        Term Frequency: 3         
Term: early                          Term Frequency: 3         
Term: before                         Term Frequency: 3         
Term: limitations                    Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: read                           Term Frequency: 3         
Term: using                          Term Frequency: 3         
Term: helpful                        Term Frequency: 3         
Term: influence                      Term Frequency: 3         
Term: benefited                      Term Frequency: 3         
Term: views                          Term Frequency: 3         
Term: world                          Term Frequency: 3         
Term: indirectly                     Term Frequency: 3         
Term: extreme                        Term Frequency: 3         
Term: types                          Term Frequency: 3         
Term: policy                         Term Frequency: 3         
Term: function                       Term Frequency: 3         
Term: differs                        Term Frequency: 3         
Term: labels                         Term Frequency: 3         
Term: labeled                        Term Frequency: 3         
Term: computer                       Term Frequency: 3         
Term: mathematics                    Term Frequency: 3         
Term: whose                          Term Frequency: 3         
Term: richer                         Term Frequency: 3         
Term: because                        Term Frequency: 3         
Term: assigning                      Term Frequency: 3         
Term: returns                        Term Frequency: 3         
Term: specific                       Term Frequency: 3         
Term: depends                        Term Frequency: 3         
Term: otherwise                      Term Frequency: 3         
Term: diminishing                    Term Frequency: 3         
Term: turning                        Term Frequency: 3         
Term: customize                      Term Frequency: 3         
Term: index                          Term Frequency: 3         
Term: 2.54                           Term Frequency: 3         
Term: support                        Term Frequency: 3         
Term: distribution                   Term Frequency: 3         
Term: academically                   Term Frequency: 3         
Term: explanation                    Term Frequency: 3         
Term: working                        Term Frequency: 3         
Term: recognize                      Term Frequency: 3         
Term: giving                         Term Frequency: 3         
Term: 2010                           Term Frequency: 3         
Term: primarily                      Term Frequency: 3         
Term: 2009                           Term Frequency: 3         
Term: 2008                           Term Frequency: 3         
Term: 2006                           Term Frequency: 3         
Term: five                           Term Frequency: 3         
Term: summary                        Term Frequency: 3         
Term: focusing                       Term Frequency: 3         
Term: interact                       Term Frequency: 3         
Term: 1.19                           Term Frequency: 3         
Term: 1.15                           Term Frequency: 3         
Term: aid                            Term Frequency: 3         
Term: 1.51                           Term Frequency: 3         
Term: 1.90                           Term Frequency: 3         
Term: six                            Term Frequency: 3         
Term: extremes                       Term Frequency: 3         
Term: lessons                        Term Frequency: 3         
Term: normal                         Term Frequency: 3         
Term: range                          Term Frequency: 3         
Term: 9                              Term Frequency: 2         
Term: hand                           Term Frequency: 2         
Term: eijk                           Term Frequency: 2         
Term: 500501001502000                Term Frequency: 2         
Term: intellectual                   Term Frequency: 2         
Term: 2.0                            Term Frequency: 2         
Term: representative                 Term Frequency: 2         
Term: effective                      Term Frequency: 2         
Term: unfamiliar                     Term Frequency: 2         
Term: team                           Term Frequency: 2         
Term: domestic                       Term Frequency: 2         
Term: recipient                      Term Frequency: 2         
Term: requires                       Term Frequency: 2         
Term: latter’s                       Term Frequency: 2         
Term: further                        Term Frequency: 2         
Term: unlike                         Term Frequency: 2         
Term: 0.01                           Term Frequency: 2         
Term: possible                       Term Frequency: 2         
Term: 0.11                           Term Frequency: 2         
Term: 0.09                           Term Frequency: 2         
Term: 0.05                           Term Frequency: 2         
Term: 0.03                           Term Frequency: 2         
Term: 0.15                           Term Frequency: 2         
Term: 0.28                           Term Frequency: 2         
Term: 0.42                           Term Frequency: 2         
Term: 0.39                           Term Frequency: 2         
Term: 0.35                           Term Frequency: 2         
Term: showing                        Term Frequency: 2         
Term: 0.50                           Term Frequency: 2         
Term: 0.48                           Term Frequency: 2         
Term: 0.49                           Term Frequency: 2         
Term: 0.62                           Term Frequency: 2         
Term: 0.57                           Term Frequency: 2         
Term: operates                       Term Frequency: 2         
Term: 0.73                           Term Frequency: 2         
Term: 0.69                           Term Frequency: 2         
Term: 0.89                           Term Frequency: 2         
Term: 0.82                           Term Frequency: 2         
Term: 0.93                           Term Frequency: 2         
Term: 0.94                           Term Frequency: 2         
Term: 01                             Term Frequency: 2         
Term: 05                             Term Frequency: 2         
Term: enacting                       Term Frequency: 2         
Term: interpretations                Term Frequency: 2         
Term: male                           Term Frequency: 2         
Term: 22                             Term Frequency: 2         
Term: 23                             Term Frequency: 2         
Term: 24                             Term Frequency: 2         
Term: 28                             Term Frequency: 2         
Term: long                           Term Frequency: 2         
Term: 31                             Term Frequency: 2         
Term: 32                             Term Frequency: 2         
Term: 38                             Term Frequency: 2         
Term: 39                             Term Frequency: 2         
Term: 43                             Term Frequency: 2         
Term: themselves                     Term Frequency: 2         
Term: 75                             Term Frequency: 2         
Term: 10.1145                        Term Frequency: 2         
Term: least                          Term Frequency: 2         
Term: assessment                     Term Frequency: 2         
Term: tests                          Term Frequency: 2         
Term: schoolmates                    Term Frequency: 2         
Term: demoralize                     Term Frequency: 2         
Term: 496                            Term Frequency: 2         
Term: 5.29                           Term Frequency: 2         
Term: climate                        Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: elementary                     Term Frequency: 2         
Term: achievement2                   Term Frequency: 2         
Term: creativity                     Term Frequency: 2         
Term: needs                          Term Frequency: 2         
Term: relationships                  Term Frequency: 2         
Term: context                        Term Frequency: 2         
Term: grades                         Term Frequency: 2         
Term: graded                         Term Frequency: 2         
Term: 541                            Term Frequency: 2         
Term: sufficient                     Term Frequency: 2         
Term: mixed                          Term Frequency: 2         
Term: pp                             Term Frequency: 2         
Term: extremely                      Term Frequency: 2         
Term: teach                          Term Frequency: 2         
Term: yielding                       Term Frequency: 2         
Term: residuals                      Term Frequency: 2         
Term: educators                      Term Frequency: 2         
Term: sets                           Term Frequency: 2         
Term: correct                        Term Frequency: 2         
Term: standardized                   Term Frequency: 2         
Term: econometrics                   Term Frequency: 2         
Term: understand                     Term Frequency: 2         
Term: harmful                        Term Frequency: 2         
Term: policies                       Term Frequency: 2         
Term: arrangements                   Term Frequency: 2         
Term: dx.doi.org                     Term Frequency: 2         
Term: measure                        Term Frequency: 2         
Term: stronger                       Term Frequency: 2         
Term: initially                      Term Frequency: 2         
Term: observing                      Term Frequency: 2         
Term: multi                          Term Frequency: 2         
Term: ways                           Term Frequency: 2         
Term: alphabet                       Term Frequency: 2         
Term: nonlinear                      Term Frequency: 2         
Term: acting                         Term Frequency: 2         
Term: reflect                        Term Frequency: 2         
Term: ratio                          Term Frequency: 2         
Term: 4.59                           Term Frequency: 2         
Term: characteristics                Term Frequency: 2         
Term: competing                      Term Frequency: 2         
Term: abstract                       Term Frequency: 2         
Term: groupmates                     Term Frequency: 2         
Term: growth                         Term Frequency: 2         
Term: achievers                      Term Frequency: 2         
Term: hypotheses                     Term Frequency: 2         
Term: curriculum                     Term Frequency: 2         
Term: differed                       Term Frequency: 2         
Term: minute                         Term Frequency: 2         
Term: annual                         Term Frequency: 2         
Term: completed                      Term Frequency: 2         
Term: similarities                   Term Frequency: 2         
Term: either                         Term Frequency: 2         
Term: national                       Term Frequency: 2         
Term: words                          Term Frequency: 2         
Term: difficulties                   Term Frequency: 2         
Term: helps                          Term Frequency: 2         
Term: report                         Term Frequency: 2         
Term: subsample                      Term Frequency: 2         
Term: available                      Term Frequency: 2         
Term: graphs                         Term Frequency: 2         
Term: allocation                     Term Frequency: 2         
Term: comparative                    Term Frequency: 2         
Term: regular                        Term Frequency: 2         
Term: country's                      Term Frequency: 2         
Term: reads                          Term Frequency: 2         
Term: size                           Term Frequency: 2         
Term: statistical                    Term Frequency: 2         
Term: product                        Term Frequency: 2         
Term: nested                         Term Frequency: 2         
Term: 3.17                           Term Frequency: 2         
Term: quiz                           Term Frequency: 2         
Term: equal                          Term Frequency: 2         
Term: demoralization                 Term Frequency: 2         
Term: omitted                        Term Frequency: 2         
Term: outgroup                       Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: literacy                       Term Frequency: 2         
Term: prophecies                     Term Frequency: 2         
Term: components                     Term Frequency: 2         
Term: mom                            Term Frequency: 2         
Term: still                          Term Frequency: 2         
Term: include                        Term Frequency: 2         
Term: science                        Term Frequency: 2         
Term: materials                      Term Frequency: 2         
Term: indicates                      Term Frequency: 2         
Term: direct                         Term Frequency: 2         
Term: alone                          Term Frequency: 2         
Term: harming                        Term Frequency: 2         
Term: uses                           Term Frequency: 2         
Term: ingroup                        Term Frequency: 2         
Term: 2.09                           Term Frequency: 2         
Term: 2.18                           Term Frequency: 2         
Term: 2.49                           Term Frequency: 2         
Term: variety                        Term Frequency: 2         
Term: cases                          Term Frequency: 2         
Term: minimum                        Term Frequency: 2         
Term: consequences                   Term Frequency: 2         
Term: cost                           Term Frequency: 2         
Term: stories                        Term Frequency: 2         
Term: functions                      Term Frequency: 2         
Term: analysis                       Term Frequency: 2         
Term: blue                           Term Frequency: 2         
Term: child                          Term Frequency: 2         
Term: even                           Term Frequency: 2         
Term: peer                           Term Frequency: 2         
Term: environments                   Term Frequency: 2         
Term: comparisons                    Term Frequency: 2         
Term: receive                        Term Frequency: 2         
Term: placing                        Term Frequency: 2         
Term: curves                         Term Frequency: 2         
Term: classrooms                     Term Frequency: 2         
Term: foster                         Term Frequency: 2         
Term: gross                          Term Frequency: 2         
Term: request                        Term Frequency: 2         
Term: process                        Term Frequency: 2         
Term: fulfilling                     Term Frequency: 2         
Term: account                        Term Frequency: 2         
Term: evaluation                     Term Frequency: 2         
Term: analytic                       Term Frequency: 2         
Term: interpersonal                  Term Frequency: 2         
Term: 2011                           Term Frequency: 2         
Term: 2005                           Term Frequency: 2         
Term: 2002                           Term Frequency: 2         
Term: tracks                         Term Frequency: 2         
Term: 2017                           Term Frequency: 2         
Term: 2015                           Term Frequency: 2         
Term: 2014                           Term Frequency: 2         
Term: explain                        Term Frequency: 2         
Term: serve                          Term Frequency: 2         
Term: occur                          Term Frequency: 2         
Term: leadership                     Term Frequency: 2         
Term: people                         Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: socioeconomic                  Term Frequency: 2         
Term: 1.11                           Term Frequency: 2         
Term: smaller                        Term Frequency: 2         
Term: 1.21                           Term Frequency: 2         
Term: 1.40                           Term Frequency: 2         
Term: 1.37                           Term Frequency: 2         
Term: 1.49                           Term Frequency: 2         
Term: future                         Term Frequency: 2         
Term: 1.66                           Term Frequency: 2         
Term: 1.59                           Term Frequency: 2         
Term: 1.74                           Term Frequency: 2         
Term: 1.93                           Term Frequency: 2         
Term: 1.98                           Term Frequency: 2         
Term: 0.2                            Term Frequency: 2         
Term: 0.5                            Term Frequency: 2         
Term: sampling                       Term Frequency: 2         
Term: 000                            Term Frequency: 2         
Term: 001                            Term Frequency: 2         
Term: strength                       Term Frequency: 2         
Term: negative                       Term Frequency: 2         
Term: interactions                   Term Frequency: 2         
Term: assignment                     Term Frequency: 2         
Term: increase                       Term Frequency: 2         
Term: facing                         Term Frequency: 2         
Term: typically                      Term Frequency: 2         
Term: she                            Term Frequency: 2         
Term: constant                       Term Frequency: 2         
Term: 1.5                            Term Frequency: 2         
Term: 107                            Term Frequency: 2         
Term: 110                            Term Frequency: 2         
Term: unequal                        Term Frequency: 2         
Term: 152                            Term Frequency: 2         
Term: weaker                         Term Frequency: 2         
Term: tested                         Term Frequency: 2         
Term: quizzes                        Term Frequency: 2         
Term: 10.5                           Term Frequency: 1         
Term: squared                        Term Frequency: 1         
Term: telling                        Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: resolve                        Term Frequency: 1         
Term: harm                           Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: embody                         Term Frequency: 1         
Term: motivate                       Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: room                           Term Frequency: 1         
Term: suitable                       Term Frequency: 1         
Term: reform                         Term Frequency: 1         
Term: 1086                           Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: 2.3                            Term Frequency: 1         
Term: 2.5                            Term Frequency: 1         
Term: findings                       Term Frequency: 1         
Term: markets                        Term Frequency: 1         
Term: 200                            Term Frequency: 1         
Term: times                          Term Frequency: 1         
Term: 211                            Term Frequency: 1         
Term: 221                            Term Frequency: 1         
Term: 230                            Term Frequency: 1         
Term: state                          Term Frequency: 1         
Term: creating                       Term Frequency: 1         
Term: 1425.54                        Term Frequency: 1         
Term: 4,000                          Term Frequency: 1         
Term: reported                       Term Frequency: 1         
Term: think                          Term Frequency: 1         
Term: 279                            Term Frequency: 1         
Term: actual                         Term Frequency: 1         
Term: widely                         Term Frequency: 1         
Term: privileged                     Term Frequency: 1         
Term: opposites                      Term Frequency: 1         
Term: 291                            Term Frequency: 1         
Term: 293                            Term Frequency: 1         
Term: short                          Term Frequency: 1         
Term: consistency                    Term Frequency: 1         
Term: enter                          Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: randomly                       Term Frequency: 1         
Term: shown                          Term Frequency: 1         
Term: housework                      Term Frequency: 1         
Term: created                        Term Frequency: 1         
Term: creates                        Term Frequency: 1         
Term: average                        Term Frequency: 1         
Term: influential                    Term Frequency: 1         
Term: swjoh                          Term Frequency: 1         
Term: composition                    Term Frequency: 1         
Term: staff                          Term Frequency: 1         
Term: did                            Term Frequency: 1         
Term: 0.08                           Term Frequency: 1         
Term: 0.06                           Term Frequency: 1         
Term: later                          Term Frequency: 1         
Term: possibly                       Term Frequency: 1         
Term: learns                         Term Frequency: 1         
Term: 0.22                           Term Frequency: 1         
Term: 0.23                           Term Frequency: 1         
Term: 0.21                           Term Frequency: 1         
Term: 0.13                           Term Frequency: 1         
Term: 0.31                           Term Frequency: 1         
Term: expectation                    Term Frequency: 1         
Term: 0.24                           Term Frequency: 1         
Term: 0.45                           Term Frequency: 1         
Term: grand                          Term Frequency: 1         
Term: 0.41                           Term Frequency: 1         
Term: 0.55                           Term Frequency: 1         
Term: 0.56                           Term Frequency: 1         
Term: 0.54                           Term Frequency: 1         
Term: collinearity                   Term Frequency: 1         
Term: 0.51                           Term Frequency: 1         
Term: balance                        Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: 0.66                           Term Frequency: 1         
Term: 0.67                           Term Frequency: 1         
Term: 0.65                           Term Frequency: 1         
Term: 1191                           Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: 3.3                            Term Frequency: 1         
Term: 0.77                           Term Frequency: 1         
Term: dot                            Term Frequency: 1         
Term: 0.76                           Term Frequency: 1         
Term: 0.71                           Term Frequency: 1         
Term: stream                         Term Frequency: 1         
