Term: analytics                      Term Frequency: 37        
Term: 9                              Term Frequency: 2         
Term: role                           Term Frequency: 2         
Term: achieve                        Term Frequency: 2         
Term: example                        Term Frequency: 2         
Term: b                              Term Frequency: 2         
Term: address                        Term Frequency: 2         
Term: e                              Term Frequency: 2         
Term: institution                    Term Frequency: 2         
Term: implement                      Term Frequency: 2         
Term: protection                     Term Frequency: 2         
Term: implications                   Term Frequency: 2         
Term: authoring                      Term Frequency: 2         
Term: institutions                   Term Frequency: 2         
Term: activities                     Term Frequency: 2         
Term: each                           Term Frequency: 2         
Term: input                          Term Frequency: 2         
Term: must                           Term Frequency: 2         
Term: shaping                        Term Frequency: 2         
Term: develop                        Term Frequency: 2         
Term: aspects                        Term Frequency: 2         
Term: infrastructure                 Term Frequency: 2         
Term: three                          Term Frequency: 2         
Term: required                       Term Frequency: 2         
Term: provide                        Term Frequency: 2         
Term: ways                           Term Frequency: 2         
Term: interests                      Term Frequency: 2         
Term: process                        Term Frequency: 2         
Term: 9th                            Term Frequency: 2         
Term: questions                      Term Frequency: 2         
Term: deliverable                    Term Frequency: 2         
Term: recommendations                Term Frequency: 2         
Term: importance                     Term Frequency: 2         
Term: owner                          Term Frequency: 2         
Term: material                       Term Frequency: 2         
Term: 2014                           Term Frequency: 2         
Term: researchers                    Term Frequency: 2         
Term: topics                         Term Frequency: 2         
Term: ethical                        Term Frequency: 2         
Term: 10                             Term Frequency: 2         
Term: 11                             Term Frequency: 2         
Term: 21                             Term Frequency: 2         
Term: 23                             Term Frequency: 2         
Term: shared                         Term Frequency: 2         
Term: progress                       Term Frequency: 2         
Term: project                        Term Frequency: 2         
Term: preparation                    Term Frequency: 2         
Term: itself                         Term Frequency: 2         
Term: internal                       Term Frequency: 2         
Term: established                    Term Frequency: 2         
Term: public                         Term Frequency: 2         
Term: building                       Term Frequency: 2         
Term: educational                    Term Frequency: 2         
Term: http                           Term Frequency: 2         
Term: technical                      Term Frequency: 2         
Term: authors                        Term Frequency: 2         
Term: synthesis                      Term Frequency: 2         
Term: etc                            Term Frequency: 2         
Term: application                    Term Frequency: 2         
Term: through                        Term Frequency: 2         
Term: research                       Term Frequency: 2         
Term: issues                         Term Frequency: 2         
Term: who                            Term Frequency: 2         
Term: also                           Term Frequency: 2         
Term: griff                          Term Frequency: 2         
Term: megan                          Term Frequency: 2         
Term: enquiry                        Term Frequency: 2         
Term: readiness                      Term Frequency: 2         
Term: see                            Term Frequency: 2         
Term: set                            Term Frequency: 2         
Term: preceded                       Term Frequency: 2         
Term: related                        Term Frequency: 2         
Term: patents                        Term Frequency: 2         
Term: practice                       Term Frequency: 2         
Term: jaeho                          Term Frequency: 2         
Term: documented                     Term Frequency: 2         
Term: different                      Term Frequency: 2         
Term: level                          Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: relevant                       Term Frequency: 2         
Term: focused                        Term Frequency: 2         
Term: box                            Term Frequency: 2         
Term: www.laceproject.eu             Term Frequency: 2         
Term: dynamics                       Term Frequency: 2         
Term: conditions                     Term Frequency: 2         
Term: key                            Term Frequency: 2         
Term: commercial                     Term Frequency: 2         
Term: 163                            Term Frequency: 2         
Term: higher                         Term Frequency: 2         
Term: technology                     Term Frequency: 2         
Term: software                       Term Frequency: 2         
Term: examples                       Term Frequency: 2         
Term: only                           Term Frequency: 2         
Term: factors                        Term Frequency: 2         
Term: 0130                           Term Frequency: 1         
Term: recognized                     Term Frequency: 1         
Term: acceptability                  Term Frequency: 1         
Term: organizational                 Term Frequency: 1         
Term: i.e                            Term Frequency: 1         
Term: investment                     Term Frequency: 1         
Term: standards                      Term Frequency: 1         
Term: hiroaki.ogata                  Term Frequency: 1         
Term: procedures                     Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: 3027385.3029436                Term Frequency: 1         
Term: c                              Term Frequency: 1         
Term: beliefs                        Term Frequency: 1         
Term: information                    Term Frequency: 1         
Term: standard                       Term Frequency: 1         
Term: reports                        Term Frequency: 1         
Term: invitation                     Term Frequency: 1         
Term: contributes                    Term Frequency: 1         
Term: governmental                   Term Frequency: 1         
Term: applied                        Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: gmail.com                      Term Frequency: 1         
Term: focus                          Term Frequency: 1         
Term: approach                       Term Frequency: 1         
Term: order                          Term Frequency: 1         
Term: understand                     Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: 19072                          Term Frequency: 1         
Term: remit                          Term Frequency: 1         
Term: particularly                   Term Frequency: 1         
Term: picture                        Term Frequency: 1         
Term: framework                      Term Frequency: 1         
Term: regard                         Term Frequency: 1         
Term: measuring                      Term Frequency: 1         
Term: environments                   Term Frequency: 1         
Term: members                        Term Frequency: 1         
Term: circumstances                  Term Frequency: 1         
Term: summarizing                    Term Frequency: 1         
Term: conflicting                    Term Frequency: 1         
Term: effective                      Term Frequency: 1         
Term: followed                       Term Frequency: 1         
Term: authored                       Term Frequency: 1         
Term: led                            Term Frequency: 1         
Term: worked                         Term Frequency: 1         
Term: 239                            Term Frequency: 1         
Term: contrasted                     Term Frequency: 1         
Term: pooling                        Term Frequency: 1         
Term: creating                       Term Frequency: 1         
Term: reality                        Term Frequency: 1         
Term: document                       Term Frequency: 1         
Term: does                           Term Frequency: 1         
Term: emerging                       Term Frequency: 1         
Term: retention                      Term Frequency: 1         
Term: synthesizing                   Term Frequency: 1         
Term: participate                    Term Frequency: 1         
Term: socio                          Term Frequency: 1         
Term: extensively                    Term Frequency: 1         
Term: representatives                Term Frequency: 1         
Term: source                         Term Frequency: 1         
Term: pre                            Term Frequency: 1         
Term: reflection                     Term Frequency: 1         
Term: involves                       Term Frequency: 1         
Term: widely                         Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: documenting                    Term Frequency: 1         
Term: workshops.pdf                  Term Frequency: 1         
Term: applications                   Term Frequency: 1         
Term: regulate                       Term Frequency: 1         
Term: laws                           Term Frequency: 1         
Term: players                        Term Frequency: 1         
Term: conclusions                    Term Frequency: 1         
Term: light                          Term Frequency: 1         
Term: cetis.ac.uk                    Term Frequency: 1         
Term: bnu.edu.cn                     Term Frequency: 1         
Term: before                         Term Frequency: 1         
Term: shown                          Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: consider                       Term Frequency: 1         
Term: format                         Term Frequency: 1         
Term: formal                         Term Frequency: 1         
Term: part                           Term Frequency: 1         
Term: principal                      Term Frequency: 1         
Term: third                          Term Frequency: 1         
Term: interaction                    Term Frequency: 1         
Term: der                            Term Frequency: 1         
Term: preventing                     Term Frequency: 1         
Term: negotiated                     Term Frequency: 1         
Term: impinge                        Term Frequency: 1         
Term: bodies                         Term Frequency: 1         
Term: how                            Term Frequency: 1         
Term: capability                     Term Frequency: 1         
Term: journal                        Term Frequency: 1         
Term: term                           Term Frequency: 1         
Term: publications                   Term Frequency: 1         
Term: brings                         Term Frequency: 1         
Term: legal                          Term Frequency: 1         
Term: immediate                      Term Frequency: 1         
Term: some                           Term Frequency: 1         
Term: 2012                           Term Frequency: 1         
Term: 2006                           Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: 2013                           Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: explores                       Term Frequency: 1         
Term: together                       Term Frequency: 1         
Term: characterized                  Term Frequency: 1         
Term: may                            Term Frequency: 1         
Term: within                         Term Frequency: 1         
Term: find                           Term Frequency: 1         
Term: ideal                          Term Frequency: 1         
Term: establishment                  Term Frequency: 1         
Term: corporations                   Term Frequency: 1         
Term: labelled                       Term Frequency: 1         
Term: make                           Term Frequency: 1         
Term: timetables                     Term Frequency: 1         
Term: online                         Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: about                          Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: observed                       Term Frequency: 1         
Term: cover                          Term Frequency: 1         
Term: 13                             Term Frequency: 1         
Term: 15                             Term Frequency: 1         
Term: 19                             Term Frequency: 1         
Term: undertakes                     Term Frequency: 1         
Term: meta                           Term Frequency: 1         
Term: processing                     Term Frequency: 1         
Term: theorizing                     Term Frequency: 1         
Term: 20                             Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: examine                        Term Frequency: 1         
Term: operating                      Term Frequency: 1         
Term: variables                      Term Frequency: 1         
Term: extensive                      Term Frequency: 1         
Term: invite                         Term Frequency: 1         
Term: seeks                          Term Frequency: 1         
Term: 45                             Term Frequency: 1         
Term: collection                     Term Frequency: 1         
Term: 64                             Term Frequency: 1         
Term: common                         Term Frequency: 1         
Term: interest                       Term Frequency: 1         
Term: themselves                     Term Frequency: 1         
Term: www.jisc.ac.uk                 Term Frequency: 1         
Term: uib.no                         Term Frequency: 1         
Term: claimed                        Term Frequency: 1         
Term: fair                           Term Frequency: 1         
Term: enable                         Term Frequency: 1         
Term: van                            Term Frequency: 1         
Term: collaborative                  Term Frequency: 1         
Term: toward                         Term Frequency: 1         
Term: across                         Term Frequency: 1         
Term: federal                        Term Frequency: 1         
Term: include                        Term Frequency: 1         
Term: gathering                      Term Frequency: 1         
Term: culture                        Term Frequency: 1         
Term: cannot                         Term Frequency: 1         
Term: first                          Term Frequency: 1         
Term: prepared                       Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: reference                      Term Frequency: 1         
Term: commitment                     Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: statements                     Term Frequency: 1         
Term: prescribed                     Term Frequency: 1         
Term: paper                          Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: currently                      Term Frequency: 1         
Term: landscape                      Term Frequency: 1         
Term: hioa.no                        Term Frequency: 1         
Term: setting                        Term Frequency: 1         
Term: bolton.ac.uk                   Term Frequency: 1         
Term: surveying                      Term Frequency: 1         
Term: understanding                  Term Frequency: 1         
Term: agreement                      Term Frequency: 1         
Term: providing                      Term Frequency: 1         
Term: departments                    Term Frequency: 1         
Term: failures                       Term Frequency: 1         
Term: debates                        Term Frequency: 1         
Term: emerge                         Term Frequency: 1         
Term: often                          Term Frequency: 1         
Term: gather                         Term Frequency: 1         
Term: 7807                           Term Frequency: 1         
Term: uos.ac.kr                      Term Frequency: 1         
Term: identify                       Term Frequency: 1         
Term: agencies                       Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: system                         Term Frequency: 1         
Term: 423                            Term Frequency: 1         
Term: future                         Term Frequency: 1         
Term: 424                            Term Frequency: 1         
Term: leverage                       Term Frequency: 1         
Term: jingjing.zhang                 Term Frequency: 1         
Term: engage                         Term Frequency: 1         
Term: maintain                       Term Frequency: 1         
Term: establishing                   Term Frequency: 1         
Term: builds                         Term Frequency: 1         
Term: expected                       Term Frequency: 1         
Term: increased                      Term Frequency: 1         
Term: varying                        Term Frequency: 1         
Term: structured                     Term Frequency: 1         
Term: where                          Term Frequency: 1         
Term: scaling                        Term Frequency: 1         
Term: consensus                      Term Frequency: 1         
Term: technological                  Term Frequency: 1         
Term: understood                     Term Frequency: 1         
Term: documents                      Term Frequency: 1         
Term: view                           Term Frequency: 1         
Term: significant                    Term Frequency: 1         
Term: way                            Term Frequency: 1         
Term: detailed                       Term Frequency: 1         
Term: milestones                     Term Frequency: 1         
Term: play                           Term Frequency: 1         
Term: participating                  Term Frequency: 1         
Term: determined                     Term Frequency: 1         
Term: explicitly                     Term Frequency: 1         
Term: explore                        Term Frequency: 1         
Term: more                           Term Frequency: 1         
Term: economic                       Term Frequency: 1         
Term: fee                            Term Frequency: 1         
Term: presented                      Term Frequency: 1         
Term: both                           Term Frequency: 1         
Term: effects                        Term Frequency: 1         
Term: topic                          Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: move                           Term Frequency: 1         
Term: recommended                    Term Frequency: 1         
Term: various                        Term Frequency: 1         
Term: organizations                  Term Frequency: 1         
Term: uses                           Term Frequency: 1         
Term: fulfillment                    Term Frequency: 1         
Term: extent                         Term Frequency: 1         
Term: complex                        Term Frequency: 1         
Term: preparatory                    Term Frequency: 1         
Term: addition                       Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: globe                          Term Frequency: 1         
Term: endlessly                      Term Frequency: 1         
Term: strong                         Term Frequency: 1         
Term: 4870                           Term Frequency: 1         
Term: affect                         Term Frequency: 1         
Term: systems                        Term Frequency: 1         
Term: do                             Term Frequency: 1         
Term: contact                        Term Frequency: 1         
Term: intervenes                     Term Frequency: 1         
Term: party                          Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: specification                  Term Frequency: 1         
Term: datainteroperability.org       Term Frequency: 1         
Term: improves                       Term Frequency: 1         
Term: unaware                        Term Frequency: 1         
Term: model                          Term Frequency: 1         
Term: https                          Term Frequency: 1         
Term: become                         Term Frequency: 1         
Term: wider                          Term Frequency: 1         
Term: sphere                         Term Frequency: 1         
Term: ability                        Term Frequency: 1         
Term: implementations                Term Frequency: 1         
Term: linkages                       Term Frequency: 1         
Term: while                          Term Frequency: 1         
Term: sufficient                     Term Frequency: 1         
Term: publication                    Term Frequency: 1         
Term: restrictions                   Term Frequency: 1         
Term: workshops                      Term Frequency: 1         
Term: determine                      Term Frequency: 1         
Term: raised                         Term Frequency: 1         
Term: stakeholder                    Term Frequency: 1         
Term: objective                      Term Frequency: 1         
Term: actors                         Term Frequency: 1         
Term: starting                       Term Frequency: 1         
Term: ro                             Term Frequency: 1         
Term: delve                          Term Frequency: 1         
Term: seek                           Term Frequency: 1         
Term: extended                       Term Frequency: 1         
Term: actively                       Term Frequency: 1         
Term: one                            Term Frequency: 1         
Term: analyzed                       Term Frequency: 1         
Term: 149                            Term Frequency: 1         
Term: policymaking                   Term Frequency: 1         
Term: up                             Term Frequency: 1         
Term: degree                         Term Frequency: 1         
Term: 161                            Term Frequency: 1         
Term: 173                            Term Frequency: 1         
Term: we                             Term Frequency: 1         
Term: reading                        Term Frequency: 1         
Term: 182                            Term Frequency: 1         
Term: held                           Term Frequency: 1         
Term: frameworks                     Term Frequency: 1         
Term: comparative                    Term Frequency: 1         
Term: terms                          Term Frequency: 1         
Term: centerpiece                    Term Frequency: 1         
Term: insight                        Term Frequency: 1         
Term: out                            Term Frequency: 1         
Term: sfu.ca                         Term Frequency: 1         
Term: responses                      Term Frequency: 1         
Term: successes                      Term Frequency: 1         
Term: create                         Term Frequency: 1         
Term: consequences                   Term Frequency: 1         
Term: mechanisms                     Term Frequency: 1         
Term: individual                     Term Frequency: 1         
Term: resource                       Term Frequency: 1         
Term: constrain                      Term Frequency: 1         
Term: proposed                       Term Frequency: 1         
Term: ground                         Term Frequency: 1         
Term: studied                        Term Frequency: 1         
Term: implementation                 Term Frequency: 1         
Term: groups                         Term Frequency: 1         
Term: informal                       Term Frequency: 1         
Term: these                          Term Frequency: 0         
Term: Jacks                          Term Frequency: 0         
Term: Analysis                       Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: DELTA                          Term Frequency: 0         
Term: F                              Term Frequency: 0         
Term: G                              Term Frequency: 0         
Term: H                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: L                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: N                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: Narberth                       Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: W                              Term Frequency: 0         
Term: Workshop                       Term Frequency: 0         
Term: Social                         Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: Harris                         Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Fukuoka                        Term Frequency: 0         
Term: Cooper                         Term Frequency: 0         
Term: Ferguson                       Term Frequency: 0         
Term: Macfadyen                      Term Frequency: 0         
Term: European                       Term Frequency: 0         
Term: State                          Term Frequency: 0         
Term: Press                          Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: Report                         Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: Synthesis                      Term Frequency: 0         
Term: BL3                            Term Frequency: 0         
Term: Deliverable                    Term Frequency: 0         
Term: WORKSHOP                       Term Frequency: 0         
Term: Books                          Term Frequency: 0         
Term: Four                           Term Frequency: 0         
Term: OUTCOMES                       Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: Personalized                   Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: Public                         Term Frequency: 0         
Term: Goodin                         Term Frequency: 0         
Term: Scalability                    Term Frequency: 0         
Term: Wastiau                        Term Frequency: 0         
Term: Schaaf                         Term Frequency: 0         
Term: OLT                            Term Frequency: 0         
Term: PROCESS                        Term Frequency: 0         
Term: Stanford                       Term Frequency: 0         
Term: Discourse                      Term Frequency: 0         
Term: Are                            Term Frequency: 0         
Term: Union                          Term Frequency: 0         
Term: LAK17                          Term Frequency: 0         
Term: Morison                        Term Frequency: 0         
Term: Hampden                        Term Frequency: 0         
Term: Normal                         Term Frequency: 0         
Term: T9S                            Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: Not                            Term Frequency: 0         
Term: Wai                            Term Frequency: 0         
Term: Brown                          Term Frequency: 0         
Term: Review                         Term Frequency: 0         
Term: Jie                            Term Frequency: 0         
Term: Cetis                          Term Frequency: 0         
Term: Conference                     Term Frequency: 0         
Term: Oster                          Term Frequency: 0         
Term: Network                        Term Frequency: 0         
Term: Institutional                  Term Frequency: 0         
Term: Seoul                          Term Frequency: 0         
Term: Technology                     Term Frequency: 0         
Term: Claims                         Term Frequency: 0         
Term: Why                            Term Frequency: 0         
Term: Hiroaki                        Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Planck                         Term Frequency: 0         
Term: Alliance                       Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: CCS                            Term Frequency: 0         
Term: Rienties                       Term Frequency: 0         
Term: Political                      Term Frequency: 0         
Term: Cardinali                      Term Frequency: 0         
Term: THE                            Term Frequency: 0         
Term: 6ND                            Term Frequency: 0         
Term: Educause                       Term Frequency: 0         
Term: Pistilli                       Term Frequency: 0         
Term: Proceedings                    Term Frequency: 0         
Term: Lace                           Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: Field                          Term Frequency: 0         
Term: School                         Term Frequency: 0         
Term: Developments                   Term Frequency: 0         
Term: Korea                          Term Frequency: 0         
Term: International                  Term Frequency: 0         
Term: Lancaster                      Term Frequency: 0         
Term: Sharing                        Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: Canada                         Term Frequency: 0         
Term: Practice                       Term Frequency: 0         
Term: Tore.Hoel                      Term Frequency: 0         
Term: LA2                            Term Frequency: 0         
Term: Government                     Term Frequency: 0         
Term: Educational                    Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: LAP                            Term Frequency: 0         
Term: Seoulsiripdae                  Term Frequency: 0         
Term: Mullan                         Term Frequency: 0         
Term: DISC                           Term Frequency: 0         
Term: Bolton                         Term Frequency: 0         
Term: ABSTRACT                       Term Frequency: 0         
Term: Changes                        Term Frequency: 0         
Term: Norway                         Term Frequency: 0         
Term: Owner                          Term Frequency: 0         
Term: Cambridge                      Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: Concepts                       Term Frequency: 0         
Term: Office                         Term Frequency: 0         
Term: March                          Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: Davenport                      Term Frequency: 0         
Term: Australia                      Term Frequency: 0         
Term: D.E.Griffiths                  Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Enablers                       Term Frequency: 0         
Term: Oslo                           Term Frequency: 0         
Term: OBJECTIVES                     Term Frequency: 0         
Term: LLP                            Term Frequency: 0         
Term: China                          Term Frequency: 0         
Term: M.D                            Term Frequency: 0         
Term: Bergen                         Term Frequency: 0         
Term: M.G                            Term Frequency: 0         
Term: Zhang                          Term Frequency: 0         
Term: Capacity                       Term Frequency: 0         
Term: Society                        Term Frequency: 0         
Term: Examples                       Term Frequency: 0         
Term: Decisions                      Term Frequency: 0         
Term: Following                      Term Frequency: 0         
Term: Kou                            Term Frequency: 0         
Term: Results                        Term Frequency: 0         
Term: Australian                     Term Frequency: 0         
Term: Xin                            Term Frequency: 0         
Term: 3A3                            Term Frequency: 0         
Term: Strategic                      Term Frequency: 0         
Term: Japan                          Term Frequency: 0         
Term: Software                       Term Frequency: 0         
Term: Chen                           Term Frequency: 0         
Term: Readiness                      Term Frequency: 0         
Term: Oxford                         Term Frequency: 0         
Term: Patents                        Term Frequency: 0         
Term: Richards                       Term Frequency: 0         
Term: July                           Term Frequency: 0         
Term: AB                             Term Frequency: 0         
Term: Hoel                           Term Frequency: 0         
Term: Author                         Term Frequency: 0         
Term: Building                       Term Frequency: 0         
Term: BC                             Term Frequency: 0         
Term: Yuan                           Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: At                             Term Frequency: 0         
Term: Specifications                 Term Frequency: 0         
Term: Av                             Term Frequency: 0         
Term: CA                             Term Frequency: 0         
Term: Kyushu                         Term Frequency: 0         
Term: LACE                           Term Frequency: 0         
Term: Harvard                        Term Frequency: 0         
Term: Pea                            Term Frequency: 0         
Term: Asia                           Term Frequency: 0         
Term: NCET                           Term Frequency: 0         
Term: Workgroup                      Term Frequency: 0         
Term: Ogata                          Term Frequency: 0         
Term: KERIS                          Term Frequency: 0         
Term: Student                        Term Frequency: 0         
Term: Rhodes                         Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: Inform                         Term Frequency: 0         
Term: It                             Term Frequency: 0         
Term: USA                            Term Frequency: 0         
Term: LA                             Term Frequency: 0         
Term: Law                            Term Frequency: 0         
Term: Rather                         Term Frequency: 0         
Term: Requirements                   Term Frequency: 0         
Term: Enough                         Term Frequency: 0         
Term: MA                             Term Frequency: 0         
Term: Li                             Term Frequency: 0         
Term: NO                             Term Frequency: 0         
Term: NY                             Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: OF                             Term Frequency: 0         
Term: Griff                          Term Frequency: 0         
Term: Lee                            Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: PA                             Term Frequency: 0         
Term: Instrument                     Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: PO                             Term Frequency: 0         
Term: Smarter                        Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: Wolf                           Term Frequency: 0         
Term: Reynolds                       Term Frequency: 0         
Term: Several                        Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: TO                             Term Frequency: 0         
Term: Lonn                           Term Frequency: 0         
Term: UK                             Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: US                             Term Frequency: 0         
Term: PARTICIPATION                  Term Frequency: 0         
Term: Ethics                         Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: Privacy                        Term Frequency: 0         
Term: Work                           Term Frequency: 0         
Term: Vancouver                      Term Frequency: 0         
Term: Moran                          Term Frequency: 0         
Term: Dai                            Term Frequency: 0         
Term: Peasgood                       Term Frequency: 0         
Term: Implications                   Term Frequency: 0         
Term: Knowledge                      Term Frequency: 0         
Term: Sclater                        Term Frequency: 0         
Term: Jisc                           Term Frequency: 0         
Term: America                        Term Frequency: 0         
Term: Barriers                       Term Frequency: 0         
Term: Handbook                       Term Frequency: 0         
Term: Scheffel                       Term Frequency: 0         
Term: Aspirations                    Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: Weiqin.Chen                    Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: Comparison                     Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Better                         Term Frequency: 0         
Term: Teaching                       Term Frequency: 0         
Term: North                          Term Frequency: 0         
Term: Business                       Term Frequency: 0         
Term: Failed                         Term Frequency: 0         
Term: Paini                          Term Frequency: 0         
Term: BACKGROUND                     Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: BERGEN                         Term Frequency: 0         
Term: Retrieved                      Term Frequency: 0         
Term: if                             Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: Beijing                        Term Frequency: 0         
Term: Karlberg                       Term Frequency: 0         
Term: Max                            Term Frequency: 0         
Term: D7.4                           Term Frequency: 0         
Term: D7.2                           Term Frequency: 0         
Term: Jingjing                       Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: Akershus                       Term Frequency: 0         
Term: Europe                         Term Frequency: 0         
Term: Constraints                    Term Frequency: 0         
Term: Achievements                   Term Frequency: 0         
Term: no                             Term Frequency: 0         
Term: Numbers                        Term Frequency: 0         
