Term: data                           Term Frequency: 170       
Term: default                        Term Frequency: 11        
Term: up                             Term Frequency: 11        
Term: purpose                        Term Frequency: 11        
Term: limitation                     Term Frequency: 11        
Term: however                        Term Frequency: 11        
Term: would                          Term Frequency: 11        
Term: solutions                      Term Frequency: 11        
Term: when                           Term Frequency: 11        
Term: one                            Term Frequency: 11        
Term: practices                      Term Frequency: 11        
Term: 4                              Term Frequency: 10        
Term: 12                             Term Frequency: 10        
Term: access                         Term Frequency: 10        
Term: institutions                   Term Frequency: 10        
Term: part                           Term Frequency: 10        
Term: technical                      Term Frequency: 10        
Term: published                      Term Frequency: 10        
Term: order                          Term Frequency: 9         
Term: implications                   Term Frequency: 9         
Term: make                           Term Frequency: 9         
Term: regulations                    Term Frequency: 9         
Term: proceedings                    Term Frequency: 9         
Term: study                          Term Frequency: 9         
Term: them                           Term Frequency: 9         
Term: seen                           Term Frequency: 9         
Term: focus                          Term Frequency: 9         
Term: developed                      Term Frequency: 9         
Term: related                        Term Frequency: 9         
Term: practice                       Term Frequency: 9         
Term: support                        Term Frequency: 9         
Term: agency                         Term Frequency: 9         
Term: act                            Term Frequency: 9         
Term: consent                        Term Frequency: 9         
Term: most                           Term Frequency: 9         
Term: c                              Term Frequency: 8         
Term: d                              Term Frequency: 8         
Term: activities                     Term Frequency: 8         
Term: being                          Term Frequency: 8         
Term: 15                             Term Frequency: 8         
Term: etc                            Term Frequency: 8         
Term: sharing                        Term Frequency: 8         
Term: context                        Term Frequency: 8         
Term: than                           Term Frequency: 8         
Term: communication                  Term Frequency: 8         
Term: school                         Term Frequency: 8         
Term: able                           Term Frequency: 8         
Term: first                          Term Frequency: 8         
Term: its                            Term Frequency: 8         
Term: world                          Term Frequency: 8         
Term: should                         Term Frequency: 8         
Term: ethical                        Term Frequency: 8         
Term: specific                       Term Frequency: 8         
Term: engineering                    Term Frequency: 8         
Term: now                            Term Frequency: 8         
Term: some                           Term Frequency: 8         
Term: where                          Term Frequency: 8         
Term: case                           Term Frequency: 8         
Term: concerns                       Term Frequency: 7         
Term: 13                             Term Frequency: 7         
Term: ethics                         Term Frequency: 7         
Term: need                           Term Frequency: 7         
Term: authors                        Term Frequency: 7         
Term: concepts                       Term Frequency: 7         
Term: security                       Term Frequency: 7         
Term: questions                      Term Frequency: 7         
Term: interoperability               Term Frequency: 7         
Term: control                        Term Frequency: 7         
Term: does                           Term Frequency: 7         
Term: open                           Term Frequency: 7         
Term: because                        Term Frequency: 7         
Term: give                           Term Frequency: 7         
Term: management                     Term Frequency: 7         
Term: conference                     Term Frequency: 7         
Term: our                            Term Frequency: 7         
Term: given                          Term Frequency: 7         
Term: general                        Term Frequency: 7         
Term: learners                       Term Frequency: 7         
Term: results                        Term Frequency: 7         
Term: see                            Term Frequency: 7         
Term: table                          Term Frequency: 7         
Term: 5                              Term Frequency: 6         
Term: s                              Term Frequency: 6         
Term: defined                        Term Frequency: 6         
Term: constraints                    Term Frequency: 6         
Term: 16                             Term Frequency: 6         
Term: interest                       Term Frequency: 6         
Term: rights                         Term Frequency: 6         
Term: might                          Term Frequency: 6         
Term: who                            Term Frequency: 6         
Term: ec                             Term Frequency: 6         
Term: time                           Term Frequency: 6         
Term: laws                           Term Frequency: 6         
Term: important                      Term Frequency: 6         
Term: cycle                          Term Frequency: 6         
Term: technology                     Term Frequency: 6         
Term: society                        Term Frequency: 6         
Term: were                           Term Frequency: 6         
Term: driven                         Term Frequency: 6         
Term: students                       Term Frequency: 6         
Term: approaches                     Term Frequency: 6         
Term: beneficiaries                  Term Frequency: 6         
Term: teachers                       Term Frequency: 6         
Term: list                           Term Frequency: 6         
Term: service                        Term Frequency: 6         
Term: actions                        Term Frequency: 6         
Term: gives                          Term Frequency: 6         
Term: knowledge                      Term Frequency: 6         
Term: take                           Term Frequency: 6         
Term: 2014                           Term Frequency: 6         
Term: trade                          Term Frequency: 6         
Term: other                          Term Frequency: 6         
Term: big                            Term Frequency: 6         
Term: review                         Term Frequency: 6         
Term: turn                           Term Frequency: 5         
Term: b                              Term Frequency: 5         
Term: e.g                            Term Frequency: 5         
Term: technologies                   Term Frequency: 5         
Term: possible                       Term Frequency: 5         
Term: under                          Term Frequency: 5         
Term: made                           Term Frequency: 5         
Term: 14                             Term Frequency: 5         
Term: 17                             Term Frequency: 5         
Term: minimisation                   Term Frequency: 5         
Term: users                          Term Frequency: 5         
Term: organisations                  Term Frequency: 5         
Term: topic                          Term Frequency: 5         
Term: https                          Term Frequency: 5         
Term: storage                        Term Frequency: 5         
Term: accountability                 Term Frequency: 5         
Term: decision                       Term Frequency: 5         
Term: organisational                 Term Frequency: 5         
Term: purposes                       Term Frequency: 5         
Term: scale                          Term Frequency: 5         
Term: factors                        Term Frequency: 5         
Term: without                        Term Frequency: 5         
Term: approach                       Term Frequency: 5         
Term: applications                   Term Frequency: 5         
Term: notice                         Term Frequency: 5         
Term: number                         Term Frequency: 5         
Term: taken                          Term Frequency: 5         
Term: debate                         Term Frequency: 5         
Term: show                           Term Frequency: 5         
Term: architecture                   Term Frequency: 5         
Term: level                          Term Frequency: 5         
Term: studies                        Term Frequency: 5         
Term: example                        Term Frequency: 5         
Term: schools                        Term Frequency: 5         
Term: law                            Term Frequency: 5         
Term: develop                        Term Frequency: 5         
Term: full                           Term Frequency: 5         
Term: means                          Term Frequency: 5         
Term: permission                     Term Frequency: 5         
Term: still                          Term Frequency: 5         
Term: stored                         Term Frequency: 5         
Term: code                           Term Frequency: 5         
Term: activity                       Term Frequency: 5         
Term: groups                         Term Frequency: 5         
Term: discuss                        Term Frequency: 5         
Term: institutional                  Term Frequency: 5         
Term: overview                       Term Frequency: 5         
Term: 2018                           Term Frequency: 5         
Term: selected                       Term Frequency: 5         
Term: currently                      Term Frequency: 5         
Term: scope                          Term Frequency: 5         
Term: relevant                       Term Frequency: 5         
Term: current                        Term Frequency: 5         
Term: higher                         Term Frequency: 5         
Term: towards                        Term Frequency: 5         
Term: 7                              Term Frequency: 4         
Term: 8                              Term Frequency: 4         
Term: role                           Term Frequency: 4         
Term: provided                       Term Frequency: 4         
Term: hard                           Term Frequency: 4         
Term: reform                         Term Frequency: 4         
Term: transparency                   Term Frequency: 4         
Term: impact                         Term Frequency: 4         
Term: forgotten                      Term Frequency: 4         
Term: subject                        Term Frequency: 4         
Term: 24                             Term Frequency: 4         
Term: 31                             Term Frequency: 4         
Term: 46                             Term Frequency: 4         
Term: 95                             Term Frequency: 4         
Term: exploration                    Term Frequency: 4         
Term: environment                    Term Frequency: 4         
Term: pedagogy                       Term Frequency: 4         
Term: another                        Term Frequency: 4         
Term: developing                     Term Frequency: 4         
Term: remains                        Term Frequency: 4         
Term: way                            Term Frequency: 4         
Term: economic                       Term Frequency: 4         
Term: al                             Term Frequency: 4         
Term: needs                          Term Frequency: 4         
Term: et                             Term Frequency: 4         
Term: digital                        Term Frequency: 4         
Term: architectures                  Term Frequency: 4         
Term: recent                         Term Frequency: 4         
Term: necessary                      Term Frequency: 4         
Term: commercial                     Term Frequency: 4         
Term: rules                          Term Frequency: 4         
Term: course                         Term Frequency: 4         
Term: implementation                 Term Frequency: 4         
Term: institution                    Term Frequency: 4         
Term: vendors                        Term Frequency: 4         
Term: understand                     Term Frequency: 4         
Term: whether                        Term Frequency: 4         
Term: want                           Term Frequency: 4         
Term: must                           Term Frequency: 4         
Term: automated                      Term Frequency: 4         
Term: had                            Term Frequency: 4         
Term: point                          Term Frequency: 4         
Term: opportunity                    Term Frequency: 4         
Term: action                         Term Frequency: 4         
Term: present                        Term Frequency: 4         
Term: based                          Term Frequency: 4         
Term: stakeholders                   Term Frequency: 4         
Term: culture                        Term Frequency: 4         
Term: individuals                    Term Frequency: 4         
Term: projects                       Term Frequency: 4         
Term: complex                        Term Frequency: 4         
Term: parts                          Term Frequency: 4         
Term: 978                            Term Frequency: 4         
Term: available                      Term Frequency: 4         
Term: place                          Term Frequency: 4         
Term: applied                        Term Frequency: 4         
Term: well                           Term Frequency: 4         
Term: each                           Term Frequency: 4         
Term: promote                        Term Frequency: 4         
Term: principle                      Term Frequency: 4         
Term: three                          Term Frequency: 4         
Term: teaching                       Term Frequency: 4         
Term: initial                        Term Frequency: 4         
Term: obtain                         Term Frequency: 4         
Term: profiling                      Term Frequency: 4         
Term: adoption                       Term Frequency: 4         
Term: project                        Term Frequency: 4         
Term: landscape                      Term Frequency: 4         
Term: influenced                     Term Frequency: 4         
Term: around                         Term Frequency: 4         
Term: designed                       Term Frequency: 4         
Term: software                       Term Frequency: 4         
Term: examples                       Term Frequency: 4         
Term: date                           Term Frequency: 4         
Term: your                           Term Frequency: 4         
Term: concluded                      Term Frequency: 4         
Term: analysed                       Term Frequency: 4         
Term: even                           Term Frequency: 4         
Term: choice                         Term Frequency: 4         
Term: clear                          Term Frequency: 4         
Term: find                           Term Frequency: 4         
Term: position                       Term Frequency: 4         
Term: processed                      Term Frequency: 4         
Term: online                         Term Frequency: 4         
Term: global                         Term Frequency: 4         
Term: building                       Term Frequency: 4         
Term: cultures                       Term Frequency: 4         
Term: future                         Term Frequency: 4         
Term: any                            Term Frequency: 4         
Term: ask                            Term Frequency: 4         
Term: through                        Term Frequency: 4         
Term: organisation                   Term Frequency: 4         
Term: advanced                       Term Frequency: 4         
Term: model                          Term Frequency: 4         
Term: change                         Term Frequency: 4         
Term: e                              Term Frequency: 3         
Term: p                              Term Frequency: 3         
Term: good                           Term Frequency: 3         
Term: better                         Term Frequency: 3         
Term: top                            Term Frequency: 3         
Term: 2.2                            Term Frequency: 3         
Term: academic                       Term Frequency: 3         
Term: direction                      Term Frequency: 3         
Term: concern                        Term Frequency: 3         
Term: introduction                   Term Frequency: 3         
Term: build                          Term Frequency: 3         
Term: further                        Term Frequency: 3         
Term: term                           Term Frequency: 3         
Term: staff                          Term Frequency: 3         
Term: company                        Term Frequency: 3         
Term: researchers                    Term Frequency: 3         
Term: government                     Term Frequency: 3         
Term: main                           Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: 20                             Term Frequency: 3         
Term: 21                             Term Frequency: 3         
Term: 27                             Term Frequency: 3         
Term: industry                       Term Frequency: 3         
Term: 30                             Term Frequency: 3         
Term: controller                     Term Frequency: 3         
Term: 35                             Term Frequency: 3         
Term: many                           Term Frequency: 3         
Term: apply                          Term Frequency: 3         
Term: revision                       Term Frequency: 3         
Term: seems                          Term Frequency: 3         
Term: understanding                  Term Frequency: 3         
Term: often                          Term Frequency: 3         
Term: end                            Term Frequency: 3         
Term: asked                          Term Frequency: 3         
Term: requirement                    Term Frequency: 3         
Term: argued                         Term Frequency: 3         
Term: supporting                     Term Frequency: 3         
Term: derived                        Term Frequency: 3         
Term: play                           Term Frequency: 3         
Term: differences                    Term Frequency: 3         
Term: presented                      Term Frequency: 3         
Term: contribute                     Term Frequency: 3         
Term: various                        Term Frequency: 3         
Term: sure                           Term Frequency: 3         
Term: keeping                        Term Frequency: 3         
Term: do                             Term Frequency: 3         
Term: specification                  Term Frequency: 3         
Term: form                           Term Frequency: 3         
Term: while                          Term Frequency: 3         
Term: so                             Term Frequency: 3         
Term: vs                             Term Frequency: 3         
Term: provisions                     Term Frequency: 3         
Term: get                            Term Frequency: 3         
Term: analyse                        Term Frequency: 3         
Term: i.e                            Term Frequency: 3         
Term: area                           Term Frequency: 3         
Term: discussed                      Term Frequency: 3         
Term: discussion                     Term Frequency: 3         
Term: universities                   Term Frequency: 3         
Term: her                            Term Frequency: 3         
Term: before                         Term Frequency: 3         
Term: his                            Term Frequency: 3         
Term: potential                      Term Frequency: 3         
Term: guidelines                     Term Frequency: 3         
Term: ministries                     Term Frequency: 3         
Term: according                      Term Frequency: 3         
Term: citizens                       Term Frequency: 3         
Term: distributed                    Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: using                          Term Frequency: 3         
Term: takes                          Term Frequency: 3         
Term: those                          Term Frequency: 3         
Term: grounding                      Term Frequency: 3         
Term: drive                          Term Frequency: 3         
Term: report                         Term Frequency: 3         
Term: expressed                      Term Frequency: 3         
Term: lever                          Term Frequency: 3         
Term: initiative                     Term Frequency: 3         
Term: social                         Term Frequency: 3         
Term: interesting                    Term Frequency: 3         
Term: strengthen                     Term Frequency: 3         
Term: stopper                        Term Frequency: 3         
Term: contexts                       Term Frequency: 3         
Term: feedback                       Term Frequency: 3         
Term: studied                        Term Frequency: 3         
Term: making                         Term Frequency: 3         
Term: cooperation                    Term Frequency: 3         
Term: upon                           Term Frequency: 3         
Term: involved                       Term Frequency: 3         
Term: doi.org                        Term Frequency: 3         
Term: interests                      Term Frequency: 3         
Term: particular                     Term Frequency: 3         
Term: mind                           Term Frequency: 3         
Term: agreements                     Term Frequency: 3         
Term: rectification                  Term Frequency: 3         
Term: field                          Term Frequency: 3         
Term: quality                        Term Frequency: 3         
Term: website                        Term Frequency: 3         
Term: gather                         Term Frequency: 3         
Term: mapping                        Term Frequency: 3         
Term: define                         Term Frequency: 3         
Term: detailed                       Term Frequency: 3         
Term: board                          Term Frequency: 3         
Term: market                         Term Frequency: 3         
Term: turned                         Term Frequency: 3         
Term: erasure                        Term Frequency: 3         
Term: country                        Term Frequency: 3         
Term: ensure                         Term Frequency: 3         
Term: region                         Term Frequency: 3         
Term: like                           Term Frequency: 3         
Term: wish                           Term Frequency: 3         
Term: working                        Term Frequency: 3         
Term: emerging                       Term Frequency: 3         
Term: analysing                      Term Frequency: 3         
Term: consider                       Term Frequency: 3         
Term: 2013                           Term Frequency: 3         
Term: task                           Term Frequency: 3         
Term: intervention                   Term Frequency: 3         
Term: public                         Term Frequency: 3         
Term: exchange                       Term Frequency: 3         
Term: both                           Term Frequency: 3         
Term: move                           Term Frequency: 3         
Term: reflected                      Term Frequency: 3         
Term: responsibility                 Term Frequency: 3         
Term: set                            Term Frequency: 3         
Term: she                            Term Frequency: 3         
Term: box                            Term Frequency: 3         
Term: trends                         Term Frequency: 3         
Term: guide                          Term Frequency: 3         
Term: range                          Term Frequency: 3         
Term: ten                            Term Frequency: 2         
Term: standards                      Term Frequency: 2         
Term: 9                              Term Frequency: 2         
Term: same                           Term Frequency: 2         
Term: f                              Term Frequency: 2         
Term: provides                       Term Frequency: 2         
Term: multiple                       Term Frequency: 2         
Term: taking                         Term Frequency: 2         
Term: propose                        Term Frequency: 2         
Term: including                      Term Frequency: 2         
Term: try                            Term Frequency: 2         
Term: effective                      Term Frequency: 2         
Term: two                            Term Frequency: 2         
Term: reported                       Term Frequency: 2         
Term: team                           Term Frequency: 2         
Term: start                          Term Frequency: 2         
Term: third                          Term Frequency: 2         
Term: text                           Term Frequency: 2         
Term: establishment                  Term Frequency: 2         
Term: 02                             Term Frequency: 2         
Term: 03                             Term Frequency: 2         
Term: drawing                        Term Frequency: 2         
Term: 10                             Term Frequency: 2         
Term: 11                             Term Frequency: 2         
Term: 19                             Term Frequency: 2         
Term: benefit                        Term Frequency: 2         
Term: 22                             Term Frequency: 2         
Term: 23                             Term Frequency: 2         
Term: 25                             Term Frequency: 2         
Term: 26                             Term Frequency: 2         
Term: 28                             Term Frequency: 2         
Term: 29                             Term Frequency: 2         
Term: 32                             Term Frequency: 2         
Term: 33                             Term Frequency: 2         
Term: 34                             Term Frequency: 2         
Term: 36                             Term Frequency: 2         
Term: needed                         Term Frequency: 2         
Term: ico.org.uk                     Term Frequency: 2         
Term: stated                         Term Frequency: 2         
Term: 10.1145                        Term Frequency: 2         
Term: fairness                       Term Frequency: 2         
Term: premised                       Term Frequency: 2         
Term: agreed                         Term Frequency: 2         
Term: assessment                     Term Frequency: 2         
Term: 431                            Term Frequency: 2         
Term: shall                          Term Frequency: 2         
Term: companies                      Term Frequency: 2         
Term: apps                           Term Frequency: 2         
Term: next                           Term Frequency: 2         
Term: window                         Term Frequency: 2         
Term: far                            Term Frequency: 2         
Term: completely                     Term Frequency: 2         
Term: great                          Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: outside                        Term Frequency: 2         
Term: effect                         Term Frequency: 2         
Term: 24th                           Term Frequency: 2         
Term: former                         Term Frequency: 2         
Term: predictive                     Term Frequency: 2         
Term: content                        Term Frequency: 2         
Term: anonymisation                  Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: easier                         Term Frequency: 2         
Term: re                             Term Frequency: 2         
Term: seek                           Term Frequency: 2         
Term: sees                           Term Frequency: 2         
Term: deeper                         Term Frequency: 2         
Term: held                           Term Frequency: 2         
Term: terms                          Term Frequency: 2         
Term: contract                       Term Frequency: 2         
Term: help                           Term Frequency: 2         
Term: challenges                     Term Frequency: 2         
Term: much                           Term Frequency: 2         
Term: wait                           Term Frequency: 2         
Term: difference                     Term Frequency: 2         
Term: adapt                          Term Frequency: 2         
Term: yet                            Term Frequency: 2         
Term: deletion                       Term Frequency: 2         
Term: confirmed                      Term Frequency: 2         
Term: bear                           Term Frequency: 2         
Term: determining                    Term Frequency: 2         
Term: you                            Term Frequency: 2         
Term: active                         Term Frequency: 2         
Term: meet                           Term Frequency: 2         
Term: answer                         Term Frequency: 2         
Term: 2046064                        Term Frequency: 2         
Term: sometimes                      Term Frequency: 2         
Term: explored                       Term Frequency: 2         
Term: curricula                      Term Frequency: 2         
Term: explores                       Term Frequency: 2         
Term: nevertheless                   Term Frequency: 2         
Term: fact                           Term Frequency: 2         
Term: free                           Term Frequency: 2         
Term: protections                    Term Frequency: 2         
Term: value                          Term Frequency: 2         
Term: scenarios                      Term Frequency: 2         
Term: faqs                           Term Frequency: 2         
Term: post                           Term Frequency: 2         
Term: portability                    Term Frequency: 2         
Term: governance                     Term Frequency: 2         
Term: points                         Term Frequency: 2         
Term: collect                        Term Frequency: 2         
Term: conceptualise                  Term Frequency: 2         
Term: reason                         Term Frequency: 2         
Term: identification                 Term Frequency: 2         
Term: initiatives                    Term Frequency: 2         
Term: openness                       Term Frequency: 2         
Term: significant                    Term Frequency: 2         
Term: longer                         Term Frequency: 2         
Term: colleagues                     Term Frequency: 2         
Term: parties                        Term Frequency: 2         
Term: selling                        Term Frequency: 2         
Term: cautious                       Term Frequency: 2         
Term: vehicle                        Term Frequency: 2         
Term: conceptualised                 Term Frequency: 2         
Term: readiness                      Term Frequency: 2         
Term: sources                        Term Frequency: 2         
Term: side                           Term Frequency: 2         
Term: lawfulness                     Term Frequency: 2         
Term: establish                      Term Frequency: 2         
Term: focused                        Term Frequency: 2         
Term: informs                        Term Frequency: 2         
Term: launch                         Term Frequency: 2         
Term: throughout                     Term Frequency: 2         
Term: reach                          Term Frequency: 2         
Term: comparative                    Term Frequency: 2         
Term: informed                       Term Frequency: 2         
Term: observation                    Term Frequency: 2         
Term: lead                           Term Frequency: 2         
Term: ready                          Term Frequency: 2         
Term: orientation                    Term Frequency: 2         
Term: object                         Term Frequency: 2         
Term: others                         Term Frequency: 2         
Term: bringing                       Term Frequency: 2         
Term: ambitious                      Term Frequency: 2         
Term: raise                          Term Frequency: 2         
Term: less                           Term Frequency: 2         
Term: situation                      Term Frequency: 2         
Term: legislation                    Term Frequency: 2         
Term: provide                        Term Frequency: 2         
Term: 1995                           Term Frequency: 2         
Term: experience                     Term Frequency: 2         
Term: illegal                        Term Frequency: 2         
Term: domain                         Term Frequency: 2         
Term: adaptive                       Term Frequency: 2         
Term: ec.europa.eu                   Term Frequency: 2         
Term: down                           Term Frequency: 2         
Term: rather                         Term Frequency: 2         
Term: importance                     Term Frequency: 2         
Term: human                          Term Frequency: 2         
Term: classification                 Term Frequency: 2         
Term: ideas                          Term Frequency: 2         
Term: met                            Term Frequency: 2         
Term: designers                      Term Frequency: 2         
Term: above                          Term Frequency: 2         
Term: goals                          Term Frequency: 2         
Term: proposals                      Term Frequency: 2         
Term: whole                          Term Frequency: 2         
Term: relation                       Term Frequency: 2         
Term: relating                       Term Frequency: 2         
Term: among                          Term Frequency: 2         
Term: leading                        Term Frequency: 2         
Term: moving                         Term Frequency: 2         
Term: agreement                      Term Frequency: 2         
Term: selection                      Term Frequency: 2         
Term: agencies                       Term Frequency: 2         
Term: similar                        Term Frequency: 2         
Term: encourage                      Term Frequency: 2         
Term: positions                      Term Frequency: 2         
Term: tool                           Term Frequency: 2         
Term: risks                          Term Frequency: 2         
Term: refer                          Term Frequency: 2         
Term: risk                           Term Frequency: 2         
Term: depends                        Term Frequency: 2         
Term: notification                   Term Frequency: 2         
Term: breach                         Term Frequency: 2         
Term: user                           Term Frequency: 2         
Term: bring                          Term Frequency: 2         
Term: promoting                      Term Frequency: 2         
Term: communications                 Term Frequency: 2         
Term: deleted                        Term Frequency: 2         
Term: very                           Term Frequency: 2         
Term: exploring                      Term Frequency: 2         
Term: survey                         Term Frequency: 2         
Term: starting                       Term Frequency: 2         
Term: conservative                   Term Frequency: 2         
Term: awareness                      Term Frequency: 2         
Term: cases                          Term Frequency: 2         
Term: storing                        Term Frequency: 2         
Term: come                           Term Frequency: 2         
Term: innovative                     Term Frequency: 2         
Term: publishers                     Term Frequency: 2         
Term: consequences                   Term Frequency: 2         
Term: core                           Term Frequency: 2         
Term: line                           Term Frequency: 2         
Term: aims                           Term Frequency: 2         
Term: 4503                           Term Frequency: 2         
Term: restriction                    Term Frequency: 2         
Term: members                        Term Frequency: 2         
Term: realise                        Term Frequency: 2         
Term: questioning                    Term Frequency: 2         
Term: integral                       Term Frequency: 2         
Term: hold                           Term Frequency: 2         
Term: 2000                           Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: 2005                           Term Frequency: 2         
Term: just                           Term Frequency: 2         
Term: owner                          Term Frequency: 2         
Term: 2017                           Term Frequency: 2         
Term: answers                        Term Frequency: 2         
Term: hope                           Term Frequency: 2         
Term: affirmative                    Term Frequency: 2         
Term: within                         Term Frequency: 2         
Term: coming                         Term Frequency: 2         
Term: ongoing                        Term Frequency: 2         
Term: contribution                   Term Frequency: 2         
Term: perspective                    Term Frequency: 2         
Term: commerce                       Term Frequency: 2         
Term: summary                        Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: established                    Term Frequency: 2         
Term: space                          Term Frequency: 2         
Term: reference                      Term Frequency: 2         
Term: solicit                        Term Frequency: 2         
Term: resources                      Term Frequency: 2         
Term: accuracy                       Term Frequency: 2         
Term: authorities                    Term Frequency: 2         
Term: cultural                       Term Frequency: 2         
Term: interventions                  Term Frequency: 2         
Term: trust                          Term Frequency: 2         
Term: years                          Term Frequency: 2         
Term: aggregated                     Term Frequency: 2         
Term: algorithms                     Term Frequency: 2         
Term: electronic                     Term Frequency: 2         
Term: signing                        Term Frequency: 2         
Term: leverage                       Term Frequency: 2         
Term: until                          Term Frequency: 2         
Term: thought                        Term Frequency: 2         
Term: varying                        Term Frequency: 2         
Term: justified                      Term Frequency: 2         
Term: view                           Term Frequency: 2         
Term: benefits                       Term Frequency: 2         
Term: developers                     Term Frequency: 2         
Term: collected                      Term Frequency: 2         
Term: excessive                      Term Frequency: 2         
Term: care                           Term Frequency: 2         
Term: participation                  Term Frequency: 2         
Term: exercise                       Term Frequency: 2         
Term: described                      Term Frequency: 2         
Term: transfer                       Term Frequency: 2         
Term: latter                         Term Frequency: 2         
Term: adhered                        Term Frequency: 2         
Term: bar                            Term Frequency: 2         
Term: explained                      Term Frequency: 2         
Term: over                           Term Frequency: 2         
Term: steering                       Term Frequency: 2         
Term: large                          Term Frequency: 2         
Term: systematic                     Term Frequency: 2         
Term: www.laceproject.eu             Term Frequency: 2         
Term: makes                          Term Frequency: 2         
Term: handled                        Term Frequency: 2         
Term: backing                        Term Frequency: 2         
Term: natural                        Term Frequency: 2         
Term: 20748                          Term Frequency: 2         
Term: suggest                        Term Frequency: 2         
Term: files                          Term Frequency: 2         
Term: potentially                    Term Frequency: 2         
Term: response                       Term Frequency: 2         
Term: investment                     Term Frequency: 1         
Term: avoidance                      Term Frequency: 1         
Term: 0                              Term Frequency: 1         
Term: result                         Term Frequency: 1         
Term: opposition                     Term Frequency: 1         
Term: procedures                     Term Frequency: 1         
Term: checkbox                       Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: provider                       Term Frequency: 1         
Term: effectiveness                  Term Frequency: 1         
Term: room                           Term Frequency: 1         
Term: 21st                           Term Frequency: 1         
Term: pupils                         Term Frequency: 1         
Term: illustrates                    Term Frequency: 1         
Term: flow                           Term Frequency: 1         
Term: resonance                      Term Frequency: 1         
Term: illustrated                    Term Frequency: 1         
Term: mandatory                      Term Frequency: 1         
Term: too                            Term Frequency: 1         
Term: question                       Term Frequency: 1         
Term: picture                        Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: regard                         Term Frequency: 1         
Term: findings                       Term Frequency: 1         
Term: introducing                    Term Frequency: 1         
Term: constitutes                    Term Frequency: 1         
Term: mapped                         Term Frequency: 1         
Term: became                         Term Frequency: 1         
Term: twofold                        Term Frequency: 1         
Term: tug                            Term Frequency: 1         
Term: footprints                     Term Frequency: 1         
Term: offering                       Term Frequency: 1         
Term: www.datatilsynet.no            Term Frequency: 1         
Term: probably                       Term Frequency: 1         
Term: 250                            Term Frequency: 1         
Term: worried                        Term Frequency: 1         
Term: occurred                       Term Frequency: 1         
Term: replaced                       Term Frequency: 1         
Term: services                       Term Frequency: 1         
