Term: essays                         Term Frequency: 40        
Term: style                          Term Frequency: 6         
Term: related                        Term Frequency: 6         
Term: technology                     Term Frequency: 6         
Term: argument                       Term Frequency: 6         
Term: arguments                      Term Frequency: 6         
Term: 2                              Term Frequency: 5         
Term: 3                              Term Frequency: 5         
Term: 4                              Term Frequency: 5         
Term: same                           Term Frequency: 5         
Term: multiple                       Term Frequency: 5         
Term: well                           Term Frequency: 5         
Term: university                     Term Frequency: 5         
Term: labels                         Term Frequency: 5         
Term: statistically                  Term Frequency: 5         
Term: made                           Term Frequency: 5         
Term: make                           Term Frequency: 5         
Term: parsing                        Term Frequency: 5         
Term: 13                             Term Frequency: 5         
Term: module                         Term Frequency: 5         
Term: quality                        Term Frequency: 5         
Term: look                           Term Frequency: 5         
Term: detected                       Term Frequency: 5         
Term: new                            Term Frequency: 5         
Term: expressions                    Term Frequency: 5         
Term: do                             Term Frequency: 5         
Term: analyses                       Term Frequency: 5         
Term: claims                         Term Frequency: 5         
Term: been                           Term Frequency: 5         
Term: international                  Term Frequency: 5         
Term: since                          Term Frequency: 5         
Term: based                          Term Frequency: 5         
Term: dependent                      Term Frequency: 5         
Term: first                          Term Frequency: 5         
Term: performance                    Term Frequency: 5         
Term: any                            Term Frequency: 5         
Term: using                          Term Frequency: 5         
Term: correlational                  Term Frequency: 5         
Term: important                      Term Frequency: 5         
Term: high                           Term Frequency: 5         
Term: contexts                       Term Frequency: 5         
Term: types                          Term Frequency: 5         
Term: natural                        Term Frequency: 5         
Term: describing                     Term Frequency: 5         
Term: can                            Term Frequency: 5         
Term: 5                              Term Frequency: 4         
Term: 6                              Term Frequency: 4         
Term: good                           Term Frequency: 4         
Term: provided                       Term Frequency: 4         
Term: low                            Term Frequency: 4         
Term: critical                       Term Frequency: 4         
Term: part                           Term Frequency: 4         
Term: final                          Term Frequency: 4         
Term: directions                     Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: 20                             Term Frequency: 4         
Term: literary                       Term Frequency: 4         
Term: scientific                     Term Frequency: 4         
Term: learn                          Term Frequency: 4         
Term: need                           Term Frequency: 4         
Term: tool                           Term Frequency: 4         
Term: 0.001                          Term Frequency: 4         
Term: features                       Term Frequency: 4         
Term: rhetoric                       Term Frequency: 4         
Term: children’s                     Term Frequency: 4         
Term: meaningful                     Term Frequency: 4         
Term: ability                        Term Frequency: 4         
Term: author                         Term Frequency: 4         
Term: sound                          Term Frequency: 4         
Term: measure                        Term Frequency: 4         
Term: potential                      Term Frequency: 4         
Term: questions                      Term Frequency: 4         
Term: 2009                           Term Frequency: 4         
Term: 2013                           Term Frequency: 4         
Term: processing                     Term Frequency: 4         
Term: incremental                    Term Frequency: 4         
Term: value                          Term Frequency: 4         
Term: therefore                      Term Frequency: 4         
Term: points                         Term Frequency: 4         
Term: grade                          Term Frequency: 4         
Term: more                           Term Frequency: 4         
Term: both                           Term Frequency: 4         
Term: move                           Term Frequency: 4         
Term: increase                       Term Frequency: 4         
Term: developed                      Term Frequency: 4         
Term: however                        Term Frequency: 4         
Term: highly                         Term Frequency: 4         
Term: social                         Term Frequency: 4         
Term: written                        Term Frequency: 4         
Term: weak                           Term Frequency: 4         
Term: studies                        Term Frequency: 4         
Term: example                        Term Frequency: 3         
Term: readers                        Term Frequency: 3         
Term: order                          Term Frequency: 3         
Term: think                          Term Frequency: 3         
Term: technologies                   Term Frequency: 3         
Term: overall                        Term Frequency: 3         
Term: concept                        Term Frequency: 3         
Term: means                          Term Frequency: 3         
Term: shows                          Term Frequency: 3         
Term: particular                     Term Frequency: 3         
Term: did                            Term Frequency: 3         
Term: conveying                      Term Frequency: 3         
Term: whereas                        Term Frequency: 3         
Term: 14                             Term Frequency: 3         
Term: 16                             Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: 23                             Term Frequency: 3         
Term: relationship                   Term Frequency: 3         
Term: expression                     Term Frequency: 3         
Term: texts                          Term Frequency: 3         
Term: seeks                          Term Frequency: 3         
Term: coefficient                    Term Frequency: 3         
Term: themes                         Term Frequency: 3         
Term: evidence                       Term Frequency: 3         
Term: often                          Term Frequency: 3         
Term: http                           Term Frequency: 3         
Term: authors                        Term Frequency: 3         
Term: indicates                      Term Frequency: 3         
Term: engage                         Term Frequency: 3         
Term: automatically                  Term Frequency: 3         
Term: non                            Term Frequency: 3         
Term: few                            Term Frequency: 3         
Term: 1307                           Term Frequency: 3         
Term: teachers                       Term Frequency: 3         
Term: undergraduate                  Term Frequency: 3         
Term: us                             Term Frequency: 3         
Term: power                          Term Frequency: 3         
Term: data                           Term Frequency: 3         
Term: line                           Term Frequency: 3         
Term: challenge                      Term Frequency: 3         
Term: strongly                       Term Frequency: 3         
Term: particularly                   Term Frequency: 3         
Term: given                          Term Frequency: 3         
Term: her                            Term Frequency: 3         
Term: consider                       Term Frequency: 3         
Term: account                        Term Frequency: 3         
Term: how                            Term Frequency: 3         
Term: 2010                           Term Frequency: 3         
Term: 2015                           Term Frequency: 3         
Term: present                        Term Frequency: 3         
Term: paper                          Term Frequency: 3         
Term: rhetorically                   Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: matching                       Term Frequency: 3         
Term: signals                        Term Frequency: 3         
Term: author’s                       Term Frequency: 3         
Term: also                           Term Frequency: 3         
Term: extracted                      Term Frequency: 3         
Term: personal                       Term Frequency: 3         
Term: strong                         Term Frequency: 3         
Term: validity                       Term Frequency: 3         
Term: output                         Term Frequency: 3         
Term: key                            Term Frequency: 3         
Term: assess                         Term Frequency: 3         
Term: would                          Term Frequency: 2         
Term: 9                              Term Frequency: 2         
Term: statistical                    Term Frequency: 2         
Term: role                           Term Frequency: 2         
Term: society                        Term Frequency: 2         
Term: provides                       Term Frequency: 2         
Term: illustrates                    Term Frequency: 2         
Term: propose                        Term Frequency: 2         
Term: quantitative                   Term Frequency: 2         
Term: element                        Term Frequency: 2         
Term: formative                      Term Frequency: 2         
Term: dataset                        Term Frequency: 2         
Term: develop                        Term Frequency: 2         
Term: fixed                          Term Frequency: 2         
Term: semantics                      Term Frequency: 2         
Term: required                       Term Frequency: 2         
Term: computed                       Term Frequency: 2         
Term: computer                       Term Frequency: 2         
Term: 1994                           Term Frequency: 2         
Term: randomly                       Term Frequency: 2         
Term: outliers                       Term Frequency: 2         
Term: further                        Term Frequency: 2         
Term: domain                         Term Frequency: 2         
Term: adult                          Term Frequency: 2         
Term: signal                         Term Frequency: 2         
Term: computational                  Term Frequency: 2         
Term: regarding                      Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: interpret                      Term Frequency: 2         
Term: articles                       Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: field                          Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: evaluate                       Term Frequency: 2         
Term: may                            Term Frequency: 2         
Term: underlined                     Term Frequency: 2         
Term: labelled                       Term Frequency: 2         
Term: contrasts                      Term Frequency: 2         
Term: 09                             Term Frequency: 2         
Term: observed                       Term Frequency: 2         
Term: interpretations                Term Frequency: 2         
Term: 10                             Term Frequency: 2         
Term: 11                             Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: 19                             Term Frequency: 2         
Term: benefit                        Term Frequency: 2         
Term: 1st                            Term Frequency: 2         
Term: examined                       Term Frequency: 2         
Term: 31                             Term Frequency: 2         
Term: middle                         Term Frequency: 2         
Term: allow                          Term Frequency: 2         
Term: books                          Term Frequency: 2         
Term: among                          Term Frequency: 2         
Term: theory                         Term Frequency: 2         
Term: variability                    Term Frequency: 2         
Term: 10.1145                        Term Frequency: 2         
Term: exploration                    Term Frequency: 2         
Term: understanding                  Term Frequency: 2         
Term: community                      Term Frequency: 2         
Term: debates                        Term Frequency: 2         
Term: emphasising                    Term Frequency: 2         
Term: assessment                     Term Frequency: 2         
Term: assigns                        Term Frequency: 2         
Term: originally                     Term Frequency: 2         
Term: centric                        Term Frequency: 2         
Term: specific                       Term Frequency: 2         
Term: models                         Term Frequency: 2         
Term: structured                     Term Frequency: 2         
Term: expectations                   Term Frequency: 2         
Term: statement                      Term Frequency: 2         
Term: way                            Term Frequency: 2         
Term: disciplines                    Term Frequency: 2         
Term: issues                         Term Frequency: 2         
Term: great                          Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: section                        Term Frequency: 2         
Term: marked                         Term Frequency: 2         
Term: visible                        Term Frequency: 2         
Term: produced                       Term Frequency: 2         
Term: refers                         Term Frequency: 2         
Term: who                            Term Frequency: 2         
Term: approaches                     Term Frequency: 2         
Term: extent                         Term Frequency: 2         
Term: scoring                        Term Frequency: 2         
Term: content                        Term Frequency: 2         
Term: digital                        Term Frequency: 2         
Term: practice                       Term Frequency: 2         
Term: disputes                       Term Frequency: 2         
Term: graded                         Term Frequency: 2         
Term: la                             Term Frequency: 2         
Term: than                           Term Frequency: 2         
Term: sufficient                     Term Frequency: 2         
Term: 3rd                            Term Frequency: 2         
Term: conference                     Term Frequency: 2         
Term: so                             Term Frequency: 2         
Term: up                             Term Frequency: 2         
Term: children's                     Term Frequency: 2         
Term: cases                          Term Frequency: 2         
Term: terms                          Term Frequency: 2         
Term: child's                        Term Frequency: 2         
Term: examples                       Term Frequency: 2         
Term: tools                          Term Frequency: 2         
Term: self                           Term Frequency: 2         
Term: academically                   Term Frequency: 2         
Term: development                    Term Frequency: 2         
Term: purpose                        Term Frequency: 2         
Term: scale                          Term Frequency: 2         
Term: follow                         Term Frequency: 2         
Term: factors                        Term Frequency: 2         
Term: contrasting                    Term Frequency: 2         
Term: functions                      Term Frequency: 2         
Term: analyse                        Term Frequency: 2         
Term: got                            Term Frequency: 2         
Term: young                          Term Frequency: 2         
Term: reasoned                       Term Frequency: 2         
Term: focus                          Term Frequency: 2         
Term: recognising                    Term Frequency: 2         
Term: understand                     Term Frequency: 2         
Term: tensions                       Term Frequency: 2         
Term: whether                        Term Frequency: 2         
Term: pursue                         Term Frequency: 2         
Term: design                         Term Frequency: 2         
Term: automatic                      Term Frequency: 2         
Term: followed                       Term Frequency: 2         
Term: critically                     Term Frequency: 2         
Term: must                           Term Frequency: 2         
Term: validate                       Term Frequency: 2         
Term: dx.doi.org                     Term Frequency: 2         
Term: correlated                     Term Frequency: 2         
Term: zoning                         Term Frequency: 2         
Term: general                        Term Frequency: 2         
Term: evaluating                     Term Frequency: 2         
Term: embedded                       Term Frequency: 2         
Term: regarded                       Term Frequency: 2         
Term: relatively                     Term Frequency: 2         
Term: 2007                           Term Frequency: 2         
Term: 2005                           Term Frequency: 2         
Term: 2002                           Term Frequency: 2         
Term: although                       Term Frequency: 2         
Term: material                       Term Frequency: 2         
Term: 2014                           Term Frequency: 2         
Term: arguing                        Term Frequency: 2         
Term: validation                     Term Frequency: 2         
Term: positive                       Term Frequency: 2         
Term: predicts                       Term Frequency: 2         
Term: problems                       Term Frequency: 2         
Term: argumentative                  Term Frequency: 2         
Term: detect                         Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: assessing                      Term Frequency: 2         
Term: insights                       Term Frequency: 2         
Term: holding                        Term Frequency: 2         
Term: currently                      Term Frequency: 2         
Term: article                        Term Frequency: 2         
Term: identify                       Term Frequency: 2         
Term: distributed                    Term Frequency: 2         
Term: assertion                      Term Frequency: 2         
Term: powerful                       Term Frequency: 2         
Term: conducted                      Term Frequency: 2         
Term: unit                           Term Frequency: 2         
Term: construction                   Term Frequency: 2         
Term: accurate                       Term Frequency: 2         
Term: increases                      Term Frequency: 2         
Term: describes                      Term Frequency: 2         
Term: case                           Term Frequency: 2         
Term: most                           Term Frequency: 2         
Term: contain                        Term Frequency: 2         
Term: articulated                    Term Frequency: 2         
Term: parts                          Term Frequency: 2         
Term: deep                           Term Frequency: 2         
Term: explained                      Term Frequency: 2         
Term: six                            Term Frequency: 2         
Term: thinking                       Term Frequency: 2         
Term: constant                       Term Frequency: 2         
Term: several                        Term Frequency: 2         
Term: level                          Term Frequency: 2         
Term: adjusted                       Term Frequency: 2         
Term: relevant                       Term Frequency: 2         
Term: coherent                       Term Frequency: 2         
Term: referring                      Term Frequency: 2         
Term: story                          Term Frequency: 2         
Term: available                      Term Frequency: 2         
Term: express                        Term Frequency: 2         
Term: especially                     Term Frequency: 2         
Term: idea                           Term Frequency: 2         
Term: feedback                       Term Frequency: 2         
Term: elements                       Term Frequency: 2         
Term: only                           Term Frequency: 2         
Term: half                           Term Frequency: 1         
Term: 8,10                           Term Frequency: 1         
Term: narrative                      Term Frequency: 1         
Term: poems                          Term Frequency: 1         
Term: 7                              Term Frequency: 1         
Term: object                         Term Frequency: 1         
Term: turn                           Term Frequency: 1         
Term: result                         Term Frequency: 1         
Term: deploying                      Term Frequency: 1         
Term: information                    Term Frequency: 1         
Term: syntactic                      Term Frequency: 1         
Term: others                         Term Frequency: 1         
Term: making                         Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: effectiveness                  Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: better                         Term Frequency: 1         
Term: subliminally                   Term Frequency: 1         
Term: experiment                     Term Frequency: 1         
Term: 1057                           Term Frequency: 1         
Term: 1.075                          Term Frequency: 1         
Term: 1.078                          Term Frequency: 1         
Term: flow                           Term Frequency: 1         
Term: considering                    Term Frequency: 1         
Term: 1073                           Term Frequency: 1         
Term: philosophers                   Term Frequency: 1         
Term: too                            Term Frequency: 1         
Term: noise                          Term Frequency: 1         
Term: product                        Term Frequency: 1         
Term: intellectual                   Term Frequency: 1         
Term: produce                        Term Frequency: 1         
Term: picture                        Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: 2.3                            Term Frequency: 1         
Term: markers                        Term Frequency: 1         
Term: communities                    Term Frequency: 1         
Term: findings                       Term Frequency: 1         
Term: upon                           Term Frequency: 1         
Term: function                       Term Frequency: 1         
Term: less                           Term Frequency: 1         
Term: constituted                    Term Frequency: 1         
Term: 2723576.2723603                Term Frequency: 1         
Term: comments                       Term Frequency: 1         
Term: 225                            Term Frequency: 1         
Term: 241                            Term Frequency: 1         
Term: probably                       Term Frequency: 1         
Term: document                       Term Frequency: 1         
Term: 250                            Term Frequency: 1         
Term: moment                         Term Frequency: 1         
Term: team                           Term Frequency: 1         
Term: 265                            Term Frequency: 1         
Term: 266                            Term Frequency: 1         
Term: source                         Term Frequency: 1         
Term: actual                         Term Frequency: 1         
Term: tension                        Term Frequency: 1         
Term: labeled                        Term Frequency: 1         
Term: surprising                     Term Frequency: 1         
Term: employing                      Term Frequency: 1         
Term: 287                            Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: convention                     Term Frequency: 1         
Term: libraries                      Term Frequency: 1         
Term: three                          Term Frequency: 1         
Term: measures                       Term Frequency: 1         
Term: specifically                   Term Frequency: 1         
Term: creative                       Term Frequency: 1         
Term: 1984                           Term Frequency: 1         
Term: provide                        Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: 1998                           Term Frequency: 1         
Term: aided                          Term Frequency: 1         
Term: merely                         Term Frequency: 1         
Term: barely                         Term Frequency: 1         
Term: tell                           Term Frequency: 1         
Term: shown                          Term Frequency: 1         
Term: zone                           Term Frequency: 1         
Term: raising                        Term Frequency: 1         
Term: done                           Term Frequency: 1         
Term: open.ac.uk                     Term Frequency: 1         
Term: 3.431                          Term Frequency: 1         
Term: tend                           Term Frequency: 1         
Term: interaction                    Term Frequency: 1         
Term: areas                          Term Frequency: 1         
Term: examining                      Term Frequency: 1         
Term: term                           Term Frequency: 1         
Term: acquisition                    Term Frequency: 1         
Term: mind                           Term Frequency: 1         
Term: involve                        Term Frequency: 1         
Term: cues                           Term Frequency: 1         
Term: 0.05                           Term Frequency: 1         
Term: importance                     Term Frequency: 1         
Term: papers                         Term Frequency: 1         
Term: states                         Term Frequency: 1         
Term: concerns                       Term Frequency: 1         
Term: helping                        Term Frequency: 1         
Term: construct                      Term Frequency: 1         
Term: attempt                        Term Frequency: 1         
Term: text                           Term Frequency: 1         
Term: researchers                    Term Frequency: 1         
Term: sense                          Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: 3.3                            Term Frequency: 1         
Term: 3.4                            Term Frequency: 1         
Term: messages                       Term Frequency: 1         
Term: status                         Term Frequency: 1         
Term: doi                            Term Frequency: 1         
Term: serves                         Term Frequency: 1         
Term: known                          Term Frequency: 1         
Term: forward                        Term Frequency: 1         
Term: computation                    Term Frequency: 1         
Term: recognition                    Term Frequency: 1         
Term: main                           Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: intensive                      Term Frequency: 1         
Term: literacy                       Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: categorize                     Term Frequency: 1         
Term: exactly                        Term Frequency: 1         
Term: structure                      Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: enters                         Term Frequency: 1         
Term: empirical                      Term Frequency: 1         
Term: about                          Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: meaning                        Term Frequency: 1         
Term: 359                            Term Frequency: 1         
Term: above                          Term Frequency: 1         
Term: goals                          Term Frequency: 1         
Term: 17                             Term Frequency: 1         
Term: conveys                        Term Frequency: 1         
Term: 22                             Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: examine                        Term Frequency: 1         
Term: 29                             Term Frequency: 1         
Term: believe                        Term Frequency: 1         
Term: long                           Term Frequency: 1         
Term: 38                             Term Frequency: 1         
Term: many                           Term Frequency: 1         
Term: increasing                     Term Frequency: 1         
Term: progress                       Term Frequency: 1         
Term: treat                          Term Frequency: 1         
Term: 49                             Term Frequency: 1         
Term: numbers                        Term Frequency: 1         
Term: project                        Term Frequency: 1         
Term: displaying                     Term Frequency: 1         
Term: 55                             Term Frequency: 1         
Term: 57                             Term Frequency: 1         
Term: 58                             Term Frequency: 1         
Term: 2009a                          Term Frequency: 1         
Term: 68                             Term Frequency: 1         
Term: needed                         Term Frequency: 1         
Term: interest                       Term Frequency: 1         
Term: 71                             Term Frequency: 1         
Term: organic                        Term Frequency: 1         
Term: 10.1.1.73.19                   Term Frequency: 1         
Term: richer                         Term Frequency: 1         
Term: step                           Term Frequency: 1         
Term: whole                          Term Frequency: 1         
Term: relation                       Term Frequency: 1         
Term: toward                         Term Frequency: 1         
Term: convince                       Term Frequency: 1         
Term: word                           Term Frequency: 1         
Term: 38240                          Term Frequency: 1         
Term: internal                       Term Frequency: 1         
Term: aged                           Term Frequency: 1         
Term: discover                       Term Frequency: 1         
Term: imply                          Term Frequency: 1         
Term: adapting                       Term Frequency: 1         
Term: capture                        Term Frequency: 1         
Term: literate                       Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: deployed                       Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: year                           Term Frequency: 1         
Term: version                        Term Frequency: 1         
Term: planning                       Term Frequency: 1         
Term: contains                       Term Frequency: 1         
Term: selection                      Term Frequency: 1         
Term: least                          Term Frequency: 1         
Term: representing                   Term Frequency: 1         
Term: pedagogically                  Term Frequency: 1         
Term: signifies                      Term Frequency: 1         
Term: wrote                          Term Frequency: 1         
Term: materials                      Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: roles                          Term Frequency: 1         
Term: uts.edu.au                     Term Frequency: 1         
Term: end                            Term Frequency: 1         
Term: special                        Term Frequency: 1         
Term: 4.1                            Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: 4.3                            Term Frequency: 1         
Term: 4.8                            Term Frequency: 1         
Term: 3000                           Term Frequency: 1         
Term: 0.025                          Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: writer's                       Term Frequency: 1         
Term: acm.org                        Term Frequency: 1         
Term: 0.048                          Term Frequency: 1         
Term: 411                            Term Frequency: 1         
Term: era                            Term Frequency: 1         
Term: undertake                      Term Frequency: 1         
Term: below                          Term Frequency: 1         
Term: articulate                     Term Frequency: 1         
Term: 442                            Term Frequency: 1         
Term: around                         Term Frequency: 1         
Term: define                         Term Frequency: 1         
Term: sensemaking                    Term Frequency: 1         
Term: strategy                       Term Frequency: 1         
Term: skills                         Term Frequency: 1         
Term: monitoring                     Term Frequency: 1         
Term: argued                         Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: firstname.lastname             Term Frequency: 1         
Term: consensus                      Term Frequency: 1         
Term: describe                       Term Frequency: 1         
Term: documents                      Term Frequency: 1         
Term: solved                         Term Frequency: 1         
Term: remains                        Term Frequency: 1         
Term: might                          Term Frequency: 1         
Term: oro.open.ac.uk                 Term Frequency: 1         
Term: breaks                         Term Frequency: 1         
Term: detailed                       Term Frequency: 1         
Term: timely                         Term Frequency: 1         
Term: play                           Term Frequency: 1         
Term: criteria                       Term Frequency: 1         
Term: plan                           Term Frequency: 1         
Term: promising                      Term Frequency: 1         
Term: give                           Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: explicitly                     Term Frequency: 1         
Term: differences                    Term Frequency: 1         
Term: explore                        Term Frequency: 1         
Term: indicator                      Term Frequency: 1         
Term: presented                      Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: article’s                      Term Frequency: 1         
Term: effect                         Term Frequency: 1         
Term: topic                          Term Frequency: 1         
Term: summative                      Term Frequency: 1         
Term: contribute                     Term Frequency: 1         
Term: why                            Term Frequency: 1         
Term: necessarily                    Term Frequency: 1         
Term: candidate                      Term Frequency: 1         
Term: along                          Term Frequency: 1         
Term: affirms                        Term Frequency: 1         
Term: various                        Term Frequency: 1         
Term: attention                      Term Frequency: 1         
Term: conversely                     Term Frequency: 1         
Term: evaluated                      Term Frequency: 1         
Term: looking                        Term Frequency: 1         
Term: search                         Term Frequency: 1         
Term: systems                        Term Frequency: 1         
Term: rare                           Term Frequency: 1         
Term: patterns                       Term Frequency: 1         
Term: et                             Term Frequency: 1         
Term: carry                          Term Frequency: 1         
Term: contrary                       Term Frequency: 1         
Term: very                           Term Frequency: 1         
Term: relationships                  Term Frequency: 1         
Term: context                        Term Frequency: 1         
Term: likely                         Term Frequency: 1         
Term: schemes                        Term Frequency: 1         
Term: traditional                    Term Frequency: 1         
Term: supplement                     Term Frequency: 1         
Term: wider                          Term Frequency: 1         
Term: 0.151                          Term Frequency: 1         
Term: complete                       Term Frequency: 1         
Term: 0.109                          Term Frequency: 1         
Term: claim                          Term Frequency: 1         
Term: communication                  Term Frequency: 1         
Term: schematic                      Term Frequency: 1         
Term: citeseerx.ist.psu.edu          Term Frequency: 1         
Term: investigate                    Term Frequency: 1         
Term: allows                         Term Frequency: 1         
Term: tendencies                     Term Frequency: 1         
Term: discipline                     Term Frequency: 1         
Term: 0.097                          Term Frequency: 1         
Term: seen                           Term Frequency: 1         
Term: necessary                      Term Frequency: 1         
Term: analyzed                       Term Frequency: 1         
Term: closer                         Term Frequency: 1         
Term: epistemic                      Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: awareness                      Term Frequency: 1         
Term: usual                          Term Frequency: 1         
Term: reasonably                     Term Frequency: 1         
Term: modules                        Term Frequency: 1         
Term: extract                        Term Frequency: 1         
Term: organise                       Term Frequency: 1         
Term: support                        Term Frequency: 1         
Term: student's                      Term Frequency: 1         
Term: 0.076                          Term Frequency: 1         
Term: proportions                    Term Frequency: 1         
Term: software                       Term Frequency: 1         
Term: beyond                         Term Frequency: 1         
Term: problem                        Term Frequency: 1         
Term: presence                       Term Frequency: 1         
Term: exist                          Term Frequency: 1         
Term: insight                        Term Frequency: 1         
Term: distribution                   Term Frequency: 1         
Term: get                            Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: precise                        Term Frequency: 1         
Term: chemin                         Term Frequency: 1         
Term: help                           Term Frequency: 1         
Term: massive                        Term Frequency: 1         
Term: depth                          Term Frequency: 1         
Term: own                            Term Frequency: 1         
Term: create                         Term Frequency: 1         
Term: like                           Term Frequency: 1         
Term: efforts                        Term Frequency: 1         
Term: ground                         Term Frequency: 1         
Term: engaging                       Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: explanation                    Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: i.e                            Term Frequency: 1         
Term: datasets                       Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: discuss                        Term Frequency: 1         
Term: analysed                       Term Frequency: 1         
Term: list                           Term Frequency: 1         
Term: analyser                       Term Frequency: 1         
Term: external                       Term Frequency: 1         
Term: perform                        Term Frequency: 1         
Term: pdf                            Term Frequency: 1         
