Term: analysis                       Term Frequency: 56        
Term: vectors                        Term Frequency: 3         
Term: analytic                       Term Frequency: 3         
Term: reply                          Term Frequency: 3         
Term: take                           Term Frequency: 3         
Term: beginning                      Term Frequency: 3         
Term: 2007                           Term Frequency: 3         
Term: could                          Term Frequency: 3         
Term: able                           Term Frequency: 3         
Term: processes                      Term Frequency: 3         
Term: contribution                   Term Frequency: 3         
Term: paper                          Term Frequency: 3         
Term: providing                      Term Frequency: 3         
Term: manual                         Term Frequency: 3         
Term: its                            Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: any                            Term Frequency: 3         
Term: similarities                   Term Frequency: 3         
Term: individuals                    Term Frequency: 3         
Term: generation                     Term Frequency: 3         
Term: most                           Term Frequency: 3         
Term: cosine                         Term Frequency: 3         
Term: set                            Term Frequency: 3         
Term: developed                      Term Frequency: 3         
Term: focuses                        Term Frequency: 3         
Term: change                         Term Frequency: 3         
Term: high                           Term Frequency: 3         
Term: highly                         Term Frequency: 3         
Term: studies                        Term Frequency: 3         
Term: 8                              Term Frequency: 2         
Term: result                         Term Frequency: 2         
Term: good                           Term Frequency: 2         
Term: provided                       Term Frequency: 2         
Term: provides                       Term Frequency: 2         
Term: suitable                       Term Frequency: 2         
Term: communities                    Term Frequency: 2         
Term: technique                      Term Frequency: 2         
Term: effective                      Term Frequency: 2         
Term: 211                            Term Frequency: 2         
Term: source                         Term Frequency: 2         
Term: 1951                           Term Frequency: 2         
Term: paid                           Term Frequency: 2         
Term: measures                       Term Frequency: 2         
Term: 1979                           Term Frequency: 2         
Term: 1987                           Term Frequency: 2         
Term: 1998                           Term Frequency: 2         
Term: 1997                           Term Frequency: 2         
Term: created                        Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: browser                        Term Frequency: 2         
Term: introduction                   Term Frequency: 2         
Term: adoption                       Term Frequency: 2         
Term: acquisition                    Term Frequency: 2         
Term: right                          Term Frequency: 2         
Term: added                          Term Frequency: 2         
Term: colours                        Term Frequency: 2         
Term: importance                     Term Frequency: 2         
Term: human                          Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: made                           Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: known                          Term Frequency: 2         
Term: 300                            Term Frequency: 2         
Term: continuous                     Term Frequency: 2         
Term: structure                      Term Frequency: 2         
Term: intensity                      Term Frequency: 2         
Term: due                            Term Frequency: 2         
Term: 10                             Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: 19                             Term Frequency: 2         
Term: 21                             Term Frequency: 2         
Term: 22                             Term Frequency: 2         
Term: 23                             Term Frequency: 2         
Term: 24                             Term Frequency: 2         
Term: examine                        Term Frequency: 2         
Term: 29                             Term Frequency: 2         
Term: relationship                   Term Frequency: 2         
Term: though                         Term Frequency: 2         
Term: chronology                     Term Frequency: 2         
Term: recently                       Term Frequency: 2         
Term: step                           Term Frequency: 2         
Term: axes                           Term Frequency: 2         
Term: specified                      Term Frequency: 2         
Term: axis                           Term Frequency: 2         
Term: seems                          Term Frequency: 2         
Term: variable                       Term Frequency: 2         
Term: optimal                        Term Frequency: 2         
Term: because                        Term Frequency: 2         
Term: matrix                         Term Frequency: 2         
Term: representing                   Term Frequency: 2         
Term: notes                          Term Frequency: 2         
Term: generated                      Term Frequency: 2         
Term: users                          Term Frequency: 2         
Term: lines                          Term Frequency: 2         
Term: authors                        Term Frequency: 2         
Term: optimise                       Term Frequency: 2         
Term: around                         Term Frequency: 2         
Term: represented                    Term Frequency: 2         
Term: specifying                     Term Frequency: 2         
Term: imagine                        Term Frequency: 2         
Term: nor                            Term Frequency: 2         
Term: way                            Term Frequency: 2         
Term: promising                      Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: opened                         Term Frequency: 2         
Term: various                        Term Frequency: 2         
Term: attention                      Term Frequency: 2         
Term: uses                           Term Frequency: 2         
Term: predictive                     Term Frequency: 2         
Term: co                             Term Frequency: 2         
Term: do                             Term Frequency: 2         
Term: digital                        Term Frequency: 2         
Term: literature                     Term Frequency: 2         
Term: ability                        Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: chosen                         Term Frequency: 2         
Term: code                           Term Frequency: 2         
Term: investigate                    Term Frequency: 2         
Term: conference                     Term Frequency: 2         
Term: connected                      Term Frequency: 2         
Term: behaviours                     Term Frequency: 2         
Term: support                        Term Frequency: 2         
Term: force                          Term Frequency: 2         
Term: get                            Term Frequency: 2         
Term: course                         Term Frequency: 2         
Term: mathematical                   Term Frequency: 2         
Term: create                         Term Frequency: 2         
Term: proposed                       Term Frequency: 2         
Term: purposes                       Term Frequency: 2         
Term: link                           Term Frequency: 2         
Term: contributor                    Term Frequency: 2         
Term: combines                       Term Frequency: 2         
Term: decomposition                  Term Frequency: 2         
Term: psychology                     Term Frequency: 2         
Term: classroom                      Term Frequency: 2         
Term: particularly                   Term Frequency: 2         
Term: environments                   Term Frequency: 2         
Term: earlier                        Term Frequency: 2         
Term: represents                     Term Frequency: 2         
Term: design                         Term Frequency: 2         
Term: conduct                        Term Frequency: 2         
Term: prototypic                     Term Frequency: 2         
Term: slider                         Term Frequency: 2         
Term: given                          Term Frequency: 2         
Term: measure                        Term Frequency: 2         
Term: yet                            Term Frequency: 2         
Term: typical                        Term Frequency: 2         
Term: multi                          Term Frequency: 2         
Term: light                          Term Frequency: 2         
Term: consider                       Term Frequency: 2         
Term: distortion                     Term Frequency: 2         
Term: neither                        Term Frequency: 2         
Term: determining                    Term Frequency: 2         
Term: flexible                       Term Frequency: 2         
Term: answer                         Term Frequency: 2         
Term: 2011                           Term Frequency: 2         
Term: 2003                           Term Frequency: 2         
Term: induction                      Term Frequency: 2         
Term: together                       Term Frequency: 2         
Term: topics                         Term Frequency: 2         
Term: solution                       Term Frequency: 2         
Term: occur                          Term Frequency: 2         
Term: difficult                      Term Frequency: 2         
Term: positioning                    Term Frequency: 2         
Term: collection                     Term Frequency: 2         
Term: summary                        Term Frequency: 2         
Term: characteristics                Term Frequency: 2         
Term: employ                         Term Frequency: 2         
Term: event                          Term Frequency: 2         
Term: reference                      Term Frequency: 2         
Term: previously                     Term Frequency: 2         
Term: algorithm                      Term Frequency: 2         
Term: vatrapu                        Term Frequency: 2         
Term: distributed                    Term Frequency: 2         
Term: powerful                       Term Frequency: 2         
Term: correspond                     Term Frequency: 2         
Term: read                           Term Frequency: 2         
Term: hypothesis                     Term Frequency: 2         
Term: investigating                  Term Frequency: 2         
Term: matching                       Term Frequency: 2         
Term: conferencing                   Term Frequency: 2         
Term: through                        Term Frequency: 2         
Term: results                        Term Frequency: 2         
Term: overlay                        Term Frequency: 2         
Term: parameters                     Term Frequency: 2         
Term: distance                       Term Frequency: 2         
Term: show                           Term Frequency: 2         
Term: description                    Term Frequency: 2         
Term: generating                     Term Frequency: 2         
Term: relatedness                    Term Frequency: 2         
Term: influence                      Term Frequency: 2         
Term: important                      Term Frequency: 2         
Term: see                            Term Frequency: 2         
Term: indicate                       Term Frequency: 2         
Term: related                        Term Frequency: 2         
Term: directed                       Term Frequency: 2         
Term: interesting                    Term Frequency: 2         
Term: behavioural                    Term Frequency: 2         
Term: extended                       Term Frequency: 2         
Term: contexts                       Term Frequency: 2         
Term: 152                            Term Frequency: 2         
Term: zero                           Term Frequency: 2         
Term: degree                         Term Frequency: 2         
Term: higher                         Term Frequency: 2         
Term: graphs                         Term Frequency: 2         
Term: types                          Term Frequency: 2         
Term: interacting                    Term Frequency: 1         
Term: would                          Term Frequency: 1         
Term: left                           Term Frequency: 1         
Term: 7                              Term Frequency: 1         
Term: statistical                    Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: connect                        Term Frequency: 1         
Term: address                        Term Frequency: 1         
Term: readers                        Term Frequency: 1         
Term: others                         Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: gmail.com                      Term Frequency: 1         
Term: concentrate                    Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: 1057                           Term Frequency: 1         
Term: e.g                            Term Frequency: 1         
Term: propose                        Term Frequency: 1         
Term: humanoid                       Term Frequency: 1         
Term: matter                         Term Frequency: 1         
Term: operationally                  Term Frequency: 1         
Term: championed                     Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: overly                         Term Frequency: 1         
Term: lab                            Term Frequency: 1         
Term: centrality                     Term Frequency: 1         
Term: including                      Term Frequency: 1         
Term: less                           Term Frequency: 1         
Term: 226                            Term Frequency: 1         
Term: led                            Term Frequency: 1         
Term: 239                            Term Frequency: 1         
Term: 240                            Term Frequency: 1         
Term: creating                       Term Frequency: 1         
Term: maximally                      Term Frequency: 1         
Term: availability                   Term Frequency: 1         
Term: 253                            Term Frequency: 1         
Term: 257                            Term Frequency: 1         
Term: does                           Term Frequency: 1         
Term: creation                       Term Frequency: 1         
Term: ordinal                        Term Frequency: 1         
Term: tedious                        Term Frequency: 1         
Term: 270                            Term Frequency: 1         
Term: reflection                     Term Frequency: 1         
Term: develop                        Term Frequency: 1         
Term: 282                            Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: incommensurable                Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: doctoral                       Term Frequency: 1         
Term: 1950                           Term Frequency: 1         
Term: replying                       Term Frequency: 1         
Term: 1957                           Term Frequency: 1         
Term: enhance                        Term Frequency: 1         
Term: pain                           Term Frequency: 1         
Term: earliest                       Term Frequency: 1         
Term: 1966                           Term Frequency: 1         
Term: semantics                      Term Frequency: 1         
Term: three                          Term Frequency: 1         
Term: specifically                   Term Frequency: 1         
Term: players                        Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: priori                         Term Frequency: 1         
Term: formation                      Term Frequency: 1         
Term: 1992                           Term Frequency: 1         
Term: meant                          Term Frequency: 1         
Term: conceptual                     Term Frequency: 1         
Term: experience                     Term Frequency: 1         
Term: tens                           Term Frequency: 1         
Term: critical                       Term Frequency: 1         
Term: relies                         Term Frequency: 1         
Term: build                          Term Frequency: 1         
Term: methodology                    Term Frequency: 1         
Term: 149for                         Term Frequency: 1         
Term: past                           Term Frequency: 1         
Term: nascent                        Term Frequency: 1         
Term: term                           Term Frequency: 1         
Term: emergence                      Term Frequency: 1         
Term: possible                       Term Frequency: 1         
Term: constrained                    Term Frequency: 1         
Term: elucidation                    Term Frequency: 1         
Term: adding                         Term Frequency: 1         
Term: possibly                       Term Frequency: 1         
Term: parcel                         Term Frequency: 1         
Term: test                           Term Frequency: 1         
Term: varied                         Term Frequency: 1         
Term: final                          Term Frequency: 1         
Term: tackle                         Term Frequency: 1         
Term: papers                         Term Frequency: 1         
Term: considerations                 Term Frequency: 1         
Term: nobuko.fujita                  Term Frequency: 1         
Term: revealed                       Term Frequency: 1         
Term: usually                        Term Frequency: 1         
Term: inferences                     Term Frequency: 1         
Term: sense                          Term Frequency: 1         
Term: yielded                        Term Frequency: 1         
Term: field                          Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: interval                       Term Frequency: 1         
Term: evaluate                       Term Frequency: 1         
Term: lacks                          Term Frequency: 1         
Term: obscured                       Term Frequency: 1         
Term: 309                            Term Frequency: 1         
Term: 310                            Term Frequency: 1         
Term: intensive                      Term Frequency: 1         
Term: includes                       Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: 325                            Term Frequency: 1         
Term: oriented                       Term Frequency: 1         
Term: 336                            Term Frequency: 1         
Term: 337                            Term Frequency: 1         
Term: attempting                     Term Frequency: 1         
Term: 343                            Term Frequency: 1         
Term: 02                             Term Frequency: 1         
Term: interpreting                   Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: 352                            Term Frequency: 1         
Term: 353                            Term Frequency: 1         
Term: 354                            Term Frequency: 1         
Term: above                          Term Frequency: 1         
Term: released                       Term Frequency: 1         
Term: goals                          Term Frequency: 1         
Term: code.google.com                Term Frequency: 1         
Term: 366                            Term Frequency: 1         
Term: 368                            Term Frequency: 1         
Term: 26                             Term Frequency: 1         
Term: examines                       Term Frequency: 1         
Term: believe                        Term Frequency: 1         
Term: 371                            Term Frequency: 1         
Term: long                           Term Frequency: 1         
Term: 38                             Term Frequency: 1         
Term: texts                          Term Frequency: 1         
Term: 41                             Term Frequency: 1         
Term: open                           Term Frequency: 1         
Term: 42                             Term Frequency: 1         
Term: 46                             Term Frequency: 1         
Term: 49                             Term Frequency: 1         
Term: numbers                        Term Frequency: 1         
Term: 50                             Term Frequency: 1         
Term: 147features                    Term Frequency: 1         
Term: 55                             Term Frequency: 1         
Term: studying                       Term Frequency: 1         
Term: solutions                      Term Frequency: 1         
Term: felt                           Term Frequency: 1         
Term: clusters                       Term Frequency: 1         
Term: apply                          Term Frequency: 1         
Term: 10.00                          Term Frequency: 1         
Term: 84                             Term Frequency: 1         
Term: 87                             Term Frequency: 1         
Term: 89                             Term Frequency: 1         
Term: reliably                       Term Frequency: 1         
Term: word                           Term Frequency: 1         
Term: staking                        Term Frequency: 1         
Term: installation                   Term Frequency: 1         
Term: writing                        Term Frequency: 1         
Term: simplest                       Term Frequency: 1         
Term: computationally                Term Frequency: 1         
Term: tutoring                       Term Frequency: 1         
Term: exists                         Term Frequency: 1         
Term: 148can                         Term Frequency: 1         
Term: permissive                     Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: 1201                           Term Frequency: 1         
Term: annotate                       Term Frequency: 1         
Term: visual                         Term Frequency: 1         
Term: 1231                           Term Frequency: 1         
Term: version                        Term Frequency: 1         
Term: selection                      Term Frequency: 1         
Term: annotating                     Term Frequency: 1         
Term: subsequently                   Term Frequency: 1         
Term: measurement                    Term Frequency: 1         
Term: minimize                       Term Frequency: 1         
Term: density                        Term Frequency: 1         
Term: learn                          Term Frequency: 1         
Term: highlighted                    Term Frequency: 1         
Term: incorporates                   Term Frequency: 1         
Term: generates                      Term Frequency: 1         
Term: need                           Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: technical                      Term Frequency: 1         
Term: intentionally                  Term Frequency: 1         
Term: noted                          Term Frequency: 1         
Term: contributors                   Term Frequency: 1         
Term: slightly                       Term Frequency: 1         
Term: wanting                        Term Frequency: 1         
Term: occurs                         Term Frequency: 1         
Term: newly                          Term Frequency: 1         
Term: specify                        Term Frequency: 1         
Term: preceding                      Term Frequency: 1         
Term: visualize                      Term Frequency: 1         
Term: numbering                      Term Frequency: 1         
Term: below                          Term Frequency: 1         
Term: positions                      Term Frequency: 1         
Term: conceptualizing                Term Frequency: 1         
Term: stimulation                    Term Frequency: 1         
Term: specific                       Term Frequency: 1         
Term: expertise                      Term Frequency: 1         
Term: builds                         Term Frequency: 1         
Term: associations                   Term Frequency: 1         
Term: referencing                    Term Frequency: 1         
Term: centred                        Term Frequency: 1         
Term: structures                     Term Frequency: 1         
Term: consensus                      Term Frequency: 1         
Term: incomplete                     Term Frequency: 1         
Term: whatever                       Term Frequency: 1         
Term: derived                        Term Frequency: 1         
Term: effectively                    Term Frequency: 1         
Term: detailed                       Term Frequency: 1         
Term: attempted                      Term Frequency: 1         
Term: interpretable                  Term Frequency: 1         
Term: dimensionality                 Term Frequency: 1         
Term: depends                        Term Frequency: 1         
Term: limiting                       Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: raters                         Term Frequency: 1         
Term: enabled                        Term Frequency: 1         
Term: embedding                      Term Frequency: 1         
Term: enables                        Term Frequency: 1         
Term: explore                        Term Frequency: 1         
Term: economic                       Term Frequency: 1         
Term: statistics                     Term Frequency: 1         
Term: section                        Term Frequency: 1         
Term: presented                      Term Frequency: 1         
Term: few                            Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: visible                        Term Frequency: 1         
Term: solely                         Term Frequency: 1         
Term: produced                       Term Frequency: 1         
Term: effects                        Term Frequency: 1         
Term: effect                         Term Frequency: 1         
Term: who                            Term Frequency: 1         
Term: stimulus                       Term Frequency: 1         
Term: reduction                      Term Frequency: 1         
Term: multidimensional               Term Frequency: 1         
Term: multiplexity                   Term Frequency: 1         
Term: analyzing                      Term Frequency: 1         
Term: al                             Term Frequency: 1         
Term: extend                         Term Frequency: 1         
Term: simultaneously                 Term Frequency: 1         
Term: looking                        Term Frequency: 1         
Term: consideration                  Term Frequency: 1         
Term: formed                         Term Frequency: 1         
Term: essential                      Term Frequency: 1         
Term: language                       Term Frequency: 1         
Term: meaningful                     Term Frequency: 1         
Term: payoffs                        Term Frequency: 1         
Term: ed                             Term Frequency: 1         
Term: et                             Term Frequency: 1         
Term: rate                           Term Frequency: 1         
Term: class                          Term Frequency: 1         
Term: reporting                      Term Frequency: 1         
Term: form                           Term Frequency: 1         
Term: significantly                  Term Frequency: 1         
Term: presents                       Term Frequency: 1         
Term: https                          Term Frequency: 1         
Term: likely                         Term Frequency: 1         
Term: additive                       Term Frequency: 1         
Term: traditional                    Term Frequency: 1         
Term: contrast                       Term Frequency: 1         
Term: occurrence                     Term Frequency: 1         
Term: generally                      Term Frequency: 1         
Term: chronologically                Term Frequency: 1         
Term: la                             Term Frequency: 1         
Term: suggests                       Term Frequency: 1         
Term: widespread                     Term Frequency: 1         
Term: survey                         Term Frequency: 1         
Term: considerable                   Term Frequency: 1         
Term: positioned                     Term Frequency: 1         
Term: brief                          Term Frequency: 1         
Term: problematic                    Term Frequency: 1         
Term: indications                    Term Frequency: 1         
Term: hundreds                       Term Frequency: 1         
Term: proposal                       Term Frequency: 1         
Term: re                             Term Frequency: 1         
Term: concepts                       Term Frequency: 1         
Term: seem                           Term Frequency: 1         
Term: necessary                      Term Frequency: 1         
Term: tekri.athabascau.ca            Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: know                           Term Frequency: 1         
Term: vertical                       Term Frequency: 1         
Term: heir                           Term Frequency: 1         
Term: examination                    Term Frequency: 1         
Term: cases                          Term Frequency: 1         
Term: previous                       Term Frequency: 1         
Term: argue                          Term Frequency: 1         
Term: type                           Term Frequency: 1         
Term: optimization                   Term Frequency: 1         
Term: deeply                         Term Frequency: 1         
Term: exist                          Term Frequency: 1         
Term: insight                        Term Frequency: 1         
Term: examples                       Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: precious                       Term Frequency: 1         
Term: date                           Term Frequency: 1         
Term: categorical                    Term Frequency: 1         
Term: reveal                         Term Frequency: 1         
Term: line                           Term Frequency: 1         
Term: scale                          Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: cognition                      Term Frequency: 1         
Term: begins                         Term Frequency: 1         
Term: organizational                 Term Frequency: 1         
Term: possess                        Term Frequency: 1         
Term: much                           Term Frequency: 1         
Term: achieve                        Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: combined                       Term Frequency: 1         
Term: analysed                       Term Frequency: 1         
Term: list                           Term Frequency: 1         
Term: success                        Term Frequency: 1         
Term: claims                         Term Frequency: 1         
Term: you're                         Term Frequency: 1         
Term: perform                        Term Frequency: 1         
Term: utoronto.ca                    Term Frequency: 1         
Term: 22,271                         Term Frequency: 1         
Term: assisted                       Term Frequency: 1         
Term: thresholds                     Term Frequency: 1         
Term: analyze                        Term Frequency: 1         
Term: engaged                        Term Frequency: 1         
Term: functionality                  Term Frequency: 1         
Term: possibilities                  Term Frequency: 1         
Term: almost                         Term Frequency: 1         
Term: equally                        Term Frequency: 1         
Term: members                        Term Frequency: 1         
Term: simplified                     Term Frequency: 1         
Term: ties                           Term Frequency: 1         
Term: working                        Term Frequency: 1         
Term: importation                    Term Frequency: 1         
Term: discussion                     Term Frequency: 1         
Term: dissertation                   Term Frequency: 1         
Term: cosines                        Term Frequency: 1         
Term: intimate                       Term Frequency: 1         
Term: diagram                        Term Frequency: 1         
Term: guided                         Term Frequency: 1         
Term: offers                         Term Frequency: 1         
Term: chris.teplovs                  Term Frequency: 1         
Term: clarity                        Term Frequency: 1         
Term: applications                   Term Frequency: 1         
Term: having                         Term Frequency: 1         
Term: ways                           Term Frequency: 1         
Term: unintelligible                 Term Frequency: 1         
Term: unfortunately                  Term Frequency: 1         
Term: choice                         Term Frequency: 1         
Term: before                         Term Frequency: 1         
