Term: knowledge                      Term Frequency: 44        
Term: analytics                      Term Frequency: 4         
Term: society                        Term Frequency: 4         
Term: well                           Term Frequency: 4         
Term: have                           Term Frequency: 4         
Term: two                            Term Frequency: 4         
Term: computer                       Term Frequency: 4         
Term: build                          Term Frequency: 4         
Term: researchers                    Term Frequency: 4         
Term: knowl                          Term Frequency: 4         
Term: use                            Term Frequency: 4         
Term: make                           Term Frequency: 4         
Term: 10                             Term Frequency: 4         
Term: 11                             Term Frequency: 4         
Term: 12                             Term Frequency: 4         
Term: 18                             Term Frequency: 4         
Term: 22                             Term Frequency: 4         
Term: 25                             Term Frequency: 4         
Term: progress                       Term Frequency: 4         
Term: attempts                       Term Frequency: 4         
Term: science                        Term Frequency: 4         
Term: learn                          Term Frequency: 4         
Term: often                          Term Frequency: 4         
Term: education                      Term Frequency: 4         
Term: developing                     Term Frequency: 4         
Term: significantly                  Term Frequency: 4         
Term: edge                           Term Frequency: 4         
Term: analyzed                       Term Frequency: 4         
Term: type                           Term Frequency: 4         
Term: basic                          Term Frequency: 4         
Term: facts                          Term Frequency: 4         
Term: school                         Term Frequency: 4         
Term: tion                           Term Frequency: 4         
Term: dimension                      Term Frequency: 4         
Term: been                           Term Frequency: 4         
Term: count                          Term Frequency: 4         
Term: 2012                           Term Frequency: 4         
Term: 2006                           Term Frequency: 4         
Term: 2013                           Term Frequency: 4         
Term: processes                      Term Frequency: 4         
Term: opinions                       Term Frequency: 4         
Term: online                         Term Frequency: 4         
Term: advancement                    Term Frequency: 4         
Term: number                         Term Frequency: 4         
Term: future                         Term Frequency: 4         
Term: 0.9                            Term Frequency: 4         
Term: also                           Term Frequency: 4         
Term: studies                        Term Frequency: 4         
Term: statistical                    Term Frequency: 3         
Term: thelearning                    Term Frequency: 3         
Term: applied                        Term Frequency: 3         
Term: provided                       Term Frequency: 3         
Term: introducing                    Term Frequency: 3         
Term: tributing                      Term Frequency: 3         
Term: full                           Term Frequency: 3         
Term: short                          Term Frequency: 3         
Term: merely                         Term Frequency: 3         
Term: means                          Term Frequency: 3         
Term: further                        Term Frequency: 3         
Term: importance                     Term Frequency: 3         
Term: 15                             Term Frequency: 3         
Term: 16                             Term Frequency: 3         
Term: 17                             Term Frequency: 3         
Term: 19                             Term Frequency: 3         
Term: 21                             Term Frequency: 3         
Term: 23                             Term Frequency: 3         
Term: open                           Term Frequency: 3         
Term: year                           Term Frequency: 3         
Term: community                      Term Frequency: 3         
Term: evidence                       Term Frequency: 3         
Term: responding                     Term Frequency: 3         
Term: indicated                      Term Frequency: 3         
Term: improving                      Term Frequency: 3         
Term: what                           Term Frequency: 3         
Term: categories                     Term Frequency: 3         
Term: produced                       Term Frequency: 3         
Term: dialogue                       Term Frequency: 3         
Term: matters                        Term Frequency: 3         
Term: than                           Term Frequency: 3         
Term: cognitive                      Term Frequency: 3         
Term: one                            Term Frequency: 3         
Term: gap                            Term Frequency: 3         
Term: out                            Term Frequency: 3         
Term: development                    Term Frequency: 3         
Term: note                           Term Frequency: 3         
Term: identified                     Term Frequency: 3         
Term: tive                           Term Frequency: 3         
Term: process                        Term Frequency: 3         
Term: 2011                           Term Frequency: 3         
Term: distinguish                    Term Frequency: 3         
Term: space                          Term Frequency: 3         
Term: providing                      Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: supportedcollaborative         Term Frequency: 3         
Term: 0.6                            Term Frequency: 3         
Term: theories                       Term Frequency: 3         
Term: relations                      Term Frequency: 3         
Term: through                        Term Frequency: 3         
Term: simple                         Term Frequency: 3         
Term: complex                        Term Frequency: 3         
Term: scheme                         Term Frequency: 3         
Term: set                            Term Frequency: 3         
Term: uncovering                     Term Frequency: 3         
Term: over                           Term Frequency: 3         
Term: occurrences                    Term Frequency: 3         
Term: available                      Term Frequency: 3         
Term: technology                     Term Frequency: 3         
Term: only                           Term Frequency: 3         
Term: can                            Term Frequency: 3         
Term: tem                            Term Frequency: 2         
Term: applies                        Term Frequency: 2         
Term: role                           Term Frequency: 2         
Term: example                        Term Frequency: 2         
Term: same                           Term Frequency: 2         
Term: behavioral                     Term Frequency: 2         
Term: experiment                     Term Frequency: 2         
Term: flow                           Term Frequency: 2         
Term: inter                          Term Frequency: 2         
Term: including                      Term Frequency: 2         
Term: less                           Term Frequency: 2         
Term: improve                        Term Frequency: 2         
Term: ques                           Term Frequency: 2         
Term: occurred                       Term Frequency: 2         
Term: tech                           Term Frequency: 2         
Term: involves                       Term Frequency: 2         
Term: involved                       Term Frequency: 2         
Term: page                           Term Frequency: 2         
Term: tribution                      Term Frequency: 2         
Term: primary                        Term Frequency: 2         
Term: computed                       Term Frequency: 2         
Term: ofcontingency                  Term Frequency: 2         
Term: 1999                           Term Frequency: 2         
Term: shows                          Term Frequency: 2         
Term: water                          Term Frequency: 2         
Term: seeking                        Term Frequency: 2         
Term: methodology                    Term Frequency: 2         
Term: compare                        Term Frequency: 2         
Term: under                          Term Frequency: 2         
Term: test                           Term Frequency: 2         
Term: tackle                         Term Frequency: 2         
Term: visualizations                 Term Frequency: 2         
Term: made                           Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: main                           Term Frequency: 2         
Term: mea                            Term Frequency: 2         
Term: included                       Term Frequency: 2         
Term: thread                         Term Frequency: 2         
Term: 08                             Term Frequency: 2         
Term: trees                          Term Frequency: 2         
Term: boost                          Term Frequency: 2         
Term: shared                         Term Frequency: 2         
Term: association                    Term Frequency: 2         
Term: many                           Term Frequency: 2         
Term: 40                             Term Frequency: 2         
Term: 42                             Term Frequency: 2         
Term: numbers                        Term Frequency: 2         
Term: studying                       Term Frequency: 2         
Term: van                            Term Frequency: 2         
Term: theory                         Term Frequency: 2         
Term: sequence                       Term Frequency: 2         
Term: because                        Term Frequency: 2         
Term: version                        Term Frequency: 2         
Term: computers                      Term Frequency: 2         
Term: tests                          Term Frequency: 2         
Term: twotypes                       Term Frequency: 2         
Term: rich                           Term Frequency: 2         
Term: significance                   Term Frequency: 2         
Term: achieved                       Term Frequency: 2         
Term: occurs                         Term Frequency: 2         
Term: tions                          Term Frequency: 2         
Term: links                          Term Frequency: 2         
Term: new                            Term Frequency: 2         
Term: expected                       Term Frequency: 2         
Term: window                         Term Frequency: 2         
Term: differences                    Term Frequency: 2         
Term: codedin                        Term Frequency: 2         
Term: statistics                     Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: used                           Term Frequency: 2         
Term: few                            Term Frequency: 2         
Term: otherwise                      Term Frequency: 2         
Term: handbook                       Term Frequency: 2         
Term: attention                      Term Frequency: 2         
Term: ad                             Term Frequency: 2         
Term: ap                             Term Frequency: 2         
Term: needs                          Term Frequency: 2         
Term: piece                          Term Frequency: 2         
Term: identifying                    Term Frequency: 2         
Term: class                          Term Frequency: 2         
Term: go                             Term Frequency: 2         
Term: basedon                        Term Frequency: 2         
Term: relationships                  Term Frequency: 2         
Term: contrast                       Term Frequency: 2         
Term: literature                     Term Frequency: 2         
Term: 2.06                           Term Frequency: 2         
Term: predicting                     Term Frequency: 2         
Term: tioning                        Term Frequency: 2         
Term: constructivist                 Term Frequency: 2         
Term: while                          Term Frequency: 2         
Term: sufficient                     Term Frequency: 2         
Term: investigate                    Term Frequency: 2         
Term: theo                           Term Frequency: 2         
Term: them                           Term Frequency: 2         
Term: bridge                         Term Frequency: 2         
Term: cyclicity                      Term Frequency: 2         
Term: un                             Term Frequency: 2         
Term: authoritative                  Term Frequency: 2         
Term: transi                         Term Frequency: 2         
Term: problem                        Term Frequency: 2         
Term: method                         Term Frequency: 2         
Term: tools                          Term Frequency: 2         
Term: help                           Term Frequency: 2         
Term: techniques                     Term Frequency: 2         
Term: scale                          Term Frequency: 2         
Term: cognition                      Term Frequency: 2         
Term: recognized                     Term Frequency: 2         
Term: without                        Term Frequency: 2         
Term: contributions                  Term Frequency: 2         
Term: sures                          Term Frequency: 2         
Term: area                           Term Frequency: 2         
Term: tracing                        Term Frequency: 2         
Term: indicating                     Term Frequency: 2         
Term: whether                        Term Frequency: 2         
Term: attending                      Term Frequency: 2         
Term: uncover                        Term Frequency: 2         
Term: difference                     Term Frequency: 2         
Term: actions                        Term Frequency: 2         
Term: had                            Term Frequency: 2         
Term: given                          Term Frequency: 2         
Term: overview                       Term Frequency: 2         
Term: classrooms                     Term Frequency: 2         
Term: editor                         Term Frequency: 2         
Term: sliding                        Term Frequency: 2         
Term: small                          Term Frequency: 2         
Term: poral                          Term Frequency: 2         
Term: characteristic                 Term Frequency: 2         
Term: how                            Term Frequency: 2         
Term: transition                     Term Frequency: 2         
Term: analytic                       Term Frequency: 2         
Term: questions                      Term Frequency: 2         
Term: take                           Term Frequency: 2         
Term: immediate                      Term Frequency: 2         
Term: some                           Term Frequency: 2         
Term: 2008                           Term Frequency: 2         
Term: temporalpatterns               Term Frequency: 2         
Term: bidirectional                  Term Frequency: 2         
Term: coded                          Term Frequency: 2         
Term: problems                       Term Frequency: 2         
Term: irregularities                 Term Frequency: 2         
Term: designing                      Term Frequency: 2         
Term: showed                         Term Frequency: 2         
Term: focusing                       Term Frequency: 2         
Term: linguistics                    Term Frequency: 2         
Term: knowledgeconstruction          Term Frequency: 2         
Term: fall                           Term Frequency: 2         
Term: first                          Term Frequency: 2         
Term: normally                       Term Frequency: 2         
Term: constructive                   Term Frequency: 2         
Term: identify                       Term Frequency: 2         
Term: hypotheses                     Term Frequency: 2         
Term: conducted                      Term Frequency: 2         
Term: unit                           Term Frequency: 2         
Term: 1.83                           Term Frequency: 2         
Term: any                            Term Frequency: 2         
Term: where                          Term Frequency: 2         
Term: strength                       Term Frequency: 2         
Term: colleagues                     Term Frequency: 2         
Term: sci                            Term Frequency: 2         
Term: responsibility                 Term Frequency: 2         
Term: developed                      Term Frequency: 2         
Term: advances                       Term Frequency: 2         
Term: posts                          Term Frequency: 2         
Term: scores                         Term Frequency: 2         
Term: social                         Term Frequency: 2         
Term: cross                          Term Frequency: 2         
Term: descriptive                    Term Frequency: 2         
Term: 117                            Term Frequency: 2         
Term: sub                            Term Frequency: 2         
Term: higher                         Term Frequency: 2         
Term: highlights                     Term Frequency: 2         
Term: individual                     Term Frequency: 2         
Term: indirect                       Term Frequency: 2         
Term: category                       Term Frequency: 2         
Term: terested                       Term Frequency: 1         
Term: would                          Term Frequency: 1         
Term: outcomes                       Term Frequency: 1         
Term: theprogressive                 Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: z                              Term Frequency: 1         
Term: buildinginquiry                Term Frequency: 1         
Term: laborative                     Term Frequency: 1         
Term: others                         Term Frequency: 1         
Term: predicted                      Term Frequency: 1         
Term: making                         Term Frequency: 1         
Term: 2567574.2567606a               Term Frequency: 1         
Term: 98.65                          Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: multiple                       Term Frequency: 1         
Term: ranging                        Term Frequency: 1         
Term: tween                          Term Frequency: 1         
Term: automate                       Term Frequency: 1         
Term: significantlyless              Term Frequency: 1         
Term: analysismethods                Term Frequency: 1         
Term: whichpromote                   Term Frequency: 1         
Term: order                          Term Frequency: 1         
Term: componentsof                   Term Frequency: 1         
Term: forintersubjective             Term Frequency: 1         
Term: picture                        Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: com                            Term Frequency: 1         
Term: col                            Term Frequency: 1         
Term: 3.04                           Term Frequency: 1         
Term: tra                            Term Frequency: 1         
Term: 1shows                         Term Frequency: 1         
Term: summarizing                    Term Frequency: 1         
Term: 3.11                           Term Frequency: 1         
Term: conflicting                    Term Frequency: 1         
Term: sible                          Term Frequency: 1         
Term: technique                      Term Frequency: 1         
Term: theoriz                        Term Frequency: 1         
Term: renowned                       Term Frequency: 1         
Term: effective                      Term Frequency: 1         
Term: times                          Term Frequency: 1         
Term: informationabout               Term Frequency: 1         
Term: aforementioned                 Term Frequency: 1         
Term: 3.33                           Term Frequency: 1         
Term: analyt                         Term Frequency: 1         
Term: 3.47                           Term Frequency: 1         
Term: 231                            Term Frequency: 1         
Term: 237                            Term Frequency: 1         
Term: causaland                      Term Frequency: 1         
Term: defined                        Term Frequency: 1         
Term: secondaryanalysis              Term Frequency: 1         
Term: 262                            Term Frequency: 1         
Term: 271                            Term Frequency: 1         
Term: develop                        Term Frequency: 1         
Term: egory                          Term Frequency: 1         
Term: ences                          Term Frequency: 1         
Term: 298                            Term Frequency: 1         
Term: center                         Term Frequency: 1         
Term: start                          Term Frequency: 1         
Term: interactive                    Term Frequency: 1         
Term: three                          Term Frequency: 1         
Term: specifically                   Term Frequency: 1         
Term: 1979                           Term Frequency: 1         
Term: 1978                           Term Frequency: 1         
Term: thetemporal                    Term Frequency: 1         
Term: 1987                           Term Frequency: 1         
Term: 1983                           Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: theform                        Term Frequency: 1         
Term: formation                      Term Frequency: 1         
Term: 1993                           Term Frequency: 1         
Term: prob                           Term Frequency: 1         
Term: initiat                        Term Frequency: 1         
Term: performed                      Term Frequency: 1         
Term: conceptual                     Term Frequency: 1         
Term: drafting                       Term Frequency: 1         
Term: tell                           Term Frequency: 1         
Term: distinguishing                 Term Frequency: 1         
Term: flattened                      Term Frequency: 1         
Term: ferent                         Term Frequency: 1         
Term: tent                           Term Frequency: 1         
Term: part                           Term Frequency: 1         
Term: temporaldimension              Term Frequency: 1         
Term: principal                      Term Frequency: 1         
Term: interactional                  Term Frequency: 1         
Term: built                          Term Frequency: 1         
Term: der                            Term Frequency: 1         
Term: evolves                        Term Frequency: 1         
Term: toreveal                       Term Frequency: 1         
Term: 1101                           Term Frequency: 1         
Term: cessible                       Term Frequency: 1         
Term: hypothesis10                   Term Frequency: 1         
Term: basedonline                    Term Frequency: 1         
Term: acomputer                      Term Frequency: 1         
Term: evidenceinformation            Term Frequency: 1         
Term: did                            Term Frequency: 1         
Term: dif                            Term Frequency: 1         
Term: 0.11                           Term Frequency: 1         
Term: dis                            Term Frequency: 1         
Term: learningtheories               Term Frequency: 1         
Term: 0.05                           Term Frequency: 1         
Term: computational                  Term Frequency: 1         
Term: identi                         Term Frequency: 1         
Term: 0.22                           Term Frequency: 1         
Term: 0.23                           Term Frequency: 1         
Term: intriguing                     Term Frequency: 1         
Term: 0.21                           Term Frequency: 1         
Term: 0.14                           Term Frequency: 1         
Term: methodological                 Term Frequency: 1         
Term: rather                         Term Frequency: 1         
Term: 0.31                           Term Frequency: 1         
Term: 0.32                           Term Frequency: 1         
Term: 649,1979                       Term Frequency: 1         
Term: 0.27                           Term Frequency: 1         
Term: studentswere                   Term Frequency: 1         
Term: permission                     Term Frequency: 1         
Term: 0.42                           Term Frequency: 1         
Term: expands                        Term Frequency: 1         
Term: 10thinternational              Term Frequency: 1         
Term: 0.39                           Term Frequency: 1         
Term: denotestransition              Term Frequency: 1         
Term: 0.37                           Term Frequency: 1         
Term: 0.35                           Term Frequency: 1         
Term: synergy                        Term Frequency: 1         
Term: 0.54                           Term Frequency: 1         
Term: integrationof                  Term Frequency: 1         
Term: 0.46                           Term Frequency: 1         
Term: focusingon                     Term Frequency: 1         
Term: lying                          Term Frequency: 1         
Term: wasfinally                     Term Frequency: 1         
Term: 0.67                           Term Frequency: 1         
Term: 0.64                           Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: 0.58                           Term Frequency: 1         
Term: 0.70                           Term Frequency: 1         
Term: 0.77                           Term Frequency: 1         
Term: discourseanalysis              Term Frequency: 1         
Term: phenomenoncould                Term Frequency: 1         
Term: explorepossibilities           Term Frequency: 1         
Term: 0.84                           Term Frequency: 1         
Term: 0.92                           Term Frequency: 1         
Term: 95.52                          Term Frequency: 1         
Term: 312                            Term Frequency: 1         
Term: continuous                     Term Frequency: 1         
Term: 315                            Term Frequency: 1         
Term: includes                       Term Frequency: 1         
Term: signif                         Term Frequency: 1         
Term: null                           Term Frequency: 1         
Term: directions                     Term Frequency: 1         
Term: 323                            Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: interactiondata                Term Frequency: 1         
Term: forpersonal                    Term Frequency: 1         
Term: 337                            Term Frequency: 1         
Term: questioned                     Term Frequency: 1         
Term: authentic                      Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: psychological                  Term Frequency: 1         
Term: 06                             Term Frequency: 1         
Term: 07                             Term Frequency: 1         
Term: about                          Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: observed                       Term Frequency: 1         
Term: meaning                        Term Frequency: 1         
Term: substantial                    Term Frequency: 1         
Term: quality                        Term Frequency: 1         
Term: 363                            Term Frequency: 1         
Term: 366                            Term Frequency: 1         
Term: unique                         Term Frequency: 1         
Term: 28                             Term Frequency: 1         
Term: mid                            Term Frequency: 1         
Term: 370                            Term Frequency: 1         
Term: fell                           Term Frequency: 1         
Term: research1                      Term Frequency: 1         
Term: 378                            Term Frequency: 1         
Term: examined                       Term Frequency: 1         
Term: 31                             Term Frequency: 1         
Term: 33                             Term Frequency: 1         
Term: 34                             Term Frequency: 1         
Term: 35                             Term Frequency: 1         
Term: 39                             Term Frequency: 1         
Term: 1to                            Term Frequency: 1         
Term: extensive                      Term Frequency: 1         
Term: 44                             Term Frequency: 1         
Term: 45                             Term Frequency: 1         
Term: 46                             Term Frequency: 1         
Term: 48                             Term Frequency: 1         
Term: 391                            Term Frequency: 1         
Term: 398                            Term Frequency: 1         
Term: 55                             Term Frequency: 1         
Term: 56                             Term Frequency: 1         
Term: 57                             Term Frequency: 1         
Term: 59                             Term Frequency: 1         
Term: 63                             Term Frequency: 1         
Term: 66                             Term Frequency: 1         
Term: 67                             Term Frequency: 1         
Term: needed                         Term Frequency: 1         
Term: atthe                          Term Frequency: 1         
Term: recently                       Term Frequency: 1         
Term: base                           Term Frequency: 1         
Term: reliably                       Term Frequency: 1         
Term: cused                          Term Frequency: 1         
Term: relation                       Term Frequency: 1         
Term: loss                           Term Frequency: 1         
Term: ofinvestigating                Term Frequency: 1         
Term: 97                             Term Frequency: 1         
Term: 98                             Term Frequency: 1         
Term: var                            Term Frequency: 1         
Term: throughgrouping                Term Frequency: 1         
Term: specified                      Term Frequency: 1         
Term: across                         Term Frequency: 1         
Term: ear                            Term Frequency: 1         
Term: writing                        Term Frequency: 1         
Term: bearthis                       Term Frequency: 1         
Term: rality                         Term Frequency: 1         
Term: forthe                         Term Frequency: 1         
Term: gathering                      Term Frequency: 1         
Term: opinion                        Term Frequency: 1         
Term: possibletemporal               Term Frequency: 1         
Term: of226different                 Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: appearsnon                     Term Frequency: 1         
Term: mediatortribution              Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: improv                         Term Frequency: 1         
Term: toredistribute                 Term Frequency: 1         
Term: understanding                  Term Frequency: 1         
Term: assigning                      Term Frequency: 1         
Term: agreement                      Term Frequency: 1         
Term: discoursean                    Term Frequency: 1         
Term: 15.74                          Term Frequency: 1         
Term: ofthreads                      Term Frequency: 1         
Term: characterize                   Term Frequency: 1         
Term: emerge                         Term Frequency: 1         
Term: appliedthe                     Term Frequency: 1         
Term: inprevious                     Term Frequency: 1         
Term: stud                           Term Frequency: 1         
Term: struction                      Term Frequency: 1         
Term: incorporated                   Term Frequency: 1         
Term: wasconducted                   Term Frequency: 1         
Term: need                           Term Frequency: 1         
Term: assessmenttools                Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: 10th                           Term Frequency: 1         
Term: roles                          Term Frequency: 1         
Term: end                            Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: progressive                    Term Frequency: 1         
Term: referred                       Term Frequency: 1         
Term: slightly                       Term Frequency: 1         
Term: ries                           Term Frequency: 1         
Term: acertain                       Term Frequency: 1         
Term: sources12                      Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: mapping                        Term Frequency: 1         
Term: anyunderstanding               Term Frequency: 1         
Term: discourseis                    Term Frequency: 1         
Term: betweenthe                     Term Frequency: 1         
Term: discoursein                    Term Frequency: 1         
Term: authors                        Term Frequency: 1         
Term: threadsdifferent               Term Frequency: 1         
Term: methodfor                      Term Frequency: 1         
Term: 445                            Term Frequency: 1         
Term: supportive                     Term Frequency: 1         
Term: centric                        Term Frequency: 1         
Term: around                         Term Frequency: 1         
Term: iors                           Term Frequency: 1         
Term: adjacent                       Term Frequency: 1         
Term: specific                       Term Frequency: 1         
Term: 465                            Term Frequency: 1         
Term: 470                            Term Frequency: 1         
Term: builds                         Term Frequency: 1         
Term: merging                        Term Frequency: 1         
Term: exchanges                      Term Frequency: 1         
Term: argues                         Term Frequency: 1         
Term: another                        Term Frequency: 1         
Term: 494                            Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: ness                           Term Frequency: 1         
Term: whichis                        Term Frequency: 1         
Term: ious                           Term Frequency: 1         
Term: understood                     Term Frequency: 1         
Term: remains                        Term Frequency: 1         
Term: github.com                     Term Frequency: 1         
Term: intothe                        Term Frequency: 1         
Term: basiccontribution              Term Frequency: 1         
Term: involving                      Term Frequency: 1         
Term: 5.49                           Term Frequency: 1         
Term: proximately                    Term Frequency: 1         
Term: metadisourse                   Term Frequency: 1         
Term: central                        Term Frequency: 1         
Term: derived                        Term Frequency: 1         
Term: contributiontypes              Term Frequency: 1         
Term: effectively                    Term Frequency: 1         
Term: 5.53                           Term Frequency: 1         
Term: rise                           Term Frequency: 1         
Term: discard                        Term Frequency: 1         
Term: andnumber                      Term Frequency: 1         
Term: denoting                       Term Frequency: 1         
Term: probability                    Term Frequency: 1         
Term: threadshad                     Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: raters                         Term Frequency: 1         
Term: useof                          Term Frequency: 1         
Term: explicitly                     Term Frequency: 1         
Term: direct                         Term Frequency: 1         
Term: animportant                    Term Frequency: 1         
Term: enables                        Term Frequency: 1         
Term: explore                        Term Frequency: 1         
Term: mulative                       Term Frequency: 1         
Term: deepenquestioning              Term Frequency: 1         
Term: num                            Term Frequency: 1         
Term: alytic                         Term Frequency: 1         
Term: presented                      Term Frequency: 1         
Term: topic                          Term Frequency: 1         
Term: contribute                     Term Frequency: 1         
Term: underthe                       Term Frequency: 1         
Term: obtaininginformation           Term Frequency: 1         
Term: approachflattens               Term Frequency: 1         
Term: various                        Term Frequency: 1         
Term: bring                          Term Frequency: 1         
Term: 2664                           Term Frequency: 1         
Term: promoting                      Term Frequency: 1         
Term: ac                             Term Frequency: 1         
Term: marginally                     Term Frequency: 1         
Term: ar                             Term Frequency: 1         
Term: search                         Term Frequency: 1         
Term: contributioncategory           Term Frequency: 1         
Term: cu                             Term Frequency: 1         
Term: productiveand                  Term Frequency: 1         
Term: di                             Term Frequency: 1         
Term: do                             Term Frequency: 1         
Term: meaningful                     Term Frequency: 1         
Term: rarethat                       Term Frequency: 1         
Term: theirvisualizations            Term Frequency: 1         
Term: ex                             Term Frequency: 1         
Term: 5.2                            Term Frequency: 1         
Term: samecontribution               Term Frequency: 1         
Term: fol                            Term Frequency: 1         
Term: fo                             Term Frequency: 1         
Term: rate                           Term Frequency: 1         
Term: teachers                       Term Frequency: 1         
Term: pluralperspective              Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: inspectingsignificant          Term Frequency: 1         
Term: appeared                       Term Frequency: 1         
Term: andtechnology                  Term Frequency: 1         
Term: context                        Term Frequency: 1         
Term: nique                          Term Frequency: 1         
Term: transitionsfrom                Term Frequency: 1         
Term: https                          Term Frequency: 1         
Term: im                             Term Frequency: 1         
Term: identifiescontingency          Term Frequency: 1         
Term: 2.00                           Term Frequency: 1         
Term: traditional                    Term Frequency: 1         
Term: disruptivebehaviors            Term Frequency: 1         
Term: grades                         Term Frequency: 1         
Term: occurrence                     Term Frequency: 1         
Term: 2.10                           Term Frequency: 1         
Term: 2.08                           Term Frequency: 1         
Term: ditional                       Term Frequency: 1         
Term: dependence                     Term Frequency: 1         
