Term: science                        Term Frequency: 70        
Term: 55                             Term Frequency: 1         
Term: cautioned                      Term Frequency: 1         
Term: user’s                         Term Frequency: 1         
Term: look                           Term Frequency: 1         
Term: sections                       Term Frequency: 1         
Term: 60                             Term Frequency: 1         
Term: 62                             Term Frequency: 1         
Term: 66                             Term Frequency: 1         
Term: 69                             Term Frequency: 1         
Term: ranges                         Term Frequency: 1         
Term: common                         Term Frequency: 1         
Term: 70                             Term Frequency: 1         
Term: 80                             Term Frequency: 1         
Term: 85                             Term Frequency: 1         
Term: 86                             Term Frequency: 1         
Term: 88                             Term Frequency: 1         
Term: 89                             Term Frequency: 1         
Term: 92                             Term Frequency: 1         
Term: 98                             Term Frequency: 1         
Term: biology                        Term Frequency: 1         
Term: stated                         Term Frequency: 1         
Term: across                         Term Frequency: 1         
Term: qualifying                     Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: revising                       Term Frequency: 1         
Term: spend                          Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: spent                          Term Frequency: 1         
Term: participant’s                  Term Frequency: 1         
Term: variable                       Term Frequency: 1         
Term: biases                         Term Frequency: 1         
Term: utility                        Term Frequency: 1         
Term: variations                     Term Frequency: 1         
Term: notes                          Term Frequency: 1         
Term: leave                          Term Frequency: 1         
Term: originally                     Term Frequency: 1         
Term: users                          Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: roles                          Term Frequency: 1         
Term: engine                         Term Frequency: 1         
Term: noted                          Term Frequency: 1         
Term: accuracies                     Term Frequency: 1         
Term: 4.1                            Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: 4.3                            Term Frequency: 1         
Term: 4.4                            Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: acm.org                        Term Frequency: 1         
Term: rights                         Term Frequency: 1         
Term: 3027385.3027425                Term Frequency: 1         
Term: species                        Term Frequency: 1         
Term: autonomous                     Term Frequency: 1         
Term: below                          Term Frequency: 1         
Term: domains                        Term Frequency: 1         
Term: around                         Term Frequency: 1         
Term: 450                            Term Frequency: 1         
Term: running                        Term Frequency: 1         
Term: define                         Term Frequency: 1         
Term: pencil                         Term Frequency: 1         
Term: exams                          Term Frequency: 1         
Term: estuary                        Term Frequency: 1         
Term: forms                          Term Frequency: 1         
Term: decided                        Term Frequency: 1         
Term: represented                    Term Frequency: 1         
Term: another                        Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: consensus                      Term Frequency: 1         
Term: supported                      Term Frequency: 1         
Term: resulted                       Term Frequency: 1         
Term: developing                     Term Frequency: 1         
Term: remains                        Term Frequency: 1         
Term: segment                        Term Frequency: 1         
Term: decrease                       Term Frequency: 1         
Term: factor                         Term Frequency: 1         
Term: grained                        Term Frequency: 1         
Term: quickly                        Term Frequency: 1         
Term: logged                         Term Frequency: 1         
Term: limiting                       Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: completely                     Term Frequency: 1         
Term: occasionally                   Term Frequency: 1         
Term: proceeded                      Term Frequency: 1         
Term: discoveries                    Term Frequency: 1         
Term: certain                        Term Frequency: 1         
Term: levels                         Term Frequency: 1         
Term: indicator                      Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: produced                       Term Frequency: 1         
Term: outside                        Term Frequency: 1         
Term: effect                         Term Frequency: 1         
Term: explaining                     Term Frequency: 1         
Term: elementary                     Term Frequency: 1         
Term: topic                          Term Frequency: 1         
Term: option                         Term Frequency: 1         
Term: died                           Term Frequency: 1         
Term: satirical                      Term Frequency: 1         
Term: uses                           Term Frequency: 1         
Term: proxy                          Term Frequency: 1         
Term: interpretation                 Term Frequency: 1         
Term: 4.1.1.1                        Term Frequency: 1         
Term: garnered                       Term Frequency: 1         
Term: prove                          Term Frequency: 1         
Term: kkyle                          Term Frequency: 1         
Term: food                           Term Frequency: 1         
Term: needs                          Term Frequency: 1         
Term: reporting                      Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: significantly                  Term Frequency: 1         
Term: very                           Term Frequency: 1         
Term: resulting                      Term Frequency: 1         
Term: metacognitive                  Term Frequency: 1         
Term: ability                        Term Frequency: 1         
Term: belief                         Term Frequency: 1         
Term: follows                        Term Frequency: 1         
Term: my                             Term Frequency: 1         
Term: chosen                         Term Frequency: 1         
Term: possesses                      Term Frequency: 1         
Term: survey                         Term Frequency: 1         
Term: 2.56                           Term Frequency: 1         
Term: candidacy                      Term Frequency: 1         
Term: allows                         Term Frequency: 1         
Term: considerably                   Term Frequency: 1         
Term: 587                            Term Frequency: 1         
Term: easier                         Term Frequency: 1         
Term: 4.1.1                          Term Frequency: 1         
Term: discipline                     Term Frequency: 1         
Term: seniors                        Term Frequency: 1         
Term: apprenticeship                 Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: capturing                      Term Frequency: 1         
Term: examination                    Term Frequency: 1         
Term: held                           Term Frequency: 1         
Term: fruitful                       Term Frequency: 1         
Term: none                           Term Frequency: 1         
Term: presence                       Term Frequency: 1         
Term: surrounding                    Term Frequency: 1         
Term: encompasses                    Term Frequency: 1         
Term: inconclusive                   Term Frequency: 1         
Term: samples                        Term Frequency: 1         
Term: susceptible                    Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: help                           Term Frequency: 1         
Term: reveal                         Term Frequency: 1         
Term: theoretical                    Term Frequency: 1         
Term: note                           Term Frequency: 1         
Term: scale                          Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: factors                        Term Frequency: 1         
Term: recognized                     Term Frequency: 1         
Term: your                           Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: i.e                            Term Frequency: 1         
Term: apparent                       Term Frequency: 1         
Term: exposure                       Term Frequency: 1         
Term: much                           Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: licensed                       Term Frequency: 1         
Term: adjectives                     Term Frequency: 1         
Term: psychology                     Term Frequency: 1         
Term: interrogation                  Term Frequency: 1         
Term: occurring                      Term Frequency: 1         
Term: approach                       Term Frequency: 1         
Term: 634                            Term Frequency: 1         
Term: per                            Term Frequency: 1         
Term: amorphous                      Term Frequency: 1         
Term: million                        Term Frequency: 1         
Term: analyze                        Term Frequency: 1         
Term: kinds                          Term Frequency: 1         
Term: 656                            Term Frequency: 1         
Term: robust                         Term Frequency: 1         
Term: discussed                      Term Frequency: 1         
Term: inconsistent                   Term Frequency: 1         
Term: framework                      Term Frequency: 1         
Term: ingestion                      Term Frequency: 1         
Term: whether                        Term Frequency: 1         
Term: rarely                         Term Frequency: 1         
Term: represents                     Term Frequency: 1         
Term: ties                           Term Frequency: 1         
Term: input                          Term Frequency: 1         
Term: comparisons                    Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: populations                    Term Frequency: 1         
Term: indicative                     Term Frequency: 1         
Term: giving                         Term Frequency: 1         
Term: facts                          Term Frequency: 1         
Term: receive                        Term Frequency: 1         
Term: consortium                     Term Frequency: 1         
Term: instructors                    Term Frequency: 1         
Term: avenue                         Term Frequency: 1         
Term: realize                        Term Frequency: 1         
Term: pre                            Term Frequency: 1         
Term: definite                       Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: stronger                       Term Frequency: 1         
Term: observing                      Term Frequency: 1         
Term: multi                          Term Frequency: 1         
Term: artifact                       Term Frequency: 1         
Term: her                            Term Frequency: 1         
Term: meets                          Term Frequency: 1         
Term: classrooms                     Term Frequency: 1         
Term: valuable                       Term Frequency: 1         
Term: infection                      Term Frequency: 1         
Term: backgrounds                    Term Frequency: 1         
Term: before                         Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: consider                       Term Frequency: 1         
Term: education's                    Term Frequency: 1         
Term: 1542                           Term Frequency: 1         
Term: notebooks                      Term Frequency: 1         
Term: classify                       Term Frequency: 1         
Term: 1556                           Term Frequency: 1         
Term: process                        Term Frequency: 1         
Term: alternative                    Term Frequency: 1         
Term: listed                         Term Frequency: 1         
Term: determining                    Term Frequency: 1         
Term: advance                        Term Frequency: 1         
Term: evaluating                     Term Frequency: 1         
Term: cited                          Term Frequency: 1         
Term: integral                       Term Frequency: 1         
