Term: network                        Term Frequency: 102       
Term: 2014                           Term Frequency: 12        
Term: any                            Term Frequency: 12        
Term: see                            Term Frequency: 12        
Term: 2                              Term Frequency: 11        
Term: 14                             Term Frequency: 11        
Term: 29                             Term Frequency: 11        
Term: work                           Term Frequency: 11        
Term: second                         Term Frequency: 11        
Term: u1                             Term Frequency: 11        
Term: has                            Term Frequency: 11        
Term: important                      Term Frequency: 11        
Term: connected                      Term Frequency: 11        
Term: participation                  Term Frequency: 11        
Term: 12                             Term Frequency: 10        
Term: examined                       Term Frequency: 10        
Term: education                      Term Frequency: 10        
Term: which                          Term Frequency: 10        
Term: them                           Term Frequency: 10        
Term: we                             Term Frequency: 10        
Term: containing                     Term Frequency: 10        
Term: those                          Term Frequency: 10        
Term: starting                       Term Frequency: 10        
Term: 2013                           Term Frequency: 10        
Term: u417                           Term Frequency: 10        
Term: results                        Term Frequency: 10        
Term: connections                    Term Frequency: 10        
Term: 8                              Term Frequency: 9         
Term: findings                       Term Frequency: 9         
Term: 25                             Term Frequency: 9         
Term: relationship                   Term Frequency: 9         
Term: many                           Term Frequency: 9         
Term: had                            Term Frequency: 9         
Term: ways                           Term Frequency: 9         
Term: how                            Term Frequency: 9         
Term: directly                       Term Frequency: 9         
Term: well                           Term Frequency: 9         
Term: open                           Term Frequency: 9         
Term: indicates                      Term Frequency: 9         
Term: node                           Term Frequency: 9         
Term: analysis                       Term Frequency: 9         
Term: large                          Term Frequency: 9         
Term: participants                   Term Frequency: 9         
Term: 5                              Term Frequency: 8         
Term: 15                             Term Frequency: 8         
Term: 26                             Term Frequency: 8         
Term: 10.1145                        Term Frequency: 8         
Term: another                        Term Frequency: 8         
Term: formed                         Term Frequency: 8         
Term: u2                             Term Frequency: 8         
Term: starter                        Term Frequency: 8         
Term: could                          Term Frequency: 8         
Term: influence                      Term Frequency: 8         
Term: cross                          Term Frequency: 8         
Term: three                          Term Frequency: 8         
Term: formation                      Term Frequency: 8         
Term: when                           Term Frequency: 8         
Term: support                        Term Frequency: 8         
Term: 2015                           Term Frequency: 8         
Term: constructed                    Term Frequency: 8         
Term: 3                              Term Frequency: 7         
Term: 4                              Term Frequency: 7         
Term: 7                              Term Frequency: 7         
Term: d                              Term Frequency: 7         
Term: top                            Term Frequency: 7         
Term: implications                   Term Frequency: 7         
Term: 17                             Term Frequency: 7         
Term: useful                         Term Frequency: 7         
Term: relationships                  Term Frequency: 7         
Term: cases                          Term Frequency: 7         
Term: through                        Term Frequency: 7         
Term: engagement                     Term Frequency: 7         
Term: discourse                      Term Frequency: 7         
Term: scheme                         Term Frequency: 7         
Term: 6                              Term Frequency: 6         
Term: c                              Term Frequency: 6         
Term: revealed                       Term Frequency: 6         
Term: due                            Term Frequency: 6         
Term: 20                             Term Frequency: 6         
Term: 28                             Term Frequency: 6         
Term: roles                          Term Frequency: 6         
Term: features                       Term Frequency: 6         
Term: central                        Term Frequency: 6         
Term: differences                    Term Frequency: 6         
Term: language                       Term Frequency: 6         
Term: single                         Term Frequency: 6         
Term: type                           Term Frequency: 6         
Term: help                           Term Frequency: 6         
Term: self                           Term Frequency: 6         
Term: purposes                       Term Frequency: 6         
Term: techniques                     Term Frequency: 6         
Term: separately                     Term Frequency: 6         
Term: time                           Term Frequency: 6         
Term: been                           Term Frequency: 6         
Term: high                           Term Frequency: 6         
Term: individual                     Term Frequency: 6         
Term: outcomes                       Term Frequency: 6         
Term: example                        Term Frequency: 6         
Term: less                           Term Frequency: 6         
Term: part                           Term Frequency: 6         
Term: importance                     Term Frequency: 6         
Term: association                    Term Frequency: 6         
Term: similar                        Term Frequency: 6         
Term: specific                       Term Frequency: 6         
Term: students                       Term Frequency: 6         
Term: what                           Term Frequency: 6         
Term: investigate                    Term Frequency: 6         
Term: speaking                       Term Frequency: 6         
Term: presence                       Term Frequency: 6         
Term: peer                           Term Frequency: 6         
Term: methods                        Term Frequency: 6         
Term: general                        Term Frequency: 6         
Term: material                       Term Frequency: 6         
Term: task                           Term Frequency: 6         
Term: compared                       Term Frequency: 6         
Term: model                          Term Frequency: 6         
Term: several                        Term Frequency: 6         
Term: highly                         Term Frequency: 6         
Term: nature                         Term Frequency: 6         
Term: after                          Term Frequency: 5         
Term: information                    Term Frequency: 5         
Term: provided                       Term Frequency: 5         
Term: defined                        Term Frequency: 5         
Term: offering                       Term Frequency: 5         
Term: actual                         Term Frequency: 5         
Term: measures                       Term Frequency: 5         
Term: remained                       Term Frequency: 5         
Term: make                           Term Frequency: 5         
Term: properties                     Term Frequency: 5         
Term: 10                             Term Frequency: 5         
Term: 13                             Term Frequency: 5         
Term: 24                             Term Frequency: 5         
Term: understanding                  Term Frequency: 5         
Term: community                      Term Frequency: 5         
Term: loops                          Term Frequency: 5         
Term: structures                     Term Frequency: 5         
Term: topic                          Term Frequency: 5         
Term: analyzing                      Term Frequency: 5         
Term: interpretation                 Term Frequency: 5         
Term: contrast                       Term Frequency: 5         
Term: student                        Term Frequency: 5         
Term: massive                        Term Frequency: 5         
Term: addressed                      Term Frequency: 5         
Term: challenges                     Term Frequency: 5         
Term: without                        Term Frequency: 5         
Term: approach                       Term Frequency: 5         
Term: weight                         Term Frequency: 5         
Term: posting                        Term Frequency: 5         
Term: questions                      Term Frequency: 5         
Term: problems                       Term Frequency: 5         
Term: 817                            Term Frequency: 5         
Term: its                            Term Frequency: 5         
Term: identify                       Term Frequency: 5         
Term: 6th                            Term Frequency: 5         
Term: investigating                  Term Frequency: 5         
Term: largely                        Term Frequency: 5         
Term: undirected                     Term Frequency: 5         
Term: regular                        Term Frequency: 5         
Term: removing                       Term Frequency: 5         
Term: because                        Term Frequency: 5         
Term: technical                      Term Frequency: 5         
Term: method                         Term Frequency: 5         
Term: groups                         Term Frequency: 5         
Term: kinds                          Term Frequency: 5         
Term: environments                   Term Frequency: 5         
Term: group                          Term Frequency: 5         
Term: some                           Term Frequency: 5         
Term: people                         Term Frequency: 5         
Term: set                            Term Frequency: 5         
Term: higher                         Term Frequency: 5         
Term: 9                              Term Frequency: 4         
Term: result                         Term Frequency: 4         
Term: multiple                       Term Frequency: 4         
Term: e.g                            Term Frequency: 4         
Term: participate                    Term Frequency: 4         
Term: critical                       Term Frequency: 4         
Term: built                          Term Frequency: 4         
Term: examining                      Term Frequency: 4         
Term: impact                         Term Frequency: 4         
Term: average                        Term Frequency: 4         
Term: possible                       Term Frequency: 4         
Term: final                          Term Frequency: 4         
Term: status                         Term Frequency: 4         
Term: 16                             Term Frequency: 4         
Term: 18                             Term Frequency: 4         
Term: 27                             Term Frequency: 4         
Term: examine                        Term Frequency: 4         
Term: platform                       Term Frequency: 4         
Term: need                           Term Frequency: 4         
Term: might                          Term Frequency: 4         
Term: distinction                    Term Frequency: 4         
Term: produced                       Term Frequency: 4         
Term: never                          Term Frequency: 4         
Term: form                           Term Frequency: 4         
Term: id                             Term Frequency: 4         
Term: communication                  Term Frequency: 4         
Term: author                         Term Frequency: 4         
Term: 567                            Term Frequency: 4         
Term: factors                        Term Frequency: 4         
Term: considered                     Term Frequency: 4         
Term: potential                      Term Frequency: 4         
Term: you                            Term Frequency: 4         
Term: although                       Term Frequency: 4         
Term: topics                         Term Frequency: 4         
Term: conventional                   Term Frequency: 4         
Term: betweenness                    Term Frequency: 4         
Term: configurations                 Term Frequency: 4         
Term: categorization                 Term Frequency: 4         
Term: detecting                      Term Frequency: 4         
Term: would                          Term Frequency: 4         
Term: classification                 Term Frequency: 4         
Term: inflated                       Term Frequency: 4         
Term: received                       Term Frequency: 4         
Term: endogenous                     Term Frequency: 4         
Term: whole                          Term Frequency: 4         
Term: among                          Term Frequency: 4         
Term: effects                        Term Frequency: 4         
Term: user                           Term Frequency: 4         
Term: investigated                   Term Frequency: 4         
Term: very                           Term Frequency: 4         
Term: generally                      Term Frequency: 4         
Term: explanation                    Term Frequency: 4         
Term: represents                     Term Frequency: 4         
Term: comparisons                    Term Frequency: 4         
Term: major                          Term Frequency: 4         
Term: account                        Term Frequency: 4         
Term: additional                     Term Frequency: 4         
Term: together                       Term Frequency: 4         
Term: within                         Term Frequency: 4         
Term: instance                       Term Frequency: 4         
Term: therefore                      Term Frequency: 4         
Term: modeling                       Term Frequency: 4         
Term: completion                     Term Frequency: 4         
Term: subthread                      Term Frequency: 4         
Term: review                         Term Frequency: 4         
Term: 2307                           Term Frequency: 3         
Term: 250                            Term Frequency: 3         
Term: team                           Term Frequency: 3         
Term: offerings                      Term Frequency: 3         
Term: finance                        Term Frequency: 3         
Term: shown                          Term Frequency: 3         
Term: created                        Term Frequency: 3         
Term: lectures                       Term Frequency: 3         
Term: being                          Term Frequency: 3         
Term: diffusion                      Term Frequency: 3         
Term: included                       Term Frequency: 3         
Term: 11                             Term Frequency: 3         
Term: 22                             Term Frequency: 3         
Term: 23                             Term Frequency: 3         
Term: 30                             Term Frequency: 3         
Term: common                         Term Frequency: 3         
Term: partitioned                    Term Frequency: 3         
Term: usefulness                     Term Frequency: 3         
Term: appropriate                    Term Frequency: 3         
Term: play                           Term Frequency: 3         
Term: issues                         Term Frequency: 3         
Term: explore                        Term Frequency: 3         
Term: statistics                     Term Frequency: 3         
Term: effect                         Term Frequency: 3         
Term: structural                     Term Frequency: 3         
Term: extent                         Term Frequency: 3         
Term: parent                         Term Frequency: 3         
Term: addition                       Term Frequency: 3         
Term: do                             Term Frequency: 3         
Term: digital                        Term Frequency: 3         
Term: four                           Term Frequency: 3         
Term: literature                     Term Frequency: 3         
Term: reasonable                     Term Frequency: 3         
Term: up                             Term Frequency: 3         
Term: closeness                      Term Frequency: 3         
Term: scale                          Term Frequency: 3         
Term: lack                           Term Frequency: 3         
Term: focus                          Term Frequency: 3         
Term: dominant                       Term Frequency: 3         
Term: inconsistent                   Term Frequency: 3         
Term: interrelated                   Term Frequency: 3         
Term: small                          Term Frequency: 3         
Term: active                         Term Frequency: 3         
Term: defining                       Term Frequency: 3         
Term: showed                         Term Frequency: 3         
Term: nuanced                        Term Frequency: 3         
Term: threaded                       Term Frequency: 3         
Term: previously                     Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: subthreads                     Term Frequency: 3         
Term: either                         Term Frequency: 3         
Term: show                           Term Frequency: 3         
Term: accurately                     Term Frequency: 3         
Term: directed                       Term Frequency: 3         
Term: proportion                     Term Frequency: 3         
Term: dynamic                        Term Frequency: 3         
Term: initiation                     Term Frequency: 3         
Term: lead                           Term Frequency: 3         
Term: should                         Term Frequency: 3         
Term: studied                        Term Frequency: 3         
Term: notable                        Term Frequency: 3         
Term: address                        Term Frequency: 3         
Term: others                         Term Frequency: 3         
Term: making                         Term Frequency: 3         
Term: 8th                            Term Frequency: 3         
Term: superthreads                   Term Frequency: 3         
Term: dataset                        Term Frequency: 3         
Term: source                         Term Frequency: 3         
Term: primary                        Term Frequency: 3         
Term: low                            Term Frequency: 3         
Term: cohesion                       Term Frequency: 3         
Term: boundaries                     Term Frequency: 3         
Term: sense                          Term Frequency: 3         
Term: map                            Term Frequency: 3         
Term: lists                          Term Frequency: 3         
Term: diversified                    Term Frequency: 3         
Term: quality                        Term Frequency: 3         
Term: associated                     Term Frequency: 3         
Term: studying                       Term Frequency: 3         
Term: allow                          Term Frequency: 3         
Term: around                         Term Frequency: 3         
Term: complexity                     Term Frequency: 3         
Term: mechanism                      Term Frequency: 3         
Term: identifying                    Term Frequency: 3         
Term: straightforward                Term Frequency: 3         
Term: edge                           Term Frequency: 3         
Term: allows                         Term Frequency: 3         
Term: cognitive                      Term Frequency: 3         
Term: activity                       Term Frequency: 3         
Term: problem                        Term Frequency: 3         
Term: our                            Term Frequency: 3         
Term: even                           Term Frequency: 3         
Term: pedagogical                    Term Frequency: 3         
Term: initiated                      Term Frequency: 3         
Term: extraction                     Term Frequency: 3         
Term: clear                          Term Frequency: 3         
Term: prior                          Term Frequency: 3         
Term: commonly                       Term Frequency: 3         
Term: take                           Term Frequency: 3         
Term: 2009                           Term Frequency: 3         
Term: 2008                           Term Frequency: 3         
Term: strictly                       Term Frequency: 3         
Term: 2017                           Term Frequency: 3         
Term: position                       Term Frequency: 3         
Term: ranked                         Term Frequency: 3         
Term: future                         Term Frequency: 3         
Term: conducted                      Term Frequency: 3         
Term: instructional                  Term Frequency: 3         
Term: diversity                      Term Frequency: 3         
Term: over                           Term Frequency: 3         
Term: comprehensive                  Term Frequency: 3         
Term: makes                          Term Frequency: 3         
Term: distinctions                   Term Frequency: 3         
Term: competent                      Term Frequency: 2         
Term: role                           Term Frequency: 2         
Term: better                         Term Frequency: 2         
Term: suitable                       Term Frequency: 2         
Term: 1086                           Term Frequency: 2         
Term: academic                       Term Frequency: 2         
Term: 212                            Term Frequency: 2         
Term: comments                       Term Frequency: 2         
Term: participant                    Term Frequency: 2         
Term: consistency                    Term Frequency: 2         
Term: formal                         Term Frequency: 2         
Term: further                        Term Frequency: 2         
Term: areas                          Term Frequency: 2         
Term: 1116                           Term Frequency: 2         
Term: business                       Term Frequency: 2         
Term: interconnected                 Term Frequency: 2         
Term: divisions                      Term Frequency: 2         
Term: graph                          Term Frequency: 2         
Term: showing                        Term Frequency: 2         
Term: construct                      Term Frequency: 2         
Term: forward                        Term Frequency: 2         
Term: 19                             Term Frequency: 2         
Term: highest                        Term Frequency: 2         
Term: 21                             Term Frequency: 2         
Term: examines                       Term Frequency: 2         
Term: partition                      Term Frequency: 2         
Term: 31                             Term Frequency: 2         
Term: progress                       Term Frequency: 2         
Term: 58                             Term Frequency: 2         
Term: invited                        Term Frequency: 2         
Term: themselves                     Term Frequency: 2         
Term: 82                             Term Frequency: 2         
Term: 88                             Term Frequency: 2         
Term: shortest                       Term Frequency: 2         
Term: addressing                     Term Frequency: 2         
Term: often                          Term Frequency: 2         
Term: http                           Term Frequency: 2         
Term: 1292                           Term Frequency: 2         
Term: noted                          Term Frequency: 2         
Term: authors                        Term Frequency: 2         
Term: guarantee                      Term Frequency: 2         
Term: way                            Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: produces                       Term Frequency: 2         
Term: assumption                     Term Frequency: 2         
Term: needs                          Term Frequency: 2         
Term: he                             Term Frequency: 2         
Term: appeared                       Term Frequency: 2         
Term: suggests                       Term Frequency: 2         
Term: mixed                          Term Frequency: 2         
Term: perspectives                   Term Frequency: 2         
Term: so                             Term Frequency: 2         
Term: analyzed                       Term Frequency: 2         
Term: vs                             Term Frequency: 2         
Term: previous                       Term Frequency: 2         
Term: exact                          Term Frequency: 2         
Term: addresses                      Term Frequency: 2         
Term: create                         Term Frequency: 2         
Term: purpose                        Term Frequency: 2         
Term: follow                         Term Frequency: 2         
Term: 1456                           Term Frequency: 2         
Term: educators                      Term Frequency: 2         
Term: 625                            Term Frequency: 2         
Term: referential                    Term Frequency: 2         
Term: classroom                      Term Frequency: 2         
Term: larger                         Term Frequency: 2         
Term: whether                        Term Frequency: 2         
Term: replied                        Term Frequency: 2         
Term: discussing                     Term Frequency: 2         
Term: difference                     Term Frequency: 2         
Term: video                          Term Frequency: 2         
Term: yet                            Term Frequency: 2         
Term: consistent                     Term Frequency: 2         
Term: diverse                        Term Frequency: 2         
Term: limitations                    Term Frequency: 2         
Term: cited                          Term Frequency: 2         
Term: characteristic                 Term Frequency: 2         
Term: 778                            Term Frequency: 2         
Term: 782                            Term Frequency: 2         
Term: dramatically                   Term Frequency: 2         
Term: present                        Term Frequency: 2         
Term: operationalized                Term Frequency: 2         
Term: abstract                       Term Frequency: 2         
Term: according                      Term Frequency: 2         
Term: stages                         Term Frequency: 2         
Term: 102nd                          Term Frequency: 2         
Term: weeks                          Term Frequency: 2         
Term: characterization               Term Frequency: 2         
Term: distributed                    Term Frequency: 2         
Term: script                         Term Frequency: 2         
Term: decisions                      Term Frequency: 2         
Term: satisfaction                   Term Frequency: 2         
Term: differed                       Term Frequency: 2         
Term: thusfar                        Term Frequency: 2         
Term: taken                          Term Frequency: 2         
Term: similarities                   Term Frequency: 2         
Term: significant                    Term Frequency: 2         
Term: connectivity                   Term Frequency: 2         
Term: purely                         Term Frequency: 2         
Term: relatedness                    Term Frequency: 2         
Term: questionable                   Term Frequency: 2         
Term: original                       Term Frequency: 2         
Term: investigation                  Term Frequency: 2         
Term: offered                        Term Frequency: 2         
Term: indicate                       Term Frequency: 2         
Term: contact                        Term Frequency: 2         
Term: adjust                         Term Frequency: 2         
Term: 7th                            Term Frequency: 2         
Term: focused                        Term Frequency: 2         
Term: interesting                    Term Frequency: 2         
Term: vary                           Term Frequency: 2         
Term: especially                     Term Frequency: 2         
Term: types                          Term Frequency: 2         
Term: ones                           Term Frequency: 2         
Term: subpopulations                 Term Frequency: 2         
Term: following                      Term Frequency: 2         
Term: informed                       Term Frequency: 2         
Term: highlights                     Term Frequency: 2         
Term: mechanisms                     Term Frequency: 2         
Term: comparing                      Term Frequency: 2         
Term: week                           Term Frequency: 2         
Term: computing                      Term Frequency: 2         
Term: size                           Term Frequency: 2         
Term: extracts                       Term Frequency: 2         
Term: syntactic                      Term Frequency: 2         
Term: bringing                       Term Frequency: 2         
Term: respectively                   Term Frequency: 2         
Term: improve                        Term Frequency: 2         
Term: labeled                        Term Frequency: 2         
Term: full                           Term Frequency: 2         
Term: computer                       Term Frequency: 2         
Term: particular                     Term Frequency: 2         
Term: conversations                  Term Frequency: 2         
Term: someone                        Term Frequency: 2         
Term: conducting                     Term Frequency: 2         
Term: path                           Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: usually                        Term Frequency: 2         
Term: semantic                       Term Frequency: 2         
Term: 5578                           Term Frequency: 2         
Term: components                     Term Frequency: 2         
Term: still                          Term Frequency: 2         
Term: contains                       Term Frequency: 2         
Term: tool                           Term Frequency: 2         
Term: boundary                       Term Frequency: 2         
Term: influenced                     Term Frequency: 2         
Term: associations                   Term Frequency: 2         
Term: supported                      Term Frequency: 2         
Term: resulted                       Term Frequency: 2         
Term: designed                       Term Frequency: 2         
Term: approaches                     Term Frequency: 2         
Term: contained                      Term Frequency: 2         
Term: disproportionate               Term Frequency: 2         
Term: issue                          Term Frequency: 2         
Term: seemed                         Term Frequency: 2         
Term: off                            Term Frequency: 2         
Term: location                       Term Frequency: 2         
Term: connection                     Term Frequency: 2         
Term: distribution                   Term Frequency: 2         
Term: out                            Term Frequency: 2         
Term: 8046                           Term Frequency: 2         
Term: development                    Term Frequency: 2         
Term: like                           Term Frequency: 2         
Term: persistence                    Term Frequency: 2         
Term: analyses                       Term Frequency: 2         
Term: members                        Term Frequency: 2         
Term: interconnections               Term Frequency: 2         
Term: intended                       Term Frequency: 2         
Term: correlated                     Term Frequency: 2         
Term: assumptions                    Term Frequency: 2         
Term: reciprocity                    Term Frequency: 2         
Term: process                        Term Frequency: 2         
Term: mostly                         Term Frequency: 2         
Term: contradictory                  Term Frequency: 2         
Term: classified                     Term Frequency: 2         
Term: coparticipation                Term Frequency: 2         
Term: serve                          Term Frequency: 2         
Term: host                           Term Frequency: 2         
Term: selected                       Term Frequency: 2         
Term: experiences                    Term Frequency: 2         
Term: contribution                   Term Frequency: 2         
Term: perspective                    Term Frequency: 2         
Term: reasons                        Term Frequency: 2         
Term: assistance                     Term Frequency: 2         
Term: again                          Term Frequency: 2         
Term: exogenous                      Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: traceable                      Term Frequency: 2         
Term: demonstrated                   Term Frequency: 2         
Term: interact                       Term Frequency: 2         
Term: accuracy                       Term Frequency: 2         
Term: poster                         Term Frequency: 2         
Term: mutual                         Term Frequency: 2         
Term: outcome                        Term Frequency: 2         
Term: algebra                        Term Frequency: 2         
Term: where                          Term Frequency: 2         
Term: relations                      Term Frequency: 2         
Term: 13450                          Term Frequency: 2         
Term: benefits                       Term Frequency: 2         
Term: dangers                        Term Frequency: 2         
Term: assignments                    Term Frequency: 2         
Term: pattern                        Term Frequency: 2         
Term: most                           Term Frequency: 2         
Term: simply                         Term Frequency: 2         
Term: personal                       Term Frequency: 2         
Term: she                            Term Frequency: 2         
Term: deep                           Term Frequency: 2         
Term: peers                          Term Frequency: 2         
Term: written                        Term Frequency: 2         
Term: goal                           Term Frequency: 2         
Term: natural                        Term Frequency: 2         
Term: quizzes                        Term Frequency: 2         
Term: response                       Term Frequency: 2         
Term: yca231                         Term Frequency: 1         
Term: energy                         Term Frequency: 1         
Term: require                        Term Frequency: 1         
Term: 2460296.2460330                Term Frequency: 1         
Term: turn                           Term Frequency: 1         
Term: gold                           Term Frequency: 1         
Term: connect                        Term Frequency: 1         
Term: rational                       Term Frequency: 1         
Term: exciting                       Term Frequency: 1         
Term: good                           Term Frequency: 1         
Term: 1035                           Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: irrodl.v15i5.1852              Term Frequency: 1         
Term: ranging                        Term Frequency: 1         
Term: illustrates                    Term Frequency: 1         
Term: 1066                           Term Frequency: 1         
Term: gained                         Term Frequency: 1         
Term: order                          Term Frequency: 1         
Term: srep06447                      Term Frequency: 1         
Term: too                            Term Frequency: 1         
Term: question                       Term Frequency: 1         
Term: picture                        Term Frequency: 1         
Term: 1092                           Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: 2.3                            Term Frequency: 1         
Term: mapped                         Term Frequency: 1         
Term: 207                            Term Frequency: 1         
Term: 208                            Term Frequency: 1         
Term: specialized                    Term Frequency: 1         
Term: times                          Term Frequency: 1         
Term: 216                            Term Frequency: 1         
Term: probe                          Term Frequency: 1         
Term: 223                            Term Frequency: 1         
Term: adopts                         Term Frequency: 1         
Term: defines                        Term Frequency: 1         
Term: 230                            Term Frequency: 1         
Term: 232                            Term Frequency: 1         
Term: worked                         Term Frequency: 1         
Term: state                          Term Frequency: 1         
Term: element                        Term Frequency: 1         
Term: 240                            Term Frequency: 1         
Term: 242                            Term Frequency: 1         
Term: 247                            Term Frequency: 1         
Term: 249                            Term Frequency: 1         
Term: 257                            Term Frequency: 1         
Term: creation                       Term Frequency: 1         
Term: clips                          Term Frequency: 1         
Term: 271                            Term Frequency: 1         
Term: initiate                       Term Frequency: 1         
Term: paying                         Term Frequency: 1         
Term: 286                            Term Frequency: 1         
Term: assume                         Term Frequency: 1         
Term: 297                            Term Frequency: 1         
Term: 299                            Term Frequency: 1         
Term: reducing                       Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: blown                          Term Frequency: 1         
Term: 2.2.2                          Term Frequency: 1         
Term: 2.2.1                          Term Frequency: 1         
Term: conceptual                     Term Frequency: 1         
Term: prevalent                      Term Frequency: 1         
Term: disconnected                   Term Frequency: 1         
Term: shows                          Term Frequency: 1         
Term: tend                           Term Frequency: 1         
Term: methodology                    Term Frequency: 1         
Term: del                            Term Frequency: 1         
Term: compare                        Term Frequency: 1         
Term: influential                    Term Frequency: 1         
Term: partly                         Term Frequency: 1         
Term: maximum                        Term Frequency: 1         
Term: under                          Term Frequency: 1         
Term: did                            Term Frequency: 1         
Term: 1133                           Term Frequency: 1         
Term: expectation                    Term Frequency: 1         
Term: concerns                       Term Frequency: 1         
Term: overwhelming                   Term Frequency: 1         
Term: text                           Term Frequency: 1         
Term: researchers                    Term Frequency: 1         
Term: yielded                        Term Frequency: 1         
Term: fewest                         Term Frequency: 1         
Term: 2014.7051952                   Term Frequency: 1         
Term: characterized                  Term Frequency: 1         
Term: exponentially                  Term Frequency: 1         
Term: 303                            Term Frequency: 1         
Term: 304                            Term Frequency: 1         
Term: 309                            Term Frequency: 1         
Term: comparable                     Term Frequency: 1         
Term: subject                        Term Frequency: 1         
Term: 314                            Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: 323                            Term Frequency: 1         
Term: 329                            Term Frequency: 1         
Term: 335                            Term Frequency: 1         
Term: categorize                     Term Frequency: 1         
Term: 349                            Term Frequency: 1         
Term: 10.1109                        Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: empirical                      Term Frequency: 1         
Term: 353                            Term Frequency: 1         
Term: meaning                        Term Frequency: 1         
Term: interpretations                Term Frequency: 1         
Term: shortcoming                    Term Frequency: 1         
Term: vastly                         Term Frequency: 1         
Term: unresponded                    Term Frequency: 1         
Term: long                           Term Frequency: 1         
Term: 32                             Term Frequency: 1         
Term: 33                             Term Frequency: 1         
Term: 2a                             Term Frequency: 1         
Term: 2b                             Term Frequency: 1         
Term: 2c                             Term Frequency: 1         
