Term: student                        Term Frequency: 23        
Term: language                       Term Frequency: 2         
Term: do                             Term Frequency: 2         
Term: warning                        Term Frequency: 2         
Term: ex                             Term Frequency: 2         
Term: very                           Term Frequency: 2         
Term: sufficient                     Term Frequency: 2         
Term: re                             Term Frequency: 2         
Term: seek                           Term Frequency: 2         
Term: previous                       Term Frequency: 2         
Term: method                         Term Frequency: 2         
Term: natural                        Term Frequency: 2         
Term: predictor                      Term Frequency: 2         
Term: 2723576.2723651                Term Frequency: 1         
Term: half                           Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: i.e                            Term Frequency: 1         
Term: neutral                        Term Frequency: 1         
Term: left                           Term Frequency: 1         
Term: statistical                    Term Frequency: 1         
Term: example                        Term Frequency: 1         
Term: same                           Term Frequency: 1         
Term: semesterengineering            Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: andend                         Term Frequency: 1         
Term: information                    Term Frequency: 1         
Term: suicidenotes                   Term Frequency: 1         
Term: others                         Term Frequency: 1         
Term: selected15                     Term Frequency: 1         
Term: list                           Term Frequency: 1         
Term: howthese                       Term Frequency: 1         
Term: applied                        Term Frequency: 1         
Term: compiled                       Term Frequency: 1         
Term: inthe                          Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: sampled                        Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: copiesbear                     Term Frequency: 1         
Term: perform                        Term Frequency: 1         
Term: better                         Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: named                          Term Frequency: 1         
Term: appliedin                      Term Frequency: 1         
Term: approach                       Term Frequency: 1         
Term: hate                           Term Frequency: 1         
Term: e.g                            Term Frequency: 1         
Term: positiveemotions               Term Frequency: 1         
Term: pressed                        Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: withthe                        Term Frequency: 1         
Term: significantlydifferent         Term Frequency: 1         
Term: engaged                        Term Frequency: 1         
Term: larger                         Term Frequency: 1         
Term: prevalence                     Term Frequency: 1         
Term: tor                            Term Frequency: 1         
Term: produce                        Term Frequency: 1         
Term: 2.0                            Term Frequency: 1         
Term: entity                         Term Frequency: 1         
Term: con                            Term Frequency: 1         
Term: findings                       Term Frequency: 1         
Term: upon                           Term Frequency: 1         
Term: academic                       Term Frequency: 1         
Term: whether                        Term Frequency: 1         
Term: function                       Term Frequency: 1         
Term: members                        Term Frequency: 1         
Term: quite                          Term Frequency: 1         
Term: counting                       Term Frequency: 1         
Term: quantify                       Term Frequency: 1         
Term: improve                        Term Frequency: 1         
Term: tional                         Term Frequency: 1         
Term: 03http                         Term Frequency: 1         
Term: andexcluding                   Term Frequency: 1         
Term: besensitive                    Term Frequency: 1         
Term: interested                     Term Frequency: 1         
Term: andenergy                      Term Frequency: 1         
Term: itive                          Term Frequency: 1         
Term: 419first                       Term Frequency: 1         
Term: datasource                     Term Frequency: 1         
Term: tify                           Term Frequency: 1         
Term: orderto                        Term Frequency: 1         
Term: panels                         Term Frequency: 1         
Term: pos                            Term Frequency: 1         
Term: 46556fnwangan                  Term Frequency: 1         
Term: emotionsamong                  Term Frequency: 1         
Term: reflective                     Term Frequency: 1         
Term: speech                         Term Frequency: 1         
Term: dataset                        Term Frequency: 1         
Term: yourinterests                  Term Frequency: 1         
Term: lio                            Term Frequency: 1         
Term: school                         Term Frequency: 1         
Term: continue                       Term Frequency: 1         
Term: given                          Term Frequency: 1         
Term: pre                            Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: measure                        Term Frequency: 1         
Term: overall                        Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: arousal                        Term Frequency: 1         
Term: aspects                        Term Frequency: 1         
Term: questionsasked                 Term Frequency: 1         
Term: equal                          Term Frequency: 1         
Term: thatthese                      Term Frequency: 1         
Term: program                        Term Frequency: 1         
Term: emotioncan                     Term Frequency: 1         
Term: extraction                     Term Frequency: 1         
Term: provide                        Term Frequency: 1         
Term: students’writing               Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: unknown                        Term Frequency: 1         
Term: low                            Term Frequency: 1         
Term: 46556v.goodrich                Term Frequency: 1         
Term: interests                      Term Frequency: 1         
Term: tively                         Term Frequency: 1         
Term: potential                      Term Frequency: 1         
Term: archive                        Term Frequency: 1         
Term: done                           Term Frequency: 1         
Term: part                           Term Frequency: 1         
Term: values                         Term Frequency: 1         
Term: oridentify                     Term Frequency: 1         
Term: process                        Term Frequency: 1         
Term: cordances                      Term Frequency: 1         
Term: thanany                        Term Frequency: 1         
Term: account                        Term Frequency: 1         
Term: been                           Term Frequency: 1         
Term: arenot                         Term Frequency: 1         
Term: abody                          Term Frequency: 1         
Term: qualitative                    Term Frequency: 1         
Term: you                            Term Frequency: 1         
Term: thepresence                    Term Frequency: 1         
Term: folios                         Term Frequency: 1         
Term: theauthor                      Term Frequency: 1         
Term: without422replacement          Term Frequency: 1         
Term: criminating                    Term Frequency: 1         
Term: paired                         Term Frequency: 1         
Term: showcase                       Term Frequency: 1         
Term: under                          Term Frequency: 1         
Term: did                            Term Frequency: 1         
Term: infor                          Term Frequency: 1         
Term: sometimes                      Term Frequency: 1         
Term: fears                          Term Frequency: 1         
Term: theirfuture                    Term Frequency: 1         
Term: prior                          Term Frequency: 1         
Term: varied                         Term Frequency: 1         
Term: some                           Term Frequency: 1         
Term: 2012                           Term Frequency: 1         
Term: cohort                         Term Frequency: 1         
Term: 2003                           Term Frequency: 1         
Term: just                           Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: statistically                  Term Frequency: 1         
Term: material                       Term Frequency: 1         
Term: balance                        Term Frequency: 1         
Term: fear                           Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: classification                 Term Frequency: 1         
Term: distributions                  Term Frequency: 1         
Term: removing                       Term Frequency: 1         
Term: field                          Term Frequency: 1         
Term: 3.0                            Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: dealabout                      Term Frequency: 1         
Term: aboutthe                       Term Frequency: 1         
Term: known                          Term Frequency: 1         
Term: 46556nchawla                   Term Frequency: 1         
Term: fect                           Term Frequency: 1         
Term: may                            Term Frequency: 1         
Term: could                          Term Frequency: 1         
Term: gathered                       Term Frequency: 1         
Term: numberof                       Term Frequency: 1         
Term: machine                        Term Frequency: 1         
Term: sadness                        Term Frequency: 1         
Term: includes                       Term Frequency: 1         
Term: undergone                      Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: best                           Term Frequency: 1         
Term: forpersonal                    Term Frequency: 1         
Term: physical                       Term Frequency: 1         
Term: calculates                     Term Frequency: 1         
Term: online                         Term Frequency: 1         
Term: clustering                     Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: ongoing                        Term Frequency: 1         
Term: 12                             Term Frequency: 1         
Term: 16                             Term Frequency: 1         
Term: methodologies                  Term Frequency: 1         
Term: programs                       Term Frequency: 1         
Term: 20                             Term Frequency: 1         
Term: tention                        Term Frequency: 1         
Term: experiments                    Term Frequency: 1         
Term: mid                            Term Frequency: 1         
Term: believe                        Term Frequency: 1         
Term: 371                            Term Frequency: 1         
Term: middle                         Term Frequency: 1         
Term: thepredictive                  Term Frequency: 1         
Term: people                         Term Frequency: 1         
Term: extensive                      Term Frequency: 1         
Term: measurethe                     Term Frequency: 1         
Term: 48                             Term Frequency: 1         
Term: 54                             Term Frequency: 1         
Term: invited                        Term Frequency: 1         
Term: collection                     Term Frequency: 1         
Term: discrete                       Term Frequency: 1         
Term: topiccan                       Term Frequency: 1         
Term: 61                             Term Frequency: 1         
Term: detect                         Term Frequency: 1         
Term: interest                       Term Frequency: 1         
Term: ofboth                         Term Frequency: 1         
Term: dents                          Term Frequency: 1         
Term: indica                         Term Frequency: 1         
Term: usingelectronic                Term Frequency: 1         
Term: among                          Term Frequency: 1         
Term: disproportionately             Term Frequency: 1         
Term: unacknowledged                 Term Frequency: 1         
Term: writing                        Term Frequency: 1         
Term: specificpermission             Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: space                          Term Frequency: 1         
Term: disengaged                     Term Frequency: 1         
Term: discover                       Term Frequency: 1         
Term: intervention                   Term Frequency: 1         
Term: frequent                       Term Frequency: 1         
Term: thedegree                      Term Frequency: 1         
Term: definedlist                    Term Frequency: 1         
Term: validated                      Term Frequency: 1         
Term: person’s                       Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: ineffective                    Term Frequency: 1         
Term: 2544                           Term Frequency: 1         
Term: understanding                  Term Frequency: 1         
Term: quicklybecoming                Term Frequency: 1         
Term: stop                           Term Frequency: 1         
Term: metrics                        Term Frequency: 1         
Term: measurement                    Term Frequency: 1         
Term: 3417                           Term Frequency: 1         
Term: 46556eaguiar                   Term Frequency: 1         
Term: learn                          Term Frequency: 1         
Term: quency                         Term Frequency: 1         
Term: evidence                       Term Frequency: 1         
Term: thework                        Term Frequency: 1         
Term: post                           Term Frequency: 1         
Term: generated                      Term Frequency: 1         
Term: togo                           Term Frequency: 1         
Term: incorporated                   Term Frequency: 1         
Term: negativeemotion                Term Frequency: 1         
Term: need                           Term Frequency: 1         
Term: theentire                      Term Frequency: 1         
Term: users                          Term Frequency: 1         
Term: therefore                      Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: previously                     Term Frequency: 1         
Term: andthose                       Term Frequency: 1         
Term: ofthose                        Term Frequency: 1         
Term: rich                           Term Frequency: 1         
Term: introspectively                Term Frequency: 1         
Term: college                        Term Frequency: 1         
Term: discussedearlier               Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: mation                         Term Frequency: 1         
Term: testing                        Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: alerts                         Term Frequency: 1         
Term: system                         Term Frequency: 1         
Term: algorithms                     Term Frequency: 1         
Term: against                        Term Frequency: 1         
Term: stratified                     Term Frequency: 1         
Term: cessing                        Term Frequency: 1         
Term: etc                            Term Frequency: 1         
Term: all                            Term Frequency: 1         
Term: careers                        Term Frequency: 1         
Term: collect                        Term Frequency: 1         
Term: theyuse                        Term Frequency: 1         
Term: disengag                       Term Frequency: 1         
Term: humanjudges                    Term Frequency: 1         
Term: reason                         Term Frequency: 1         
Term: skills                         Term Frequency: 1         
Term: identification                 Term Frequency: 1         
Term: pears                          Term Frequency: 1         
Term: sampling                       Term Frequency: 1         
Term: disinterested                  Term Frequency: 1         
Term: moreinstitutions               Term Frequency: 1         
Term: intobetter                     Term Frequency: 1         
Term: dictionary                     Term Frequency: 1         
Term: sentimentsexpressed            Term Frequency: 1         
Term: arousaland                     Term Frequency: 1         
Term: rst                            Term Frequency: 1         
Term: fication                       Term Frequency: 1         
Term: isalso                         Term Frequency: 1         
Term: ternalize                      Term Frequency: 1         
Term: detection                      Term Frequency: 1         
Term: neers                          Term Frequency: 1         
Term: campuses                       Term Frequency: 1         
Term: supported                      Term Frequency: 1         
Term: through                        Term Frequency: 1         
Term: those                          Term Frequency: 1         
Term: itmean                         Term Frequency: 1         
Term: next                           Term Frequency: 1         
Term: affective                      Term Frequency: 1         
Term: flections                      Term Frequency: 1         
Term: way                            Term Frequency: 1         
Term: risk                           Term Frequency: 1         
Term: window                         Term Frequency: 1         
Term: classi                         Term Frequency: 1         
Term: broad                          Term Frequency: 1         
Term: plan                           Term Frequency: 1         
Term: utilized                       Term Frequency: 1         
Term: generation                     Term Frequency: 1         
Term: determined                     Term Frequency: 1         
Term: shortinformal                  Term Frequency: 1         
Term: sentimentin                    Term Frequency: 1         
Term: negativewords                  Term Frequency: 1         
Term: variancein                     Term Frequency: 1         
Term: great                          Term Frequency: 1         
Term: approachis                     Term Frequency: 1         
Term: inmajoring                     Term Frequency: 1         
Term: fee                            Term Frequency: 1         
Term: described                      Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: classof                        Term Frequency: 1         
Term: important                      Term Frequency: 1         
Term: useddata                       Term Frequency: 1         
Term: topic                          Term Frequency: 1         
Term: interactions                   Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: designed                       Term Frequency: 1         
Term: amount                         Term Frequency: 1         
Term: user                           Term Frequency: 1         
Term: themethods                     Term Frequency: 1         
Term: fit                            Term Frequency: 1         
Term: analyzing                      Term Frequency: 1         
Term: 46556gambrose                  Term Frequency: 1         
Term: addition                       Term Frequency: 1         
Term: respec                         Term Frequency: 1         
Term: engineers                      Term Frequency: 1         
Term: trospective                    Term Frequency: 1         
Term: andshowed                      Term Frequency: 1         
Term: deal                           Term Frequency: 1         
Term: asample                        Term Frequency: 1         
Term: communications                 Term Frequency: 1         
Term: systems                        Term Frequency: 1         
Term: socialand                      Term Frequency: 1         
Term: sample                         Term Frequency: 1         
Term: portfo                         Term Frequency: 1         
Term: needs                          Term Frequency: 1         
Term: torepublish                    Term Frequency: 1         
Term: parts                          Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: significantimbalance           Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: over                           Term Frequency: 1         
Term: retained                       Term Frequency: 1         
Term: selves                         Term Frequency: 1         
Term: publish                        Term Frequency: 1         
Term: significantly                  Term Frequency: 1         
Term: select                         Term Frequency: 1         
Term: context                        Term Frequency: 1         
Term: fre                            Term Frequency: 1         
Term: majority                       Term Frequency: 1         
Term: 517                            Term Frequency: 1         
Term: 521                            Term Frequency: 1         
Term: seemed                         Term Frequency: 1         
Term: multimedia                     Term Frequency: 1         
Term: 547                            Term Frequency: 1         
Term: expressed                      Term Frequency: 1         
Term: textmining                     Term Frequency: 1         
Term: mo                             Term Frequency: 1         
Term: level                          Term Frequency: 1         
Term: author                         Term Frequency: 1         
Term: currence                       Term Frequency: 1         
Term: prediction                     Term Frequency: 1         
Term: focused                        Term Frequency: 1         
Term: oc                             Term Frequency: 1         
Term: 577                            Term Frequency: 1         
Term: unstructured                   Term Frequency: 1         
Term: 103                            Term Frequency: 1         
Term: counts                         Term Frequency: 1         
Term: 112                            Term Frequency: 1         
Term: stu                            Term Frequency: 1         
Term: starting                       Term Frequency: 1         
Term: subsets                        Term Frequency: 1         
Term: persist                        Term Frequency: 1         
Term: necessary                      Term Frequency: 1         
Term: weclassified                   Term Frequency: 1         
Term: makes                          Term Frequency: 1         
Term: single                         Term Frequency: 1         
Term: experienceengineering          Term Frequency: 1         
Term: vast                           Term Frequency: 1         
Term: story                          Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: workspace                      Term Frequency: 1         
Term: werecombined                   Term Frequency: 1         
Term: up                             Term Frequency: 1         
Term: degree                         Term Frequency: 1         
Term: allocating                     Term Frequency: 1         
Term: demonstrate                    Term Frequency: 1         
Term: vs                             Term Frequency: 1         
Term: plications                     Term Frequency: 1         
Term: slight                         Term Frequency: 1         
Term: bya                            Term Frequency: 1         
Term: deeper                         Term Frequency: 1         
Term: continuedin                    Term Frequency: 1         
Term: beyond                         Term Frequency: 1         
Term: othermethods                   Term Frequency: 1         
Term: between                        Term Frequency: 1         
Term: efficiency                     Term Frequency: 1         
Term: thandetermining                Term Frequency: 1         
Term: exist                          Term Frequency: 1         
Term: insight                        Term Frequency: 1         
Term: iden                           Term Frequency: 1         
Term: following                      Term Frequency: 1         
Term: distribution                   Term Frequency: 1         
Term: feature                        Term Frequency: 1         
Term: course                         Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: suggest                        Term Frequency: 1         
Term: highlights                     Term Frequency: 1         
Term: responses                      Term Frequency: 1         
Term: reveal                         Term Frequency: 1         
Term: andtowards                     Term Frequency: 1         
Term: norm                           Term Frequency: 1         
Term: thequantitative                Term Frequency: 1         
Term: describing                     Term Frequency: 1         
Term: tives                          Term Frequency: 1         
Term: 2558,2010.423                  Term Frequency: 1         
Term: resource                       Term Frequency: 1         
Term: like                           Term Frequency: 1         
Term: regards                        Term Frequency: 1         
Term: efforts                        Term Frequency: 1         
Term: person                         Term Frequency: 1         
Term: toshow                         Term Frequency: 1         
Term: summarization                  Term Frequency: 1         
Term: link                           Term Frequency: 1         
Term: wordsused                      Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: themid                         Term Frequency: 1         
Term: intend                         Term Frequency: 1         
Term: Austin                         Term Frequency: 0         
Term: nd.eduVictoria                 Term Frequency: 0         
Term: these                          Term Frequency: 0         
Term: Booth                          Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: G                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: L                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: N                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: T                              Term Frequency: 0         
Term: V                              Term Frequency: 0         
Term: W                              Term Frequency: 0         
Term: Y                              Term Frequency: 0         
Term: Based                          Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: population.In                  Term Frequency: 0         
Term: Indicator                      Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: AnalyticsAnd                   Term Frequency: 0         
Term: American                       Term Frequency: 0         
Term: DescriptorsJ                   Term Frequency: 0         
Term: andA                           Term Frequency: 0         
Term: Qualitatively                  Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: Huang                          Term Frequency: 0         
Term: Chung                          Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: semesteroutcomes.By            Term Frequency: 0         
Term: Paltoglou                      Term Frequency: 0         
Term: NwangangaUniversity            Term Frequency: 0         
Term: Administrative                 Term Frequency: 0         
Term: nd.eduABSTRACTThe              Term Frequency: 0         
Term: Stayers                        Term Frequency: 0         
Term: They                           Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: fee.LAK                        Term Frequency: 0         
Term: Review                         Term Frequency: 0         
Term: Engineer                       Term Frequency: 0         
Term: Dame                           Term Frequency: 0         
Term: theFourth                      Term Frequency: 0         
Term: BACKGROUNDIn                   Term Frequency: 0         
Term: Count                          Term Frequency: 0         
Term: Conference                     Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: Development                    Term Frequency: 0         
Term: Liew                           Term Frequency: 0         
Term: Thispaper                      Term Frequency: 0         
Term: author.It                      Term Frequency: 0         
Term: Technology                     Term Frequency: 0         
Term: predictive.In                  Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: Applying                       Term Frequency: 0         
Term: Notre                          Term Frequency: 0         
Term: 1161222Permission              Term Frequency: 0         
Term: Buckley                        Term Frequency: 0         
Term: Proceedings                    Term Frequency: 0         
Term: AmbroseUniversity              Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: Because                        Term Frequency: 0         
Term: Ituses                         Term Frequency: 0         
Term: nd.eduG                        Term Frequency: 0         
Term: Processing                     Term Frequency: 0         
Term: Language                       Term Frequency: 0         
Term: International                  Term Frequency: 0         
Term: Grant                          Term Frequency: 0         
Term: Gonzales                       Term Frequency: 0         
Term: Exploring                      Term Frequency: 0         
Term: ChawlaUniversity               Term Frequency: 0         
Term: Leavers                        Term Frequency: 0         
Term: USACopyright                   Term Frequency: 0         
Term: Goodrich                       Term Frequency: 0         
Term: EmotionBasic                   Term Frequency: 0         
Term: TermsMeasurement               Term Frequency: 0         
Term: LIWC2007                       Term Frequency: 0         
Term: INTRODUCTION                   Term Frequency: 0         
Term: Emotions                       Term Frequency: 0         
Term: One                            Term Frequency: 0         
Term: March                          Term Frequency: 0         
Term: into                           Term Frequency: 0         
Term: Inquiry                        Term Frequency: 0         
Term: Frequency                      Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Properties                     Term Frequency: 0         
Term: ePort                          Term Frequency: 0         
Term: Society                        Term Frequency: 0         
Term: Engi                           Term Frequency: 0         
Term: promise.Current                Term Frequency: 0         
Term: MININGAccording                Term Frequency: 0         
Term: Cai                            Term Frequency: 0         
Term: forInformation                 Term Frequency: 0         
Term: Science                        Term Frequency: 0         
Term: WORKOur                        Term Frequency: 0         
Term: Alternative                    Term Frequency: 0         
Term: Deploying                      Term Frequency: 0         
Term: Poughkeepsie                   Term Frequency: 0         
Term: Building                       Term Frequency: 0         
Term: Af                             Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: Goh                            Term Frequency: 0         
Term: nd.eduEveraldo                 Term Frequency: 0         
Term: Mehl                           Term Frequency: 0         
Term: Annual                         Term Frequency: 0         
Term: Stayer                         Term Frequency: 0         
Term: Brockman                       Term Frequency: 0         
Term: Measuring                      Term Frequency: 0         
Term: ElectronicPortfolios           Term Frequency: 0         
Term: Chawla.Integration             Term Frequency: 0         
Term: LIWC                           Term Frequency: 0         
Term: Student                        Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: Whatis                         Term Frequency: 0         
Term: Text                           Term Frequency: 0         
Term: Predictive                     Term Frequency: 0         
Term: Linguistic                     Term Frequency: 0         
Term: Rather                         Term Frequency: 0         
Term: Journal                        Term Frequency: 0         
Term: NY                             Term Frequency: 0         
Term: Na                             Term Frequency: 0         
Term: DUE                            Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: Ireland                        Term Frequency: 0         
Term: No                             Term Frequency: 0         
Term: Hunting                        Term Frequency: 0         
Term: Ambrose                        Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: Of                             Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Ourwords                       Term Frequency: 0         
Term: Indiana                        Term Frequency: 0         
Term: CONTEXTOur                     Term Frequency: 0         
Term: Psychology                     Term Frequency: 0         
Term: Chawla                         Term Frequency: 0         
Term: Foundation                     Term Frequency: 0         
Term: Goingfroward                   Term Frequency: 0         
Term: Natural                        Term Frequency: 0         
Term: AguiarUniversity               Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: Emotion                        Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: Pro                            Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: IEEE                           Term Frequency: 0         
Term: engagement.In                  Term Frequency: 0         
Term: Texas                          Term Frequency: 0         
Term: Pennebaker                     Term Frequency: 0         
Term: Evaluating                     Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: Word                           Term Frequency: 0         
Term: DameNotre                      Term Frequency: 0         
Term: Los                            Term Frequency: 0         
Term: Thelwall                       Term Frequency: 0         
Term: Alamitos                       Term Frequency: 0         
Term: Knowledge                      Term Frequency: 0         
Term: ePortfolios                    Term Frequency: 0         
Term: CONCLUSION                     Term Frequency: 0         
Term: EarlyWarning                   Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: How                            Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: AnalysisAfter                  Term Frequency: 0         
Term: Sentiment                      Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Quantified                     Term Frequency: 0         
Term: disengagement.Categories       Term Frequency: 0         
