Term: based                          Term Frequency: 25        
Term: high                           Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: relevant                       Term Frequency: 2         
Term: scores                         Term Frequency: 2         
Term: intelligent                    Term Frequency: 2         
Term: bridge                         Term Frequency: 2         
Term: pairs                          Term Frequency: 2         
Term: frequency                      Term Frequency: 2         
Term: support                        Term Frequency: 2         
Term: higher                         Term Frequency: 2         
Term: recall                         Term Frequency: 2         
Term: course                         Term Frequency: 2         
Term: comparing                      Term Frequency: 2         
Term: mediated                       Term Frequency: 2         
Term: cognition                      Term Frequency: 2         
Term: half                           Term Frequency: 1         
Term: without                        Term Frequency: 1         
Term: would                          Term Frequency: 1         
Term: 2723576.2723659                Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: 4503                           Term Frequency: 1         
Term: correct                        Term Frequency: 1         
Term: reader                         Term Frequency: 1         
Term: compute                        Term Frequency: 1         
Term: contributed                    Term Frequency: 1         
Term: lack                           Term Frequency: 1         
Term: wire                           Term Frequency: 1         
Term: applied                        Term Frequency: 1         
Term: embody                         Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: perform                        Term Frequency: 1         
Term: service                        Term Frequency: 1         
Term: well                           Term Frequency: 1         
Term: focus                          Term Frequency: 1         
Term: experiment                     Term Frequency: 1         
Term: gained                         Term Frequency: 1         
Term: e.g                            Term Frequency: 1         
Term: classroom                      Term Frequency: 1         
Term: confirmation                   Term Frequency: 1         
Term: propose                        Term Frequency: 1         
Term: jointly                        Term Frequency: 1         
Term: neutrality                     Term Frequency: 1         
Term: question                       Term Frequency: 1         
Term: discussed                      Term Frequency: 1         
Term: reproduced                     Term Frequency: 1         
Term: picture                        Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: regard                         Term Frequency: 1         
Term: findings                       Term Frequency: 1         
Term: aligns                         Term Frequency: 1         
Term: differs                        Term Frequency: 1         
Term: units                          Term Frequency: 1         
Term: 217                            Term Frequency: 1         
Term: conduct                        Term Frequency: 1         
Term: activities                     Term Frequency: 1         
Term: 232                            Term Frequency: 1         
Term: worked                         Term Frequency: 1         
Term: eventual                       Term Frequency: 1         
Term: induce                         Term Frequency: 1         
Term: difference                     Term Frequency: 1         
Term: must                           Term Frequency: 1         
Term: indicative                     Term Frequency: 1         
Term: found                          Term Frequency: 1         
Term: does                           Term Frequency: 1         
Term: validate                       Term Frequency: 1         
Term: participate                    Term Frequency: 1         
Term: speech                         Term Frequency: 1         
Term: had                            Term Frequency: 1         
Term: school                         Term Frequency: 1         
Term: stability                      Term Frequency: 1         
Term: given                          Term Frequency: 1         
Term: dx.doi.org                     Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: correlated                     Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: motivation                     Term Frequency: 1         
Term: initially                      Term Frequency: 1         
Term: identified                     Term Frequency: 1         
Term: probabilities                  Term Frequency: 1         
Term: confirmed                      Term Frequency: 1         
Term: ways                           Term Frequency: 1         
Term: means                          Term Frequency: 1         
Term: conceptual                     Term Frequency: 1         
Term: garden                         Term Frequency: 1         
Term: randomly                       Term Frequency: 1         
Term: experience                     Term Frequency: 1         
Term: shown                          Term Frequency: 1         
Term: bear                           Term Frequency: 1         
Term: drinking                       Term Frequency: 1         
Term: particular                     Term Frequency: 1         
Term: values                         Term Frequency: 1         
Term: third                          Term Frequency: 1         
Term: videos                         Term Frequency: 1         
Term: knowledge                      Term Frequency: 1         
Term: going                          Term Frequency: 1         
Term: domain                         Term Frequency: 1         
Term: assigned                       Term Frequency: 1         
Term: average                        Term Frequency: 1         
Term: disconfirmation                Term Frequency: 1         
Term: emergence                      Term Frequency: 1         
Term: involve                        Term Frequency: 1         
Term: possible                       Term Frequency: 1         
Term: did                            Term Frequency: 1         
Term: commonly                       Term Frequency: 1         
Term: 1151                           Term Frequency: 1         
Term: impasses                       Term Frequency: 1         
Term: graph                          Term Frequency: 1         
Term: 1147                           Term Frequency: 1         
Term: paulob                         Term Frequency: 1         
Term: virtual                        Term Frequency: 1         
Term: importance                     Term Frequency: 1         
Term: 2012                           Term Frequency: 1         
Term: 2011                           Term Frequency: 1         
Term: 2010                           Term Frequency: 1         
Term: pound                          Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: affects                        Term Frequency: 1         
Term: home                           Term Frequency: 1         
Term: approximately                  Term Frequency: 1         
Term: transitioning                  Term Frequency: 1         
Term: 2015                           Term Frequency: 1         
Term: 2013                           Term Frequency: 1         
Term: impasse                        Term Frequency: 1         
Term: action                         Term Frequency: 1         
Term: researchers                    Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: being                          Term Frequency: 1         
Term: known                          Term Frequency: 1         
Term: together                       Term Frequency: 1         
Term: could                          Term Frequency: 1         
Term: agents                         Term Frequency: 1         
Term: motivated                      Term Frequency: 1         
Term: steps                          Term Frequency: 1         
Term: principles                     Term Frequency: 1         
Term: hour                           Term Frequency: 1         
Term: included                       Term Frequency: 1         
Term: experienced                    Term Frequency: 1         
Term: structure                      Term Frequency: 1         
Term: processed                      Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: contribution                   Term Frequency: 1         
Term: 16                             Term Frequency: 1         
Term: received                       Term Frequency: 1         
Term: collaborating                  Term Frequency: 1         
Term: 22                             Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: fact                           Term Frequency: 1         
Term: examine                        Term Frequency: 1         
Term: examined                       Term Frequency: 1         
Term: face                           Term Frequency: 1         
Term: household                      Term Frequency: 1         
Term: 43                             Term Frequency: 1         
Term: conditional                    Term Frequency: 1         
Term: seven                          Term Frequency: 1         
Term: mworsley                       Term Frequency: 1         
Term: five                           Term Frequency: 1         
Term: paths                          Term Frequency: 1         
Term: 66                             Term Frequency: 1         
Term: assistance                     Term Frequency: 1         
Term: common                         Term Frequency: 1         
Term: again                          Term Frequency: 1         
Term: step                           Term Frequency: 1         
Term: preliminary                    Term Frequency: 1         
Term: controlling                    Term Frequency: 1         
Term: collaborative                  Term Frequency: 1         
Term: pictures                       Term Frequency: 1         
Term: across                         Term Frequency: 1         
Term: demonstrated                   Term Frequency: 1         
Term: tutoring                       Term Frequency: 1         
Term: existence                      Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: solving                        Term Frequency: 1         
Term: spend                          Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: conferred                      Term Frequency: 1         
Term: building                       Term Frequency: 1         
Term: community                      Term Frequency: 1         
Term: appropriate                    Term Frequency: 1         
Term: providing                      Term Frequency: 1         
Term: 3417                           Term Frequency: 1         
Term: behavior                       Term Frequency: 1         
Term: fostering                      Term Frequency: 1         
Term: centrally                      Term Frequency: 1         
Term: probabilistic                  Term Frequency: 1         
Term: pushing                        Term Frequency: 1         
Term: student’s                      Term Frequency: 1         
Term: add                            Term Frequency: 1         
Term: its                            Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: useful                         Term Frequency: 1         
Term: previously                     Term Frequency: 1         
Term: years                          Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: 6th                            Term Frequency: 1         
Term: hypotheses                     Term Frequency: 1         
Term: other                          Term Frequency: 1         
Term: asked                          Term Frequency: 1         
Term: 427                            Term Frequency: 1         
Term: conducted                      Term Frequency: 1         
Term: differed                       Term Frequency: 1         
Term: tool                           Term Frequency: 1         
Term: sensor                         Term Frequency: 1         
Term: 426were                        Term Frequency: 1         
Term: leverage                       Term Frequency: 1         
Term: predict                        Term Frequency: 1         
Term: straws                         Term Frequency: 1         
Term: hypothesis                     Term Frequency: 1         
Term: differently                    Term Frequency: 1         
Term: increased                      Term Frequency: 1         
Term: notion                         Term Frequency: 1         
Term: taken                          Term Frequency: 1         
Term: where                          Term Frequency: 1         
Term: describes                      Term Frequency: 1         
Term: describe                       Term Frequency: 1         
Term: incorporation                  Term Frequency: 1         
Term: embarking                      Term Frequency: 1         
Term: strength                       Term Frequency: 1         
Term: developing                     Term Frequency: 1         
Term: run                            Term Frequency: 1         
Term: imagine                        Term Frequency: 1         
Term: improving                      Term Frequency: 1         
Term: absence                        Term Frequency: 1         
Term: approaching                    Term Frequency: 1         
Term: show                           Term Frequency: 1         
Term: description                    Term Frequency: 1         
Term: factor                         Term Frequency: 1         
Term: sensing                        Term Frequency: 1         
Term: way                            Term Frequency: 1         
Term: learner                        Term Frequency: 1         
Term: case                           Term Frequency: 1         
Term: images                         Term Frequency: 1         
Term: sticks                         Term Frequency: 1         
Term: direct                         Term Frequency: 1         
Term: explore                        Term Frequency: 1         
Term: fee                            Term Frequency: 1         
Term: influence                      Term Frequency: 1         
Term: most                           Term Frequency: 1         
Term: marker                         Term Frequency: 1         
Term: outside                        Term Frequency: 1         
Term: inspiration                    Term Frequency: 1         
Term: interactions                   Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: various                        Term Frequency: 1         
Term: simply                         Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: looking                        Term Frequency: 1         
Term: strong                         Term Frequency: 1         
Term: systems                        Term Frequency: 1         
Term: indicate                       Term Frequency: 1         
Term: do                             Term Frequency: 1         
Term: contact                        Term Frequency: 1         
Term: which                          Term Frequency: 1         
Term: mediator                       Term Frequency: 1         
Term: party                          Term Frequency: 1         
Term: ft                             Term Frequency: 1         
Term: content                        Term Frequency: 1         
Term: related                        Term Frequency: 1         
Term: rate                           Term Frequency: 1         
Term: teachers                       Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: over                           Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: bio                            Term Frequency: 1         
Term: lower                          Term Frequency: 1         
Term: ordinary                       Term Frequency: 1         
Term: traditional                    Term Frequency: 1         
Term: practitioners                  Term Frequency: 1         
Term: plate                          Term Frequency: 1         
Term: literature                     Term Frequency: 1         
Term: delight                        Term Frequency: 1         
Term: table                          Term Frequency: 1         
Term: change                         Term Frequency: 1         
Term: off                            Term Frequency: 1         
Term: wooden                         Term Frequency: 1         
Term: second                         Term Frequency: 1         
Term: suggests                       Term Frequency: 1         
Term: sufficient                     Term Frequency: 1         
Term: directly                       Term Frequency: 1         
Term: mixed                          Term Frequency: 1         
Term: investigate                    Term Frequency: 1         
Term: head                           Term Frequency: 1         
Term: brief                          Term Frequency: 1         
Term: allows                         Term Frequency: 1         
Term: determine                      Term Frequency: 1         
Term: objective                      Term Frequency: 1         
Term: recent                         Term Frequency: 1         
Term: closely                        Term Frequency: 1         
Term: grounded                       Term Frequency: 1         
Term: confirm                        Term Frequency: 1         
Term: 145                            Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: express                        Term Frequency: 1         
Term: contexts                       Term Frequency: 1         
Term: 157                            Term Frequency: 1         
Term: us                             Term Frequency: 1         
Term: emotions                       Term Frequency: 1         
Term: extract                        Term Frequency: 1         
Term: solve                          Term Frequency: 1         
Term: held                           Term Frequency: 1         
Term: feedback                       Term Frequency: 1         
Term: positively                     Term Frequency: 1         
Term: closing                        Term Frequency: 1         
Term: problem                        Term Frequency: 1         
Term: presence                       Term Frequency: 1         
Term: goal                           Term Frequency: 1         
Term: effortful                      Term Frequency: 1         
Term: evidenced                      Term Frequency: 1         
Term: seeing                         Term Frequency: 1         
Term: observation                    Term Frequency: 1         
Term: highlights                     Term Frequency: 1         
Term: individual                     Term Frequency: 1         
Term: behaviors                      Term Frequency: 1         
Term: towards                        Term Frequency: 1         
Term: proposed                       Term Frequency: 1         
Term: potentially                    Term Frequency: 1         
Term: instances                      Term Frequency: 1         
Term: salient                        Term Frequency: 1         
Term: studies                        Term Frequency: 1         
Term: groups                         Term Frequency: 1         
Term: mediates                       Term Frequency: 1         
Term: these                          Term Frequency: 0         
Term: Game                           Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: B                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: F                              Term Frequency: 0         
Term: Analyses                       Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: M                              Term Frequency: 0         
Term: N                              Term Frequency: 0         
Term: P                              Term Frequency: 0         
Term: R                              Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: Based                          Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Press                          Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: Instruction                    Term Frequency: 0         
Term: Intelligent                    Term Frequency: 0         
Term: Reasoning                      Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Paulo                          Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: However                        Term Frequency: 0         
Term: Artificial                     Term Frequency: 0         
Term: Through                        Term Frequency: 0         
Term: Their                          Term Frequency: 0         
Term: Grafsgaard                     Term Frequency: 0         
Term: Stanford                       Term Frequency: 0         
Term: Project                        Term Frequency: 0         
Term: CERT                           Term Frequency: 0         
Term: They                           Term Frequency: 0         
Term: Frustration                    Term Frequency: 0         
Term: Marcelo                        Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: Recall                         Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: Conference                     Term Frequency: 0         
Term: DISCUSSION                     Term Frequency: 0         
Term: Affective                      Term Frequency: 0         
Term: Technology                     Term Frequency: 0         
Term: CERAS                          Term Frequency: 0         
Term: Joy                            Term Frequency: 0         
Term: Tutor                          Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: ICLS                           Term Frequency: 0         
Term: Thus                           Term Frequency: 0         
Term: Makers                         Term Frequency: 0         
Term: METHODS                        Term Frequency: 0         
Term: Frontal                        Term Frequency: 0         
Term: D’Mello                        Term Frequency: 0         
Term: Neutral                        Term Frequency: 0         
Term: Boyer                          Term Frequency: 0         
Term: Proceedings                    Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: With                           Term Frequency: 0         
Term: International                  Term Frequency: 0         
Term: Galvez                         Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: Practice                       Term Frequency: 0         
Term: Monitoring                     Term Frequency: 0         
Term: Educational                    Term Frequency: 0         
Term: Expression                     Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: M.M.T                          Term Frequency: 0         
Term: ABSTRACT                       Term Frequency: 0         
Term: Dynamics                       Term Frequency: 0         
Term: INTRODUCTION                   Term Frequency: 0         
Term: Overall                        Term Frequency: 0         
Term: Owner                          Term Frequency: 0         
Term: Cambridge                      Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: Enhanced                       Term Frequency: 0         
Term: Baker                          Term Frequency: 0         
Term: Lehman                         Term Frequency: 0         
Term: Cognition                      Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Facial                         Term Frequency: 0         
Term: Kinect                         Term Frequency: 0         
Term: Computing                      Term Frequency: 0         
Term: Complex                        Term Frequency: 0         
Term: Results                        Term Frequency: 0         
Term: Comparing                      Term Frequency: 0         
Term: Affect                         Term Frequency: 0         
Term: Furthermore                    Term Frequency: 0         
Term: Environment                    Term Frequency: 0         
Term: Since                          Term Frequency: 0         
Term: Cognitive                      Term Frequency: 0         
Term: Participants                   Term Frequency: 0         
Term: Wiggins                        Term Frequency: 0         
Term: Poughkeepsie                   Term Frequency: 0         
Term: Author                         Term Frequency: 0         
Term: Similarly                      Term Frequency: 0         
Term: An                             Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: CA                             Term Frequency: 0         
Term: By                             Term Frequency: 0         
Term: Predicting                     Term Frequency: 0         
Term: Using                          Term Frequency: 0         
Term: Graesser                       Term Frequency: 0         
Term: Person                         Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: Study                          Term Frequency: 0         
Term: USA                            Term Frequency: 0         
Term: Learners                       Term Frequency: 0         
Term: Journal                        Term Frequency: 0         
Term: NY                             Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: Hands                          Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Automatically                  Term Frequency: 0         
Term: Mall                           Term Frequency: 0         
Term: Students                       Term Frequency: 0         
Term: Principle                      Term Frequency: 0         
Term: MIT                            Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: Figure                         Term Frequency: 0         
Term: Blikstein                      Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: Put                            Term Frequency: 0         
Term: Hence                          Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: Rodrigo                        Term Frequency: 0         
Term: Intelligence                   Term Frequency: 0         
Term: Impact                         Term Frequency: 0         
Term: CONCLUSION                     Term Frequency: 0         
Term: Confusion                      Term Frequency: 0         
Term: Wiebe                          Term Frequency: 0         
Term: Hypothesized                   Term Frequency: 0         
Term: Recognizing                    Term Frequency: 0         
Term: Assessing                      Term Frequency: 0         
Term: Pairs                          Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: ANOVA                          Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Lester                         Term Frequency: 0         
Term: Popsicle                       Term Frequency: 0         
Term: Instead                        Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Mining                         Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: Mar                            Term Frequency: 0         
Term: Sciences                       Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: Engagement                     Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: then                           Term Frequency: 0         
Term: Additionally                   Term Frequency: 0         
Term: Worsley                        Term Frequency: 0         
Term: FACET                          Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: but                            Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Specifically                   Term Frequency: 0         
Term: Picard                         Term Frequency: 0         
Term: Disequilibrium                 Term Frequency: 0         
Term: Surprise                       Term Frequency: 0         
Term: Next                           Term Frequency: 0         
Term: Model                          Term Frequency: 0         
Term: D'Mello                        Term Frequency: 0         
Term: Both                           Term Frequency: 0         
Term: will                           Term Frequency: 0         
Term: While                          Term Frequency: 0         
Term: R.S.J.d                        Term Frequency: 0         
