Term: misconception                  Term Frequency: 135       
Term: positive                       Term Frequency: 10        
Term: number                         Term Frequency: 10        
Term: row                            Term Frequency: 10        
Term: instructional                  Term Frequency: 10        
Term: strength                       Term Frequency: 10        
Term: koedinger                      Term Frequency: 10        
Term: weaken                         Term Frequency: 10        
Term: better                         Term Frequency: 9         
Term: top                            Term Frequency: 9         
Term: skills                         Term Frequency: 9         
Term: one                            Term Frequency: 9         
Term: present                        Term Frequency: 9         
Term: based                          Term Frequency: 9         
Term: yield                          Term Frequency: 9         
Term: significant                    Term Frequency: 9         
Term: both                           Term Frequency: 9         
Term: strengthen                     Term Frequency: 9         
Term: example                        Term Frequency: 8         
Term: j                              Term Frequency: 8         
Term: multiple                       Term Frequency: 8         
Term: have                           Term Frequency: 8         
Term: particular                     Term Frequency: 8         
Term: use                            Term Frequency: 8         
Term: outer                          Term Frequency: 8         
Term: whole                          Term Frequency: 8         
Term: explicitly                     Term Frequency: 8         
Term: significantly                  Term Frequency: 8         
Term: model’s                        Term Frequency: 8         
Term: could                          Term Frequency: 8         
Term: finding                        Term Frequency: 8         
Term: using                          Term Frequency: 8         
Term: case                           Term Frequency: 8         
Term: 4                              Term Frequency: 7         
Term: overall                        Term Frequency: 7         
Term: test                           Term Frequency: 7         
Term: convert                        Term Frequency: 7         
Term: may                            Term Frequency: 7         
Term: coefficient                    Term Frequency: 7         
Term: mining                         Term Frequency: 7         
Term: attribute                      Term Frequency: 7         
Term: study                          Term Frequency: 7         
Term: effects                        Term Frequency: 7         
Term: than                           Term Frequency: 7         
Term: concepts                       Term Frequency: 7         
Term: line                           Term Frequency: 7         
Term: weighted                       Term Frequency: 7         
Term: additional                     Term Frequency: 7         
Term: within                         Term Frequency: 7         
Term: track                          Term Frequency: 7         
Term: other                          Term Frequency: 7         
Term: parameters                     Term Frequency: 7         
Term: typically                      Term Frequency: 7         
Term: feedback                       Term Frequency: 7         
Term: between                        Term Frequency: 7         
Term: 5                              Term Frequency: 6         
Term: 6                              Term Frequency: 6         
Term: b                              Term Frequency: 6         
Term: c                              Term Frequency: 6         
Term: required                       Term Frequency: 6         
Term: tutors                         Term Frequency: 6         
Term: shown                          Term Frequency: 6         
Term: term                           Term Frequency: 6         
Term: 12                             Term Frequency: 6         
Term: numbers                        Term Frequency: 6         
Term: work                           Term Frequency: 6         
Term: parameter                      Term Frequency: 6         
Term: least                          Term Frequency: 6         
Term: driven                         Term Frequency: 6         
Term: way                            Term Frequency: 6         
Term: when                           Term Frequency: 6         
Term: do                             Term Frequency: 6         
Term: mistakes                       Term Frequency: 6         
Term: cognitive                      Term Frequency: 6         
Term: our                            Term Frequency: 6         
Term: like                           Term Frequency: 6         
Term: i.e                            Term Frequency: 6         
Term: success                        Term Frequency: 6         
Term: given                          Term Frequency: 6         
Term: find                           Term Frequency: 6         
Term: 0.0001                         Term Frequency: 6         
Term: improvement                    Term Frequency: 6         
Term: tagged                         Term Frequency: 6         
Term: 3                              Term Frequency: 5         
Term: left                           Term Frequency: 5         
Term: checkbox                       Term Frequency: 5         
Term: d                              Term Frequency: 5         
Term: information                    Term Frequency: 5         
Term: predicted                      Term Frequency: 5         
Term: order                          Term Frequency: 5         
Term: were                           Term Frequency: 5         
Term: does                           Term Frequency: 5         
Term: shows                          Term Frequency: 5         
Term: right                          Term Frequency: 5         
Term: make                           Term Frequency: 5         
Term: 16                             Term Frequency: 5         
Term: because                        Term Frequency: 5         
Term: matrix                         Term Frequency: 5         
Term: might                          Term Frequency: 5         
Term: what                           Term Frequency: 5         
Term: wrong                          Term Frequency: 5         
Term: likely                         Term Frequency: 5         
Term: ability                        Term Frequency: 5         
Term: has                            Term Frequency: 5         
Term: pre                            Term Frequency: 5         
Term: weight                         Term Frequency: 5         
Term: some                           Term Frequency: 5         
Term: error                          Term Frequency: 5         
Term: its                            Term Frequency: 5         
Term: those                          Term Frequency: 5         
Term: however                        Term Frequency: 5         
Term: proportion                     Term Frequency: 5         
Term: level                          Term Frequency: 5         
Term: current                        Term Frequency: 5         
Term: lead                           Term Frequency: 5         
Term: computing                      Term Frequency: 5         
Term: response                       Term Frequency: 5         
Term: would                          Term Frequency: 4         
Term: 9                              Term Frequency: 4         
Term: statistical                    Term Frequency: 4         
Term: result                         Term Frequency: 4         
Term: e.g                            Term Frequency: 4         
Term: implications                   Term Frequency: 4         
Term: improve                        Term Frequency: 4         
Term: mapped                         Term Frequency: 4         
Term: activities                     Term Frequency: 4         
Term: three                          Term Frequency: 4         
Term: part                           Term Frequency: 4         
Term: relative                       Term Frequency: 4         
Term: added                          Term Frequency: 4         
Term: adding                         Term Frequency: 4         
Term: final                          Term Frequency: 4         
Term: known                          Term Frequency: 4         
Term: map                            Term Frequency: 4         
Term: denominators                   Term Frequency: 4         
Term: 10                             Term Frequency: 4         
Term: 11                             Term Frequency: 4         
Term: unique                         Term Frequency: 4         
Term: 20                             Term Frequency: 4         
Term: components                     Term Frequency: 4         
Term: long                           Term Frequency: 4         
Term: many                           Term Frequency: 4         
Term: theory                         Term Frequency: 4         
Term: representing                   Term Frequency: 4         
Term: evidence                       Term Frequency: 4         
Term: student’s                      Term Frequency: 4         
Term: new                            Term Frequency: 4         
Term: research                       Term Frequency: 4         
Term: logistic                       Term Frequency: 4         
Term: give                           Term Frequency: 4         
Term: differences                    Term Frequency: 4         
Term: used                           Term Frequency: 4         
Term: inner                          Term Frequency: 4         
Term: addition                       Term Frequency: 4         
Term: skill                          Term Frequency: 4         
Term: allows                         Term Frequency: 4         
Term: us                             Term Frequency: 4         
Term: out                            Term Frequency: 4         
Term: development                    Term Frequency: 4         
Term: tracing                        Term Frequency: 4         
Term: automated                      Term Frequency: 4         
Term: yet                            Term Frequency: 4         
Term: time                           Term Frequency: 4         
Term: methods                        Term Frequency: 4         
Term: qualitative                    Term Frequency: 4         
Term: represent                      Term Frequency: 4         
Term: regression                     Term Frequency: 4         
Term: predicts                       Term Frequency: 4         
Term: reflect                        Term Frequency: 4         
Term: showed                         Term Frequency: 4         
Term: cannot                         Term Frequency: 4         
Term: all                            Term Frequency: 4         
Term: results                        Term Frequency: 4         
Term: show                           Term Frequency: 4         
Term: negative                       Term Frequency: 4         
Term: item                           Term Frequency: 4         
Term: important                      Term Frequency: 4         
Term: drive                          Term Frequency: 4         
Term: instruction                    Term Frequency: 4         
Term: attribution                    Term Frequency: 4         
Term: degree                         Term Frequency: 4         
Term: types                          Term Frequency: 4         
Term: positively                     Term Frequency: 4         
Term: baseline                       Term Frequency: 4         
Term: outcomes                       Term Frequency: 3         
Term: 7                              Term Frequency: 3         
Term: same                           Term Frequency: 3         
Term: after                          Term Frequency: 3         
Term: chi                            Term Frequency: 3         
Term: applied                        Term Frequency: 3         
Term: well                           Term Frequency: 3         
Term: implication                    Term Frequency: 3         
Term: comparison                     Term Frequency: 3         
Term: state                          Term Frequency: 3         
Term: reflecting                     Term Frequency: 3         
Term: specifically                   Term Frequency: 3         
Term: further                        Term Frequency: 3         
Term: did                            Term Frequency: 3         
Term: rather                         Term Frequency: 3         
Term: weights                        Term Frequency: 3         
Term: about                          Term Frequency: 3         
Term: 13                             Term Frequency: 3         
Term: 14                             Term Frequency: 3         
Term: 21                             Term Frequency: 3         
Term: 24                             Term Frequency: 3         
Term: allow                          Term Frequency: 3         
Term: flexibility                    Term Frequency: 3         
Term: include                        Term Frequency: 3         
Term: science                        Term Frequency: 3         
Term: assessment                     Term Frequency: 3         
Term: often                          Term Frequency: 3         
Term: happens                        Term Frequency: 3         
Term: mapping                        Term Frequency: 3         
Term: conceptions                    Term Frequency: 3         
Term: specific                       Term Frequency: 3         
Term: incorporating                  Term Frequency: 3         
Term: receiving                      Term Frequency: 3         
Term: certain                        Term Frequency: 3         
Term: effect                         Term Frequency: 3         
Term: various                        Term Frequency: 3         
Term: patterns                       Term Frequency: 3         
Term: random                         Term Frequency: 3         
Term: plus                           Term Frequency: 3         
Term: prediction                     Term Frequency: 3         
Term: them                           Term Frequency: 3         
Term: separate                       Term Frequency: 3         
Term: vs                             Term Frequency: 3         
Term: drop                           Term Frequency: 3         
Term: cases                          Term Frequency: 3         
Term: type                           Term Frequency: 3         
Term: analysis                       Term Frequency: 3         
Term: contributes                    Term Frequency: 3         
Term: interface                      Term Frequency: 3         
Term: 5000                           Term Frequency: 3         
Term: it’s                           Term Frequency: 3         
Term: latent                         Term Frequency: 3         
Term: square                         Term Frequency: 3         
Term: values                         Term Frequency: 3         
Term: general                        Term Frequency: 3         
Term: process                        Term Frequency: 3         
Term: reflects                       Term Frequency: 3         
Term: sometimes                      Term Frequency: 3         
Term: prior                          Term Frequency: 3         
Term: commonly                       Term Frequency: 3         
Term: 2005                           Term Frequency: 3         
Term: existing                       Term Frequency: 3         
Term: first                          Term Frequency: 3         
Term: intercepts                     Term Frequency: 3         
Term: insights                       Term Frequency: 3         
Term: adaptively                     Term Frequency: 3         
Term: future                         Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: predict                        Term Frequency: 3         
Term: reason                         Term Frequency: 3         
Term: through                        Term Frequency: 3         
Term: estimated                      Term Frequency: 3         
Term: influence                      Term Frequency: 3         
Term: 15201                          Term Frequency: 3         
Term: simply                         Term Frequency: 3         
Term: affect                         Term Frequency: 3         
Term: related                        Term Frequency: 3         
Term: over                           Term Frequency: 3         
Term: high                           Term Frequency: 3         
Term: interesting                    Term Frequency: 3         
Term: extended                       Term Frequency: 3         
Term: makes                          Term Frequency: 3         
Term: generate                       Term Frequency: 3         
Term: should                         Term Frequency: 3         
Term: 8                              Term Frequency: 2         
Term: procedures                     Term Frequency: 2         
Term: multiplication                 Term Frequency: 2         
Term: hand                           Term Frequency: 2         
Term: i                              Term Frequency: 2         
Term: others                         Term Frequency: 2         
Term: 8th                            Term Frequency: 2         
Term: representation                 Term Frequency: 2         
Term: cmu.edu                        Term Frequency: 2         
Term: jagged                         Term Frequency: 2         
Term: produce                        Term Frequency: 2         
Term: constitutes                    Term Frequency: 2         
Term: actual                         Term Frequency: 2         
Term: technologies                   Term Frequency: 2         
Term: full                           Term Frequency: 2         
Term: doctoral                       Term Frequency: 2         
Term: measures                       Term Frequency: 2         
Term: requires                       Term Frequency: 2         
Term: log                            Term Frequency: 2         
Term: combination                    Term Frequency: 2         
Term: depending                      Term Frequency: 2         
Term: domain                         Term Frequency: 2         
Term: compare                        Term Frequency: 2         
Term: involve                        Term Frequency: 2         
Term: possible                       Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: statistically                  Term Frequency: 2         
Term: due                            Term Frequency: 2         
Term: 15                             Term Frequency: 2         
Term: 17                             Term Frequency: 2         
Term: 18                             Term Frequency: 2         
Term: 19                             Term Frequency: 2         
Term: 25                             Term Frequency: 2         
Term: examined                       Term Frequency: 2         
Term: 36                             Term Frequency: 2         
Term: strategies                     Term Frequency: 2         
Term: 40                             Term Frequency: 2         
Term: knowing                        Term Frequency: 2         
Term: capture                        Term Frequency: 2         
Term: numerators                     Term Frequency: 2         
Term: allowed                        Term Frequency: 2         
Term: via                            Term Frequency: 2         
Term: selection                      Term Frequency: 2         
Term: detail                         Term Frequency: 2         
Term: appropriate                    Term Frequency: 2         
Term: behavior                       Term Frequency: 2         
Term: estimating                     Term Frequency: 2         
Term: generated                      Term Frequency: 2         
Term: need                           Term Frequency: 2         
Term: modeled                        Term Frequency: 2         
Term: http                           Term Frequency: 2         
Term: 4.4                            Term Frequency: 2         
Term: valid                          Term Frequency: 2         
Term: endeavor                       Term Frequency: 2         
Term: represented                    Term Frequency: 2         
Term: slopes                         Term Frequency: 2         
Term: discovering                    Term Frequency: 2         
Term: supported                      Term Frequency: 2         
Term: incorporate                    Term Frequency: 2         
Term: operator                       Term Frequency: 2         
Term: decrease                       Term Frequency: 2         
Term: detailed                       Term Frequency: 2         
Term: criteria                       Term Frequency: 2         
Term: utilize                        Term Frequency: 2         
Term: direct                         Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: otherwise                      Term Frequency: 2         
Term: keep                           Term Frequency: 2         
Term: coding                         Term Frequency: 2         
Term: predictive                     Term Frequency: 2         
Term: language                       Term Frequency: 2         
Term: resulting                      Term Frequency: 2         
Term: while                          Term Frequency: 2         
Term: termed                         Term Frequency: 2         
Term: so                             Term Frequency: 2         
Term: capturing                      Term Frequency: 2         
Term: failure                        Term Frequency: 2         
Term: solve                          Term Frequency: 2         
Term: changes                        Term Frequency: 2         
Term: examples                       Term Frequency: 2         
Term: conceived                      Term Frequency: 2         
Term: successes                      Term Frequency: 2         
Term: proposed                       Term Frequency: 2         
Term: externally                     Term Frequency: 2         
Term: datasets                       Term Frequency: 2         
Term: combined                       Term Frequency: 2         
Term: analyses                       Term Frequency: 2         
Term: lack                           Term Frequency: 2         
Term: approach                       Term Frequency: 2         
Term: underlying                     Term Frequency: 2         
Term: even                           Term Frequency: 2         
Term: misconceived                   Term Frequency: 2         
Term: linear                         Term Frequency: 2         
Term: attributed                     Term Frequency: 2         
Term: represents                     Term Frequency: 2         
Term: separately                     Term Frequency: 2         
Term: must                           Term Frequency: 2         
Term: facts                          Term Frequency: 2         
Term: receive                        Term Frequency: 2         
Term: had                            Term Frequency: 2         
Term: checks                         Term Frequency: 2         
Term: correlated                     Term Frequency: 2         
Term: applications                   Term Frequency: 2         
Term: unfolds                        Term Frequency: 2         
Term: slope                          Term Frequency: 2         
Term: before                         Term Frequency: 2         
Term: potential                      Term Frequency: 2         
Term: request                        Term Frequency: 2         
Term: evaluating                     Term Frequency: 2         
Term: count                          Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: 2006                           Term Frequency: 2         
Term: just                           Term Frequency: 2         
Term: 2016                           Term Frequency: 2         
Term: 2013                           Term Frequency: 2         
Term: topics                         Term Frequency: 2         
Term: selectively                    Term Frequency: 2         
Term: solution                       Term Frequency: 2         
Term: diverge                        Term Frequency: 2         
Term: experiences                    Term Frequency: 2         
Term: refinement                     Term Frequency: 2         
Term: rule                           Term Frequency: 2         
Term: detect                         Term Frequency: 2         
Term: multiplied                     Term Frequency: 2         
Term: every                          Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: span                           Term Frequency: 2         
Term: space                          Term Frequency: 2         
Term: ill                            Term Frequency: 2         
Term: value                          Term Frequency: 2         
Term: poor                           Term Frequency: 2         
Term: awarded                        Term Frequency: 2         
Term: post                           Term Frequency: 2         
Term: intuition                      Term Frequency: 2         
Term: plotted                        Term Frequency: 2         
Term: aggregated                     Term Frequency: 2         
Term: likelihood                     Term Frequency: 2         
Term: local                          Term Frequency: 2         
Term: accommodate                    Term Frequency: 2         
Term: points                         Term Frequency: 2         
Term: negatively                     Term Frequency: 2         
Term: application                    Term Frequency: 2         
Term: where                          Term Frequency: 2         
Term: thoughtful                     Term Frequency: 2         
Term: difficulty                     Term Frequency: 2         
Term: pattern                        Term Frequency: 2         
Term: most                           Term Frequency: 2         
Term: erroneous                      Term Frequency: 2         
Term: increase                       Term Frequency: 2         
Term: indicate                       Term Frequency: 2         
Term: subset                         Term Frequency: 2         
Term: select                         Term Frequency: 2         
Term: improves                       Term Frequency: 2         
Term: improved                       Term Frequency: 2         
Term: discovery                      Term Frequency: 2         
Term: focused                        Term Frequency: 2         
Term: box                            Term Frequency: 2         
Term: bug                            Term Frequency: 2         
Term: available                      Term Frequency: 2         
Term: hint                           Term Frequency: 2         
Term: following                      Term Frequency: 2         
Term: responses                      Term Frequency: 2         
Term: comparing                      Term Frequency: 2         
Term: towards                        Term Frequency: 2         
Term: potentially                    Term Frequency: 2         
Term: inclusion                      Term Frequency: 2         
Term: predictor                      Term Frequency: 2         
Term: microgenetically               Term Frequency: 1         
Term: conjunctive                    Term Frequency: 1         
Term: size                           Term Frequency: 1         
Term: rational                       Term Frequency: 1         
Term: address                        Term Frequency: 1         
Term: obvious                        Term Frequency: 1         
Term: 0.626                          Term Frequency: 1         
Term: analytics                      Term Frequency: 1         
Term: reproduce                      Term Frequency: 1         
Term: copying                        Term Frequency: 1         
Term: making                         Term Frequency: 1         
Term: onto                           Term Frequency: 1         
Term: divergence                     Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: expanded                       Term Frequency: 1         
Term: provides                       Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: enhancing                      Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: taking                         Term Frequency: 1         
Term: illustrated                    Term Frequency: 1         
Term: 2883851.2883967                Term Frequency: 1         
Term: binary                         Term Frequency: 1         
Term: respectively                   Term Frequency: 1         
Term: too                            Term Frequency: 1         
Term: product                        Term Frequency: 1         
Term: additions                      Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: 2.3                            Term Frequency: 1         
Term: 4119                           Term Frequency: 1         
Term: upon                           Term Frequency: 1         
Term: function                       Term Frequency: 1         
Term: including                      Term Frequency: 1         
Term: less                           Term Frequency: 1         
Term: linearly                       Term Frequency: 1         
Term: condition                      Term Frequency: 1         
Term: 227                            Term Frequency: 1         
Term: worked                         Term Frequency: 1         
Term: defined                        Term Frequency: 1         
Term: creating                       Term Frequency: 1         
Term: 4190                           Term Frequency: 1         
Term: 253                            Term Frequency: 1         
Term: 265                            Term Frequency: 1         
Term: filling                        Term Frequency: 1         
Term: 278                            Term Frequency: 1         
Term: bias                           Term Frequency: 1         
Term: involves                       Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: concept                        Term Frequency: 1         
Term: enhance                        Term Frequency: 1         
Term: appropriately                  Term Frequency: 1         
Term: 1985                           Term Frequency: 1         
Term: 1983                           Term Frequency: 1         
Term: primary                        Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: computed                       Term Frequency: 1         
Term: 1998                           Term Frequency: 1         
Term: 1995                           Term Frequency: 1         
Term: 1994                           Term Frequency: 1         
Term: 1991                           Term Frequency: 1         
Term: means                          Term Frequency: 1         
Term: funding                        Term Frequency: 1         
Term: initial                        Term Frequency: 1         
Term: keeps                          Term Frequency: 1         
Term: creates                        Term Frequency: 1         
Term: critical                       Term Frequency: 1         
Term: mathematics                    Term Frequency: 1         
Term: modulated                      Term Frequency: 1         
Term: fitting                        Term Frequency: 1         
Term: finds                          Term Frequency: 1         
Term: impact                         Term Frequency: 1         
Term: milder                         Term Frequency: 1         
Term: adaptive                       Term Frequency: 1         
Term: 9th                            Term Frequency: 1         
Term: under                          Term Frequency: 1         
Term: 0.05                           Term Frequency: 1         
Term: static                         Term Frequency: 1         
Term: miss                           Term Frequency: 1         
Term: interpret                      Term Frequency: 1         
Term: attempt                        Term Frequency: 1         
Term: 0.46                           Term Frequency: 1         
Term: 4203                           Term Frequency: 1         
Term: whereas                        Term Frequency: 1         
Term: weakening                      Term Frequency: 1         
Term: 1190                           Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: yielded                        Term Frequency: 1         
Term: classification                 Term Frequency: 1         
Term: messages                       Term Frequency: 1         
Term: 4216                           Term Frequency: 1         
Term: evaluate                       Term Frequency: 1         
Term: knows                          Term Frequency: 1         
Term: 4238                           Term Frequency: 1         
Term: grain                          Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: differentiation                Term Frequency: 1         
Term: opposed                        Term Frequency: 1         
Term: structure                      Term Frequency: 1         
Term: intensity                      Term Frequency: 1         
Term: 345                            Term Frequency: 1         
Term: 01                             Term Frequency: 1         
Term: 04                             Term Frequency: 1         
Term: constraints                    Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: observed                       Term Frequency: 1         
Term: 354                            Term Frequency: 1         
Term: interpretations                Term Frequency: 1         
Term: divergent                      Term Frequency: 1         
Term: 27                             Term Frequency: 1         
Term: 29                             Term Frequency: 1         
Term: 1d                             Term Frequency: 1         
Term: mis                            Term Frequency: 1         
Term: relationship                   Term Frequency: 1         
Term: associated                     Term Frequency: 1         
Term: progress                       Term Frequency: 1         
Term: 46                             Term Frequency: 1         
Term: 52                             Term Frequency: 1         
Term: richness                       Term Frequency: 1         
Term: studying                       Term Frequency: 1         
Term: proper                         Term Frequency: 1         
Term: 89                             Term Frequency: 1         
Term: controlling                    Term Frequency: 1         
Term: attempts                       Term Frequency: 1         
Term: among                          Term Frequency: 1         
Term: uniquely                       Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: discover                       Term Frequency: 1         
Term: imply                          Term Frequency: 1         
Term: thinner                        Term Frequency: 1         
Term: sequence                       Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: seems                          Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: variable                       Term Frequency: 1         
Term: optimal                        Term Frequency: 1         
Term: dealing                        Term Frequency: 1         
Term: community                      Term Frequency: 1         
Term: capitalize                     Term Frequency: 1         
Term: contains                       Term Frequency: 1         
Term: guess                          Term Frequency: 1         
Term: conception                     Term Frequency: 1         
Term: immediately                    Term Frequency: 1         
Term: failures                       Term Frequency: 1         
Term: pathway                        Term Frequency: 1         
Term: emerge                         Term Frequency: 1         
Term: incorporates                   Term Frequency: 1         
Term: tests                          Term Frequency: 1         
Term: useful                         Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: end                            Term Frequency: 1         
Term: lines                          Term Frequency: 1         
Term: special                        Term Frequency: 1         
Term: significance                   Term Frequency: 1         
Term: environment                    Term Frequency: 1         
Term: 4.1                            Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: 4.3                            Term Frequency: 1         
Term: 4.5                            Term Frequency: 1         
Term: referred                       Term Frequency: 1         
Term: called                         Term Frequency: 1         
Term: tried                          Term Frequency: 1         
Term: 4328                           Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: drives                         Term Frequency: 1         
Term: 401                            Term Frequency: 1         
Term: acm.org                        Term Frequency: 1         
Term: against                        Term Frequency: 1         
Term: 411                            Term Frequency: 1         
Term: indicates                      Term Frequency: 1         
Term: project.org                    Term Frequency: 1         
Term: 0.038                          Term Frequency: 1         
Term: perception                     Term Frequency: 1         
Term: 0.002                          Term Frequency: 1         
Term: ranliu                         Term Frequency: 1         
Term: differently                    Term Frequency: 1         
Term: fully                          Term Frequency: 1         
Term: psychometrics                  Term Frequency: 1         
Term: monitoring                     Term Frequency: 1         
Term: complexity                     Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: polytomous                     Term Frequency: 1         
Term: black                          Term Frequency: 1         
Term: intuitions                     Term Frequency: 1         
Term: leads                          Term Frequency: 1         
Term: involving                      Term Frequency: 1         
Term: non                            Term Frequency: 1         
Term: attempted                      Term Frequency: 1         
Term: rise                           Term Frequency: 1         
Term: interpretable                  Term Frequency: 1         
Term: probability                    Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: web                            Term Frequency: 1         
Term: explore                        Term Frequency: 1         
Term: presented                      Term Frequency: 1         
Term: produced                       Term Frequency: 1         
Term: explaining                     Term Frequency: 1         
Term: why                            Term Frequency: 1         
Term: integrated                     Term Frequency: 1         
Term: approaches                     Term Frequency: 1         
Term: attention                      Term Frequency: 1         
Term: uses                           Term Frequency: 1         
Term: evaluated                      Term Frequency: 1         
Term: extend                         Term Frequency: 1         
Term: interpretation                 Term Frequency: 1         
Term: consideration                  Term Frequency: 1         
Term: formed                         Term Frequency: 1         
Term: rbpatel                        Term Frequency: 1         
Term: essential                      Term Frequency: 1         
Term: residual                       Term Frequency: 1         
Term: meaningful                     Term Frequency: 1         
Term: accomplished                   Term Frequency: 1         
Term: accounted                      Term Frequency: 1         
Term: rate                           Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: overfitting                    Term Frequency: 1         
Term: he                             Term Frequency: 1         
Term: straightforward                Term Frequency: 1         
Term: lower                          Term Frequency: 1         
Term: 531                            Term Frequency: 1         
Term: 538                            Term Frequency: 1         
Term: draw                           Term Frequency: 1         
Term: generally                      Term Frequency: 1         
Term: ln                             Term Frequency: 1         
Term: bypassing                      Term Frequency: 1         
Term: documented                     Term Frequency: 1         
Term: expand                         Term Frequency: 1         
Term: mixed                          Term Frequency: 1         
Term: 575                            Term Frequency: 1         
Term: assessments                    Term Frequency: 1         
Term: problematic                    Term Frequency: 1         
Term: strengthening                  Term Frequency: 1         
Term: discovered                     Term Frequency: 1         
Term: origins                        Term Frequency: 1         
Term: andrew.cmu.edu                 Term Frequency: 1         
Term: single                         Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: reasonable                     Term Frequency: 1         
Term: treated                        Term Frequency: 1         
Term: ensure                         Term Frequency: 1         
Term: reasonably                     Term Frequency: 1         
Term: suppose                        Term Frequency: 1         
Term: thin                           Term Frequency: 1         
Term: 0.052                          Term Frequency: 1         
Term: changed                        Term Frequency: 1         
Term: location                       Term Frequency: 1         
Term: fruitful                       Term Frequency: 1         
Term: beyond                         Term Frequency: 1         
Term: terms                          Term Frequency: 1         
Term: proof                          Term Frequency: 1         
Term: presence                       Term Frequency: 1         
Term: come                           Term Frequency: 1         
Term: insight                        Term Frequency: 1         
Term: tools                          Term Frequency: 1         
Term: get                            Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: power                          Term Frequency: 1         
Term: addresses                      Term Frequency: 1         
Term: theoretical                    Term Frequency: 1         
Term: own                            Term Frequency: 1         
Term: create                         Term Frequency: 1         
