Term: students                       Term Frequency: 55        
Term: names                          Term Frequency: 5         
Term: group                          Term Frequency: 5         
Term: answer                         Term Frequency: 5         
Term: frac                           Term Frequency: 5         
Term: paper                          Term Frequency: 5         
Term: collected                      Term Frequency: 5         
Term: set                            Term Frequency: 5         
Term: stu                            Term Frequency: 5         
Term: would                          Term Frequency: 4         
Term: size                           Term Frequency: 4         
Term: t                              Term Frequency: 4         
Term: fifth                          Term Frequency: 4         
Term: top                            Term Frequency: 4         
Term: improve                        Term Frequency: 4         
Term: quantitative                   Term Frequency: 4         
Term: prob                           Term Frequency: 4         
Term: interaction                    Term Frequency: 4         
Term: under                          Term Frequency: 4         
Term: researchers                    Term Frequency: 4         
Term: make                           Term Frequency: 4         
Term: whole                          Term Frequency: 4         
Term: still                          Term Frequency: 4         
Term: detail                         Term Frequency: 4         
Term: learn                          Term Frequency: 4         
Term: notes                          Term Frequency: 4         
Term: new                            Term Frequency: 4         
Term: web                            Term Frequency: 4         
Term: four                           Term Frequency: 4         
Term: lower                          Term Frequency: 4         
Term: suggests                       Term Frequency: 4         
Term: decision                       Term Frequency: 4         
Term: um                             Term Frequency: 4         
Term: teach                          Term Frequency: 4         
Term: translate                      Term Frequency: 4         
Term: development                    Term Frequency: 4         
Term: purpose                        Term Frequency: 4         
Term: it’s                           Term Frequency: 4         
Term: time                           Term Frequency: 4         
Term: you                            Term Frequency: 4         
Term: questions                      Term Frequency: 4         
Term: answers                        Term Frequency: 4         
Term: eight                          Term Frequency: 4         
Term: task                           Term Frequency: 4         
Term: five                           Term Frequency: 4         
Term: first                          Term Frequency: 4         
Term: performance                    Term Frequency: 4         
Term: accuracy                       Term Frequency: 4         
Term: scaffolding                    Term Frequency: 4         
Term: conducted                      Term Frequency: 4         
Term: view                           Term Frequency: 4         
Term: different                      Term Frequency: 4         
Term: after                          Term Frequency: 3         
Term: address                        Term Frequency: 3         
Term: d                              Term Frequency: 3         
Term: information                    Term Frequency: 3         
Term: lems                           Term Frequency: 3         
Term: e.g                            Term Frequency: 3         
Term: question                       Term Frequency: 3         
Term: com                            Term Frequency: 3         
Term: required                       Term Frequency: 3         
Term: zone                           Term Frequency: 3         
Term: third                          Term Frequency: 3         
Term: build                          Term Frequency: 3         
Term: impact                         Term Frequency: 3         
Term: relative                       Term Frequency: 3         
Term: indi                           Term Frequency: 3         
Term: right                          Term Frequency: 3         
Term: may                            Term Frequency: 3         
Term: goals                          Term Frequency: 3         
Term: received                       Term Frequency: 3         
Term: 20                             Term Frequency: 3         
Term: male                           Term Frequency: 3         
Term: iterative                      Term Frequency: 3         
Term: common                         Term Frequency: 3         
Term: dents                          Term Frequency: 3         
Term: via                            Term Frequency: 3         
Term: generated                      Term Frequency: 3         
Term: achieved                       Term Frequency: 3         
Term: representations                Term Frequency: 3         
Term: screen                         Term Frequency: 3         
Term: individually                   Term Frequency: 3         
Term: chose                          Term Frequency: 3         
Term: strips                         Term Frequency: 3         
Term: study                          Term Frequency: 3         
Term: do                             Term Frequency: 3         
Term: very                           Term Frequency: 3         
Term: im                             Term Frequency: 3         
Term: us                             Term Frequency: 3         
Term: solve                          Term Frequency: 3         
Term: method                         Term Frequency: 3         
Term: procedural                     Term Frequency: 3         
Term: create                         Term Frequency: 3         
Term: factors                        Term Frequency: 3         
Term: without                        Term Frequency: 3         
Term: analysis                       Term Frequency: 3         
Term: interface                      Term Frequency: 3         
Term: framework                      Term Frequency: 3         
Term: 37203                          Term Frequency: 3         
Term: had                            Term Frequency: 3         
Term: school                         Term Frequency: 3         
Term: has                            Term Frequency: 3         
Term: pre                            Term Frequency: 3         
Term: pro                            Term Frequency: 3         
Term: her                            Term Frequency: 3         
Term: tion                           Term Frequency: 3         
Term: lesson                         Term Frequency: 3         
Term: methods                        Term Frequency: 3         
Term: general                        Term Frequency: 3         
Term: process                        Term Frequency: 3         
Term: interviewed                    Term Frequency: 3         
Term: been                           Term Frequency: 3         
Term: represent                      Term Frequency: 3         
Term: excerpt                        Term Frequency: 3         
Term: additional                     Term Frequency: 3         
Term: although                       Term Frequency: 3         
Term: classmates                     Term Frequency: 3         
Term: could                          Term Frequency: 3         
Term: able                           Term Frequency: 3         
Term: summary                        Term Frequency: 3         
Term: ing                            Term Frequency: 3         
Term: rep                            Term Frequency: 3         
Term: inwhich                        Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: grade                          Term Frequency: 3         
Term: instructional                  Term Frequency: 3         
Term: difficulty                     Term Frequency: 3         
Term: interactions                   Term Frequency: 3         
Term: highlight                      Term Frequency: 3         
Term: personal                       Term Frequency: 3         
Term: see                            Term Frequency: 3         
Term: improved                       Term Frequency: 3         
Term: scores                         Term Frequency: 3         
Term: lessons                        Term Frequency: 3         
Term: pairs                          Term Frequency: 3         
Term: feedback                       Term Frequency: 3         
Term: between                        Term Frequency: 3         
Term: place                          Term Frequency: 3         
Term: only                           Term Frequency: 3         
Term: response                       Term Frequency: 3         
Term: require                        Term Frequency: 2         
Term: left                           Term Frequency: 2         
Term: rational                       Term Frequency: 2         
Term: hand                           Term Frequency: 2         
Term: p                              Term Frequency: 2         
Term: implement                      Term Frequency: 2         
Term: making                         Term Frequency: 2         
Term: hard                           Term Frequency: 2         
Term: better                         Term Frequency: 2         
Term: well                           Term Frequency: 2         
Term: inter                          Term Frequency: 2         
Term: thestudents                    Term Frequency: 2         
Term: too                            Term Frequency: 2         
Term: con                            Term Frequency: 2         
Term: findings                       Term Frequency: 2         
Term: biggest                        Term Frequency: 2         
Term: try                            Term Frequency: 2         
Term: activities                     Term Frequency: 2         
Term: eighths                        Term Frequency: 2         
Term: led                            Term Frequency: 2         
Term: reported                       Term Frequency: 2         
Term: resentations                   Term Frequency: 2         
Term: short                          Term Frequency: 2         
Term: particular                     Term Frequency: 2         
Term: built                          Term Frequency: 2         
Term: taught                         Term Frequency: 2         
Term: did                            Term Frequency: 2         
Term: strat                          Term Frequency: 2         
Term: rather                         Term Frequency: 2         
Term: field                          Term Frequency: 2         
Term: understandings                 Term Frequency: 2         
Term: included                       Term Frequency: 2         
Term: inform                         Term Frequency: 2         
Term: 14                             Term Frequency: 2         
Term: 15                             Term Frequency: 2         
Term: quality                        Term Frequency: 2         
Term: 35                             Term Frequency: 2         
Term: strategies                     Term Frequency: 2         
Term: numbers                        Term Frequency: 2         
Term: step                           Term Frequency: 2         
Term: bedded                         Term Frequency: 2         
Term: theory                         Term Frequency: 2         
Term: assistant                      Term Frequency: 2         
Term: instead                        Term Frequency: 2         
Term: egy                            Term Frequency: 2         
Term: least                          Term Frequency: 2         
Term: tative                         Term Frequency: 2         
Term: environment                    Term Frequency: 2         
Term: called                         Term Frequency: 2         
Term: ers                            Term Frequency: 2         
Term: took                           Term Frequency: 2         
Term: below                          Term Frequency: 2         
Term: define                         Term Frequency: 2         
Term: specific                       Term Frequency: 2         
Term: skills                         Term Frequency: 2         
Term: cess                           Term Frequency: 2         
Term: incomplete                     Term Frequency: 2         
Term: involving                      Term Frequency: 2         
Term: color                          Term Frequency: 2         
Term: classes                        Term Frequency: 2         
Term: struggling                     Term Frequency: 2         
Term: portion                        Term Frequency: 2         
Term: ratherthan                     Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: cycles                         Term Frequency: 2         
Term: denominator                    Term Frequency: 2         
Term: effects                        Term Frequency: 2         
Term: summative                      Term Frequency: 2         
Term: along                          Term Frequency: 2         
Term: user                           Term Frequency: 2         
Term: redesign                       Term Frequency: 2         
Term: em                             Term Frequency: 2         
Term: reporting                      Term Frequency: 2         
Term: go                             Term Frequency: 2         
Term: complete                       Term Frequency: 2         
Term: while                          Term Frequency: 2         
Term: ma                             Term Frequency: 2         
Term: mixed                          Term Frequency: 2         
Term: allows                         Term Frequency: 2         
Term: twelve                         Term Frequency: 2         
Term: activity                       Term Frequency: 2         
Term: commercial                     Term Frequency: 2         
Term: workspace                      Term Frequency: 2         
Term: quali                          Term Frequency: 2         
Term: know                           Term Frequency: 2         
Term: emphasize                      Term Frequency: 2         
Term: type                           Term Frequency: 2         
Term: come                           Term Frequency: 2         
Term: correct                        Term Frequency: 2         
Term: contributed                    Term Frequency: 2         
Term: classroom                      Term Frequency: 2         
Term: properfractions                Term Frequency: 2         
Term: began                          Term Frequency: 2         
Term: must                           Term Frequency: 2         
Term: multi                          Term Frequency: 2         
Term: small                          Term Frequency: 2         
Term: tive                           Term Frequency: 2         
Term: applying                       Term Frequency: 2         
Term: evaluation                     Term Frequency: 2         
Term: knowledge                      Term Frequency: 2         
Term: lacked                         Term Frequency: 2         
Term: prior                          Term Frequency: 2         
Term: talk                           Term Frequency: 2         
Term: 2014                           Term Frequency: 2         
Term: explain                        Term Frequency: 2         
Term: ment                           Term Frequency: 2         
Term: thesystem                      Term Frequency: 2         
Term: dramatically                   Term Frequency: 2         
Term: refinement                     Term Frequency: 2         
Term: based                          Term Frequency: 2         
Term: pieces                         Term Frequency: 2         
Term: every                          Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: fail                           Term Frequency: 2         
Term: explains                       Term Frequency: 2         
Term: insights                       Term Frequency: 2         
Term: bottom                         Term Frequency: 2         
Term: aggregate                      Term Frequency: 2         
Term: thatare                        Term Frequency: 2         
Term: indicators                     Term Frequency: 2         
Term: helped                         Term Frequency: 2         
Term: recorded                       Term Frequency: 2         
Term: other                          Term Frequency: 2         
Term: always                         Term Frequency: 2         
Term: read                           Term Frequency: 2         
Term: unit                           Term Frequency: 2         
Term: collect                        Term Frequency: 2         
Term: suggested                      Term Frequency: 2         
Term: through                        Term Frequency: 2         
Term: enact                          Term Frequency: 2         
Term: those                          Term Frequency: 2         
Term: name                           Term Frequency: 2         
Term: interfaces                     Term Frequency: 2         
Term: traces                         Term Frequency: 2         
Term: largest                        Term Frequency: 2         
Term: visually                       Term Frequency: 2         
Term: say                            Term Frequency: 2         
Term: equivalent                     Term Frequency: 2         
Term: indicate                       Term Frequency: 2         
Term: incorrect                      Term Frequency: 2         
Term: digits                         Term Frequency: 2         
Term: explained                      Term Frequency: 2         
Term: related                        Term Frequency: 2         
Term: side                           Term Frequency: 2         
Term: report                         Term Frequency: 2         
Term: errors                         Term Frequency: 2         
Term: facilitated                    Term Frequency: 2         
Term: drawn                          Term Frequency: 2         
Term: dent                           Term Frequency: 2         
Term: conditions                     Term Frequency: 2         
Term: current                        Term Frequency: 2         
Term: audio                          Term Frequency: 2         
Term: fourth                         Term Frequency: 2         
Term: dynamic                        Term Frequency: 2         
Term: numerator                      Term Frequency: 2         
Term: types                          Term Frequency: 2         
Term: technology                     Term Frequency: 2         
Term: goal                           Term Frequency: 2         
Term: should                         Term Frequency: 2         
Term: learninganalytics              Term Frequency: 1         
Term: studenthad                     Term Frequency: 1         
Term: recordingsfrom                 Term Frequency: 1         
Term: virtualmanipulatives           Term Frequency: 1         
Term: successfully                   Term Frequency: 1         
Term: standards                      Term Frequency: 1         
Term: theresults                     Term Frequency: 1         
Term: 8                              Term Frequency: 1         
Term: 9                              Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: turn                           Term Frequency: 1         
Term: example                        Term Frequency: 1         
Term: wouldthat                      Term Frequency: 1         
Term: same                           Term Frequency: 1         
Term: procedures                     Term Frequency: 1         
Term: ordered                        Term Frequency: 1         
Term: thehighest                     Term Frequency: 1         
Term: good                           Term Frequency: 1         
Term: interpretbefore                Term Frequency: 1         
Term: others                         Term Frequency: 1         
Term: informative                    Term Frequency: 1         
Term: cho                            Term Frequency: 1         
Term: individ                        Term Frequency: 1         
Term: translating                    Term Frequency: 1         
Term: society                        Term Frequency: 1         
Term: provides                       Term Frequency: 1         
Term: inthe                          Term Frequency: 1         
Term: effectiveness                  Term Frequency: 1         
Term: pilot                          Term Frequency: 1         
Term: multiple                       Term Frequency: 1         
Term: versus                         Term Frequency: 1         
Term: strugled                       Term Frequency: 1         
Term: swiping                        Term Frequency: 1         
Term: fractionsfrom                  Term Frequency: 1         
Term: experiment                     Term Frequency: 1         
Term: pressed                        Term Frequency: 1         
Term: studentsafter                  Term Frequency: 1         
Term: withthe                        Term Frequency: 1         
Term: planningand                    Term Frequency: 1         
Term: wellas                         Term Frequency: 1         
Term: informationthat                Term Frequency: 1         
Term: produce                        Term Frequency: 1         
Term: studentsanswered               Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: vidualized                     Term Frequency: 1         
Term: identical                      Term Frequency: 1         
Term: ambitious                      Term Frequency: 1         
Term: less                           Term Frequency: 1         
Term: assistingindividual            Term Frequency: 1         
Term: proportionallytoo              Term Frequency: 1         
Term: specialized                    Term Frequency: 1         
Term: sible                          Term Frequency: 1         
Term: effective                      Term Frequency: 1         
Term: quire                          Term Frequency: 1         
Term: 3.34                           Term Frequency: 1         
Term: offeedback                     Term Frequency: 1         
Term: lem                            Term Frequency: 1         
Term: notation                       Term Frequency: 1         
Term: state                          Term Frequency: 1         
Term: defined                        Term Frequency: 1         
Term: ofanswering                    Term Frequency: 1         
Term: thenthree                      Term Frequency: 1         
Term: thirty                         Term Frequency: 1         
Term: notestaken                     Term Frequency: 1         
Term: does                           Term Frequency: 1         
Term: think                          Term Frequency: 1         
Term: source                         Term Frequency: 1         
Term: unable                         Term Frequency: 1         
Term: sentations                     Term Frequency: 1         
Term: demonstratedalmost             Term Frequency: 1         
Term: involves                       Term Frequency: 1         
Term: verbal                         Term Frequency: 1         
Term: ourresearch                    Term Frequency: 1         
Term: technologies                   Term Frequency: 1         
Term: notthe                         Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: assume                         Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: nipulatives                    Term Frequency: 1         
Term: aspects                        Term Frequency: 1         
Term: start                          Term Frequency: 1         
Term: equal                          Term Frequency: 1         
Term: terpret                        Term Frequency: 1         
Term: cles                           Term Frequency: 1         
Term: sessions                       Term Frequency: 1         
Term: thestrip                       Term Frequency: 1         
Term: 1984                           Term Frequency: 1         
Term: provide                        Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: submitting                     Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: domi                           Term Frequency: 1         
Term: thecontent                     Term Frequency: 1         
Term: parisons                       Term Frequency: 1         
Term: locatedin                      Term Frequency: 1         
Term: ual                            Term Frequency: 1         
Term: hememorized                    Term Frequency: 1         
Term: conceptual                     Term Frequency: 1         
Term: aweb                           Term Frequency: 1         
Term: 1978.82                        Term Frequency: 1         
Term: experience                     Term Frequency: 1         
Term: shows                          Term Frequency: 1         
Term: summa                          Term Frequency: 1         
Term: shown                          Term Frequency: 1         
Term: properlyevaluate               Term Frequency: 1         
Term: minutes                        Term Frequency: 1         
Term: mathematics                    Term Frequency: 1         
Term: relied                         Term Frequency: 1         
Term: pare                           Term Frequency: 1         
Term: browser                        Term Frequency: 1         
Term: editors                        Term Frequency: 1         
Term: sophisticatedand               Term Frequency: 1         
Term: intoa                          Term Frequency: 1         
Term: further                        Term Frequency: 1         
Term: demands                        Term Frequency: 1         
Term: dec                            Term Frequency: 1         
Term: der                            Term Frequency: 1         
Term: assigned                       Term Frequency: 1         
Term: wasaudio                       Term Frequency: 1         
Term: treatment                      Term Frequency: 1         
Term: average                        Term Frequency: 1         
Term: choosing                       Term Frequency: 1         
Term: adaptive                       Term Frequency: 1         
Term: paired                         Term Frequency: 1         
Term: theysolved                     Term Frequency: 1         
Term: 0.01                           Term Frequency: 1         
Term: possible                       Term Frequency: 1         
Term: stage                          Term Frequency: 1         
Term: believing                      Term Frequency: 1         
Term: recommendations                Term Frequency: 1         
Term: havean                         Term Frequency: 1         
Term: static                         Term Frequency: 1         
Term: doesnot                        Term Frequency: 1         
Term: learns                         Term Frequency: 1         
Term: varied                         Term Frequency: 1         
Term: misleading                     Term Frequency: 1         
Term: youmean                        Term Frequency: 1         
Term: interven                       Term Frequency: 1         
Term: sults                          Term Frequency: 1         
Term: importance                     Term Frequency: 1         
Term: overwhelmed                    Term Frequency: 1         
Term: conceptualizehow               Term Frequency: 1         
Term: 0.34                           Term Frequency: 1         
Term: interactionwith                Term Frequency: 1         
Term: 0.28                           Term Frequency: 1         
Term: 0.27                           Term Frequency: 1         
Term: 0.24                           Term Frequency: 1         
Term: theclassroom                   Term Frequency: 1         
Term: modelthey                      Term Frequency: 1         
Term: graders                        Term Frequency: 1         
Term: beable                         Term Frequency: 1         
Term: statistically                  Term Frequency: 1         
Term: showing                        Term Frequency: 1         
Term: pages13                        Term Frequency: 1         
Term: thatsummarized                 Term Frequency: 1         
Term: convert                        Term Frequency: 1         
Term: attempt                        Term Frequency: 1         
Term: 0.52                           Term Frequency: 1         
Term: mance                          Term Frequency: 1         
Term: revealed                       Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: signed                         Term Frequency: 1         
Term: 0.67                           Term Frequency: 1         
Term: being                          Term Frequency: 1         
Term: yielded                        Term Frequency: 1         
Term: thatmanipulatives              Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: served                         Term Frequency: 1         
Term: server                         Term Frequency: 1         
Term: thedevelopment                 Term Frequency: 1         
Term: synergistically                Term Frequency: 1         
Term: ofhow                          Term Frequency: 1         
Term: twenty                         Term Frequency: 1         
Term: amanipulative                  Term Frequency: 1         
Term: ure                            Term Frequency: 1         
Term: 0.79                           Term Frequency: 1         
Term: presumably                     Term Frequency: 1         
Term: strip                          Term Frequency: 1         
Term: 312                            Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: denominators                   Term Frequency: 1         
Term: includes                       Term Frequency: 1         
Term: literacy                       Term Frequency: 1         
Term: entries                        Term Frequency: 1         
Term: directions                     Term Frequency: 1         
Term: 323                            Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: representationsof              Term Frequency: 1         
Term: thismay                        Term Frequency: 1         
Term: forteachers                    Term Frequency: 1         
Term: exactly                        Term Frequency: 1         
Term: 341                            Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: psychological                  Term Frequency: 1         
Term: empirical                      Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: meaning                        Term Frequency: 1         
Term: moderate                       Term Frequency: 1         
Term: 11                             Term Frequency: 1         
Term: equivalence                    Term Frequency: 1         
Term: 13                             Term Frequency: 1         
Term: structional                    Term Frequency: 1         
Term: lessthan                       Term Frequency: 1         
Term: wholenumber                    Term Frequency: 1         
Term: 23                             Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: 24                             Term Frequency: 1         
Term: 26                             Term Frequency: 1         
Term: examine                        Term Frequency: 1         
Term: 28                             Term Frequency: 1         
Term: participated                   Term Frequency: 1         
Term: experiments                    Term Frequency: 1         
Term: believe                        Term Frequency: 1         
Term: research1                      Term Frequency: 1         
Term: mis                            Term Frequency: 1         
Term: 31                             Term Frequency: 1         
Term: 32                             Term Frequency: 1         
Term: 33                             Term Frequency: 1         
Term: middle                         Term Frequency: 1         
Term: though                         Term Frequency: 1         
Term: 37                             Term Frequency: 1         
Term: interface.in                   Term Frequency: 1         
Term: many                           Term Frequency: 1         
Term: increasing                     Term Frequency: 1         
Term: progress                       Term Frequency: 1         
Term: 41                             Term Frequency: 1         
Term: treat                          Term Frequency: 1         
Term: systemare                      Term Frequency: 1         
Term: project                        Term Frequency: 1         
Term: funded                         Term Frequency: 1         
Term: messagesfrom                   Term Frequency: 1         
Term: sections                       Term Frequency: 1         
Term: achieving                      Term Frequency: 1         
Term: paths                          Term Frequency: 1         
Term: thatit                         Term Frequency: 1         
Term: themselves                     Term Frequency: 1         
Term: showed81that                   Term Frequency: 1         
Term: mary                           Term Frequency: 1         
Term: actionable                     Term Frequency: 1         
Term: relational                     Term Frequency: 1         
Term: permissionand                  Term Frequency: 1         
Term: school’s                       Term Frequency: 1         
Term: var                            Term Frequency: 1         
Term: learnedto                      Term Frequency: 1         
Term: thathe                         Term Frequency: 1         
Term: convertingthem                 Term Frequency: 1         
Term: foundation                     Term Frequency: 1         
Term: across                         Term Frequency: 1         
Term: misconceptions                 Term Frequency: 1         
Term: teachersrather                 Term Frequency: 1         
Term: theproblem                     Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: vention                        Term Frequency: 1         
Term: capture                        Term Frequency: 1         
Term: andmodel                       Term Frequency: 1         
Term: numerators                     Term Frequency: 1         
Term: individual’s                   Term Frequency: 1         
Term: touse                          Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: ifthe                          Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: ofsolving                      Term Frequency: 1         
Term: wenow                          Term Frequency: 1         
Term: theschool                      Term Frequency: 1         
Term: biases                         Term Frequency: 1         
Term: betweensymbolic                Term Frequency: 1         
Term: moving                         Term Frequency: 1         
Term: vir                            Term Frequency: 1         
Term: community                      Term Frequency: 1         
Term: thestudent                     Term Frequency: 1         
Term: immediately                    Term Frequency: 1         
Term: usedeach                       Term Frequency: 1         
Term: toanswer                       Term Frequency: 1         
Term: appliedthe                     Term Frequency: 1         
Term: evidence                       Term Frequency: 1         
Term: 1258                           Term Frequency: 1         
Term: wrote                          Term Frequency: 1         
Term: shade                          Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: visual80inspections            Term Frequency: 1         
Term: that’s                         Term Frequency: 1         
Term: useful                         Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: alsoimproved                   Term Frequency: 1         
Term: andit                          Term Frequency: 1         
Term: end                            Term Frequency: 1         
Term: mative                         Term Frequency: 1         
Term: feedbackabout                  Term Frequency: 1         
Term: 1287                           Term Frequency: 1         
Term: andthe                         Term Frequency: 1         
Term: toprovide                      Term Frequency: 1         
Term: referred                       Term Frequency: 1         
Term: charter                        Term Frequency: 1         
Term: gradually                      Term Frequency: 1         
Term: fiveproblems                   Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: datahelps                      Term Frequency: 1         
Term: driven                         Term Frequency: 1         
Term: eachone                        Term Frequency: 1         
Term: authors                        Term Frequency: 1         
Term: weconducted                    Term Frequency: 1         
Term: against                        Term Frequency: 1         
Term: cell                           Term Frequency: 1         
Term: explainthat                    Term Frequency: 1         
Term: 421                            Term Frequency: 1         
Term: ofthe                          Term Frequency: 1         
Term: stored                         Term Frequency: 1         
Term: pedagogy                       Term Frequency: 1         
Term: conceptions                    Term Frequency: 1         
Term: theproblems                    Term Frequency: 1         
Term: versionsof                     Term Frequency: 1         
Term: 456                            Term Frequency: 1         
Term: memorize                       Term Frequency: 1         
Term: wehave                         Term Frequency: 1         
Term: byour                          Term Frequency: 1         
Term: processstudents                Term Frequency: 1         
Term: duringthis                     Term Frequency: 1         
Term: fully                          Term Frequency: 1         
Term: belowrepresent                 Term Frequency: 1         
Term: complexity                     Term Frequency: 1         
Term: maybe                          Term Frequency: 1         
Term: automatically                  Term Frequency: 1         
Term: recommend                      Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: builda                         Term Frequency: 1         
Term: ious                           Term Frequency: 1         
Term: understood                     Term Frequency: 1         
Term: supported                      Term Frequency: 1         
Term: anddata                        Term Frequency: 1         
Term: might                          Term Frequency: 1         
Term: acomplete                      Term Frequency: 1         
Term: sharing                        Term Frequency: 1         
Term: mentally                       Term Frequency: 1         
Term: aloud                          Term Frequency: 1         
Term: developthese                   Term Frequency: 1         
Term: designs                        Term Frequency: 1         
Term: next                           Term Frequency: 1         
Term: wouldbe                        Term Frequency: 1         
Term: scalability                    Term Frequency: 1         
Term: transcribed                    Term Frequency: 1         
Term: eachstudent                    Term Frequency: 1         
Term: way                            Term Frequency: 1         
Term: can’t                          Term Frequency: 1         
Term: refer                          Term Frequency: 1         
Term: risk                           Term Frequency: 1         
Term: plan                           Term Frequency: 1         
Term: shesaw                         Term Frequency: 1         
Term: completely                     Term Frequency: 1         
Term: direct                         Term Frequency: 1         
Term: modern                         Term Frequency: 1         
Term: great                          Term Frequency: 1         
Term: disability                     Term Frequency: 1         
Term: datato                         Term Frequency: 1         
Term: presented                      Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: produced                       Term Frequency: 1         
Term: classon                        Term Frequency: 1         
Term: effect                         Term Frequency: 1         
Term: keep                           Term Frequency: 1         
Term: ticular                        Term Frequency: 1         
