Term: data                           Term Frequency: 216       
Term: previous                       Term Frequency: 6         
Term: reports                        Term Frequency: 6         
Term: international                  Term Frequency: 6         
Term: according                      Term Frequency: 6         
Term: value                          Term Frequency: 6         
Term: important                      Term Frequency: 6         
Term: projects                       Term Frequency: 6         
Term: different                      Term Frequency: 6         
Term: individual                     Term Frequency: 6         
Term: would                          Term Frequency: 6         
Term: others                         Term Frequency: 6         
Term: well                           Term Frequency: 6         
Term: press                          Term Frequency: 6         
Term: physical                       Term Frequency: 6         
Term: experts                        Term Frequency: 6         
Term: recently                       Term Frequency: 6         
Term: among                          Term Frequency: 6         
Term: celex                          Term Frequency: 6         
Term: responsible                    Term Frequency: 6         
Term: risk                           Term Frequency: 6         
Term: library                        Term Frequency: 6         
Term: support                        Term Frequency: 6         
Term: modernisation                  Term Frequency: 6         
Term: development                    Term Frequency: 6         
Term: lex.europa.eu                  Term Frequency: 6         
Term: institutional                  Term Frequency: 6         
Term: identified                     Term Frequency: 6         
Term: 2010                           Term Frequency: 6         
Term: processing                     Term Frequency: 6         
Term: people                         Term Frequency: 6         
Term: public                         Term Frequency: 6         
Term: aspect                         Term Frequency: 6         
Term: already                        Term Frequency: 6         
Term: negative                       Term Frequency: 6         
Term: higher                         Term Frequency: 6         
Term: 9                              Term Frequency: 5         
Term: v                              Term Frequency: 5         
Term: including                      Term Frequency: 5         
Term: two                            Term Frequency: 5         
Term: widely                         Term Frequency: 5         
Term: acceptance                     Term Frequency: 5         
Term: states                         Term Frequency: 5         
Term: researchers                    Term Frequency: 5         
Term: 17                             Term Frequency: 5         
Term: experiments                    Term Frequency: 5         
Term: many                           Term Frequency: 5         
Term: community                      Term Frequency: 5         
Term: below                          Term Frequency: 5         
Term: web                            Term Frequency: 5         
Term: do                             Term Frequency: 5         
Term: pp                             Term Frequency: 5         
Term: re                             Term Frequency: 5         
Term: beyond                         Term Frequency: 5         
Term: contract                       Term Frequency: 5         
Term: i.e                            Term Frequency: 5         
Term: considered                     Term Frequency: 5         
Term: framework                      Term Frequency: 5         
Term: basic                          Term Frequency: 5         
Term: school                         Term Frequency: 5         
Term: dx.doi.org                     Term Frequency: 5         
Term: laws                           Term Frequency: 5         
Term: point                          Term Frequency: 5         
Term: fact                           Term Frequency: 5         
Term: close                          Term Frequency: 5         
Term: its                            Term Frequency: 5         
Term: using                          Term Frequency: 5         
Term: learner                        Term Frequency: 5         
Term: establish                      Term Frequency: 5         
Term: key                            Term Frequency: 5         
Term: managers                       Term Frequency: 5         
Term: institutions                   Term Frequency: 5         
Term: aspects                        Term Frequency: 5         
Term: quality                        Term Frequency: 5         
Term: specified                      Term Frequency: 5         
Term: media                          Term Frequency: 5         
Term: risks                          Term Frequency: 5         
Term: cases                          Term Frequency: 5         
Term: consequences                   Term Frequency: 5         
Term: analysis                       Term Frequency: 5         
Term: pdf                            Term Frequency: 5         
Term: declaration                    Term Frequency: 5         
Term: general                        Term Frequency: 5         
Term: take                           Term Frequency: 5         
Term: 2011                           Term Frequency: 5         
Term: existing                       Term Frequency: 5         
Term: 2013                           Term Frequency: 5         
Term: global                         Term Frequency: 5         
Term: aim                            Term Frequency: 5         
Term: learners                       Term Frequency: 5         
Term: organisation                   Term Frequency: 5         
Term: care                           Term Frequency: 5         
Term: mentioned                      Term Frequency: 5         
Term: bescherming                    Term Frequency: 5         
Term: hand                           Term Frequency: 4         
Term: good                           Term Frequency: 4         
Term: provider                       Term Frequency: 4         
Term: uploads                        Term Frequency: 4         
Term: implications                   Term Frequency: 4         
Term: academic                       Term Frequency: 4         
Term: state                          Term Frequency: 4         
Term: footprints                     Term Frequency: 4         
Term: technologies                   Term Frequency: 4         
Term: critical                       Term Frequency: 4         
Term: build                          Term Frequency: 4         
Term: impact                         Term Frequency: 4         
Term: staff                          Term Frequency: 4         
Term: 04                             Term Frequency: 4         
Term: 08                             Term Frequency: 4         
Term: 13                             Term Frequency: 4         
Term: 25                             Term Frequency: 4         
Term: 29                             Term Frequency: 4         
Term: 42                             Term Frequency: 4         
Term: 45                             Term Frequency: 4         
Term: kennisnet                      Term Frequency: 4         
Term: mining                         Term Frequency: 4         
Term: bullet                         Term Frequency: 4         
Term: called                         Term Frequency: 4         
Term: charter                        Term Frequency: 4         
Term: exploitation                   Term Frequency: 4         
Term: centric                        Term Frequency: 4         
Term: leads                          Term Frequency: 4         
Term: wet                            Term Frequency: 4         
Term: various                        Term Frequency: 4         
Term: become                         Term Frequency: 4         
Term: determination                  Term Frequency: 4         
Term: norms                          Term Frequency: 4         
Term: surrounding                    Term Frequency: 4         
Term: conclude                       Term Frequency: 4         
Term: south                          Term Frequency: 4         
Term: tools                          Term Frequency: 4         
Term: purpose                        Term Frequency: 4         
Term: challenges                     Term Frequency: 4         
Term: thus                           Term Frequency: 4         
Term: approach                       Term Frequency: 4         
Term: whether                        Term Frequency: 4         
Term: guides                         Term Frequency: 4         
Term: things                         Term Frequency: 4         
Term: universities                   Term Frequency: 4         
Term: values                         Term Frequency: 4         
Term: publications                   Term Frequency: 4         
Term: guidelines                     Term Frequency: 4         
Term: eight                          Term Frequency: 4         
Term: www.open.ac.uk                 Term Frequency: 4         
Term: regulation                     Term Frequency: 4         
Term: discussions                    Term Frequency: 4         
Term: clearly                        Term Frequency: 4         
Term: insights                       Term Frequency: 4         
Term: providing                      Term Frequency: 4         
Term: surveillance                   Term Frequency: 4         
Term: silver                         Term Frequency: 4         
Term: identification                 Term Frequency: 4         
Term: gen.eu                         Term Frequency: 4         
Term: expressed                      Term Frequency: 4         
Term: level                          Term Frequency: 4         
Term: sector                         Term Frequency: 4         
Term: especially                     Term Frequency: 4         
Term: www.open.ac.uk.students.charter Term Frequency: 4         
Term: person                         Term Frequency: 4         
Term: studies                        Term Frequency: 4         
Term: informational                  Term Frequency: 4         
Term: making                         Term Frequency: 4         
Term: computer                       Term Frequency: 4         
Term: means                          Term Frequency: 4         
Term: www.academia.edu               Term Frequency: 4         
Term: perceived                      Term Frequency: 4         
Term: papers                         Term Frequency: 4         
Term: pdfhttp                        Term Frequency: 4         
Term: above                          Term Frequency: 4         
Term: believe                        Term Frequency: 4         
Term: project                        Term Frequency: 4         
Term: solutions                      Term Frequency: 4         
Term: still                          Term Frequency: 4         
Term: nissenbaum                     Term Frequency: 4         
Term: leading                        Term Frequency: 4         
Term: technical                      Term Frequency: 4         
Term: similar                        Term Frequency: 4         
Term: manifesto                      Term Frequency: 4         
Term: non                            Term Frequency: 4         
Term: ecms                           Term Frequency: 4         
Term: survey                         Term Frequency: 4         
Term: opt                            Term Frequency: 4         
Term: repository                     Term Frequency: 4         
Term: examples                       Term Frequency: 4         
Term: own                            Term Frequency: 4         
Term: aims                           Term Frequency: 4         
Term: groups                         Term Frequency: 4         
Term: datasets                       Term Frequency: 4         
Term: despite                        Term Frequency: 4         
Term: biomedical                     Term Frequency: 4         
Term: onder                          Term Frequency: 4         
Term: process                        Term Frequency: 4         
Term: 2006                           Term Frequency: 4         
Term: processes                      Term Frequency: 4         
Term: prominent                      Term Frequency: 4         
Term: perspective                    Term Frequency: 4         
Term: again                          Term Frequency: 4         
Term: established                    Term Frequency: 4         
Term: bottom                         Term Frequency: 4         
Term: isis                           Term Frequency: 4         
Term: age                            Term Frequency: 4         
Term: years                          Term Frequency: 4         
Term: always                         Term Frequency: 4         
Term: usage                          Term Frequency: 4         
Term: experimental                   Term Frequency: 4         
Term: 3635569                        Term Frequency: 4         
Term: traces                         Term Frequency: 4         
Term: both                           Term Frequency: 4         
Term: profit                         Term Frequency: 4         
Term: set                            Term Frequency: 4         
Term: pyramid                        Term Frequency: 4         
Term: large                          Term Frequency: 4         
Term: change                         Term Frequency: 4         
Term: workshops                      Term Frequency: 4         
Term: idea                           Term Frequency: 4         
Term: safe                           Term Frequency: 4         
Term: said                           Term Frequency: 4         
Term: harm                           Term Frequency: 3         
Term: protecting                     Term Frequency: 3         
Term: con                            Term Frequency: 3         
Term: violation                      Term Frequency: 3         
Term: try                            Term Frequency: 3         
Term: concern                        Term Frequency: 3         
Term: defined                        Term Frequency: 3         
Term: universities_en.pdfhttp        Term Frequency: 3         
Term: checklists                     Term Frequency: 3         
Term: sciforum.net                   Term Frequency: 3         
Term: shows                          Term Frequency: 3         
Term: third                          Term Frequency: 3         
Term: committees                     Term Frequency: 3         
Term: transparent                    Term Frequency: 3         
Term: business                       Term Frequency: 3         
Term: possible                       Term Frequency: 3         
Term: forgotten                      Term Frequency: 3         
Term: computational                  Term Frequency: 3         
Term: h2020                          Term Frequency: 3         
Term: ieconomy                       Term Frequency: 3         
Term: training                       Term Frequency: 3         
Term: balance                        Term Frequency: 3         
Term: paradox                        Term Frequency: 3         
Term: due                            Term Frequency: 3         
Term: conform                        Term Frequency: 3         
Term: 03                             Term Frequency: 3         
Term: 07                             Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: 23                             Term Frequency: 3         
Term: identifiable                   Term Frequency: 3         
Term: 31                             Term Frequency: 3         
Term: 33                             Term Frequency: 3         
Term: 41                             Term Frequency: 3         
Term: 43                             Term Frequency: 3         
Term: 44                             Term Frequency: 3         
Term: 48                             Term Frequency: 3         
Term: 57                             Term Frequency: 3         
Term: common                         Term Frequency: 3         
Term: downloads                      Term Frequency: 3         
Term: 79                             Term Frequency: 3         
Term: across                         Term Frequency: 3         
Term: publications.cetis.org.uk      Term Frequency: 3         
Term: vol                            Term Frequency: 3         
Term: special                        Term Frequency: 3         
Term: programmes                     Term Frequency: 3         
Term: anonymised                     Term Frequency: 3         
Term: requirement                    Term Frequency: 3         
Term: differently                    Term Frequency: 3         
Term: default                        Term Frequency: 3         
Term: technological                  Term Frequency: 3         
Term: organisations                  Term Frequency: 3         
Term: vulnerabilities                Term Frequency: 3         
Term: issues                         Term Frequency: 3         
Term: policy.pdfhttp                 Term Frequency: 3         
Term: economic                       Term Frequency: 3         
Term: option                         Term Frequency: 3         
Term: _r                             Term Frequency: 3         
Term: www.oecd.org                   Term Frequency: 3         
Term: language                       Term Frequency: 3         
Term: attacks                        Term Frequency: 3         
Term: criticism                      Term Frequency: 3         
Term: needs                          Term Frequency: 3         
Term: go                             Term Frequency: 3         
Term: gx                             Term Frequency: 3         
Term: he                             Term Frequency: 3         
Term: literature                     Term Frequency: 3         
Term: enterprises                    Term Frequency: 3         
Term: asymmetrical                   Term Frequency: 3         
Term: storage                        Term Frequency: 3         
Term: perspectives                   Term Frequency: 3         
Term: decision                       Term Frequency: 3         
Term: kennisbank                     Term Frequency: 3         
Term: www.kennisnet.nl               Term Frequency: 3         
Term: get                            Term Frequency: 3         
Term: here                           Term Frequency: 3         
Term: implementation                 Term Frequency: 3         
Term: contributed                    Term Frequency: 3         
Term: success                        Term Frequency: 3         
Term: young                          Term Frequency: 3         
Term: earlier                        Term Frequency: 3         
Term: bits.blogs.nytimes.com         Term Frequency: 3         
Term: discussion                     Term Frequency: 3         
Term: governments                    Term Frequency: 3         
Term: tion                           Term Frequency: 3         
Term: ways                           Term Frequency: 3         
Term: potential                      Term Frequency: 3         
Term: questions                      Term Frequency: 3         
Term: action                         Term Frequency: 3         
Term: able                           Term Frequency: 3         
Term: present                        Term Frequency: 3         
Term: best                           Term Frequency: 3         
Term: cbpweb.nl                      Term Frequency: 3         
Term: identities                     Term Frequency: 3         
Term: thorough                       Term Frequency: 3         
Term: 2910                           Term Frequency: 3         
Term: ing                            Term Frequency: 3         
Term: indicators                     Term Frequency: 3         
Term: www.reuters.com                Term Frequency: 3         
Term: number                         Term Frequency: 3         
Term: points                         Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: real                           Term Frequency: 3         
Term: collect                        Term Frequency: 3         
Term: jan                            Term Frequency: 3         
Term: either                         Term Frequency: 3         
Term: parties                        Term Frequency: 3         
Term: show                           Term Frequency: 3         
Term: freedom                        Term Frequency: 3         
Term: randomwalker.info              Term Frequency: 3         
Term: sources                        Term Frequency: 3         
Term: related                        Term Frequency: 3         
Term: 978                            Term Frequency: 3         
Term: download                       Term Frequency: 3         
Term: directly                       Term Frequency: 3         
Term: parents                        Term Frequency: 3         
Term: persoonsgegevens               Term Frequency: 3         
Term: demonstrate                    Term Frequency: 3         
Term: anonymity                      Term Frequency: 3         
Term: repurposing                    Term Frequency: 3         
Term: following                      Term Frequency: 3         
Term: place                          Term Frequency: 3         
Term: publicatie                     Term Frequency: 3         
Term: reuse                          Term Frequency: 3         
Term: mijn_privacy                   Term Frequency: 3         
Term: versus                         Term Frequency: 3         
Term: schools                        Term Frequency: 3         
Term: teacher                        Term Frequency: 3         
Term: vulnerability                  Term Frequency: 3         
Term: each                           Term Frequency: 3         
Term: legislation                    Term Frequency: 3         
Term: dataset                        Term Frequency: 3         
Term: teaching                       Term Frequency: 3         
Term: particular                     Term Frequency: 3         
Term: discoversociety.org            Term Frequency: 3         
Term: past                           Term Frequency: 3         
Term: down                           Term Frequency: 3         
Term: boundaries                     Term Frequency: 3         
Term: may                            Term Frequency: 3         
Term: becomes                        Term Frequency: 3         
Term: www.pwc.com                    Term Frequency: 3         
Term: proper                         Term Frequency: 3         
Term: www.jisc.ac.uk                 Term Frequency: 3         
Term: ireland                        Term Frequency: 3         
Term: relating                       Term Frequency: 3         
Term: dealing                        Term Frequency: 3         
Term: foundations                    Term Frequency: 3         
Term: www.surf.nl                    Term Frequency: 3         
Term: took                           Term Frequency: 3         
Term: specific                       Term Frequency: 3         
Term: models                         Term Frequency: 3         
Term: sciences                       Term Frequency: 3         
Term: now                            Term Frequency: 3         
Term: fileadmin                      Term Frequency: 3         
Term: keep                           Term Frequency: 3         
Term: alone                          Term Frequency: 3         
Term: approaches                     Term Frequency: 3         
Term: search                         Term Frequency: 3         
Term: innovation                     Term Frequency: 3         
Term: burden                         Term Frequency: 3         
Term: isn’t                          Term Frequency: 3         
Term: wider                          Term Frequency: 3         
Term: widespread                     Term Frequency: 3         
Term: allows                         Term Frequency: 3         
Term: behaviours                     Term Frequency: 3         
Term: makers                         Term Frequency: 3         
Term: date                           Term Frequency: 3         
Term: line                           Term Frequency: 3         
Term: acceptable                     Term Frequency: 3         
Term: list                           Term Frequency: 3         
Term: external                       Term Frequency: 3         
Term: fiduciary                      Term Frequency: 3         
Term: www.theguardian.com            Term Frequency: 3         
Term: actions                        Term Frequency: 3         
Term: consulting                     Term Frequency: 3         
Term: desire                         Term Frequency: 3         
Term: group                          Term Frequency: 3         
Term: workshop                       Term Frequency: 3         
Term: request                        Term Frequency: 3         
Term: requirements                   Term Frequency: 3         
Term: series                         Term Frequency: 3         
Term: 2000                           Term Frequency: 3         
Term: 2008                           Term Frequency: 3         
Term: www.nyu.edu                    Term Frequency: 3         
Term: positive                       Term Frequency: 3         
Term: processed                      Term Frequency: 3         
Term: www.stanfordlawreview.org      Term Frequency: 3         
Term: obligations                    Term Frequency: 3         
Term: mainly                         Term Frequency: 3         
Term: published                      Term Frequency: 3         
Term: ibid                           Term Frequency: 3         
Term: institute                      Term Frequency: 3         
Term: schrems                        Term Frequency: 3         
Term: call                           Term Frequency: 3         
Term: view                           Term Frequency: 3         
Term: benefits                       Term Frequency: 3         
Term: horizon2020                    Term Frequency: 3         
Term: participation                  Term Frequency: 3         
Term: labour                         Term Frequency: 3         
Term: explained                      Term Frequency: 3         
Term: sig                            Term Frequency: 3         
Term: practical                      Term Frequency: 3         
Term: living                         Term Frequency: 3         
Term: sti                            Term Frequency: 3         
Term: current                        Term Frequency: 3         
Term: is4is                          Term Frequency: 3         
Term: aware                          Term Frequency: 3         
Term: 0                              Term Frequency: 2         
Term: turn                           Term Frequency: 2         
Term: procedures                     Term Frequency: 2         
Term: serious                        Term Frequency: 2         
Term: page_id                        Term Frequency: 2         
Term: better                         Term Frequency: 2         
Term: flow                           Term Frequency: 2         
Term: too                            Term Frequency: 2         
Term: constitutes                    Term Frequency: 2         
Term: times                          Term Frequency: 2         
Term: 229                            Term Frequency: 2         
Term: phdthesis.pdf                  Term Frequency: 2         
Term: defines                        Term Frequency: 2         
Term: reflection                     Term Frequency: 2         
Term: repurpos                       Term Frequency: 2         
Term: shown                          Term Frequency: 2         
Term: created                        Term Frequency: 2         
Term: introduction                   Term Frequency: 2         
Term: treatment                      Term Frequency: 2         
Term: complicated                    Term Frequency: 2         
Term: under                          Term Frequency: 2         
Term: ssrn                           Term Frequency: 2         
Term: final                          Term Frequency: 2         
Term: back                           Term Frequency: 2         
Term: company                        Term Frequency: 2         
Term: grant                          Term Frequency: 2         
Term: attempt                        Term Frequency: 2         
Term: entities                       Term Frequency: 2         
Term: intensive                      Term Frequency: 2         
Term: included                       Term Frequency: 2         
Term: fulfil                         Term Frequency: 2         
Term: threat                         Term Frequency: 2         
Term: inform                         Term Frequency: 2         
Term: released                       Term Frequency: 2         
Term: 19                             Term Frequency: 2         
Term: benefit                        Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: 22                             Term Frequency: 2         
Term: 26                             Term Frequency: 2         
Term: 27                             Term Frequency: 2         
Term: 28                             Term Frequency: 2         
Term: 30                             Term Frequency: 2         
Term: 32                             Term Frequency: 2         
Term: 34                             Term Frequency: 2         
Term: 35                             Term Frequency: 2         
Term: 36                             Term Frequency: 2         
Term: 37                             Term Frequency: 2         
Term: 38                             Term Frequency: 2         
Term: increasing                     Term Frequency: 2         
Term: 40                             Term Frequency: 2         
Term: 47                             Term Frequency: 2         
Term: 49                             Term Frequency: 2         
Term: 50                             Term Frequency: 2         
Term: 51                             Term Frequency: 2         
Term: 52                             Term Frequency: 2         
Term: needed                         Term Frequency: 2         
Term: apply                          Term Frequency: 2         
Term: step                           Term Frequency: 2         
Term: loss                           Term Frequency: 2         
Term: van                            Term Frequency: 2         
Term: stated                         Term Frequency: 2         
Term: europe                         Term Frequency: 2         
Term: exists                         Term Frequency: 2         
Term: advantage                      Term Frequency: 2         
Term: ations                         Term Frequency: 2         
Term: allowed                        Term Frequency: 2         
Term: via                            Term Frequency: 2         
Term: version                        Term Frequency: 2         
Term: agreed                         Term Frequency: 2         
Term: learn                          Term Frequency: 2         
Term: end                            Term Frequency: 2         
Term: environment                    Term Frequency: 2         
Term: 4.3                            Term Frequency: 2         
Term: degradation                    Term Frequency: 2         
Term: summarised                     Term Frequency: 2         
Term: forms                          Term Frequency: 2         
Term: establishing                   Term Frequency: 2         
Term: argued                         Term Frequency: 2         
Term: remains                        Term Frequency: 2         
Term: might                          Term Frequency: 2         
Term: fields                         Term Frequency: 2         
Term: gain                           Term Frequency: 2         
Term: great                          Term Frequency: 2         
Term: opting                         Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: presented                      Term Frequency: 2         
Term: effect                         Term Frequency: 2         
Term: explaining                     Term Frequency: 2         
Term: topic                          Term Frequency: 2         
Term: why                            Term Frequency: 2         
Term: attention                      Term Frequency: 2         
Term: extent                         Term Frequency: 2         
Term: al                             Term Frequency: 2         
Term: former                         Term Frequency: 2         
Term: cf                             Term Frequency: 2         
Term: cs                             Term Frequency: 2         
Term: et                             Term Frequency: 2         
Term: perhaps                        Term Frequency: 2         
Term: misunderstandings              Term Frequency: 2         
Term: second                         Term Frequency: 2         
Term: commodification                Term Frequency: 2         
Term: contest                        Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: expiry                         Term Frequency: 2         
Term: box.eu                         Term Frequency: 2         
Term: so                             Term Frequency: 2         
Term: accountability                 Term Frequency: 2         
Term: necessary                      Term Frequency: 2         
Term: single                         Term Frequency: 2         
Term: demystify                      Term Frequency: 2         
Term: failure                        Term Frequency: 2         
Term: vs                             Term Frequency: 2         
Term: argue                          Term Frequency: 2         
Term: massive                        Term Frequency: 2         
Term: follow                         Term Frequency: 2         
Term: intent                         Term Frequency: 2         
Term: factors                        Term Frequency: 2         
Term: analyse                        Term Frequency: 2         
Term: much                           Term Frequency: 2         
Term: area                           Term Frequency: 2         
Term: lack                           Term Frequency: 2         
