Term: out                            Term Frequency: 90        
Term: presents                       Term Frequency: 2         
Term: commitments                    Term Frequency: 2         
Term: continuing                     Term Frequency: 2         
Term: them                           Term Frequency: 2         
Term: single                         Term Frequency: 2         
Term: reasonable                     Term Frequency: 2         
Term: us                             Term Frequency: 2         
Term: failure                        Term Frequency: 2         
Term: lies                           Term Frequency: 2         
Term: without                        Term Frequency: 2         
Term: namely                         Term Frequency: 2         
Term: even                           Term Frequency: 2         
Term: assumed                        Term Frequency: 2         
Term: kinds                          Term Frequency: 2         
Term: particularly                   Term Frequency: 2         
Term: almost                         Term Frequency: 2         
Term: environments                   Term Frequency: 2         
Term: whether                        Term Frequency: 2         
Term: reality                        Term Frequency: 2         
Term: difference                     Term Frequency: 2         
Term: gives                          Term Frequency: 2         
Term: last                           Term Frequency: 2         
Term: put                            Term Frequency: 2         
Term: her                            Term Frequency: 2         
Term: conclusions                    Term Frequency: 2         
Term: analysing                      Term Frequency: 2         
Term: before                         Term Frequency: 2         
Term: deals                          Term Frequency: 2         
Term: how                            Term Frequency: 2         
Term: calls                          Term Frequency: 2         
Term: 2001                           Term Frequency: 2         
Term: additional                     Term Frequency: 2         
Term: 2011                           Term Frequency: 2         
Term: 2009                           Term Frequency: 2         
Term: sensitive                      Term Frequency: 2         
Term: phenomenon                     Term Frequency: 2         
Term: file                           Term Frequency: 2         
Term: calculated                     Term Frequency: 2         
Term: difficult                      Term Frequency: 2         
Term: position                       Term Frequency: 2         
Term: reasons                        Term Frequency: 2         
Term: summary                        Term Frequency: 2         
Term: 6,149                          Term Frequency: 2         
Term: reduced                        Term Frequency: 2         
Term: cannot                         Term Frequency: 2         
Term: reference                      Term Frequency: 2         
Term: public                         Term Frequency: 2         
Term: definitions                    Term Frequency: 2         
Term: holistic                       Term Frequency: 2         
Term: educational                    Term Frequency: 2         
Term: system                         Term Frequency: 2         
Term: synthesis                      Term Frequency: 2         
Term: learners                       Term Frequency: 2         
Term: already                        Term Frequency: 2         
Term: conducted                      Term Frequency: 2         
Term: real                           Term Frequency: 2         
Term: takes                          Term Frequency: 2         
Term: through                        Term Frequency: 2         
Term: courses                        Term Frequency: 2         
Term: longer                         Term Frequency: 2         
Term: name                           Term Frequency: 2         
Term: outs                           Term Frequency: 2         
Term: 3,75                           Term Frequency: 2         
Term: 3,78                           Term Frequency: 2         
Term: greater                        Term Frequency: 2         
Term: purely                         Term Frequency: 2         
Term: stress                         Term Frequency: 2         
Term: transfer                       Term Frequency: 2         
Term: rest                           Term Frequency: 2         
Term: offer                          Term Frequency: 2         
Term: compared                       Term Frequency: 2         
Term: column                         Term Frequency: 2         
Term: large                          Term Frequency: 2         
Term: proportion                     Term Frequency: 2         
Term: several                        Term Frequency: 2         
Term: high                           Term Frequency: 2         
Term: level                          Term Frequency: 2         
Term: accreditations                 Term Frequency: 2         
Term: interesting                    Term Frequency: 2         
Term: upper                          Term Frequency: 2         
Term: access                         Term Frequency: 2         
Term: specificity                    Term Frequency: 2         
Term: frequency                      Term Frequency: 2         
Term: generate                       Term Frequency: 2         
Term: figures                        Term Frequency: 2         
Term: records                        Term Frequency: 2         
Term: reach                          Term Frequency: 2         
Term: goal                           Term Frequency: 2         
Term: individual                     Term Frequency: 2         
Term: comparing                      Term Frequency: 2         
Term: towards                        Term Frequency: 2         
Term: half                           Term Frequency: 1         
Term: 10.2                           Term Frequency: 1         
Term: left                           Term Frequency: 1         
Term: particularity                  Term Frequency: 1         
Term: statistical                    Term Frequency: 1         
Term: 86.32                          Term Frequency: 1         
Term: reproduce                      Term Frequency: 1         
Term: others                         Term Frequency: 1         
Term: supposed                       Term Frequency: 1         
Term: 54.0                           Term Frequency: 1         
Term: 54.2                           Term Frequency: 1         
Term: 54.3                           Term Frequency: 1         
Term: 13.68                          Term Frequency: 1         
Term: representation                 Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: pilot                          Term Frequency: 1         
Term: definitively                   Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: personnel                      Term Frequency: 1         
Term: suitable                       Term Frequency: 1         
Term: 1057                           Term Frequency: 1         
Term: considering                    Term Frequency: 1         
Term: 5432                           Term Frequency: 1         
Term: 1070                           Term Frequency: 1         
Term: binary                         Term Frequency: 1         
Term: product                        Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: upon                           Term Frequency: 1         
Term: employer                       Term Frequency: 1         
Term: quite                          Term Frequency: 1         
Term: including                      Term Frequency: 1         
Term: less                           Term Frequency: 1         
Term: successive                     Term Frequency: 1         
Term: improve                        Term Frequency: 1         
Term: possibility                    Term Frequency: 1         
Term: says                           Term Frequency: 1         
Term: 76were                         Term Frequency: 1         
Term: adopts                         Term Frequency: 1         
Term: led                            Term Frequency: 1         
Term: state                          Term Frequency: 1         
Term: 75she                          Term Frequency: 1         
Term: offering                       Term Frequency: 1         
Term: 3.69                           Term Frequency: 1         
Term: moment                         Term Frequency: 1         
Term: socio                          Term Frequency: 1         
Term: ofstudents                     Term Frequency: 1         
Term: 3.83                           Term Frequency: 1         
Term: starts                         Term Frequency: 1         
Term: campus                         Term Frequency: 1         
Term: ultimate                       Term Frequency: 1         
Term: surprising                     Term Frequency: 1         
Term: overall                        Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: concept                        Term Frequency: 1         
Term: paid                           Term Frequency: 1         
Term: short                          Term Frequency: 1         
Term: complementary                  Term Frequency: 1         
Term: three                          Term Frequency: 1         
Term: 1975                           Term Frequency: 1         
Term: 1972                           Term Frequency: 1         
Term: 37.3                           Term Frequency: 1         
Term: 1985                           Term Frequency: 1         
Term: 1988                           Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: lot                            Term Frequency: 1         
Term: 1997                           Term Frequency: 1         
Term: low                            Term Frequency: 1         
Term: means                          Term Frequency: 1         
Term: performed                      Term Frequency: 1         
Term: abandoning                     Term Frequency: 1         
Term: interests                      Term Frequency: 1         
Term: 65.83                          Term Frequency: 1         
Term: obtain                         Term Frequency: 1         
Term: inductively                    Term Frequency: 1         
Term: format                         Term Frequency: 1         
Term: 4,048                          Term Frequency: 1         
Term: third                          Term Frequency: 1         
Term: earn                           Term Frequency: 1         
Term: del                            Term Frequency: 1         
Term: 7,000                          Term Frequency: 1         
Term: 2440                           Term Frequency: 1         
Term: domain                         Term Frequency: 1         
Term: relative                       Term Frequency: 1         
Term: average                        Term Frequency: 1         
Term: 113000;1;0;0;0;0;0;0           Term Frequency: 1         
Term: 3778                           Term Frequency: 1         
Term: withdrawing                    Term Frequency: 1         
Term: 0.01                           Term Frequency: 1         
Term: possible                       Term Frequency: 1         
Term: right                          Term Frequency: 1         
Term: stage                          Term Frequency: 1         
Term: under                          Term Frequency: 1         
Term: did                            Term Frequency: 1         
Term: 0.05                           Term Frequency: 1         
Term: test                           Term Frequency: 1         
Term: 0.23                           Term Frequency: 1         
Term: 0.19                           Term Frequency: 1         
Term: 0.18                           Term Frequency: 1         
Term: varies                         Term Frequency: 1         
Term: relativise                     Term Frequency: 1         
Term: importance                     Term Frequency: 1         
Term: cohort                         Term Frequency: 1         
Term: 0.34                           Term Frequency: 1         
Term: corrective                     Term Frequency: 1         
Term: states                         Term Frequency: 1         
Term: 0.26                           Term Frequency: 1         
Term: length                         Term Frequency: 1         
Term: una                            Term Frequency: 1         
Term: statistically                  Term Frequency: 1         
Term: 0.41                           Term Frequency: 1         
Term: 0.35                           Term Frequency: 1         
Term: showing                        Term Frequency: 1         
Term: reincorporation                Term Frequency: 1         
Term: 0.46                           Term Frequency: 1         
Term: 0.47                           Term Frequency: 1         
Term: 1194                           Term Frequency: 1         
Term: 0.63                           Term Frequency: 1         
Term: 0.60                           Term Frequency: 1         
Term: contents                       Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: 3.8                            Term Frequency: 1         
Term: 0.78                           Term Frequency: 1         
Term: 0.81                           Term Frequency: 1         
Term: 0.87                           Term Frequency: 1         
Term: 304                            Term Frequency: 1         
Term: 0.92                           Term Frequency: 1         
Term: use                            Term Frequency: 1         
Term: 0.93                           Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: includes                       Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: 35,000                         Term Frequency: 1         
Term: opposed                        Term Frequency: 1         
Term: 02                             Term Frequency: 1         
Term: empirical                      Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: 17                             Term Frequency: 1         
Term: received                       Term Frequency: 1         
Term: unique                         Term Frequency: 1         
Term: 29                             Term Frequency: 1         
Term: remember                       Term Frequency: 1         
Term: relationship                   Term Frequency: 1         
Term: 30                             Term Frequency: 1         
Term: 33                             Term Frequency: 1         
Term: 36                             Term Frequency: 1         
Term: 38                             Term Frequency: 1         
Term: 2,67                           Term Frequency: 1         
Term: appear                         Term Frequency: 1         
Term: extensive                      Term Frequency: 1         
Term: definitely                     Term Frequency: 1         
Term: 49                             Term Frequency: 1         
Term: numbers                        Term Frequency: 1         
Term: 50                             Term Frequency: 1         
Term: 53                             Term Frequency: 1         
Term: studying                       Term Frequency: 1         
Term: 2,82                           Term Frequency: 1         
Term: 58                             Term Frequency: 1         
Term: assurance                      Term Frequency: 1         
Term: achieving                      Term Frequency: 1         
Term: 10.27                          Term Frequency: 1         
Term: 65                             Term Frequency: 1         
Term: 16818                          Term Frequency: 1         
Term: 76                             Term Frequency: 1         
Term: 77                             Term Frequency: 1         
Term: 10.00                          Term Frequency: 1         
Term: 38.2                           Term Frequency: 1         
Term: 38.0                           Term Frequency: 1         
Term: loss                           Term Frequency: 1         
Term: 94                             Term Frequency: 1         
Term: still                          Term Frequency: 1         
Term: benchmark                      Term Frequency: 1         
Term: article1                       Term Frequency: 1         
Term: stated                         Term Frequency: 1         
Term: extension                      Term Frequency: 1         
Term: gender                         Term Frequency: 1         
Term: variability                    Term Frequency: 1         
Term: 25.4                           Term Frequency: 1         
Term: include                        Term Frequency: 1         
Term: dimensions                     Term Frequency: 1         
Term: 10104;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 Term Frequency: 1         
Term: threshold                      Term Frequency: 1         
Term: 8.21                           Term Frequency: 1         
Term: eds                            Term Frequency: 1         
Term: 1,169,262                      Term Frequency: 1         
Term: parameter                      Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: via                            Term Frequency: 1         
Term: 56.5                           Term Frequency: 1         
Term: contains                       Term Frequency: 1         
Term: stop                           Term Frequency: 1         
Term: detail                         Term Frequency: 1         
Term: subsequently                   Term Frequency: 1         
Term: logical                        Term Frequency: 1         
Term: repetition                     Term Frequency: 1         
Term: 43.7                           Term Frequency: 1         
Term: incorporated                   Term Frequency: 1         
Term: excluding                      Term Frequency: 1         
Term: obligatory                     Term Frequency: 1         
Term: need                           Term Frequency: 1         
Term: obtaining                      Term Frequency: 1         
Term: technical                      Term Frequency: 1         
Term: culminate                      Term Frequency: 1         
Term: significance                   Term Frequency: 1         
Term: undertaking                    Term Frequency: 1         
Term: 4.1                            Term Frequency: 1         
Term: 30.1                           Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: detected                       Term Frequency: 1         
Term: jgrauv                         Term Frequency: 1         
Term: aspire                         Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: relevance                      Term Frequency: 1         
Term: classifying                    Term Frequency: 1         
Term: 4354                           Term Frequency: 1         
Term: programme2                     Term Frequency: 1         
Term: cent                           Term Frequency: 1         
Term: took                           Term Frequency: 1         
Term: reaching                       Term Frequency: 1         
Term: around                         Term Frequency: 1         
Term: credits                        Term Frequency: 1         
Term: harder                         Term Frequency: 1         
Term: 84,230                         Term Frequency: 1         
Term: decided                        Term Frequency: 1         
Term: formulation                    Term Frequency: 1         
Term: fully                          Term Frequency: 1         
Term: centres                        Term Frequency: 1         
Term: 5.12                           Term Frequency: 1         
Term: 7,938                          Term Frequency: 1         
Term: classic                        Term Frequency: 1         
Term: understood                     Term Frequency: 1         
Term: administration                 Term Frequency: 1         
Term: 6149                           Term Frequency: 1         
Term: retaining                      Term Frequency: 1         
Term: 7496                           Term Frequency: 1         
Term: 5.47                           Term Frequency: 1         
Term: statement                      Term Frequency: 1         
Term: what                           Term Frequency: 1         
Term: rise                           Term Frequency: 1         
Term: quickly                        Term Frequency: 1         
Term: lives                          Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: determined                     Term Frequency: 1         
Term: variances                      Term Frequency: 1         
Term: enabled                        Term Frequency: 1         
Term: enables                        Term Frequency: 1         
Term: test3                          Term Frequency: 1         
Term: levels                         Term Frequency: 1         
Term: presented                      Term Frequency: 1         
Term: theoretically                  Term Frequency: 1         
Term: otherwise                      Term Frequency: 1         
Term: stresses                       Term Frequency: 1         
Term: survival                       Term Frequency: 1         
Term: opened                         Term Frequency: 1         
Term: effect                         Term Frequency: 1         
Term: topic                          Term Frequency: 1         
Term: determines                     Term Frequency: 1         
Term: deserves                       Term Frequency: 1         
Term: alone                          Term Frequency: 1         
Term: parallel                       Term Frequency: 1         
Term: various                        Term Frequency: 1         
Term: multidimensional               Term Frequency: 1         
Term: analyzing                      Term Frequency: 1         
Term: assumption                     Term Frequency: 1         
Term: addition                       Term Frequency: 1         
Term: al                             Term Frequency: 1         
Term: interpretation                 Term Frequency: 1         
Term: bi                             Term Frequency: 1         
Term: coding                         Term Frequency: 1         
Term: 44.8                           Term Frequency: 1         
Term: 1374                           Term Frequency: 1         
Term: accounted                      Term Frequency: 1         
Term: carry                          Term Frequency: 1         
Term: content                        Term Frequency: 1         
Term: contrary                       Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: significantly                  Term Frequency: 1         
Term: withdraw                       Term Frequency: 1         
Term: four                           Term Frequency: 1         
Term: 3114                           Term Frequency: 1         
Term: context                        Term Frequency: 1         
Term: likely                         Term Frequency: 1         
Term: lower                          Term Frequency: 1         
Term: traditional                    Term Frequency: 1         
Term: characterising                 Term Frequency: 1         
Term: grades                         Term Frequency: 1         
Term: literature                     Term Frequency: 1         
Term: formalised                     Term Frequency: 1         
Term: 2.18                           Term Frequency: 1         
Term: la                             Term Frequency: 1         
Term: complete                       Term Frequency: 1         
Term: 2.33                           Term Frequency: 1         
Term: while                          Term Frequency: 1         
Term: 2.27                           Term Frequency: 1         
Term: sufficient                     Term Frequency: 1         
Term: survey                         Term Frequency: 1         
Term: fight                          Term Frequency: 1         
Term: discipline                     Term Frequency: 1         
Term: node                           Term Frequency: 1         
Term: 6239                           Term Frequency: 1         
Term: conservative                   Term Frequency: 1         
Term: 2.90                           Term Frequency: 1         
Term: seem                           Term Frequency: 1         
Term: analyzes                       Term Frequency: 1         
Term: so                             Term Frequency: 1         
Term: decision                       Term Frequency: 1         
Term: analyzed                       Term Frequency: 1         
Term: closed                         Term Frequency: 1         
Term: 4,11                           Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: ruled                          Term Frequency: 1         
Term: 4,27                           Term Frequency: 1         
Term: 4,35                           Term Frequency: 1         
Term: 4,46                           Term Frequency: 1         
Term: wide                           Term Frequency: 1         
Term: 4,48                           Term Frequency: 1         
Term: previous                       Term Frequency: 1         
Term: 4,58                           Term Frequency: 1         
Term: conclude                       Term Frequency: 1         
Term: samples                        Term Frequency: 1         
Term: exact                          Term Frequency: 1         
Term: 14.6                           Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: 4,86                           Term Frequency: 1         
Term: date                           Term Frequency: 1         
Term: proposes                       Term Frequency: 1         
