Term: week                           Term Frequency: 115       
Term: longitudinal                   Term Frequency: 6         
Term: approach                       Term Frequency: 6         
Term: has                            Term Frequency: 6         
Term: behavior                       Term Frequency: 6         
Term: 2002                           Term Frequency: 6         
Term: positive                       Term Frequency: 6         
Term: negative                       Term Frequency: 6         
Term: viewed                         Term Frequency: 6         
Term: higher                         Term Frequency: 6         
Term: feature                        Term Frequency: 6         
Term: same                           Term Frequency: 5         
Term: i                              Term Frequency: 5         
Term: multiple                       Term Frequency: 5         
Term: measures                       Term Frequency: 5         
Term: tend                           Term Frequency: 5         
Term: maximum                        Term Frequency: 5         
Term: did                            Term Frequency: 5         
Term: 0.11                           Term Frequency: 5         
Term: 0.21                           Term Frequency: 5         
Term: 0.27                           Term Frequency: 5         
Term: 0.24                           Term Frequency: 5         
Term: 0.25                           Term Frequency: 5         
Term: 0.40                           Term Frequency: 5         
Term: 0.37                           Term Frequency: 5         
Term: 0.67                           Term Frequency: 5         
Term: 0.64                           Term Frequency: 5         
Term: 0.61                           Term Frequency: 5         
Term: 14                             Term Frequency: 5         
Term: 23                             Term Frequency: 5         
Term: coefficient                    Term Frequency: 5         
Term: downloads                      Term Frequency: 5         
Term: theory                         Term Frequency: 5         
Term: next                           Term Frequency: 5         
Term: framework                      Term Frequency: 5         
Term: applications                   Term Frequency: 5         
Term: been                           Term Frequency: 5         
Term: connectivity                   Term Frequency: 5         
Term: subsequent                     Term Frequency: 5         
Term: example                        Term Frequency: 5         
Term: applied                        Term Frequency: 5         
Term: dataset                        Term Frequency: 5         
Term: rather                         Term Frequency: 5         
Term: open                           Term Frequency: 5         
Term: similar                        Term Frequency: 5         
Term: research                       Term Frequency: 5         
Term: dependence                     Term Frequency: 5         
Term: component                      Term Frequency: 5         
Term: general                        Term Frequency: 5         
Term: relatively                     Term Frequency: 5         
Term: 2004                           Term Frequency: 5         
Term: alt                            Term Frequency: 5         
Term: any                            Term Frequency: 5         
Term: 0.1                            Term Frequency: 5         
Term: where                          Term Frequency: 5         
Term: interactions                   Term Frequency: 5         
Term: j                              Term Frequency: 4         
Term: n                              Term Frequency: 4         
Term: defined                        Term Frequency: 4         
Term: replying                       Term Frequency: 4         
Term: introduction                   Term Frequency: 4         
Term: 0.08                           Term Frequency: 4         
Term: 0.22                           Term Frequency: 4         
Term: 0.23                           Term Frequency: 4         
Term: 0.56                           Term Frequency: 4         
Term: 0.53                           Term Frequency: 4         
Term: 0.47                           Term Frequency: 4         
Term: 0.65                           Term Frequency: 4         
Term: 0.62                           Term Frequency: 4         
Term: 0.73                           Term Frequency: 4         
Term: 0.71                           Term Frequency: 4         
Term: included                       Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: 16                             Term Frequency: 4         
Term: 17                             Term Frequency: 4         
Term: 25                             Term Frequency: 4         
Term: 27                             Term Frequency: 4         
Term: relationship                   Term Frequency: 4         
Term: 35                             Term Frequency: 4         
Term: week’s                         Term Frequency: 4         
Term: least                          Term Frequency: 4         
Term: stochastic                     Term Frequency: 4         
Term: adjacent                       Term Frequency: 4         
Term: structures                     Term Frequency: 4         
Term: logistic                       Term Frequency: 4         
Term: analyzing                      Term Frequency: 4         
Term: second                         Term Frequency: 4         
Term: type                           Term Frequency: 4         
Term: terms                          Term Frequency: 4         
Term: whether                        Term Frequency: 4         
Term: basic                          Term Frequency: 4         
Term: had                            Term Frequency: 4         
Term: sometimes                      Term Frequency: 4         
Term: eight                          Term Frequency: 4         
Term: based                          Term Frequency: 4         
Term: paper                          Term Frequency: 4         
Term: courses                        Term Frequency: 4         
Term: largest                        Term Frequency: 4         
Term: directed                       Term Frequency: 4         
Term: captures                       Term Frequency: 4         
Term: level                          Term Frequency: 4         
Term: undirected                     Term Frequency: 4         
Term: especially                     Term Frequency: 4         
Term: reads                          Term Frequency: 4         
Term: size                           Term Frequency: 4         
Term: others                         Term Frequency: 4         
Term: does                           Term Frequency: 4         
Term: overall                        Term Frequency: 4         
Term: full                           Term Frequency: 4         
Term: 1997                           Term Frequency: 4         
Term: 1999                           Term Frequency: 4         
Term: about                          Term Frequency: 4         
Term: collaborative                  Term Frequency: 4         
Term: among                          Term Frequency: 4         
Term: estimation                     Term Frequency: 4         
Term: attribute                      Term Frequency: 4         
Term: used                           Term Frequency: 4         
Term: resource                       Term Frequency: 4         
Term: even                           Term Frequency: 4         
Term: given                          Term Frequency: 4         
Term: latent                         Term Frequency: 4         
Term: assumptions                    Term Frequency: 4         
Term: 2001                           Term Frequency: 4         
Term: 2012                           Term Frequency: 4         
Term: 2008                           Term Frequency: 4         
Term: 2006                           Term Frequency: 4         
Term: 2003                           Term Frequency: 4         
Term: poster                         Term Frequency: 4         
Term: posted                         Term Frequency: 4         
Term: 1.21                           Term Frequency: 4         
Term: 1.20                           Term Frequency: 4         
Term: 1.26                           Term Frequency: 4         
Term: learners                       Term Frequency: 4         
Term: through                        Term Frequency: 4         
Term: view                           Term Frequency: 4         
Term: case                           Term Frequency: 4         
Term: both                           Term Frequency: 4         
Term: most                           Term Frequency: 4         
Term: counts                         Term Frequency: 4         
Term: participants                   Term Frequency: 4         
Term: review                         Term Frequency: 4         
Term: 9                              Term Frequency: 3         
Term: findings                       Term Frequency: 3         
Term: including                      Term Frequency: 3         
Term: stable                         Term Frequency: 3         
Term: state                          Term Frequency: 3         
Term: sessions                       Term Frequency: 3         
Term: shown                          Term Frequency: 3         
Term: instructor                     Term Frequency: 3         
Term: threads                        Term Frequency: 3         
Term: 0.12                           Term Frequency: 3         
Term: 0.10                           Term Frequency: 3         
Term: 0.07                           Term Frequency: 3         
Term: 0.02                           Term Frequency: 3         
Term: 0.03                           Term Frequency: 3         
Term: duration                       Term Frequency: 3         
Term: 0.45                           Term Frequency: 3         
Term: 0.55                           Term Frequency: 3         
Term: 0.54                           Term Frequency: 3         
Term: 0.46                           Term Frequency: 3         
Term: 0.63                           Term Frequency: 3         
Term: 0.59                           Term Frequency: 3         
Term: 0.58                           Term Frequency: 3         
Term: known                          Term Frequency: 3         
Term: 0.99                           Term Frequency: 3         
Term: 10                             Term Frequency: 3         
Term: 11                             Term Frequency: 3         
Term: 12                             Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: 19                             Term Frequency: 3         
Term: 20                             Term Frequency: 3         
Term: 24                             Term Frequency: 3         
Term: 26                             Term Frequency: 3         
Term: examined                       Term Frequency: 3         
Term: 30                             Term Frequency: 3         
Term: 32                             Term Frequency: 3         
Term: 33                             Term Frequency: 3         
Term: 37                             Term Frequency: 3         
Term: 38                             Term Frequency: 3         
Term: many                           Term Frequency: 3         
Term: 40                             Term Frequency: 3         
Term: 43                             Term Frequency: 3         
Term: 46                             Term Frequency: 3         
Term: 47                             Term Frequency: 3         
Term: trend                          Term Frequency: 3         
Term: controlling                    Term Frequency: 3         
Term: understanding                  Term Frequency: 3         
Term: users                          Term Frequency: 3         
Term: regressions                    Term Frequency: 3         
Term: might                          Term Frequency: 3         
Term: sharing                        Term Frequency: 3         
Term: four                           Term Frequency: 3         
Term: recent                         Term Frequency: 3         
Term: emphasize                      Term Frequency: 3         
Term: beyond                         Term Frequency: 3         
Term: here                           Term Frequency: 3         
Term: edges                          Term Frequency: 3         
Term: consistent                     Term Frequency: 3         
Term: attachment                     Term Frequency: 3         
Term: although                       Term Frequency: 3         
Term: could                          Term Frequency: 3         
Term: present                        Term Frequency: 3         
Term: 4.09                           Term Frequency: 3         
Term: finding                        Term Frequency: 3         
Term: comment                        Term Frequency: 3         
Term: homework                       Term Frequency: 3         
Term: value                          Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: distance                       Term Frequency: 3         
Term: learner                        Term Frequency: 3         
Term: preferential                   Term Frequency: 3         
Term: complex                        Term Frequency: 3         
Term: statnet                        Term Frequency: 3         
Term: positively                     Term Frequency: 3         
Term: should                         Term Frequency: 3         
Term: individual                     Term Frequency: 3         
Term: person                         Term Frequency: 3         
Term: outcomes                       Term Frequency: 3         
Term: 8th                            Term Frequency: 3         
Term: 1986                           Term Frequency: 3         
Term: part                           Term Frequency: 3         
Term: include                        Term Frequency: 3         
Term: specific                       Term Frequency: 3         
Term: supported                      Term Frequency: 3         
Term: when                           Term Frequency: 3         
Term: approaches                     Term Frequency: 3         
Term: class                          Term Frequency: 3         
Term: significantly                  Term Frequency: 3         
Term: follows                        Term Frequency: 3         
Term: cognitive                      Term Frequency: 3         
Term: method                         Term Frequency: 3         
Term: peer                           Term Frequency: 3         
Term: initiated                      Term Frequency: 3         
Term: knowledge                      Term Frequency: 3         
Term: some                           Term Frequency: 3         
Term: within                         Term Frequency: 3         
Term: find                           Term Frequency: 3         
Term: certificate                    Term Frequency: 3         
Term: causal                         Term Frequency: 3         
Term: summary                        Term Frequency: 3         
Term: constructed                    Term Frequency: 3         
Term: add                            Term Frequency: 3         
Term: 1.36                           Term Frequency: 3         
Term: tended                         Term Frequency: 3         
Term: commented                      Term Frequency: 3         
Term: generating                     Term Frequency: 3         
Term: simple                         Term Frequency: 3         
Term: described                      Term Frequency: 3         
Term: several                        Term Frequency: 3         
Term: chance                         Term Frequency: 3         
Term: idea                           Term Frequency: 3         
Term: suggest                        Term Frequency: 3         
Term: 0                              Term Frequency: 2         
Term: after                          Term Frequency: 2         
Term: hand                           Term Frequency: 2         
Term: order                          Term Frequency: 2         
Term: 211                            Term Frequency: 2         
Term: attitudes                      Term Frequency: 2         
Term: requires                       Term Frequency: 2         
Term: build                          Term Frequency: 2         
Term: viewing                        Term Frequency: 2         
Term: 0.06                           Term Frequency: 2         
Term: test                           Term Frequency: 2         
Term: visualizations                 Term Frequency: 2         
Term: 0.44                           Term Frequency: 2         
Term: 0.50                           Term Frequency: 2         
Term: 0.66                           Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: 0.60                           Term Frequency: 2         
Term: 0.76                           Term Frequency: 2         
Term: 0.81                           Term Frequency: 2         
Term: 0.89                           Term Frequency: 2         
Term: 0.84                           Term Frequency: 2         
Term: 0.83                           Term Frequency: 2         
Term: 0.79                           Term Frequency: 2         
Term: 0.96                           Term Frequency: 2         
Term: 0.93                           Term Frequency: 2         
Term: 0.94                           Term Frequency: 2         
Term: thread                         Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: 21                             Term Frequency: 2         
Term: 22                             Term Frequency: 2         
Term: 28                             Term Frequency: 2         
Term: 31                             Term Frequency: 2         
Term: 34                             Term Frequency: 2         
Term: 36                             Term Frequency: 2         
Term: 39                             Term Frequency: 2         
Term: 41                             Term Frequency: 2         
Term: 42                             Term Frequency: 2         
Term: 44                             Term Frequency: 2         
Term: 45                             Term Frequency: 2         
Term: 48                             Term Frequency: 2         
Term: 50                             Term Frequency: 2         
Term: 76                             Term Frequency: 2         
Term: relate                         Term Frequency: 2         
Term: 97                             Term Frequency: 2         
Term: across                         Term Frequency: 2         
Term: useful                         Term Frequency: 2         
Term: 4.1                            Term Frequency: 2         
Term: 4.3                            Term Frequency: 2         
Term: differently                    Term Frequency: 2         
Term: exp                            Term Frequency: 2         
Term: correlations                   Term Frequency: 2         
Term: eye                            Term Frequency: 2         
Term: another                        Term Frequency: 2         
Term: supporting                     Term Frequency: 2         
Term: way                            Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: presented                      Term Frequency: 2         
Term: addition                       Term Frequency: 2         
Term: systems                        Term Frequency: 2         
Term: scoring                        Term Frequency: 2         
Term: co                             Term Frequency: 2         
Term: language                       Term Frequency: 2         
Term: digital                        Term Frequency: 2         
Term: while                          Term Frequency: 2         
Term: communication                  Term Frequency: 2         
Term: p2                             Term Frequency: 2         
Term: clique                         Term Frequency: 2         
Term: held                           Term Frequency: 2         
Term: help                           Term Frequency: 2         
Term: massive                        Term Frequency: 2         
Term: challenges                     Term Frequency: 2         
Term: asynchronous                   Term Frequency: 2         
Term: success                        Term Frequency: 2         
Term: evolution                      Term Frequency: 2         
Term: discussed                      Term Frequency: 2         
Term: inconsistent                   Term Frequency: 2         
Term: replied                        Term Frequency: 2         
Term: combining                      Term Frequency: 2         
Term: mathematically                 Term Frequency: 2         
Term: video                          Term Frequency: 2         
Term: alternating                    Term Frequency: 2         
Term: values                         Term Frequency: 2         
Term: active                         Term Frequency: 2         
Term: nodal                          Term Frequency: 2         
Term: count                          Term Frequency: 2         
Term: distributions                  Term Frequency: 2         
Term: explores                       Term Frequency: 2         
Term: 5th                            Term Frequency: 2         
Term: movements                      Term Frequency: 2         
Term: 4.12                           Term Frequency: 2         
Term: 4.06                           Term Frequency: 2         
Term: conditional                    Term Frequency: 2         
Term: characteristics                Term Frequency: 2         
Term: enable                         Term Frequency: 2         
Term: its                            Term Frequency: 2         
Term: testing                        Term Frequency: 2         
Term: distributed                    Term Frequency: 2         
Term: hypotheses                     Term Frequency: 2         
Term: construction                   Term Frequency: 2         
Term: completed                      Term Frequency: 2         
Term: detection                      Term Frequency: 2         
Term: either                         Term Frequency: 2         
Term: estimates                      Term Frequency: 2         
Term: show                           Term Frequency: 2         
Term: connectivism                   Term Frequency: 2         
Term: influence                      Term Frequency: 2         
Term: original                       Term Frequency: 2         
Term: equivalent                     Term Frequency: 2         
Term: developed                      Term Frequency: 2         
Term: total                          Term Frequency: 2         
Term: interesting                    Term Frequency: 2         
Term: descriptive                    Term Frequency: 2         
Term: dynamic                        Term Frequency: 2         
Term: once                           Term Frequency: 2         
Term: types                          Term Frequency: 2         
Term: mechanisms                     Term Frequency: 2         
Term: studies                        Term Frequency: 2         
Term: bipartite                      Term Frequency: 2         
Term: corresponding                  Term Frequency: 2         
Term: sparse                         Term Frequency: 2         
Term: well                           Term Frequency: 2         
Term: teacher                        Term Frequency: 2         
Term: 3.35                           Term Frequency: 2         
Term: authored                       Term Frequency: 2         
Term: 3.48                           Term Frequency: 2         
Term: 3.51                           Term Frequency: 2         
Term: quiz                           Term Frequency: 2         
Term: 3.95                           Term Frequency: 2         
Term: involved                       Term Frequency: 2         
Term: aspects                        Term Frequency: 2         
Term: 1959                           Term Frequency: 2         
Term: dependencies                   Term Frequency: 2         
Term: provide                        Term Frequency: 2         
Term: 1981                           Term Frequency: 2         
Term: log                            Term Frequency: 2         
Term: lot                            Term Frequency: 2         
Term: 1996                           Term Frequency: 2         
Term: low                            Term Frequency: 2         
Term: means                          Term Frequency: 2         
Term: puzzling                       Term Frequency: 2         
Term: mathematics                    Term Frequency: 2         
Term: past                           Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: directions                     Term Frequency: 2         
Term: consistently                   Term Frequency: 2         
Term: components                     Term Frequency: 2         
Term: though                         Term Frequency: 2         
Term: associated                     Term Frequency: 2         
Term: relation                       Term Frequency: 2         
Term: attempts                       Term Frequency: 2         
Term: dyadic                         Term Frequency: 2         
Term: variable                       Term Frequency: 2         
Term: contains                       Term Frequency: 2         
Term: family                         Term Frequency: 2         
Term: new                            Term Frequency: 2         
Term: mechanism                      Term Frequency: 2         
Term: downloaded                     Term Frequency: 2         
Term: contextual                     Term Frequency: 2         
Term: depends                        Term Frequency: 2         
Term: probability                    Term Frequency: 2         
Term: organization                   Term Frequency: 2         
Term: board                          Term Frequency: 2         
Term: commenting                     Term Frequency: 2         
Term: management                     Term Frequency: 2         
Term: lower                          Term Frequency: 2         
Term: 2.01                           Term Frequency: 2         
Term: 2.39                           Term Frequency: 2         
Term: 2.97                           Term Frequency: 2         
Term: vector                         Term Frequency: 2         
Term: problem                        Term Frequency: 2         
Term: independent                    Term Frequency: 2         
Term: datasets                       Term Frequency: 2         
Term: analyses                       Term Frequency: 2         
Term: service                        Term Frequency: 2         
Term: integration                    Term Frequency: 2         
Term: assumed                        Term Frequency: 2         
Term: indicating                     Term Frequency: 2         
Term: blockmodels                    Term Frequency: 2         
Term: interested                     Term Frequency: 2         
Term: actions                        Term Frequency: 2         
Term: correlated                     Term Frequency: 2         
Term: conclusions                    Term Frequency: 2         
Term: request                        Term Frequency: 2         
Term: process                        Term Frequency: 2         
Term: prior                          Term Frequency: 2         
Term: 2011                           Term Frequency: 2         
Term: 2005                           Term Frequency: 2         
Term: 2016                           Term Frequency: 2         
Term: reviews                        Term Frequency: 2         
Term: occur                          Term Frequency: 2         
Term: true                           Term Frequency: 2         
Term: adolescent                     Term Frequency: 2         
Term: processes                      Term Frequency: 2         
Term: repliers                       Term Frequency: 2         
Term: ongoing                        Term Frequency: 2         
Term: distinguish                    Term Frequency: 2         
Term: except                         Term Frequency: 2         
Term: perspective                    Term Frequency: 2         
Term: again                          Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: itself                         Term Frequency: 2         
Term: solving                        Term Frequency: 2         
Term: triangles                      Term Frequency: 2         
Term: aspect                         Term Frequency: 2         
Term: periphery                      Term Frequency: 2         
Term: 1.12                           Term Frequency: 2         
Term: 1.07                           Term Frequency: 2         
Term: 1.05                           Term Frequency: 2         
Term: system                         Term Frequency: 2         
Term: 1.46                           Term Frequency: 2         
Term: 1.41                           Term Frequency: 2         
Term: 1.38                           Term Frequency: 2         
Term: outcome                        Term Frequency: 2         
Term: 1.48                           Term Frequency: 2         
Term: 1.61                           Term Frequency: 2         
Term: analogy                        Term Frequency: 2         
Term: increased                      Term Frequency: 2         
Term: usage                          Term Frequency: 2         
Term: participation                  Term Frequency: 2         
Term: accounts                       Term Frequency: 2         
Term: package                        Term Frequency: 2         
Term: generative                     Term Frequency: 2         
Term: extracted                      Term Frequency: 2         
Term: personal                       Term Frequency: 2         
Term: see                            Term Frequency: 2         
Term: set                            Term Frequency: 2         
Term: sample                         Term Frequency: 2         
Term: visualization                  Term Frequency: 2         
Term: big                            Term Frequency: 2         
Term: bit                            Term Frequency: 2         
Term: 100                            Term Frequency: 2         
Term: trends                         Term Frequency: 2         
Term: baseline                       Term Frequency: 2         
Term: quizzes                        Term Frequency: 2         
Term: can                            Term Frequency: 2         
Term: really                         Term Frequency: 2         
Term: result                         Term Frequency: 1         
Term: postings                       Term Frequency: 1         
Term: connect                        Term Frequency: 1         
Term: myriad                         Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: provides                       Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: effectiveness                  Term Frequency: 1         
Term: gmail.com                      Term Frequency: 1         
Term: ranging                        Term Frequency: 1         
Term: better                         Term Frequency: 1         
Term: flow                           Term Frequency: 1         
Term: too                            Term Frequency: 1         
Term: 1090                           Term Frequency: 1         
Term: spirit                         Term Frequency: 1         
Term: 1098                           Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: 2.3                            Term Frequency: 1         
Term: distillations                  Term Frequency: 1         
Term: 203                            Term Frequency: 1         
Term: 206                            Term Frequency: 1         
Term: times                          Term Frequency: 1         
Term: 215                            Term Frequency: 1         
Term: 216                            Term Frequency: 1         
Term: direction                      Term Frequency: 1         
Term: 222                            Term Frequency: 1         
Term: activities                     Term Frequency: 1         
Term: 226                            Term Frequency: 1         
Term: 230                            Term Frequency: 1         
Term: eventual                       Term Frequency: 1         
Term: 234                            Term Frequency: 1         
Term: opposite                       Term Frequency: 1         
Term: ybergner                       Term Frequency: 1         
Term: 254                            Term Frequency: 1         
Term: ultimate                       Term Frequency: 1         
Term: campus                         Term Frequency: 1         
Term: widely                         Term Frequency: 1         
Term: surprising                     Term Frequency: 1         
Term: 290                            Term Frequency: 1         
Term: 295                            Term Frequency: 1         
Term: 297                            Term Frequency: 1         
Term: specifically                   Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: 2.2.1                          Term Frequency: 1         
Term: formal                         Term Frequency: 1         
Term: further                        Term Frequency: 1         
Term: impact                         Term Frequency: 1         
Term: gplot                          Term Frequency: 1         
Term: compare                        Term Frequency: 1         
Term: term                           Term Frequency: 1         
Term: posters                        Term Frequency: 1         
Term: partly                         Term Frequency: 1         
Term: cutoff                         Term Frequency: 1         
Term: later                          Term Frequency: 1         
Term: possibly                       Term Frequency: 1         
Term: 1,380                          Term Frequency: 1         
Term: final                          Term Frequency: 1         
Term: virtual                        Term Frequency: 1         
Term: back                           Term Frequency: 1         
Term: states                         Term Frequency: 1         
Term: 1174                           Term Frequency: 1         
Term: concerns                       Term Frequency: 1         
Term: 48,000                         Term Frequency: 1         
Term: 0.36                           Term Frequency: 1         
Term: showing                        Term Frequency: 1         
Term: construct                      Term Frequency: 1         
Term: 0.51                           Term Frequency: 1         
Term: attempt                        Term Frequency: 1         
Term: 1182                           Term Frequency: 1         
Term: 0.48                           Term Frequency: 1         
Term: researchers                    Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: yielded                        Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: 0.57                           Term Frequency: 1         
Term: 0.70                           Term Frequency: 1         
Term: 0.77                           Term Frequency: 1         
Term: 0.75                           Term Frequency: 1         
Term: 0.72                           Term Frequency: 1         
Term: 0.69                           Term Frequency: 1         
Term: characterized                  Term Frequency: 1         
Term: 0.87                           Term Frequency: 1         
Term: 0.82                           Term Frequency: 1         
Term: entities                       Term Frequency: 1         
Term: 309                            Term Frequency: 1         
Term: 0.91                           Term Frequency: 1         
Term: 0.95                           Term Frequency: 1         
Term: 316                            Term Frequency: 1         
Term: 318                            Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: logs                           Term Frequency: 1         
Term: includes                       Term Frequency: 1         
Term: navigated                      Term Frequency: 1         
Term: make                           Term Frequency: 1         
Term: opposed                        Term Frequency: 1         
Term: due                            Term Frequency: 1         
Term: 04                             Term Frequency: 1         
Term: meaning                        Term Frequency: 1         
Term: worlds                         Term Frequency: 1         
Term: 371                            Term Frequency: 1         
Term: 375                            Term Frequency: 1         
Term: 1k                             Term Frequency: 1         
Term: star                           Term Frequency: 1         
Term: controlled                     Term Frequency: 1         
Term: 388                            Term Frequency: 1         
Term: increasing                     Term Frequency: 1         
Term: dichotomous                    Term Frequency: 1         
Term: seven                          Term Frequency: 1         
Term: 391                            Term Frequency: 1         
Term: 394                            Term Frequency: 1         
Term: 395                            Term Frequency: 1         
Term: 397                            Term Frequency: 1         
Term: 52                             Term Frequency: 1         
Term: 57                             Term Frequency: 1         
Term: 58                             Term Frequency: 1         
Term: converse                       Term Frequency: 1         
Term: 61                             Term Frequency: 1         
Term: 64                             Term Frequency: 1         
