Term: network                        Term Frequency: 69        
Term: activities                     Term Frequency: 3         
Term: dataset                        Term Frequency: 3         
Term: disconnected                   Term Frequency: 3         
Term: created                        Term Frequency: 3         
Term: part                           Term Frequency: 3         
Term: conversations                  Term Frequency: 3         
Term: interactional                  Term Frequency: 3         
Term: coherence                      Term Frequency: 3         
Term: regarding                      Term Frequency: 3         
Term: researchers                    Term Frequency: 3         
Term: messages                       Term Frequency: 3         
Term: dimensional                    Term Frequency: 3         
Term: above                          Term Frequency: 3         
Term: 16                             Term Frequency: 3         
Term: 17                             Term Frequency: 3         
Term: 19                             Term Frequency: 3         
Term: 21                             Term Frequency: 3         
Term: 37                             Term Frequency: 3         
Term: associated                     Term Frequency: 3         
Term: relational                     Term Frequency: 3         
Term: work                           Term Frequency: 3         
Term: parameter                      Term Frequency: 3         
Term: understanding                  Term Frequency: 3         
Term: measurement                    Term Frequency: 3         
Term: representing                   Term Frequency: 3         
Term: similar                        Term Frequency: 3         
Term: mapping                        Term Frequency: 3         
Term: indicates                      Term Frequency: 3         
Term: bridging                       Term Frequency: 3         
Term: adjacent                       Term Frequency: 3         
Term: another                        Term Frequency: 3         
Term: timestamp                      Term Frequency: 3         
Term: when                           Term Frequency: 3         
Term: differences                    Term Frequency: 3         
Term: organization                   Term Frequency: 3         
Term: who                            Term Frequency: 3         
Term: approaches                     Term Frequency: 3         
Term: co                             Term Frequency: 3         
Term: observe                        Term Frequency: 3         
Term: id                             Term Frequency: 3         
Term: occurrence                     Term Frequency: 3         
Term: generally                      Term Frequency: 3         
Term: while                          Term Frequency: 3         
Term: node                           Term Frequency: 3         
Term: wide                           Term Frequency: 3         
Term: method                         Term Frequency: 3         
Term: exist                          Term Frequency: 3         
Term: help                           Term Frequency: 3         
Term: like                           Term Frequency: 3         
Term: techniques                     Term Frequency: 3         
Term: indicating                     Term Frequency: 3         
Term: found                          Term Frequency: 3         
Term: small                          Term Frequency: 3         
Term: values                         Term Frequency: 3         
Term: relatively                     Term Frequency: 3         
Term: additional                     Term Frequency: 3         
Term: calculated                     Term Frequency: 3         
Term: herein                         Term Frequency: 3         
Term: sequential                     Term Frequency: 3         
Term: space                          Term Frequency: 3         
Term: posted                         Term Frequency: 3         
Term: post                           Term Frequency: 3         
Term: identify                       Term Frequency: 3         
Term: distributed                    Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: detection                      Term Frequency: 3         
Term: spaces                         Term Frequency: 3         
Term: parameters                     Term Frequency: 3         
Term: see                            Term Frequency: 3         
Term: different                      Term Frequency: 3         
Term: level                          Term Frequency: 3         
Term: scores                         Term Frequency: 3         
Term: files                          Term Frequency: 3         
Term: turn                           Term Frequency: 2         
Term: example                        Term Frequency: 2         
Term: same                           Term Frequency: 2         
Term: after                          Term Frequency: 2         
Term: connect                        Term Frequency: 2         
Term: visualizing                    Term Frequency: 2         
Term: x                              Term Frequency: 2         
Term: provided                       Term Frequency: 2         
Term: e.g                            Term Frequency: 2         
Term: 2.0                            Term Frequency: 2         
Term: constraint                     Term Frequency: 2         
Term: employed                       Term Frequency: 2         
Term: including                      Term Frequency: 2         
Term: 215                            Term Frequency: 2         
Term: cluster                        Term Frequency: 2         
Term: does                           Term Frequency: 2         
Term: participant                    Term Frequency: 2         
Term: overall                        Term Frequency: 2         
Term: measured                       Term Frequency: 2         
Term: 96822                          Term Frequency: 2         
Term: particular                     Term Frequency: 2         
Term: methodology                    Term Frequency: 2         
Term: relative                       Term Frequency: 2         
Term: human                          Term Frequency: 2         
Term: visualizations                 Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: weights                        Term Frequency: 2         
Term: lists                          Term Frequency: 2         
Term: included                       Term Frequency: 2         
Term: meaning                        Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: 18                             Term Frequency: 2         
Term: unique                         Term Frequency: 2         
Term: 20                             Term Frequency: 2         
Term: 22                             Term Frequency: 2         
Term: shared                         Term Frequency: 2         
Term: long                           Term Frequency: 2         
Term: 40                             Term Frequency: 2         
Term: 42                             Term Frequency: 2         
Term: 44                             Term Frequency: 2         
Term: maps                           Term Frequency: 2         
Term: dense                          Term Frequency: 2         
Term: relation                       Term Frequency: 2         
Term: theory                         Term Frequency: 2         
Term: across                         Term Frequency: 2         
Term: include                        Term Frequency: 2         
Term: capture                        Term Frequency: 2         
Term: cloaked                        Term Frequency: 2         
Term: demographics                   Term Frequency: 2         
Term: visual                         Term Frequency: 2         
Term: version                        Term Frequency: 2         
Term: contains                       Term Frequency: 2         
Term: evidence                       Term Frequency: 2         
Term: need                           Term Frequency: 2         
Term: volume                         Term Frequency: 2         
Term: loosened                       Term Frequency: 2         
Term: adjacency                      Term Frequency: 2         
Term: relevance                      Term Frequency: 2         
Term: cell                           Term Frequency: 2         
Term: stored                         Term Frequency: 2         
Term: etc                            Term Frequency: 2         
Term: elaboration                    Term Frequency: 2         
Term: students                       Term Frequency: 2         
Term: supported                      Term Frequency: 2         
Term: central                        Term Frequency: 2         
Term: way                            Term Frequency: 2         
Term: direct                         Term Frequency: 2         
Term: explore                        Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: section                        Term Frequency: 2         
Term: addition                       Term Frequency: 2         
Term: do                             Term Frequency: 2         
Term: identifying                    Term Frequency: 2         
Term: plot                           Term Frequency: 2         
Term: class                          Term Frequency: 2         
Term: practice                       Term Frequency: 2         
Term: relationships                  Term Frequency: 2         
Term: context                        Term Frequency: 2         
Term: traditional                    Term Frequency: 2         
Term: ability                        Term Frequency: 2         
Term: complete                       Term Frequency: 2         
Term: asymmetrical                   Term Frequency: 2         
Term: pp                             Term Frequency: 2         
Term: decentralized                  Term Frequency: 2         
Term: activity                       Term Frequency: 2         
Term: clique                         Term Frequency: 2         
Term: extract                        Term Frequency: 2         
Term: support                        Term Frequency: 2         
Term: we                             Term Frequency: 2         
Term: life                           Term Frequency: 2         
Term: connection                     Term Frequency: 2         
Term: here                           Term Frequency: 2         
Term: link                           Term Frequency: 2         
Term: scale                          Term Frequency: 2         
Term: without                        Term Frequency: 2         
Term: thus                           Term Frequency: 2         
Term: much                           Term Frequency: 2         
Term: considered                     Term Frequency: 2         
Term: entire                         Term Frequency: 2         
Term: classroom                      Term Frequency: 2         
Term: analyze                        Term Frequency: 2         
Term: framework                      Term Frequency: 2         
Term: earlier                        Term Frequency: 2         
Term: applications                   Term Frequency: 2         
Term: identified                     Term Frequency: 2         
Term: ways                           Term Frequency: 2         
Term: reciprocity                    Term Frequency: 2         
Term: clear                          Term Frequency: 2         
Term: qualitative                    Term Frequency: 2         
Term: how                            Term Frequency: 2         
Term: meet                           Term Frequency: 2         
Term: session                        Term Frequency: 2         
Term: 2011                           Term Frequency: 2         
Term: 2010                           Term Frequency: 2         
Term: 2009                           Term Frequency: 2         
Term: 2005                           Term Frequency: 2         
Term: action                         Term Frequency: 2         
Term: spatial                        Term Frequency: 2         
Term: file                           Term Frequency: 2         
Term: strengths                      Term Frequency: 2         
Term: hour                           Term Frequency: 2         
Term: contribution                   Term Frequency: 2         
Term: revealing                      Term Frequency: 2         
Term: indeed                         Term Frequency: 2         
Term: artificial                     Term Frequency: 2         
Term: comment                        Term Frequency: 2         
Term: interact                       Term Frequency: 2         
Term: 1680                           Term Frequency: 2         
Term: threaded                       Term Frequency: 2         
Term: 808                            Term Frequency: 2         
Term: textual                        Term Frequency: 2         
Term: parsed                         Term Frequency: 2         
Term: username                       Term Frequency: 2         
Term: variation                      Term Frequency: 2         
Term: utterance                      Term Frequency: 2         
Term: future                         Term Frequency: 2         
Term: relations                      Term Frequency: 2         
Term: either                         Term Frequency: 2         
Term: difficulty                     Term Frequency: 2         
Term: distance                       Term Frequency: 2         
Term: interfaces                     Term Frequency: 2         
Term: case                           Term Frequency: 2         
Term: package                        Term Frequency: 2         
Term: important                      Term Frequency: 2         
Term: most                           Term Frequency: 2         
Term: amount                         Term Frequency: 2         
Term: organizations                  Term Frequency: 2         
Term: userid                         Term Frequency: 2         
Term: offer                          Term Frequency: 2         
Term: offered                        Term Frequency: 2         
Term: subsequent                     Term Frequency: 2         
Term: rooms                          Term Frequency: 2         
Term: 956                            Term Frequency: 2         
Term: typically                      Term Frequency: 2         
Term: little                         Term Frequency: 2         
Term: views                          Term Frequency: 2         
Term: directed                       Term Frequency: 2         
Term: subset                         Term Frequency: 2         
Term: elaborate                      Term Frequency: 2         
Term: select                         Term Frequency: 2         
Term: messaging                      Term Frequency: 2         
Term: expressed                      Term Frequency: 2         
Term: interesting                    Term Frequency: 2         
Term: 120                            Term Frequency: 2         
Term: available                      Term Frequency: 2         
Term: pairs                          Term Frequency: 2         
Term: higher                         Term Frequency: 2         
Term: successful                     Term Frequency: 2         
Term: seconds                        Term Frequency: 2         
Term: elements                       Term Frequency: 2         
Term: should                         Term Frequency: 2         
Term: timestamps                     Term Frequency: 2         
Term: informal                       Term Frequency: 2         
Term: interacting                    Term Frequency: 1         
Term: applies                        Term Frequency: 1         
Term: size                           Term Frequency: 1         
Term: extracts                       Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: postings                       Term Frequency: 1         
Term: policy                         Term Frequency: 1         
Term: violating                      Term Frequency: 1         
Term: wikis                          Term Frequency: 1         
Term: tie                            Term Frequency: 1         
Term: implement                      Term Frequency: 1         
Term: sparse                         Term Frequency: 1         
Term: flows                          Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: multiple                       Term Frequency: 1         
Term: taking                         Term Frequency: 1         
Term: illustrates                    Term Frequency: 1         
Term: 1057                           Term Frequency: 1         
Term: granularity                    Term Frequency: 1         
Term: 4.702                          Term Frequency: 1         
Term: top                            Term Frequency: 1         
Term: implications                   Term Frequency: 1         
Term: question                       Term Frequency: 1         
Term: produce                        Term Frequency: 1         
Term: 2.2                            Term Frequency: 1         
Term: 2.3                            Term Frequency: 1         
Term: arrows                         Term Frequency: 1         
Term: translated                     Term Frequency: 1         
Term: function                       Term Frequency: 1         
Term: quite                          Term Frequency: 1         
Term: cliques                        Term Frequency: 1         
Term: less                           Term Frequency: 1         
Term: institutions                   Term Frequency: 1         
Term: structurally                   Term Frequency: 1         
Term: became                         Term Frequency: 1         
Term: technique                      Term Frequency: 1         
Term: 1.018                          Term Frequency: 1         
Term: teacher                        Term Frequency: 1         
Term: quantitative                   Term Frequency: 1         
Term: respond                        Term Frequency: 1         
Term: neuron                         Term Frequency: 1         
Term: 3.48                           Term Frequency: 1         
Term: 239                            Term Frequency: 1         
Term: defined                        Term Frequency: 1         
Term: principle                      Term Frequency: 1         
Term: 3.86                           Term Frequency: 1         
Term: 274                            Term Frequency: 1         
Term: 285                            Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: assume                         Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: concept                        Term Frequency: 1         
Term: aspects                        Term Frequency: 1         
Term: 299                            Term Frequency: 1         
Term: pair                           Term Frequency: 1         
Term: manage                         Term Frequency: 1         
Term: equal                          Term Frequency: 1         
Term: short                          Term Frequency: 1         
Term: interactive                    Term Frequency: 1         
Term: 1979                           Term Frequency: 1         
Term: provide                        Term Frequency: 1         
Term: 1981                           Term Frequency: 1         
Term: centralities                   Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: log                            Term Frequency: 1         
Term: 1996                           Term Frequency: 1         
Term: 1994                           Term Frequency: 1         
Term: low                            Term Frequency: 1         
Term: 1993                           Term Frequency: 1         
Term: 1992                           Term Frequency: 1         
Term: 1999                           Term Frequency: 1         
Term: 2.2.4                          Term Frequency: 1         
Term: 2.2.2                          Term Frequency: 1         
Term: 2.2.3                          Term Frequency: 1         
Term: 2.2.1                          Term Frequency: 1         
Term: newsgroups                     Term Frequency: 1         
Term: 134concerning                  Term Frequency: 1         
Term: 3.448                          Term Frequency: 1         
Term: pointing                       Term Frequency: 1         
Term: migrated                       Term Frequency: 1         
Term: obtain                         Term Frequency: 1         
Term: formal                         Term Frequency: 1         
Term: perceived                      Term Frequency: 1         
Term: ethnographic                   Term Frequency: 1         
Term: boards                         Term Frequency: 1         
Term: seeking                        Term Frequency: 1         
Term: further                        Term Frequency: 1         
Term: pass                           Term Frequency: 1         
Term: past                           Term Frequency: 1         
Term: 1.123                          Term Frequency: 1         
Term: 0943147                        Term Frequency: 1         
Term: choosing                       Term Frequency: 1         
Term: paired                         Term Frequency: 1         
Term: faculty                        Term Frequency: 1         
Term: boundaries                     Term Frequency: 1         
Term: month                          Term Frequency: 1         
Term: rather                         Term Frequency: 1         
Term: cohort                         Term Frequency: 1         
Term: papers                         Term Frequency: 1         
Term: communicators                  Term Frequency: 1         
Term: interpret                      Term Frequency: 1         
Term: articles                       Term Frequency: 1         
Term: 1.192                          Term Frequency: 1         
Term: usually                        Term Frequency: 1         
Term: whereas                        Term Frequency: 1         
Term: agendas                        Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: sense                          Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: evaluate                       Term Frequency: 1         
Term: stamp                          Term Frequency: 1         
Term: map                            Term Frequency: 1         
Term: lacks                          Term Frequency: 1         
Term: 1.153                          Term Frequency: 1         
Term: motivated                      Term Frequency: 1         
Term: ideas                          Term Frequency: 1         
Term: includes                       Term Frequency: 1         
Term: becomes                        Term Frequency: 1         
Term: 1.162                          Term Frequency: 1         
Term: paradigm                       Term Frequency: 1         
Term: physical                       Term Frequency: 1         
Term: make                           Term Frequency: 1         
Term: newsgroup                      Term Frequency: 1         
Term: due                            Term Frequency: 1         
Term: clustering                     Term Frequency: 1         
Term: properties                     Term Frequency: 1         
Term: 02                             Term Frequency: 1         
Term: interpreting                   Term Frequency: 1         
Term: about                          Term Frequency: 1         
Term: parsing                        Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: interpretations                Term Frequency: 1         
Term: boxes                          Term Frequency: 1         
Term: invent                         Term Frequency: 1         
Term: highest                        Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: worlds                         Term Frequency: 1         
Term: industry                       Term Frequency: 1         
Term: 1st                            Term Frequency: 1         
Term: examined                       Term Frequency: 1         
Term: 32                             Term Frequency: 1         
Term: appear                         Term Frequency: 1         
Term: 41                             Term Frequency: 1         
Term: 43                             Term Frequency: 1         
Term: neurons                        Term Frequency: 1         
Term: associating                    Term Frequency: 1         
Term: displaying                     Term Frequency: 1         
Term: 55                             Term Frequency: 1         
Term: 56                             Term Frequency: 1         
Term: 58                             Term Frequency: 1         
Term: adapts                         Term Frequency: 1         
Term: user’s                         Term Frequency: 1         
Term: bridges                        Term Frequency: 1         
Term: 60                             Term Frequency: 1         
Term: 62                             Term Frequency: 1         
Term: 63                             Term Frequency: 1         
Term: common                         Term Frequency: 1         
Term: interest                       Term Frequency: 1         
Term: 73                             Term Frequency: 1         
Term: 10.00                          Term Frequency: 1         
Term: recently                       Term Frequency: 1         
Term: operationalize                 Term Frequency: 1         
Term: 80                             Term Frequency: 1         
Term: 0.705                          Term Frequency: 1         
Term: 1997b                          Term Frequency: 1         
Term: 1997a                          Term Frequency: 1         
Term: 92                             Term Frequency: 1         
Term: linking                        Term Frequency: 1         
Term: exists                         Term Frequency: 1         
Term: temporally                     Term Frequency: 1         
Term: 25.462                         Term Frequency: 1         
Term: 6.372                          Term Frequency: 1         
Term: exploration                    Term Frequency: 1         
Term: sequence                       Term Frequency: 1         
Term: 1.927                          Term Frequency: 1         
Term: insure                         Term Frequency: 1         
Term: 46.20                          Term Frequency: 1         
Term: abbreviations                  Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: moving                         Term Frequency: 1         
Term: 1.249                          Term Frequency: 1         
Term: utility                        Term Frequency: 1         
Term: learn                          Term Frequency: 1         
Term: assessment                     Term Frequency: 1         
Term: assigns                        Term Frequency: 1         
Term: materials                      Term Frequency: 1         
Term: useful                         Term Frequency: 1         
Term: engine                         Term Frequency: 1         
Term: agencies                       Term Frequency: 1         
Term: 4.1                            Term Frequency: 1         
Term: 4.2                            Term Frequency: 1         
Term: achieved                       Term Frequency: 1         
Term: called                         Term Frequency: 1         
Term: connectedness                  Term Frequency: 1         
Term: partnership                    Term Frequency: 1         
Term: thousands                      Term Frequency: 1         
Term: 136explicitly                  Term Frequency: 1         
Term: indicated                      Term Frequency: 1         
Term: representations                Term Frequency: 1         
Term: share                          Term Frequency: 1         
Term: regularities                   Term Frequency: 1         
Term: tool                           Term Frequency: 1         
Term: typing                         Term Frequency: 1         
Term: influenced                     Term Frequency: 1         
Term: media                          Term Frequency: 1         
Term: conceptualizing                Term Frequency: 1         
Term: 1.255                          Term Frequency: 1         
Term: abstraction                    Term Frequency: 1         
Term: plots                          Term Frequency: 1         
Term: maintain                       Term Frequency: 1         
Term: hurdles                        Term Frequency: 1         
Term: cache                          Term Frequency: 1         
Term: remain                         Term Frequency: 1         
Term: automatically                  Term Frequency: 1         
Term: advancements                   Term Frequency: 1         
Term: departs                        Term Frequency: 1         
Term: scaling                        Term Frequency: 1         
Term: structures                     Term Frequency: 1         
Term: 7420miagkikh                   Term Frequency: 1         
Term: sharing                        Term Frequency: 1         
Term: contextual                     Term Frequency: 1         
Term: issues                         Term Frequency: 1         
Term: logged                         Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: levels                         Term Frequency: 1         
Term: indicator                      Term Frequency: 1         
Term: produced                       Term Frequency: 1         
Term: effects                        Term Frequency: 1         
Term: conventions                    Term Frequency: 1         
Term: explication                    Term Frequency: 1         
Term: necessarily                    Term Frequency: 1         
Term: parallel                       Term Frequency: 1         
Term: designed                       Term Frequency: 1         
Term: various                        Term Frequency: 1         
Term: approached                     Term Frequency: 1         
Term: investigated                   Term Frequency: 1         
Term: al                             Term Frequency: 1         
Term: looking                        Term Frequency: 1         
Term: formed                         Term Frequency: 1         
Term: geodesics                      Term Frequency: 1         
Term: ordering                       Term Frequency: 1         
Term: 1.336                          Term Frequency: 1         
Term: actor                          Term Frequency: 1         
Term: mentors                        Term Frequency: 1         
Term: decipher                       Term Frequency: 1         
Term: language                       Term Frequency: 1         
Term: needs                          Term Frequency: 1         
Term: et                             Term Frequency: 1         
Term: 5.3                            Term Frequency: 1         
Term: terminology                    Term Frequency: 1         
Term: teachers                       Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: go                             Term Frequency: 1         
Term: 1.308                          Term Frequency: 1         
Term: straightforward                Term Frequency: 1         
Term: dendograms                     Term Frequency: 1         
Term: appeared                       Term Frequency: 1         
Term: likely                         Term Frequency: 1         
Term: equals                         Term Frequency: 1         
Term: linkages                       Term Frequency: 1         
Term: 42.783                         Term Frequency: 1         
Term: faster                         Term Frequency: 1         
Term: limit                          Term Frequency: 1         
Term: chosen                         Term Frequency: 1         
Term: student                        Term Frequency: 1         
Term: storage                        Term Frequency: 1         
Term: positioned                     Term Frequency: 1         
Term: determine                      Term Frequency: 1         
Term: perspectives                   Term Frequency: 1         
Term: 35.314                         Term Frequency: 1         
Term: estimate                       Term Frequency: 1         
Term: concepts                       Term Frequency: 1         
Term: bridge                         Term Frequency: 1         
Term: discovered                     Term Frequency: 1         
Term: seen                           Term Frequency: 1         
Term: email                          Term Frequency: 1         
Term: single                         Term Frequency: 1         
Term: undergraduate                  Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: separate                       Term Frequency: 1         
Term: capturing                      Term Frequency: 1         
Term: slight                         Term Frequency: 1         
Term: software                       Term Frequency: 1         
Term: anonymized                     Term Frequency: 1         
Term: competition                    Term Frequency: 1         
Term: type                           Term Frequency: 1         
Term: displays                       Term Frequency: 1         
Term: problem                        Term Frequency: 1         
Term: researcher                     Term Frequency: 1         
Term: insight                        Term Frequency: 1         
Term: distribution                   Term Frequency: 1         
Term: tools                          Term Frequency: 1         
Term: labeling                       Term Frequency: 1         
Term: get                            Term Frequency: 1         
Term: copy                           Term Frequency: 1         
Term: explicated                     Term Frequency: 1         
Term: power                          Term Frequency: 1         
Term: outweighing                    Term Frequency: 1         
Term: depth                          Term Frequency: 1         
Term: 0.903                          Term Frequency: 1         
Term: create                         Term Frequency: 1         
Term: resource                       Term Frequency: 1         
Term: elaborates                     Term Frequency: 1         
Term: core                           Term Frequency: 1         
Term: proposed                       Term Frequency: 1         
Term: purposes                       Term Frequency: 1         
Term: 0.921                          Term Frequency: 1         
Term: 4.104                          Term Frequency: 1         
Term: servers                        Term Frequency: 1         
Term: 0.919                          Term Frequency: 1         
Term: implementation                 Term Frequency: 1         
Term: questionnaires                 Term Frequency: 1         
Term: conversational                 Term Frequency: 1         
Term: introduces                     Term Frequency: 1         
Term: 1.478                          Term Frequency: 1         
Term: persistent                     Term Frequency: 1         
Term: avatars                        Term Frequency: 1         
Term: organizational                 Term Frequency: 1         
Term: i.e                            Term Frequency: 1         
