Term: we                             Term Frequency: 71        
Term: subjective                     Term Frequency: 6         
Term: significant                    Term Frequency: 6         
Term: individual                     Term Frequency: 6         
Term: person                         Term Frequency: 6         
Term: 9                              Term Frequency: 5         
Term: analytics                      Term Frequency: 5         
Term: provided                       Term Frequency: 5         
Term: con                            Term Frequency: 5         
Term: initial                        Term Frequency: 5         
Term: did                            Term Frequency: 5         
Term: computationally                Term Frequency: 5         
Term: new                            Term Frequency: 5         
Term: pronoun                        Term Frequency: 5         
Term: when                           Term Frequency: 5         
Term: language                       Term Frequency: 5         
Term: us                             Term Frequency: 5         
Term: distribution                   Term Frequency: 5         
Term: like                           Term Frequency: 5         
Term: even                           Term Frequency: 5         
Term: has                            Term Frequency: 5         
Term: tion                           Term Frequency: 5         
Term: been                           Term Frequency: 5         
Term: some                           Term Frequency: 5         
Term: wings                          Term Frequency: 5         
Term: value                          Term Frequency: 5         
Term: its                            Term Frequency: 5         
Term: implemented                    Term Frequency: 5         
Term: using                          Term Frequency: 5         
Term: original                       Term Frequency: 5         
Term: over                           Term Frequency: 5         
Term: split                          Term Frequency: 5         
Term: only                           Term Frequency: 5         
Term: 6                              Term Frequency: 4         
Term: k                              Term Frequency: 4         
Term: well                           Term Frequency: 4         
Term: less                           Term Frequency: 4         
Term: part                           Term Frequency: 4         
Term: record                         Term Frequency: 4         
Term: penguin                        Term Frequency: 4         
Term: final                          Term Frequency: 4         
Term: due                            Term Frequency: 4         
Term: 12                             Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: recontextualised               Term Frequency: 4         
Term: whole                          Term Frequency: 4         
Term: useful                         Term Frequency: 4         
Term: ofthe                          Term Frequency: 4         
Term: models                         Term Frequency: 4         
Term: resulted                       Term Frequency: 4         
Term: research                       Term Frequency: 4         
Term: extent                         Term Frequency: 4         
Term: very                           Term Frequency: 4         
Term: likely                         Term Frequency: 4         
Term: than                           Term Frequency: 4         
Term: author                         Term Frequency: 4         
Term: singular                       Term Frequency: 4         
Term: without                        Term Frequency: 4         
Term: doesn’t                        Term Frequency: 4         
Term: pro                            Term Frequency: 4         
Term: time                           Term Frequency: 4         
Term: anomalous                      Term Frequency: 4         
Term: potential                      Term Frequency: 4         
Term: classify                       Term Frequency: 4         
Term: how                            Term Frequency: 4         
Term: reflec                         Term Frequency: 4         
Term: distributions                  Term Frequency: 4         
Term: goingok                        Term Frequency: 4         
Term: within                         Term Frequency: 4         
Term: calculated                     Term Frequency: 4         
Term: selected                       Term Frequency: 4         
Term: swims                          Term Frequency: 4         
Term: identify                       Term Frequency: 4         
Term: recorded                       Term Frequency: 4         
Term: number                         Term Frequency: 4         
Term: satisfaction                   Term Frequency: 4         
Term: read                           Term Frequency: 4         
Term: affective                      Term Frequency: 4         
Term: both                           Term Frequency: 4         
Term: related                        Term Frequency: 4         
Term: sentence                       Term Frequency: 4         
Term: high                           Term Frequency: 4         
Term: relevant                       Term Frequency: 4         
Term: key                            Term Frequency: 4         
Term: contexts                       Term Frequency: 4         
Term: written                        Term Frequency: 4         
Term: require                        Term Frequency: 3         
Term: example                        Term Frequency: 3         
Term: same                           Term Frequency: 3         
Term: applied                        Term Frequency: 3         
Term: inthe                          Term Frequency: 3         
Term: anal                           Term Frequency: 3         
Term: com                            Term Frequency: 3         
Term: including                      Term Frequency: 3         
Term: each                           Term Frequency: 3         
Term: computer                       Term Frequency: 3         
Term: third                          Term Frequency: 3         
Term: further                        Term Frequency: 3         
Term: classification                 Term Frequency: 3         
Term: 10                             Term Frequency: 3         
Term: 11                             Term Frequency: 3         
Term: 13                             Term Frequency: 3         
Term: 14                             Term Frequency: 3         
Term: project                        Term Frequency: 3         
Term: flying                         Term Frequency: 3         
Term: allow                          Term Frequency: 3         
Term: science                        Term Frequency: 3         
Term: learn                          Term Frequency: 3         
Term: need                           Term Frequency: 3         
Term: users                          Term Frequency: 3         
Term: classifying                    Term Frequency: 3         
Term: tions                          Term Frequency: 3         
Term: ers                            Term Frequency: 3         
Term: non                            Term Frequency: 3         
Term: way                            Term Frequency: 3         
Term: study                          Term Frequency: 3         
Term: great                          Term Frequency: 3         
Term: fea                            Term Frequency: 3         
Term: contained                      Term Frequency: 3         
Term: significantly                  Term Frequency: 3         
Term: lies                           Term Frequency: 3         
Term: help                           Term Frequency: 3         
Term: techniques                     Term Frequency: 3         
Term: noun                           Term Frequency: 3         
Term: much                           Term Frequency: 3         
Term: analysed                       Term Frequency: 3         
Term: given                          Term Frequency: 3         
Term: measure                        Term Frequency: 3         
Term: anoma                          Term Frequency: 3         
Term: tive                           Term Frequency: 3         
Term: prior                          Term Frequency: 3         
Term: just                           Term Frequency: 3         
Term: machine                        Term Frequency: 3         
Term: difficult                      Term Frequency: 3         
Term: itself                         Term Frequency: 3         
Term: assessing                      Term Frequency: 3         
Term: finished                       Term Frequency: 3         
Term: ing                            Term Frequency: 3         
Term: weeks                          Term Frequency: 3         
Term: trials                         Term Frequency: 3         
Term: truth                          Term Frequency: 3         
Term: future                         Term Frequency: 3         
Term: points                         Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: any                            Term Frequency: 3         
Term: identification                 Term Frequency: 3         
Term: through                        Term Frequency: 3         
Term: assignment                     Term Frequency: 3         
Term: parts                          Term Frequency: 3         
Term: nature                         Term Frequency: 3         
Term: counts                         Term Frequency: 3         
Term: objective                      Term Frequency: 3         
Term: records                        Term Frequency: 3         
Term: 0                              Term Frequency: 2         
Term: 7                              Term Frequency: 2         
Term: 8                              Term Frequency: 2         
Term: good                           Term Frequency: 2         
Term: making                         Term Frequency: 2         
Term: expanded                       Term Frequency: 2         
Term: anomalousdata                  Term Frequency: 2         
Term: better                         Term Frequency: 2         
Term: went                           Term Frequency: 2         
Term: binary                         Term Frequency: 2         
Term: agroup                         Term Frequency: 2         
Term: proba                          Term Frequency: 2         
Term: two                            Term Frequency: 2         
Term: humour                         Term Frequency: 2         
Term: speech                         Term Frequency: 2         
Term: dataset                        Term Frequency: 2         
Term: full                           Term Frequency: 2         
Term: aspects                        Term Frequency: 2         
Term: tribution                      Term Frequency: 2         
Term: required                       Term Frequency: 2         
Term: provide                        Term Frequency: 2         
Term: requires                       Term Frequency: 2         
Term: primary                        Term Frequency: 2         
Term: elling                         Term Frequency: 2         
Term: day                            Term Frequency: 2         
Term: created                        Term Frequency: 2         
Term: tend                           Term Frequency: 2         
Term: retrieval                      Term Frequency: 2         
Term: recon                          Term Frequency: 2         
Term: going                          Term Frequency: 2         
Term: easy                           Term Frequency: 2         
Term: length                         Term Frequency: 2         
Term: balance                        Term Frequency: 2         
Term: made                           Term Frequency: 2         
Term: sense                          Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: semantic                       Term Frequency: 2         
Term: may                            Term Frequency: 2         
Term: feel                           Term Frequency: 2         
Term: above                          Term Frequency: 2         
Term: 16                             Term Frequency: 2         
Term: 21                             Term Frequency: 2         
Term: 22                             Term Frequency: 2         
Term: 23                             Term Frequency: 2         
Term: 24                             Term Frequency: 2         
Term: 27                             Term Frequency: 2         
Term: don’t                          Term Frequency: 2         
Term: mix                            Term Frequency: 2         
Term: 32                             Term Frequency: 2         
Term: middle                         Term Frequency: 2         
Term: many                           Term Frequency: 2         
Term: texts                          Term Frequency: 2         
Term: 65                             Term Frequency: 2         
Term: separated                      Term Frequency: 2         
Term: step                           Term Frequency: 2         
Term: mod                            Term Frequency: 2         
Term: didn’t                         Term Frequency: 2         
Term: still                          Term Frequency: 2         
Term: across                         Term Frequency: 2         
Term: minimisation                   Term Frequency: 2         
Term: senseof                        Term Frequency: 2         
Term: because                        Term Frequency: 2         
Term: least                          Term Frequency: 2         
Term: polarity                       Term Frequency: 2         
Term: tures                          Term Frequency: 2         
Term: noted                          Term Frequency: 2         
Term: supervised                     Term Frequency: 2         
Term: detected                       Term Frequency: 2         
Term: tone                           Term Frequency: 2         
Term: complementarycontext           Term Frequency: 2         
Term: around                         Term Frequency: 2         
Term: summarised                     Term Frequency: 2         
Term: specific                       Term Frequency: 2         
Term: sensemaking                    Term Frequency: 2         
Term: wanted                         Term Frequency: 2         
Term: another                        Term Frequency: 2         
Term: sarcasm                        Term Frequency: 2         
Term: recontextualisation            Term Frequency: 2         
Term: timent                         Term Frequency: 2         
Term: what                           Term Frequency: 2         
Term: useof                          Term Frequency: 2         
Term: textualised                    Term Frequency: 2         
Term: explore                        Term Frequency: 2         
Term: certain                        Term Frequency: 2         
Term: exceptions                     Term Frequency: 2         
Term: various                        Term Frequency: 2         
Term: evaluated                      Term Frequency: 2         
Term: looking                        Term Frequency: 2         
Term: do                             Term Frequency: 2         
Term: ex                             Term Frequency: 2         
Term: bility                         Term Frequency: 2         
Term: practice                       Term Frequency: 2         
Term: im                             Term Frequency: 2         
Term: ability                        Term Frequency: 2         
Term: generally                      Term Frequency: 2         
Term: second                         Term Frequency: 2         
Term: my                             Term Frequency: 2         
Term: student                        Term Frequency: 2         
Term: allows                         Term Frequency: 2         
Term: determine                      Term Frequency: 2         
Term: conference                     Term Frequency: 2         
Term: seen                           Term Frequency: 2         
Term: necessary                      Term Frequency: 2         
Term: up                             Term Frequency: 2         
Term: similarity                     Term Frequency: 2         
Term: reading                        Term Frequency: 2         
Term: held                           Term Frequency: 2         
Term: terms                          Term Frequency: 2         
Term: oth                            Term Frequency: 2         
Term: tools                          Term Frequency: 2         
Term: development                    Term Frequency: 2         
Term: challenges                     Term Frequency: 2         
Term: thesame                        Term Frequency: 2         
Term: standard                       Term Frequency: 2         
Term: lack                           Term Frequency: 2         
Term: perform                        Term Frequency: 2         
Term: assumed                        Term Frequency: 2         
Term: it’s                           Term Frequency: 2         
Term: despite                        Term Frequency: 2         
Term: meeting                        Term Frequency: 2         
Term: recontextualising              Term Frequency: 2         
Term: thatthe                        Term Frequency: 2         
Term: difference                     Term Frequency: 2         
Term: found                          Term Frequency: 2         
Term: pos                            Term Frequency: 2         
Term: pre                            Term Frequency: 2         
Term: plural                         Term Frequency: 2         
Term: typical                        Term Frequency: 2         
Term: linguistic                     Term Frequency: 2         
Term: consider                       Term Frequency: 2         
Term: dimension                      Term Frequency: 2         
Term: alternative                    Term Frequency: 2         
Term: knowledge                      Term Frequency: 2         
Term: infor                          Term Frequency: 2         
Term: promise                        Term Frequency: 2         
Term: count                          Term Frequency: 2         
Term: additional                     Term Frequency: 2         
Term: 2009                           Term Frequency: 2         
Term: 2008                           Term Frequency: 2         
Term: 2004                           Term Frequency: 2         
Term: 2003                           Term Frequency: 2         
Term: topics                         Term Frequency: 2         
Term: accommodating                  Term Frequency: 2         
Term: steps                          Term Frequency: 2         
Term: position                       Term Frequency: 2         
Term: sentiment                      Term Frequency: 2         
Term: reflectionpoint                Term Frequency: 2         
Term: temporal                       Term Frequency: 2         
Term: something                      Term Frequency: 2         
Term: fact                           Term Frequency: 2         
Term: ratio                          Term Frequency: 2         
Term: characteristics                Term Frequency: 2         
Term: membership                     Term Frequency: 2         
Term: close                          Term Frequency: 2         
Term: educational                    Term Frequency: 2         
Term: journals                       Term Frequency: 2         
Term: likelihood                     Term Frequency: 2         
Term: application                    Term Frequency: 2         
Term: annual                         Term Frequency: 2         
Term: where                          Term Frequency: 2         
Term: run                            Term Frequency: 2         
Term: either                         Term Frequency: 2         
Term: unbalanced                     Term Frequency: 2         
Term: leaving                        Term Frequency: 2         
Term: ally                           Term Frequency: 2         
Term: learner                        Term Frequency: 2         
Term: collected                      Term Frequency: 2         
Term: style                          Term Frequency: 2         
Term: theanomaly                     Term Frequency: 2         
Term: important                      Term Frequency: 2         
Term: most                           Term Frequency: 2         
Term: extracted                      Term Frequency: 2         
Term: personal                       Term Frequency: 2         
Term: see                            Term Frequency: 2         
Term: indicate                       Term Frequency: 2         
Term: sen                            Term Frequency: 2         
Term: supervision                    Term Frequency: 2         
Term: world                          Term Frequency: 2         
Term: reviewed                       Term Frequency: 2         
Term: utilised                       Term Frequency: 2         
Term: total                          Term Frequency: 2         
Term: ysis                           Term Frequency: 2         
Term: frequency                      Term Frequency: 2         
Term: doing                          Term Frequency: 2         
Term: types                          Term Frequency: 2         
Term: range                          Term Frequency: 2         
Term: assess                         Term Frequency: 2         
Term: personsingular                 Term Frequency: 2         
Term: should                         Term Frequency: 2         
Term: thedata                        Term Frequency: 1         
Term: successfully                   Term Frequency: 1         
Term: notably                        Term Frequency: 1         
Term: somecharacteristic             Term Frequency: 1         
Term: ture                           Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: wasjust                        Term Frequency: 1         
Term: reflectionsto                  Term Frequency: 1         
Term: result                         Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: n                              Term Frequency: 1         
Term: ofan                           Term Frequency: 1         
Term: readers                        Term Frequency: 1         
Term: resolve                        Term Frequency: 1         
Term: 1022                           Term Frequency: 1         
Term: empty                          Term Frequency: 1         
Term: owntext                        Term Frequency: 1         
Term: sparse                         Term Frequency: 1         
Term: thequality                     Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: 1054                           Term Frequency: 1         
Term: ofcomplex                      Term Frequency: 1         
Term: taking                         Term Frequency: 1         
Term: satis                          Term Frequency: 1         
Term: 1059                           Term Frequency: 1         
Term: and1                           Term Frequency: 1         
Term: order                          Term Frequency: 1         
Term: analysedfor                    Term Frequency: 1         
Term: propose                        Term Frequency: 1         
Term: componentsof                   Term Frequency: 1         
Term: withthe                        Term Frequency: 1         
Term: 2001.279                       Term Frequency: 1         
Term: irony                          Term Frequency: 1         
Term: descriptivestatistics          Term Frequency: 1         
Term: honesty                        Term Frequency: 1         
Term: implications                   Term Frequency: 1         
Term: sarcastic                      Term Frequency: 1         
Term: hesnav                         Term Frequency: 1         
Term: qual                           Term Frequency: 1         
Term: communities                    Term Frequency: 1         
Term: hindering                      Term Frequency: 1         
Term: circumstances                  Term Frequency: 1         
Term: comparison                     Term Frequency: 1         
Term: 202                            Term Frequency: 1         
Term: violation                      Term Frequency: 1         
Term: effective                      Term Frequency: 1         
Term: thepromotion                   Term Frequency: 1         
Term: lengths                        Term Frequency: 1         
Term: quantitative                   Term Frequency: 1         
Term: spoken                         Term Frequency: 1         
Term: respond                        Term Frequency: 1         
Term: lem                            Term Frequency: 1         
Term: state                          Term Frequency: 1         
Term: gener                          Term Frequency: 1         
Term: opposite                       Term Frequency: 1         
Term: polarised                      Term Frequency: 1         
Term: creating                       Term Frequency: 1         
Term: drawupon                       Term Frequency: 1         
Term: distribu                       Term Frequency: 1         
Term: resultedin                     Term Frequency: 1         
Term: orstudents                     Term Frequency: 1         
Term: meric                          Term Frequency: 1         
Term: team                           Term Frequency: 1         
Term: clas                           Term Frequency: 1         
Term: source                         Term Frequency: 1         
Term: anomaliesas                    Term Frequency: 1         
Term: bias                           Term Frequency: 1         
Term: studyof                        Term Frequency: 1         
Term: involves                       Term Frequency: 1         
Term: labeled                        Term Frequency: 1         
Term: athletes                       Term Frequency: 1         
Term: develop                        Term Frequency: 1         
Term: involved                       Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: assume                         Term Frequency: 1         
Term: measuringthe                   Term Frequency: 1         
Term: concept                        Term Frequency: 1         
Term: 1951                           Term Frequency: 1         
Term: downloadtheir                  Term Frequency: 1         
Term: start                          Term Frequency: 1         
Term: equal                          Term Frequency: 1         
Term: poses2                         Term Frequency: 1         
Term: recontex                       Term Frequency: 1         
Term: theway                         Term Frequency: 1         
Term: complementary                  Term Frequency: 1         
Term: measures                       Term Frequency: 1         
Term: thecontent                     Term Frequency: 1         
Term: low                            Term Frequency: 1         
Term: 1993                           Term Frequency: 1         
Term: invarying                      Term Frequency: 1         
Term: prob                           Term Frequency: 1         
Term: postulate                      Term Frequency: 1         
Term: ficient                        Term Frequency: 1         
Term: expressingaffective            Term Frequency: 1         
Term: thelearner                     Term Frequency: 1         
Term: outlined                       Term Frequency: 1         
Term: shown                          Term Frequency: 1         
Term: obtain                         Term Frequency: 1         
Term: particular                     Term Frequency: 1         
Term: done                           Term Frequency: 1         
Term: perceived                      Term Frequency: 1         
Term: anappropriate                  Term Frequency: 1         
Term: hypothesised                   Term Frequency: 1         
Term: ease                           Term Frequency: 1         
Term: expediency                     Term Frequency: 1         
Term: theunbalanced                  Term Frequency: 1         
Term: 22nd                           Term Frequency: 1         
Term: and36                          Term Frequency: 1         
Term: someone                        Term Frequency: 1         
Term: islikely                       Term Frequency: 1         
Term: stepsthat                      Term Frequency: 1         
Term: inal                           Term Frequency: 1         
Term: majorityof                     Term Frequency: 1         
Term: average                        Term Frequency: 1         
Term: reconstructionapproach         Term Frequency: 1         
Term: acquisition                    Term Frequency: 1         
Term: lated                          Term Frequency: 1         
Term: wordand                        Term Frequency: 1         
Term: involve                        Term Frequency: 1         
Term: possible                       Term Frequency: 1         
Term: stage                          Term Frequency: 1         
Term: phrases                        Term Frequency: 1         
Term: uniqueto                       Term Frequency: 1         
Term: added                          Term Frequency: 1         
Term: dis                            Term Frequency: 1         
Term: habit                          Term Frequency: 1         
Term: tautology                      Term Frequency: 1         
Term: judgementof                    Term Frequency: 1         
Term: wedetermined                   Term Frequency: 1         
Term: classifiedall                  Term Frequency: 1         
Term: month                          Term Frequency: 1         
Term: feath                          Term Frequency: 1         
Term: andrew.gibson                  Term Frequency: 1         
Term: rather                         Term Frequency: 1         
Term: cohort                         Term Frequency: 1         
Term: worthy                         Term Frequency: 1         
Term: definedfactor                  Term Frequency: 1         
Term: permission                     Term Frequency: 1         
Term: vergence                       Term Frequency: 1         
Term: faction                        Term Frequency: 1         
Term: forfinding                     Term Frequency: 1         
Term: wasoffered                     Term Frequency: 1         
Term: fear                           Term Frequency: 1         
Term: incognitive                    Term Frequency: 1         
Term: signed                         Term Frequency: 1         
Term: yielded                        Term Frequency: 1         
Term: status                         Term Frequency: 1         
Term: anomalieswere                  Term Frequency: 1         
Term: man                            Term Frequency: 1         
Term: fect                           Term Frequency: 1         
Term: lacks                          Term Frequency: 1         
Term: computation                    Term Frequency: 1         
Term: nursing                        Term Frequency: 1         
Term: liked                          Term Frequency: 1         
Term: cuzguz                         Term Frequency: 1         
Term: imperatively                   Term Frequency: 1         
Term: ideas                          Term Frequency: 1         
Term: reflectivetexts                Term Frequency: 1         
Term: elemintate                     Term Frequency: 1         
Term: anindication                   Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: selffocused                    Term Frequency: 1         
Term: ofsoftware                     Term Frequency: 1         
Term: we’ve                          Term Frequency: 1         
Term: forpersonal                    Term Frequency: 1         
Term: opposed                        Term Frequency: 1         
Term: structure                      Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: 08                             Term Frequency: 1         
Term: constraints                    Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: 353                            Term Frequency: 1         
Term: meaning                        Term Frequency: 1         
Term: plementation                   Term Frequency: 1         
Term: interpretations                Term Frequency: 1         
Term: quality                        Term Frequency: 1         
Term: 20                             Term Frequency: 1         
Term: 25                             Term Frequency: 1         
Term: 29                             Term Frequency: 1         
Term: believe                        Term Frequency: 1         
Term: 30                             Term Frequency: 1         
Term: 33                             Term Frequency: 1         
Term: 35                             Term Frequency: 1         
Term: expression                     Term Frequency: 1         
Term: though                         Term Frequency: 1         
Term: reflectivetext                 Term Frequency: 1         
Term: systemanalysing                Term Frequency: 1         
Term: associated                     Term Frequency: 1         
Term: 42                             Term Frequency: 1         
Term: 49                             Term Frequency: 1         
Term: expressing                     Term Frequency: 1         
Term: inidvidual                     Term Frequency: 1         
Term: 50                             Term Frequency: 1         
Term: 55                             Term Frequency: 1         
Term: 57                             Term Frequency: 1         
Term: 58                             Term Frequency: 1         
Term: modelling                      Term Frequency: 1         
Term: allof                          Term Frequency: 1         
Term: leastone                       Term Frequency: 1         
Term: 60                             Term Frequency: 1         
Term: 63                             Term Frequency: 1         
Term: 64                             Term Frequency: 1         
Term: recording                      Term Frequency: 1         
Term: lotof                          Term Frequency: 1         
Term: themselves                     Term Frequency: 1         
Term: 70                             Term Frequency: 1         
Term: 73                             Term Frequency: 1         
Term: 76                             Term Frequency: 1         
Term: 77                             Term Frequency: 1         
Term: 79                             Term Frequency: 1         
Term: apply                          Term Frequency: 1         
Term: fosterreflective               Term Frequency: 1         
Term: provedcorrect                  Term Frequency: 1         
Term: 81                             Term Frequency: 1         
Term: 82                             Term Frequency: 1         
Term: 84                             Term Frequency: 1         
Term: 86                             Term Frequency: 1         
Term: insuf                          Term Frequency: 1         
Term: duplicatedrecords              Term Frequency: 1         
Term: 97                             Term Frequency: 1         
Term: textreflections                Term Frequency: 1         
Term: lose                           Term Frequency: 1         
Term: registration                   Term Frequency: 1         
Term: stated                         Term Frequency: 1         
Term: love                           Term Frequency: 1         
Term: secret                         Term Frequency: 1         
Term: variability                    Term Frequency: 1         
Term: flexibility                    Term Frequency: 1         
Term: bearthis                       Term Frequency: 1         
Term: include                        Term Frequency: 1         
Term: forthe                         Term Frequency: 1         
Term: wechose                        Term Frequency: 1         
Term: dimensions                     Term Frequency: 1         
Term: imbalance                      Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: threshold                      Term Frequency: 1         
Term: pointwould                     Term Frequency: 1         
Term: nearlya                        Term Frequency: 1         
Term: suggestionsfor                 Term Frequency: 1         
Term: 2.3.3                          Term Frequency: 1         
Term: thatdo                         Term Frequency: 1         
Term: mining                         Term Frequency: 1         
Term: withindifferent                Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: imple                          Term Frequency: 1         
Term: tobe                           Term Frequency: 1         
Term: thedegree                      Term Frequency: 1         
Term: person’s                       Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: anticipate                     Term Frequency: 1         
Term: exception                      Term Frequency: 1         
Term: year                           Term Frequency: 1         
Term: via                            Term Frequency: 1         
Term: toredistribute                 Term Frequency: 1         
Term: understanding                  Term Frequency: 1         
Term: processand                     Term Frequency: 1         
Term: agreement                      Term Frequency: 1         
Term: caneven                        Term Frequency: 1         
Term: community                      Term Frequency: 1         
Term: presentwithin                  Term Frequency: 1         
Term: utility                        Term Frequency: 1         
Term: annotation                     Term Frequency: 1         
Term: mationno                       Term Frequency: 1         
Term: quency                         Term Frequency: 1         
Term: 1249                           Term Frequency: 1         
Term: historical                     Term Frequency: 1         
Term: assessment                     Term Frequency: 1         
Term: 1257                           Term Frequency: 1         
Term: excluding                      Term Frequency: 1         
Term: whales                         Term Frequency: 1         
Term: student’s                      Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: labelthem                      Term Frequency: 1         
Term: andis                          Term Frequency: 1         
Term: precisely                      Term Frequency: 1         
Term: end                            Term Frequency: 1         
Term: needto                         Term Frequency: 1         
Term: calculatedthe                  Term Frequency: 1         
Term: swimsthen                      Term Frequency: 1         
Term: contempt                       Term Frequency: 1         
Term: called                         Term Frequency: 1         
Term: andself                        Term Frequency: 1         
Term: judge                          Term Frequency: 1         
Term: abird                          Term Frequency: 1         
Term: reflectionsthat                Term Frequency: 1         
Term: thatlearn                      Term Frequency: 1         
Term: against                        Term Frequency: 1         
Term: representations                Term Frequency: 1         
Term: remind                         Term Frequency: 1         
Term: indicates                      Term Frequency: 1         
Term: rights                         Term Frequency: 1         
Term: 3remaining                     Term Frequency: 1         
Term: cessing                        Term Frequency: 1         
Term: pages                          Term Frequency: 1         
Term: net                            Term Frequency: 1         
Term: took                           Term Frequency: 1         
Term: below                          Term Frequency: 1         
Term: withoutaltering                Term Frequency: 1         
Term: 442                            Term Frequency: 1         
Term: hypothesisthat                 Term Frequency: 1         
Term: afrequency                     Term Frequency: 1         
Term: inferrence                     Term Frequency: 1         
Term: couldbe                        Term Frequency: 1         
Term: oceanmammals                   Term Frequency: 1         
Term: mixedfeelings                  Term Frequency: 1         
Term: spurious                       Term Frequency: 1         
Term: toshare                        Term Frequency: 1         
Term: decided                        Term Frequency: 1         
Term: 278ally                        Term Frequency: 1         
Term: eye                            Term Frequency: 1         
Term: feels                          Term Frequency: 1         
Term: unbalancedresulted             Term Frequency: 1         
Term: default                        Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: structured                     Term Frequency: 1         
Term: suchas                         Term Frequency: 1         
Term: optimum                        Term Frequency: 1         
Term: trialled                       Term Frequency: 1         
Term: westill                        Term Frequency: 1         
Term: ofprogress                     Term Frequency: 1         
Term: understood                     Term Frequency: 1         
Term: orfocuses                      Term Frequency: 1         
Term: ofanomalies                    Term Frequency: 1         
Term: modifiedfor                    Term Frequency: 1         
Term: 21far                          Term Frequency: 1         
Term: imagine                        Term Frequency: 1         
Term: duplicate                      Term Frequency: 1         
Term: engineering                    Term Frequency: 1         
Term: reflectiontypical              Term Frequency: 1         
Term: unbridled                      Term Frequency: 1         
