Term: students                       Term Frequency: 92        
Term: represents                     Term Frequency: 8         
Term: group                          Term Frequency: 8         
Term: positive                       Term Frequency: 8         
Term: find                           Term Frequency: 8         
Term: red                            Term Frequency: 8         
Term: moves                          Term Frequency: 8         
Term: algorithm                      Term Frequency: 8         
Term: direction                      Term Frequency: 7         
Term: concept                        Term Frequency: 7         
Term: possible                       Term Frequency: 7         
Term: screen                         Term Frequency: 7         
Term: differences                    Term Frequency: 7         
Term: seem                           Term Frequency: 7         
Term: so                             Term Frequency: 7         
Term: questionnaire                  Term Frequency: 7         
Term: understand                     Term Frequency: 7         
Term: although                       Term Frequency: 7         
Term: pauses                         Term Frequency: 7         
Term: representations                Term Frequency: 7         
Term: research                       Term Frequency: 7         
Term: frame                          Term Frequency: 7         
Term: cognitive                      Term Frequency: 7         
Term: like                           Term Frequency: 7         
Term: line                           Term Frequency: 7         
Term: kinds                          Term Frequency: 7         
Term: environments                   Term Frequency: 7         
Term: explanations                   Term Frequency: 7         
Term: 1.00                           Term Frequency: 7         
Term: negative                       Term Frequency: 7         
Term: sensing                        Term Frequency: 7         
Term: bar                            Term Frequency: 7         
Term: tasks                          Term Frequency: 7         
Term: t                              Term Frequency: 6         
Term: make                           Term Frequency: 6         
Term: 10                             Term Frequency: 6         
Term: 20                             Term Frequency: 6         
Term: lines                          Term Frequency: 6         
Term: grained                        Term Frequency: 6         
Term: fit                            Term Frequency: 6         
Term: hierarchical                   Term Frequency: 6         
Term: than                           Term Frequency: 6         
Term: found                          Term Frequency: 6         
Term: jla                            Term Frequency: 6         
Term: however                        Term Frequency: 6         
Term: following                      Term Frequency: 6         
Term: upon                           Term Frequency: 6         
Term: associated                     Term Frequency: 6         
Term: still                          Term Frequency: 6         
Term: capture                        Term Frequency: 6         
Term: when                           Term Frequency: 6         
Term: shifts                         Term Frequency: 6         
Term: typologies                     Term Frequency: 6         
Term: cognition                      Term Frequency: 6         
Term: yellow                         Term Frequency: 6         
Term: 2017                           Term Frequency: 6         
Term: fine                           Term Frequency: 6         
Term: 10.18608                       Term Frequency: 6         
Term: package                        Term Frequency: 6         
Term: interactions                   Term Frequency: 6         
Term: increase                       Term Frequency: 6         
Term: delay                          Term Frequency: 6         
Term: she                            Term Frequency: 6         
Term: over                           Term Frequency: 6         
Term: large                          Term Frequency: 6         
Term: frequency                      Term Frequency: 6         
Term: role                           Term Frequency: 5         
Term: representation                 Term Frequency: 5         
Term: opposite                       Term Frequency: 5         
Term: short                          Term Frequency: 5         
Term: distinctive                    Term Frequency: 5         
Term: did                            Term Frequency: 5         
Term: static                         Term Frequency: 5         
Term: 14                             Term Frequency: 5         
Term: 16                             Term Frequency: 5         
Term: 18                             Term Frequency: 5         
Term: 19                             Term Frequency: 5         
Term: 21                             Term Frequency: 5         
Term: look                           Term Frequency: 5         
Term: bodily                         Term Frequency: 5         
Term: 10.1145                        Term Frequency: 5         
Term: seems                          Term Frequency: 5         
Term: environment                    Term Frequency: 5         
Term: education                      Term Frequency: 5         
Term: plots                          Term Frequency: 5         
Term: simultaneous                   Term Frequency: 5         
Term: effect                         Term Frequency: 5         
Term: elementary                     Term Frequency: 5         
Term: various                        Term Frequency: 5         
Term: simultaneously                 Term Frequency: 5         
Term: interacted                     Term Frequency: 5         
Term: us                             Term Frequency: 5         
Term: i.e                            Term Frequency: 5         
Term: thus                           Term Frequency: 5         
Term: had                            Term Frequency: 5         
Term: measure                        Term Frequency: 5         
Term: point                          Term Frequency: 5         
Term: educational                    Term Frequency: 5         
Term: control                        Term Frequency: 5         
Term: graphs                         Term Frequency: 5         
Term: interacting                    Term Frequency: 5         
Term: does                           Term Frequency: 5         
Term: log                            Term Frequency: 5         
Term: statistically                  Term Frequency: 5         
Term: physical                       Term Frequency: 5         
Term: models                         Term Frequency: 5         
Term: what                           Term Frequency: 5         
Term: very                           Term Frequency: 5         
Term: software                       Term Frequency: 5         
Term: categorical                    Term Frequency: 5         
Term: design                         Term Frequency: 5         
Term: process                        Term Frequency: 5         
Term: transition                     Term Frequency: 5         
Term: some                           Term Frequency: 5         
Term: 2016                           Term Frequency: 5         
Term: 2015                           Term Frequency: 5         
Term: during                         Term Frequency: 5         
Term: frequent                       Term Frequency: 5         
Term: therefore                      Term Frequency: 5         
Term: all                            Term Frequency: 5         
Term: case                           Term Frequency: 5         
Term: congruent                      Term Frequency: 5         
Term: hard                           Term Frequency: 4         
Term: speech                         Term Frequency: 4         
Term: required                       Term Frequency: 4         
Term: measures                       Term Frequency: 4         
Term: 13                             Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: 22                             Term Frequency: 4         
Term: 25                             Term Frequency: 4         
Term: variables                      Term Frequency: 4         
Term: 10.1146                        Term Frequency: 4         
Term: optimal                        Term Frequency: 4         
Term: via                            Term Frequency: 4         
Term: evidence                       Term Frequency: 4         
Term: student’s                      Term Frequency: 4         
Term: remains                        Term Frequency: 4         
Term: attention                      Term Frequency: 4         
Term: dissimilarity                  Term Frequency: 4         
Term: interpretation                 Term Frequency: 4         
Term: relationships                  Term Frequency: 4         
Term: context                        Term Frequency: 4         
Term: concepts                       Term Frequency: 4         
Term: previous                       Term Frequency: 4         
Term: create                         Term Frequency: 4         
Term: focus                          Term Frequency: 4         
Term: performing                     Term Frequency: 4         
Term: her                            Term Frequency: 4         
Term: before                         Term Frequency: 4         
Term: tracking                       Term Frequency: 4         
Term: based                          Term Frequency: 4         
Term: paper                          Term Frequency: 4         
Term: value                          Term Frequency: 4         
Term: points                         Term Frequency: 4         
Term: frequently                     Term Frequency: 4         
Term: 10.1007                        Term Frequency: 4         
Term: distance                       Term Frequency: 4         
Term: 10.1080                        Term Frequency: 4         
Term: dendrogram                     Term Frequency: 4         
Term: dynamic                        Term Frequency: 4         
Term: types                          Term Frequency: 4         
Term: should                         Term Frequency: 4         
Term: others                         Term Frequency: 4         
Term: lag                            Term Frequency: 4         
Term: provide                        Term Frequency: 4         
Term: experience                     Term Frequency: 4         
Term: correlate                      Term Frequency: 4         
Term: whereas                        Term Frequency: 4         
Term: map                            Term Frequency: 4         
Term: gesture                        Term Frequency: 4         
Term: vector                         Term Frequency: 4         
Term: support                        Term Frequency: 4         
Term: apparent                       Term Frequency: 4         
Term: correlated                     Term Frequency: 4         
Term: knowledge                      Term Frequency: 4         
Term: instance                       Term Frequency: 4         
Term: interact                       Term Frequency: 4         
Term: spot                           Term Frequency: 4         
Term: aim                            Term Frequency: 4         
Term: future                         Term Frequency: 4         
Term: any                            Term Frequency: 4         
Term: matching                       Term Frequency: 4         
Term: increases                      Term Frequency: 4         
Term: pattern                        Term Frequency: 4         
Term: 10.18637                       Term Frequency: 4         
Term: compared                       Term Frequency: 4         
Term: set                            Term Frequency: 4         
Term: e.g                            Term Frequency: 3         
Term: top                            Term Frequency: 3         
Term: try                            Term Frequency: 3         
Term: starts                         Term Frequency: 3         
Term: shown                          Term Frequency: 3         
Term: created                        Term Frequency: 3         
Term: tend                           Term Frequency: 3         
Term: graph                          Term Frequency: 3         
Term: made                           Term Frequency: 3         
Term: 0.81                           Term Frequency: 3         
Term: logs                           Term Frequency: 3         
Term: clustering                     Term Frequency: 3         
Term: 23                             Term Frequency: 3         
Term: 24                             Term Frequency: 3         
Term: bars                           Term Frequency: 3         
Term: eat                            Term Frequency: 3         
Term: visual                         Term Frequency: 3         
Term: least                          Term Frequency: 3         
Term: progression                    Term Frequency: 3         
Term: differently                    Term Frequency: 3         
Term: conclusion                     Term Frequency: 3         
Term: lowers                         Term Frequency: 3         
Term: presented                      Term Frequency: 3         
Term: who                            Term Frequency: 3         
Term: why                            Term Frequency: 3         
Term: addition                       Term Frequency: 3         
Term: perhaps                        Term Frequency: 3         
Term: contrary                       Term Frequency: 3         
Term: heat                           Term Frequency: 3         
Term: argue                          Term Frequency: 3         
Term: techniques                     Term Frequency: 3         
Term: observations                   Term Frequency: 3         
Term: hypothesize                    Term Frequency: 3         
Term: approach                       Term Frequency: 3         
Term: discussion                     Term Frequency: 3         
Term: populations                    Term Frequency: 3         
Term: values                         Term Frequency: 3         
Term: interviewer                    Term Frequency: 3         
Term: mean                           Term Frequency: 3         
Term: characteristic                 Term Frequency: 3         
Term: vision                         Term Frequency: 3         
Term: reflect                        Term Frequency: 3         
Term: fact                           Term Frequency: 3         
Term: according                      Term Frequency: 3         
Term: colored                        Term Frequency: 3         
Term: variation                      Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: productive                     Term Frequency: 3         
Term: learned                        Term Frequency: 3         
Term: indicate                       Term Frequency: 3         
Term: captured                       Term Frequency: 3         
Term: plays                          Term Frequency: 3         
Term: throughout                     Term Frequency: 3         
Term: technology                     Term Frequency: 3         
Term: studies                        Term Frequency: 3         
Term: example                        Term Frequency: 3         
Term: respectively                   Term Frequency: 3         
Term: equilibrium                    Term Frequency: 3         
Term: develop                        Term Frequency: 3         
Term: dominated                      Term Frequency: 3         
Term: full                           Term Frequency: 3         
Term: paid                           Term Frequency: 3         
Term: three                          Term Frequency: 3         
Term: minutes                        Term Frequency: 3         
Term: mathematics                    Term Frequency: 3         
Term: part                           Term Frequency: 3         
Term: inferences                     Term Frequency: 3         
Term: tutorials                      Term Frequency: 3         
Term: sensorimotor                   Term Frequency: 3         
Term: believe                        Term Frequency: 3         
Term: replications                   Term Frequency: 3         
Term: distances                      Term Frequency: 3         
Term: took                           Term Frequency: 3         
Term: hidden                         Term Frequency: 3         
Term: certain                        Term Frequency: 3         
Term: designed                       Term Frequency: 3         
Term: exploratory                    Term Frequency: 3         
Term: interacts                      Term Frequency: 3         
Term: lower                          Term Frequency: 3         
Term: follows                        Term Frequency: 3         
Term: partially                      Term Frequency: 3         
Term: elicit                         Term Frequency: 3         
Term: vertical                       Term Frequency: 3         
Term: agglomerative                  Term Frequency: 3         
Term: out                            Term Frequency: 3         
Term: own                            Term Frequency: 3         
Term: development                    Term Frequency: 3         
Term: blue                           Term Frequency: 3         
Term: analyses                       Term Frequency: 3         
Term: interface                      Term Frequency: 3         
Term: even                           Term Frequency: 3         
Term: integrating                    Term Frequency: 3         
Term: cause                          Term Frequency: 3         
Term: light                          Term Frequency: 3         
Term: account                        Term Frequency: 3         
Term: just                           Term Frequency: 3         
Term: 2013                           Term Frequency: 3         
Term: explain                        Term Frequency: 3         
Term: processes                      Term Frequency: 3         
Term: normalized                     Term Frequency: 3         
Term: track                          Term Frequency: 3         
Term: gesturing                      Term Frequency: 3         
Term: run                            Term Frequency: 3         
Term: iccv                           Term Frequency: 3         
Term: kind                           Term Frequency: 3         
Term: scheme                         Term Frequency: 3         
Term: sample                         Term Frequency: 3         
Term: six                            Term Frequency: 3         
Term: idea                           Term Frequency: 3         
Term: suggest                        Term Frequency: 3         
Term: behaviors                      Term Frequency: 3         
Term: goes                           Term Frequency: 3         
Term: balls                          Term Frequency: 3         
Term: same                           Term Frequency: 2         
Term: tip                            Term Frequency: 2         
Term: predicted                      Term Frequency: 2         
Term: provided                       Term Frequency: 2         
Term: embody                         Term Frequency: 2         
Term: provides                       Term Frequency: 2         
Term: multiple                       Term Frequency: 2         
Term: illustrated                    Term Frequency: 2         
Term: too                            Term Frequency: 2         
Term: question                       Term Frequency: 2         
Term: findings                       Term Frequency: 2         
Term: probably                       Term Frequency: 2         
Term: requires                       Term Frequency: 2         
Term: numerically                    Term Frequency: 2         
Term: envision                       Term Frequency: 2         
Term: build                          Term Frequency: 2         
Term: further                        Term Frequency: 2         
Term: uhm                            Term Frequency: 2         
Term: annurev                        Term Frequency: 2         
Term: methodological                 Term Frequency: 2         
Term: load                           Term Frequency: 2         
Term: researchers                    Term Frequency: 2         
Term: interval                       Term Frequency: 2         
Term: ball                           Term Frequency: 2         
Term: due                            Term Frequency: 2         
Term: 10.1109                        Term Frequency: 2         
Term: meaning                        Term Frequency: 2         
Term: 11                             Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: long                           Term Frequency: 2         
Term: partition                      Term Frequency: 2         
Term: relationship                   Term Frequency: 2         
Term: many                           Term Frequency: 2         
Term: increasing                     Term Frequency: 2         
Term: rapid                          Term Frequency: 2         
Term: seven                          Term Frequency: 2         
Term: 10.3758                        Term Frequency: 2         
Term: 10.1186                        Term Frequency: 2         
Term: controlling                    Term Frequency: 2         
Term: work                           Term Frequency: 2         
Term: variability                    Term Frequency: 2         
Term: across                         Term Frequency: 2         
Term: threshold                      Term Frequency: 2         
Term: mining                         Term Frequency: 2         
Term: 10.1162                        Term Frequency: 2         
Term: tests                          Term Frequency: 2         
Term: end                            Term Frequency: 2         
Term: 4.1                            Term Frequency: 2         
Term: 4.2                            Term Frequency: 2         
Term: 4.3                            Term Frequency: 2         
Term: 4.4                            Term Frequency: 2         
Term: 4.5                            Term Frequency: 2         
Term: 4.6                            Term Frequency: 2         
Term: shape                          Term Frequency: 2         
Term: 113011                         Term Frequency: 2         
Term: represented                    Term Frequency: 2         
Term: ampler                         Term Frequency: 2         
Term: features                       Term Frequency: 2         
Term: improving                      Term Frequency: 2         
Term: next                           Term Frequency: 2         
Term: lowest                         Term Frequency: 2         
Term: gain                           Term Frequency: 2         
Term: great                          Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: produced                       Term Frequency: 2         
Term: analyzing                      Term Frequency: 2         
Term: 0004                           Term Frequency: 2         
Term: am                             Term Frequency: 2         
Term: do                             Term Frequency: 2         
Term: 5.1                            Term Frequency: 2         
Term: 5.2                            Term Frequency: 2         
Term: 5.3                            Term Frequency: 2         
Term: rate                           Term Frequency: 2         
Term: likely                         Term Frequency: 2         
Term: suggests                       Term Frequency: 2         
Term: 3rd                            Term Frequency: 2         
Term: mixed                          Term Frequency: 2         
Term: pausing                        Term Frequency: 2         
Term: them                           Term Frequency: 2         
Term: 10.1353                        Term Frequency: 2         
Term: changes                        Term Frequency: 2         
Term: type                           Term Frequency: 2         
Term: combinations                   Term Frequency: 2         
Term: tools                          Term Frequency: 2         
Term: annurev.psych                  Term Frequency: 2         
Term: translate                      Term Frequency: 2         
Term: costs                          Term Frequency: 2         
Term: follow                         Term Frequency: 2         
Term: questionnaires                 Term Frequency: 2         
Term: without                        Term Frequency: 2         
Term: 6.5                            Term Frequency: 2         
Term: lack                           Term Frequency: 2         
Term: analyze                        Term Frequency: 2         
Term: 4th                            Term Frequency: 2         
Term: difference                     Term Frequency: 2         
Term: prosodics                      Term Frequency: 2         
Term: chart                          Term Frequency: 2         
Term: school                         Term Frequency: 2         
Term: leveled                        Term Frequency: 2         
Term: probabilities                  Term Frequency: 2         
Term: having                         Term Frequency: 2         
Term: small                          Term Frequency: 2         
Term: him                            Term Frequency: 2         
Term: ceiling                        Term Frequency: 2         
Term: been                           Term Frequency: 2         
Term: jss.v036                       Term Frequency: 2         
Term: jss.v040                       Term Frequency: 2         
Term: answer                         Term Frequency: 2         
Term: questions                      Term Frequency: 2         
Term: excerpt                        Term Frequency: 2         
Term: action                         Term Frequency: 2         
Term: accompanies                    Term Frequency: 2         
Term: explored                       Term Frequency: 2         
Term: difficult                      Term Frequency: 2         
Term: predicts                       Term Frequency: 2         
Term: temporal                       Term Frequency: 2         
Term: one’s                          Term Frequency: 2         
Term: coordination                   Term Frequency: 2         
Term: detect                         Term Frequency: 2         
Term: rule                           Term Frequency: 2         
Term: amplitude                      Term Frequency: 2         
Term: insights                       Term Frequency: 2         
Term: indicators                     Term Frequency: 2         
Term: adapted                        Term Frequency: 2         
Term: inputs                         Term Frequency: 2         
Term: plotted                        Term Frequency: 2         
Term: disentangle                    Term Frequency: 2         
Term: shed                           Term Frequency: 2         
Term: 10.1017                        Term Frequency: 2         
Term: shifted                        Term Frequency: 2         
Term: significant                    Term Frequency: 2         
Term: longer                         Term Frequency: 2         
Term: description                    Term Frequency: 2         
Term: s41235                         Term Frequency: 2         
Term: suddenly                       Term Frequency: 2         
Term: elicited                       Term Frequency: 2         
Term: important                      Term Frequency: 2         
Term: correcting                     Term Frequency: 2         
Term: complex                        Term Frequency: 2         
Term: helps                          Term Frequency: 2         
Term: sources                        Term Frequency: 2         
Term: related                        Term Frequency: 2         
Term: trajectory                     Term Frequency: 2         
Term: focused                        Term Frequency: 2         
Term: interesting                    Term Frequency: 2         
Term: graphical                      Term Frequency: 2         
Term: computing                      Term Frequency: 2         
Term: match                          Term Frequency: 2         
Term: rabbit                         Term Frequency: 2         
Term: onto                           Term Frequency: 2         
Term: well                           Term Frequency: 2         
Term: experiment                     Term Frequency: 2         
Term: pairwise                       Term Frequency: 2         
Term: leon                           Term Frequency: 2         
Term: successive                     Term Frequency: 2         
Term: improve                        Term Frequency: 2         
Term: press                          Term Frequency: 2         
Term: distinguishable                Term Frequency: 2         
Term: combination                    Term Frequency: 2         
Term: pause                          Term Frequency: 2         
Term: 10.4324                        Term Frequency: 2         
Term: preventing                     Term Frequency: 2         
Term: grateful                       Term Frequency: 2         
Term: graders                        Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: physically                     Term Frequency: 2         
Term: may                            Term Frequency: 2         
Term: directions                     Term Frequency: 2         
Term: authentic                      Term Frequency: 2         
Term: granted                        Term Frequency: 2         
Term: sizes                          Term Frequency: 2         
Term: min                            Term Frequency: 2         
Term: mismatch                       Term Frequency: 2         
Term: project                        Term Frequency: 2         
Term: sections                       Term Frequency: 2         
Term: allow                          Term Frequency: 2         
Term: include                        Term Frequency: 2         
Term: psych                          Term Frequency: 2         
Term: 9192                           Term Frequency: 2         
Term: similar                        Term Frequency: 2         
Term: indicated                      Term Frequency: 2         
Term: against                        Term Frequency: 2         
Term: regularities                   Term Frequency: 2         
Term: specific                       Term Frequency: 2         
Term: shift                          Term Frequency: 2         
Term: slow                           Term Frequency: 2         
Term: associations                   Term Frequency: 2         
Term: color                          Term Frequency: 2         
Term: now                            Term Frequency: 2         
Term: meaningful                     Term Frequency: 2         
Term: accounted                      Term Frequency: 2         
Term: attended                       Term Frequency: 2         
Term: presents                       Term Frequency: 2         
Term: indel                          Term Frequency: 2         
Term: 2015.428                       Term Frequency: 2         
Term: starting                       Term Frequency: 2         
Term: 9326                           Term Frequency: 2         
Term: method                         Term Frequency: 2         
Term: evidenced                      Term Frequency: 2         
Term: reveal                         Term Frequency: 2         
Term: 10.3102                        Term Frequency: 2         
Term: cost                           Term Frequency: 2         
Term: frames                         Term Frequency: 2         
Term: compute                        Term Frequency: 2         
Term: claims                         Term Frequency: 2         
Term: perform                        Term Frequency: 2         
Term: s10758                         Term Frequency: 2         
Term: engaged                        Term Frequency: 2         
Term: displayed                      Term Frequency: 2         
Term: recognize                      Term Frequency: 2         
Term: emerging                       Term Frequency: 2         
Term: asking                         Term Frequency: 2         
Term: identified                     Term Frequency: 2         
Term: predators                      Term Frequency: 2         
Term: trying                         Term Frequency: 2         
Term: series                         Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: 2011                           Term Frequency: 2         
Term: 2004                           Term Frequency: 2         
Term: alpha                          Term Frequency: 2         
Term: 2014                           Term Frequency: 2         
Term: s10648                         Term Frequency: 2         
Term: modalities                     Term Frequency: 2         
Term: observable                     Term Frequency: 2         
Term: position                       Term Frequency: 2         
Term: reasons                        Term Frequency: 2         
Term: every                          Term Frequency: 2         
Term: answered                       Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: space                          Term Frequency: 2         
Term: inferred                       Term Frequency: 2         
Term: bottom                         Term Frequency: 2         
Term: intervention                   Term Frequency: 2         
Term: membership                     Term Frequency: 2         
Term: diagnostic                     Term Frequency: 2         
Term: helped                         Term Frequency: 2         
Term: albeit                         Term Frequency: 2         
Term: 1.32                           Term Frequency: 2         
Term: likelihood                     Term Frequency: 2         
Term: already                        Term Frequency: 2         
Term: conducted                      Term Frequency: 2         
Term: repertoire                     Term Frequency: 2         
Term: 012                            Term Frequency: 2         
Term: 015                            Term Frequency: 2         
Term: 016                            Term Frequency: 2         
Term: broader                        Term Frequency: 2         
Term: statistic                      Term Frequency: 2         
Term: symmetric                      Term Frequency: 2         
Term: experimental                   Term Frequency: 2         
Term: most                           Term Frequency: 2         
Term: enough                         Term Frequency: 2         
Term: fluid                          Term Frequency: 2         
Term: greatly                        Term Frequency: 2         
Term: affect                         Term Frequency: 2         
Term: articulates                    Term Frequency: 2         
Term: reduce                         Term Frequency: 2         
Term: change                         Term Frequency: 2         
Term: several                        Term Frequency: 2         
Term: mental                         Term Frequency: 2         
Term: stops                          Term Frequency: 2         
Term: motor                          Term Frequency: 2         
Term: grounded                       Term Frequency: 2         
Term: current                        Term Frequency: 2         
Term: makes                          Term Frequency: 2         
Term: coordinate                     Term Frequency: 2         
Term: higher                         Term Frequency: 2         
Term: successful                     Term Frequency: 2         
Term: guide                          Term Frequency: 2         
Term: goal                           Term Frequency: 2         
Term: range                          Term Frequency: 2         
Term: preparedness                   Term Frequency: 2         
Term: 2460296.2460316                Term Frequency: 1         
Term: spontaneous                    Term Frequency: 1         
Term: dolphins                       Term Frequency: 1         
Term: visualizing                    Term Frequency: 1         
Term: eating                         Term Frequency: 1         
Term: resolve                        Term Frequency: 1         
Term: besides                        Term Frequency: 1         
Term: 9781315772639                  Term Frequency: 1         
Term: 2.5                            Term Frequency: 1         
Term: academic                       Term Frequency: 1         
Term: 203                            Term Frequency: 1         
Term: mapped                         Term Frequency: 1         
Term: 213                            Term Frequency: 1         
Term: 219                            Term Frequency: 1         
Term: twofold                        Term Frequency: 1         
Term: comments                       Term Frequency: 1         
Term: 220                            Term Frequency: 1         
Term: quantitative                   Term Frequency: 1         
Term: 2004.37.1.81                   Term Frequency: 1         
Term: 238                            Term Frequency: 1         
Term: 239                            Term Frequency: 1         
Term: defined                        Term Frequency: 1         
Term: cue                            Term Frequency: 1         
Term: 246                            Term Frequency: 1         
Term: creating                       Term Frequency: 1         
Term: 252                            Term Frequency: 1         
Term: 254                            Term Frequency: 1         
Term: 257                            Term Frequency: 1         
Term: think                          Term Frequency: 1         
Term: 260                            Term Frequency: 1         
Term: ordinal                        Term Frequency: 1         
Term: reflecting                     Term Frequency: 1         
Term: 283                            Term Frequency: 1         
Term: depmixs6                       Term Frequency: 1         
Term: start                          Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: performed                      Term Frequency: 1         
Term: raising                        Term Frequency: 1         
Term: creates                        Term Frequency: 1         
Term: built                          Term Frequency: 1         
Term: finds                          Term Frequency: 1         
Term: examining                      Term Frequency: 1         
Term: 3756                           Term Frequency: 1         
Term: 3764                           Term Frequency: 1         
