Term: information                    Term Frequency: 133       
Term: complete                       Term Frequency: 6         
Term: mathematical                   Term Frequency: 6         
Term: existing                       Term Frequency: 6         
Term: find                           Term Frequency: 6         
Term: position                       Term Frequency: 6         
Term: equation                       Term Frequency: 6         
Term: provides                       Term Frequency: 5         
Term: measures                       Term Frequency: 5         
Term: main                           Term Frequency: 5         
Term: mining                         Term Frequency: 5         
Term: 4.3                            Term Frequency: 5         
Term: characterise                   Term Frequency: 5         
Term: topic                          Term Frequency: 5         
Term: single                         Term Frequency: 5         
Term: help                           Term Frequency: 5         
Term: massive                        Term Frequency: 5         
Term: wb_ratio                       Term Frequency: 5         
Term: factors                        Term Frequency: 5         
Term: mean                           Term Frequency: 5         
Term: calculated                     Term Frequency: 5         
Term: detection                      Term Frequency: 5         
Term: contain                        Term Frequency: 5         
Term: does                           Term Frequency: 5         
Term: means                          Term Frequency: 5         
Term: clusters                       Term Frequency: 5         
Term: collaborative                  Term Frequency: 5         
Term: sequence                       Term Frequency: 5         
Term: providers                      Term Frequency: 5         
Term: indicates                      Term Frequency: 5         
Term: explicitly                     Term Frequency: 5         
Term: investigate                    Term Frequency: 5         
Term: node                           Term Frequency: 5         
Term: cases                          Term Frequency: 5         
Term: out                            Term Frequency: 5         
Term: blockmodeling                  Term Frequency: 5         
Term: outgoing                       Term Frequency: 5         
Term: even                           Term Frequency: 5         
Term: depreciation                   Term Frequency: 5         
Term: seekers                        Term Frequency: 5         
Term: anonymous                      Term Frequency: 5         
Term: aim                            Term Frequency: 5         
Term: where                          Term Frequency: 5         
Term: engagement                     Term Frequency: 5         
Term: reflected                      Term Frequency: 5         
Term: see                            Term Frequency: 5         
Term: model                          Term Frequency: 5         
Term: coherent                       Term Frequency: 5         
Term: higher                         Term Frequency: 5         
Term: provided                       Term Frequency: 4         
Term: clustering                     Term Frequency: 4         
Term: 11                             Term Frequency: 4         
Term: equivalence                    Term Frequency: 4         
Term: 15                             Term Frequency: 4         
Term: 20                             Term Frequency: 4         
Term: 24                             Term Frequency: 4         
Term: 27                             Term Frequency: 4         
Term: 30                             Term Frequency: 4         
Term: 32                             Term Frequency: 4         
Term: step                           Term Frequency: 4         
Term: 4.4                            Term Frequency: 4         
Term: bm_err                         Term Frequency: 4         
Term: correlations                   Term Frequency: 4         
Term: might                          Term Frequency: 4         
Term: distinction                    Term Frequency: 4         
Term: various                        Term Frequency: 4         
Term: while                          Term Frequency: 4         
Term: author                         Term Frequency: 4         
Term: them                           Term Frequency: 4         
Term: previous                       Term Frequency: 4         
Term: type                           Term Frequency: 4         
Term: self                           Term Frequency: 4         
Term: concrete                       Term Frequency: 4         
Term: inreach                        Term Frequency: 4         
Term: without                        Term Frequency: 4         
Term: i.e                            Term Frequency: 4         
Term: reply                          Term Frequency: 4         
Term: present                        Term Frequency: 4         
Term: ratio                          Term Frequency: 4         
Term: calculation                    Term Frequency: 4         
Term: inf                            Term Frequency: 4         
Term: ingoing                        Term Frequency: 4         
Term: 8.9                            Term Frequency: 4         
Term: distance                       Term Frequency: 4         
Term: influence                      Term Frequency: 4         
Term: equivalent                     Term Frequency: 4         
Term: directed                       Term Frequency: 4         
Term: communities                    Term Frequency: 4         
Term: initial                        Term Frequency: 4         
Term: particular                     Term Frequency: 4         
Term: regarding                      Term Frequency: 4         
Term: linking                        Term Frequency: 4         
Term: models                         Term Frequency: 4         
Term: supported                      Term Frequency: 4         
Term: direct                         Term Frequency: 4         
Term: meaningful                     Term Frequency: 4         
Term: semantically                   Term Frequency: 4         
Term: proposed                       Term Frequency: 4         
Term: analysed                       Term Frequency: 4         
Term: gives                          Term Frequency: 4         
Term: receive                        Term Frequency: 4         
Term: induced                        Term Frequency: 4         
Term: some                           Term Frequency: 4         
Term: reg                            Term Frequency: 4         
Term: case                           Term Frequency: 4         
Term: sem                            Term Frequency: 4         
Term: over                           Term Frequency: 4         
Term: result                         Term Frequency: 3         
Term: e                              Term Frequency: 3         
Term: hard                           Term Frequency: 3         
Term: top                            Term Frequency: 3         
Term: question                       Term Frequency: 3         
Term: findings                       Term Frequency: 3         
Term: comments                       Term Frequency: 3         
Term: defined                        Term Frequency: 3         
Term: requires                       Term Frequency: 3         
Term: 47048                          Term Frequency: 3         
Term: final                          Term Frequency: 3         
Term: text                           Term Frequency: 3         
Term: combine                        Term Frequency: 3         
Term: 17                             Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: 21                             Term Frequency: 3         
Term: 23                             Term Frequency: 3         
Term: 25                             Term Frequency: 3         
Term: 26                             Term Frequency: 3         
Term: 29                             Term Frequency: 3         
Term: 36                             Term Frequency: 3         
Term: seeks                          Term Frequency: 3         
Term: 63                             Term Frequency: 3         
Term: 65                             Term Frequency: 3         
Term: common                         Term Frequency: 3         
Term: themselves                     Term Frequency: 3         
Term: theory                         Term Frequency: 3         
Term: themes                         Term Frequency: 3         
Term: need                           Term Frequency: 3         
Term: 4.1                            Term Frequency: 3         
Term: 4.2                            Term Frequency: 3         
Term: links                          Term Frequency: 3         
Term: incorporate                    Term Frequency: 3         
Term: features                       Term Frequency: 3         
Term: next                           Term Frequency: 3         
Term: classes                        Term Frequency: 3         
Term: derived                        Term Frequency: 3         
Term: completely                     Term Frequency: 3         
Term: al                             Term Frequency: 3         
Term: language                       Term Frequency: 3         
Term: et                             Term Frequency: 3         
Term: 5.1                            Term Frequency: 3         
Term: 5.2                            Term Frequency: 3         
Term: givers                         Term Frequency: 3         
Term: likely                         Term Frequency: 3         
Term: contrast                       Term Frequency: 3         
Term: ux                             Term Frequency: 3         
Term: uy                             Term Frequency: 3         
Term: get                            Term Frequency: 3         
Term: 123456                         Term Frequency: 3         
Term: strongly                       Term Frequency: 3         
Term: discussed                      Term Frequency: 3         
Term: whether                        Term Frequency: 3         
Term: automatic                      Term Frequency: 3         
Term: generalized                    Term Frequency: 3         
Term: had                            Term Frequency: 3         
Term: before                         Term Frequency: 3         
Term: reflects                       Term Frequency: 3         
Term: you                            Term Frequency: 3         
Term: how                            Term Frequency: 3         
Term: reflect                        Term Frequency: 3         
Term: finding                        Term Frequency: 3         
Term: discussions                    Term Frequency: 3         
Term: perfect                        Term Frequency: 3         
Term: according                      Term Frequency: 3         
Term: value                          Term Frequency: 3         
Term: providing                      Term Frequency: 3         
Term: distributed                    Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: show                           Term Frequency: 3         
Term: corresponds                    Term Frequency: 3         
Term: helps                          Term Frequency: 3         
Term: directly                       Term Frequency: 3         
Term: reach                          Term Frequency: 3         
Term: should                         Term Frequency: 3         
Term: computing                      Term Frequency: 3         
Term: corresponding                  Term Frequency: 3         
Term: characterised                  Term Frequency: 3         
Term: function                       Term Frequency: 3         
Term: pred                           Term Frequency: 3         
Term: low                            Term Frequency: 3         
Term: about                          Term Frequency: 3         
Term: appear                         Term Frequency: 3         
Term: experts                        Term Frequency: 3         
Term: among                          Term Frequency: 3         
Term: assigning                      Term Frequency: 3         
Term: matrix                         Term Frequency: 3         
Term: define                         Term Frequency: 3         
Term: documents                      Term Frequency: 3         
Term: necessarily                    Term Frequency: 3         
Term: class                          Term Frequency: 3         
Term: follows                        Term Frequency: 3         
Term: tagging                        Term Frequency: 3         
Term: method                         Term Frequency: 3         
Term: columns                        Term Frequency: 3         
Term: development                    Term Frequency: 3         
Term: core                           Term Frequency: 3         
Term: note                           Term Frequency: 3         
Term: calculate                      Term Frequency: 3         
Term: correlation                    Term Frequency: 3         
Term: independent                    Term Frequency: 3         
Term: combined                       Term Frequency: 3         
Term: discuss                        Term Frequency: 3         
Term: external                       Term Frequency: 3         
Term: latent                         Term Frequency: 3         
Term: methods                        Term Frequency: 3         
Term: request                        Term Frequency: 3         
Term: inherently                     Term Frequency: 3         
Term: hecking                        Term Frequency: 3         
Term: commonly                       Term Frequency: 3         
Term: 2010                           Term Frequency: 3         
Term: answers                        Term Frequency: 3         
Term: classifier                     Term Frequency: 3         
Term: machine                        Term Frequency: 3         
Term: hoppe                          Term Frequency: 3         
Term: itself                         Term Frequency: 3         
Term: requests                       Term Frequency: 3         
Term: building                       Term Frequency: 3         
Term: score                          Term Frequency: 3         
Term: smaller                        Term Frequency: 3         
Term: algorithm                      Term Frequency: 3         
Term: ask                            Term Frequency: 3         
Term: participation                  Term Frequency: 3         
Term: extracted                      Term Frequency: 3         
Term: interdependent                 Term Frequency: 3         
Term: strong                         Term Frequency: 3         
Term: compared                       Term Frequency: 3         
Term: peers                          Term Frequency: 3         
Term: large                          Term Frequency: 3         
Term: collide.info                   Term Frequency: 3         
Term: corporate                      Term Frequency: 3         
Term: 8                              Term Frequency: 2         
Term: keywords                       Term Frequency: 2         
Term: reported                       Term Frequency: 2         
Term: assume                         Term Frequency: 2         
Term: semantics                      Term Frequency: 2         
Term: grouping                       Term Frequency: 2         
Term: shows                          Term Frequency: 2         
Term: created                        Term Frequency: 2         
Term: lectures                       Term Frequency: 2         
Term: interdependence                Term Frequency: 2         
Term: term                           Term Frequency: 2         
Term: maximum                        Term Frequency: 2         
Term: did                            Term Frequency: 2         
Term: later                          Term Frequency: 2         
Term: 0.19                           Term Frequency: 2         
Term: 0.16                           Term Frequency: 2         
Term: methodological                 Term Frequency: 2         
Term: 0.36                           Term Frequency: 2         
Term: being                          Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: known                          Term Frequency: 2         
Term: properties                     Term Frequency: 2         
Term: inform                         Term Frequency: 2         
Term: 04                             Term Frequency: 2         
Term: 13                             Term Frequency: 2         
Term: 14                             Term Frequency: 2         
Term: 19                             Term Frequency: 2         
Term: 22                             Term Frequency: 2         
Term: 28                             Term Frequency: 2         
Term: relationship                   Term Frequency: 2         
Term: 31                             Term Frequency: 2         
Term: 33                             Term Frequency: 2         
Term: 34                             Term Frequency: 2         
Term: 35                             Term Frequency: 2         
Term: 37                             Term Frequency: 2         
Term: loop                           Term Frequency: 2         
Term: 75                             Term Frequency: 2         
Term: platform                       Term Frequency: 2         
Term: advantage                      Term Frequency: 2         
Term: optimal                        Term Frequency: 2         
Term: 1237                           Term Frequency: 2         
Term: 1234                           Term Frequency: 2         
Term: density                        Term Frequency: 2         
Term: http                           Term Frequency: 2         
Term: end                            Term Frequency: 2         
Term: occurs                         Term Frequency: 2         
Term: etc                            Term Frequency: 2         
Term: 456                            Term Frequency: 2         
Term: rates                          Term Frequency: 2         
Term: represented                    Term Frequency: 2         
Term: another                        Term Frequency: 2         
Term: leads                          Term Frequency: 2         
Term: incorporating                  Term Frequency: 2         
Term: derives                        Term Frequency: 2         
Term: way                            Term Frequency: 2         
Term: far                            Term Frequency: 2         
Term: comprising                     Term Frequency: 2         
Term: explore                        Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: effect                         Term Frequency: 2         
Term: contribute                     Term Frequency: 2         
Term: parent                         Term Frequency: 2         
Term: fit                            Term Frequency: 2         
Term: addition                       Term Frequency: 2         
Term: fold                           Term Frequency: 2         
Term: simultaneously                 Term Frequency: 2         
Term: hierarchical                   Term Frequency: 2         
Term: needs                          Term Frequency: 2         
Term: form                           Term Frequency: 2         
Term: https                          Term Frequency: 2         
Term: mixed                          Term Frequency: 2         
Term: necessary                      Term Frequency: 2         
Term: joint                          Term Frequency: 2         
Term: emphasize                      Term Frequency: 2         
Term: additionally                   Term Frequency: 2         
Term: edges                          Term Frequency: 2         
Term: namely                         Term Frequency: 2         
Term: contributed                    Term Frequency: 2         
Term: evolution                      Term Frequency: 2         
Term: almost                         Term Frequency: 2         
Term: basic                          Term Frequency: 2         
Term: objectives                     Term Frequency: 2         
Term: moderately                     Term Frequency: 2         
Term: combining                      Term Frequency: 2         
Term: keyword                        Term Frequency: 2         
Term: emphasis                       Term Frequency: 2         
Term: 1540                           Term Frequency: 2         
Term: point                          Term Frequency: 2         
Term: alternative                    Term Frequency: 2         
Term: been                           Term Frequency: 2         
Term: diverse                        Term Frequency: 2         
Term: sustainable                    Term Frequency: 2         
Term: answer                         Term Frequency: 2         
Term: confusion                      Term Frequency: 2         
Term: misclassifications             Term Frequency: 2         
Term: inference                      Term Frequency: 2         
Term: could                          Term Frequency: 2         
Term: steps                          Term Frequency: 2         
Term: fact                           Term Frequency: 2         
Term: insights                       Term Frequency: 2         
Term: densely                        Term Frequency: 2         
Term: educational                    Term Frequency: 2         
Term: interleaved                    Term Frequency: 2         
Term: investigating                  Term Frequency: 2         
Term: notion                         Term Frequency: 2         
Term: fitted                         Term Frequency: 2         
Term: individuals                    Term Frequency: 2         
Term: chounta                        Term Frequency: 2         
Term: learner                        Term Frequency: 2         
Term: trained                        Term Frequency: 2         
Term: majority                       Term Frequency: 2         
Term: attached                       Term Frequency: 2         
Term: scores                         Term Frequency: 2         
Term: available                      Term Frequency: 2         
Term: extreme                        Term Frequency: 2         
Term: especially                     Term Frequency: 2         
Term: place                          Term Frequency: 2         
Term: individual                     Term Frequency: 2         
Term: person                         Term Frequency: 2         
Term: sociology                      Term Frequency: 2         
Term: studies                        Term Frequency: 2         
Term: limited                        Term Frequency: 2         
Term: blocks                         Term Frequency: 2         
Term: quite                          Term Frequency: 2         
Term: technique                      Term Frequency: 2         
Term: press                          Term Frequency: 2         
Term: cohesive                       Term Frequency: 2         
Term: page                           Term Frequency: 2         
Term: pair                           Term Frequency: 2         
Term: indexing                       Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: interaction                    Term Frequency: 2         
Term: fitting                        Term Frequency: 2         
Term: recommendations                Term Frequency: 2         
Term: human                          Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: usually                        Term Frequency: 2         
Term: sense                          Term Frequency: 2         
Term: encoded                        Term Frequency: 2         
Term: depicted                       Term Frequency: 2         
Term: moderate                       Term Frequency: 2         
Term: still                          Term Frequency: 2         
Term: dimensions                     Term Frequency: 2         
Term: referred                       Term Frequency: 2         
Term: preceding                      Term Frequency: 2         
Term: net                            Term Frequency: 2         
Term: positions                      Term Frequency: 2         
Term: students                       Term Frequency: 2         
Term: resulted                       Term Frequency: 2         
Term: when                           Term Frequency: 2         
Term: give                           Term Frequency: 2         
Term: occasionally                   Term Frequency: 2         
Term: uses                           Term Frequency: 2         
Term: investigated                   Term Frequency: 2         
Term: identifying                    Term Frequency: 2         
Term: issue                          Term Frequency: 2         
Term: traditional                    Term Frequency: 2         
Term: modifications                  Term Frequency: 2         
Term: activity                       Term Frequency: 2         
Term: connected                      Term Frequency: 2         
Term: extract                        Term Frequency: 2         
Term: pure                           Term Frequency: 2         
Term: wide                           Term Frequency: 2         
Term: none                           Term Frequency: 2         
Term: bm_error                       Term Frequency: 2         
Term: reveal                         Term Frequency: 2         
Term: like                           Term Frequency: 2         
Term: contributions                  Term Frequency: 2         
Term: talking                        Term Frequency: 2         
Term: combines                       Term Frequency: 2         
Term: analyses                       Term Frequency: 2         
Term: compute                        Term Frequency: 2         
Term: integration                    Term Frequency: 2         
Term: engaged                        Term Frequency: 2         
Term: peer                           Term Frequency: 2         
Term: subcommunities                 Term Frequency: 2         
Term: design                         Term Frequency: 2         
Term: 4.2.2                          Term Frequency: 2         
Term: minimal                        Term Frequency: 2         
Term: identifies                     Term Frequency: 2         
Term: backgrounds                    Term Frequency: 2         
Term: account                        Term Frequency: 2         
Term: represent                      Term Frequency: 2         
Term: prior                          Term Frequency: 2         
Term: dedicated                      Term Frequency: 2         
Term: take                           Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: 2007                           Term Frequency: 2         
Term: socially                       Term Frequency: 2         
Term: return                         Term Frequency: 2         
Term: task                           Term Frequency: 2         
Term: people                         Term Frequency: 2         
Term: channels                       Term Frequency: 2         
Term: annotated                      Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: inferred                       Term Frequency: 2         
Term: textual                        Term Frequency: 2         
Term: 3455                           Term Frequency: 2         
Term: algorithms                     Term Frequency: 2         
Term: c.f                            Term Frequency: 2         
Term: conducted                      Term Frequency: 2         
Term: any                            Term Frequency: 2         
Term: suggested                      Term Frequency: 2         
Term: accurate                       Term Frequency: 2         
Term: increases                      Term Frequency: 2         
Term: varying                        Term Frequency: 2         
Term: vice                           Term Frequency: 2         
Term: describes                      Term Frequency: 2         
Term: call                           Term Frequency: 2         
Term: partners                       Term Frequency: 2         
Term: differentiated                 Term Frequency: 2         
Term: participating                  Term Frequency: 2         
Term: mentioned                      Term Frequency: 2         
Term: spread                         Term Frequency: 2         
Term: personal                       Term Frequency: 2         
Term: scheme                         Term Frequency: 2         
Term: completion                     Term Frequency: 2         
Term: six                            Term Frequency: 2         
Term: improved                       Term Frequency: 2         
Term: reduce                         Term Frequency: 2         
Term: sequences                      Term Frequency: 2         
Term: several                        Term Frequency: 2         
Term: highly                         Term Frequency: 2         
Term: nature                         Term Frequency: 2         
Term: current                        Term Frequency: 2         
Term: 1234560                        Term Frequency: 2         
Term: feature                        Term Frequency: 2         
Term: versa                          Term Frequency: 2         
Term: towards                        Term Frequency: 2         
Term: interplay                      Term Frequency: 2         
Term: require                        Term Frequency: 1         
Term: 2348                           Term Frequency: 1         
Term: 2356                           Term Frequency: 1         
Term: polysemy                       Term Frequency: 1         
Term: multiple                       Term Frequency: 1         
Term: block                          Term Frequency: 1         
Term: too                            Term Frequency: 1         
Term: interchangeable                Term Frequency: 1         
Term: picture                        Term Frequency: 1         
Term: introducing                    Term Frequency: 1         
Term: 200                            Term Frequency: 1         
Term: 202                            Term Frequency: 1         
Term: activities                     Term Frequency: 1         
Term: exceeds                        Term Frequency: 1         
Term: 234                            Term Frequency: 1         
Term: state                          Term Frequency: 1         
Term: participate                    Term Frequency: 1         
Term: occurred                       Term Frequency: 1         
Term: forbidden                      Term Frequency: 1         
Term: replaced                       Term Frequency: 1         
Term: participant                    Term Frequency: 1         
Term: widely                         Term Frequency: 1         
Term: technologies                   Term Frequency: 1         
Term: 1,2,3,4                        Term Frequency: 1         
Term: 299                            Term Frequency: 1         
Term: start                          Term Frequency: 1         
Term: short                          Term Frequency: 1         
Term: required                       Term Frequency: 1         
Term: specifically                   Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: coevolution                    Term Frequency: 1         
Term: tutors                         Term Frequency: 1         
Term: statesman                      Term Frequency: 1         
Term: formal                         Term Frequency: 1         
Term: tend                           Term Frequency: 1         
Term: built                          Term Frequency: 1         
Term: heavily                        Term Frequency: 1         
Term: retrieval                      Term Frequency: 1         
Term: interdependency                Term Frequency: 1         
Term: impact                         Term Frequency: 1         
Term: finer                          Term Frequency: 1         
Term: investments                    Term Frequency: 1         
Term: interconnected                 Term Frequency: 1         
Term: possibly                       Term Frequency: 1         
Term: 0.28                           Term Frequency: 1         
Term: length                         Term Frequency: 1         
Term: 0.43                           Term Frequency: 1         
Term: 0.53                           Term Frequency: 1         
Term: 0.66                           Term Frequency: 1         
Term: 0.61                           Term Frequency: 1         
Term: 3.2                            Term Frequency: 1         
Term: diffusion                      Term Frequency: 1         
Term: 0.77                           Term Frequency: 1         
Term: 0.78                           Term Frequency: 1         
Term: sparsity                       Term Frequency: 1         
Term: 0.73                           Term Frequency: 1         
Term: 0.74                           Term Frequency: 1         
Term: 0.71                           Term Frequency: 1         
Term: 0.68                           Term Frequency: 1         
Term: 0.81                           Term Frequency: 1         
Term: scaffold                       Term Frequency: 1         
Term: 0.79                           Term Frequency: 1         
Term: deriving                       Term Frequency: 1         
Term: 303                            Term Frequency: 1         
Term: underlined                     Term Frequency: 1         
Term: 305                            Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: labelled                       Term Frequency: 1         
Term: 330                            Term Frequency: 1         
Term: make                           Term Frequency: 1         
Term: 344                            Term Frequency: 1         
Term: 02                             Term Frequency: 1         
Term: 05                             Term Frequency: 1         
Term: observed                       Term Frequency: 1         
Term: benefit                        Term Frequency: 1         
Term: 361                            Term Frequency: 1         
Term: unique                         Term Frequency: 1         
Term: participated                   Term Frequency: 1         
Term: 376                            Term Frequency: 1         
Term: controlled                     Term Frequency: 1         
Term: 40                             Term Frequency: 1         
Term: 41                             Term Frequency: 1         
Term: 45                             Term Frequency: 1         
Term: 46                             Term Frequency: 1         
Term: 49                             Term Frequency: 1         
Term: rapid                          Term Frequency: 1         
Term: numbers                        Term Frequency: 1         
Term: 391                            Term Frequency: 1         
Term: 50                             Term Frequency: 1         
Term: 56                             Term Frequency: 1         
Term: dense                          Term Frequency: 1         
Term: 68                             Term Frequency: 1         
Term: apply                          Term Frequency: 1         
Term: 80                             Term Frequency: 1         
Term: 88                             Term Frequency: 1         
Term: loss                           Term Frequency: 1         
Term: relate                         Term Frequency: 1         
Term: 99                             Term Frequency: 1         
Term: word                           Term Frequency: 1         
Term: stated                         Term Frequency: 1         
