Term: twitter                        Term Frequency: 82        
Term: learninganalytics              Term Frequency: 8         
Term: retweet                        Term Frequency: 8         
Term: networks                       Term Frequency: 8         
Term: connected                      Term Frequency: 8         
Term: within                         Term Frequency: 8         
Term: model                          Term Frequency: 8         
Term: ter                            Term Frequency: 7         
Term: tweet                          Term Frequency: 7         
Term: year’s                         Term Frequency: 7         
Term: journal                        Term Frequency: 7         
Term: news                           Term Frequency: 7         
Term: understand                     Term Frequency: 7         
Term: been                           Term Frequency: 7         
Term: how                            Term Frequency: 7         
Term: publications                   Term Frequency: 7         
Term: nodes                          Term Frequency: 7         
Term: different                      Term Frequency: 7         
Term: between                        Term Frequency: 7         
Term: would                          Term Frequency: 7         
Term: example                        Term Frequency: 7         
Term: node                           Term Frequency: 7         
Term: online                         Term Frequency: 7         
Term: most                           Term Frequency: 7         
Term: two                            Term Frequency: 6         
Term: returning                      Term Frequency: 6         
Term: did                            Term Frequency: 6         
Term: 19                             Term Frequency: 6         
Term: participated                   Term Frequency: 6         
Term: 36                             Term Frequency: 6         
Term: increasing                     Term Frequency: 6         
Term: numbers                        Term Frequency: 6         
Term: work                           Term Frequency: 6         
Term: exploration                    Term Frequency: 6         
Term: previous                       Term Frequency: 6         
Term: evolution                      Term Frequency: 6         
Term: found                          Term Frequency: 6         
Term: international                  Term Frequency: 6         
Term: present                        Term Frequency: 6         
Term: number                         Term Frequency: 6         
Term: applied                        Term Frequency: 6         
Term: students                       Term Frequency: 6         
Term: when                           Term Frequency: 6         
Term: archive                        Term Frequency: 6         
Term: tags                           Term Frequency: 6         
Term: 2009                           Term Frequency: 6         
Term: 2013                           Term Frequency: 6         
Term: other                          Term Frequency: 6         
Term: conducted                      Term Frequency: 6         
Term: top                            Term Frequency: 5         
Term: com                            Term Frequency: 5         
Term: times                          Term Frequency: 5         
Term: text                           Term Frequency: 5         
Term: 13                             Term Frequency: 5         
Term: 15                             Term Frequency: 5         
Term: 16                             Term Frequency: 5         
Term: 18                             Term Frequency: 5         
Term: 27                             Term Frequency: 5         
Term: mining                         Term Frequency: 5         
Term: visual                         Term Frequency: 5         
Term: backchannel                    Term Frequency: 5         
Term: presented                      Term Frequency: 5         
Term: various                        Term Frequency: 5         
Term: addition                       Term Frequency: 5         
Term: appeared                       Term Frequency: 5         
Term: four                           Term Frequency: 5         
Term: replies                        Term Frequency: 5         
Term: removed                        Term Frequency: 5         
Term: popular                        Term Frequency: 5         
Term: largest                        Term Frequency: 5         
Term: graphs                         Term Frequency: 5         
Term: reach                          Term Frequency: 5         
Term: only                           Term Frequency: 5         
Term: inthe                          Term Frequency: 5         
Term: centrality                     Term Frequency: 5         
Term: less                           Term Frequency: 5         
Term: clusters                       Term Frequency: 5         
Term: indicated                      Term Frequency: 5         
Term: practice                       Term Frequency: 5         
Term: our                            Term Frequency: 5         
Term: like                           Term Frequency: 5         
Term: par                            Term Frequency: 5         
Term: members                        Term Frequency: 5         
Term: pro                            Term Frequency: 5         
Term: identified                     Term Frequency: 5         
Term: 2008                           Term Frequency: 5         
Term: space                          Term Frequency: 5         
Term: algorithm                      Term Frequency: 5         
Term: retweeting                     Term Frequency: 5         
Term: increased                      Term Frequency: 5         
Term: modeling                       Term Frequency: 5         
Term: relevant                       Term Frequency: 5         
Term: result                         Term Frequency: 4         
Term: after                          Term Frequency: 4         
Term: 2.0                            Term Frequency: 4         
Term: con                            Term Frequency: 4         
Term: technologies                   Term Frequency: 4         
Term: shown                          Term Frequency: 4         
Term: influential                    Term Frequency: 4         
Term: term                           Term Frequency: 4         
Term: partic                         Term Frequency: 4         
Term: made                           Term Frequency: 4         
Term: 3.5                            Term Frequency: 4         
Term: 11                             Term Frequency: 4         
Term: 12                             Term Frequency: 4         
Term: unique                         Term Frequency: 4         
Term: 20                             Term Frequency: 4         
Term: 23                             Term Frequency: 4         
Term: 46                             Term Frequency: 4         
Term: across                         Term Frequency: 4         
Term: via                            Term Frequency: 4         
Term: assessment                     Term Frequency: 4         
Term: another                        Term Frequency: 4         
Term: sharing                        Term Frequency: 4         
Term: statistics                     Term Frequency: 4         
Term: few                            Term Frequency: 4         
Term: analyzing                      Term Frequency: 4         
Term: ed                             Term Frequency: 4         
Term: become                         Term Frequency: 4         
Term: communication                  Term Frequency: 4         
Term: student                        Term Frequency: 4         
Term: re                             Term Frequency: 4         
Term: changes                        Term Frequency: 4         
Term: help                           Term Frequency: 4         
Term: uncover                        Term Frequency: 4         
Term: time                           Term Frequency: 4         
Term: questions                      Term Frequency: 4         
Term: retweeted                      Term Frequency: 4         
Term: educational                    Term Frequency: 4         
Term: betweenness                    Term Frequency: 4         
Term: facilitate                     Term Frequency: 4         
Term: detection                      Term Frequency: 4         
Term: overthe                        Term Frequency: 4         
Term: figures                        Term Frequency: 4         
Term: studies                        Term Frequency: 4         
Term: well                           Term Frequency: 4         
Term: respectively                   Term Frequency: 4         
Term: three                          Term Frequency: 4         
Term: log                            Term Frequency: 4         
Term: particular                     Term Frequency: 4         
Term: outliers                       Term Frequency: 4         
Term: semantic                       Term Frequency: 4         
Term: about                          Term Frequency: 4         
Term: certain                        Term Frequency: 4         
Term: whom                           Term Frequency: 4         
Term: meaningful                     Term Frequency: 4         
Term: chosen                         Term Frequency: 4         
Term: archives                       Term Frequency: 4         
Term: one                            Term Frequency: 4         
Term: efforts                        Term Frequency: 4         
Term: journalism                     Term Frequency: 4         
Term: instance                       Term Frequency: 4         
Term: both                           Term Frequency: 4         
Term: column                         Term Frequency: 4         
Term: large                          Term Frequency: 4         
Term: y                              Term Frequency: 3         
Term: provided                       Term Frequency: 3         
Term: e.g                            Term Frequency: 3         
Term: harmonic                       Term Frequency: 3         
Term: composition                    Term Frequency: 3         
Term: right                          Term Frequency: 3         
Term: later                          Term Frequency: 3         
Term: length                         Term Frequency: 3         
Term: being                          Term Frequency: 3         
Term: clustering                     Term Frequency: 3         
Term: 14                             Term Frequency: 3         
Term: 21                             Term Frequency: 3         
Term: 24                             Term Frequency: 3         
Term: 26                             Term Frequency: 3         
Term: long                           Term Frequency: 3         
Term: 31                             Term Frequency: 3         
Term: 33                             Term Frequency: 3         
Term: 35                             Term Frequency: 3         
Term: many                           Term Frequency: 3         
Term: 40                             Term Frequency: 3         
Term: 42                             Term Frequency: 3         
Term: 43                             Term Frequency: 3         
Term: 44                             Term Frequency: 3         
Term: optimal                        Term Frequency: 3         
Term: learn                          Term Frequency: 3         
Term: generated                      Term Frequency: 3         
Term: lines                          Term Frequency: 3         
Term: share                          Term Frequency: 3         
Term: internationalconference        Term Frequency: 3         
Term: web                            Term Frequency: 3         
Term: categories                     Term Frequency: 3         
Term: why                            Term Frequency: 3         
Term: extent                         Term Frequency: 3         
Term: implying                       Term Frequency: 3         
Term: systems                        Term Frequency: 3         
Term: popularity                     Term Frequency: 3         
Term: panel                          Term Frequency: 3         
Term: never                          Term Frequency: 3         
Term: rate                           Term Frequency: 3         
Term: digital                        Term Frequency: 3         
Term: beyond                         Term Frequency: 3         
Term: course                         Term Frequency: 3         
Term: persistent                     Term Frequency: 3         
Term: audience                       Term Frequency: 3         
Term: dominant                       Term Frequency: 3         
Term: lak1                           Term Frequency: 3         
Term: names                          Term Frequency: 3         
Term: combining                      Term Frequency: 3         
Term: had                            Term Frequency: 3         
Term: video                          Term Frequency: 3         
Term: mean                           Term Frequency: 3         
Term: diverse                        Term Frequency: 3         
Term: tracking                       Term Frequency: 3         
Term: able                           Term Frequency: 3         
Term: ics                            Term Frequency: 3         
Term: tracked                        Term Frequency: 3         
Term: insights                       Term Frequency: 3         
Term: linked                         Term Frequency: 3         
Term: identify                       Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: those                          Term Frequency: 3         
Term: important                      Term Frequency: 3         
Term: ipants                         Term Frequency: 3         
Term: peripheral                     Term Frequency: 3         
Term: level                          Term Frequency: 3         
Term: degree                         Term Frequency: 3         
Term: types                          Term Frequency: 3         
Term: following                      Term Frequency: 3         
Term: leaders                        Term Frequency: 3         
Term: sankey                         Term Frequency: 3         
Term: corresponding                  Term Frequency: 3         
Term: attendees                      Term Frequency: 3         
Term: size                           Term Frequency: 3         
Term: balanced                       Term Frequency: 3         
Term: others                         Term Frequency: 3         
Term: overall                        Term Frequency: 3         
Term: aspects                        Term Frequency: 3         
Term: interactive                    Term Frequency: 3         
Term: means                          Term Frequency: 3         
Term: path                           Term Frequency: 3         
Term: usually                        Term Frequency: 3         
Term: mention                        Term Frequency: 3         
Term: character                      Term Frequency: 3         
Term: collaboration                  Term Frequency: 3         
Term: driven                         Term Frequency: 3         
Term: net                            Term Frequency: 3         
Term: specific                       Term Frequency: 3         
Term: levels                         Term Frequency: 3         
Term: otherwise                      Term Frequency: 3         
Term: approaches                     Term Frequency: 3         
Term: edge                           Term Frequency: 3         
Term: confer                         Term Frequency: 3         
Term: distribution                   Term Frequency: 3         
Term: line                           Term Frequency: 3         
Term: challenge                      Term Frequency: 3         
Term: component                      Term Frequency: 3         
Term: represents                     Term Frequency: 3         
Term: 2005                           Term Frequency: 3         
Term: except                         Term Frequency: 3         
Term: published                      Term Frequency: 3         
Term: track                          Term Frequency: 3         
Term: broader                        Term Frequency: 3         
Term: results                        Term Frequency: 3         
Term: percentage                     Term Frequency: 3         
Term: ticipants                      Term Frequency: 3         
Term: set                            Term Frequency: 3         
Term: visualization                  Term Frequency: 3         
Term: change                         Term Frequency: 3         
Term: can                            Term Frequency: 3         
Term: category                       Term Frequency: 3         
Term: connect                        Term Frequency: 2         
Term: hard                           Term Frequency: 2         
Term: hash                           Term Frequency: 2         
Term: col                            Term Frequency: 2         
Term: findings                       Term Frequency: 2         
Term: including                      Term Frequency: 2         
Term: 215                            Term Frequency: 2         
Term: comments                       Term Frequency: 2         
Term: speech                         Term Frequency: 2         
Term: 280                            Term Frequency: 2         
Term: ences                          Term Frequency: 2         
Term: short                          Term Frequency: 2         
Term: tutors                         Term Frequency: 2         
Term: created                        Term Frequency: 2         
Term: built                          Term Frequency: 2         
Term: average                        Term Frequency: 2         
Term: stage                          Term Frequency: 2         
Term: maximum                        Term Frequency: 2         
Term: under                          Term Frequency: 2         
Term: showing                        Term Frequency: 2         
Term: construct                      Term Frequency: 2         
Term: researchers                    Term Frequency: 2         
Term: 3.1                            Term Frequency: 2         
Term: diffusion                      Term Frequency: 2         
Term: knowl                          Term Frequency: 2         
Term: networking                     Term Frequency: 2         
Term: main                           Term Frequency: 2         
Term: make                           Term Frequency: 2         
Term: trending                       Term Frequency: 2         
Term: 17                             Term Frequency: 2         
Term: 362                            Term Frequency: 2         
Term: 25                             Term Frequency: 2         
Term: 28                             Term Frequency: 2         
Term: 29                             Term Frequency: 2         
Term: 30                             Term Frequency: 2         
Term: 32                             Term Frequency: 2         
Term: 37                             Term Frequency: 2         
Term: 38                             Term Frequency: 2         
Term: 39                             Term Frequency: 2         
Term: extensive                      Term Frequency: 2         
Term: 41                             Term Frequency: 2         
Term: 45                             Term Frequency: 2         
Term: dense                          Term Frequency: 2         
Term: 10.1145                        Term Frequency: 2         
Term: clouds                         Term Frequency: 2         
Term: exception                      Term Frequency: 2         
Term: understanding                  Term Frequency: 2         
Term: representing                   Term Frequency: 2         
Term: notes                          Term Frequency: 2         
Term: 1255                           Term Frequency: 2         
Term: http                           Term Frequency: 2         
Term: special                        Term Frequency: 2         
Term: 4.3                            Term Frequency: 2         
Term: education                      Term Frequency: 2         
Term: 2nd                            Term Frequency: 2         
Term: ofthe                          Term Frequency: 2         
Term: screen                         Term Frequency: 2         
Term: visualize                      Term Frequency: 2         
Term: 450                            Term Frequency: 2         
Term: represented                    Term Frequency: 2         
Term: might                          Term Frequency: 2         
Term: attempted                      Term Frequency: 2         
Term: interpretable                  Term Frequency: 2         
Term: gain                           Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: section                        Term Frequency: 2         
Term: effect                         Term Frequency: 2         
Term: attention                      Term Frequency: 2         
Term: al                             Term Frequency: 2         
Term: de                             Term Frequency: 2         
Term: di                             Term Frequency: 2         
Term: et                             Term Frequency: 2         
Term: content                        Term Frequency: 2         
Term: context                        Term Frequency: 2         
Term: id                             Term Frequency: 2         
Term: contrast                       Term Frequency: 2         
Term: linkages                       Term Frequency: 2         
Term: second                         Term Frequency: 2         
Term: than                           Term Frequency: 2         
Term: limit                          Term Frequency: 2         
Term: me                             Term Frequency: 2         
Term: 570                            Term Frequency: 2         
Term: them                           Term Frequency: 2         
Term: alytics                        Term Frequency: 2         
Term: socialnetwork                  Term Frequency: 2         
Term: us                             Term Frequency: 2         
Term: held                           Term Frequency: 2         
Term: dicated                        Term Frequency: 2         
Term: depth                          Term Frequency: 2         
Term: addressed                      Term Frequency: 2         
Term: challenges                     Term Frequency: 2         
Term: scale                          Term Frequency: 2         
Term: observations                   Term Frequency: 2         
Term: edges                          Term Frequency: 2         
Term: i.e                            Term Frequency: 2         
Term: returned                       Term Frequency: 2         
Term: standard                       Term Frequency: 2         
Term: got                            Term Frequency: 2         
Term: contributed                    Term Frequency: 2         
Term: 606                            Term Frequency: 2         
Term: underlying                     Term Frequency: 2         
Term: larger                         Term Frequency: 2         
Term: tial                           Term Frequency: 2         
Term: whether                        Term Frequency: 2         
Term: 4th                            Term Frequency: 2         
Term: reciprocate                    Term Frequency: 2         
Term: discussion                     Term Frequency: 2         
Term: events                         Term Frequency: 2         
Term: separately                     Term Frequency: 2         
Term: circle                         Term Frequency: 2         
Term: diagram                        Term Frequency: 2         
Term: last                           Term Frequency: 2         
Term: dx.doi.org                     Term Frequency: 2         
Term: measure                        Term Frequency: 2         
Term: vided                          Term Frequency: 2         
Term: early                          Term Frequency: 2         
Term: consistent                     Term Frequency: 2         
Term: munity                         Term Frequency: 2         
Term: limitations                    Term Frequency: 2         
Term: visualized                     Term Frequency: 2         
Term: 7.5                            Term Frequency: 2         
Term: answer                         Term Frequency: 2         
Term: reply                          Term Frequency: 2         
Term: steps                          Term Frequency: 2         
Term: best                           Term Frequency: 2         
Term: attracting                     Term Frequency: 2         
Term: finding                        Term Frequency: 2         
Term: ids                            Term Frequency: 2         
Term: enable                         Term Frequency: 2         
Term: archeology                     Term Frequency: 2         
Term: paper                          Term Frequency: 2         
Term: fast                           Term Frequency: 2         
Term: centers                        Term Frequency: 2         
Term: nity                           Term Frequency: 2         
Term: annual                         Term Frequency: 2         
Term: ference                        Term Frequency: 2         
Term: centered                       Term Frequency: 2         
Term: leaving                        Term Frequency: 2         
Term: distance                       Term Frequency: 2         
Term: estimated                      Term Frequency: 2         
Term: mashe.hawksey.info             Term Frequency: 2         
Term: influence                      Term Frequency: 2         
Term: cloud                          Term Frequency: 2         
Term: duced                          Term Frequency: 2         
Term: front                          Term Frequency: 2         
Term: projects                       Term Frequency: 2         
Term: words                          Term Frequency: 2         
Term: validity                       Term Frequency: 2         
Term: however                        Term Frequency: 2         
Term: trained                        Term Frequency: 2         
Term: emerged                        Term Frequency: 2         
Term: focused                        Term Frequency: 2         
Term: total                          Term Frequency: 2         
Term: key                            Term Frequency: 2         
Term: sion                           Term Frequency: 2         
Term: allocation                     Term Frequency: 2         
Term: feedback                       Term Frequency: 2         
Term: computing                      Term Frequency: 2         
Term: topics.the                     Term Frequency: 2         
Term: thelearning                    Term Frequency: 2         
Term: increas                        Term Frequency: 2         
Term: page                           Term Frequency: 2         
Term: experience                     Term Frequency: 2         
Term: past                           Term Frequency: 2         
Term: emergence                      Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: messages                       Term Frequency: 2         
Term: interactivity                  Term Frequency: 2         
Term: interpreting                   Term Frequency: 2         
Term: though                         Term Frequency: 2         
Term: diameter                       Term Frequency: 2         
Term: sections                       Term Frequency: 2         
Term: mod                            Term Frequency: 2         
Term: still                          Term Frequency: 2         
Term: axis                           Term Frequency: 2         
Term: volume                         Term Frequency: 2         
Term: took                           Term Frequency: 2         
Term: andtopic                       Term Frequency: 2         
Term: around                         Term Frequency: 2         
Term: mechanism                      Term Frequency: 2         
Term: detailed                       Term Frequency: 2         
Term: rise                           Term Frequency: 2         
Term: enabled                        Term Frequency: 2         
Term: promoted                       Term Frequency: 2         
Term: attended                       Term Frequency: 2         
Term: publish                        Term Frequency: 2         
Term: counted                        Term Frequency: 2         
Term: assign                         Term Frequency: 2         
Term: promotion                      Term Frequency: 2         
Term: very                           Term Frequency: 2         
Term: issue                          Term Frequency: 2         
Term: survey                         Term Frequency: 2         
Term: communityin                    Term Frequency: 2         
Term: archived                       Term Frequency: 2         
Term: out                            Term Frequency: 2         
Term: mentioning                     Term Frequency: 2         
Term: development                    Term Frequency: 2         
Term: groups                         Term Frequency: 2         
Term: organizational                 Term Frequency: 2         
Term: faced                          Term Frequency: 2         
Term: wire                           Term Frequency: 2         
Term: live                           Term Frequency: 2         
Term: per                            Term Frequency: 2         
Term: indicating                     Term Frequency: 2         
Term: interested                     Term Frequency: 2         
Term: emerging                       Term Frequency: 2         
Term: given                          Term Frequency: 2         
Term: overview                       Term Frequency: 2         
Term: clicking                       Term Frequency: 2         
Term: workshop                       Term Frequency: 2         
Term: process                        Term Frequency: 2         
Term: 2015                           Term Frequency: 2         
Term: ucational                      Term Frequency: 2         
Term: streaming                      Term Frequency: 2         
Term: together                       Term Frequency: 2         
Term: positive                       Term Frequency: 2         
Term: machine                        Term Frequency: 2         
Term: return                         Term Frequency: 2         
Term: selected                       Term Frequency: 2         
Term: experiences                    Term Frequency: 2         
Term: since                          Term Frequency: 2         
Term: sentiment                      Term Frequency: 2         
Term: people                         Term Frequency: 2         
Term: colorare                       Term Frequency: 2         
Term: reasons                        Term Frequency: 2         
Term: every                          Term Frequency: 2         
Term: again                          Term Frequency: 2         
Term: leagues                        Term Frequency: 2         
Term: commu                          Term Frequency: 2         
Term: collective                     Term Frequency: 2         
Term: performance                    Term Frequency: 2         
Term: normally                       Term Frequency: 2         
Term: posted                         Term Frequency: 2         
Term: aspect                         Term Frequency: 2         
Term: aca                            Term Frequency: 2         
Term: red                            Term Frequency: 2         
Term: aggregated                     Term Frequency: 2         
Term: likelihood                     Term Frequency: 2         
Term: discus                         Term Frequency: 2         
Term: ask                            Term Frequency: 2         
Term: engagement                     Term Frequency: 2         
Term: leader                         Term Frequency: 2         
Term: usage                          Term Frequency: 2         
Term: participating                  Term Frequency: 2         
Term: connections                    Term Frequency: 2         
Term: increase                       Term Frequency: 2         
Term: extracted                      Term Frequency: 2         
Term: see                            Term Frequency: 2         
Term: getting                        Term Frequency: 2         
Term: big                            Term Frequency: 2         
Term: andmore                        Term Frequency: 2         
Term: thanks                         Term Frequency: 2         
Term: andreplies                     Term Frequency: 2         
Term: 1.1                            Term Frequency: 2         
Term: drawn                          Term Frequency: 2         
Term: trends                         Term Frequency: 2         
Term: extended                       Term Frequency: 2         
Term: 140                            Term Frequency: 2         
Term: pairs                          Term Frequency: 2         
Term: enhanced                       Term Frequency: 2         
Term: higher                         Term Frequency: 2         
Term: unfolding                      Term Frequency: 2         
Term: 177                            Term Frequency: 2         
Term: goal                           Term Frequency: 2         
Term: growing                        Term Frequency: 2         
Term: behaviors                      Term Frequency: 2         
Term: towards                        Term Frequency: 2         
Term: cleaning                       Term Frequency: 2         
Term: energy                         Term Frequency: 1         
Term: spreading                      Term Frequency: 1         
Term: 10.6                           Term Frequency: 1         
Term: 10.4                           Term Frequency: 1         
Term: cer                            Term Frequency: 1         
Term: same                           Term Frequency: 1         
Term: hand                           Term Frequency: 1         
Term: plasma                         Term Frequency: 1         
Term: 1022                           Term Frequency: 1         
Term: good                           Term Frequency: 1         
Term: scholars                       Term Frequency: 1         
Term: sani                           Term Frequency: 1         
Term: wererising                     Term Frequency: 1         
Term: multiple                       Term Frequency: 1         
Term: intoseveral                    Term Frequency: 1         
Term: 21st                           Term Frequency: 1         
Term: suitable                       Term Frequency: 1         
Term: componentsof                   Term Frequency: 1         
Term: withthe                        Term Frequency: 1         
Term: anal                           Term Frequency: 1         
Term: picture                        Term Frequency: 1         
Term: 2.1                            Term Frequency: 1         
Term: regard                         Term Frequency: 1         
Term: 2.7                            Term Frequency: 1         
Term: 2.9                            Term Frequency: 1         
Term: returningparticipants          Term Frequency: 1         
Term: ubiquity                       Term Frequency: 1         
Term: summarizing                    Term Frequency: 1         
Term: 202                            Term Frequency: 1         
Term: 24.0lak13                      Term Frequency: 1         
Term: appearanceover                 Term Frequency: 1         
Term: waschosen                      Term Frequency: 1         
Term: analyt                         Term Frequency: 1         
Term: 224                            Term Frequency: 1         
Term: activities                     Term Frequency: 1         
Term: 230                            Term Frequency: 1         
Term: 233                            Term Frequency: 1         
Term: untilno                        Term Frequency: 1         
Term: defined                        Term Frequency: 1         
Term: 240                            Term Frequency: 1         
Term: 241                            Term Frequency: 1         
Term: 246                            Term Frequency: 1         
Term: 249                            Term Frequency: 1         
Term: 254                            Term Frequency: 1         
Term: 259                            Term Frequency: 1         
Term: team                           Term Frequency: 1         
Term: reflecting                     Term Frequency: 1         
Term: attractedsome                  Term Frequency: 1         
Term: participant                    Term Frequency: 1         
Term: 273                            Term Frequency: 1         
Term: ipant                          Term Frequency: 1         
Term: actual                         Term Frequency: 1         
Term: widely                         Term Frequency: 1         
Term: 281                            Term Frequency: 1         
Term: until2012                      Term Frequency: 1         
Term: inspected                      Term Frequency: 1         
Term: 287                            Term Frequency: 1         
Term: shops                          Term Frequency: 1         
Term: integratedpicture              Term Frequency: 1         
Term: concept                        Term Frequency: 1         
Term: 297                            Term Frequency: 1         
Term: replying                       Term Frequency: 1         
Term: garnering                      Term Frequency: 1         
Term: start                          Term Frequency: 1         
Term: sanitizing                     Term Frequency: 1         
Term: terpret                        Term Frequency: 1         
Term: becamemuch                     Term Frequency: 1         
Term: duringconferences              Term Frequency: 1         
Term: networkdiameter                Term Frequency: 1         
Term: measured                       Term Frequency: 1         
Term: complementary                  Term Frequency: 1         
Term: measures                       Term Frequency: 1         
Term: 1,217                          Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: performed                      Term Frequency: 1         
Term: pointing                       Term Frequency: 1         
Term: keeps                          Term Frequency: 1         
Term: ferent                         Term Frequency: 1         
Term: stays                          Term Frequency: 1         
Term: introduction                   Term Frequency: 1         
Term: editors                        Term Frequency: 1         
Term: mentions                       Term Frequency: 1         
Term: largerbetweenness              Term Frequency: 1         
Term: nascent                        Term Frequency: 1         
Term: choosing                       Term Frequency: 1         
Term: traditionalconference          Term Frequency: 1         
Term: distinctive                    Term Frequency: 1         
Term: jotting                        Term Frequency: 1         
Term: possible                       Term Frequency: 1         
Term: 1129                           Term Frequency: 1         
Term: dia                            Term Frequency: 1         
Term: dif                            Term Frequency: 1         
Term: 1138                           Term Frequency: 1         
Term: 1137                           Term Frequency: 1         
Term: test                           Term Frequency: 1         
Term: propagation                    Term Frequency: 1         
Term: thediscussion                  Term Frequency: 1         
Term: visualizations                 Term Frequency: 1         
Term: suthers                        Term Frequency: 1         
Term: attempt                        Term Frequency: 1         
Term: teraction                      Term Frequency: 1         
Term: grams                          Term Frequency: 1         
Term: 1198                           Term Frequency: 1         
Term: theanalysis                    Term Frequency: 1         
Term: 1195                           Term Frequency: 1         
Term: hoping                         Term Frequency: 1         
Term: 3.4                            Term Frequency: 1         
Term: 3.7                            Term Frequency: 1         
Term: known                          Term Frequency: 1         
Term: stream                         Term Frequency: 1         
Term: entities_strthat               Term Frequency: 1         
Term: stand                          Term Frequency: 1         
Term: characterized                  Term Frequency: 1         
Term: withinparticipants             Term Frequency: 1         
Term: 304                            Term Frequency: 1         
Term: 308                            Term Frequency: 1         
Term: 317                            Term Frequency: 1         
Term: insuch                         Term Frequency: 1         
Term: establishment                  Term Frequency: 1         
Term: 329                            Term Frequency: 1         
Term: forpersonal                    Term Frequency: 1         
Term: eventsindicated                Term Frequency: 1         
Term: 335                            Term Frequency: 1         
Term: included                       Term Frequency: 1         
Term: attempting                     Term Frequency: 1         
Term: rapidly                        Term Frequency: 1         
Term: 341                            Term Frequency: 1         
Term: due                            Term Frequency: 1         
Term: 01                             Term Frequency: 1         
Term: 02                             Term Frequency: 1         
Term: 03                             Term Frequency: 1         
Term: empirical                      Term Frequency: 1         
Term: 09                             Term Frequency: 1         
Term: parsing                        Term Frequency: 1         
Term: observed                       Term Frequency: 1         
Term: thisdiagram                    Term Frequency: 1         
Term: 363                            Term Frequency: 1         
Term: highest                        Term Frequency: 1         
Term: 22                             Term Frequency: 1         
Term: creased                        Term Frequency: 1         
Term: identifieddifferent            Term Frequency: 1         
Term: likelihoodsper                 Term Frequency: 1         
