Term: analytics                      Term Frequency: 128       
Term: version                        Term Frequency: 7         
Term: extent                         Term Frequency: 7         
Term: so                             Term Frequency: 7         
Term: educational                    Term Frequency: 7         
Term: facilitate                     Term Frequency: 7         
Term: related                        Term Frequency: 7         
Term: may                            Term Frequency: 7         
Term: indicated                      Term Frequency: 7         
Term: tool                           Term Frequency: 7         
Term: when                           Term Frequency: 7         
Term: cycles                         Term Frequency: 7         
Term: designed                       Term Frequency: 7         
Term: 2013                           Term Frequency: 7         
Term: collection                     Term Frequency: 7         
Term: where                          Term Frequency: 7         
Term: participating                  Term Frequency: 7         
Term: current                        Term Frequency: 7         
Term: 9                              Term Frequency: 6         
Term: order                          Term Frequency: 6         
Term: requires                       Term Frequency: 6         
Term: areas                          Term Frequency: 6         
Term: 0.15                           Term Frequency: 6         
Term: 0.43                           Term Frequency: 6         
Term: being                          Term Frequency: 6         
Term: 0.85                           Term Frequency: 6         
Term: 24                             Term Frequency: 6         
Term: 29                             Term Frequency: 6         
Term: variables                      Term Frequency: 6         
Term: environment                    Term Frequency: 6         
Term: al                             Term Frequency: 6         
Term: et                             Term Frequency: 6         
Term: likely                         Term Frequency: 6         
Term: ir                             Term Frequency: 6         
Term: pp                             Term Frequency: 6         
Term: scale                          Term Frequency: 6         
Term: time                           Term Frequency: 6         
Term: values                         Term Frequency: 6         
Term: questions                      Term Frequency: 6         
Term: regression                     Term Frequency: 6         
Term: based                          Term Frequency: 6         
Term: number                         Term Frequency: 6         
Term: removed                        Term Frequency: 6         
Term: indicate                       Term Frequency: 6         
Term: however                        Term Frequency: 6         
Term: informed                       Term Frequency: 6         
Term: example                        Term Frequency: 6         
Term: eigenvalue                     Term Frequency: 6         
Term: involved                       Term Frequency: 6         
Term: classification                 Term Frequency: 6         
Term: science                        Term Frequency: 6         
Term: levels                         Term Frequency: 6         
Term: 2014                           Term Frequency: 6         
Term: any                            Term Frequency: 6         
Term: organizations                  Term Frequency: 6         
Term: sample                         Term Frequency: 6         
Term: participants                   Term Frequency: 6         
Term: responses                      Term Frequency: 6         
Term: after                          Term Frequency: 5         
Term: e.g                            Term Frequency: 5         
Term: reflective                     Term Frequency: 5         
Term: actual                         Term Frequency: 5         
Term: reflection                     Term Frequency: 5         
Term: concept                        Term Frequency: 5         
Term: critical                       Term Frequency: 5         
Term: did                            Term Frequency: 5         
Term: make                           Term Frequency: 5         
Term: 12                             Term Frequency: 5         
Term: 13                             Term Frequency: 5         
Term: 18                             Term Frequency: 5         
Term: 19                             Term Frequency: 5         
Term: 32                             Term Frequency: 5         
Term: theory                         Term Frequency: 5         
Term: eds                            Term Frequency: 5         
Term: ethics                         Term Frequency: 5         
Term: classifications                Term Frequency: 5         
Term: four                           Term Frequency: 5         
Term: gave                           Term Frequency: 5         
Term: become                         Term Frequency: 5         
Term: analyzed                       Term Frequency: 5         
Term: changes                        Term Frequency: 5         
Term: focus                          Term Frequency: 5         
Term: approach                       Term Frequency: 5         
Term: framework                      Term Frequency: 5         
Term: effort                         Term Frequency: 5         
Term: before                         Term Frequency: 5         
Term: limitations                    Term Frequency: 5         
Term: solution                       Term Frequency: 5         
Term: complex                        Term Frequency: 5         
Term: focused                        Term Frequency: 5         
Term: initiative                     Term Frequency: 5         
Term: between                        Term Frequency: 5         
Term: leaders                        Term Frequency: 5         
Term: applied                        Term Frequency: 5         
Term: goals                          Term Frequency: 5         
Term: components                     Term Frequency: 5         
Term: open                           Term Frequency: 5         
Term: internal                       Term Frequency: 5         
Term: ultimately                     Term Frequency: 5         
Term: exploratory                    Term Frequency: 5         
Term: very                           Term Frequency: 5         
Term: practice                       Term Frequency: 5         
Term: ensure                         Term Frequency: 5         
Term: support                        Term Frequency: 5         
Term: design                         Term Frequency: 5         
Term: working                        Term Frequency: 5         
Term: continue                       Term Frequency: 5         
Term: some                           Term Frequency: 5         
Term: 2012                           Term Frequency: 5         
Term: item                           Term Frequency: 5         
Term: over                           Term Frequency: 5         
Term: actors                         Term Frequency: 5         
Term: better                         Term Frequency: 4         
Term: implications                   Term Frequency: 4         
Term: findings                       Term Frequency: 4         
Term: 10.1207                        Term Frequency: 4         
Term: examining                      Term Frequency: 4         
Term: 0.05                           Term Frequency: 4         
Term: known                          Term Frequency: 4         
Term: 11                             Term Frequency: 4         
Term: 17                             Term Frequency: 4         
Term: 22                             Term Frequency: 4         
Term: 23                             Term Frequency: 4         
Term: 27                             Term Frequency: 4         
Term: examined                       Term Frequency: 4         
Term: 35                             Term Frequency: 4         
Term: 37                             Term Frequency: 4         
Term: 38                             Term Frequency: 4         
Term: rapid                          Term Frequency: 4         
Term: 90                             Term Frequency: 4         
Term: 10.1145                        Term Frequency: 4         
Term: often                          Term Frequency: 4         
Term: end                            Term Frequency: 4         
Term: 100.0                          Term Frequency: 4         
Term: skills                         Term Frequency: 4         
Term: effectively                    Term Frequency: 4         
Term: issues                         Term Frequency: 4         
Term: section                        Term Frequency: 4         
Term: presented                      Term Frequency: 4         
Term: maturity                       Term Frequency: 4         
Term: 560                            Term Frequency: 4         
Term: perspectives                   Term Frequency: 4         
Term: decision                       Term Frequency: 4         
Term: terms                          Term Frequency: 4         
Term: tools                          Term Frequency: 4         
Term: without                        Term Frequency: 4         
Term: understand                     Term Frequency: 4         
Term: discussed                      Term Frequency: 4         
Term: whether                        Term Frequency: 4         
Term: policies                       Term Frequency: 4         
Term: universities                   Term Frequency: 4         
Term: having                         Term Frequency: 4         
Term: potential                      Term Frequency: 4         
Term: reflect                        Term Frequency: 4         
Term: stakeholders                   Term Frequency: 4         
Term: local                          Term Frequency: 4         
Term: decisions                      Term Frequency: 4         
Term: completed                      Term Frequency: 4         
Term: significant                    Term Frequency: 4         
Term: ethically                      Term Frequency: 4         
Term: influence                      Term Frequency: 4         
Term: types                          Term Frequency: 4         
Term: outcomes                       Term Frequency: 4         
Term: successfully                   Term Frequency: 4         
Term: making                         Term Frequency: 4         
Term: lens                           Term Frequency: 4         
Term: considerations                 Term Frequency: 4         
Term: above                          Term Frequency: 4         
Term: domains                        Term Frequency: 4         
Term: engage                         Term Frequency: 4         
Term: models                         Term Frequency: 4         
Term: what                           Term Frequency: 4         
Term: furthermore                    Term Frequency: 4         
Term: library                        Term Frequency: 4         
Term: variety                        Term Frequency: 4         
Term: efforts                        Term Frequency: 4         
Term: external                       Term Frequency: 4         
Term: linear                         Term Frequency: 4         
Term: actions                        Term Frequency: 4         
Term: group                          Term Frequency: 4         
Term: general                        Term Frequency: 4         
Term: resources                      Term Frequency: 4         
Term: building                       Term Frequency: 4         
Term: therefore                      Term Frequency: 4         
Term: system                         Term Frequency: 4         
Term: amount                         Term Frequency: 4         
Term: several                        Term Frequency: 4         
Term: nature                         Term Frequency: 4         
Term: missing                        Term Frequency: 4         
Term: review                         Term Frequency: 4         
Term: response                       Term Frequency: 4         
Term: investment                     Term Frequency: 3         
Term: net.educause.edu               Term Frequency: 3         
Term: result                         Term Frequency: 3         
Term: investigators                  Term Frequency: 3         
Term: question                       Term Frequency: 3         
Term: representative                 Term Frequency: 3         
Term: activities                     Term Frequency: 3         
Term: state                          Term Frequency: 3         
Term: two                            Term Frequency: 3         
Term: reported                       Term Frequency: 3         
Term: participate                    Term Frequency: 3         
Term: consistency                    Term Frequency: 3         
Term: required                       Term Frequency: 3         
Term: emergent                       Term Frequency: 3         
Term: conceptual                     Term Frequency: 3         
Term: www.educause.edu               Term Frequency: 3         
Term: kurtosis                       Term Frequency: 3         
Term: 0.01                           Term Frequency: 3         
Term: 0.12                           Term Frequency: 3         
Term: 0.02                           Term Frequency: 3         
Term: 0.22                           Term Frequency: 3         
Term: 0.23                           Term Frequency: 3         
Term: final                          Term Frequency: 3         
Term: 0.30                           Term Frequency: 3         
Term: 3.8                            Term Frequency: 3         
Term: 319                            Term Frequency: 3         
Term: rapidly                        Term Frequency: 3         
Term: 20                             Term Frequency: 3         
Term: 25                             Term Frequency: 3         
Term: 26                             Term Frequency: 3         
Term: examine                        Term Frequency: 3         
Term: 28                             Term Frequency: 3         
Term: 30                             Term Frequency: 3         
Term: 31                             Term Frequency: 3         
Term: 33                             Term Frequency: 3         
Term: allowed                        Term Frequency: 3         
Term: community                      Term Frequency: 3         
Term: missions                       Term Frequency: 3         
Term: 4.8                            Term Frequency: 3         
Term: perception                     Term Frequency: 3         
Term: rates                          Term Frequency: 3         
Term: improving                      Term Frequency: 3         
Term: explore                        Term Frequency: 3         
Term: great                          Term Frequency: 3         
Term: statistics                     Term Frequency: 3         
Term: experimentation                Term Frequency: 3         
Term: ed                             Term Frequency: 3         
Term: needs                          Term Frequency: 3         
Term: 5.3                            Term Frequency: 3         
Term: digital                        Term Frequency: 3         
Term: form                           Term Frequency: 3         
Term: adaptation                     Term Frequency: 3         
Term: loaded                         Term Frequency: 3         
Term: gap                            Term Frequency: 3         
Term: power                          Term Frequency: 3         
Term: help                           Term Frequency: 3         
Term: self                           Term Frequency: 3         
Term: techniques                     Term Frequency: 3         
Term: i.e                            Term Frequency: 3         
Term: possess                        Term Frequency: 3         
Term: sets                           Term Frequency: 3         
Term: changing                       Term Frequency: 3         
Term: classroom                      Term Frequency: 3         
Term: almost                         Term Frequency: 3         
Term: units                          Term Frequency: 3         
Term: input                          Term Frequency: 3         
Term: must                           Term Frequency: 3         
Term: found                          Term Frequency: 3         
Term: instructors                    Term Frequency: 3         
Term: infrastructure                 Term Frequency: 3         
Term: action                         Term Frequency: 3         
Term: able                           Term Frequency: 3         
Term: steps                          Term Frequency: 3         
Term: best                           Term Frequency: 3         
Term: fact                           Term Frequency: 3         
Term: growth                         Term Frequency: 3         
Term: production                     Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: initiatives                    Term Frequency: 3         
Term: 10.2307                        Term Frequency: 3         
Term: largely                        Term Frequency: 3         
Term: rotated                        Term Frequency: 3         
Term: cycle                          Term Frequency: 3         
Term: total                          Term Frequency: 3         
Term: key                            Term Frequency: 3         
Term: ready                          Term Frequency: 3         
Term: collapsed                      Term Frequency: 3         
Term: full                           Term Frequency: 3         
Term: appropriately                  Term Frequency: 3         
Term: primary                        Term Frequency: 3         
Term: teaching                       Term Frequency: 3         
Term: particular                     Term Frequency: 3         
Term: adopting                       Term Frequency: 3         
Term: statistically                  Term Frequency: 3         
Term: evaluate                       Term Frequency: 3         
Term: surveyed                       Term Frequency: 3         
Term: iterative                      Term Frequency: 3         
Term: revised                        Term Frequency: 3         
Term: emerge                         Term Frequency: 3         
Term: driven                         Term Frequency: 3         
Term: boundary                       Term Frequency: 3         
Term: influenced                     Term Frequency: 3         
Term: sciences                       Term Frequency: 3         
Term: non                            Term Frequency: 3         
Term: now                            Term Frequency: 3         
Term: organization                   Term Frequency: 3         
Term: along                          Term Frequency: 3         
Term: innovation                     Term Frequency: 3         
Term: traditional                    Term Frequency: 3         
Term: off                            Term Frequency: 3         
Term: determine                      Term Frequency: 3         
Term: distribution                   Term Frequency: 3         
Term: out                            Term Frequency: 3         
Term: note                           Term Frequency: 3         
Term: affairs                        Term Frequency: 3         
Term: cognition                      Term Frequency: 3         
Term: groups                         Term Frequency: 3         
Term: frames                         Term Frequency: 3         
Term: even                           Term Frequency: 3         
Term: indicating                     Term Frequency: 3         
Term: rotation                       Term Frequency: 3         
Term: consider                       Term Frequency: 3         
Term: prior                          Term Frequency: 3         
Term: 2007                           Term Frequency: 3         
Term: classified                     Term Frequency: 3         
Term: together                       Term Frequency: 3         
Term: leadership                     Term Frequency: 3         
Term: people                         Term Frequency: 3         
Term: again                          Term Frequency: 3         
Term: intervention                   Term Frequency: 3         
Term: holding                        Term Frequency: 3         
Term: scaffolding                    Term Frequency: 3         
Term: cultural                       Term Frequency: 3         
Term: learners                       Term Frequency: 3         
Term: 48109                          Term Frequency: 3         
Term: broad                          Term Frequency: 3         
Term: greater                        Term Frequency: 3         
Term: deal                           Term Frequency: 3         
Term: little                         Term Frequency: 3         
Term: practical                      Term Frequency: 3         
Term: retained                       Term Frequency: 3         
Term: big                            Term Frequency: 3         
Term: reduce                         Term Frequency: 3         
Term: practitioners                  Term Frequency: 3         
Term: begin                          Term Frequency: 3         
Term: constant                       Term Frequency: 3         
Term: behind                         Term Frequency: 3         
Term: 163                            Term Frequency: 3         
Term: towards                        Term Frequency: 3         
Term: category                       Term Frequency: 3         
Term: half                           Term Frequency: 2         
Term: 10.7                           Term Frequency: 2         
Term: same                           Term Frequency: 2         
Term: good                           Term Frequency: 2         
Term: 21st                           Term Frequency: 2         
Term: taking                         Term Frequency: 2         
Term: reform                         Term Frequency: 2         
Term: stable                         Term Frequency: 2         
Term: respond                        Term Frequency: 2         
Term: defined                        Term Frequency: 2         
Term: creating                       Term Frequency: 2         
Term: cut                            Term Frequency: 2         
Term: 264                            Term Frequency: 2         
Term: campus                         Term Frequency: 2         
Term: surprising                     Term Frequency: 2         
Term: prevalent                      Term Frequency: 2         
Term: instructor                     Term Frequency: 2         
Term: third                          Term Frequency: 2         
Term: impact                         Term Frequency: 2         
Term: business                       Term Frequency: 2         
Term: quarter                        Term Frequency: 2         
Term: 0.19                           Term Frequency: 2         
Term: 0.18                           Term Frequency: 2         
Term: 0.13                           Term Frequency: 2         
Term: 0.28                           Term Frequency: 2         
Term: load                           Term Frequency: 2         
Term: 0.27                           Term Frequency: 2         
Term: 0.25                           Term Frequency: 2         
Term: 0.42                           Term Frequency: 2         
Term: 0.38                           Term Frequency: 2         
Term: 0.46                           Term Frequency: 2         
Term: 0.62                           Term Frequency: 2         
Term: 0.59                           Term Frequency: 2         
Term: 3.4                            Term Frequency: 2         
Term: 3.6                            Term Frequency: 2         
Term: 0.73                           Term Frequency: 2         
Term: forward                        Term Frequency: 2         
Term: 0.83                           Term Frequency: 2         
Term: arrangement                    Term Frequency: 2         
Term: includes                       Term Frequency: 2         
Term: 336                            Term Frequency: 2         
Term: inform                         Term Frequency: 2         
Term: released                       Term Frequency: 2         
Term: 14                             Term Frequency: 2         
Term: 21                             Term Frequency: 2         
Term: participated                   Term Frequency: 2         
Term: relationship                   Term Frequency: 2         
Term: 34                             Term Frequency: 2         
Term: 36                             Term Frequency: 2         
Term: 39                             Term Frequency: 2         
Term: numbers                        Term Frequency: 2         
Term: loop                           Term Frequency: 2         
Term: 57                             Term Frequency: 2         
Term: 65                             Term Frequency: 2         
Term: common                         Term Frequency: 2         
Term: 79                             Term Frequency: 2         
Term: 25.0                           Term Frequency: 2         
Term: appropriate                    Term Frequency: 2         
Term: learn                          Term Frequency: 2         
Term: alignment                      Term Frequency: 2         
Term: useful                         Term Frequency: 2         
Term: noted                          Term Frequency: 2         
Term: 4.5                            Term Frequency: 2         
Term: asked                          Term Frequency: 2         
Term: ers1207                        Term Frequency: 2         
Term: strategy                       Term Frequency: 2         
Term: forms                          Term Frequency: 2         
Term: represented                    Term Frequency: 2         
Term: beneficence                    Term Frequency: 2         
Term: structures                     Term Frequency: 2         
Term: describe                       Term Frequency: 2         
Term: technological                  Term Frequency: 2         
Term: might                          Term Frequency: 2         
Term: next                           Term Frequency: 2         
Term: way                            Term Frequency: 2         
Term: urban                          Term Frequency: 2         
Term: 5.2.2                          Term Frequency: 2         
Term: differences                    Term Frequency: 2         
Term: categories                     Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: inner                          Term Frequency: 2         
Term: colleges                       Term Frequency: 2         
Term: variance                       Term Frequency: 2         
Term: fit                            Term Frequency: 2         
Term: analyzing                      Term Frequency: 2         
Term: simultaneously                 Term Frequency: 2         
Term: rate                           Term Frequency: 2         
Term: misunderstandings              Term Frequency: 2         
Term: else                           Term Frequency: 2         
Term: aimed                          Term Frequency: 2         
Term: literature                     Term Frequency: 2         
Term: second                         Term Frequency: 2         
Term: suggests                       Term Frequency: 2         
Term: author                         Term Frequency: 2         
Term: institution's                  Term Frequency: 2         
Term: them                           Term Frequency: 2         
Term: ambiguity                      Term Frequency: 2         
Term: failure                        Term Frequency: 2         
Term: vs                             Term Frequency: 2         
Term: we                             Term Frequency: 2         
Term: phase                          Term Frequency: 2         
Term: surrounding                    Term Frequency: 2         
Term: teams                          Term Frequency: 2         
Term: continues                      Term Frequency: 2         
Term: continued                      Term Frequency: 2         
Term: transformation                 Term Frequency: 2         
Term: create                         Term Frequency: 2         
Term: innovations                    Term Frequency: 2         
Term: much                           Term Frequency: 2         
Term: contributed                    Term Frequency: 2         
Term: area                           Term Frequency: 2         
Term: lack                           Term Frequency: 2         
Term: evolution                      Term Frequency: 2         
Term: considered                     Term Frequency: 2         
Term: underlying                     Term Frequency: 2         
Term: discusses                      Term Frequency: 2         
Term: 4th                            Term Frequency: 2         
Term: early                          Term Frequency: 2         
Term: contentious                    Term Frequency: 2         
Term: initially                      Term Frequency: 2         
Term: applications                   Term Frequency: 2         
Term: philosophy                     Term Frequency: 2         
Term: solicited                      Term Frequency: 2         
Term: mean                           Term Frequency: 2         
Term: been                           Term Frequency: 2         
Term: diverse                        Term Frequency: 2         
Term: opportunity                    Term Frequency: 2         
Term: prerequisite                   Term Frequency: 2         
Term: approximately                  Term Frequency: 2         
Term: difficult                      Term Frequency: 2         
Term: 4.00                           Term Frequency: 2         
Term: 29.1                           Term Frequency: 2         
Term: evolve                         Term Frequency: 2         
Term: coordination                   Term Frequency: 2         
Term: nuanced                        Term Frequency: 2         
Term: objects                        Term Frequency: 2         
Term: lenses                         Term Frequency: 2         
Term: providing                      Term Frequency: 2         
Term: rationale                      Term Frequency: 2         
Term: communicate                    Term Frequency: 2         
Term: factoring                      Term Frequency: 2         
Term: previously                     Term Frequency: 2         
Term: distributed                    Term Frequency: 2         
Term: governance                     Term Frequency: 2         
Term: coupled                        Term Frequency: 2         
Term: productive                     Term Frequency: 2         
Term: 10.1007                        Term Frequency: 2         
Term: taken                          Term Frequency: 2         
Term: colleagues                     Term Frequency: 2         
Term: learned                        Term Frequency: 2         
Term: 10.1023                        Term Frequency: 2         
Term: disciplinary                   Term Frequency: 2         
Term: original                       Term Frequency: 2         
Term: subsequent                     Term Frequency: 2         
Term: developed                      Term Frequency: 2         
Term: 978                            Term Frequency: 2         
Term: prompt                         Term Frequency: 2         
Term: thinking                       Term Frequency: 2         
Term: century                        Term Frequency: 2         
Term: report                         Term Frequency: 2         
Term: administered                   Term Frequency: 2         
Term: acknowledge                    Term Frequency: 2         
Term: access                         Term Frequency: 2         
Term: fourth                         Term Frequency: 2         
Term: throughout                     Term Frequency: 2         
Term: reach                          Term Frequency: 2         
Term: place                          Term Frequency: 2         
Term: accepted                       Term Frequency: 2         
Term: greatest                       Term Frequency: 2         
Term: corresponding                  Term Frequency: 2         
Term: statistical                    Term Frequency: 2         
Term: address                        Term Frequency: 2         
Term: deploying                      Term Frequency: 2         
Term: onto                           Term Frequency: 2         
Term: personnel                      Term Frequency: 2         
Term: inventories                    Term Frequency: 2         
Term: considering                    Term Frequency: 2         
Term: upon                           Term Frequency: 2         
Term: successive                     Term Frequency: 2         
Term: improve                        Term Frequency: 2         
Term: teacher                        Term Frequency: 2         
Term: similarly                      Term Frequency: 2         
Term: 19.5                           Term Frequency: 2         
Term: develop                        Term Frequency: 2         
Term: motivation                     Term Frequency: 2         
Term: manage                         Term Frequency: 2         
Term: equal                          Term Frequency: 2         
Term: skewness                       Term Frequency: 2         
Term: 1988                           Term Frequency: 2         
Term: 1998                           Term Frequency: 2         
Term: computer                       Term Frequency: 2         
Term: low                            Term Frequency: 2         
Term: screeplot                      Term Frequency: 2         
Term: done                           Term Frequency: 2         
Term: part                           Term Frequency: 2         
Term: conversations                  Term Frequency: 2         
Term: principal                      Term Frequency: 2         
Term: interaction                    Term Frequency: 2         
Term: path                           Term Frequency: 2         
Term: whose                          Term Frequency: 2         
Term: domain                         Term Frequency: 2         
Term: mind                           Term Frequency: 2         
Term: rather                         Term Frequency: 2         
Term: human                          Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: tenths                         Term Frequency: 2         
Term: served                         Term Frequency: 2         
Term: literacy                       Term Frequency: 2         
Term: comprise                       Term Frequency: 2         
Term: received                       Term Frequency: 2         
Term: quality                        Term Frequency: 2         
Term: association                    Term Frequency: 2         
Term: believe                        Term Frequency: 2         
Term: project                        Term Frequency: 2         
Term: solutions                      Term Frequency: 2         
Term: allow                          Term Frequency: 2         
Term: constituencies                 Term Frequency: 2         
Term: among                          Term Frequency: 2         
Term: axis                           Term Frequency: 2         
Term: variable                       Term Frequency: 2         
Term: educate                        Term Frequency: 2         
Term: moving                         Term Frequency: 2         
Term: agreement                      Term Frequency: 2         
Term: matrix                         Term Frequency: 2         
Term: behavior                       Term Frequency: 2         
Term: originally                     Term Frequency: 2         
Term: technical                      Term Frequency: 2         
Term: indicates                      Term Frequency: 2         
Term: media                          Term Frequency: 2         
Term: specific                       Term Frequency: 2         
Term: professional                   Term Frequency: 2         
Term: nearly                         Term Frequency: 2         
Term: scaffolds                      Term Frequency: 2         
Term: determined                     Term Frequency: 2         
Term: utilize                        Term Frequency: 2         
Term: frame                          Term Frequency: 2         
Term: identifying                    Term Frequency: 2         
Term: resulting                      Term Frequency: 2         
Term: implementations                Term Frequency: 2         
Term: awareness                      Term Frequency: 2         
Term: wide                           Term Frequency: 2         
Term: closing                        Term Frequency: 2         
Term: method                         Term Frequency: 2         
Term: exist                          Term Frequency: 2         
Term: matures                        Term Frequency: 2         
Term: matured                        Term Frequency: 2         
Term: successes                      Term Frequency: 2         
Term: like                           Term Frequency: 2         
Term: allowing                       Term Frequency: 2         
Term: functions                      Term Frequency: 2         
Term: apparent                       Term Frequency: 2         
Term: component                      Term Frequency: 2         
Term: analyses                       Term Frequency: 2         
Term: conversation                   Term Frequency: 2         
Term: list                           Term Frequency: 2         
Term: engaged                        Term Frequency: 2         
Term: imperative                     Term Frequency: 2         
Term: environments                   Term Frequency: 2         
Term: unclear                        Term Frequency: 2         
Term: validate                       Term Frequency: 2         
Term: pub                            Term Frequency: 2         
Term: assumptions                    Term Frequency: 2         
Term: major                          Term Frequency: 2         
Term: applying                       Term Frequency: 2         
Term: population                     Term Frequency: 2         
