Term: collaboration                  Term Frequency: 46        
Term: speech                         Term Frequency: 5         
Term: perceived                      Term Frequency: 5         
Term: average                        Term Frequency: 5         
Term: whereas                        Term Frequency: 5         
Term: 15                             Term Frequency: 5         
Term: experiments                    Term Frequency: 5         
Term: estimation                     Term Frequency: 5         
Term: new                            Term Frequency: 5         
Term: automatically                  Term Frequency: 5         
Term: supported                      Term Frequency: 5         
Term: raters                         Term Frequency: 5         
Term: determined                     Term Frequency: 5         
Term: effect                         Term Frequency: 5         
Term: class                          Term Frequency: 5         
Term: support                        Term Frequency: 5         
Term: chains                         Term Frequency: 5         
Term: entire                         Term Frequency: 5         
Term: automatic                      Term Frequency: 5         
Term: measure                        Term Frequency: 5         
Term: time                           Term Frequency: 5         
Term: manually                       Term Frequency: 5         
Term: values                         Term Frequency: 5         
Term: evaluation                     Term Frequency: 5         
Term: processing                     Term Frequency: 5         
Term: perspective                    Term Frequency: 5         
Term: previously                     Term Frequency: 5         
Term: number                         Term Frequency: 5         
Term: relatedness                    Term Frequency: 5         
Term: annotations                    Term Frequency: 5         
Term: following                      Term Frequency: 5         
Term: elements                       Term Frequency: 5         
Term: only                           Term Frequency: 5         
Term: corresponding                  Term Frequency: 5         
Term: 7                              Term Frequency: 4         
Term: r                              Term Frequency: 4         
Term: applied                        Term Frequency: 4         
Term: actual                         Term Frequency: 4         
Term: concept                        Term Frequency: 4         
Term: measured                       Term Frequency: 4         
Term: initial                        Term Frequency: 4         
Term: part                           Term Frequency: 4         
Term: human                          Term Frequency: 4         
Term: becomes                        Term Frequency: 4         
Term: structure                      Term Frequency: 4         
Term: 13                             Term Frequency: 4         
Term: 20                             Term Frequency: 4         
Term: 21                             Term Frequency: 4         
Term: 23                             Term Frequency: 4         
Term: 73                             Term Frequency: 4         
Term: 76                             Term Frequency: 4         
Term: 80                             Term Frequency: 4         
Term: 91                             Term Frequency: 4         
Term: distances                      Term Frequency: 4         
Term: referencing                    Term Frequency: 4         
Term: sharing                        Term Frequency: 4         
Term: topic                          Term Frequency: 4         
Term: analyzing                      Term Frequency: 4         
Term: one                            Term Frequency: 4         
Term: discussion                     Term Frequency: 4         
Term: been                           Term Frequency: 4         
Term: 2010                           Term Frequency: 4         
Term: 2006                           Term Frequency: 4         
Term: validation                     Term Frequency: 4         
Term: ongoing                        Term Frequency: 4         
Term: assessing                      Term Frequency: 4         
Term: speaker                        Term Frequency: 4         
Term: normalized                     Term Frequency: 4         
Term: validated                      Term Frequency: 4         
Term: value                          Term Frequency: 4         
Term: scenarios                      Term Frequency: 4         
Term: manual                         Term Frequency: 4         
Term: exchange                       Term Frequency: 4         
Term: points                         Term Frequency: 4         
Term: relations                      Term Frequency: 4         
Term: view                           Term Frequency: 4         
Term: modeling                       Term Frequency: 4         
Term: high                           Term Frequency: 4         
Term: chats                          Term Frequency: 4         
Term: occurrences                    Term Frequency: 4         
Term: sum                            Term Frequency: 4         
Term: frequency                      Term Frequency: 4         
Term: coverage                       Term Frequency: 4         
Term: natural                        Term Frequency: 4         
Term: individual                     Term Frequency: 4         
Term: statistical                    Term Frequency: 3         
Term: keywords                       Term Frequency: 3         
Term: representation                 Term Frequency: 3         
Term: provides                       Term Frequency: 3         
Term: state                          Term Frequency: 3         
Term: involved                       Term Frequency: 3         
Term: measures                       Term Frequency: 3         
Term: tutors                         Term Frequency: 3         
Term: performed                      Term Frequency: 3         
Term: ontologies                     Term Frequency: 3         
Term: term                           Term Frequency: 3         
Term: graph                          Term Frequency: 3         
Term: continuation                   Term Frequency: 3         
Term: 11                             Term Frequency: 3         
Term: 14                             Term Frequency: 3         
Term: 16                             Term Frequency: 3         
Term: 18                             Term Frequency: 3         
Term: 22                             Term Frequency: 3         
Term: 25                             Term Frequency: 3         
Term: 27                             Term Frequency: 3         
Term: 34                             Term Frequency: 3         
Term: 74                             Term Frequency: 3         
Term: 81                             Term Frequency: 3         
Term: reliable                       Term Frequency: 3         
Term: 90                             Term Frequency: 3         
Term: debated                        Term Frequency: 3         
Term: exchanged                      Term Frequency: 3         
Term: classes                        Term Frequency: 3         
Term: now                            Term Frequency: 3         
Term: certain                        Term Frequency: 3         
Term: who                            Term Frequency: 3         
Term: approx                         Term Frequency: 3         
Term: scoring                        Term Frequency: 3         
Term: contrast                       Term Frequency: 3         
Term: second                         Term Frequency: 3         
Term: cognitive                      Term Frequency: 3         
Term: course                         Term Frequency: 3         
Term: proposed                       Term Frequency: 3         
Term: link                           Term Frequency: 3         
Term: factors                        Term Frequency: 3         
Term: combined                       Term Frequency: 3         
Term: considered                     Term Frequency: 3         
Term: approach                       Term Frequency: 3         
Term: automated                      Term Frequency: 3         
Term: dimension                      Term Frequency: 3         
Term: alternative                    Term Frequency: 3         
Term: corpus                         Term Frequency: 3         
Term: 2007                           Term Frequency: 3         
Term: 2013                           Term Frequency: 3         
Term: machine                        Term Frequency: 3         
Term: processes                      Term Frequency: 3         
Term: reflect                        Term Frequency: 3         
Term: during                         Term Frequency: 3         
Term: linguistics                    Term Frequency: 3         
Term: reference                      Term Frequency: 3         
Term: resolution                     Term Frequency: 3         
Term: algorithm                      Term Frequency: 3         
Term: system                         Term Frequency: 3         
Term: aim                            Term Frequency: 3         
Term: copies                         Term Frequency: 3         
Term: consists                       Term Frequency: 3         
Term: centered                       Term Frequency: 3         
Term: overlap                        Term Frequency: 3         
Term: estimator                      Term Frequency: 3         
Term: both                           Term Frequency: 3         
Term: interactions                   Term Frequency: 3         
Term: highlight                      Term Frequency: 3         
Term: extracted                      Term Frequency: 3         
Term: afterwards                     Term Frequency: 3         
Term: see                            Term Frequency: 3         
Term: transferred                    Term Frequency: 3         
Term: related                        Term Frequency: 3         
Term: emerges                        Term Frequency: 3         
Term: focused                        Term Frequency: 3         
Term: technology                     Term Frequency: 3         
Term: should                         Term Frequency: 3         
Term: hand                           Term Frequency: 2         
Term: good                           Term Frequency: 2         
Term: others                         Term Frequency: 2         
Term: versus                         Term Frequency: 2         
Term: better                         Term Frequency: 2         
Term: well                           Term Frequency: 2         
Term: considering                    Term Frequency: 2         
Term: noise                          Term Frequency: 2         
Term: word’s                         Term Frequency: 2         
Term: upon                           Term Frequency: 2         
Term: transversal                    Term Frequency: 2         
Term: function                       Term Frequency: 2         
Term: cs.pub.ro                      Term Frequency: 2         
Term: productions                    Term Frequency: 2         
Term: defined                        Term Frequency: 2         
Term: two                            Term Frequency: 2         
Term: technologies                   Term Frequency: 2         
Term: three                          Term Frequency: 2         
Term: specifically                   Term Frequency: 2         
Term: low                            Term Frequency: 2         
Term: 1999                           Term Frequency: 2         
Term: zone                           Term Frequency: 2         
Term: introduction                   Term Frequency: 2         
Term: impact                         Term Frequency: 2         
Term: whose                          Term Frequency: 2         
Term: assigned                       Term Frequency: 2         
Term: maximum                        Term Frequency: 2         
Term: lemmas                         Term Frequency: 2         
Term: permission                     Term Frequency: 2         
Term: sense                          Term Frequency: 2         
Term: evaluate                       Term Frequency: 2         
Term: use                            Term Frequency: 2         
Term: recognition                    Term Frequency: 2         
Term: 313                            Term Frequency: 2         
Term: approximation                  Term Frequency: 2         
Term: due                            Term Frequency: 2         
Term: 03                             Term Frequency: 2         
Term: meaning                        Term Frequency: 2         
Term: 12                             Term Frequency: 2         
Term: 17                             Term Frequency: 2         
Term: 19                             Term Frequency: 2         
Term: 24                             Term Frequency: 2         
Term: 26                             Term Frequency: 2         
Term: 31                             Term Frequency: 2         
Term: 47                             Term Frequency: 2         
Term: greedy                         Term Frequency: 2         
Term: achieving                      Term Frequency: 2         
Term: interest                       Term Frequency: 2         
Term: 70                             Term Frequency: 2         
Term: 78                             Term Frequency: 2         
Term: 79                             Term Frequency: 2         
Term: 85                             Term Frequency: 2         
Term: 86                             Term Frequency: 2         
Term: 87                             Term Frequency: 2         
Term: 89                             Term Frequency: 2         
Term: 96                             Term Frequency: 2         
Term: 97                             Term Frequency: 2         
Term: 98                             Term Frequency: 2         
Term: 99                             Term Frequency: 2         
Term: work                           Term Frequency: 2         
Term: theory                         Term Frequency: 2         
Term: signature                      Term Frequency: 2         
Term: histogram                      Term Frequency: 2         
Term: participant’s                  Term Frequency: 2         
Term: year                           Term Frequency: 2         
Term: understanding                  Term Frequency: 2         
Term: because                        Term Frequency: 2         
Term: agreement                      Term Frequency: 2         
Term: version                        Term Frequency: 2         
Term: selection                      Term Frequency: 2         
Term: layers                         Term Frequency: 2         
Term: need                           Term Frequency: 2         
Term: end                            Term Frequency: 2         
Term: environment                    Term Frequency: 2         
Term: connectedness                  Term Frequency: 2         
Term: settings                       Term Frequency: 2         
Term: define                         Term Frequency: 2         
Term: represented                    Term Frequency: 2         
Term: complexity                     Term Frequency: 2         
Term: another                        Term Frequency: 2         
Term: dialogic                       Term Frequency: 2         
Term: classic                        Term Frequency: 2         
Term: research                       Term Frequency: 2         
Term: features                       Term Frequency: 2         
Term: next                           Term Frequency: 2         
Term: parametric                     Term Frequency: 2         
Term: non                            Term Frequency: 2         
Term: supporting                     Term Frequency: 2         
Term: factor                         Term Frequency: 2         
Term: rendering                      Term Frequency: 2         
Term: explicit                       Term Frequency: 2         
Term: sentences                      Term Frequency: 2         
Term: fee                            Term Frequency: 2         
Term: otherwise                      Term Frequency: 2         
Term: approaches                     Term Frequency: 2         
Term: uses                           Term Frequency: 2         
Term: co                             Term Frequency: 2         
Term: creativity                     Term Frequency: 2         
Term: form                           Term Frequency: 2         
Term: very                           Term Frequency: 2         
Term: context                        Term Frequency: 2         
Term: index                          Term Frequency: 2         
Term: while                          Term Frequency: 2         
Term: than                           Term Frequency: 2         
Term: concepts                       Term Frequency: 2         
Term: obtained                       Term Frequency: 2         
Term: starting                       Term Frequency: 2         
Term: single                         Term Frequency: 2         
Term: partially                      Term Frequency: 2         
Term: up                             Term Frequency: 2         
Term: twining                        Term Frequency: 2         
Term: argue                          Term Frequency: 2         
Term: presence                       Term Frequency: 2         
Term: tools                          Term Frequency: 2         
Term: consuming                      Term Frequency: 2         
Term: addresses                      Term Frequency: 2         
Term: blog                           Term Frequency: 2         
Term: techniques                     Term Frequency: 2         
Term: inverse                        Term Frequency: 2         
Term: groups                         Term Frequency: 2         
Term: timeline                       Term Frequency: 2         
Term: longitudinal                   Term Frequency: 2         
Term: per                            Term Frequency: 2         
Term: larger                         Term Frequency: 2         
Term: particularly                   Term Frequency: 2         
Term: entity                         Term Frequency: 2         
Term: 4th                            Term Frequency: 2         
Term: given                          Term Frequency: 2         
Term: initially                      Term Frequency: 2         
Term: conclusions                    Term Frequency: 2         
Term: methods                        Term Frequency: 2         
Term: linguistic                     Term Frequency: 2         
Term: consider                       Term Frequency: 2         
Term: group                          Term Frequency: 2         
Term: mean                           Term Frequency: 2         
Term: reflects                       Term Frequency: 2         
Term: limitations                    Term Frequency: 2         
Term: advantages                     Term Frequency: 2         
Term: series                         Term Frequency: 2         
Term: 2012                           Term Frequency: 2         
Term: 2008                           Term Frequency: 2         
Term: 2003                           Term Frequency: 2         
Term: 2002                           Term Frequency: 2         
Term: 2015                           Term Frequency: 2         
Term: 2014                           Term Frequency: 2         
Term: together                       Term Frequency: 2         
Term: topics                         Term Frequency: 2         
Term: selected                       Term Frequency: 2         
Term: online                         Term Frequency: 2         
Term: contribution                   Term Frequency: 2         
Term: one’s                          Term Frequency: 2         
Term: multiplied                     Term Frequency: 2         
Term: permissions                    Term Frequency: 2         
Term: span                           Term Frequency: 2         
Term: resources                      Term Frequency: 2         
Term: accuracy                       Term Frequency: 2         
Term: linked                         Term Frequency: 2         
Term: segments                       Term Frequency: 2         
Term: acts                           Term Frequency: 2         
Term: identification                 Term Frequency: 2         
Term: increased                      Term Frequency: 2         
Term: similarities                   Term Frequency: 2         
Term: results                        Term Frequency: 2         
Term: usage                          Term Frequency: 2         
Term: most                           Term Frequency: 2         
Term: transfer                       Term Frequency: 2         
Term: amount                         Term Frequency: 2         
Term: also                           Term Frequency: 2         
Term: spread                         Term Frequency: 2         
Term: latter                         Term Frequency: 2         
Term: capable                        Term Frequency: 2         
Term: sentence                       Term Frequency: 2         
Term: expressed                      Term Frequency: 2         
Term: 1.0                            Term Frequency: 2         
Term: 1.5                            Term Frequency: 2         
Term: scores                         Term Frequency: 2         
Term: highly                         Term Frequency: 2         
Term: corpora                        Term Frequency: 2         
Term: current                        Term Frequency: 2         
Term: actively                       Term Frequency: 2         
Term: idea                           Term Frequency: 2         
Term: throughout                     Term Frequency: 2         
Term: place                          Term Frequency: 2         
Term: towards                        Term Frequency: 2         
Term: computing                      Term Frequency: 2         
Term: predictor                      Term Frequency: 2         
Term: fragment                       Term Frequency: 2         
Term: tokenization                   Term Frequency: 1         
Term: would                          Term Frequency: 1         
Term: successfully                   Term Frequency: 1         
Term: sideways                       Term Frequency: 1         
Term: newspaper                      Term Frequency: 1         
Term: role                           Term Frequency: 1         
Term: example                        Term Frequency: 1         
Term: spanning                       Term Frequency: 1         
Term: after                          Term Frequency: 1         
Term: obvious                        Term Frequency: 1         
Term: thank                          Term Frequency: 1         
Term: 1022                           Term Frequency: 1         
Term: besides                        Term Frequency: 1         
Term: serious                        Term Frequency: 1         
Term: justifiable                    Term Frequency: 1         
Term: divergence                     Term Frequency: 1         
Term: pragmatic                      Term Frequency: 1         
Term: provided                       Term Frequency: 1         
Term: expanded                       Term Frequency: 1         
Term: hard                           Term Frequency: 1         
Term: citation                       Term Frequency: 1         
Term: blocks                         Term Frequency: 1         
Term: taking                         Term Frequency: 1         
Term: signatures                     Term Frequency: 1         
Term: experiment                     Term Frequency: 1         
Term: gained                         Term Frequency: 1         
Term: block                          Term Frequency: 1         
Term: propose                        Term Frequency: 1         
Term: granularity                    Term Frequency: 1         
Term: upmf                           Term Frequency: 1         
Term: product                        Term Frequency: 1         
Term: 2.7                            Term Frequency: 1         
Term: markers                        Term Frequency: 1         
Term: employed                       Term Frequency: 1         
Term: identical                      Term Frequency: 1         
Term: academic                       Term Frequency: 1         
Term: pipe                           Term Frequency: 1         
Term: improve                        Term Frequency: 1         
Term: 211                            Term Frequency: 1         
Term: twofold                        Term Frequency: 1         
Term: to10                           Term Frequency: 1         
Term: activities                     Term Frequency: 1         
Term: exceeds                        Term Frequency: 1         
Term: element                        Term Frequency: 1         
Term: 240                            Term Frequency: 1         
Term: cue                            Term Frequency: 1         
Term: document                       Term Frequency: 1         
Term: 251                            Term Frequency: 1         
Term: scenario                       Term Frequency: 1         
Term: reported                       Term Frequency: 1         
Term: distribute                     Term Frequency: 1         
Term: participate                    Term Frequency: 1         
Term: socio                          Term Frequency: 1         
Term: 270                            Term Frequency: 1         
Term: bias                           Term Frequency: 1         
Term: reflection                     Term Frequency: 1         
Term: involves                       Term Frequency: 1         
Term: 283                            Term Frequency: 1         
Term: employing                      Term Frequency: 1         
Term: page                           Term Frequency: 1         
Term: full                           Term Frequency: 1         
Term: memory                         Term Frequency: 1         
Term: 292                            Term Frequency: 1         
Term: 297                            Term Frequency: 1         
Term: hours                          Term Frequency: 1         
Term: pair                           Term Frequency: 1         
Term: equal                          Term Frequency: 1         
Term: 1962                           Term Frequency: 1         
Term: reducing                       Term Frequency: 1         
Term: 1969                           Term Frequency: 1         
Term: semantics                      Term Frequency: 1         
Term: complementary                  Term Frequency: 1         
Term: required                       Term Frequency: 1         
Term: 1976                           Term Frequency: 1         
Term: provide                        Term Frequency: 1         
Term: requires                       Term Frequency: 1         
Term: redistribute                   Term Frequency: 1         
Term: 1997                           Term Frequency: 1         
Term: 1995                           Term Frequency: 1         
Term: 1994                           Term Frequency: 1         
Term: outlines                       Term Frequency: 1         
Term: shown                          Term Frequency: 1         
Term: obtain                         Term Frequency: 1         
Term: intra                          Term Frequency: 1         
Term: created                        Term Frequency: 1         
Term: sation                         Term Frequency: 1         
Term: particular                     Term Frequency: 1         
Term: 235;285                        Term Frequency: 1         
Term: tend                           Term Frequency: 1         
Term: relies                         Term Frequency: 1         
Term: third                          Term Frequency: 1         
Term: build                          Term Frequency: 1         
Term: further                        Term Frequency: 1         
Term: retrieval                      Term Frequency: 1         
Term: evolves                        Term Frequency: 1         
Term: 321.8                          Term Frequency: 1         
Term: 14;43                          Term Frequency: 1         
Term: adoption                       Term Frequency: 1         
Term: negations                      Term Frequency: 1         
Term: acquisition                    Term Frequency: 1         
Term: rigid                          Term Frequency: 1         
Term: mind                           Term Frequency: 1         
Term: phrases                        Term Frequency: 1         
Term: added                          Term Frequency: 1         
Term: 2723576.2723578                Term Frequency: 1         
Term: final                          Term Frequency: 1         
Term: rather                         Term Frequency: 1         
Term: duration                       Term Frequency: 1         
Term: length                         Term Frequency: 1         
Term: 280;287                        Term Frequency: 1         
Term: attempt                        Term Frequency: 1         
Term: balance                        Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: status                         Term Frequency: 1         
Term: dsmcnama                       Term Frequency: 1         
Term: 308                            Term Frequency: 1         
Term: main                           Term Frequency: 1         
Term: credit                         Term Frequency: 1         
Term: weights                        Term Frequency: 1         
Term: grenoble.fr                    Term Frequency: 1         
Term: 137;213                        Term Frequency: 1         
Term: lists                          Term Frequency: 1         
Term: differentiation                Term Frequency: 1         
Term: paradigm                       Term Frequency: 1         
Term: 330                            Term Frequency: 1         
Term: 339                            Term Frequency: 1         
Term: make                           Term Frequency: 1         
Term: adaptations                    Term Frequency: 1         
Term: 01                             Term Frequency: 1         
Term: 05                             Term Frequency: 1         
Term: parsing                        Term Frequency: 1         
Term: constraints                    Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: 352                            Term Frequency: 1         
Term: 354                            Term Frequency: 1         
Term: 357                            Term Frequency: 1         
Term: above                          Term Frequency: 1         
Term: 128;237                        Term Frequency: 1         
Term: collaborating                  Term Frequency: 1         
Term: highest                        Term Frequency: 1         
Term: 30;127                         Term Frequency: 1         
Term: shared                         Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: participated                   Term Frequency: 1         
Term: 378                            Term Frequency: 1         
Term: identifiable                   Term Frequency: 1         
Term: supports                       Term Frequency: 1         
Term: utterance’s                    Term Frequency: 1         
Term: 30                             Term Frequency: 1         
Term: 32                             Term Frequency: 1         
Term: 33                             Term Frequency: 1         
Term: 38                             Term Frequency: 1         
Term: 39                             Term Frequency: 1         
Term: 383                            Term Frequency: 1         
Term: 389                            Term Frequency: 1         
Term: increasing                     Term Frequency: 1         
Term: 40                             Term Frequency: 1         
Term: 41                             Term Frequency: 1         
Term: 43                             Term Frequency: 1         
Term: 44                             Term Frequency: 1         
Term: 46                             Term Frequency: 1         
Term: approximate                    Term Frequency: 1         
Term: project                        Term Frequency: 1         
Term: 394                            Term Frequency: 1         
Term: 56                             Term Frequency: 1         
Term: 58                             Term Frequency: 1         
Term: dense                          Term Frequency: 1         
Term: 64                             Term Frequency: 1         
Term: 67                             Term Frequency: 1         
Term: 68                             Term Frequency: 1         
Term: 69                             Term Frequency: 1         
Term: common                         Term Frequency: 1         
Term: 71                             Term Frequency: 1         
Term: 72                             Term Frequency: 1         
Term: 82                             Term Frequency: 1         
Term: 83                             Term Frequency: 1         
Term: 88                             Term Frequency: 1         
Term: simplistic                     Term Frequency: 1         
Term: relation                       Term Frequency: 1         
Term: 92                             Term Frequency: 1         
Term: 94                             Term Frequency: 1         
Term: 95                             Term Frequency: 1         
Term: extension                      Term Frequency: 1         
Term: multilingual                   Term Frequency: 1         
Term: existence                      Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: threshold                      Term Frequency: 1         
Term: spell                          Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: asu.edu                        Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: constituents                   Term Frequency: 1         
Term: assigning                      Term Frequency: 1         
Term: stop                           Term Frequency: 1         
Term: detail                         Term Frequency: 1         
Term: collaboratively                Term Frequency: 1         
Term: subsequently                   Term Frequency: 1         
Term: annotation                     Term Frequency: 1         
Term: fostering                      Term Frequency: 1         
Term: emerge                         Term Frequency: 1         
Term: addressing                     Term Frequency: 1         
Term: generated                      Term Frequency: 1         
Term: chaining                       Term Frequency: 1         
Term: modeled                        Term Frequency: 1         
Term: often                          Term Frequency: 1         
Term: http                           Term Frequency: 1         
Term: stefan.trausan                 Term Frequency: 1         
Term: 15.00                          Term Frequency: 1         
Term: constituent                    Term Frequency: 1         
Term: forum                          Term Frequency: 1         
Term: achieved                       Term Frequency: 1         
Term: cumulated                      Term Frequency: 1         
Term: 1418378                        Term Frequency: 1         
Term: normalization                  Term Frequency: 1         
Term: splitting                      Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: 352cumulative                  Term Frequency: 1         
Term: atypical                       Term Frequency: 1         
Term: 344;371                        Term Frequency: 1         
Term: 405                            Term Frequency: 1         
Term: acm.org                        Term Frequency: 1         
Term: indicates                      Term Frequency: 1         
Term: 416                            Term Frequency: 1         
Term: share                          Term Frequency: 1         
Term: cumulative                     Term Frequency: 1         
Term: perception                     Term Frequency: 1         
Term: took                           Term Frequency: 1         
Term: tool                           Term Frequency: 1         
Term: intervals                      Term Frequency: 1         
Term: scales                         Term Frequency: 1         
Term: transposed                     Term Frequency: 1         
Term: serialized                     Term Frequency: 1         
Term: rater                          Term Frequency: 1         
Term: transpose                      Term Frequency: 1         
Term: forms                          Term Frequency: 1         
Term: shift                          Term Frequency: 1         
Term: establishing                   Term Frequency: 1         
Term: differently                    Term Frequency: 1         
Term: builds                         Term Frequency: 1         
Term: encompass                      Term Frequency: 1         
Term: dictionary                     Term Frequency: 1         
Term: 492                            Term Frequency: 1         
Term: permitted                      Term Frequency: 1         
Term: mechanism                      Term Frequency: 1         
Term: resulted                       Term Frequency: 1         
Term: expressions                    Term Frequency: 1         
Term: involving                      Term Frequency: 1         
Term: 190;221                        Term Frequency: 1         
Term: derived                        Term Frequency: 1         
Term: thoughts                       Term Frequency: 1         
Term: breaks                         Term Frequency: 1         
Term: what                           Term Frequency: 1         
Term: refer                          Term Frequency: 1         
Term: play                           Term Frequency: 1         
Term: when                           Term Frequency: 1         
Term: 232;257                        Term Frequency: 1         
Term: 51;65                          Term Frequency: 1         
Term: republish                      Term Frequency: 1         
Term: completely                     Term Frequency: 1         
Term: study                          Term Frequency: 1         
Term: explicitly                     Term Frequency: 1         
Term: 189;208                        Term Frequency: 1         
Term: dominance                      Term Frequency: 1         
Term: indicator                      Term Frequency: 1         
Term: stemming                       Term Frequency: 1         
Term: few                            Term Frequency: 1         
Term: solely                         Term Frequency: 1         
Term: effects                        Term Frequency: 1         
Term: crucial                        Term Frequency: 1         
Term: determines                     Term Frequency: 1         
Term: contribute                     Term Frequency: 1         
Term: integrated                     Term Frequency: 1         
Term: designed                       Term Frequency: 1         
Term: 140;154                        Term Frequency: 1         
Term: contained                      Term Frequency: 1         
Term: reduction                      Term Frequency: 1         
Term: extent                         Term Frequency: 1         
Term: evaluates                      Term Frequency: 1         
Term: assumption                     Term Frequency: 1         
Term: rater’s                        Term Frequency: 1         
Term: extend                         Term Frequency: 1         
Term: interpretation                 Term Frequency: 1         
Term: 246;275                        Term Frequency: 1         
Term: observe                        Term Frequency: 1         
Term: ances                          Term Frequency: 1         
Term: du                             Term Frequency: 1         
Term: 89;104                         Term Frequency: 1         
Term: identifying                    Term Frequency: 1         
Term: highlighting                   Term Frequency: 1         
Term: digital                        Term Frequency: 1         
Term: 501                            Term Frequency: 1         
Term: presents                       Term Frequency: 1         
Term: straightforward                Term Frequency: 1         
Term: evaluators                     Term Frequency: 1         
Term: relationships                  Term Frequency: 1         
Term: easily                         Term Frequency: 1         
Term: likely                         Term Frequency: 1         
Term: peaks                          Term Frequency: 1         
Term: resulting                      Term Frequency: 1         
Term: become                         Term Frequency: 1         
Term: wider                          Term Frequency: 1         
Term: seemed                         Term Frequency: 1         
Term: 16;130                         Term Frequency: 1         
Term: 3rd                            Term Frequency: 1         
Term: student                        Term Frequency: 1         
Term: determine                      Term Frequency: 1         
Term: considerably                   Term Frequency: 1         
Term: perspectives                   Term Frequency: 1         
Term: increasingly                   Term Frequency: 1         
Term: 351conveys                     Term Frequency: 1         
Term: grouped                        Term Frequency: 1         
Term: them                           Term Frequency: 1         
Term: checking                       Term Frequency: 1         
Term: 36;315                         Term Frequency: 1         
Term: grammatical                    Term Frequency: 1         
Term: vector                         Term Frequency: 1         
